6239.M117.2.1	P41932
6239.C50E10.5	A3QMA3
6239.T06A10.4	A3QMD7
6239.C48D1.9a	D3YT63
6239.C17F4.1	O16543
6239.C16C4.16	O16554
6239.C06H5.2	O17578
6239.C47B2.1	O62104
6239.F18C12.2a.2	O62178
6239.Y53C12B.3b	O62486
6239.C26E6.2	Q18225
6239.F08G5.5.1	Q19222
6239.F17C8.5	Q19525
6239.Y111B2A.20.2	Q9BHL2
6239.Y43D4A.6	Q9NF25
6239.Y113G7B.8	Q9U2X5
6239.K11D2.4a	G5EDL1
6239.C44C3.5	Q8IFY1
6239.C18A3.5a	Q8IG50
6239.R11A5.7.1	Q9XU75
6239.C15H11.2a	Q9XVS5
6239.Y51H7BR.4a	F8WU11
6239.C03A7.14	O16511
6239.C08H9.12	Q17836
6239.C50E10.11	A3QMA9
6239.Y37A1B.17a	G5EEI6
6239.R04F11.4b	K8ESB6
6239.F46B6.5e.1	Q20453
6239.F53H10.2a	Q20733
6239.R07E5.10a	Q21826
6239.C35D10.7a	Q8IG40
6239.T02H6.2	Q9N5E3
6239.Y49F6C.5	Q9TYJ2
6239.K11C4.5b	B7WN66
6239.C49D10.8	O16602
6239.F58B3.8	Q20971
6239.W03G9.3	O44748
6239.F08F1.4a	Q7Z130
6239.W10C8.1	A0A078BQJ0
6239.B0513.1a	D3YT69
6239.C26F1.10	Q18234
6239.F38H4.8b	Q20184
6239.F09F3.1a	A9QY31
6239.F41D3.4	O45508
6239.C50E10.7	A3QMA5
6239.ZC47.3	A4F331
6239.D2023.1f	D1MN82
6239.ZK669.1a	G5EF80
6239.H04D03.2	H8ESD1
6239.F56H6.8	O45586
6239.F17A2.3	Q19511
6239.F59G1.2	Q21052
6239.T02C12.3	Q22093
6239.T04F3.2	Q22157
6239.ZC518.2.1	Q23368
6239.C36A4.2	Q27476
6239.F14B4.2a.2	Q6BET1
6239.C17E4.5.1	Q93233
6239.Y51H7BR.1	Q9N3J6
6239.F29G6.3b	K8FDY0
6239.Y67A10A.6b	A0A061ADP1
6239.F28B3.1.1	A0A061AE68
6239.W05G11.6a.2	O44906
6239.T09B9.2	Q10048
6239.F09F7.8	Q19279
6239.R07E3.5a	Q21812
6239.Y65B4BR.4a	Q9N2Z7
6239.Y67A10A.1	Q9U1V4
6239.C42C1.4a	A3QMB4
6239.C08F11.5	K8FDX4
6239.T06G6.3a	O18051
6239.H04M03.2	Q9TYQ9
6239.F58G1.2b	B7WNA2
6239.F11E6.4	Q9XVQ8
6239.F11A10.3a	Q19336
6239.F10G7.10a	Q1W0R6
6239.C17G1.4a	Q93238
6239.M04C3.1a	M1Z848
6239.T12F5.5a	O44760
6239.K12D9.5	P91380
6239.Y71G12B.21	Q95XP2
6239.E02D9.1a	Q9TYV7
6239.DC2.2	Q9UAW3
6239.W03F11.6a	X5LV54
6239.W03F11.1	X5M5P2
6239.F55C7.7a	C4ALD5
6239.F52B11.1a.2	D3YT77
6239.T07H6.1a	Q8T3D3
6239.R07H5.1.1	Q93930
6239.H03G16.2	Q9XU24
6239.Y81G3A.4a	D0Z5N5
6239.T09B4.3b	O02160
6239.C49A9.8.1	O44149
6239.F56A11.5	O44517
6239.C16D2.1a	O62061
6239.W03G11.1a	Q2XN04
6239.ZK6.11a	Q6EZG8
6239.Y17G7B.15a	Q9XXH8
6239.F31F4.7	O17123
6239.F37C12.12	Q20127
6239.R05D8.4	Q9N5G7
6239.F58E2.9	Q9TZ00
6239.Y34F4.2a	A8W7V8
6239.ZK669.1a	G5EFY2
6239.T02E9.3	O45732
6239.F36H12.8	O76712
6239.F56A3.3a.1	P91350
6239.C14C10.3a.2	Q17973
6239.F47E1.2.2	Q20538
6239.ZK287.8a	Q65ZB2
6239.K11C4.5b	Q94279
6239.ZK112.7	Q9TWY4
6239.C41D11.3b	A0A078BPM2
6239.F45C12.14	O16743
6239.ZC504.5	O18280
6239.K04H4.7	Q6LAC9
6239.M162.1	Q9XUD0
6239.ZC47.4	A4F332
6239.R11A8.4a	D3YT50
6239.F58D7.1	O16337
6239.T27B7.2	O16663
6239.ZK697.11	O44579
6239.F31E8.3	Q19937
6239.F37B1.3	Q93696
6239.Y57E12AL.1a.1	Q95XV3
6239.Y116F11B.3.2	Q9GRV9
6239.Y47D3A.25.2	Q9U2C3
6239.T08D2.4	A4F321
6239.C02E7.13	O16439
6239.F31F4.3	O17137
6239.C24G6.3.2	O76384
6239.C05G6.1	Q65CM0
6239.K08G2.5	Q93867
6239.Y110A7A.1b	Q95Y84
6239.H28G03.6	Q9TXP3
6239.C44F1.5	G5EE33
6239.W04A8.7	G5EGM3
6239.B0496.3e.2	D1MN51
6239.R07H5.10b	G5EGQ7
6239.T26E4.1	O45835
6239.C48E7.11	Q8IG69
6239.C09E8.1a	Q8ITX0
6239.W02H5.7	Q9N5D0
6239.ZC376.7a.1	E5QCH2
6239.C14F11.6.2	Q17993
6239.F42A9.4	Q20315
6239.ZC443.6	G5EGK7
6239.F38C2.5	O45491
6239.F44A6.1b	Q20384
6239.C12D5.8a	Q8I7M3
6239.C32B5.1a	Q95ZM4
6239.K01C8.7a	Q21084
6239.C07A9.3b	Q2XN10
6239.R08B4.1b.2	Q7YXC8
6239.Y37H2A.1a	Q9U2N7
6239.C30G4.7	A0A078BPI1
6239.H02I12.3	O45601
6239.Y57G11B.97	K8ESJ6
6239.T19H12.10	O01616
6239.F39H2.4	O62238
6239.F21C3.1.2	Q19671
6239.Y46E12BL.3	Q965N7
6239.Y37A1C.1c	L8E912
6239.D2021.4a	Q1W0S0
6239.Y73F8A.34a	Q9NA31
6239.C06A6.2b	H2KYH8
6239.R07B7.6.1	I2HA85
6239.F45E4.7a	H2KYL2
6239.C12D12.1c	H2KYQ3
6239.C14F11.4a	H2KYS2
6239.F41B5.10	O16677
6239.M01B2.7	O17961
6239.T21B4.5	O18101
6239.C17B7.11	O45159
6239.C23H5.1	O61833
6239.F49C12.12.1	Q20589
6239.F58A6.10	Q20962
6239.Y54G2A.31	Q95XX0
6239.Y50E8A.16	Q9U275
6239.T12C9.5c	Q9U371
6239.F49E11.1b	A0A061ACN7
6239.C04G2.11	G5EDS6
6239.F21D5.8	Q19685
6239.ZC15.2	G5EBP6
6239.F15H9.2	O45372
6239.B0379.3a.2	O62011
6239.C02B4.2	Q17589
6239.T28F3.5a	Q9XUC3
6239.D1081.6b	B3WFW0
6239.T21B6.5	G5EC08
6239.C09G9.5a	N1NV27
6239.T15B7.4	O17036
6239.F35D11.2b	Q20040
6239.Y46H3A.1b	Q9N4W8
6239.ZC477.9a	V6CK82
6239.W09D6.1c	B6VQ94
6239.F13B10.2a.1	G5EEC0
6239.W03D2.2	O02121
6239.C01B9.1b	O45231
6239.C09B8.6a	Q86GU1
6239.Y39A1A.23.2	Q95Q27
6239.Y46E12BL.4	U4PBC3
6239.Y11D7A.3a	Q2A7S9
6239.F25H9.5a.2	O02254
6239.D1065.5	O16197
6239.T26E4.8	O45842
6239.C46F11.5b	O62100
6239.ZC443.5	Q23323
6239.C49C8.4	Q27482
6239.D2045.1d	Q5FC83
6239.Y111B2A.10a	Q9BHL3
6239.W03F8.6a.2	H2KZ04
6239.T07H3.5	O76609
6239.C01H6.2	Q17583
6239.F49E10.2b	Q20599
6239.M01B12.5a.2	Q7Z154
6239.T07A9.13a	Q95X71
6239.F53H2.2	Q9U3E5
6239.C38C3.3b	A5A8Q7
6239.T04D1.3d	A5A8R0
6239.B0001.7	H9G2U9
6239.F36D3.9	O45466
6239.F56H1.4.2	O76371
6239.Y43F8B.1d	Q8I4D3
6239.F38A5.2a	Q95Q55
6239.Y53G8B.4a	G4S7C7
6239.W07G9.2.1	G4SN66
6239.C10H11.6a	B1Q250
6239.T21G5.5d	D4YW53
6239.T10D4.6a	H2L0L1
6239.C51E3.10a	E1B6U0
6239.Y44E3B.1a.1	G4SR45
6239.R119.5a	H1ZUX5
6239.R02F2.1b.3	H2KZJ3
6239.F52D2.8b	H2L063
6239.T05H4.15a	H2L087
6239.W06A7.4a	H2L2D7
6239.R05A10.1a.1	H2L2J0
6239.C24A1.2a.2	Q400M2
6239.C29A12.4b	A7UQ09
6239.Y54E5A.8a	F5GUG0
6239.T01E8.9	Q7YWU9
6239.Y49F6B.9a	A8DJA7
6239.C15H11.2a	D9N144
6239.F47C10.7	O01562
6239.T28A11.21	P91522
6239.ZC504.1a	Q23354
6239.C49C3.5	Q9XUG3
6239.F36A2.1d	Q9XVN9
6239.T23H2.4	P91496
6239.Y48G1C.11	Q8IU06
6239.T01C4.5	Q94297
6239.Y73B6BL.13	Q9GUG4
6239.Y40B1A.4	Q9XW26
6239.R13A1.2	S6F510
6239.T24A6.3	D6VP99
6239.M02B1.1a	G5EFB7
6239.F48D6.4a	Q20560
6239.Y105E8A.10a	Q6EUT4
6239.C09D8.1d	Q8I120
6239.F09F7.4a.1	Q8MNT7
6239.M05B5.5a	G5EEG9
6239.F47C10.3	O01561
6239.F33H12.2	O44842
6239.C44B7.4	Q18593
6239.Y82E9BL.11	Q9GR37
6239.Y41C4A.12b	Q9U2I3
6239.Y71F9B.10a.1	A0A078BPE0
6239.C31E10.8	G5EEB5
6239.C04H5.3	O62026
6239.F55C12.1b	Q95ZS6
6239.F02E11.5	O16575
6239.K02B12.3.1	Q21115
6239.F26H9.1	G5EDC7
6239.C03G6.15	O02628
6239.F58E1.7	Q9TZG8
6239.Y39C12A.6	Q9U2L5
6239.Y57G11C.5a	O18231
6239.ZC8.4a	Q45EJ8
6239.R03D7.6a	G3MTX8
6239.C30D11.1c	G5ECG3
6239.C01F6.6b	I2HAI6
6239.C27B7.4	Q18241
6239.T10B5.5a.2	Q9TZS5
6239.C07A9.3b	G3MTX3
6239.Y105E8A.9	Q8WQB3
6239.Y105C5B.17	Q9NAM4
6239.Y17G7B.15a	Q9XXH9
6239.F09E8.3	A0A061AKP2
6239.C06A12.4a	C1P657
6239.C37A2.2	O01505
6239.C36A4.3	Q1HB05
6239.T22F3.3a	Q9N5U1
6239.F08H9.6	Q19229
6239.W01A11.3a	G8JYF1
6239.Y92H12A.4	W6RQY9
6239.Y116A8C.10b.1	D0FK02
6239.Y59A8B.10a	E0R7K8
6239.ZK524.2d	G5EDN9
6239.B0495.8a.1	G8JXY3
6239.C54G7.3a.1	H2KZ94
6239.C03G6.16	O01459
6239.C54G7.3a.1	D7SFK4
6239.K08E3.5b	Q86D12
6239.Y48G8AL.11	Q9BL17
6239.Y77E11A.7a	U4PBP7
6239.Y43F8B.4b	B1V8J3
6239.C25F9.14	A5Z2V6
6239.C48B4.12b	G5ECQ6
6239.ZC395.3b	Q23281
6239.Y39A3CR.7	Q9N411
6239.Y39A3CL.6	Q9N413
6239.Y39G8B.5	Q9U2J3
6239.F53B6.1	Q9XVM9
6239.Y17G7B.21	Q8I4E7
6239.Y48C3A.10.2	Q9NAG2
6239.T20D3.11b	H9G2S2
6239.F57A10.6.2	H9G361
6239.Y51H7BM.1	Q8WTL4
6239.F14H8.6c	A8WI01
6239.F08A10.1g	G5EDA9
6239.T24H7.5b	Q7JPE3
6239.Y9C2UA.1c	G5EDR4
6239.F09F7.5a.1	H2KZJ1
6239.ZC8.4a	H2L0I2
6239.C07A4.3	Q93193
6239.C55B7.5.2	Q966M4
6239.C46C11.1a	Q966P1
6239.F53A3.4b	C7IVR4
6239.C06H5.8a	G5EEM8
6239.F09G8.10	Q4PJ11
6239.C06G1.1b	A8WFJ7
6239.E03D2.3	O44541
6239.H11E01.1	O61804
6239.C47A10.7	Q7YTT7
6239.F14F9.7	Q9GUC6
6239.F53B1.8	X5LPS1
6239.F26D2.1	O17841
6239.T22H2.3	O18110
6239.K11D12.2.3	O44625
6239.B0222.6	Q17458
6239.F55A12.4a	Q86NJ7
6239.CC8.2b	Q966L7
6239.Y53G8AR.3b	Q9N3F8
6239.Y17G7B.1	Q9XXJ2
6239.Y46E12BL.4	U4PBQ2
6239.C11D2.6c	U4PMX5
6239.Y20F4.4	X5LPW2
6239.C46C2.1m	X5LV40
6239.C46E10.5	O44714
6239.F47C12.10	O76829
6239.R13H7.2a	Q3S1L7
6239.Y39A3B.5d	Q59E84
6239.M01H9.3a	Q95ZL3
6239.Y94H6A.6	Q9N2W9
6239.R05D8.8	Q9N5G3
6239.F58G6.6a	D3YT21
6239.K07E12.2	Q21283
6239.Y105C5B.16	A0A078BTQ8
6239.C26E1.2	O17605
6239.W01A8.1c.1	Q23095
6239.Y71G12B.11a	Q95XN3
6239.Y94A7B.6	Q9XXB3
6239.Y17G7B.10b.1	Q9XXI6
6239.C15C7.2.2	Q18013
6239.C27H6.4b	Q8MQB5
6239.Y5H2A.2.1	Q966A2
6239.C41G11.3.1	A0A078BQK8
6239.C37E2.5	A0A078BPG5
6239.F35C5.5a.2	O45441
6239.T22H6.6a	Q0G834
6239.ZC374.2	Q23266
6239.Y56A3A.11.1	Q9U218
6239.T28B11.1.1	K8F7S4
6239.M02G9.4a	D3KFW3
6239.E03A3.6a	G5ECI9
6239.ZK669.1a	J7S142
6239.T21G5.5d	O02065
6239.C54C8.6	O02233
6239.F48C5.1	Q20559
6239.K11D12.3a	H2KYR4
6239.F28F8.8	I2HAH8
6239.C06H5.6	I2HAK9
6239.F45E4.7a	H2KYL1
6239.F55C7.7a	H2KYM4
6239.F59E12.4b	H2KYU6
6239.T23G4.4	O18127
6239.T03F6.2	O62360
6239.C39E6.1.1	Q18530
6239.C53D6.4	Q18810
6239.F01G12.2b	Q19096
6239.F26G1.4.2	Q19829
6239.T24C2.4	Q22727
6239.F31E9.6	Q8I4M7
6239.ZK856.4	Q23638
6239.F41H10.3a	Q8MQ54
6239.C37E2.2a	Q93354
6239.ZK682.4	Q23579
6239.C01B10.4	V6CJY6
6239.Y39A1B.2a	D2N109
6239.C01G10.11f.1	E0AHC4
6239.C47D12.8	G5EBZ1
6239.F20A1.7b	H2KZ66
6239.D2023.3a	E0AHC8
6239.T13B5.6	O17376
6239.F55F8.6	P91344
6239.ZC449.3b	Q8MPS3
6239.M60.5	Q9GYM8
6239.C39B5.3	Q9N5W9
6239.T21C12.1a	U4PBC0
6239.Y41D4A.7	U4PBV4
6239.ZK993.2	V6CLJ8
6239.K08H10.1k	G5EBW6
6239.C02A12.8	Q5F4V4
6239.C23H4.7	Q8MQC8
6239.R09B5.12	O44609
6239.Y110A7A.17a.1	Q6AW18
6239.F26B1.2a	Q8I7G8
6239.K07H8.2a	Q965K0
6239.C39B5.4	Q9N5X0
6239.Y47H10A.1	Q9U2B2
6239.C25E10.3b	H2KZ09
6239.T04A8.15	Q22145
6239.H17B01.4a.2	Q86S39
6239.Y17G7B.22.1	Q8I4E6
6239.Y40D12A.1a	Q8I931
6239.T03F6.6.2	Q8WQD3
6239.F13D2.1	K8F7Z5
6239.Y39G10AR.9b	G4SF15
6239.R02C2.7	Q7KPV8
6239.K07A3.2a	H2KZH1
6239.ZK180.5a	H2L0H2
6239.D2092.1b	E9P851
6239.F58E6.13c	F5GUB1
6239.T01C3.11a	F5GUD8
6239.F09F3.12	P90823
6239.C34E7.1a.2	Q18456
6239.Y47G6A.20b	Q9N3S3
6239.F11A5.7	O17791
6239.ZC204.15	P91549
6239.F40F4.5	Q20221
6239.F52A8.3a	Q20635
6239.C47A10.11	Q7YTT5
6239.Y38C1AA.1a.1	Q8MXT2
6239.Y67D8B.4b	Q95XT9
6239.Y9C9A.4a	Q9N2S8
6239.B0019.1	Q9XXU5
6239.Y41D4B.13	U4PMJ0
6239.C50A2.2	U4PMK7
6239.M02B7.6	U4PQW9
6239.K02F2.3	O44985
6239.Y47G6A.1.1	Q9N3R4
6239.K10G6.3	S6F519
6239.F38C2.1	O45488
6239.F37C12.13a.2	Q20128
6239.ZK616.10a	Q65XX7
6239.Y119D3B.12a.2	Q8IAB4
6239.Y41D4B.8	Q95Y07
6239.F36D1.3	Q9XV42
6239.C27C7.3	Q9XVC7
6239.C17H1.8.2	A0A078BPE5
6239.C24H11.7	H8ESE7
6239.F46B3.4a	Q9XV18
6239.F57C2.3	O45595
6239.T27E4.8	Q21062
6239.K07E3.3	Q21285
6239.Y17G9A.7a	Q9N480
6239.T28A8.1c	Q9XU07
6239.F40F9.9	G5EEK0
6239.DH11.5d	G5EFB1
6239.C50B6.8a	P91983
6239.AC3.7	Q17403
6239.ZK938.6.2	Q23675
6239.ZK1127.9a	Q86MP0
6239.T10E10.6	Q86NE3
6239.C35C5.6	Q93330
6239.Y116F11B.1	Q9NEK7
6239.M01E10.2a	Q9TXR6
6239.Y46G5A.18a	Q9U2F1
6239.T24B8.1a.2	B7WN95
6239.C13A2.7b	C4IWZ6
6239.Y116A8C.34a.3	D3NQB1
6239.F35C5.5a.2	O45440
6239.F46H5.6	Q3Y407
6239.T05G5.1a	G1K0V7
6239.M110.5b.2	A5JYR4
6239.F54C8.7b	E1B6R4
6239.Y61A9LA.3a	H2L071
6239.F46E10.1a	Q5TKA3
6239.K09A9.2.2	Q93874
6239.W05B5.1g	F5GUG6
6239.K08H10.1k	F5GUH5
6239.T04C9.1a	H2KZV7
6239.T20B5.3b	A8WFI7
6239.F41E6.6.1	O16454
6239.F20G2.6b	Q52GY4
6239.K11H12.9.1	U4PDY6
6239.R05F9.1b	Q21747
6239.F08H9.12	Q5WRN2
6239.Y9C9A.16	Q9N2S1
6239.R02D3.4	U4PCN0
6239.F30B5.4.1	U4PR82
6239.F29C4.8b	U4PRZ7
6239.Y41E3.4a.2	I2HAI0
6239.W05H9.1.1	Q23179
6239.C33F10.5b	Q8MQA8
6239.ZK287.4a	G3MU06
6239.F56C9.10b	H2KY88
6239.C02E11.1b	H2KYE0
6239.C14A11.3b	H2KYI7
6239.E03H4.7	O17749
6239.T04A11.9	O18020
6239.F56B3.5	O45106
6239.T05D4.4a.1	O45750
6239.B0496.7	Q17522
6239.C01G5.4	Q17566
6239.F08G12.5	Q19214
6239.F55A11.6c	Q2L6U7
6239.ZK381.4b	Q304E5
6239.ZC487.1a	Q304E6
6239.Y54E10BR.7	Q9N3C7
6239.Y48G1BL.1	Q9N3Q1
6239.F40D4.11	Q9XV25
6239.B0464.8.1	Q9XVX8
6239.Y38H6C.5	Q9XX53
6239.Y51A2D.5	Q9XXQ9
6239.F57E7.1	Q9XXT3
6239.F58D5.1a.2	B3KYC2
6239.Y105C5A.9	D3DEM1
6239.F58E10.6	G5EEZ7
6239.Y40C5A.3b	W6RR15
6239.ZK675.3a	A5JYR2
6239.ZK1248.3a.1	D9N122
6239.C28H8.9a	H2KZ28
6239.C46G7.4a	H2KZA3
6239.Y24D9A.2	Q966C5
6239.C53D5.4	V6CLJ4
6239.Y38C1AA.13	D6RYD9
6239.Y110A7A.9a.1	Q6AW19
6239.H24G06.1a	Q8WSM1
6239.Y71G12A.3	Q9BL53
6239.C34D10.2.1	Q18437
6239.F53B1.6	Q20700
6239.Y69F12A.2a.2	Q7Z1Q3
6239.C50H11.4	O16478
6239.K04F1.10	Q9TXL4
6239.K11C4.3c	S6FN00
6239.C24F3.5	S6FN28
6239.C27H5.5	M1ZMI8
6239.C01B10.4	Q17541
6239.F31F6.7	Q19941
6239.T27F6.5a.2	Q1ZXR9
6239.F47F6.5	Q6F6K5
6239.Y82E9BR.16a.1	Q7Z1Q8
6239.T10D4.6a	Q9TZF5
6239.Y106G6H.6.1	Q9U2Z4
6239.F25H8.5c	D3YT34
6239.C38C3.2	O17077
6239.T21B4.2	O18097
6239.Y53C10A.4	Q9XW53
6239.T23B5.3d	Q3S1J1
6239.F30A10.13a	A5Z2U8
6239.Y69A2AR.7a	Q95XH2
6239.C53D6.4	X5LXA5
6239.R13H4.2a	A5Z2W3
6239.C08B6.13	Q5FC58
6239.T01C4.4	Q94296
6239.ZK1037.4	H9G309
6239.T01B10.2	O02153
6239.ZC8.3	Q23084
6239.Y38C1AA.5b	Q688Z8
6239.R13F6.4e	Q8I7J1
6239.T22F3.5	Q94302
6239.F35C5.2	Q9XVP3
6239.W01H2.3b	G4SEK4
6239.K09C8.5	G5EG78
6239.F10D11.6	H9G2Z8
6239.Y17G7B.5a	Q7K7J6
6239.C28C12.11b	A9Z1K3
6239.C06B8.4	O17571
6239.Y49F6B.7	Q9N4U7
6239.Y46H3C.3	Q9N4W0
6239.Y39G8B.3	Q9U2J4
6239.R08F11.5	O01888
6239.K05D4.4	O45659
6239.F45F2.6	Q22977
6239.F07A11.2a.1	Q95QM8
6239.F13H6.1b.2	A9D4E4
6239.Y94A7B.7	Q9GRV0
6239.Y48A6B.10a	S6FWQ3
6239.C52A11.4d	G5ECZ8
6239.M106.3a.2	Q0G840
6239.C27H5.3.2	Q18265
6239.F56H11.3a	Q20904
6239.K08E4.2a	Q21333
6239.F13H8.10a	Q9BI98
6239.F21A10.2e	Q9U3I3
6239.K08E3.3b	Q9XUS7
6239.C05C8.6	O16313
6239.Y59A8B.11	L8E967
6239.Y73F8A.34a	Q2HQK5
6239.ZK355.7	Q4W5S6
6239.F11A5.8	O17792
6239.C14H10.4	O62060
6239.ZK1025.4b	Q18LB5
6239.T27A3.1a	Q8MNR5
6239.K02E2.8a	Q9NAQ1
6239.T03F7.7b	Q9XVU9
6239.B0001.8.2	K8ESC8
6239.F53E10.4	P91316
6239.B0273.1	O44170
6239.C24G7.4	P91100
6239.Y116A8C.27a	D3NQA8
6239.F09A5.4c	Q19237
6239.C46C2.6a	Q1NZ28
6239.K01A6.5	Q21078
6239.C47E8.9	K8FDY5
6239.M02D8.1	Q21465
6239.C08G5.7a	Q4W4Y6
6239.C10G11.1b	H2KYP6
6239.F55C12.5b	Q8IG16
6239.Y53F4B.27a	Q9NA93
6239.D1037.5	Q9TYS0
6239.C44B12.2	U4PF73
6239.Y55F3BR.2	U4PMC3
6239.ZC190.10	I2HA97
6239.C26E1.2	I2HAA5
6239.R53.1a.2	I2HAD5
6239.Y45F10B.10	I2HAI7
6239.C16C2.2a.2	O17589
6239.B0304.3	Q27465
6239.C09G4.2c	Q8MQE2
6239.F45E4.3a.1	Q9BI65
6239.H27M09.3	Q9N5K3
6239.Y56A3A.17a	Q9U240
6239.F14F8.1	Q9XU38
6239.Y52B11A.9	Q9XWF2
6239.K01H12.3	A0A061AKS3
6239.T28D6.4	O18152
6239.Y45F10B.6	O62472
6239.C52E4.7	Q18784
6239.F27D4.2a.1	Q93616
6239.Y47D9A.1a	Q9N4V3
6239.K08C9.7	Q9XUT3
6239.W07A8.2c.1	G5EBV1
6239.C41D11.3b	H2KYQ1
6239.R10D12.11	O17997
6239.F17C11.5	Q19516
6239.C33G3.3	Q93323
6239.B0414.7b	Q960A2
6239.Y48A6B.5.1	Q9XXD2
6239.C33A12.19	A0A061ACS0
6239.C28D4.10	A0A061AKL8
6239.F25H5.1f	G5EDJ5
6239.W06H8.8g	A7DT28
6239.K11H3.8a	C0P272
6239.K01A11.4a	G3MTY7
6239.ZC455.1c	G3MU23
6239.F41E6.13a.1	H2KYN5
6239.M02H5.11	Q966I3
6239.T12A7.2.1	L8E6K9
6239.T25E12.5.2	O45819
6239.F57C12.3	Q20941
6239.ZK856.12.1	Q23647
6239.K09D9.2	Q9N5I1
6239.Y105C5A.5	Q9NF69
6239.C02F12.10	A3FPJ2
6239.F32H5.6a	Q1HAZ7
6239.K08B4.3	Q9TYY5
6239.Y105E8A.7a	C0Z3M3
6239.Y66D12A.23.1	Q95PZ8
6239.F26F12.3a.2	Q9N2N2
6239.M04C9.3a	B3WFY7
6239.F58G6.9a	C6KRJ4
6239.C36F7.4e	C6KRM7
6239.W02B12.13a	D2YW04
6239.F54F2.2a.3	G8JYB8
6239.Y48G8AL.1.1	W6RTM2
6239.C33H5.13	W6RY45
6239.C28D4.2a	B3GWD5
6239.C41D11.3b	B3KLZ9
6239.Y42H9B.1	Q9N3X9
6239.Y34D9A.8b	Q9N455
6239.W06H8.1b	Q9N5B7
6239.Y48C3A.17a	A5HWA7
6239.K09E10.1a	C6ELT9
6239.K09G1.1e	D9N146
6239.F26D2.3a	D9N148
6239.Y45F10A.6a	G5EE94
6239.H16O14.1c	H2KZC2
6239.B0261.1	O01441
6239.T13B5.3	O17373
6239.JC8.7a	O62291
6239.F55F8.1.1	P91346
6239.R10E4.2q	Q7Z204
6239.Y24F12A.1	Q9U2Q7
6239.C11D2.6c	V6CJF5
6239.C34D4.14	V6CLA7
6239.Y111B2A.20.2	V6CLL6
6239.C33H5.11.1	W6RQZ7
6239.F11C7.6a	Q27GT7
6239.T28C12.4a.2	Q4LDP0
6239.Y67D8A.2b.1	U4PC07
6239.R07C3.1	O16778
6239.Y46G5A.22a	Q9U2E7
6239.Y71G12B.18	W6RS18
6239.F35H10.7.1	X5LXA9
6239.Y105C5B.21a	D3DEL8
6239.Y59A8B.10a	E0R7K7
6239.C34E11.3a	G5EGR4
6239.C38C3.4b	H2KZ90
6239.C45H4.14a	H2KZB9
6239.F42A9.1a	H2KZC9
6239.Y105E8B.8c	V6CLA8
6239.Y65B4A.9	V6CLY3
6239.F08H9.4	N1NV13
6239.T24A6.5	O61938
6239.T28A11.12	P91504
6239.B0336.6.2	Q10929
6239.T02C5.1b	Q22095
6239.Y69A2AR.16	U4PC16
6239.C06G3.8	V6CLM8
6239.C27H5.2a	H2KZ25
6239.Y50C1A.1	V6CM05
6239.C27H6.4b	B2D6P1
6239.F57B7.2b	B6EU60
6239.F26H11.2a	B6VQ92
6239.C38C3.9	O17081
6239.F52E1.8	Q20662
6239.F59C12.1	Q21035
6239.T06A4.3a	Q6A577
6239.Y54G2A.6	Q95XX2
6239.F54E7.3b.2	U4PBE6
6239.F49C12.7b	Q27GQ6
6239.C54D10.7	B6EU64
6239.ZK484.8	O44902
6239.F26B1.4	P91274
6239.T23B3.3	P91490
6239.F07G6.1	Q19173
6239.F12F6.9	Q19368
6239.T13A10.5	Q22442
6239.C24A11.8c	Q95Q79
6239.2RSSE.1	U4PAK0
6239.T07A9.5b	U4PC85
6239.D2096.1	X5LX78
6239.B0365.5a	P90733
6239.F07H5.9a	Q19175
6239.F52A8.4b	Q20638
6239.F11D5.3a	Q95ZV7
6239.F15A4.12.1	Q9U3J2
6239.F23F1.1	O17072
6239.ZK6.6b	O61867
6239.Y70C5C.4	O62500
6239.C03D6.3a	Q6A3Q2
6239.F35D11.11b	Q8MQ60
6239.C39B5.1	Q9N5W5
6239.Y75B8A.35a.1	Q9U1S5
6239.F59E12.6a	Q86MP8
6239.F57C9.4b.2	A5A8Q6
6239.H40L08.2a	D5MCV5
6239.D1054.9b	H9G2X5
6239.F56D12.1a.1	Q86N72
6239.ZK622.3b	Q86NB3
6239.F14F11.1h	G5EC00
6239.F15C11.2a	G5EFF7
6239.T05A10.1m	Q7JM48
6239.F11C3.1	O02243
6239.F58G1.1	O62275
6239.C52E12.1.2	Q18782
6239.T26A5.8	Q22798
6239.F48F5.6a	Q7YX14
6239.Y39D8A.1d	Q8MXE2
6239.F54A3.4	Q9N4K2
6239.H24D24.2	Q9XXM3
6239.F53G12.3	O01795
6239.K12D9.7	P91382
6239.Y9C9A.6	Q9N2T0
6239.F21D9.4	Q9XV71
6239.B0564.10b	H9G2W7
6239.T05A1.1a	G5ED22
6239.F15A4.13	Q9NAQ6
6239.W03F11.1	O01780
6239.F45C12.2	O16748
6239.D1086.12b	Q5FC37
6239.T23E1.3	Q86FL9
6239.F14B8.7	Q95QL0
6239.W05F2.5.2	Q9TYT6
6239.K01A2.1	Q9TZ49
6239.F32F2.1b	D4YWB9
6239.Y66D12A.8a	Q95Q06
6239.C04F12.4.2	Q9XVE9
6239.F58H1.7a	G5EBT2
6239.ZK643.8	G5EDQ6
6239.T03D8.4	H9G339
6239.Y37E11AR.5	Q965X5
6239.ZK520.3a	G5EDS4
6239.C53C11.3	P91184
6239.T09B4.5a	Q86NC3
6239.D2085.5c	G5EG57
