7955.ENSDARP00000027118	Q5PRD0
7955.ENSDARP00000073276	E7F7Y0
7955.ENSDARP00000026653	E7F9B6
7955.ENSDARP00000103214	E7F9R4
7955.ENSDARP00000080009	E7FAX3
7955.ENSDARP00000098796	E7FBA8
7955.ENSDARP00000113718	E7FBF9
7955.ENSDARP00000110248	E7FBI1
7955.ENSDARP00000014305	E7FCZ1
7955.ENSDARP00000106821	E7FDG8
7955.ENSDARP00000099354	E7FEZ4
7955.ENSDARP00000123163	F1Q5D5
7955.ENSDARP00000100089	F1QA99
7955.ENSDARP00000099759	F1QG69
7955.ENSDARP00000059977	F1QNP5
7955.ENSDARP00000047211	F1QVV4
7955.ENSDARP00000072597	F1R4B4
7955.ENSDARP00000086016	F6NIY4
7955.ENSDARP00000062228	Q7SZM2
7955.ENSDARP00000097627	E9QIX7
7955.ENSDARP00000111734	F1QI82
7955.ENSDARP00000098114	F1QJI4
7955.ENSDARP00000111271	F1QJX1
7955.ENSDARP00000014010	F1QTI1
7955.ENSDARP00000058585	F1R6C4
7955.ENSDARP00000056521	F1RB91
7955.ENSDARP00000089406	A2BG37
7955.ENSDARP00000048656	A5WVW9
7955.ENSDARP00000074190	Q7ZTH6
7955.ENSDARP00000039036	Q7ZWA7
7955.ENSDARP00000111843	F6NNV9
7955.ENSDARP00000006549	Q5PRC4
7955.ENSDARP00000006228	Q6NX94
7955.ENSDARP00000080101	Q7T325
7955.ENSDARP00000068144	Q7ZZ22
7955.ENSDARP00000073936	Q504D1
7955.ENSDARP00000045294	Q58EH0
7955.ENSDARP00000017636	Q6P934
7955.ENSDARP00000025934	Q6P954
7955.ENSDARP00000083024	Q6QMR7
7955.ENSDARP00000043935	A0A0B5JFJ1
7955.ENSDARP00000111687	A0A0B5JQ40
7955.ENSDARP00000048382	A0A0B5JS55
7955.ENSDARP00000071713	A7MBW1
7955.ENSDARP00000069405	Q4G000
7955.ENSDARP00000036702	Q32ZE7
7955.ENSDARP00000097468	B3DGM3
7955.ENSDARP00000109190	E7F099
7955.ENSDARP00000006917	E7F173
7955.ENSDARP00000091573	E7F2R1
7955.ENSDARP00000025827	E7F4Y2
7955.ENSDARP00000103200	E7F9S1
7955.ENSDARP00000099153	E7FEF0
7955.ENSDARP00000087089	E7FFX0
7955.ENSDARP00000107232	F1Q909
7955.ENSDARP00000070011	F1QPV5
7955.ENSDARP00000113265	F1R035
7955.ENSDARP00000063618	F1R7J2
7955.ENSDARP00000104882	E7EXG9
7955.ENSDARP00000065997	E7F0U4
7955.ENSDARP00000102025	E7F2D8
7955.ENSDARP00000091990	E7F480
7955.ENSDARP00000106730	E7F9F6
7955.ENSDARP00000059955	E7F9V2
7955.ENSDARP00000101164	E7FAU6
7955.ENSDARP00000106579	E7FB58
7955.ENSDARP00000098684	E7FDB4
7955.ENSDARP00000100708	E7FFP8
7955.ENSDARP00000073766	Q6NZS3
7955.ENSDARP00000087870	A0A0A0V9A1
7955.ENSDARP00000121626	F1QA91
7955.ENSDARP00000056537	F1QIP2
7955.ENSDARP00000126346	F1QNS0
7955.ENSDARP00000121791	F1R2V1
7955.ENSDARP00000099733	F1R614
7955.ENSDARP00000117955	A0A0A0MPS7
7955.ENSDARP00000114665	B0UXG8
7955.ENSDARP00000010720	B8A5M8
7955.ENSDARP00000108078	E9QJL6
7955.ENSDARP00000120269	F6NKZ9
7955.ENSDARP00000104195	Q1LVV3
7955.ENSDARP00000075880	Q1LWP2
7955.ENSDARP00000111322	B8JI74
7955.ENSDARP00000105927	E9QIR8
7955.ENSDARP00000094274	Q1LXQ1
7955.ENSDARP00000112774	Q1LUX1
7955.ENSDARP00000082840	Q1LXQ7
7955.ENSDARP00000122764	F1QEN1
7955.ENSDARP00000053182	F1QKC2
7955.ENSDARP00000006223	F1QYM1
7955.ENSDARP00000120014	H0WFE7
7955.ENSDARP00000000985	E9QE17
7955.ENSDARP00000012722	E9QG09
7955.ENSDARP00000083725	F1Q8T2
7955.ENSDARP00000102839	F1QK15
7955.ENSDARP00000106729	F1QLC9
7955.ENSDARP00000073207	F1QTW5
7955.ENSDARP00000052075	F1QZV5
7955.ENSDARP00000079072	F1R290
7955.ENSDARP00000119324	F1R5U5
7955.ENSDARP00000097886	F1R911
7955.ENSDARP00000029832	U3JAV6
7955.ENSDARP00000090434	A2BFY9
7955.ENSDARP00000102231	A8BB00
7955.ENSDARP00000089651	A8WG91
7955.ENSDARP00000125628	I3IRX0
7955.ENSDARP00000063550	Q53VM5
7955.ENSDARP00000098682	Q5RHD6
7955.ENSDARP00000007995	Q5RI61
7955.ENSDARP00000045125	Q2Q1W5
7955.ENSDARP00000087871	A0A097F8D5
7955.ENSDARP00000109300	Q498Z8
7955.ENSDARP00000075565	R4GF01
7955.ENSDARP00000109960	Q567B0
7955.ENSDARP00000113285	A3KPK3
7955.ENSDARP00000109109	A1L2D4
7955.ENSDARP00000059403	Q503R3
7955.ENSDARP00000018371	X1WD34
7955.ENSDARP00000122115	Q1LUW7
7955.ENSDARP00000101769	Q5CZN8
7955.ENSDARP00000012201	Q5CZS7
7955.ENSDARP00000002791	Q90462
7955.ENSDARP00000100989	Q49GP4
7955.ENSDARP00000022977	E7EZP3
7955.ENSDARP00000104331	E7F061
7955.ENSDARP00000089419	E7F111
7955.ENSDARP00000086789	E7FBB4
7955.ENSDARP00000101463	E7FD64
7955.ENSDARP00000102273	E7F0N6
7955.ENSDARP00000110643	E7F842
7955.ENSDARP00000043683	F1RAQ0
7955.ENSDARP00000100882	F1RE55
7955.ENSDARP00000100232	F1RES7
7955.ENSDARP00000104895	F1QBX7
7955.ENSDARP00000100064	F6NXI2
7955.ENSDARP00000106694	H9GYH4
7955.ENSDARP00000085160	Q08JS2
7955.ENSDARP00000111636	Q1LVQ4
7955.ENSDARP00000091773	Q6AZW0
7955.ENSDARP00000106803	Q6DHQ6
7955.ENSDARP00000068144	Q9DDT1
7955.ENSDARP00000120164	E9QHI0
7955.ENSDARP00000021688	E9QCB1
7955.ENSDARP00000119147	E9QF96
7955.ENSDARP00000071575	E9QFS2
7955.ENSDARP00000113995	E9QHY4
7955.ENSDARP00000005845	E9QIJ4
7955.ENSDARP00000062748	Q1LUB5
7955.ENSDARP00000119608	E7FFY1
7955.ENSDARP00000103325	E9QGR6
7955.ENSDARP00000115928	F1QFR6
7955.ENSDARP00000003625	F1QHN0
7955.ENSDARP00000061048	F1QQZ3
7955.ENSDARP00000088640	F1QWD6
7955.ENSDARP00000116550	F1R1I8
7955.ENSDARP00000093249	F1R246
7955.ENSDARP00000075348	Q7ZTU7
7955.ENSDARP00000107542	U3JAI2
7955.ENSDARP00000062655	B0UYA2
7955.ENSDARP00000098310	B8JKF3
7955.ENSDARP00000057566	Q5RI60
7955.ENSDARP00000055379	Q8AYC4
7955.ENSDARP00000089316	A3QJW0
7955.ENSDARP00000094886	A8WGJ0
7955.ENSDARP00000081648	F6P5S7
7955.ENSDARP00000029462	Q1LXQ3
7955.ENSDARP00000027536	S6CNK8
7955.ENSDARP00000084512	B7ZUY8
7955.ENSDARP00000022692	F1R5J9
7955.ENSDARP00000016064	F1Q6M6
7955.ENSDARP00000117400	F1QNV9
7955.ENSDARP00000110631	Q6KC05
7955.ENSDARP00000117348	A9ZPE5
7955.ENSDARP00000112300	Q6NWA0
7955.ENSDARP00000023819	Q6NWI5
7955.ENSDARP00000119147	A4IG78
7955.ENSDARP00000089039	Q6T870
7955.ENSDARP00000013812	X1WGL1
7955.ENSDARP00000102794	X1WGP9
7955.ENSDARP00000091879	Q3S2N4
7955.ENSDARP00000081499	Q1MTE8
7955.ENSDARP00000105525	X1WC89
7955.ENSDARP00000085164	A0A0B6VLS4
7955.ENSDARP00000067238	A2BG18
7955.ENSDARP00000087441	Q566Z1
7955.ENSDARP00000123823	F8W505
7955.ENSDARP00000074529	G1K2Q4
7955.ENSDARP00000124053	F8W3S1
7955.ENSDARP00000100957	F8W4P9
7955.ENSDARP00000081086	Q08BL5
7955.ENSDARP00000107300	B3DLG6
7955.ENSDARP00000111535	D2Y5Q2
7955.ENSDARP00000117851	A0A076V364
7955.ENSDARP00000123811	F8W517
7955.ENSDARP00000072431	A0A0B5JW32
7955.ENSDARP00000099069	B3DGS5
7955.ENSDARP00000070385	B3DIF4
7955.ENSDARP00000027768	B2GSY7
7955.ENSDARP00000110504	A0A0B5JQ03
7955.ENSDARP00000081148	E7F1B4
7955.ENSDARP00000107674	E7F1I7
7955.ENSDARP00000097661	E7F6C3
7955.ENSDARP00000108194	E7F8T7
7955.ENSDARP00000033360	E7F9F0
7955.ENSDARP00000101937	E7FDW4
7955.ENSDARP00000105696	E7FEA0
7955.ENSDARP00000042623	E7FFL7
7955.ENSDARP00000024255	E7EXV8
7955.ENSDARP00000109774	E7FBV7
7955.ENSDARP00000075344	E7FF14
7955.ENSDARP00000100704	E7FFQ1
7955.ENSDARP00000020187	E7FGH5
7955.ENSDARP00000118955	F1Q8I4
7955.ENSDARP00000115477	F1QA42
7955.ENSDARP00000065984	F1QG51
7955.ENSDARP00000070109	F1QPF3
7955.ENSDARP00000055339	F1R0M4
7955.ENSDARP00000104775	F1R1A9
7955.ENSDARP00000095904	A0A0B5JFI1
7955.ENSDARP00000093734	E7EXF4
7955.ENSDARP00000111763	E7EYP7
7955.ENSDARP00000107125	E7F0J0
7955.ENSDARP00000068559	E7F2E1
7955.ENSDARP00000058058	E7F3A1
7955.ENSDARP00000063641	E7F4J8
7955.ENSDARP00000108688	E7F6Q2
7955.ENSDARP00000055755	E7F9N1
7955.ENSDARP00000110385	E7F9U0
7955.ENSDARP00000101769	E7FA51
7955.ENSDARP00000101005	E7FD86
7955.ENSDARP00000021430	E7FDJ4
7955.ENSDARP00000097865	E7FGZ9
7955.ENSDARP00000108774	F1Q4T2
7955.ENSDARP00000036893	F1QMI7
7955.ENSDARP00000078719	F1RE41
7955.ENSDARP00000102914	E7F0F1
7955.ENSDARP00000103971	E7F6A5
7955.ENSDARP00000087834	F1R6Y1
7955.ENSDARP00000098438	E7EY38
7955.ENSDARP00000098216	E7EZ34
7955.ENSDARP00000102755	E7F237
7955.ENSDARP00000094840	E7F2C9
7955.ENSDARP00000104130	E7F2J1
7955.ENSDARP00000111248	E7F322
7955.ENSDARP00000094646	E7F3Z7
7955.ENSDARP00000105754	E7F435
7955.ENSDARP00000112379	E7F616
7955.ENSDARP00000110623	E7F861
7955.ENSDARP00000108114	E7F966
7955.ENSDARP00000076350	E7FAK6
7955.ENSDARP00000125088	E7FBL2
7955.ENSDARP00000105107	E7FG36
7955.ENSDARP00000088490	Q90Z37
7955.ENSDARP00000103692	F1Q7V6
7955.ENSDARP00000069758	F1Q8E0
7955.ENSDARP00000089682	F1QE43
7955.ENSDARP00000015671	F1QHL6
7955.ENSDARP00000107771	F1QTK1
7955.ENSDARP00000067355	F1R0K4
7955.ENSDARP00000079103	F1R1E5
7955.ENSDARP00000116950	F1RA65
7955.ENSDARP00000055499	F1RAX6
7955.ENSDARP00000098660	B0S754
7955.ENSDARP00000041299	B8JJL4
7955.ENSDARP00000118408	F6P1L5
7955.ENSDARP00000098240	E7EZ24
7955.ENSDARP00000027867	E7EZE3
7955.ENSDARP00000098122	E7EZK9
7955.ENSDARP00000084665	E7F0F5
7955.ENSDARP00000104279	E7F1C0
7955.ENSDARP00000046640	E7F2L3
7955.ENSDARP00000122299	E7F2M3
7955.ENSDARP00000108523	E7F7A8
7955.ENSDARP00000067761	E7F9L8
7955.ENSDARP00000109756	E7FBW6
7955.ENSDARP00000045068	E7FCT1
7955.ENSDARP00000085982	E7FFE8
7955.ENSDARP00000056881	Q6P0Z1
7955.ENSDARP00000115933	F1Q579
7955.ENSDARP00000068009	F1QNM2
7955.ENSDARP00000052168	F1RA90
7955.ENSDARP00000109749	H9GYZ2
7955.ENSDARP00000114190	E9QBX9
7955.ENSDARP00000069028	Q1L8L0
7955.ENSDARP00000098158	E9QBP8
7955.ENSDARP00000108320	E9QGH1
7955.ENSDARP00000114908	F1QHX4
7955.ENSDARP00000073904	F1QQ72
7955.ENSDARP00000024085	B8A5S0
7955.ENSDARP00000081768	H9GXL4
7955.ENSDARP00000006705	F1QH91
7955.ENSDARP00000077082	F1QH99
7955.ENSDARP00000106595	F1QKX6
7955.ENSDARP00000113057	F1R096
7955.ENSDARP00000001281	F1R3X8
7955.ENSDARP00000121899	A2CEC3
7955.ENSDARP00000119611	A2CEP8
7955.ENSDARP00000088433	H9GXN8
7955.ENSDARP00000017482	Q6DC33
7955.ENSDARP00000104490	E9QBH5
7955.ENSDARP00000109493	E9QIY1
7955.ENSDARP00000074907	E9QJH3
7955.ENSDARP00000099261	Q1LY81
7955.ENSDARP00000021771	A2BHD4
7955.ENSDARP00000085782	Q1LWB7
7955.ENSDARP00000114902	Q5RG26
7955.ENSDARP00000001363	A5PLC4
7955.ENSDARP00000108732	Q588C3
7955.ENSDARP00000073256	B0R047
7955.ENSDARP00000088643	A5PL61
7955.ENSDARP00000102964	B0R0L6
7955.ENSDARP00000044428	B0S7J8
7955.ENSDARP00000017784	B2GPJ0
7955.ENSDARP00000105777	E9QD52
7955.ENSDARP00000115053	E9QHM3
7955.ENSDARP00000115750	F1Q653
7955.ENSDARP00000007227	F1Q8L0
7955.ENSDARP00000069707	F1Q9A5
7955.ENSDARP00000070385	F1QRS6
7955.ENSDARP00000027695	F1RBM8
7955.ENSDARP00000112408	F1RC55
7955.ENSDARP00000074317	Q7SZY7
7955.ENSDARP00000043951	Q8UV58
7955.ENSDARP00000070225	E9QF34
7955.ENSDARP00000116217	E9QIZ6
7955.ENSDARP00000078325	F1Q6K1
7955.ENSDARP00000121444	F1QYN9
7955.ENSDARP00000040115	F1RAB4
7955.ENSDARP00000125495	H0WF64
7955.ENSDARP00000120886	F1QKY0
7955.ENSDARP00000051755	F1R8C1
7955.ENSDARP00000120358	E9QGM3
7955.ENSDARP00000115108	E9QHE0
7955.ENSDARP00000104908	F1QBZ5
7955.ENSDARP00000099151	F1RBZ3
7955.ENSDARP00000065555	F1Q4P4
7955.ENSDARP00000115577	F1Q8Z3
7955.ENSDARP00000118229	F1QIB9
7955.ENSDARP00000124225	F1QJ67
7955.ENSDARP00000058214	F1R513
7955.ENSDARP00000025516	Q5RIL8
7955.ENSDARP00000064519	Q60H64
7955.ENSDARP00000119636	E9QC71
7955.ENSDARP00000114988	E9QDD7
7955.ENSDARP00000121637	E9QF99
7955.ENSDARP00000036209	E9QHA8
7955.ENSDARP00000042495	F1Q666
7955.ENSDARP00000114284	F1QF24
7955.ENSDARP00000097777	F1QS41
7955.ENSDARP00000085548	F1QV68
7955.ENSDARP00000032159	F1QZM7
7955.ENSDARP00000121129	F1R5E8
7955.ENSDARP00000073355	F1QS79
7955.ENSDARP00000049884	F1R561
7955.ENSDARP00000009149	A8E7S5
7955.ENSDARP00000089740	B0V1H9
7955.ENSDARP00000125770	I3ISA2
7955.ENSDARP00000119407	B0S5H3
7955.ENSDARP00000095115	F6NHV1
7955.ENSDARP00000107045	H9KUW5
7955.ENSDARP00000079306	Q1MTC0
7955.ENSDARP00000107861	B8JI53
7955.ENSDARP00000096455	A8E5F1
7955.ENSDARP00000047911	B0R0V3
7955.ENSDARP00000120509	B8JMA4
7955.ENSDARP00000126071	I3IT20
7955.ENSDARP00000115862	I3ITL1
7955.ENSDARP00000060242	Q1LX78
7955.ENSDARP00000111163	Q6PC04
7955.ENSDARP00000121347	Q7SYB9
7955.ENSDARP00000000985	E9QFW8
7955.ENSDARP00000086779	E9QH76
7955.ENSDARP00000110276	F1QVH4
7955.ENSDARP00000109718	F1QZ00
7955.ENSDARP00000027502	B8A5G8
7955.ENSDARP00000114515	A0JMF2
7955.ENSDARP00000080214	A1L5C8
7955.ENSDARP00000080411	Q1LVF3
7955.ENSDARP00000120833	Q4V8W3
7955.ENSDARP00000113716	A2AR70
7955.ENSDARP00000123249	B8JIM0
7955.ENSDARP00000003641	B8JKN6
7955.ENSDARP00000058551	E7F3P5
7955.ENSDARP00000040159	Q1LVI7
7955.ENSDARP00000108467	Q60I82
7955.ENSDARP00000095647	A4QP12
7955.ENSDARP00000043581	B0BLX8
7955.ENSDARP00000094886	A4QP20
7955.ENSDARP00000043340	Q6NXD6
7955.ENSDARP00000097470	I6LD69
7955.ENSDARP00000076180	Q5PRC5
7955.ENSDARP00000044518	Q9W7L7
7955.ENSDARP00000065255	Q6IQF7
7955.ENSDARP00000072946	Q7SYN0
7955.ENSDARP00000087869	A0A0A0VB08
7955.ENSDARP00000099559	A9JTH7
7955.ENSDARP00000050968	Q7SXK4
7955.ENSDARP00000056150	Q6NYR6
7955.ENSDARP00000079486	A0A0B5JK82
7955.ENSDARP00000112211	A0A0B5JQ62
7955.ENSDARP00000058442	A0A0B5JW90
7955.ENSDARP00000122083	A0A0B5JS86
7955.ENSDARP00000019206	Q5BKW3
7955.ENSDARP00000118021	Z4YIS0
7955.ENSDARP00000066178	Q05KN0
7955.ENSDARP00000108732	B3DJN5
7955.ENSDARP00000088481	D7F2U9
7955.ENSDARP00000124053	Q08CG5
7955.ENSDARP00000093832	A2BHW9
7955.ENSDARP00000066721	F8W5X1
7955.ENSDARP00000089407	A0A0B5JQ32
7955.ENSDARP00000002813	A0A0B5JW45
7955.ENSDARP00000067036	E7EZE8
7955.ENSDARP00000105011	E7F659
7955.ENSDARP00000052644	E7FCX4
7955.ENSDARP00000087078	E7FFX6
7955.ENSDARP00000121820	F1Q4S0
7955.ENSDARP00000058255	F1QBG3
7955.ENSDARP00000102894	F1QJD2
7955.ENSDARP00000109718	F1QNZ3
7955.ENSDARP00000088481	F1QXB5
7955.ENSDARP00000116721	F1R0T5
7955.ENSDARP00000011541	B8JL58
7955.ENSDARP00000077824	E7F2F4
7955.ENSDARP00000099582	E7F4Q2
7955.ENSDARP00000006674	E7F537
7955.ENSDARP00000002767	E7F8Q5
7955.ENSDARP00000099142	E7FEG0
7955.ENSDARP00000094009	E7FER3
7955.ENSDARP00000116813	F1Q4P7
7955.ENSDARP00000115027	F1Q7J9
7955.ENSDARP00000069465	F1Q8R4
7955.ENSDARP00000106803	F1Q9W1
7955.ENSDARP00000062940	F1QBP9
7955.ENSDARP00000086433	F1QF90
7955.ENSDARP00000106400	F1QL43
7955.ENSDARP00000106285	F1QL73
7955.ENSDARP00000106327	F1QMM9
7955.ENSDARP00000119276	F1R6R5
7955.ENSDARP00000063617	F1R7J3
7955.ENSDARP00000121336	F1R972
7955.ENSDARP00000008197	F1R986
7955.ENSDARP00000043726	F1R9X0
7955.ENSDARP00000112511	F1RD65
7955.ENSDARP00000045409	A2BFD8
7955.ENSDARP00000121570	B8JI56
7955.ENSDARP00000020361	F6P2R4
7955.ENSDARP00000111633	H9GZA3
7955.ENSDARP00000087877	A0A0A0VA51
7955.ENSDARP00000075137	Q1LUG1
7955.ENSDARP00000125456	H0WF25
7955.ENSDARP00000113897	E9QI35
7955.ENSDARP00000109376	F1QJN9
7955.ENSDARP00000099884	F1R4N4
7955.ENSDARP00000103493	Q5RHA6
7955.ENSDARP00000023429	A5WWE7
7955.ENSDARP00000121713	A7YY98
7955.ENSDARP00000078824	A8BB75
7955.ENSDARP00000082521	B8JKW1
7955.ENSDARP00000094372	F6N6I8
7955.ENSDARP00000108507	A3KQB8
7955.ENSDARP00000095795	A4JYR1
7955.ENSDARP00000074914	Q3BDS6
7955.ENSDARP00000099684	D0E2W0
7955.ENSDARP00000053472	Q803D6
7955.ENSDARP00000050955	B3DLG7
7955.ENSDARP00000077337	B3DIV0
7955.ENSDARP00000108194	B3DLK3
7955.ENSDARP00000039099	Q568M1
7955.ENSDARP00000124209	F8W4F1
7955.ENSDARP00000060544	E7F1J4
7955.ENSDARP00000091373	E7F4G4
7955.ENSDARP00000075872	F1R6V1
7955.ENSDARP00000109337	E7EZ89
7955.ENSDARP00000103901	E7F6D4
7955.ENSDARP00000098809	E7FA87
7955.ENSDARP00000075645	E7FAA0
7955.ENSDARP00000100359	E7FEL8
7955.ENSDARP00000112176	E7FET6
7955.ENSDARP00000108325	F8WJN2
7955.ENSDARP00000103396	F1Q793
7955.ENSDARP00000112030	F1QAK1
7955.ENSDARP00000115941	F1QAR7
7955.ENSDARP00000089039	F1QHA9
7955.ENSDARP00000114331	F1QIT4
7955.ENSDARP00000095265	F1QLQ9
7955.ENSDARP00000103591	F1QWV8
7955.ENSDARP00000006065	F1QYU0
7955.ENSDARP00000012374	F1QZP1
7955.ENSDARP00000110274	F1R047
7955.ENSDARP00000121576	F1R7C5
7955.ENSDARP00000063284	F1RDP7
7955.ENSDARP00000109436	F1RDS1
7955.ENSDARP00000112834	F1RE74
7955.ENSDARP00000120392	A2CEN1
7955.ENSDARP00000024471	F1QCS9
7955.ENSDARP00000062228	F1QJ17
7955.ENSDARP00000088998	F1QRS0
7955.ENSDARP00000002722	F1QWY5
7955.ENSDARP00000102260	F1QXK0
7955.ENSDARP00000112617	Q5RIQ4
7955.ENSDARP00000124605	B1H1I3
7955.ENSDARP00000125276	Q5RJ34
7955.ENSDARP00000067481	Q5SPI2
7955.ENSDARP00000116017	E9QGU8
7955.ENSDARP00000123222	E9QCP2
7955.ENSDARP00000004133	F1Q6E6
7955.ENSDARP00000123656	F1QJQ0
7955.ENSDARP00000026694	F1QRT7
7955.ENSDARP00000099725	F1R628
7955.ENSDARP00000067607	F1RBC5
7955.ENSDARP00000122835	Q7T139
7955.ENSDARP00000111973	X1WG17
7955.ENSDARP00000111311	B0S8J9
7955.ENSDARP00000108799	H0WEF7
7955.ENSDARP00000113543	B8JKI0
7955.ENSDARP00000105230	B8JN01
7955.ENSDARP00000117894	Q5QNN4
7955.ENSDARP00000116899	A9JRB1
7955.ENSDARP00000106117	G8XYX6
7955.ENSDARP00000086016	A3KNP9
7955.ENSDARP00000056102	Q6T491
7955.ENSDARP00000107852	Q8AWR4
7955.ENSDARP00000089039	Q6T869
7955.ENSDARP00000107569	X1WCQ3
7955.ENSDARP00000056279	X1WDM7
7955.ENSDARP00000062867	X1WHW8
7955.ENSDARP00000058738	A0A0B5JQ72
7955.ENSDARP00000108459	A0A0B5JS36
7955.ENSDARP00000107084	Q9DE48
7955.ENSDARP00000124066	F8W3J0
7955.ENSDARP00000125073	F8W5N5
7955.ENSDARP00000123814	F8W514
7955.ENSDARP00000104819	E7EXL0
7955.ENSDARP00000098055	E7F071
7955.ENSDARP00000102969	E7F0D5
7955.ENSDARP00000084607	E7F0I2
7955.ENSDARP00000103985	E7F698
7955.ENSDARP00000042272	E7F7G2
7955.ENSDARP00000079593	E7FCD1
7955.ENSDARP00000012414	E7FCG2
7955.ENSDARP00000112510	E7FF57
7955.ENSDARP00000050444	F1QFW2
7955.ENSDARP00000106438	F1QL07
7955.ENSDARP00000013812	F1R6L2
7955.ENSDARP00000055237	E7EYG6
7955.ENSDARP00000107830	E7F5B9
7955.ENSDARP00000029477	E7F9N7
7955.ENSDARP00000098869	E7FA45
7955.ENSDARP00000108874	E7FGA4
7955.ENSDARP00000111294	F1Q9C0
7955.ENSDARP00000120481	F1QBI5
7955.ENSDARP00000065699	F1QEQ9
7955.ENSDARP00000122142	F1QH12
7955.ENSDARP00000111422	F1QHK4
7955.ENSDARP00000095527	F1QLH0
7955.ENSDARP00000094324	F1QNJ2
7955.ENSDARP00000105420	F1QNW3
7955.ENSDARP00000082162	F1QPD2
7955.ENSDARP00000090302	F1QZW4
7955.ENSDARP00000064016	F1QZX0
7955.ENSDARP00000067116	F1R1E9
7955.ENSDARP00000058957	F1R1X4
7955.ENSDARP00000099699	F1R3Z1
7955.ENSDARP00000116929	F1RAT2
7955.ENSDARP00000100874	F1RE62
7955.ENSDARP00000112479	B8A4W5
7955.ENSDARP00000122978	F6P306
7955.ENSDARP00000101968	H9GY24
7955.ENSDARP00000125924	M9MME5
7955.ENSDARP00000057751	Q3Y6S4
7955.ENSDARP00000105317	E9QDD8
7955.ENSDARP00000122906	E9QF03
7955.ENSDARP00000086332	E9QFQ0
7955.ENSDARP00000031774	E9QG31
7955.ENSDARP00000117976	E9QIF9
7955.ENSDARP00000086649	F1QD06
7955.ENSDARP00000003059	F1QDJ3
7955.ENSDARP00000117892	F1QN36
7955.ENSDARP00000094497	F1QYW6
7955.ENSDARP00000007240	Q7T2C2
7955.ENSDARP00000064738	Q7ZUR9
7955.ENSDARP00000110238	Q8JFT9
7955.ENSDARP00000087122	F1RC21
7955.ENSDARP00000107551	B0S523
7955.ENSDARP00000094084	A3KNB0
7955.ENSDARP00000101181	A4QNU6
7955.ENSDARP00000099206	A4QNY1
7955.ENSDARP00000064032	Q2VBQ8
7955.ENSDARP00000117267	A3KPK8
7955.ENSDARP00000098185	A4JYP0
7955.ENSDARP00000117059	K9J6R0
7955.ENSDARP00000087878	A0A0A0VB12
7955.ENSDARP00000003030	Q7SXJ4
7955.ENSDARP00000079180	E7EYV1
7955.ENSDARP00000084170	Q1JPS5
7955.ENSDARP00000105058	A7MBR1
7955.ENSDARP00000109018	B3DJ66
7955.ENSDARP00000122788	Q910A2
7955.ENSDARP00000020177	B3DHV3
7955.ENSDARP00000068915	Q4KM23
7955.ENSDARP00000106446	E7FC59
7955.ENSDARP00000062506	E7EXU4
7955.ENSDARP00000102843	E7F1G7
7955.ENSDARP00000102682	E7F2T2
7955.ENSDARP00000099498	E7F432
7955.ENSDARP00000097538	E7F6N6
7955.ENSDARP00000106117	E7F932
7955.ENSDARP00000101279	E7F9J5
7955.ENSDARP00000101821	E7F9Z9
7955.ENSDARP00000014964	E7FBK0
7955.ENSDARP00000067893	E7FE07
7955.ENSDARP00000070246	E7FF84
7955.ENSDARP00000097957	E7FFF0
7955.ENSDARP00000087059	E7FFY5
7955.ENSDARP00000087011	E7FG04
7955.ENSDARP00000101872	F1QU79
7955.ENSDARP00000040404	C9QNV8
7955.ENSDARP00000121684	F1Q5L3
7955.ENSDARP00000003161	F1QJD4
7955.ENSDARP00000076776	F1QUT9
7955.ENSDARP00000094421	F1QYZ0
7955.ENSDARP00000119020	F1R2U6
7955.ENSDARP00000075862	F1R6W6
7955.ENSDARP00000116435	F1R757
7955.ENSDARP00000116703	F1RC84
7955.ENSDARP00000041769	F6NEY4
7955.ENSDARP00000112197	H9GZD8
7955.ENSDARP00000042081	Q08C65
7955.ENSDARP00000118827	Q1LV01
7955.ENSDARP00000053840	Q1LUG3
7955.ENSDARP00000090963	Q1LYL6
7955.ENSDARP00000103673	A2CEI3
7955.ENSDARP00000114850	F6NZZ2
7955.ENSDARP00000126238	I3ITJ6
7955.ENSDARP00000083719	Q1LX18
7955.ENSDARP00000089634	Q1LYR2
7955.ENSDARP00000084146	M9MMA0
7955.ENSDARP00000038430	A0A0B5JQ97
7955.ENSDARP00000020759	Q8JHU7
7955.ENSDARP00000086992	B0R0Z9
7955.ENSDARP00000101209	B0S7J9
7955.ENSDARP00000124928	B7ZVN7
7955.ENSDARP00000119031	E9QDV4
7955.ENSDARP00000105453	E9QE24
7955.ENSDARP00000113103	E9QGF5
7955.ENSDARP00000096983	F1R4Q5
7955.ENSDARP00000110546	F1RBP2
7955.ENSDARP00000101789	D2DUP8
7955.ENSDARP00000018643	A4JYS0
7955.ENSDARP00000112237	O93508
7955.ENSDARP00000068226	Q6WZD3
7955.ENSDARP00000112030	D9IVG3
7955.ENSDARP00000123962	F8W2C8
7955.ENSDARP00000070658	B7ZV91
7955.ENSDARP00000124944	F8W5X3
7955.ENSDARP00000090832	Q08BK3
7955.ENSDARP00000105058	Q08CQ1
7955.ENSDARP00000092615	F8W2F3
7955.ENSDARP00000124494	F8W354
7955.ENSDARP00000112177	F8W3X3
7955.ENSDARP00000116057	A0A0B5JKB2
7955.ENSDARP00000017897	B2GR99
7955.ENSDARP00000091935	B2GRR5
