224308.Bsubs1_010100014651	O05413
224308.Bsubs1_010100013891	P54464
224308.Bsubs1_010100013886	P54465
224308.Bsubs1_010100013881	P54466
224308.Bsubs1_010100013876	P54467
224308.Bsubs1_010100013871	P54468
224308.Bsubs1_010100013866	P54469
224308.Bsubs1_010100013851	P46344
224308.Bsubs1_010100013761	P54474
224308.Bsubs1_010100013746	P54477
224308.Bsubs1_010100013741	P54478
224308.Bsubs1_010100013731	P54480
224308.Bsubs1_010100013726	P54481
224308.Bsubs1_010100013716	P54483
224308.Bsubs1_010100013711	P54484
224308.Bsubs1_010100013706	P54485
224308.Bsubs1_010100013701	P54486
224308.Bsubs1_010100013691	P54487
224308.Bsubs1_010100013686	P54488
224308.Bsubs1_010100013676	P46339
224308.Bsubs1_010100013671	P46340
224308.Bsubs1_010100013646	P54489
224308.Bsubs1_010100013641	P54490
224308.Bsubs1_010100013631	P54491
224308.Bsubs1_010100013626	P54492
224308.Bsubs1_010100013616	P54494
224308.Bsubs1_010100013606	P54496
224308.Bsubs1_010100013601	P54497
224308.Bsubs1_010100013596	P54498
224308.Bsubs1_010100013591	P54499
224308.Bsubs1_010100013586	P54500
224308.Bsubs1_010100013581	P54501
224308.Bsubs1_010100013576	P54502
224308.Bsubs1_010100013561	P54505
224308.Bsubs1_010100013476	P54508
224308.Bsubs1_010100013471	P54509
224308.Bsubs1_010100013451	P54510
224308.Bsubs1_010100013436	P54513
224308.Bsubs1_010100013431	P54514
224308.Bsubs1_010100013426	P54515
224308.Bsubs1_010100013421	P54516
224308.Bsubs1_010100013411	P54518
224308.Bsubs1_010100013401	P49779
224308.Bsubs1_010100013346	P54519
224308.Bsubs1_010100013276	P54524
224308.Bsubs1_010100013266	P40770
224308.Bsubs1_010100013261	P54525
224308.Bsubs1_010100013256	P54527
224308.Bsubs1_010100013216	P54529
224308.Bsubs1_010100013161	P54534
224308.Bsubs1_010100013141	P54538
224308.Bsubs1_010100013136	P54539
224308.Bsubs1_010100013126	P54540
224308.Bsubs1_010100013116	P54542
224308.Bsubs1_010100013111	P54543
224308.Bsubs1_010100013076	P54549
224308.Bsubs1_010100013066	P54551
224308.Bsubs1_010100013056	P54553
224308.Bsubs1_010100013051	P54554
224308.Bsubs1_010100013036	P54557
224308.Bsubs1_010100013031	P54558
224308.Bsubs1_010100013026	P54559
224308.Bsubs1_010100013011	P54561
224308.Bsubs1_010100013006	P54562
224308.Bsubs1_010100013001	P54563
224308.Bsubs1_010100012996	P54564
224308.Bsubs1_010100012991	P54565
224308.Bsubs1_010100012986	P54566
224308.Bsubs1_010100012981	P54567
224308.Bsubs1_010100012976	P54568
224308.Bsubs1_010100012971	P54569
224308.Bsubs1_010100012921	P54573
224308.Bsubs1_010100013956	P38425
224308.Bsubs1_010100013311	P19672
224308.Bsubs1_010100013796	P17868
224308.Bsubs1_010100014181	P24810
224308.Bsubs1_010100014176	P24811
224308.Bsubs1_010100014166	P24812
224308.Bsubs1_010100014161	P24809
224308.Bsubs1_010100013501	P40949
224308.Bsubs1_010100013656	O32023
224308.Bsubs1_010100013651	O32022
224308.Bsubs1_010100013511	O32020
224308.Bsubs1_010100013221	O32015
224308.Bsubs1_010100013506	O32019
224308.Bsubs1_010100013021	O32014
224308.Bsubs1_010100014136	O32026
224308.Bsubs1_010100012906	C0H451
224308.Bsubs1_010100013826	C0H452
224308.Bsubs1_010100013981	C0H453
224308.Bsubs1_010100014271	C0H454
224308.Bsubs1_010100014366	C0H455
224308.Bsubs1_010100014771	O06006
224308.Bsubs1_010100014751	O06010
224308.Bsubs1_010100014746	O06011
224308.Bsubs1_010100014736	O07949
224308.Bsubs1_010100014731	O07919
224308.Bsubs1_010100014726	O07918
224308.Bsubs1_010100014721	O07909
224308.Bsubs1_010100014716	O07934
224308.Bsubs1_010100014711	O07937
224308.Bsubs1_010100014706	O07917
224308.Bsubs1_010100014696	O07931
224308.Bsubs1_010100014691	O07906
224308.Bsubs1_010100014686	O05407
224308.Bsubs1_010100015211	P94447
224308.Bsubs1_010100015206	O32060
224308.Bsubs1_010100015176	O05389
224308.Bsubs1_010100015136	O32052
224308.Bsubs1_010100015126	O32050
224308.Bsubs1_010100014641	O07079
224308.Bsubs1_010100014636	O07080
224308.Bsubs1_010100014631	O07081
224308.Bsubs1_010100014616	O07938
224308.Bsubs1_010100014591	P94500
224308.Bsubs1_010100014581	P94502
224308.Bsubs1_010100014561	O07086
224308.Bsubs1_010100014886	O05395
224308.Bsubs1_010100014881	O05396
224308.Bsubs1_010100014871	O05398
224308.Bsubs1_010100014866	O05399
224308.Bsubs1_010100014851	O05400
224308.Bsubs1_010100014836	O05401
224308.Bsubs1_010100014831	O05402
224308.Bsubs1_010100014816	O05405
224308.Bsubs1_010100014811	O05406
224308.Bsubs1_010100014551	P54428
224308.Bsubs1_010100014531	P54429
224308.Bsubs1_010100014521	P54430
224308.Bsubs1_010100014516	P54431
224308.Bsubs1_010100014511	P54432
224308.Bsubs1_010100014506	P54433
224308.Bsubs1_010100014496	P54435
224308.Bsubs1_010100014491	P54436
224308.Bsubs1_010100014486	P54437
224308.Bsubs1_010100014481	P54438
224308.Bsubs1_010100014476	P54439
224308.Bsubs1_010100014471	P54441
224308.Bsubs1_010100014461	P54442
224308.Bsubs1_010100014456	P54443
224308.Bsubs1_010100014451	P54444
224308.Bsubs1_010100014661	O05411
224308.Bsubs1_010100014671	O05410
224308.Bsubs1_010100014681	O05408
224308.Bsubs1_010100015021	O34452
224308.Bsubs1_010100015011	O34402
224308.Bsubs1_010100014976	O34472
224308.Bsubs1_010100014951	O34758
224308.Bsubs1_010100014946	O32036
224308.Bsubs1_010100014941	O32035
224308.Bsubs1_010100014936	O32034
224308.Bsubs1_010100014916	O32031
224308.Bsubs1_010100014906	O32029
224308.Bsubs1_010100015106	O32046
224308.Bsubs1_010100015101	O32045
224308.Bsubs1_010100015076	O32041
224308.Bsubs1_010100015046	O34528
224308.Bsubs1_010100014911	O32030
224308.Bsubs1_010100014956	O34828
224308.Bsubs1_010100015131	O32051
224308.Bsubs1_010100015196	O32059
224308.Bsubs1_010100014861	O32027
224308.Bsubs1_010100015071	O32040
224308.Bsubs1_010100014966	Q7WY61
224308.Bsubs1_010100014556	C0H458
224308.Bsubs1_010100015001	C0H461
224308.Bsubs1_010100015006	C0H462
224308.Bsubs1_010100015151	C0H463
224308.Bsubs1_010100015201	C0H464
224308.Bsubs1_010100015791	P94512
224308.Bsubs1_010100015766	P94517
224308.Bsubs1_010100015746	P94519
224308.Bsubs1_010100015741	P94520
224308.Bsubs1_010100015736	P94521
224308.Bsubs1_010100015651	P94536
224308.Bsubs1_010100015666	P94533
224308.Bsubs1_010100015641	P94538
224308.Bsubs1_010100015611	P94543
224308.Bsubs1_010100015596	P94546
224308.Bsubs1_010100015546	P42955
224308.Bsubs1_010100015521	P11469
224308.Bsubs1_010100015511	P97247
224308.Bsubs1_010100015486	P94559
224308.Bsubs1_010100015466	P94563
224308.Bsubs1_010100015471	P94562
224308.Bsubs1_010100015481	P94560
224308.Bsubs1_010100015426	P94569
224308.Bsubs1_010100015326	Q02170
224308.Bsubs1_010100015281	P26942
224308.Bsubs1_010100015396	P40736
224308.Bsubs1_010100015356	P37964
224308.Bsubs1_010100015256	P21204
224308.Bsubs1_010100016821	O34694
224308.Bsubs1_010100016476	O34973
224308.Bsubs1_010100015841	O34367
224308.Bsubs1_010100015846	O34678
224308.Bsubs1_010100016441	P53560
224308.Bsubs1_010100016786	O34862
224308.Bsubs1_010100016791	O34886
224308.Bsubs1_010100016796	O34413
224308.Bsubs1_010100015836	O34533
224308.Bsubs1_010100016126	C0SPB0
224308.Bsubs1_010100016121	O34355
224308.Bsubs1_010100016436	P53561
224308.Bsubs1_010100016431	Q795R2
224308.Bsubs1_010100016781	P42407
224308.Bsubs1_010100016426	O32071
224308.Bsubs1_010100016776	P42408
224308.Bsubs1_010100016106	O34424
224308.Bsubs1_010100016421	C0SPB3
224308.Bsubs1_010100016411	C0SP80
224308.Bsubs1_010100016406	O34371
224308.Bsubs1_010100016401	O34378
224308.Bsubs1_010100016101	O34917
224308.Bsubs1_010100016096	O34806
224308.Bsubs1_010100016386	Q795R8
224308.Bsubs1_010100016381	O34674
224308.Bsubs1_010100016711	C0SP90
224308.Bsubs1_010100016716	O34505
224308.Bsubs1_010100016361	O34977
224308.Bsubs1_010100016356	O35029
224308.Bsubs1_010100016701	O34872
224308.Bsubs1_010100016686	P40768
224308.Bsubs1_010100016671	O34883
224308.Bsubs1_010100016666	O35013
224308.Bsubs1_010100016056	O34308
224308.Bsubs1_010100016051	Q795U4
224308.Bsubs1_010100016651	C0SP84
224308.Bsubs1_010100016656	O34314
224308.Bsubs1_010100016661	O34649
224308.Bsubs1_010100016046	O35038
224308.Bsubs1_010100016331	O34471
224308.Bsubs1_010100016326	O34799
224308.Bsubs1_010100016646	O34493
224308.Bsubs1_010100016641	O34365
224308.Bsubs1_010100016041	O34350
224308.Bsubs1_010100016011	O34846
224308.Bsubs1_010100016316	C0SPC1
224308.Bsubs1_010100016621	O34618
224308.Bsubs1_010100016006	O34639
224308.Bsubs1_010100015991	O34980
224308.Bsubs1_010100015986	O34430
224308.Bsubs1_010100016301	O34760
224308.Bsubs1_010100016616	O34696
224308.Bsubs1_010100015976	O34921
224308.Bsubs1_010100016286	O34924
224308.Bsubs1_010100016281	O34305
224308.Bsubs1_010100016606	O34707
224308.Bsubs1_010100015971	O34922
224308.Bsubs1_010100016276	O34357
224308.Bsubs1_010100016271	O34496
224308.Bsubs1_010100016266	O34943
224308.Bsubs1_010100016596	O35008
224308.Bsubs1_010100016601	O34614
224308.Bsubs1_010100016581	O34712
224308.Bsubs1_010100016576	O34641
224308.Bsubs1_010100016571	O34898
224308.Bsubs1_010100016566	O34953
224308.Bsubs1_010100016561	O34392
224308.Bsubs1_010100016556	O35005
224308.Bsubs1_010100015951	C0H3P8
224308.Bsubs1_010100015956	O34460
224308.Bsubs1_010100016176	O34325
224308.Bsubs1_010100016531	Q795Q5
224308.Bsubs1_010100016526	O34546
224308.Bsubs1_010100016161	O34970
224308.Bsubs1_010100016516	O34881
224308.Bsubs1_010100015911	O34991
224308.Bsubs1_010100016506	O32072
224308.Bsubs1_010100015906	O34811
224308.Bsubs1_010100015806	P06568
224308.Bsubs1_010100015801	P06569
224308.Bsubs1_010100016221	P39063
224308.Bsubs1_010100016216	P39064
224308.Bsubs1_010100016246	P40779
224308.Bsubs1_010100016241	P40780
224308.Bsubs1_010100016236	P39914
224308.Bsubs1_010100016086	P37876
224308.Bsubs1_010100016801	P46916
224308.Bsubs1_010100015916	O32064
224308.Bsubs1_010100016291	O32065
224308.Bsubs1_010100016591	O32073
224308.Bsubs1_010100016061	O34503
224308.Bsubs1_010100016366	O32067
224308.Bsubs1_010100016311	O32066
224308.Bsubs1_010100016681	C0H3Q1
224308.Bsubs1_010100015961	C0H3P9
224308.Bsubs1_010100016721	C0H3Q2
224308.Bsubs1_010100016901	P71014
224308.Bsubs1_010100016881	O32079
224308.Bsubs1_010100016876	O32078
224308.Bsubs1_010100016871	O32077
224308.Bsubs1_010100016866	O32076
224308.Bsubs1_010100016861	O32075
224308.Bsubs1_010100016941	O32086
224308.Bsubs1_010100016926	O32084
224308.Bsubs1_010100016916	O32082
224308.Bsubs1_010100017301	O32101
224308.Bsubs1_010100017296	O32100
224308.Bsubs1_010100017286	O32098
224308.Bsubs1_010100017271	O32095
224308.Bsubs1_010100017266	O32094
224308.Bsubs1_010100017261	O32093
224308.Bsubs1_010100017256	O32092
224308.Bsubs1_010100017126	O05249
224308.Bsubs1_010100017141	O05252
224308.Bsubs1_010100017146	O05253
224308.Bsubs1_010100017151	O05254
224308.Bsubs1_010100017156	O05255
224308.Bsubs1_010100017166	O05257
224308.Bsubs1_010100017081	O05234
224308.Bsubs1_010100017076	O05235
224308.Bsubs1_010100017071	O05236
224308.Bsubs1_010100017066	Q795M6
224308.Bsubs1_010100017051	O05239
224308.Bsubs1_010100017046	O05240
224308.Bsubs1_010100017036	O05245
224308.Bsubs1_010100017031	O05246
224308.Bsubs1_010100017026	Q795M8
224308.Bsubs1_010100017016	O05248
224308.Bsubs1_010100017011	O05241
224308.Bsubs1_010100017001	O05243
224308.Bsubs1_010100017421	O32110
224308.Bsubs1_010100017416	O32109
224308.Bsubs1_010100017411	O32108
224308.Bsubs1_010100017406	O32107
224308.Bsubs1_010100017396	O32105
224308.Bsubs1_010100017386	O32103
224308.Bsubs1_010100017316	P71070
224308.Bsubs1_010100017321	P71071
224308.Bsubs1_010100017326	C0SP85
224308.Bsubs1_010100017346	C0SPB1
224308.Bsubs1_010100016966	O05261
224308.Bsubs1_010100016946	O05265
224308.Bsubs1_010100017426	O05267
224308.Bsubs1_010100017551	O32131
224308.Bsubs1_010100017556	O32132
224308.Bsubs1_010100017561	O32133
224308.Bsubs1_010100017566	O32134
224308.Bsubs1_010100017571	O32135
224308.Bsubs1_010100017576	O32136
224308.Bsubs1_010100017661	O32151
224308.Bsubs1_010100017666	O32152
224308.Bsubs1_010100017676	O32154
224308.Bsubs1_010100017681	O32155
224308.Bsubs1_010100017686	O32156
224308.Bsubs1_010100017696	O32158
224308.Bsubs1_010100017701	O32159
224308.Bsubs1_010100017711	O32160
224308.Bsubs1_010100017716	O32161
224308.Bsubs1_010100017756	O32166
224308.Bsubs1_010100017776	O32170
224308.Bsubs1_010100017781	O32171
224308.Bsubs1_010100017786	O32172
224308.Bsubs1_010100017791	O32173
224308.Bsubs1_010100017801	O32175
224308.Bsubs1_010100017836	O32180
224308.Bsubs1_010100017841	O32181
224308.Bsubs1_010100017846	O32182
224308.Bsubs1_010100017851	O32183
224308.Bsubs1_010100017866	O32186
224308.Bsubs1_010100017871	O32187
224308.Bsubs1_010100017876	O32188
224308.Bsubs1_010100017881	O32189
224308.Bsubs1_010100017896	P37959
224308.Bsubs1_010100017536	O32128
224308.Bsubs1_010100017531	O32127
224308.Bsubs1_010100017526	O32126
224308.Bsubs1_010100017521	O32125
224308.Bsubs1_010100017516	O32124
224308.Bsubs1_010100017511	O32123
224308.Bsubs1_010100017486	O32119
224308.Bsubs1_010100017476	O32117
224308.Bsubs1_010100017466	O32115
224308.Bsubs1_010100016971	P40747
224308.Bsubs1_010100017241	P14203
224308.Bsubs1_010100017111	P40760
224308.Bsubs1_010100017121	P40761
224308.Bsubs1_010100017491	P39839
224308.Bsubs1_010100017926	P40950
224308.Bsubs1_010100017056	O32087
224308.Bsubs1_010100017471	O32116
224308.Bsubs1_010100017236	O32089
224308.Bsubs1_010100017481	O32118
224308.Bsubs1_010100017276	O32096
224308.Bsubs1_010100017281	O32097
224308.Bsubs1_010100017436	O32111
224308.Bsubs1_010100017021	C0H3Q4
224308.Bsubs1_010100017611	C0H3Q7
224308.Bsubs1_010100017751	C0H3Q9
224308.Bsubs1_010100017821	C0H3R0
224308.Bsubs1_010100017831	C0H3R1
224308.Bsubs1_010100017721	C0H3Q8
224308.Bsubs1_010100017921	O32302
224308.Bsubs1_010100018211	O32225
224308.Bsubs1_010100018216	O32226
224308.Bsubs1_010100018221	O32227
224308.Bsubs1_010100018226	O32228
224308.Bsubs1_010100018231	O32229
224308.Bsubs1_010100018256	O32234
224308.Bsubs1_010100018276	O32238
224308.Bsubs1_010100018281	O32239
224308.Bsubs1_010100018306	C0SPB8
224308.Bsubs1_010100018361	O32244
224308.Bsubs1_010100018366	O32245
224308.Bsubs1_010100018371	O32246
224308.Bsubs1_010100018376	O32247
224308.Bsubs1_010100018381	O32248
224308.Bsubs1_010100018431	O32254
224308.Bsubs1_010100018436	O32255
224308.Bsubs1_010100018441	O32256
224308.Bsubs1_010100018446	O32257
224308.Bsubs1_010100018451	O32258
224308.Bsubs1_010100018871	O06965
224308.Bsubs1_010100018866	O06966
224308.Bsubs1_010100018851	O06968
224308.Bsubs1_010100018836	O06972
224308.Bsubs1_010100018831	O06973
224308.Bsubs1_010100018811	O06977
224308.Bsubs1_010100018801	O06978
224308.Bsubs1_010100018796	O06979
224308.Bsubs1_010100018791	O06980
224308.Bsubs1_010100018786	O06981
224308.Bsubs1_010100018776	O06983
224308.Bsubs1_010100018771	O06984
224308.Bsubs1_010100018766	O32263
224308.Bsubs1_010100018761	O06986
224308.Bsubs1_010100018756	O06987
224308.Bsubs1_010100018701	O06997
224308.Bsubs1_010100018696	O06998
224308.Bsubs1_010100018691	O06999
224308.Bsubs1_010100018686	O32262
224308.Bsubs1_010100018681	O07001
224308.Bsubs1_010100018651	O07005
224308.Bsubs1_010100018626	P71050
224308.Bsubs1_010100018621	P71051
224308.Bsubs1_010100018546	P71066
224308.Bsubs1_010100018486	O07016
224308.Bsubs1_010100018481	O07017
224308.Bsubs1_010100018476	Q795K2
224308.Bsubs1_010100018471	O07019
224308.Bsubs1_010100018116	O32206
224308.Bsubs1_010100018121	O32207
224308.Bsubs1_010100018126	O32208
224308.Bsubs1_010100018131	O32209
224308.Bsubs1_010100018141	O32211
224308.Bsubs1_010100018166	O32216
224308.Bsubs1_010100019211	P96499
224308.Bsubs1_010100019146	P96502
224308.Bsubs1_010100019086	O34792
224308.Bsubs1_010100019051	O34502
224308.Bsubs1_010100019046	O34643
224308.Bsubs1_010100019041	O34796
224308.Bsubs1_010100019016	O34604
224308.Bsubs1_010100019011	O34322
224308.Bsubs1_010100019006	O34628
224308.Bsubs1_010100019001	O34719
224308.Bsubs1_010100018996	O34648
224308.Bsubs1_010100018991	O34307
224308.Bsubs1_010100018986	P40762
224308.Bsubs1_010100018971	O34692
224308.Bsubs1_010100018966	O34986
224308.Bsubs1_010100018961	O34817
224308.Bsubs1_010100018936	O34382
224308.Bsubs1_010100018926	O34993
224308.Bsubs1_010100018916	O34735
224308.Bsubs1_010100017986	O32203
224308.Bsubs1_010100017996	O34631
224308.Bsubs1_010100018001	O34451
224308.Bsubs1_010100018006	O34805
224308.Bsubs1_010100018016	O34782
224308.Bsubs1_010100018021	O34940
224308.Bsubs1_010100018026	O34989
224308.Bsubs1_010100018031	P94504
224308.Bsubs1_010100018046	C0H3R5
224308.Bsubs1_010100018056	O34686
224308.Bsubs1_010100018061	P46324
224308.Bsubs1_010100018066	O34979
224308.Bsubs1_010100018071	O35007
224308.Bsubs1_010100018111	O32205
224308.Bsubs1_010100019126	P39737
224308.Bsubs1_010100019101	P28368
224308.Bsubs1_010100019206	P32437
224308.Bsubs1_010100019171	P39807
224308.Bsubs1_010100019161	P39808
224308.Bsubs1_010100018861	O32265
224308.Bsubs1_010100019021	O34366
224308.Bsubs1_010100018261	O32235
224308.Bsubs1_010100017936	C0H3R3
224308.Bsubs1_010100019106	C0H3R9
224308.Bsubs1_010100018806	C0H3R7
224308.Bsubs1_010100020766	P39583
224308.Bsubs1_010100020751	P25150
224308.Bsubs1_010100020746	P25149
224308.Bsubs1_010100020721	P39584
224308.Bsubs1_010100020716	P39585
224308.Bsubs1_010100020711	P39586
224308.Bsubs1_010100020706	P39587
224308.Bsubs1_010100020701	P39588
224308.Bsubs1_010100020696	P39589
224308.Bsubs1_010100020691	P39590
224308.Bsubs1_010100020681	P39592
224308.Bsubs1_010100020651	P39598
224308.Bsubs1_010100020646	P39599
224308.Bsubs1_010100020641	P39600
224308.Bsubs1_010100020631	P39601
224308.Bsubs1_010100020626	P39602
224308.Bsubs1_010100020586	P39603
224308.Bsubs1_010100020571	P39606
224308.Bsubs1_010100020561	P39607
224308.Bsubs1_010100020551	P39608
224308.Bsubs1_010100020536	P39609
224308.Bsubs1_010100020521	P39612
224308.Bsubs1_010100020516	P39613
224308.Bsubs1_010100020511	P39614
224308.Bsubs1_010100020496	P39617
224308.Bsubs1_010100020491	P39618
224308.Bsubs1_010100020486	P39619
224308.Bsubs1_010100020416	P39632
224308.Bsubs1_010100020391	P39637
224308.Bsubs1_010100020356	P39644
224308.Bsubs1_010100020351	P39645
224308.Bsubs1_010100020331	P39649
224308.Bsubs1_010100020316	P39651
224308.Bsubs1_010100020311	P71046
224308.Bsubs1_010100020306	P71047
224308.Bsubs1_010100020286	P70993
224308.Bsubs1_010100020276	P70995
224308.Bsubs1_010100020271	P70996
224308.Bsubs1_010100020251	P71000
224308.Bsubs1_010100020231	P71003
224308.Bsubs1_010100020226	P71004
224308.Bsubs1_010100020181	O07624
224308.Bsubs1_010100020161	P46909
224308.Bsubs1_010100020121	P45861
224308.Bsubs1_010100020116	P45862
224308.Bsubs1_010100020111	P45863
224308.Bsubs1_010100020076	P06629
224308.Bsubs1_010100020021	P45869
224308.Bsubs1_010100020011	P45871
224308.Bsubs1_010100019996	P45874
224308.Bsubs1_010100019991	P39150
224308.Bsubs1_010100019981	P39152
224308.Bsubs1_010100019961	P39156
224308.Bsubs1_010100019956	P39157
224308.Bsubs1_010100019891	P70958
224308.Bsubs1_010100019881	O32277
224308.Bsubs1_010100019866	P70960
224308.Bsubs1_010100019856	P70961
224308.Bsubs1_010100019851	P70966
224308.Bsubs1_010100019831	P70963
224308.Bsubs1_010100019801	P71036
224308.Bsubs1_010100019796	P71037
224308.Bsubs1_010100019791	P71038
224308.Bsubs1_010100019776	P71041
224308.Bsubs1_010100019766	P71042
224308.Bsubs1_010100019761	P71043
224308.Bsubs1_010100019751	P71045
224308.Bsubs1_010100019731	P94572
224308.Bsubs1_010100019721	P94573
224308.Bsubs1_010100019716	P94574
224308.Bsubs1_010100019706	P94576
224308.Bsubs1_010100019701	P94577
224308.Bsubs1_010100019696	P94578
224308.Bsubs1_010100019656	P94586
224308.Bsubs1_010100019646	P94587
224308.Bsubs1_010100019641	P94588
224308.Bsubs1_010100019636	P94589
224308.Bsubs1_010100019621	P94592
224308.Bsubs1_010100019616	P94593
224308.Bsubs1_010100019611	P96714
224308.Bsubs1_010100019601	P96715
224308.Bsubs1_010100019596	P96716
224308.Bsubs1_010100019591	P96717
224308.Bsubs1_010100019586	P96718
224308.Bsubs1_010100019581	P96719
224308.Bsubs1_010100019576	P96720
224308.Bsubs1_010100019571	P96721
224308.Bsubs1_010100019566	P96722
224308.Bsubs1_010100019561	P96723
224308.Bsubs1_010100019551	P96725
224308.Bsubs1_010100019546	P96726
224308.Bsubs1_010100019541	P96727
224308.Bsubs1_010100019536	O05215
224308.Bsubs1_010100019531	O05216
224308.Bsubs1_010100019526	O05217
224308.Bsubs1_010100019521	O05218
224308.Bsubs1_010100019516	O05219
224308.Bsubs1_010100019511	O05220
224308.Bsubs1_010100019491	O05223
224308.Bsubs1_010100019486	O05224
224308.Bsubs1_010100019461	P96728
224308.Bsubs1_010100019456	P96729
224308.Bsubs1_010100019406	P96739
224308.Bsubs1_010100019396	P96741
224308.Bsubs1_010100019391	Q7WY78
224308.Bsubs1_010100019386	C0SPB2
224308.Bsubs1_010100020611	O32282
224308.Bsubs1_010100019886	O32278
224308.Bsubs1_010100020321	O32280
224308.Bsubs1_010100019606	C0H3S3
224308.Bsubs1_010100020781	C0H3T3
224308.Bsubs1_010100021586	P42102
224308.Bsubs1_010100021576	P42103
224308.Bsubs1_010100021566	P42105
224308.Bsubs1_010100021546	P42108
224308.Bsubs1_010100021541	P42109
224308.Bsubs1_010100021536	P42111
224308.Bsubs1_010100021531	P42112
224308.Bsubs1_010100021516	P46325
224308.Bsubs1_010100021511	P46326
224308.Bsubs1_010100021506	P46327
224308.Bsubs1_010100021501	P46328
224308.Bsubs1_010100021491	P46330
224308.Bsubs1_010100021486	P46331
224308.Bsubs1_010100021481	P46332
224308.Bsubs1_010100021466	P46334
224308.Bsubs1_010100021391	P42421
224308.Bsubs1_010100021386	P42422
224308.Bsubs1_010100021381	P42423
224308.Bsubs1_010100021376	P42424
224308.Bsubs1_010100021371	P54940
224308.Bsubs1_010100021366	P54941
224308.Bsubs1_010100021361	P54942
224308.Bsubs1_010100021356	P54943
224308.Bsubs1_010100021351	P54944
224308.Bsubs1_010100021346	P54945
224308.Bsubs1_010100021341	P54946
224308.Bsubs1_010100021336	P54947
224308.Bsubs1_010100021331	P54948
224308.Bsubs1_010100021326	P54949
224308.Bsubs1_010100021321	P54950
224308.Bsubs1_010100021316	P54951
224308.Bsubs1_010100021311	P54952
224308.Bsubs1_010100021306	P54953
224308.Bsubs1_010100021301	P54954
224308.Bsubs1_010100021296	P54955
224308.Bsubs1_010100021291	P54956
224308.Bsubs1_010100021286	P54957
224308.Bsubs1_010100021216	P42294
224308.Bsubs1_010100021211	P42295
224308.Bsubs1_010100021206	P42296
224308.Bsubs1_010100021181	P42297
224308.Bsubs1_010100021161	P42298
224308.Bsubs1_010100021151	P42299
224308.Bsubs1_010100021146	P42300
224308.Bsubs1_010100021136	P42301
224308.Bsubs1_010100021131	P42320
224308.Bsubs1_010100021126	P42302
224308.Bsubs1_010100021116	P42304
224308.Bsubs1_010100021106	P42306
224308.Bsubs1_010100021101	P42307
224308.Bsubs1_010100021076	P42310
224308.Bsubs1_010100021071	P42311
224308.Bsubs1_010100021056	P42313
224308.Bsubs1_010100021046	P42314
224308.Bsubs1_010100021031	P42317
224308.Bsubs1_010100021026	P42318
224308.Bsubs1_010100021021	P42319
224308.Bsubs1_010100021016	P94352
224308.Bsubs1_010100021011	P94353
224308.Bsubs1_010100020996	P55184
224308.Bsubs1_010100020991	P55183
224308.Bsubs1_010100020986	P55182
224308.Bsubs1_010100020981	P55181
224308.Bsubs1_010100020976	P55185
224308.Bsubs1_010100020966	P94356
224308.Bsubs1_010100020961	P94357
224308.Bsubs1_010100020951	P94359
224308.Bsubs1_010100020936	P94361
224308.Bsubs1_010100020926	P94362
224308.Bsubs1_010100020891	P94369
224308.Bsubs1_010100020881	P94371
224308.Bsubs1_010100020876	P94372
224308.Bsubs1_010100020871	P94373
224308.Bsubs1_010100020866	P94374
224308.Bsubs1_010100020861	P94375
224308.Bsubs1_010100020856	P94376
224308.Bsubs1_010100021571	O32291
224308.Bsubs1_010100021521	O34704
224308.Bsubs1_010100021281	P39139
224308.Bsubs1_010100021201	P40737
224308.Bsubs1_010100021196	P40738
224308.Bsubs1_010100021176	Q07835
224308.Bsubs1_010100021156	O32286
224308.Bsubs1_010100020931	O32284
224308.Bsubs1_010100020841	O32283
224308.Bsubs1_010100021141	O32285
224308.Bsubs1_010100021121	C0H3T5
224308.Bsubs1_010100021581	C0H3T7
224308.Bsubs1_010100021226	C0H3T6
224308.Bsubs1_010100022121	P37523
224308.Bsubs1_010100022106	P37521
224308.Bsubs1_010100022101	P37520
224308.Bsubs1_010100022091	P37519
224308.Bsubs1_010100022056	P37516
224308.Bsubs1_010100022046	P37514
224308.Bsubs1_010100022041	P37513
224308.Bsubs1_010100022036	P37512
224308.Bsubs1_010100022031	P37511
224308.Bsubs1_010100022026	P37510
224308.Bsubs1_010100022021	P37509
224308.Bsubs1_010100022011	P37508
224308.Bsubs1_010100022006	P37507
224308.Bsubs1_010100022001	P37506
224308.Bsubs1_010100021996	P37505
224308.Bsubs1_010100021991	P37504
224308.Bsubs1_010100021986	P37503
224308.Bsubs1_010100021981	P37502
224308.Bsubs1_010100021976	P37501
224308.Bsubs1_010100021971	P37500
224308.Bsubs1_010100021966	P37499
224308.Bsubs1_010100021961	P37498
224308.Bsubs1_010100021956	P37497
224308.Bsubs1_010100021951	P37496
224308.Bsubs1_010100021946	P37495
224308.Bsubs1_010100021941	P37494
224308.Bsubs1_010100021936	P37493
224308.Bsubs1_010100021931	P37492
224308.Bsubs1_010100021926	P37491
224308.Bsubs1_010100021921	P37490
224308.Bsubs1_010100021901	P37489
224308.Bsubs1_010100021891	P37488
224308.Bsubs1_010100021881	P37486
224308.Bsubs1_010100021866	P37485
224308.Bsubs1_010100021861	P37484
224308.Bsubs1_010100021851	P37483
224308.Bsubs1_010100021846	P37482
224308.Bsubs1_010100021841	P37481
224308.Bsubs1_010100021831	P37480
