5833.PF14_0425	P14223
5833.PF10_0342	D9HMW7
5833.PFA0310c	A0A059UCL7
5833.PFE1150w	G3LXP0
5833.PFA0310c	I6Q5G2
5833.PFA0125c	Q105Z8
5833.MAL7P1.176	A0A024A0K8
5833.PF13_0338	C5HX97
5833.PF08_0019	Q7YST8
5833.PF14_0102	B9VGE3
5833.MAL7P1.208	B9VGW7
5833.PF11_0344	C5IES8
5833.PFD1150c	U6C8T1
5833.PFA0310c	E1CD32
5833.MAL7P1.176	F2X7F6
5833.PF13_0271	S5Y6B1
5833.PF11_0344	B2LUX5
5833.PF11_0344	B2LV95
5833.PFD0830w	A0A060DC17
5833.PF11_0344	C5IEB6
5833.PFE1150w	A0A060CWR0
5833.PF11_0344	M1V162
5833.PF10_0139	W8P8N4
5833.PF11_0344	C5IF40
5833.PFE1150w	F1CHM8
5833.PFC0210c	M1VLB0
5833.MAL7P1.176	A0A023ZZI8
5833.PF11_0344	I4CG03
5833.PF11_0344	I4CGS9
5833.PF11_0344	I4CH38
5833.PF11_0344	I4CH40
5833.PF11_0344	M1V170
5833.PFC0210c	M1VFT6
5833.PF11_0344	B2LV36
5833.MAL7P1.176	Q25735
5833.PF07_0006	B0Z8H7
5833.PFE1150w	G3LXV8
5833.PF11_0344	I4CG23
5833.PFC0210c	Q764K6
5833.PF13_0197	C5HWJ5
5833.PF11_0344	D9MXW2
5833.MAL7P1.176	F2X7G1
5833.PFA0310c	Q5R2K2
5833.PFI1475w	S6B5R6
5833.PF08_0095	A0A023PPA9
5833.PFE0395c	C5HXE2
5833.PF13_0019	D9IWI5
5833.PFB0310c	Q8ITM2
5833.PFB0100c	E1ANN6
5833.PFB0340c	I0IZ29
5833.PFB0340c	I0IZG7
5833.PFB0340c	I0IZI1
5833.MAL8P1.113	Q2KNQ1
5833.MAL8P1.127	Q2KNV0
5833.PFC0210c	Q764K2
5833.PFE1150w	A0A060CT43
5833.PF11_0344	M1VQ74
5833.PFA0590w	A0A076PXU8
5833.PFB0100c	E1ANN8
5833.PFB0935w	G5EKX0
5833.PFB0340c	I0IYZ9
5833.PF07_0006	B0Z8D0
5833.PF07_0006	B0Z8H0
5833.MAL7P1.208	C4N8B3
5833.PF13_0197	C5HWM2
5833.PFB0340c	I0IZX5
5833.PFE0395c	C5HDZ7
5833.PFD0830w	D0QXK2
5833.MAL7P1.229	G5EL34
5833.PFA0125c	C0L3F6
5833.PF11_0344	C5HW87
5833.PF10_0323	C5HWR8
5833.PF11_0344	I4CGY9
5833.PFB0340c	T1RTE7
5833.PF13_0238	A0A077GYF7
5833.PFE1150w	A0A060CX62
5833.PF13_0192	C5HEL6
5833.PF08_0095	A0A023PPS0
5833.PFI1820w	Q1KV47
5833.PF14_0077	Q17SC2
5833.PFF0730c	Q9BH77
5833.PF13_0238	A0A077GZ87
5833.PF11_0165	Q9N6S8
5833.PF11_0165	A0A077GYL9
5833.MAL8P1.132	Q2KNR2
5833.PFD0830w	A0A023PPM3
5833.MAL7P1.176	A0A023ZZH5
5833.PFA0310c	E5RU29
5833.PFB0340c	I0IZM8
5833.PF11_0344	I4CGA0
5833.PF11_0344	I4CGA6
5833.PF11_0344	B2LUV3
5833.PF13_0197	C5HWK3
5833.PFE1150w	G3LXP6
5833.PF11_0344	I4CGK9
5833.PF11_0344	M1VAC2
5833.PFB0340c	T1RUF3
5833.PFB0340c	I0IYW5
5833.PFC0210c	Q5EIM4
5833.MAL7P1.208	B9VGX3
5833.MAL7P1.176	Q105F2
5833.PF11_0165	A0A077GXS8
5833.PFB0340c	I0IZN0
5833.PF13_0238	A0A077H0C1
5833.PFB0340c	I0J037
5833.PFE1150w	S5Y5Y2
5833.PF13_0271	S5Y681
5833.PFD0830w	A0A023W3N6
5833.PF08_0095	A0A023W3T7
5833.PFA0310c	E1CD50
5833.PFB0340c	I0IYY5
5833.PFC0210c	Q5R2L2
5833.PFA0125c	A0A024A068
5833.PF08_0109	Q2KNU5
5833.PF08_0113	Q2KNV7
5833.PF13_0218	S5YCL0
5833.PFB0340c	I0IZ98
5833.PFB0340c	I0IYV6
5833.PF14_0655	Q2PZH3
5833.PFE1640w	Q8STD7
5833.PF10_0356	Q9TW79
5833.PF14_0201	C5HDX7
5833.PF11_0344	M1V1E9
5833.PF11_0512	Q07129
5833.PF13_0348	C5HEY4
5833.PFB0340c	I0IZR0
5833.PFA0125c	Q6RKB8
5833.PF07_0006	B0Z8I0
5833.PF11_0344	I4CG16
5833.PFE1150w	G3LXQ5
5833.PFC0210c	A0SKR7
5833.PFE1150w	G3LXM9
5833.PF07_0006	B0Z8H4
5833.PFB0340c	I0IZW8
5833.PF11_0344	M1VAF0
5833.PFD0830w	A0A023W3I4
5833.PFA0125c	A0A023ZZV2
5833.MAL13P1.60	A0A023ZZ59
5833.PF13_0238	A0A077H2Z8
5833.PF10_0342	D9HMX6
5833.PF10_0344	Q9TVT7
5833.PFD0830w	A0A060DBR7
5833.PF10_0144	C4N895
5833.PFF0615c	C5HE14
5833.PFB0935w	G5EKY0
5833.PFB0340c	I0IZ04
5833.PF11_0344	I4CGP5
5833.PF10_0355	D9HN91
5833.MAL8P1.111	Q2KNQ8
5833.PFD0830w	Q9GNC9
5833.PFD0830w	A0A023W280
5833.PF08_0095	A0A023W293
5833.MAL7P1.176	A0A023ZZ89
5833.MAL13P1.60	A0A023ZZZ5
5833.PF13_0238	A0A077GXU2
5833.PFC0210c	A0SKR9
5833.PF07_0006	B0Z8I2
5833.PF10_0018	Q19KB2
5833.MAL7P1.27	Q594I2
5833.PF13_0238	A0A077GYX4
5833.PFA0310c	E1CC54
5833.PF14_0624	Q2KNY2
5833.PFB0310c	Q8I0Q9
5833.MAL7P1.176	A0A023ZZH1
5833.PFA0125c	A0A024A0X1
5833.PF11_0344	A0A075DC61
5833.PF10_0323	C5HWU9
5833.MAL7P1.176	Q58HL5
5833.PF07_0006	B0Z8G8
5833.PF14_0102	B9VGD8
5833.MAL7P1.208	B9VGW5
5833.MAL7P1.208	B9VGY0
5833.PFF0995c	C5HDU8
5833.PF14_0201	C5HDY0
5833.MAL7P1.229	G5EL31
5833.PF11_0344	O00784
5833.PF10_0071	O96601
5833.MAL13P1.60	Q8MM32
5833.PFE0120c	Q95NL3
5833.PF07_0006	B0Z8H2
5833.PF10_0342	D9HMW8
5833.PFB0340c	I0IZ55
5833.PFC0210c	Q99256
5833.PFA0590w	D0QF32
5833.PF10_0342	D9HMV7
5833.PF10_0355	D9HN89
5833.PFE1150w	G3LXT5
5833.PFB0340c	I0IZ80
5833.PFB0340c	I0IZC1
5833.PFE1150w	G3LXM0
5833.PFD1160w	H7CFZ2
5833.PF08_0108	Q2KNX4
5833.PF10_0342	D9HMY4
5833.PFI1730w	G5EL58
5833.PFL1285c	Q8WSN0
5833.PFI1730w	G5EL54
5833.PF13_0338	C5HX92
5833.MAL8P1.113	Q2KNT9
5833.PF08_0095	W5RZ45
5833.PFB0340c	I0IYY3
5833.PFD0830w	Q9GNB4
5833.PF07_0037	Q9XTM9
5833.PF13_0238	A0A077GZ65
5833.PFE1150w	A0A075DZH2
5833.PFA0310c	E1CC12
5833.PFC0210c	Q9TVW7
5833.PFD0830w	A0A060DCC5
5833.PFA0590w	A0A076Q432
5833.PFE0395c	C5HE04
5833.MAL13P1.173	C5HE70
5833.PF13_0338	C5HXB3
5833.PFE0395c	C5HXG4
5833.PFE1150w	A0A060CT17
5833.PF14_0102	B9VGE6
5833.PF10_0323	C5HWT3
5833.PF13_0338	C5HX58
5833.PFE0395c	C5HXI7
5833.PF13_0348	C5HXY7
5833.PFA0310c	D3KCG5
5833.PF07_0004	D9HMR4
5833.PF14_0076	Q17SC7
5833.PF14_0102	B9VGG0
5833.MAL7P1.208	C4N8B9
5833.MAL7P1.208	C5HXM9
5833.PF10_0329	Q2KNY9
5833.PFI0265c	B9VGI6
5833.PF11_0344	C5HW95
5833.PF13_0338	C5HX79
5833.PF13_0348	C5HXY5
5833.PF11_0165	Q9NAW2
5833.PF11_0344	Q8I0S3
5833.PF08_0095	Q9GN48
5833.PF11_0344	B2LV85
5833.PFB0340c	I0IZ26
5833.PFB0340c	I0IZD1
5833.MAL7P1.27	Q1PPY9
5833.PFB0340c	I0IZV0
5833.PF11_0344	I4CG38
5833.PFB0340c	I0IZH7
5833.PF11_0344	C5HWA3
5833.PFE1150w	G3LXP9
5833.PFD0830w	Q9GNB5
5833.PF07_0006	B0Z8G0
5833.PF14_0201	C5HDY4
5833.PF13_0348	C5HEY1
5833.PFA0310c	E1CC17
5833.PFB0340c	I0IYX8
5833.PFB0340c	I0IZ34
5833.PFB0340c	I0IZL0
5833.PFE1150w	A0A060D2P5
5833.MAL13P1.60	Q105S2
5833.MAL7P1.176	A0A023ZZY7
5833.PFI0265c	B9VGG9
5833.MAL7P1.176	A0A023ZYS7
5833.MAL7P1.176	C0L3F1
5833.PFD1160w	H7CG21
5833.PFE1150w	S5YWG3
5833.PF11_0344	C5HW81
5833.PFE0395c	C5HXL5
5833.MAL7P1.208	C5HXN5
5833.MAL7P1.208	C5HXS5
5833.PFB0295w	Q1WG96
5833.PFC0271c	Q7KXR4
5833.PF11_0344	Q8I0G0
5833.PFE1150w	A0A060CWR5
5833.PFI0265c	B9VGH5
5833.PFI0265c	B9VGH7
5833.MAL7P1.208	B9VGW9
5833.MAL7P1.208	C4N8B8
5833.PF10_0323	C5HWS2
5833.PF13_0348	C5HXU7
5833.PFA0765c	Q3BJ87
5833.PFI1475w	Q764L3
5833.MAL13P1.176	Q9BK45
5833.PF11_0344	C5HW78
5833.PFE1150w	G3LXV3
5833.PF14_0077	Q17SC5
5833.PF11_0486	Q8T5C7
5833.PF11_0344	B2LV38
5833.PF13_0338	C5HX55
5833.PFE1150w	A0A060CX06
5833.MAL13P1.60	C0L3D8
5833.PF13_0338	C5HDW0
5833.PFB0340c	I0IZB9
5833.PF08_0095	Q25704
5833.MAL13P1.310	B9P4K9
5833.MAL7P1.27	F8TW04
5833.PFB0340c	I0IYZ6
5833.PF08_0108	Q2KNX8
5833.PFE0830c	Q8WP98
5833.PFE1150w	A0A060CX35
5833.PFE1150w	A0A060D1X3
5833.PF10_0342	D9HMZ0
5833.PFF0020c	Q1KV63
5833.PF13_0197	C5HWJ6
5833.PF13_0338	C5HX59
5833.PFE1150w	A0A060D2V1
5833.PFB0340c	I0IYX1
5833.PFB0340c	I0IZB0
5833.PFI1475w	M1V916
5833.MAL7P1.176	Q58HK6
5833.PFD0830w	A0A060DC02
5833.PF13_0238	A0A0A0WGZ8
5833.PF08_0102	Q2KNS7
5833.PF11_0344	I4CGG3
5833.PFB0100c	E1ANP2
5833.PFB0340c	I0IYX4
5833.PFB0340c	I0IZF8
5833.PFB0340c	I0J008
5833.PF11_0344	Q8I0N4
5833.MAL7P1.208	C5HXN4
5833.PFI1730w	G5EL61
5833.PFB0340c	I0IYU8
5833.PFB0340c	I0IZI9
5833.PF13_0198	Q95NX9
5833.PF13_0197	C5HWI6
5833.MAL13P1.60	A0A023ZYG9
5833.PFC0210c	A0SKR8
5833.PFB0915w	Q8I042
5833.PF07_0037	Q9TVN7
5833.PF13_0348	C5HXZ7
5833.PFC0210c	C5MK64
5833.PFE1150w	R4JR76
5833.PF14_0078	Q9Y006
5833.PFL1420w	Q6Q3H7
5833.PFA0310c	A0A059UCJ6
5833.PFE1150w	G3LXR1
5833.PFE1150w	R4JR81
5833.MAL13P1.60	A0A023ZYT9
5833.PF10_0303	Q9TVS3
5833.MAL13P1.60	A0A023ZYW1
5833.MAL13P1.60	A0A024A0B4
5833.PFE1150w	A0A060CT08
5833.PF11_0344	I4CH86
5833.PFF0020c	Q1KV50
5833.PFC0210c	A0SKK1
5833.PF13_0338	C5HX54
5833.PFE1150w	G3LXM4
5833.PF11_0344	I4CG69
5833.PFL1410c	A0A097GTS3
5833.PFL1410c	A0A097GTT4
5833.PFL1410c	A0A097GTU0
5833.PFL1410c	A0A097GTV2
5833.PF14_0294	Q94656
5833.PF14_0492	Q86RA7
5833.PF14_0381	Q8MTV7
5833.PF13_0238	A0A0A7RGD7
5833.PF13_0238	A0A0A7RGG0
5833.PF13_0238	A0A0B4U500
5833.PFL1410c	A0A097GTT5
5833.PF11_0098	Q25793
5833.PF14_0381	Q9U0R8
5833.PF11_0476	Q2TFW2
5833.PFL2665c	A0A0A7M4D5
5833.PFD0825c	Q8ISI7
5833.PFD1005c	A0A0A7M428
5833.PF11_0396	O43966
5833.PFI1020c	O96387
5833.PF14_0464	Q0ZAG0
5833.PFL1170w	A1EAA0
5833.PFC0975c	Q25756
5833.PFL1550w	Q968W4
5833.PF13_0238	A0A0B4U3D3
5833.PF13_0238	A0A0B4U3H5
5833.PF13_0238	A0A0B4U3L2
5833.PFL0950c	Q9U421
5833.PFL1410c	A0A097GTX6
5833.PF13_0238	A0A0B4U542
5833.PF14_0511	Q25856
5833.PF10_0084	Q25792
5833.PF10_0406	A0A0A7M4C7
5833.PF11_0095a	Q2Q450
5833.PFE0455w	Q2TFW9
5833.PF07_0050	A0A0A7M3X3
5833.PFL1410c	A0A097GTU5
5833.PFL1410c	A0A097GTV3
5833.PF13_0238	A0A0B4U466
5833.PFE1195w	Q7KAU3
5833.PF10_0355	A0A0A7MFV5
5833.PF14_0346	Q8MMZ4
5833.PF13_0238	A0A0B4U3F5
5833.PF13_0238	A0A0B4U497
5833.PFE1085w	A7U5W9
5833.PF11_0164	Q27745
5833.PF11_0062	Q27717
5833.PFL1410c	A0A097GTS0
5833.PFD1050w	Q25790
5833.PFL1410c	A0A097GTU9
5833.PFD1145c	B2L3N7
5833.PF14_0294	Q25758
5833.MAL7P1.113	A7U5X0
5833.PF13_0238	A0A0B4U5G2
5833.PF10_0348	A0A0A7MCV7
5833.PFL1410c	A0A097GTT1
5833.PF13_0238	A0A0A7RC94
5833.PF11_0260	Q9U935
5833.PF13_0238	A0A0B4U551
5833.PFL1970w	A0A0A7M409
5833.PFL1950w	A0A0A7M3K1
5833.PF08_0140	A0A0A7M6C9
5833.PF13_0238	A0A0C5GDE2
5833.MAL13P1.284	Q27722
5833.PF11_0338	Q8WPZ6
5833.PFL1410c	A0A097GTW3
5833.PFE1505w	Q0ZAF9
5833.PFL1410c	A0A097GTU3
5833.PF13_0238	A0A0B4U413
5833.PF13_0238	A0A0B4U4X2
5833.PF14_0425	B7SSH0
5833.PFL1360c	Q1L697
5833.PF13_0238	A0A0B4U4S3
5833.PF10_0355	A0A0A7MCY3
5833.PF14_0651	A5JTT9
5833.PF13_0238	A0A0B4U4X1
5833.PF10_0355	A0A0A7MB87
5833.PF10_0355	A0A0A7MAZ5
5833.PFL1410c	A0A097GTU7
5833.PFD0020c	A0A0A7M6B4
5833.PF13_0238	A0A0B4U3P7
5833.PF13_0238	A0A0B4U4U5
5833.PFB0295w	A0A0B5KSN9
5833.PF14_0164	Q9GTK5
5833.PF14_0382	Q8MVZ1
5833.PFL1410c	A0A097GTS1
5833.PF13_0238	A0A0B4U4W2
5833.MAL13P1.60	Q8WS31
5833.PF13_0238	A0A0A7RC34
5833.PF13_0238	A0A0B4U3J3
5833.PF10_0407	Q5VGY2
5833.PF11_0147	Q25917
5833.PF14_0425	B7SSH1
5833.PF14_0511	Q27741
5833.PFL1950w	A0A0A7M474
5833.PFL2380c	Q1L698
5833.PF13_0238	A0A0B4U4B8
5833.PF13_0238	A0A0B4U427
5833.PFI1170c	Q25742
5833.PF13_0238	A0A0B4U4V5
5833.PF13_0238	A0A0B4U5H6
5833.PF08_0100	J7HDV0
5833.MAL13P1.135	Q0ZAG4
5833.PFL1710c	C5J0C6
5833.PFL1410c	A0A097GTU8
5833.PF14_0192	E7DX59
5833.PF13_0238	A0A0A7RG95
5833.PFL0950c	Q27720
5833.PF13_0238	A0A0B4U3N1
5833.PF08_0066	Q5VGY1
5833.PF14_0496	Q2TFW8
5833.MAL8P1.21	Q0ZAF5
5833.PF13_0238	A0A0C5GSN7
5833.PFL1410c	A0A097GTS5
5833.PF13_0238	A0A0B4U3E2
5833.PF13_0238	A0A0B4U3I5
5833.PFI0515w	Q0ZAF8
5833.PFL1410c	A0A097GTV7
5833.PFL1410c	A0A097GTU1
5833.PF08_0103	A0A0A7M8L5
5833.MAL13P1.214	Q6T755
5833.MAL7P1.187	A0A0A7M434
5833.PF14_0425	B7SSG8
5833.PFL1410c	A0A097GTV9
5833.PF14_0425	B7SSG9
5833.PFL1410c	A0A097GTU6
5833.PF11_0162	Q9NAW4
5833.PFL0740c	Q50JA6
5833.PFL1410c	A0A097GTV1
5833.PFL1410c	A0A097GTV6
5833.PF10_0355	A0A0A7MAQ8
5833.PFL1410c	A0A097GTT9
5833.PFI0328c	Q1L6A0
5833.PF10_0355	A0A0A7MCY8
5833.PFD1235w	A0A0A7M491
5833.PF13_0238	A0A0B4U5F9
5833.PF10_0348	A0A0A7MB32
5833.PF13_0177	A0T1H5
5833.PF13_0238	A0A0B4U4T5
5833.PFL1410c	A0A097GTV0
5833.PF11_0243	Q1L699
5833.PFL0005w	A0A0A7M4G5
5833.MAL7P1.176	Q05644
5833.PF10_0355	A0A0A7MAR4
5833.PF10_0355	A0A0A7MAZ1
5833.PF13_0238	A0A0C5G6B8
5833.PFL0935c	A0A0A7M8M0
5833.PF13_0238	A0A0B4U3L8
5833.PF14_0254	Q86G84
5833.PFL1410c	A0A097GTW4
5833.PF13_0238	A0A0B4U4D5
5833.PF08_0106	A0A0A7M4H8
5833.PFL1410c	A0A097GTT0
5833.PF10_0132	E7EEJ9
5833.PFL1410c	A0A097GTX1
5833.PFI0910w	A0A088SII8
5833.PFL1410c	A0A097GTS2
5833.PFL1410c	A0A097GTT7
5833.PFL1410c	A0A097GTW0
5833.PFL1410c	A0A097GTT3
5833.PF13_0238	A0A0B4U5F4
5833.PF10_0355	A0A0A7MFU8
5833.PFA0765c	A0A0A7M694
5833.PF10_0355	A0A0A7MFR7
5833.PF14_0164	Q9TXS8
5833.PFL1410c	A0A097GTV8
5833.PF10_0275	A8CBI4
5833.PF13_0238	A0A0B4U4Z7
5833.PF10_0355	A0A0A7MD15
5833.PF13_0238	A0A0B4U3B1
5833.PF13_0238	A0A0B4U4S6
5833.PFL1410c	A0A097GTW6
5833.MAL13P1.16	Q0ZAF6
5833.PF11_0359	Q8MV47
5833.MAL7P1.55	A0A0A7M8G5
5833.PFL0480w	A8CBH8
5833.PF13_0238	A0A0C5GSN5
5833.PF14_0425	A1BY85
5833.PF11_0147	Q9GR08
5833.PF13_0238	A0A0B4U480
5833.PF13_0238	A0A0B4U491
5833.PF13_0238	A0A0B4U4V4
5833.PFL1550w	Q6KCB6
5833.PF10_0355	A0A0A7MB91
5833.PF13_0238	A0A0A7RBC7
5833.PF11_0465	Q9BJC6
5833.PFE1215c	A0A0C5D0X8
5833.PF13_0238	A0A0B4U4S7
5833.PFC0400w	Q548Y1
5833.PFL1410c	A0A097GTU2
5833.PF13_0258	Q8WSL1
5833.PF13_0238	A0A0A7RG70
5833.PF13_0238	A0A0B4U3A8
5833.PF13_0238	A0A0B4U4W6
5833.PF10_0355	A0A0A7MAM5
5833.PF13_0238	A0A0C5GGZ7
5833.PF11_0301	Q9NFS5
5833.PFD0625c	A0A0A7M3H7
5833.PF13_0238	A0A0B4U4A9
5833.PF14_0381	Q8MYK5
5833.PFE0370c	Q868D6
5833.PF13_0238	A0A0B4U4Y7
5833.PF10_0355	A0A0A7MB00
5833.PF13_0238	A0A0B4U4Y9
5833.PFF0895w	Q6VVP7
5833.PFA0225w	Q9BJX6
5833.PFL1410c	A0A097GTV4
5833.PFL1410c	A0A097GTV5
5833.PFL1410c	A0A097GTS8
5833.PFL1410c	A0A097GTT8
5833.PF13_0238	A0A0B4U505
5833.PFL2210w	Q27733
5833.PFF0360w	A8CBI1
5833.PF13_0238	A0A0B4U5E7
5833.MAL13P1.238	Q2TFW5
5833.PFL1410c	A0A097GTS9
5833.PFL0465c	Q95Z59
5833.PFB1055c	A0A0A7M446
5833.PF13_0238	A0A0A7RG82
5833.PFL1410c	A0A097GTU4
5833.PFL1950w	A0A0A7M9V9
5833.PF10_0348	A0A0A7MFN5
5833.PFC0890w	Q0ZAF7
5833.MAL7P1.176	I6M233
5833.MAL7P1.176	I6M250
5833.PFI1475w	A5JSI2
5833.PF13_0193	C5HES7
5833.PF14_0102	C5HEV7
5833.PF11_0344	C5IER5
5833.PFC0210c	C5MK71
5833.PF07_0004	D9HMU3
5833.PF11_0344	D9MXU1
5833.PF11_0344	D9MY22
5833.PF11_0344	D9MY62
5833.PF11_0344	D9MY79
5833.PFE1150w	R4JSE9
5833.PF13_0247	V5RDD4
5833.PF14_0102	I6M284
5833.PFI1475w	A5JSI1
5833.PF13_0191	C5HE93
5833.PFD0955w	C5HET9
5833.PF10_0342	D9HMV5
5833.PF11_0344	I6M1X7
5833.MAL7P1.176	I6M253
5833.PFC0210c	I6M293
5833.PFL1385c	C5HEF4
5833.PF11_0344	C5IF96
5833.PF10_0342	D9HMX7
5833.PF11_0344	D9MXL2
5833.PF10_0345	I6M1T9
5833.PF14_0102	I6M269
5833.PFE1150w	R4K0C7
5833.PF10_0342	D9HMW5
5833.PF10_0348	D9HN40
5833.PF10_0348	D9HN60
5833.MAL7P1.176	I6M234
5833.PFE1150w	R4JR35
5833.PFE1150w	R4JUI6
5833.MAL7P1.176	I6M241
5833.PF14_0102	I6M289
5833.PF10_0355	D9HNA5
5833.MAL7P1.176	I6M207
5833.PF10_0342	D9HN11
5833.PF14_0102	I6M271
5833.PF13_0197	C5HED7
5833.PF11_0344	C5IE94
5833.PF10_0348	D9HN36
5833.PF13_0019	D9IWJ5
5833.MAL7P1.208	C5HXU4
5833.PF11_0344	D9MXP5
5833.MAL7P1.176	I6M213
5833.MAL7P1.176	I6M243
5833.PFC0210c	I6M2B1
5833.MAL13P1.480	E2DS97
5833.PF14_0102	I6M262
5833.PF14_0102	I6M286
5833.PF13_0191	C5HE88
5833.PFD0955w	C5HEU3
5833.PFB0340c	C5HW12
5833.PFB0340c	C5HW22
5833.PF11_0344	C5IEQ7
5833.PFC0210c	C5MK98
5833.MAL7P1.176	I6M230
5833.PF10_0346	C5HEB6
5833.PF10_0344	V5NRK8
5833.PF14_0102	C5HEV3
5833.PF14_0102	C5HEV4
5833.PF10_0342	D9HN28
5833.PF10_0348	D9HN52
5833.PFD1160w	D9HNP8
5833.PF11_0344	D9MXM2
5833.PFI1475w	D7F618
5833.PF11_0486	Q078R9
5833.PFC0210c	C5MK89
5833.PF11_0344	D9MY72
5833.PF11_0161	Q56CY9
5833.PFE1150w	R4K0P1
5833.MAL13P1.480	E2DSE0
5833.PFI1475w	A7LL21
5833.PF13_0338	C5HDW1
5833.PF14_0102	C5HEV2
5833.PFB0340c	C5HW13
5833.PF14_0102	D7NSV5
5833.PFD0955w	C5HET3
5833.PF11_0344	D7GLZ9
5833.PF14_0102	D7NSU5
5833.PF11_0486	Q078S2
5833.PF11_0071	D6Q1N1
5833.PFL2635w	O96465
5833.PFL0030c	Q7Z1S3
5833.PF14_0102	D7NSU6
5833.PF10_0289	Q86GS5
5833.PF11_0052	B5SPA1
5833.PFL1950w	B5LGX1
5833.PF08_0095	M9TNR9
5833.PF11_0344	B2LV30
5833.PF11_0344	B2LV41
5833.PF11_0344	B2LV98
5833.PFB0310c	Q58SS9
5833.PFB0310c	Q58SU3
5833.PFC0210c	Q5EIK2
5833.PF13_0201	Q5EIS4
5833.PFC0635c	A0MTS9
5833.PF11_0344	Q9BHP9
5833.PFB0300c	E5F2U5
5833.PFD0625c	O44038
5833.PFI1475w	Q25724
5833.PF13_0247	Q8TA15
5833.PFE0040c	Q7JPT4
5833.PF13_0247	Q8TA17
5833.PF13_0238	A0A077LPT7
5833.PFE1195w	O61140
5833.PFB0310c	Q58ST5
5833.PF11_0061	Q7JSX6
5833.PF10_0144	C4N8A9
5833.PF10_0001	O00915
5833.PF10_0345	Q9TY91
5833.PF13_0019	E7DY13
5833.PF08_0095	Q27736
5833.PFB0300c	E5F2N0
5833.PFB0300c	E5F2Q4
5833.PFB0300c	E5F2S2
5833.MAL7P1.27	G8C4X4
5833.MAL7P1.27	G8C5F3
5833.PF07_0032	O15796
5833.PFI0580c	Q2PZB1
5833.PF13_0201	Q5EIN9
5833.PFB0310c	Q8T7U3
5833.PFB0300c	E5F2T1
5833.PFB0065w	Q2XR26
5833.MAL7P1.27	G8C515
5833.PFB0300c	E5F2P6
5833.MAL7P1.176	F2X7G7
5833.PF13_0201	Q5EIR4
5833.MAL7P1.176	Q9TY53
5833.MAL7P1.27	G8C5D2
5833.PF08_0102	Q03632
5833.PFB0675w	Q689C8
5833.MAL13P1.333	Q9GVB5
5833.MAL7P1.27	G8C6E3
5833.PFB0300c	E5F2P7
5833.PFF0220w	Q25772
5833.PF11_0483	Q5EI72
5833.PF10_0337	O00818
5833.PFB0310c	Q58SU7
5833.PFC0210c	Q8I9I5
5833.PFI1475w	D5LJ45
5833.PFI1475w	D5LJ92
5833.PFC0475c	Q689C2
5833.PFI1475w	D5LJ72
5833.PFI1475w	D5LJA3
5833.PFI1475w	D5LJI4
5833.PF11_0148	A0A0A0RA61
5833.PFI0930c	Q8I9F4
5833.PFI1475w	D5LIY2
5833.PFI1475w	D5LIY5
5833.PFI1475w	D5LJ09
5833.PFI1475w	D5LJ44
5833.PFI1475w	D5LJ85
5833.PFI1475w	D5LJ97
5833.PFI1475w	D5LJB6
5833.PFI1475w	D5LJD4
5833.PFI1475w	D5LJD7
5833.PFI1475w	D5LJD9
5833.PFI1475w	D5LJL2
5833.PFC0210c	Q5R2K9
5833.PFI1475w	D5LJ62
5833.PFI1475w	D5LIX0
5833.PFI1475w	D5LJ87
5833.PFI1475w	D5LIU8
5833.PFI1475w	D5LIY4
5833.PFI1475w	D5LJ25
5833.PFI1475w	D5LJB8
5833.PFI1475w	D5LJE4
5833.PFI1475w	D5LJF1
5833.PFI1475w	D5LJJ1
5833.PFI1475w	D5LIU2
5833.PFI1475w	D5LIU7
5833.PFI1475w	D5LJ61
5833.PFI1475w	Q25970
5833.PFI1475w	D5LIT7
5833.PFI1475w	D5LIW2
5833.PFI1475w	D5LJ12
5833.PFI1475w	D5LIY3
5833.PFI1475w	D5LJB3
5833.PFI1475w	D5LJ93
5833.PFI1475w	D5LIT6
5833.PFI1475w	D5LJL1
5833.PFI1475w	D5LJL3
5833.PFI1475w	D5LJF6
5833.PFI1475w	D5LIV8
5833.PFI1475w	D5LIZ0
5833.PFI1475w	D5LJ38
5833.PFC0210c	L0CN25
5833.PFI1475w	D5LJ27
5833.PFI1475w	D5LJM8
5833.PFC0210c	Q8I9G1
5833.PF13_0198	Q7JU29
5833.PFD0110w	Q7KF73
5833.PF11_0344	B0L8H3
5833.PF11_0224	Q5VKK5
5833.PF11_0162	Q9NB39
5833.PFB0100c	E1ANN2
5833.PF14_0102	B9VGF8
5833.PFF0020c	Q1KV58
5833.PFL0030c	Q7Z1S0
5833.PFD0020c	A0A023JGJ7
5833.PFL1950w	A0A023JGT5
5833.PF11_0344	I4CH17
5833.PF11_0344	B2LV14
5833.PF11_0344	I4CFY2
5833.PF11_0344	I4CH56
5833.PF10_0346	C6ZGD6
5833.PF08_0131	Q9GSV3
5833.PF11_0344	M1V157
5833.PFB0340c	I0IZI2
5833.PF11_0344	M1V1C7
5833.PF11_0344	M1VA66
5833.PFD0065w	O96470
5833.PF11_0344	M1V184
5833.PFD1160w	H7CG28
5833.PF11_0344	M1VA93
5833.PFI1475w	M1VEX0
5833.PF13_0198	E5G970
5833.PF13_0198	E5G973
5833.PFI1475w	M1VF02
5833.PFD0625c	Q9BMR3
5833.PF13_0198	E5G964
5833.PFB0340c	I0IZ03
5833.PFB0340c	I0IZF6
