7165.AGAP004810-PA	Q93118
7165.AGAP003352-PB	Q7PCP9
7165.AGAP004114-PA	Q7PH31
7165.AGAP010314-PA	Q7PLX5
7165.AGAP007886-PA	Q7PN37
7165.AGAP006633-PA	Q7PPA0
7165.AGAP000406-PA	Q7PRV2
7165.AGAP010842-PA	Q7QGP3
7165.AGAP004088-PA	Q7QH51
7165.AGAP003467-PA	A0NCY8
7165.AGAP003247-PA	A0NDA9
7165.AGAP005022-PA	Q5TS10
7165.AGAP002773-PB	Q7PGM2
7165.AGAP008163-PA	Q7PN88
7165.AGAP000876-PA	Q7PNK3
7165.AGAP006025-PA	Q7PNS9
7165.AGAP005211-PA	Q7PQ33
7165.AGAP004335-PA	Q7PQ75
7165.AGAP003618-PB	Q7PQE9
7165.AGAP009350-PB	Q7PSE1
7165.AGAP007501-PA	Q7PT42
7165.AGAP001826-PA	Q7PUR8
7165.AGAP005387-PA	Q7Q7C3
7165.AGAP004867-PA	Q7Q972
7165.AGAP000679-PA	Q7QEF5
7165.AGAP000121-PA	Q7QES2
7165.AGAP000820-PA	Q7PIX0
7165.AGAP007914-PA	Q7PN46
7165.AGAP005445-PA	Q7PNL6
7165.AGAP004357-PA	Q7PQA7
7165.AGAP009334-PA	Q7PSE8
7165.AGAP010688-PA	A0NCU4
7165.AGAP004870-PA	Q5PTQ0
7165.AGAP003742-PA	Q7PFU0
7165.AGAP010070-PA	Q7PM46
7165.AGAP007877-PB	Q7PN23
7165.AGAP007933-PA	Q7PN52
7165.AGAP005063-PA	Q7PPZ9
7165.AGAP003091-PA	Q7PQS4
7165.AGAP011534-PA	Q7PSG8
7165.AGAP011768-PA	Q7PV64
7165.AGAP001380-PA	Q7PXF4
7165.AGAP010548-PA	Q7Q8V0
7165.AGAP005198-PA	Q7Q9J9
7165.AGAP003453-PA	A0NCY5
7165.AGAP004413-PA	A0NDN6
7165.AGAP002446-PA	F7IU16
7165.AGAP000063-PA	Q5TUU2
7165.AGAP013224-PA	Q5XM58
7165.AGAP002578-PA	Q7PGJ5
7165.AGAP009818-PA	Q7PK23
7165.AGAP011991-PA	Q7PKD2
7165.AGAP011466-PA	Q7PN09
7165.AGAP004987-PA	Q7PPG7
7165.AGAP009149-PA	Q7PVY3
7165.AGAP004833-PA	Q7Q942
7165.AGAP002512-PA	Q7QC94
7165.AGAP003820-PA	Q7QFV3
7165.AGAP007418-PA	Q7QJC6
7165.AGAP002457-PA	A0ND35
7165.AGAP000824-PA	F7IUH4
7165.AGAP003260-PA	Q7PEV2
7165.AGAP004377-PA	Q7PHE1
7165.AGAP009965-PA	Q7PJY5
7165.AGAP006435-PA	Q7PP08
7165.AGAP004892-PA	Q7PPU7
7165.AGAP005141-PA	Q7PQ29
7165.AGAP003709-PA	Q7PQJ0
7165.AGAP004265-PA	Q7PQL7
7165.AGAP010370-PA	Q7PRK0
7165.AGAP001819-PA	Q7PYA6
7165.AGAP005100-PA	Q7Q9Q8
7165.AGAP003713-PA	A0NDL8
7165.AGAP010119-PB	O61486
7165.AGAP004870-PA	Q5PTQ4
7165.AGAP000636-PA	Q5TUQ0
7165.AGAP007838-PA	Q7PIZ8
7165.AGAP009498-PA	Q7PSC6
7165.AGAP001389-PA	Q7PXG1
7165.AGAP008298-PA	Q7Q496
7165.AGAP000855-PA	Q7Q4V7
7165.AGAP010568-PA	Q7Q8T4
7165.AGAP002810-PA	Q7QCU7
7165.AGAP000784-PA	Q7QE79
7165.AGAP006962-PA	Q7QIN1
7165.AGAP009448-PA	Q7QKG2
7165.AGAP011468-PA	Q8WTE5
7165.AGAP010365-PA	A0NCW6
7165.AGAP005196-PA	F2X593
7165.AGAP006637-PB	Q7PI57
7165.AGAP003300-PA	Q7PLY3
7165.AGAP004711-PA	Q7PMT8
7165.AGAP005173-PA	Q7PQ07
7165.AGAP002942-PA	Q7PRA0
7165.AGAP010156-PA	Q7Q0U7
7165.AGAP000128-PA	Q7QES5
7165.AGAP013037-PA	F5HIX7
7165.AGAP013419-PA	F5HJ74
7165.AGAP013492-PA	F5HJA0
7165.AGAP003871-PA	F5HJD4
7165.AGAP000577-PA	F5HJE8
7165.AGAP013521-PA	F5HJG0
7165.AGAP000449-PB	F5HJI6
7165.AGAP013034-PA	F5HJS0
7165.AGAP013380-PA	F5HJT3
7165.AGAP000795-PA	F5HJY9
7165.AGAP002428-PB	F5HK50
7165.AGAP013375-PA	F5HK70
7165.AGAP002315-PC	F5HK85
7165.AGAP013383-PA	F5HKE7
7165.AGAP002578-PA	F5HKU9
7165.AGAP002534-PA	F5HKW4
7165.AGAP013081-PA	F5HL34
7165.AGAP012993-PA	F5HL99
7165.AGAP003661-PB	F5HLD8
7165.AGAP013218-PA	F5HLT4
7165.AGAP001779-PB	F5HMG1
7165.AGAP013239-PA	F5HML8
7165.AGAP008523-PA	Q5TQ80
7165.AGAP010662-PA	Q7PG94
7165.AGAP011334-PA	Q7QHS5
7165.AGAP008630-PA	Q7PHY5
7165.AGAP002891-PB	Q7QD02
7165.AGAP002572-PA	A0ND25
7165.AGAP004548-PA	A0NDQ9
7165.AGAP003069-PA	A0T4G0
7165.AGAP010836-PA	Q7PFH7
7165.AGAP004826-PA	Q7PHM2
7165.AGAP009802-PA	Q7PK41
7165.AGAP009795-PA	Q7PM70
7165.AGAP011398-PA	Q7PMZ9
7165.AGAP000389-PA	Q7PRZ3
7165.AGAP009068-PA	Q7PW73
7165.AGAP011700-PA	Q7PZ33
7165.AGAP006103-PB	Q7Q607
7165.AGAP010398-PA	Q7QDS7
7165.AGAP009487-PA	Q7QG41
7165.AGAP006824-PA	Q7QIG0
7165.AGAP010341-PA	A0NCX0
7165.AGAP006961-PA	Q7PF55
7165.AGAP000706-PA	Q7PG79
7165.AGAP010085-PA	Q7PJW3
7165.AGAP004804-PA	Q7PMS8
7165.AGAP011489-PA	Q7PMY4
7165.AGAP008009-PA	Q7PND0
7165.AGAP012143-PA	Q7PZY3
7165.AGAP008571-PA	Q7Q8K4
7165.AGAP003889-PA	Q7QK01
7165.AGAP012127-PA	Q7PCP4
7165.AGAP010043-PA	Q7PJX4
7165.AGAP012277-PA	Q7PKE8
7165.AGAP006617-PA	Q7PNY0
7165.AGAP006133-PA	Q7PP92
7165.AGAP008774-PA	Q7PPN7
7165.AGAP010553-PA	Q7PPS0
7165.AGAP000427-PA	Q7PS28
7165.AGAP009237-PA	Q7PVN0
7165.AGAP011471-PA	Q7Q340
7165.AGAP003679-PA	Q7QAJ1
7165.AGAP002320-PA	Q7QBU7
7165.AGAP002218-PA	Q7QK90
7165.AGAP009460-PA	Q7QKF4
7165.AGAP002272-PB	F5HIS1
7165.AGAP012964-PA	F5HIZ7
7165.AGAP000747-PB	F5HJX6
7165.AGAP013090-PA	F5HKH2
7165.AGAP006448-PD	F5HLX4
7165.AGAP001935-PA	F5HMC0
7165.AGAP001419-PA	F5HMR6
7165.AGAP001220-PA	F5HMW2
7165.AGAP013501-PA	F5HMX7
7165.AGAP001514-PA	Q7PXP8
7165.AGAP004662-PB	F5HK03
7165.AGAP001269-PB	F5HMU7
7165.AGAP006717-PA	Q7PF20
7165.AGAP001374-PA	Q8WR22
7165.AGAP013024-PA	F5HJ25
7165.AGAP003429-PA	F5HK18
7165.AGAP004282-PA	F5HLJ5
7165.AGAP013478-PB	F5HMM9
7165.AGAP013324-PA	F5HJ45
7165.AGAP003783-PB	F5HJA4
7165.AGAP013297-PA	F5HK36
7165.AGAP013344-PA	F5HKQ9
7165.AGAP013353-PA	F5HKS1
7165.AGAP013088-PA	F5HLL1
7165.AGAP013192-PA	F5HLR7
7165.AGAP001117-PD	Q7PKG8
7165.AGAP001790-PA	Q7PY81
7165.AGAP003232-PA	Q7QBC6
7165.AGAP000164-PA	Q7QEV2
7165.AGAP002754-PA	Q7PR52
7165.AGAP006239-PA	Q7Q5S1
7165.AGAP002613-PA	Q7QCG3
7165.AGAP013342-PA	F5HJC4
7165.AGAP000617-PA	F5HJE0
7165.AGAP013464-PA	F5HJV2
7165.AGAP013216-PA	F5HKD0
7165.AGAP002539-PB	F5HKW3
7165.AGAP004222-PB	F5HL56
7165.AGAP003711-PD	F5HLG3
7165.AGAP000483-PC	F5HJH9
7165.AGAP013009-PA	F5HJK1
7165.AGAP000080-PE	F5HJS6
7165.AGAP013409-PA	F5HJW2
7165.AGAP002711-PA	F5HKP0
7165.AGAP013357-PA	F5HKZ5
7165.AGAP013532-PA	F5HLR3
7165.AGAP013163-PA	F5HM41
7165.AGAP002010-PA	F5HM97
7165.AGAP013228-PA	F5HIX9
7165.AGAP013317-PA	F5HJ00
7165.AGAP013187-PA	F5HJ81
7165.AGAP013099-PA	F5HJS1
7165.AGAP013053-PA	F5HLJ0
7165.AGAP013341-PA	F5HM17
7165.AGAP001415-PA	Q7PUS8
7165.AGAP003307-PA	Q8I8S9
7165.AGAP007826-PA	Q8I951
7165.AGAP013311-PA	F5HIT5
7165.AGAP000325-PB	F5HJL3
7165.AGAP004660-PA	F5HK02
7165.AGAP002898-PB	F5HKG1
7165.AGAP004179-PA	F5HL47
7165.AGAP000834-PA	F5HLY6
7165.AGAP013427-PA	F5HM77
7165.AGAP013533-PA	F5HMA3
7165.AGAP013012-PA	F5HMV8
7165.AGAP008773-PA	Q7Q866
7165.AGAP003645-PA	Q5TT67
7165.AGAP008107-PA	Q7Q3Z1
7165.AGAP000876-PA	Q95VY6
7165.AGAP013444-PA	F5HIZ0
7165.AGAP000314-PB	F5HJL9
7165.AGAP000779-PA	F5HJY4
7165.AGAP003059-PB	F5HKX3
7165.AGAP013141-PA	F5HLQ4
7165.AGAP012983-PA	F5HM99
7165.AGAP013454-PA	F5HIW3
7165.AGAP002891-PB	F5HKH5
7165.AGAP013130-PA	F5HKK8
7165.AGAP004507-PB	F5HLG9
7165.AGAP013522-PA	F5HLZ3
7165.AGAP013048-PA	F5HMW0
7165.AGAP000310-PA	Q7PRZ7
7165.AGAP002246-PA	Q7QKB2
7165.AGAP004980-PA	Q8MZM4
7165.AGAP000483-PC	F5HJH8
7165.AGAP000321-PA	F5HJL6
7165.AGAP002411-PB	F5HK56
7165.AGAP013266-PA	F5HKM0
7165.AGAP002670-PA	F5HKQ6
7165.AGAP013315-PA	F5HL22
7165.AGAP012991-PA	F5HLZ2
7165.AGAP001566-PB	F5HML1
7165.AGAP013014-PA	F5HMS5
7165.AGAP007517-PA	Q7PT18
7165.AGAP001892-PA	Q7PYE0
7165.AGAP013007-PA	F5HK30
7165.AGAP012970-PA	F5HK44
7165.AGAP013247-PA	F5HKR8
7165.AGAP004288-PA	F5HLK0
7165.AGAP013124-PA	F5HMM0
7165.AGAP006631-PA	Q7Q554
7165.AGAP003398-PD	F5HK07
7165.AGAP002315-PC	F5HK86
7165.AGAP013272-PA	F5HKH0
7165.AGAP001690-PB	F5HMI7
7165.AGAP002238-PB	F5HIT3
7165.AGAP004050-PC	F5HJ50
7165.AGAP004404-PB	F5HLM9
7165.AGAP005466-PB	F5HLW5
7165.AGAP001073-PC	F5HM07
7165.AGAP013257-PA	F5HMS3
7165.AGAP003397-PA	Q7QDK9
7165.AGAP003753-PB	F5HJ85
7165.AGAP013137-PA	F5HK59
7165.AGAP013429-PA	F5HMB2
7165.AGAP013250-PB	F5HML6
7165.AGAP013379-PA	F5HMX9
7165.AGAP013094-PA	F5HMZ4
7165.AGAP000132-PA	Q7QES7
7165.AGAP013515-PA	F5HIR9
7165.AGAP002149-PB	F5HIW1
7165.AGAP013441-PA	F5HJL5
7165.AGAP013435-PA	F5HJR2
7165.AGAP012949-PA	F5HKB3
7165.AGAP002909-PA	F5HKF5
7165.AGAP013225-PA	F5HKS3
7165.AGAP002578-PA	F5HKV0
7165.AGAP010757-PA	Q5TPH0
7165.AGAP013032-PA	F5HM32
7165.AGAP013496-PA	F6KNY0
7165.AGAP000658-PA	Q3YL79
7165.AGAP001715-PA	Q4JSB0
7165.AGAP000578-PA	F7ITZ5
7165.AGAP003276-PA	Q7PTQ7
7165.AGAP012136-PA	Q7PZX7
7165.AGAP012175-PA	Q7Q001
7165.AGAP012287-PA	Q7Q071
7165.AGAP012305-PA	Q7Q080
7165.AGAP012373-PA	Q7Q0B6
7165.AGAP003345-PA	Q7Q9B1
7165.AGAP010419-PA	Q7QDU2
7165.AGAP000116-PA	Q7QER7
7165.AGAP000290-PA	Q7QF40
7165.AGAP000311-PA	Q7QF54
7165.AGAP009499-PA	Q7QG48
7165.AGAP011557-PA	Q7QGI8
7165.AGAP010988-PA	Q7QH18
7165.AGAP011086-PA	Q7QH94
7165.AGAP011111-PA	Q7QHB2
7165.AGAP000939-PA	Q7QI30
7165.AGAP007211-PA	Q7QJ22
7165.AGAP007387-PA	Q7QJA8
7165.AGAP007627-PA	Q7QJR6
7165.AGAP003883-PA	Q7QK06
7165.AGAP011976-PA	Q5TMS9
7165.AGAP011404-PA	Q5TPV7
7165.AGAP011369-PA	Q5TPW1
7165.AGAP007755-PA	Q5TQ11
7165.AGAP007880-PA	Q5TQ42
7165.AGAP007996-PC	Q5TQM0
7165.AGAP005534-PA	Q5TRL1
7165.AGAP004417-PA	Q5TSZ9
7165.AGAP003705-PA	Q5TT37
7165.AGAP003615-PA	Q5TT79
7165.AGAP003433-PA	Q5TU94
7165.AGAP000798-PA	Q5TUR9
7165.AGAP003872-PA	Q5TV94
7165.AGAP003729-PA	Q5TVD0
7165.AGAP007117-PA	Q5TWP8
7165.AGAP007487-PA	Q5TWY8
7165.AGAP011053-PA	Q5TX68
7165.AGAP002194-PA	Q5TX95
7165.AGAP002214-PA	Q5TXA3
7165.AGAP003842-PA	Q7PFR1
7165.AGAP005896-PA	Q7PNN5
7165.AGAP011689-PA	Q7PZ24
7165.AGAP010269-PA	Q7Q0M1
7165.AGAP010162-PA	Q7Q0U2
7165.AGAP008004-PA	Q7Q3R9
7165.AGAP006414-PA	Q7Q5I7
7165.AGAP010681-PA	Q7QE29
7165.AGAP010893-PA	Q7QGU9
7165.AGAP000974-PA	Q7QI04
7165.AGAP008958-PA	Q5TNL3
7165.AGAP006093-PA	Q5TR63
7165.AGAP003055-PA	Q5TTI9
7165.AGAP010686-PA	Q5TUK0
7165.AGAP010839-PA	Q5TVM3
7165.AGAP006348-PA	Q6VAX6
7165.AGAP002128-PB	Q7PYV7
7165.AGAP005742-PA	Q7Q6P3
7165.AGAP000399-PB	Q7QFB8
7165.AGAP003502-PA	Q7QH38
7165.AGAP000930-PA	Q7QI35
7165.AGAP007799-PA	Q5TQ19
7165.AGAP008087-PA	Q5TQK8
7165.AGAP008562-PA	Q5TSA8
7165.AGAP002483-PA	Q5TTS3
7165.AGAP011684-PA	Q7PZ20
7165.AGAP012333-PA	Q7Q096
7165.AGAP004653-PA	Q7Q501
7165.AGAP010366-PA	Q7QDQ9
7165.AGAP000201-PA	Q7QEX9
7165.AGAP000210-PA	Q7QEY4
7165.AGAP000308-PA	Q7QF52
7165.AGAP011226-PA	Q7QHK5
7165.AGAP007255-PA	Q7QJ40
7165.AGAP011735-PA	Q5TML6
7165.AGAP009208-PA	Q5TNP8
7165.AGAP006685-PA	Q5TQS6
7165.AGAP006682-PA	Q5TQS7
7165.AGAP000540-PA	Q5TV78
7165.AGAP011790-PB	Q7PV58
7165.AGAP012103-PA	Q7PZV0
7165.AGAP003970-PA	Q7Q291
7165.AGAP008369-PA	Q7Q4F1
7165.AGAP000633-PA	Q7QEI2
7165.AGAP000589-PA	Q7QFN7
7165.AGAP010889-PA	Q7QGU3
7165.AGAP007653-PA	Q7QJT7
7165.AGAP007657-PA	Q7QJU1
7165.AGAP002294-PA	Q7QKF2
7165.AGAP001604-PA	Q8MU72
7165.AGAP012288-PA	Q7Q072
7165.AGAP012368-PA	Q7Q0B4
7165.AGAP004893-PA	Q7Q991
7165.AGAP010388-PA	Q7QDS1
7165.AGAP009348-PA	Q7QGE8
7165.AGAP011545-PA	Q7QGH5
7165.AGAP008526-PA	Q5TQJ0
7165.AGAP006043-PA	Q5TR78
7165.AGAP010501-PA	Q5TSD1
7165.AGAP000922-PA	Q5TWC2
7165.AGAP001555-PA	Q7PXT7
7165.AGAP003304-PB	Q7Q0I3
7165.AGAP010351-PA	Q7QDQ2
7165.AGAP007349-PA	Q7QJ84
7165.AGAP002636-PA	Q5TTW6
7165.AGAP002702-PA	Q5TTY0
7165.AGAP010663-PA	Q5TUL3
7165.AGAP000283-PA	Q5TUZ7
7165.AGAP011054-PA	Q7PTJ0
7165.AGAP003283-PA	Q7PTP9
7165.AGAP005775-PA	Q7Q6L7
7165.AGAP000158-PA	Q7QEU8
7165.AGAP000161-PA	Q7QEU9
7165.AGAP010899-PA	Q7QGV4
7165.AGAP003500-PA	Q7QH37
7165.AGAP006786-PA	Q7QID0
7165.AGAP010131-PA	Q5TNW3
7165.AGAP006170-PA	Q5TR42
7165.AGAP010556-PA	Q5TSE7
7165.AGAP007595-PA	Q5TX22
7165.AGAP002159-PA	Q5TX81
7165.AGAP012059-PA	Q7PZS8
7165.AGAP012069-PA	Q5TMZ6
7165.AGAP006259-PA	Q5TR23
7165.AGAP005793-PA	Q5TRE3
7165.AGAP003566-PA	Q5TT53
7165.AGAP010726-PA	Q5TUJ0
7165.AGAP007587-PA	Q7PTH7
7165.AGAP009001-PA	Q7PWE0
7165.AGAP012275-PA	Q7Q063
7165.AGAP006441-PA	Q7Q5H2
7165.AGAP000520-PA	Q7QFJ2
7165.AGAP009439-PA	Q7QKG7
7165.AGAP011660-PA	Q5TMI7
7165.AGAP011741-PA	Q5TMM0
7165.AGAP012629-PA	Q5TP92
7165.AGAP000124-PA	Q5TUW0
7165.AGAP000986-PA	Q5TWB5
7165.AGAP006722-PA	Q5TWE5
7165.AGAP006738-PA	Q5TWF3
7165.AGAP007099-PA	Q5TWP4
7165.AGAP009424-PE	Q7PTN5
7165.AGAP011740-PA	Q7PZ54
7165.AGAP008064-PA	Q7Q3V6
7165.AGAP000831-PA	Q7Q4X5
7165.AGAP002424-PA	Q7QC32
7165.AGAP003401-PA	Q7QDK8
7165.AGAP000670-PA	Q7QEG2
7165.AGAP009521-PA	Q7QG61
7165.AGAP011163-PA	Q7QHF1
7165.AGAP011316-PA	Q7QHR4
7165.AGAP007578-PA	Q7QJM3
7165.AGAP007600-PA	Q7QJP0
7165.AGAP005884-PA	Q5TRB3
7165.AGAP006985-PA	Q5TWL9
7165.AGAP007533-PA	Q5TX00
7165.AGAP012344-PA	Q7Q0A1
7165.AGAP008337-PA	Q7Q4C9
7165.AGAP000830-PA	Q7Q4X6
7165.AGAP000252-PA	Q7QF12
7165.AGAP000509-PA	Q7QFI7
7165.AGAP000615-PA	Q7QFQ2
7165.AGAP003849-PB	Q7QFT8
7165.AGAP011118-PA	Q7QHB8
7165.AGAP007279-PA	Q7QJ47
7165.AGAP009883-PA	Q5TP14
7165.AGAP010611-PA	Q5TSE4
7165.AGAP012071-PA	Q7PZT4
7165.AGAP006418-PA	Q7Q5I3
7165.AGAP000155-PA	Q7QEU7
7165.AGAP009559-PA	Q7QG90
7165.AGAP010879-PA	Q7QGS9
7165.AGAP010629-PA	Q7QKI1
7165.AGAP011522-PA	Q7QL16
7165.AGAP004707-PA	Q4U0T5
7165.AGAP011939-PA	Q5TMR7
7165.AGAP012407-PA	Q5TMX9
7165.AGAP012156-PA	Q5TN17
7165.AGAP010678-PA	Q5TUK8
7165.AGAP011589-PA	Q5TVJ7
7165.AGAP007299-PA	Q7PTH1
7165.AGAP012224-PA	Q7Q026
7165.AGAP010165-PA	Q7Q0T9
7165.AGAP008406-PA	Q7Q4H9
7165.AGAP003344-PA	Q7Q9B2
7165.AGAP004092-PA	Q7QBB6
7165.AGAP000703-PA	Q7QED5
7165.AGAP000387-PA	Q7QFB0
7165.AGAP007688-PA	Q7QJW2
7165.AGAP011668-PA	Q5TMJ0
7165.AGAP012366-PA	Q5TN87
7165.AGAP003929-PA	Q5TPJ3
7165.AGAP006664-PA	Q5TQT1
7165.AGAP005855-PA	Q5TRB6
7165.AGAP003118-PA	Q5TTK5
7165.AGAP007702-PA	Q5TX49
7165.AGAP009033-PA	Q5UEC1
7165.AGAP011648-PA	Q7PYY7
7165.AGAP011670-PA	Q7PZ04
7165.AGAP004644-PA	Q7Q7S0
7165.AGAP002979-PA	Q7QD66
7165.AGAP011553-PA	Q7QGI4
7165.AGAP010898-PA	Q7QGV2
7165.AGAP007613-PA	Q7QJQ2
7165.AGAP002228-PA	Q7QK96
7165.AGAP002985-PA	F7IWF2
7165.AGAP008885-PA	Q5TNB0
7165.AGAP011439-PA	Q5TPZ4
7165.AGAP007903-PA	Q5TQ49
7165.AGAP002438-PA	Q5TTR3
7165.AGAP007458-PA	Q5TWY1
7165.AGAP003297-PA	Q7Q0I7
7165.AGAP004655-PA	Q7Q503
7165.AGAP003437-PA	Q7QDI2
7165.AGAP011134-PA	Q7QHD1
7165.AGAP008868-PA	Q5TNC2
7165.AGAP010184-PA	Q5TNV1
7165.AGAP011379-PC	Q5TPW4
7165.AGAP006018-PA	Q5TR84
7165.AGAP005812-PA	Q5TRC5
7165.AGAP005574-PA	Q5TRK0
7165.AGAP010441-PA	Q5TUD5
7165.AGAP000177-PA	Q5TUX2
7165.AGAP009513-PA	Q5TVF5
7165.AGAP000088-PA	Q7QEP5
7165.AGAP000596-PA	Q7QFP0
7165.AGAP009558-PA	Q7QG89
7165.AGAP011128-PA	Q7QHC6
7165.AGAP011180-PA	Q7QHG8
7165.AGAP011408-PA	Q5TPX2
7165.AGAP005446-PA	Q5TRP1
7165.AGAP003374-PA	Q7Q992
7165.AGAP000688-PA	Q7QEE7
7165.AGAP000319-PA	Q7QF60
7165.AGAP011240-PA	Q7QHL6
7165.AGAP005291-PA	Q7QI55
7165.AGAP002184-PA	Q7QK74
7165.AGAP003290-PA	Q7QKJ4
7165.AGAP010833-PA	B2FYW5
7165.AGAP011239-PA	B2FZ77
7165.AGAP011287-PA	B2FZ94
7165.AGAP011326-PA	B2FZC3
7165.AGAP005391-PA	B2G0S2
7165.AGAP007050-PA	B2G194
7165.AGAP010044-PA	B2G1Q6
7165.AGAP010812-PA	B2G2J5
7165.AGAP012690-PA	Q5TPA4
7165.AGAP007240-PA	Q5TWS7
7165.AGAP009000-PA	Q7PWE1
7165.AGAP012139-PA	Q7PZY0
7165.AGAP000008-PA	Q7QEI7
7165.AGAP000539-PA	Q7QFK5
7165.AGAP010904-PA	Q7QGV6
7165.AGAP011645-PA	Q5TMI0
7165.AGAP012324-PA	Q5TN67
7165.AGAP009185-PA	Q5TNP2
7165.AGAP007733-PA	Q5TQ09
7165.AGAP011633-PA	Q7PYX9
7165.AGAP000146-PA	Q7QEU0
7165.AGAP010855-PA	Q7QGQ6
7165.AGAP028071-PA	Q7QHS0
7165.AGAP006740-PA	Q7QI97
7165.AGAP002173-PA	Q7QK66
7165.AGAP002186-PA	Q7QK77
7165.AGAP011294-PA	B2FZC1
7165.AGAP002800-PA	B2G0B9
7165.AGAP011294-PA	B2FZB7
7165.AGAP011223-PA	B2FZ54
7165.AGAP004920-PA	B2FWR9
7165.AGAP000016-PA	B2FV49
7165.AGAP008368-PA	B2FXX6
7165.AGAP011326-PA	B2FZC8
7165.AGAP011951-PA	B2FZM2
7165.AGAP002799-PA	B2FW27
7165.AGAP011326-PA	B2FZC9
7165.AGAP001189-PA	F7IW19
7165.AGAP003481-PA	Q7PSL0
7165.AGAP011246-PA	Q7PSQ8
7165.AGAP011312-PA	Q7PST5
7165.AGAP007556-PA	Q7PT57
7165.AGAP007374-PA	Q7PT89
7165.AGAP001273-PA	Q7PUE1
7165.AGAP012315-PA	Q7PV13
7165.AGAP009277-PA	Q7PVH3
7165.AGAP009114-PA	Q7PW26
7165.AGAP009047-PA	Q7PW91
7165.AGAP008928-PA	Q7PWK8
7165.AGAP001246-PA	Q7PX73
7165.AGAP001297-PA	Q7PX99
7165.AGAP001302-PA	Q7PXA3
7165.AGAP001321-PA	Q7PXB6
7165.AGAP001416-PA	Q7PXI2
7165.AGAP001508-PA	Q7PXP6
7165.AGAP001696-PA	Q7PY12
7165.AGAP001884-PA	Q7PYD5
7165.AGAP002068-PA	Q7PYQ8
7165.AGAP011893-PA	Q7PZG3
7165.AGAP012046-PA	Q7PZR8
7165.AGAP009703-PA	Q7Q1N6
7165.AGAP009652-PA	Q7Q1S2
7165.AGAP009619-PA	Q7Q1V3
7165.AGAP011410-PA	Q7Q2Z6
7165.AGAP011427-PA	Q7Q309
7165.AGAP007819-PA	Q7Q3D3
7165.AGAP007999-PA	Q7Q3R7
7165.AGAP008082-PA	Q7Q3X2
7165.AGAP008113-PA	Q7Q3Z5
7165.AGAP008141-PA	Q7Q410
7165.AGAP008201-PA	Q7Q445
7165.AGAP008489-PA	Q7Q4M7
7165.AGAP000901-PA	Q7Q4R9
7165.AGAP006177-PA	Q7Q5V7
7165.AGAP006059-PA	Q7Q638
7165.AGAP005842-PA	Q7Q6H7
7165.AGAP005570-PA	Q7Q706
7165.AGAP005503-PA	Q7Q752
7165.AGAP005418-PA	Q7Q7A3
7165.AGAP010575-PA	Q7Q8T2
7165.AGAP010531-PA	Q7Q8W2
7165.AGAP004841-PA	Q7Q947
7165.AGAP005064-PA	Q7Q9S8
7165.AGAP004296-PA	Q7QAD1
7165.AGAP003230-PA	Q7QBC7
7165.AGAP003194-PB	Q7QBF4
7165.AGAP003180-PA	Q7QBG7
7165.AGAP002436-PA	Q7QC41
7165.AGAP002471-PA	Q7QC65
7165.AGAP002531-PA	Q7QCA7
7165.AGAP002536-PA	Q7QCA9
7165.AGAP002612-PA	Q7QCG2
7165.AGAP002710-PA	Q7QCM5
7165.AGAP007682-PA	A0NBI8
7165.AGAP000975-PA	A0NBS2
7165.AGAP011153-PA	A0NBU6
7165.AGAP010578-PA	A0NE02
7165.AGAP008722-PA	A0NE47
7165.AGAP005500-PA	A0NEE1
7165.AGAP007821-PA	A0NF98
7165.AGAP011490-PA	A0NFF0
7165.AGAP009963-PA	A0NFX9
7165.AGAP010006-PA	A0NFY5
7165.AGAP011697-PA	A0NGT6
7165.AGAP001864-PA	A0NGW4
7165.AGAP012651-PA	B1Q288
7165.AGAP009306-PA	Q5TNI0
7165.AGAP004599-PA	Q7PI27
7165.AGAP009827-PA	Q7PK21
7165.AGAP009431-PA	Q7PTN4
7165.AGAP012247-PA	Q7Q038
7165.AGAP009694-PA	Q7Q1P2
7165.AGAP003965-PA	Q7Q296
7165.AGAP004672-PA	Q7Q7U0
7165.AGAP004994-PA	Q7Q7W0
7165.AGAP005069-PA	Q7Q9S4
7165.AGAP003214-PA	Q7QBE0
7165.AGAP000071-PA	Q7QEN1
7165.AGAP000480-PA	Q7QFH0
7165.AGAP010974-PA	Q7QH04
7165.AGAP006818-PA	Q7QIF4
7165.AGAP007465-PA	A7URC4
7165.AGAP007463-PA	A7URC6
7165.AGAP003754-PA	A7USD7
7165.AGAP004134-PA	A7USY6
7165.AGAP005222-PA	A7UTA7
7165.AGAP009977-PA	A7UV49
7165.AGAP004882-PA	Q7Q985
7165.AGAP005417-PA	A0NEC5
7165.AGAP008175-PC	A0NF44
7165.AGAP010798-PA	A0NFQ3
7165.AGAP010240-PA	A0NG43
7165.AGAP011512-PA	Q7PI39
7165.AGAP000977-PA	Q7PSV4
7165.AGAP001307-PA	Q7PUB8
7165.AGAP001786-PA	Q7PUR9
7165.AGAP012092-PA	Q7PV19
7165.AGAP008983-PA	Q7PWF7
7165.AGAP001401-PA	Q7PXH1
7165.AGAP011960-PA	Q7PZK6
7165.AGAP009871-PA	Q7Q1B2
7165.AGAP009745-PA	Q7Q1K3
7165.AGAP003935-PA	Q7Q2B0
7165.AGAP011501-PA	Q7Q360
7165.AGAP007851-PA	Q7Q3F3
7165.AGAP008137-PB	Q7Q409
