10116.ENSRNOP00000016981	P35213
10116.ENSRNOP00000012747	Q9Z0G8
10116.ENSRNOP00000001476	Q6AY57
10116.ENSRNOP00000013369	Q5U2Y0
10116.ENSRNOP00000009673	Q99PP0
10116.ENSRNOP00000014346	Q9JHC6
10116.ENSRNOP00000052120	Q6P689
10116.ENSRNOP00000013355	Q9JIH7
10116.ENSRNOP00000027804	Q7TPK6
10116.ENSRNOP00000018064	Q9QXQ5
10116.ENSRNOP00000021164	Q9QXQ7
10116.ENSRNOP00000002222	Q6P6S5
10116.ENSRNOP00000023332	Q8CG07
10116.ENSRNOP00000010358	Q505J3
10116.ENSRNOP00000008168	Q5FVN8
10116.ENSRNOP00000060038	P49952
10116.ENSRNOP00000022128	O55145
10116.ENSRNOP00000014044	Q9R1S4
10116.ENSRNOP00000003976	P51672
10116.ENSRNOP00000009634	P22985
10116.ENSRNOP00000009336	Q9R0I6
10116.ENSRNOP00000048045	Q71LX6
10116.ENSRNOP00000051148	Q5GH60
10116.ENSRNOP00000029598	Q5GH59
10116.ENSRNOP00000015540	Q5GH57
10116.ENSRNOP00000012156	Q5GH56
10116.ENSRNOP00000039017	Q5GH61
10116.ENSRNOP00000014062	Q80U96
10116.ENSRNOP00000031325	O54975
10116.ENSRNOP00000061709	B5DEQ3
10116.ENSRNOP00000027057	Q9ESZ0
10116.ENSRNOP00000019106	Q3MIF4
10116.ENSRNOP00000025008	Q9EPI1
10116.ENSRNOP00000052446	Q9EPI0
10116.ENSRNOP00000055494	P62961
10116.ENSRNOP00000007427	Q62764
10116.ENSRNOP00000053093	F1LM93
10116.ENSRNOP00000014091	Q6P6G5
10116.ENSRNOP00000012138	Q5XIT3
10116.ENSRNOP00000025769	Q6TUD4
10116.ENSRNOP00000007607	Q5M7T4
10116.ENSRNOP00000008705	Q4QQU5
10116.ENSRNOP00000020693	Q5EGY4
10116.ENSRNOP00000014391	Q9R0S5
10116.ENSRNOP00000006492	P0CB49
10116.ENSRNOP00000065166	Q925S8
10116.ENSRNOP00000009762	Q5XID5
10116.ENSRNOP00000037600	Q499R4
10116.ENSRNOP00000002736	Q9QY02
10116.ENSRNOP00000049437	Q02975
10116.ENSRNOP00000000248	Q9EPU7
10116.ENSRNOP00000035178	Q6AXX3
10116.ENSRNOP00000051600	Q499R0
10116.ENSRNOP00000001801	Q63678
10116.ENSRNOP00000032032	Q7TSX9
10116.ENSRNOP00000008365	Q8VDA5
10116.ENSRNOP00000015171	Q9WTY8
10116.ENSRNOP00000005849	Q9JKY3
10116.ENSRNOP00000054002	Q3B725
10116.ENSRNOP00000067350	Q5EXX3
10116.ENSRNOP00000035859	B1WBS3
10116.ENSRNOP00000007539	Q3SWU4
10116.ENSRNOP00000027323	Q9QZ48
10116.ENSRNOP00000010983	B1WBU4
10116.ENSRNOP00000012314	A0JPN4
10116.ENSRNOP00000009156	Q6AYP4
10116.ENSRNOP00000007276	Q6U6G5
10116.ENSRNOP00000018782	Q8K3Y6
10116.ENSRNOP00000009098	Q5EB97
10116.ENSRNOP00000017567	Q5HZA3
10116.ENSRNOP00000048376	Q6TQE1
10116.ENSRNOP00000003870	Q498S6
10116.ENSRNOP00000051233	D3ZV31
10116.ENSRNOP00000017707	B1WC15
10116.ENSRNOP00000006780	Q499V6
10116.ENSRNOP00000039802	Q6DGF5
10116.ENSRNOP00000003714	Q2TGJ4
10116.ENSRNOP00000009235	Q2TGJ1
10116.ENSRNOP00000054651	Q2TGI8
10116.ENSRNOP00000036655	Q76IC6
10116.ENSRNOP00000026832	Q2TGI5
10116.ENSRNOP00000033473	Q9JKR5
10116.ENSRNOP00000001447	Q5FVR1
10116.ENSRNOP00000009708	Q2THW7
10116.ENSRNOP00000023405	Q923G5
10116.ENSRNOP00000024336	Q62947
10116.ENSRNOP00000015131	Q00900
10116.ENSRNOP00000048094	Q5U2M7
10116.ENSRNOP00000024583	B5DF11
10116.ENSRNOP00000018098	Q6DGF4
10116.ENSRNOP00000043105	Q5U2P3
10116.ENSRNOP00000025219	Q4KLG9
10116.ENSRNOP00000011704	A0JPK3
10116.ENSRNOP00000027209	Q4V8A8
10116.ENSRNOP00000016196	Q562A2
10116.ENSRNOP00000059837	D3ZVP7
10116.ENSRNOP00000016380	D4A8G9
10116.ENSRNOP00000051399	Q6P7B7
10116.ENSRNOP00000022758	Q8CJD3
10116.ENSRNOP00000019084	Q5PPF5
10116.ENSRNOP00000008454	Q8R515
10116.ENSRNOP00000007326	Q80VX4
10116.ENSRNOP00000034076	Q80Z36
10116.ENSRNOP00000051042	Q4KLI1
10116.ENSRNOP00000013858	O08781
10116.ENSRNOP00000031055	Q6AXZ5
10116.ENSRNOP00000010270	Q7TSV3
10116.ENSRNOP00000032686	D3ZYP5
10116.ENSRNOP00000013733	Q5XIU2
10116.ENSRNOP00000002435	Q62806
10116.ENSRNOP00000065656	Q62981
10116.ENSRNOP00000023523	G3V893
10116.ENSRNOP00000054802	Q5PQS2
10116.ENSRNOP00000030325	Q5U2Z0
10116.ENSRNOP00000028187	A0JPL0
10116.ENSRNOP00000052839	Q9EQJ4
10116.ENSRNOP00000001302	Q9Z2K3
10116.ENSRNOP00000011094	Q5PPH4
10116.ENSRNOP00000020028	O08961
10116.ENSRNOP00000038875	A1L1L7
10116.ENSRNOP00000010377	Q5RJR4
10116.ENSRNOP00000040002	Q5FWU5
10116.ENSRNOP00000061367	Q504L7
10116.ENSRNOP00000060898	Q7TM96
10116.ENSRNOP00000062807	Q5PPG4
10116.ENSRNOP00000052376	A1L1J6
10116.ENSRNOP00000003639	Q642B2
10116.ENSRNOP00000024969	Q99PJ7
10116.ENSRNOP00000009970	Q3MHS2
10116.ENSRNOP00000005518	Q642B9
10116.ENSRNOP00000018050	Q9ERU2
10116.ENSRNOP00000022304	Q7TNK3
10116.ENSRNOP00000000595	B4F7E9
10116.ENSRNOP00000006340	Q62720
10116.ENSRNOP00000067545	Q62941
10116.ENSRNOP00000008126	Q6QIX3
10116.ENSRNOP00000000184	O55174
10116.ENSRNOP00000019172	Q5BJM8
10116.ENSRNOP00000006410	P0CE46
10116.ENSRNOP00000028396	O54766
10116.ENSRNOP00000064370	O54767
10116.ENSRNOP00000031964	Q7TSY4
10116.ENSRNOP00000001952	P97708
10116.ENSRNOP00000031597	Q8CH34
10116.ENSRNOP00000048783	Q6X782
10116.ENSRNOP00000066602	Q62975
10116.ENSRNOP00000052134	O35986
10116.ENSRNOP00000000448	Q5U2S3
10116.ENSRNOP00000010595	Q4V8C2
10116.ENSRNOP00000067414	Q8VIL3
10116.ENSRNOP00000043141	Q06Q89
10116.ENSRNOP00000042064	Q06QA3
10116.ENSRNOP00000047546	Q2KML4
10116.ENSRNOP00000037803	Q5FVS1
10116.ENSRNOP00000043141	D2E6K0
10116.ENSRNOP00000066975	B1PL14
10116.ENSRNOP00000032053	E0YJE6
10116.ENSRNOP00000066975	B1PL11
10116.ENSRNOP00000005620	U5LJA3
10116.ENSRNOP00000006618	A8YPR0
10116.ENSRNOP00000059308	Q8QZW1
10116.ENSRNOP00000062533	D3ZDU8
10116.ENSRNOP00000022672	D3ZLT0
10116.ENSRNOP00000010001	D3ZPU1
10116.ENSRNOP00000028940	D3ZRI6
10116.ENSRNOP00000021919	D4A0V5
10116.ENSRNOP00000019689	D4A8W8
10116.ENSRNOP00000012988	D4ACI9
10116.ENSRNOP00000011453	G3V740
10116.ENSRNOP00000013542	G3V7B2
10116.ENSRNOP00000016167	G3V7K5
10116.ENSRNOP00000056429	G3V9Q7
10116.ENSRNOP00000020084	Q4V8E8
10116.ENSRNOP00000049230	Q5J3M7
10116.ENSRNOP00000050069	Q7TPA0
10116.ENSRNOP00000023287	B0BMX8
10116.ENSRNOP00000029272	B1H212
10116.ENSRNOP00000015756	B2RZD5
10116.ENSRNOP00000026155	B4F791
10116.ENSRNOP00000024428	D3Z8A4
10116.ENSRNOP00000062637	D3ZAK1
10116.ENSRNOP00000058700	D3ZLM9
10116.ENSRNOP00000053652	D3ZMD6
10116.ENSRNOP00000027579	D3ZMW3
10116.ENSRNOP00000010450	D3ZQ64
10116.ENSRNOP00000025472	D3ZTK0
10116.ENSRNOP00000025317	D3ZXM2
10116.ENSRNOP00000023965	D3ZYK8
10116.ENSRNOP00000009823	D3ZZK5
10116.ENSRNOP00000009340	D4A3U1
10116.ENSRNOP00000030771	D4A4V7
10116.ENSRNOP00000059563	D4A641
10116.ENSRNOP00000007726	D4A6K5
10116.ENSRNOP00000023396	D4A6T5
10116.ENSRNOP00000011188	D4A7L2
10116.ENSRNOP00000019121	D4AEG2
10116.ENSRNOP00000001610	F1LQE0
10116.ENSRNOP00000046049	F1LWN7
10116.ENSRNOP00000002809	F1M9B2
10116.ENSRNOP00000000893	G3V625
10116.ENSRNOP00000004349	G3V6E5
10116.ENSRNOP00000013329	G3V799
10116.ENSRNOP00000039322	G3V988
10116.ENSRNOP00000063932	Q498S0
10116.ENSRNOP00000020111	Q5XII6
10116.ENSRNOP00000010738	Q642A8
10116.ENSRNOP00000001704	Q68FV7
10116.ENSRNOP00000009944	Q6AYJ7
10116.ENSRNOP00000000992	Q6MFX1
10116.ENSRNOP00000045045	Q9ESV7
10116.ENSRNOP00000009020	B0K034
10116.ENSRNOP00000028518	B1WBQ8
10116.ENSRNOP00000003966	B1WBR3
10116.ENSRNOP00000006450	B1WBV5
10116.ENSRNOP00000005688	B1WC56
10116.ENSRNOP00000019675	B2B9A9
10116.ENSRNOP00000065930	B2GV42
10116.ENSRNOP00000015556	B5DF57
10116.ENSRNOP00000037910	B5DFL8
10116.ENSRNOP00000065889	B5DFN6
10116.ENSRNOP00000036168	D3Z8A1
10116.ENSRNOP00000008959	D3Z8A8
10116.ENSRNOP00000039985	D3ZDI9
10116.ENSRNOP00000027994	D3ZE04
10116.ENSRNOP00000017566	D3ZE91
10116.ENSRNOP00000006943	D3ZKE2
10116.ENSRNOP00000015055	D3ZQX1
10116.ENSRNOP00000004701	D3ZRN5
10116.ENSRNOP00000016674	D3ZSE2
10116.ENSRNOP00000059769	D3ZSM5
10116.ENSRNOP00000037617	D3ZUJ8
10116.ENSRNOP00000006154	D3ZYU4
10116.ENSRNOP00000059262	D4A0I5
10116.ENSRNOP00000059206	D4A3E7
10116.ENSRNOP00000011666	D4A3T2
10116.ENSRNOP00000061678	D4A5P8
10116.ENSRNOP00000061635	D4A6C9
10116.ENSRNOP00000011368	D4A7G6
10116.ENSRNOP00000014207	D4AAI5
10116.ENSRNOP00000065378	D4AC20
10116.ENSRNOP00000026408	D4AC45
10116.ENSRNOP00000052684	D4AD08
10116.ENSRNOP00000012915	D4ADA5
10116.ENSRNOP00000066988	D4ADK8
10116.ENSRNOP00000012219	F1LVC3
10116.ENSRNOP00000061103	F1M654
10116.ENSRNOP00000056826	G3V9R0
10116.ENSRNOP00000063188	G3V9Y6
10116.ENSRNOP00000067887	M0R6L3
10116.ENSRNOP00000067618	M0RCK1
10116.ENSRNOP00000009563	Q4KLK7
10116.ENSRNOP00000017369	Q5FVS4
10116.ENSRNOP00000021711	Q5U355
10116.ENSRNOP00000013205	Q5XID8
10116.ENSRNOP00000055669	Q5XII3
10116.ENSRNOP00000061923	Q5XIS4
10116.ENSRNOP00000019501	Q66HT5
10116.ENSRNOP00000016349	Q6AXY1
10116.ENSRNOP00000000574	Q6MGD2
10116.ENSRNOP00000032191	Q6P751
10116.ENSRNOP00000062939	Q6P9U6
10116.ENSRNOP00000051312	Q6PDW2
10116.ENSRNOP00000023564	Q80VT8
10116.ENSRNOP00000021278	Q99MK6
10116.ENSRNOP00000031195	Q99P34
10116.ENSRNOP00000012004	Z4YNI2
10116.ENSRNOP00000004540	B1WCA0
10116.ENSRNOP00000038594	B2RYT0
10116.ENSRNOP00000023285	B4F786
10116.ENSRNOP00000063961	B5DEP7
10116.ENSRNOP00000009778	B5DFI2
10116.ENSRNOP00000034811	D3ZA53
10116.ENSRNOP00000036595	D3ZBH0
10116.ENSRNOP00000062577	D3ZDA2
10116.ENSRNOP00000024040	D3ZDG9
10116.ENSRNOP00000055152	D3ZEL2
10116.ENSRNOP00000010835	D3ZJC0
10116.ENSRNOP00000039995	D3ZT07
10116.ENSRNOP00000063884	D3ZWB5
10116.ENSRNOP00000035655	D4A383
10116.ENSRNOP00000059410	D4A390
10116.ENSRNOP00000007958	D4A707
10116.ENSRNOP00000038254	D4A9N1
10116.ENSRNOP00000021030	D4AC23
10116.ENSRNOP00000000976	D4ACX4
10116.ENSRNOP00000017765	D4ADD1
10116.ENSRNOP00000038312	D4ADI8
10116.ENSRNOP00000026067	D4ADQ6
10116.ENSRNOP00000002284	E9PU42
10116.ENSRNOP00000063102	F1M9V6
10116.ENSRNOP00000004293	G3V6E4
10116.ENSRNOP00000023618	G3V896
10116.ENSRNOP00000061762	G3V9W6
10116.ENSRNOP00000063970	M0R3Q1
10116.ENSRNOP00000062894	Q4QR84
10116.ENSRNOP00000045156	Q5RKG5
10116.ENSRNOP00000037023	Q5U2R9
10116.ENSRNOP00000021132	Q66H05
10116.ENSRNOP00000002158	Q6DGF7
10116.ENSRNOP00000003716	Q9Z0L5
10116.ENSRNOP00000010586	A0A0A0MXV3
10116.ENSRNOP00000009691	B2GV80
10116.ENSRNOP00000024779	B2RYF6
10116.ENSRNOP00000007632	B5DEQ2
10116.ENSRNOP00000021715	B5DFL0
10116.ENSRNOP00000005439	D3ZAY8
10116.ENSRNOP00000064807	D3ZHF3
10116.ENSRNOP00000041030	D3ZHY5
10116.ENSRNOP00000025956	D3ZPW1
10116.ENSRNOP00000013284	D3ZRE1
10116.ENSRNOP00000013215	D3ZTP7
10116.ENSRNOP00000013506	D3ZY73
10116.ENSRNOP00000006356	D3ZZA8
10116.ENSRNOP00000059877	D4A0A3
10116.ENSRNOP00000061795	D4A0C8
10116.ENSRNOP00000061788	D4A0D9
10116.ENSRNOP00000021898	D4A182
10116.ENSRNOP00000011481	D4A3V3
10116.ENSRNOP00000047375	D4A5S1
10116.ENSRNOP00000014827	D4A7S6
10116.ENSRNOP00000021942	D4A9K6
10116.ENSRNOP00000057613	D4AAE1
10116.ENSRNOP00000066207	D6QY17
10116.ENSRNOP00000020341	F1LQY6
10116.ENSRNOP00000058698	F1LYD3
10116.ENSRNOP00000064187	F1M7B3
10116.ENSRNOP00000057537	F1M9K2
10116.ENSRNOP00000003691	G3V6C4
10116.ENSRNOP00000009566	G3V6W2
10116.ENSRNOP00000009735	G3V6X3
10116.ENSRNOP00000065437	G3V9I8
10116.ENSRNOP00000060795	G3V9V1
10116.ENSRNOP00000067597	Q5J3F0
10116.ENSRNOP00000023579	Q5XFV6
10116.ENSRNOP00000035380	Q7TNL0
10116.ENSRNOP00000051233	R9PXZ6
10116.ENSRNOP00000066996	A0A096MJT7
10116.ENSRNOP00000002502	A4GW50
10116.ENSRNOP00000015236	B0BN50
10116.ENSRNOP00000066295	B0BNE9
10116.ENSRNOP00000062368	D3ZCA7
10116.ENSRNOP00000050960	D3ZFF4
10116.ENSRNOP00000013804	D3ZI07
10116.ENSRNOP00000064287	D3ZIB4
10116.ENSRNOP00000008011	D3ZLD6
10116.ENSRNOP00000053229	D3ZLI2
10116.ENSRNOP00000008243	D3ZLT6
10116.ENSRNOP00000027169	D3ZM07
10116.ENSRNOP00000008163	D3ZPP2
10116.ENSRNOP00000004632	D3ZSL5
10116.ENSRNOP00000059716	D3ZSS0
10116.ENSRNOP00000025641	D3ZUJ7
10116.ENSRNOP00000028856	D3ZVM5
10116.ENSRNOP00000044407	D3ZYS6
10116.ENSRNOP00000035453	D4A3B5
10116.ENSRNOP00000016040	D4A576
10116.ENSRNOP00000014846	D4A7P9
10116.ENSRNOP00000030072	D4A7Q3
10116.ENSRNOP00000019893	D4A9B2
10116.ENSRNOP00000033099	D4AB49
10116.ENSRNOP00000014080	D4ADR7
10116.ENSRNOP00000063934	F1LQ30
10116.ENSRNOP00000001322	G3V637
10116.ENSRNOP00000002719	G3V689
10116.ENSRNOP00000011158	G3V728
10116.ENSRNOP00000015131	G3V7H8
10116.ENSRNOP00000019500	G3V7V3
10116.ENSRNOP00000028861	G3V8V9
10116.ENSRNOP00000055215	G3V9P9
10116.ENSRNOP00000061356	G3V9V9
10116.ENSRNOP00000064698	M0R5M7
10116.ENSRNOP00000023667	O35748
10116.ENSRNOP00000019673	Q05KR1
10116.ENSRNOP00000022092	Q0ZFS6
10116.ENSRNOP00000026718	Q499S6
10116.ENSRNOP00000045582	Q5J3G5
10116.ENSRNOP00000006787	Q5PQU8
10116.ENSRNOP00000065819	Q63395
10116.ENSRNOP00000011374	Q6IG09
10116.ENSRNOP00000050241	Q7TP53
10116.ENSRNOP00000043542	Q7TS62
10116.ENSRNOP00000008294	A7ISD5
10116.ENSRNOP00000021899	B0BN68
10116.ENSRNOP00000011687	B0BNA3
10116.ENSRNOP00000024408	B1WBR1
10116.ENSRNOP00000056244	B5DEF4
10116.ENSRNOP00000066628	D3Z9K1
10116.ENSRNOP00000058828	D3Z9U2
10116.ENSRNOP00000024878	D3ZA93
10116.ENSRNOP00000012021	D3ZE10
10116.ENSRNOP00000005571	D3ZER6
10116.ENSRNOP00000013828	D3ZHZ3
10116.ENSRNOP00000053484	D3ZLE0
10116.ENSRNOP00000039307	D3ZN10
10116.ENSRNOP00000034225	D3ZP85
10116.ENSRNOP00000010471	D3ZQ51
10116.ENSRNOP00000008341	D3ZQM6
10116.ENSRNOP00000004909	D3ZTZ2
10116.ENSRNOP00000056085	D3ZVK9
10116.ENSRNOP00000044021	D3ZWS1
10116.ENSRNOP00000014752	D4A104
10116.ENSRNOP00000030516	D4A545
10116.ENSRNOP00000059061	D4A9C2
10116.ENSRNOP00000019140	D4AEE9
10116.ENSRNOP00000015786	F1LU71
10116.ENSRNOP00000032864	F1LXU0
10116.ENSRNOP00000002879	F1M625
10116.ENSRNOP00000007071	G3V6N5
10116.ENSRNOP00000066113	G3V751
10116.ENSRNOP00000015705	G3V7J3
10116.ENSRNOP00000020919	G3V7Z4
10116.ENSRNOP00000024057	G3V8A6
10116.ENSRNOP00000024850	G3V8D6
10116.ENSRNOP00000026971	G3V8M7
10116.ENSRNOP00000027172	G3V8N4
10116.ENSRNOP00000066352	M0RA16
10116.ENSRNOP00000067784	M0RDS6
10116.ENSRNOP00000066822	Q3T1K9
10116.ENSRNOP00000040295	Q3ZB89
10116.ENSRNOP00000004756	Q5I0M1
10116.ENSRNOP00000062682	Q5XFX6
10116.ENSRNOP00000065049	Q5XIB7
10116.ENSRNOP00000048618	Q6IMK5
10116.ENSRNOP00000029909	B1WBZ3
10116.ENSRNOP00000033596	B1WC84
10116.ENSRNOP00000062777	B2GNF1
10116.ENSRNOP00000061467	B2RZ68
10116.ENSRNOP00000002329	D2KX21
10116.ENSRNOP00000062099	D3Z9R7
10116.ENSRNOP00000005126	D3ZD97
10116.ENSRNOP00000003918	D3ZFB0
10116.ENSRNOP00000060155	D3ZI99
10116.ENSRNOP00000067189	D3ZIN8
10116.ENSRNOP00000050012	D3ZJB8
10116.ENSRNOP00000041869	D3ZMV5
10116.ENSRNOP00000063743	D3ZR69
10116.ENSRNOP00000011714	D3ZSN8
10116.ENSRNOP00000032158	D3ZTW1
10116.ENSRNOP00000004790	D3ZZR0
10116.ENSRNOP00000051771	D3ZZX2
10116.ENSRNOP00000033795	D4A1Z8
10116.ENSRNOP00000019463	D4A234
10116.ENSRNOP00000002076	G3V668
10116.ENSRNOP00000018527	G3V7R8
10116.ENSRNOP00000027323	G3V8P6
10116.ENSRNOP00000067427	M0RCU3
10116.ENSRNOP00000060839	O70187
10116.ENSRNOP00000017996	O88205
10116.ENSRNOP00000001736	O88768
10116.ENSRNOP00000028834	Q3T1H9
10116.ENSRNOP00000062605	Q4KM38
10116.ENSRNOP00000005746	Q4V8L0
10116.ENSRNOP00000019770	Q4VFZ4
10116.ENSRNOP00000021963	Q569A5
10116.ENSRNOP00000018367	Q569A7
10116.ENSRNOP00000032184	Q5FWS5
10116.ENSRNOP00000026331	Q5I0J2
10116.ENSRNOP00000030536	Q5RJS2
10116.ENSRNOP00000003326	Q68FX4
10116.ENSRNOP00000066118	Q69DC0
10116.ENSRNOP00000014178	Q6IN22
10116.ENSRNOP00000059463	Q6IRL2
10116.ENSRNOP00000000532	Q6MGA6
10116.ENSRNOP00000056297	Q76MV3
10116.ENSRNOP00000044460	Q7TQ76
10116.ENSRNOP00000003686	Q9JJM4
10116.ENSRNOP00000027836	A1A5P7
10116.ENSRNOP00000024287	B0BMV5
10116.ENSRNOP00000031039	B0BNN4
10116.ENSRNOP00000021608	B1WC22
10116.ENSRNOP00000057946	B2RYU9
10116.ENSRNOP00000006747	B2RZ36
10116.ENSRNOP00000002992	B5DEZ6
10116.ENSRNOP00000045006	B5DFD4
10116.ENSRNOP00000003843	D3Z8P8
10116.ENSRNOP00000012394	D3ZB49
10116.ENSRNOP00000005352	D3ZDT0
10116.ENSRNOP00000012425	D3ZG43
10116.ENSRNOP00000062234	D3ZGE0
10116.ENSRNOP00000020900	D3ZIJ1
10116.ENSRNOP00000008364	D3ZQL1
10116.ENSRNOP00000053510	D3ZQU7
10116.ENSRNOP00000054800	D3ZT66
10116.ENSRNOP00000052950	D4A1N0
10116.ENSRNOP00000035433	D4A3E0
10116.ENSRNOP00000023247	D4A3I5
10116.ENSRNOP00000002962	D4A4V1
10116.ENSRNOP00000028433	D4A4Y3
10116.ENSRNOP00000038850	D4A6M8
10116.ENSRNOP00000028127	D4A8N2
10116.ENSRNOP00000002151	D4ACD2
10116.ENSRNOP00000021435	D4AEG5
10116.ENSRNOP00000027188	F1LN21
10116.ENSRNOP00000036035	F1LT70
10116.ENSRNOP00000045878	F1M6J9
10116.ENSRNOP00000029403	F7EQ04
10116.ENSRNOP00000043297	F7EUL7
10116.ENSRNOP00000005015	G3V6H1
10116.ENSRNOP00000025309	G3V8F7
10116.ENSRNOP00000043263	G3V9D5
10116.ENSRNOP00000063893	G3V9Z6
10116.ENSRNOP00000066059	M0R8Q9
10116.ENSRNOP00000067162	M0RC53
10116.ENSRNOP00000067789	M0RDT1
10116.ENSRNOP00000008972	Q3MID6
10116.ENSRNOP00000020753	Q497B7
10116.ENSRNOP00000011486	Q5I0L8
10116.ENSRNOP00000027425	Q5U1Y5
10116.ENSRNOP00000007896	Q5U2V0
10116.ENSRNOP00000003941	Q5U4E4
10116.ENSRNOP00000061832	Q5XIM3
10116.ENSRNOP00000062425	Q6AYS3
10116.ENSRNOP00000060919	Q6AZ35
10116.ENSRNOP00000014560	Q6P6S1
10116.ENSRNOP00000044428	Q7TP89
10116.ENSRNOP00000021668	Q99N74
10116.ENSRNOP00000010598	B0BNM8
10116.ENSRNOP00000040495	B1WBT1
10116.ENSRNOP00000032379	B2GV25
10116.ENSRNOP00000015575	B2RZ96
10116.ENSRNOP00000035305	B3DMA3
10116.ENSRNOP00000027964	D3ZE36
10116.ENSRNOP00000029019	D3ZFS6
10116.ENSRNOP00000001709	D3ZIV3
10116.ENSRNOP00000022152	D3ZKF9
10116.ENSRNOP00000008415	D3ZM97
10116.ENSRNOP00000010025	D3ZPC8
10116.ENSRNOP00000032048	D3ZWT2
10116.ENSRNOP00000020041	D3ZXB9
10116.ENSRNOP00000067882	D3ZZJ5
10116.ENSRNOP00000006325	D3ZZT7
10116.ENSRNOP00000059462	D4A0F7
10116.ENSRNOP00000038910	D4A4Q3
10116.ENSRNOP00000016475	D4A4W7
10116.ENSRNOP00000042052	D4A7P5
10116.ENSRNOP00000030252	D4A8Q3
10116.ENSRNOP00000057913	D4A8Y0
10116.ENSRNOP00000052125	D4ACX5
10116.ENSRNOP00000036136	F1LLW4
10116.ENSRNOP00000047962	F1LR02
10116.ENSRNOP00000025312	F1LR79
10116.ENSRNOP00000019465	F1M9D6
10116.ENSRNOP00000008917	F1M9V9
10116.ENSRNOP00000001589	G3V647
10116.ENSRNOP00000022845	G3V871
10116.ENSRNOP00000026697	G3V8L0
10116.ENSRNOP00000054603	G3V9P4
10116.ENSRNOP00000056326	G3V9Q6
10116.ENSRNOP00000064303	M0R4L6
10116.ENSRNOP00000065598	M0R809
10116.ENSRNOP00000066037	M0R975
10116.ENSRNOP00000067044	M0RBU7
10116.ENSRNOP00000013119	Q0PXQ8
10116.ENSRNOP00000057157	Q4KLL1
10116.ENSRNOP00000039825	Q4V8L7
10116.ENSRNOP00000030414	Q4V8N6
10116.ENSRNOP00000032371	Q56R18
10116.ENSRNOP00000066315	Q5EBB0
10116.ENSRNOP00000034304	Q5I0J6
10116.ENSRNOP00000024069	Q5NUI4
10116.ENSRNOP00000004042	Q5XFX7
10116.ENSRNOP00000062508	Q6MFX7
10116.ENSRNOP00000061486	Q6P6G3
10116.ENSRNOP00000067357	Q8CHM6
10116.ENSRNOP00000001419	B0BN48
10116.ENSRNOP00000011427	B2RYW4
10116.ENSRNOP00000009882	B5DF84
10116.ENSRNOP00000034952	D3Z924
10116.ENSRNOP00000027794	D3Z9H1
10116.ENSRNOP00000058821	D3Z9U8
10116.ENSRNOP00000008544	D3ZA72
10116.ENSRNOP00000005402	D3ZBG6
10116.ENSRNOP00000062544	D3ZDD6
10116.ENSRNOP00000031140	D3ZF96
10116.ENSRNOP00000024452	D3ZFJ6
10116.ENSRNOP00000031349	D3ZFR1
10116.ENSRNOP00000049715	D3ZIM5
10116.ENSRNOP00000060921	D3ZPZ7
10116.ENSRNOP00000058600	D3ZQ09
10116.ENSRNOP00000035880	D3ZRR0
10116.ENSRNOP00000028601	D3ZSJ4
10116.ENSRNOP00000064429	D3ZTS4
10116.ENSRNOP00000020168	D3ZTY1
10116.ENSRNOP00000025392	D3ZWH2
10116.ENSRNOP00000037572	D3ZWZ9
10116.ENSRNOP00000020036	D3ZXC8
10116.ENSRNOP00000056414	D3ZY93
10116.ENSRNOP00000016757	D3ZZR6
10116.ENSRNOP00000061062	D4A193
10116.ENSRNOP00000021804	D4A1K1
10116.ENSRNOP00000059441	D4A2N1
10116.ENSRNOP00000023318	D4A7H9
10116.ENSRNOP00000007927	D4A7L6
10116.ENSRNOP00000011109	D4A855
10116.ENSRNOP00000059088	D4A8S8
10116.ENSRNOP00000007039	D4ABF2
10116.ENSRNOP00000026382	D4AD35
10116.ENSRNOP00000021437	D4AEG3
10116.ENSRNOP00000003137	E9PSR6
10116.ENSRNOP00000050087	F1LP62
10116.ENSRNOP00000009696	F1LS57
10116.ENSRNOP00000004698	F1M0C0
10116.ENSRNOP00000035423	F7FHR5
10116.ENSRNOP00000015272	G3V7I4
10116.ENSRNOP00000022633	G3V865
10116.ENSRNOP00000066725	G4XVC3
10116.ENSRNOP00000064109	M0R432
10116.ENSRNOP00000065647	M0R856
10116.ENSRNOP00000066318	M0R9Y3
10116.ENSRNOP00000008934	M0RA17
10116.ENSRNOP00000067379	M0RCQ2
10116.ENSRNOP00000015863	Q3B8R7
10116.ENSRNOP00000049867	Q3I408
10116.ENSRNOP00000048476	Q3KRF2
10116.ENSRNOP00000020201	Q5EAP4
10116.ENSRNOP00000007711	Q5VLR5
10116.ENSRNOP00000013852	Q6AXW2
10116.ENSRNOP00000046297	Q6IFV5
10116.ENSRNOP00000022128	Q6IRF7
10116.ENSRNOP00000044854	Q6QI11
10116.ENSRNOP00000062597	Q9QX80
10116.ENSRNOP00000012751	B0BNB1
10116.ENSRNOP00000011320	B2GV82
10116.ENSRNOP00000004455	B2RYF5
10116.ENSRNOP00000004111	B2RYM4
10116.ENSRNOP00000021337	B5DFF2
10116.ENSRNOP00000062131	D3Z977
10116.ENSRNOP00000012354	D3ZBM2
10116.ENSRNOP00000043888	D3ZDM5
10116.ENSRNOP00000017571	D3ZE77
10116.ENSRNOP00000050781	D3ZEC7
10116.ENSRNOP00000062751	D3ZED6
