226186.BT_3693	Q8A1G8
226186.BT_3656	Q8A1K5
226186.BT_2135	Q8A5V1
226186.BT_0479	Q8AAI5
226186.BT_0129	Q8ABI1
226186.BT_4718	Q89YL3
226186.BT_3774	Q8A192
226186.BT_3249	Q8A2Q6
226186.BT_1922	Q8A6G2
226186.BT_0953	Q8A964
226186.BT_0800	Q8A9L5
226186.BT_3302	Q8A2K3
226186.BT_2543	Q8A4Q4
226186.BT_1750	Q8A6X5
226186.BT_0394	Q8AAS0
226186.BT_1222	Q8A8E5
226186.BT_1213	Q8A8F4
226186.BT_2931	Q8A3M3
226186.BT_4654	Q89YS7
226186.BT_0396	Q8AAR8
226186.BT_4519	Q89Z58
226186.BT_4149	Q8A072
226186.BT_1248	Q8A8B9
226186.BT_1126	Q8A8P1
226186.BT_1035	Q8A8Y2
226186.BT_0495	Q8AAH0
226186.BT_0126	Q8ABI4
226186.BT_4173	Q8A048
226186.BT_3824	Q8A143
226186.BT_1799	Q8A6S7
226186.BT_0001	Q8ABV9
226186.BT_4682	Q89YP9
226186.BT_2617	Q8A4I2
226186.BT_1215	Q8A8F2
226186.BT_0109	Q8ABK1
226186.BT_4137	Q8A084
226186.BT_3418	Q8A288
226186.BT_3270	Q8A2N5
226186.BT_3046	Q8A3A8
226186.BT_2768	Q8A436
226186.BT_4159	Q8A062
226186.BT_1964	Q8A6C0
226186.BT_3969	Q8A0Q2
226186.BT_0162	Q8ABE8
226186.BT_0027	Q8ABT3
226186.BT_0342	Q8AAX0
226186.BT_2441	Q8A506
226186.BT_0621	Q8AA44
226186.BT_4117	Q8A0A4
226186.BT_0936	Q8A981
226186.BT_3105	Q8A350
226186.BT_0619	Q8AA46
226186.BT_4531	Q89Z46
226186.BT_3103	Q8A352
226186.BT_1589	Q8A7D5
226186.BT_0617	Q8AA48
226186.BT_2123	Q8A5W3
226186.BT_3176	Q8A2X9
226186.BT_2825	Q8A3X9
226186.BT_4542	Q89Z35
226186.BT_3862	Q8A109
226186.BT_3525	Q8A1Y3
226186.BT_1322	Q8A852
226186.BT_0770	Q8A9P5
226186.BT_2572	Q8A4M7
226186.BT_1995	Q8A690
226186.BT_1646	Q8A779
226186.BT_1062	Q8A8V5
226186.BT_0693	Q8A9X2
226186.BT_2445	Q8A502
226186.BT_2769	Q8A435
226186.BT_0654	Q8AA11
226186.BT_4133	Q8A088
226186.BT_2669	Q8A4D0
226186.BT_2019	Q8A667
226186.BT_1587	Q8A7D7
226186.BT_2407	Q8A537
226186.BT_2339	Q8A5A0
226186.BT_2225	Q8A5L4
226186.BT_0544	Q8AAC1
226186.BT_1579	Q8A7E5
226186.BT_2194	Q8A5P4
226186.BT_1695	Q8A730
226186.BT_3187	Q8A2W8
226186.BT_4025	Q8A0J6
226186.BT_2457	Q8A4Z0
226186.BT_4023	Q8A0J8
226186.BT_1522	Q8A7K2
226186.BT_1159	Q8A8K8
226186.BT_0400	Q8AAR4
226186.BT_2338	Q8A5A1
226186.BT_4692	Q89YN9
226186.BT_4681	Q89YQ0
226186.BT_3147	Q8A308
226186.BT_2504	Q8A4U3
226186.BT_1109	Q8A8Q8
226186.BT_0864	Q8A9F1
226186.BT_4655	Q89YS6
226186.BT_3153	Q8A302
226186.BT_2383	Q8A559
226186.BT_2146	Q8A5U2
226186.BT_2206	Q8A5N2
226186.BT_2794	Q8A410
226186.BT_0759	Q8A9Q6
226186.BT_0348	Q8AAW4
226186.BT_2824	Q8A3Y0
226186.BT_2150	Q8A5T8
226186.BT_3900	Q8A0X1
226186.BT_2697	Q8A4A6
226186.BT_3532	Q8A1X6
226186.BT_2666	Q8A4D3
226186.BT_1826	Q8A6Q1
226186.BT_0006	Q8ABV4
226186.BT_1768	Q8A6V8
226186.BT_1671	Q8A754
226186.BT_1338	Q8A836
226186.BT_0964	Q8A953
226186.BT_4478	Q89Z99
226186.BT_3274	Q8A2N1
226186.BT_2862	Q8A3U2
226186.BT_2068	Q8A618
226186.BT_1999	Q8A687
226186.BT_1160	Q8A8K7
226186.BT_4153	Q8A068
226186.BT_1080	Q8A8T7
226186.BT_0072	Q8ABN8
226186.BT_4509	Q89Z68
226186.BT_3975	Q8A0P6
226186.BT_3104	Q8A351
226186.BT_2287	Q8A5F2
226186.BT_4489	Q89Z88
226186.BT_1158	Q8A8K9
226186.BT_1142	Q8A8M5
226186.BT_1414	Q8A7W0
226186.BT_1024	Q8A8Z3
226186.BT_0534	Q8AAD1
226186.BT_4633	Q89YU8
226186.BT_0614	Q8AA51
226186.BT_3316	Q8A2I9
226186.BT_0734	Q8A9T1
226186.BT_4338	G8JZS9
226186.BT_4057	Q8A0G4
226186.BT_2534	Q8A4R3
226186.BT_1747	Q8A6X8
226186.BT_1503	Q8A7M1
226186.BT_1443	Q8A7T1
226186.BT_4138	Q8A083
226186.BT_2105	Q8A5Y1
226186.BT_1709	Q8A716
226186.BT_0559	Q8AAA6
226186.BT_4669	Q89YR2
226186.BT_3904	Q8A0W7
226186.BT_3360	Q8A2E5
226186.BT_3029	Q8A3C5
226186.BT_1935	Q8A6E9
226186.BT_1835	Q8A6P2
226186.BT_2121	Q8A5W5
226186.BT_1180	Q8A8I7
226186.BT_0611	Q8AA54
226186.BT_0484	Q8AAI0
226186.BT_0402	Q8AAR2
226186.BT_3837	Q8A134
226186.BT_3973	Q8A0P8
226186.BT_1591	Q8A7D3
226186.BT_2444	Q8A503
226186.BT_2202	Q8A5N6
226186.BT_1643	Q8A782
226186.BT_0475	Q8AAI9
226186.BT_3959	Q8A0R2
226186.BT_0343	Q8AAW9
226186.BT_1345	Q8A829
226186.BT_4487	Q89Z90
226186.BT_2604	Q8A4J5
226186.BT_1940	Q8A6E4
226186.BT_3915	Q8A0V6
226186.BT_3082	Q8A373
226186.BT_1976	Q8A6A9
226186.BT_1615	Q8A7B0
226186.BT_0937	Q8A980
226186.BT_4269	Q89ZV2
226186.BT_2313	Q8A5C6
226186.BT_2074	Q8A612
226186.BT_1874	Q8A6K7
226186.BT_1344	Q8A830
226186.BT_1212	Q8A8F5
226186.BT_0154	Q8ABF6
226186.BT_4752	Q89YI0
226186.BT_0300	Q8AB12
226186.BT_2115	Q8A5X1
226186.BT_2581	Q8A4L8
226186.BT_1807	Q8A6R9
226186.BT_4040	Q8A0I1
226186.BT_3920	Q8A0V1
226186.BT_3117	Q8A338
226186.BT_1654	Q8A771
226186.BT_1600	Q8A7C4
226186.BT_1446	Q8A7S8
226186.BT_1444	Q8A7T0
226186.BT_0607	Q8AA58
226186.BT_0383	Q8AAT1
226186.BT_0612	Q8AA53
226186.BT_2924	Q8A3N0
226186.BT_1626	Q8A799
226186.BT_3063	Q8A391
226186.BT_0834	Q8A9I1
226186.BT_3242	Q8A2R3
226186.BT_0380	Q8AAT4
226186.BT_2655	Q8A4E4
226186.BT_4134	Q8A087
226186.BT_3631	Q8A1M8
226186.BT_4271	Q89ZV0
226186.BT_3330	Q8A2H5
226186.BT_3237	Q8A2R8
226186.BT_3145	Q8A310
226186.BT_2224	Q8A5L5
226186.BT_2131	Q8A5V5
226186.BT_1785	Q8A6U1
226186.BT_1203	Q8A8G4
226186.BT_1098	Q8A8R9
226186.BT_1388	Q8A7Y6
226186.BT_2052	Q8A634
226186.BT_1390	Q8A7Y4
226186.BT_0813	Q8A9K2
226186.BT_1786	Q8A6U0
226186.BT_2318	Q8A5C1
226186.BT_4246	Q89ZX5
226186.BT_4739	Q89YJ2
226186.BT_4223	Q89ZZ8
226186.BT_3562	Q8A1U6
226186.BT_2600	Q8A4J9
226186.BT_0106	Q8ABK4
226186.BT_2403	Q8A541
226186.BT_3021	Q8A3D3
226186.BT_3289	Q8A2L6
226186.BT_1630	Q8A795
226186.BT_0957	Q8A960
226186.BT_0808	Q8A9K7
226186.BT_0369	Q8AAU5
226186.BT_4303	Q89ZS3
226186.BT_1104	Q8A8R3
226186.BT_3464	Q8A242
226186.BT_1644	Q8A781
226186.BT_4298	Q89ZS8
226186.BT_2612	Q8A4I7
226186.BT_0674	Q8A9Z1
226186.BT_0922	Q8A995
226186.BT_4151	Q8A070
226186.BT_3294	Q8A2L1
226186.BT_4446	Q89ZD1
226186.BT_1515	Q8A7K9
226186.BT_1296	Q8A878
226186.BT_2175	Q8A5R3
226186.BT_1993	Q8A692
226186.BT_1491	Q8A7N3
226186.BT_0428	Q8AAN6
226186.BT_2752	Q8A451
226186.BT_1154	Q8A8L3
226186.BT_4695	Q89YN6
226186.BT_2032	Q8A654
226186.BT_1931	Q8A6F3
226186.BT_1831	Q8A6P6
226186.BT_0955	Q8A962
226186.BT_0229	Q8AB81
226186.BT_3953	Q8A0R8
226186.BT_3531	Q8A1X7
226186.BT_3186	Q8A2W9
226186.BT_0863	Q8A9F2
226186.BT_3325	Q8A2I0
226186.BT_2529	Q8A4R8
226186.BT_3566	Q8A1U2
226186.BT_1770	Q8A6V6
226186.BT_1540	Q8A7I4
226186.BT_4513	Q89Z64
226186.BT_2628	Q8A4H1
226186.BT_2627	Q8A4H2
226186.BT_1547	Q8A7H7
226186.BT_3941	Q8A0T0
226186.BT_0391	Q8AAS3
226186.BT_0043	Q8ABR7
226186.BT_1533	Q8A7J1
226186.BT_1484	Q8A7P0
226186.BT_1372	Q8A802
226186.BT_4300	Q89ZS6
226186.BT_0925	Q8A992
226186.BT_3681	Q8A1I0
226186.BT_0942	Q8A975
226186.BT_4143	Q8A078
226186.BT_2522	Q8A4S5
226186.BT_3493	Q8A215
226186.BT_2432	Q8A515
226186.BT_3245	Q8A2R0
226186.BT_3083	Q8A372
226186.BT_2323	Q8A5B6
226186.BT_0478	Q8AAI6
226186.BT_0026	Q8ABT4
226186.BT_3362	Q8A2E3
226186.BT_4488	Q89Z89
226186.BT_3757	Q8A1A9
226186.BT_3789	Q8A177
226186.BT_2897	Q8A3Q7
226186.BT_1959	Q8A6C5
226186.BT_0898	Q8A9B7
226186.BT_0338	Q8AAX4
226186.BT_0206	Q8ABA4
226186.BT_4349	Q89ZM8
226186.BT_0849	Q8A9G6
226186.BT_4334	Q89ZP2
226186.BT_3106	Q8A349
226186.BT_0556	Q8AAA9
226186.BT_2108	Q8A5X8
226186.BT_3828	Q8A141
226186.BT_2590	Q8A4K9
226186.BT_2248	Q8A5J1
226186.BT_1449	Q8A7S5
226186.BT_3048	Q8A3A6
226186.BT_2813	Q8A3Z1
226186.BT_1791	Q8A6T5
226186.BT_2357	Q8A585
226186.BT_2781	Q8A423
226186.BT_0956	Q8A961
226186.BT_4737	Q89YJ4
226186.BT_4670	Q89YR1
226186.BT_3027	Q8A3C7
226186.BT_3020	Q8A3D4
226186.BT_2372	Q8A570
226186.BT_1693	Q8A732
226186.BT_1642	Q8A783
226186.BT_1230	Q8A8D7
226186.BT_0021	Q8ABT9
226186.BT_1584	Q8A7E0
226186.BT_4286	Q89ZT8
226186.BT_1836	Q8A6P1
226186.BT_0101	Q8ABK9
226186.BT_0330	Q8AAY2
226186.BT_2028	Q8A658
226186.BT_1640	Q8A785
226186.BT_1456	Q8A7R8
226186.BT_0237	Q8AB73
226186.BT_4533	Q89Z44
226186.BT_4493	Q89Z84
226186.BT_4114	Q8A0A7
226186.BT_3890	Q8A0Y1
226186.BT_2592	Q8A4K7
226186.BT_1586	Q8A7D8
226186.BT_1101	Q8A8R6
226186.BT_2523	Q8A4S4
226186.BT_4408	Q89ZG9
226186.BT_2293	Q8A5E6
226186.BT_2485	Q8A4W2
226186.BT_4685	Q89YP6
226186.BT_2891	Q8A3R3
226186.BT_1458	Q8A7R6
226186.BT_0833	Q8A9I2
226186.BT_4582	Q89YZ8
226186.BT_2682	Q8A4C1
226186.BT_4238	Q89ZY3
226186.BT_4688	Q89YP3
226186.BT_2509	Q8A4T8
226186.BT_1076	Q8A8U1
226186.BT_0588	Q8AA77
226186.BT_0357	Q8AAV5
226186.BT_3038	Q8A3B6
226186.BT_1921	Q8A6G3
226186.BT_2393	Q8A549
226186.BT_4008	Q8A0L3
226186.BT_3647	Q8A1L4
226186.BT_2515	Q8A4T2
226186.BT_3079	Q8A376
226186.BT_3875	Q8A0Z6
226186.BT_0287	Q8AB25
226186.BT_1438	Q8A7T6
226186.BT_3442	Q8A264
226186.BT_3782	Q8A184
226186.BT_1187	Q8A8I0
226186.BT_3088	Q8A367
226186.BT_2532	Q8A4R5
226186.BT_0873	Q8A9E2
226186.BT_3065	Q8A389
226186.BT_2029	Q8A657
226186.BT_1415	Q8A7V9
226186.BT_1156	Q8A8L1
226186.BT_3786	Q8A180
226186.BT_2928	Q8A3M6
226186.BT_0186	Q8ABC4
226186.BT_1318	Q8A856
226186.BT_1987	Q8A698
226186.BT_3620	Q8A1N9
226186.BT_2458	Q8A4Y9
226186.BT_1616	Q8A7A9
226186.BT_4713	Q89YL8
226186.BT_3988	Q8A0N3
226186.BT_0483	Q8AAI1
226186.BT_2816	Q8A3Y8
226186.BT_1902	Q8A6I2
226186.BT_1648	Q8A777
226186.BT_4031	Q8A0J0
226186.BT_3447	Q8A259
226186.BT_2993	Q8A3G1
226186.BT_2660	Q8A4D9
226186.BT_4145	Q8A076
226186.BT_4245	Q89ZX6
226186.BT_0233	Q8AB77
226186.BT_1723	Q8A702
226186.BT_1006	Q8A911
226186.BT_4653	Q89YS8
226186.BT_4369	Q89ZK8
226186.BT_3967	Q8A0Q4
226186.BT_2598	Q8A4K1
226186.BT_2342	Q8A597
226186.BT_1267	Q8A8A0
226186.BT_0111	Q8ABJ9
226186.BT_3403	Q8A2A2
226186.BT_0990	Q8A927
226186.BT_0661	Q8AA04
226186.BT_3519	Q8A1Y9
226186.BT_3415	Q8A290
226186.BT_2645	Q8A4F4
226186.BT_0678	Q8A9Y7
226186.BT_0454	Q8AAL0
226186.BT_0960	Q8A957
226186.BT_2583	Q8A4L6
226186.BT_1872	Q8A6K9
226186.BT_4146	Q8A075
226186.BT_4668	Q89YR3
226186.BT_1708	Q8A717
226186.BT_1333	Q8A841
226186.BT_4322	Q89ZQ4
226186.BT_3750	Q8A1B6
226186.BT_3740	Q8A1C6
226186.BT_2622	Q8A4H7
226186.BT_0197	Q8ABB3
226186.BT_3712	Q8A1F4
226186.BT_0908	Q8A9A7
226186.BT_4415	Q89ZG2
226186.BT_0550	Q8AAB5
226186.BT_3054	Q8A3A0
226186.BT_3210	Q8A2U5
226186.BT_1237	Q8A8D0
226186.BT_1067	Q8A8V0
226186.BT_0382	Q8AAT2
226186.BT_1532	Q8A7J2
226186.BT_1537	Q8A7I7
226186.BT_2015	Q8A671
226186.BT_1960	Q8A6C4
226186.BT_0378	Q8AAT6
226186.BT_0814	Q8A9K1
226186.BT_1934	Q8A6F0
226186.BT_0362	Q8AAV2
226186.BT_3957	Q8A0R4
226186.BT_2199	Q8A5N9
226186.BT_3751	Q8A1B5
226186.BT_3630	Q8A1M9
226186.BT_1563	Q8A7G1
226186.BT_1348	Q8A826
226186.BT_3806	Q8A161
226186.BT_4400	Q89ZH7
226186.BT_3378	Q8A2C7
226186.BT_3070	Q8A385
226186.BT_2282	Q8A5F7
226186.BT_2113	Q8A5X3
226186.BT_0560	Q8AAA5
226186.BT_3943	Q8A0S8
226186.BT_3227	Q8A2S8
226186.BT_1781	Q8A6U5
226186.BT_1335	Q8A839
226186.BT_1068	Q8A8U9
226186.BT_3383	Q8A2C2
226186.BT_1677	Q8A748
226186.BT_4620	Q89YW1
226186.BT_4097	Q8A0C4
226186.BT_3568	Q8A1U0
226186.BT_2304	Q8A5D5
226186.BT_1828	Q8A6P9
226186.BT_0862	Q8A9F3
226186.BT_3381	Q8A2C4
226186.BT_1796	Q8A6T0
226186.BT_4324	Q89ZQ2
226186.BT_0328	Q8AAY4
226186.BT_2439	Q8A508
226186.BT_1703	Q8A722
226186.BT_1139	Q8A8M8
226186.BT_0618	Q8AA47
226186.BT_2001	Q8A685
226186.BT_1613	Q8A7B2
226186.BT_3547	Q8A1W1
226186.BT_3129	Q8A326
226186.BT_2402	Q8A542
226186.BT_1323	Q8A851
226186.BT_3951	Q8A0S0
226186.BT_2481	Q8A4W6
226186.BT_1157	Q8A8L0
226186.BT_2508	Q8A4T9
226186.BT_2696	Q8A4A7
226186.BT_2596	Q8A4K3
226186.BT_2496	Q8A4V1
226186.BT_1418	Q8A7V6
226186.BT_0804	Q8A9L1
226186.BT_3184	Q8A2X1
226186.BT_1429	Q8A7U5
226186.BT_0950	Q8A967
226186.BT_0600	Q8AA65
226186.BT_2472	Q8A4X5
226186.BT_2343	Q8A596
226186.BT_2081	Q8A605
226186.BT_0367	Q8AAU7
226186.BT_0933	Q8A984
226186.BT_3565	Q8A1U3
226186.BT_1711	Q8A714
226186.BT_1382	Q8A7Z2
226186.BT_4119	Q8A0A2
226186.BT_0148	Q8ABG2
226186.BT_0941	Q8A976
226186.BT_2384	Q8A558
226186.BT_4438	Q89ZD9
226186.BT_2576	Q8A4M3
226186.BT_4537	Q89Z40
226186.BT_0676	Q8A9Y9
226186.BT_3007	Q8A3E7
226186.BT_0958	Q8A959
226186.BT_3749	Q8A1B7
226186.BT_3287	Q8A2L8
226186.BT_2947	Q8A3K7
226186.BT_2858	Q8A3U6
226186.BT_2800	Q8A404
226186.BT_2620	Q8A4H9
226186.BT_2127	Q8A5V9
226186.BT_1315	Q8A859
226186.BT_0613	Q8AA52
226186.BT_4376	Q89ZK1
226186.BT_1705	Q8A720
226186.BT_2589	Q8A4L0
226186.BT_4505	Q89Z72
226186.BT_1620	Q8A7A5
226186.BT_2857	Q8A3U7
226186.BT_1903	Q8A6I1
226186.BT_1452	Q8A7S2
226186.BT_1811	Q8A6R5
226186.BT_1983	Q8A6A2
226186.BT_0392	Q8AAS2
226186.BT_3838	Q8A133
226186.BT_4258	Q89ZW3
226186.BT_1453	Q8A7S1
226186.BT_2623	Q8A4H6
226186.BT_1739	Q8A6Y6
226186.BT_4079	Q8A0E2
226186.BT_1224	Q8A8E3
226186.BT_2198	Q8A5P0
226186.BT_1597	Q8A7C7
226186.BT_0740	Q8A9S5
226186.BT_4142	Q8A079
226186.BT_2083	Q8A603
226186.BT_4042	Q8A0H9
226186.BT_4017	Q8A0K4
226186.BT_1127	Q8A8P0
226186.BT_3090	Q8A365
226186.BT_2089	Q8A5Z7
226186.BT_0688	Q8A9X7
226186.BT_3369	Q8A2D6
226186.BT_3171	Q8A2Y4
226186.BT_2095	Q8A5Z1
226186.BT_1261	Q8A8A6
226186.BT_0954	Q8A963
226186.BT_0376	Q8AAT8
226186.BT_3641	Q8A1M0
226186.BT_1440	Q8A7T4
226186.BT_0069	Q8ABP1
226186.BT_0948	Q8A969
226186.BT_3881	Q8A0Z0
226186.BT_0184	Q8ABC6
226186.BT_4675	Q89YQ6
226186.BT_3588	Q8A1S1
226186.BT_3533	Q8A1X5
226186.BT_2641	Q8A4F8
226186.BT_2586	Q8A4L3
226186.BT_2431	Q8A516
226186.BT_0566	Q8AA99
226186.BT_4147	Q8A074
226186.BT_3035	Q8A3B9
226186.BT_3384	Q8A2C1
226186.BT_0837	Q8A9H8
226186.BT_4447	Q89ZD0
226186.BT_1015	Q8A902
226186.BT_3257	Q8A2P8
226186.BT_3159	Q8A2Z6
226186.BT_3028	Q8A3C6
226186.BT_3500	Q8A208
226186.BT_1810	Q8A6R6
226186.BT_2322	Q8A5B7
226186.BT_3009	Q8A3E5
226186.BT_3429	Q8A277
226186.BT_3409	Q8A296
226186.BT_1000	Q8A917
226186.BT_1260	Q8A8A7
226186.BT_2582	Q8A4L7
226186.BT_1780	Q8A6U6
226186.BT_2851	Q8A3V3
226186.BT_0852	Q8A9G3
226186.BT_0010	Q8ABV0
226186.BT_1651	Q8A774
226186.BT_2956	Q8A3J8
226186.BT_2434	Q8A513
226186.BT_3798	Q8A169
226186.BT_4515	Q89Z62
226186.BT_4463	Q89ZB4
226186.BT_4443	Q89ZD4
226186.BT_4412	Q89ZG5
226186.BT_4397	Q89ZI0
226186.BT_3024	Q8A3D0
226186.BT_2502	Q8A4U5
226186.BT_2245	Q8A5J4
226186.BT_1873	Q8A6K8
226186.BT_4325	Q89ZQ1
226186.BT_1507	Q8A7L7
226186.BT_1319	Q8A855
226186.BT_0164	Q8ABE6
226186.BT_3214	Q8A2U1
226186.BT_2354	Q8A588
226186.BT_1713	Q8A712
226186.BT_0189	Q8ABC1
226186.BT_3097	Q8A358
226186.BT_2990	Q8A3G4
226186.BT_1733	Q8A6Z2
226186.BT_0799	Q8A9L6
226186.BT_3301	Q8A2K4
226186.BT_4525	Q89Z52
226186.BT_4627	Q89YV4
226186.BT_0052	Q8ABQ8
226186.BT_1635	Q8A790
226186.BT_1082	Q8A8T5
226186.BT_1202	Q8A8G5
226186.BT_2333	Q8A5A6
226186.BT_0144	Q8ABG6
226186.BT_0758	Q8A9Q7
226186.BT_3291	Q8A2L4
226186.BT_0417	Q8AAP7
226186.BT_4116	Q8A0A5
226186.BT_3080	Q8A375
226186.BT_2854	Q8A3V0
226186.BT_1496	Q8A7M8
226186.BT_3303	Q8A2K2
226186.BT_4398	Q89ZH9
226186.BT_4383	Q89ZJ4
226186.BT_4320	Q89ZQ6
226186.BT_2926	Q8A3M8
226186.BT_4267	Q89ZV4
226186.BT_3169	Q8A2Y6
226186.BT_2495	Q8A4V2
226186.BT_1309	Q8A865
226186.BT_3275	Q8A2N0
226186.BT_3974	Q8A0P7
226186.BT_2063	Q8A623
226186.BT_0058	Q8ABQ2
226186.BT_3446	Q8A260
226186.BT_1009	Q8A908
226186.BT_2507	Q8A4U0
226186.BT_0395	Q8AAR9
226186.BT_3691	Q8A1H0
226186.BT_2559	Q8A4P0
226186.BT_1932	Q8A6F2
226186.BT_0819	Q8A9J6
226186.BT_1103	Q8A8R4
226186.BT_4748	Q89YI4
226186.BT_1039	Q8A8X8
226186.BT_1908	Q8A6H6
226186.BT_0234	Q8AB76
226186.BT_3319	Q8A2I6
226186.BT_4393	Q89ZI4
226186.BT_4036	Q8A0I5
226186.BT_3716	Q8A1F0
226186.BT_3542	Q8A1W6
226186.BT_2348	Q8A591
226186.BT_2017	Q8A669
226186.BT_3013	Q8A3E1
226186.BT_1303	Q8A871
226186.BT_3488	Q8A220
226186.BT_4746	Q89YI6
226186.BT_2136	Q8A5V0
226186.BT_1868	Q8A6L1
226186.BT_1361	Q8A813
226186.BT_4403	Q89ZH4
226186.BT_4123	Q8A098
226186.BT_3992	Q8A0M9
226186.BT_3689	Q8A1H2
226186.BT_3040	Q8A3B4
226186.BT_3031	Q8A3C3
226186.BT_2404	Q8A540
226186.BT_1599	Q8A7C5
226186.BT_0603	Q8AA62
226186.BT_0360	Q8AAV4
226186.BT_2190	Q8A5P8
226186.BT_2053	Q8A633
226186.BT_4414	Q89ZG3
226186.BT_4406	Q89ZH1
226186.BT_3968	Q8A0Q3
226186.BT_3662	Q8A1J9
226186.BT_3374	Q8A2D1
226186.BT_3253	Q8A2Q2
226186.BT_2838	Q8A3W6
226186.BT_2780	Q8A424
226186.BT_1425	Q8A7U9
226186.BT_0525	Q8AAE0
226186.BT_2347	Q8A592
226186.BT_0667	Q8A9Z8
226186.BT_2297	Q8A5E2
226186.BT_4671	Q89YR0
226186.BT_4479	Q89Z98
226186.BT_3858	Q8A113
226186.BT_2341	Q8A598
226186.BT_1486	Q8A7N8
226186.BT_0756	Q8A9Q9
226186.BT_0381	Q8AAT3
226186.BT_4329	Q89ZP7
226186.BT_3251	Q8A2Q4
226186.BT_3116	Q8A339
226186.BT_1461	Q8A7R3
226186.BT_3651	Q8A1L0
226186.BT_1346	Q8A828
226186.BT_0735	Q8A9T0
226186.BT_3318	Q8A2I7
226186.BT_3139	Q8A316
226186.BT_2903	Q8A3Q1
226186.BT_0707	Q8A9V8
226186.BT_1371	Q8A803
226186.BT_0840	Q8A9H5
226186.BT_4625	Q89YV6
226186.BT_0677	Q8A9Y8
226186.BT_2616	Q8A4I3
226186.BT_1282	Q8A892
226186.BT_2575	Q8A4M4
226186.BT_1765	Q8A6W1
226186.BT_0439	Q8AAM5
226186.BT_4714	Q89YL7
226186.BT_3865	Q8A106
226186.BT_3273	Q8A2N2
226186.BT_2776	Q8A428
226186.BT_1802	Q8A6S4
226186.BT_4747	Q89YI5
226186.BT_3783	Q8A183
226186.BT_3320	Q8A2I5
226186.BT_2774	Q8A430
226186.BT_2626	Q8A4H3
226186.BT_1221	Q8A8E6
226186.BT_3985	Q8A0N6
226186.BT_4295	Q89ZT1
226186.BT_4085	Q8A0D6
226186.BT_3155	Q8A300
226186.BT_4297	Q89ZS9
226186.BT_0768	Q8A9P7
226186.BT_3286	Q8A2L9
226186.BT_3163	Q8A2Z2
226186.BT_2356	Q8A586
226186.BT_1516	Q8A7K8
226186.BT_1013	Q8A904
226186.BT_3095	Q8A360
226186.BT_0857	Q8A9F8
226186.BT_0947	Q8A970
226186.BT_2305	Q8A5D4
226186.BT_4491	Q89Z86
226186.BT_1310	Q8A864
226186.BT_0262	Q8AB49
226186.BT_0695	Q8A9X0
226186.BT_2104	Q8A5Y2
226186.BT_3990	Q8A0N1
226186.BT_3734	Q8A1D2
226186.BT_3307	Q8A2J8
226186.BT_2680	Q8A4C3
226186.BT_1941	Q8A6E3
226186.BT_0662	Q8AA03
226186.BT_2026	Q8A660
226186.BT_1094	Q8A8S3
226186.BT_2527	Q8A4S0
226186.BT_0350	Q8AAW2
226186.BT_2941	Q8A3L3
226186.BT_3624	Q8A1N5
226186.BT_3004	Q8A3F0
226186.BT_3132	Q8A323
226186.BT_1502	Q8A7M2
226186.BT_0846	Q8A9G9
226186.BT_0047	Q8ABR3
226186.BT_4676	Q89YQ5
226186.BT_1408	Q8A7W6
226186.BT_4592	Q89YY8
226186.BT_4448	Q89ZC9
226186.BT_4272	Q89ZU9
226186.BT_3896	Q8A0X5
226186.BT_3396	Q8A2A9
226186.BT_3037	Q8A3B7
226186.BT_2553	Q8A4P4
226186.BT_1583	Q8A7E1
226186.BT_1485	Q8A7N9
226186.BT_1436	Q8A7T8
226186.BT_0277	Q8AB34
226186.BT_0268	Q8AB43
226186.BT_4708	Q89YM3
226186.BT_4586	Q89YZ4
226186.BT_4435	Q89ZE2
226186.BT_4000	Q8A0M1
226186.BT_3194	Q8A2W1
226186.BT_2085	Q8A601
226186.BT_1707	Q8A718
226186.BT_1538	Q8A7I6
226186.BT_1169	Q8A8J8
226186.BT_0750	Q8A9R5
226186.BT_0341	Q8AAX1
226186.BT_4763	Q89YG9
226186.BT_4452	Q89ZC5
226186.BT_2974	Q8A3I0
226186.BT_1977	Q8A6A8
226186.BT_1933	Q8A6F1
226186.BT_1884	Q8A6J7
226186.BT_1300	Q8A874
226186.BT_1096	Q8A8S1
226186.BT_0628	Q8AA37
226186.BT_2661	Q8A4D8
226186.BT_1519	Q8A7K5
226186.BT_1263	Q8A8A4
226186.BT_0092	Q8ABL8
226186.BT_4024	Q8A0J7
226186.BT_3355	Q8A2F0
226186.BT_3260	Q8A2P5
226186.BT_2936	Q8A3L8
226186.BT_2869	Q8A3T5
226186.BT_2815	Q8A3Y9
226186.BT_2473	Q8A4X4
226186.BT_2264	Q8A5H5
226186.BT_1820	Q8A6Q6
226186.BT_0886	Q8A9C9
226186.BT_0681	Q8A9Y4
226186.BT_0100	Q8ABL0
226186.BT_1121	Q8A8P6
226186.BT_2588	Q8A4L1
226186.BT_4616	Q89YW5
226186.BT_4596	Q89YY4
226186.BT_4073	Q8A0E8
226186.BT_3964	Q8A0Q7
226186.BT_3872	Q8A0Z9
226186.BT_3853	Q8A118
226186.BT_3623	Q8A1N6
226186.BT_3599	Q8A1R0
226186.BT_3543	Q8A1W5
226186.BT_3453	Q8A253
226186.BT_3343	Q8A2G2
226186.BT_3177	Q8A2X8
226186.BT_3150	Q8A305
226186.BT_2966	Q8A3I8
226186.BT_2646	Q8A4F3
