4081.Solyc01g009590.2.1	Q43495
4081.Solyc08g007220.2.1	K4CIK9
4081.Solyc08g007480.1.1	K4CIN5
4081.Solyc08g081640.2.1	K4CPG0
4081.Solyc09g005240.1.1	K4CQ14
4081.Solyc09g091960.2.1	K4CWM2
4081.Solyc09g098320.1.1	K4CX02
4081.Solyc10g005300.2.1	K4CX63
4081.Solyc10g079520.1.1	K4D2J3
4081.Solyc10g081260.1.1	K4D313
4081.Solyc10g083660.1.1	K4D3F3
4081.Solyc11g064850.1.1	K4D998
4081.Solyc11g066290.1.1	K4D9N7
4081.Solyc11g069010.1.1	K4DA58
4081.Solyc12g057010.1.1	K4DG32
4081.Solyc12g076330.1.1	K4DGF4
4081.Solyc01g006150.2.1	K4ASI1
4081.Solyc01g006900.2.1	K4ASQ6
4081.Solyc02g011910.1.1	K4B4J0
4081.Solyc03g058520.1.1	K4BGQ4
4081.Solyc03g123680.1.1	K4BN67
4081.Solyc04g007370.2.1	K4BNP4
4081.Solyc04g054170.2.1	K4BSH4
4081.Solyc04g056550.1.1	K4BSV3
4081.Solyc05g018320.2.1	K4BZ87
4081.Solyc06g051100.1.1	K4C5Q3
4081.Solyc08g015850.1.1	K4CJB3
4081.Solyc08g021830.1.1	K4CJK3
4081.Solyc09g009120.2.1	K4CQU1
4081.Solyc10g005690.2.1	K4CXA1
4081.Solyc10g005800.2.1	K4CXB2
4081.Solyc10g005940.1.1	K4CXC6
4081.Solyc10g008210.2.1	K4CXZ8
4081.Solyc12g096310.1.1	K4DHA4
4081.Solyc12g096880.1.1	K4DHG1
4081.Solyc01g006300.2.1	Q43774
4081.Solyc09g074230.2.1	Q9LEG2
4081.Solyc01g100730.2.1	K4B1A4
4081.Solyc02g067250.1.1	K4B757
4081.Solyc03g112380.1.1	K4BK92
4081.Solyc04g014740.1.1	K4BPX7
4081.Solyc05g006660.2.1	K4BWJ2
4081.Solyc05g056310.2.1	K4C2V5
4081.Solyc06g074380.2.1	K4C9F6
4081.Solyc08g076020.2.1	K4CMW9
4081.Solyc09g065040.1.1	K4CUD1
4081.Solyc11g032050.1.1	K4D7P0
4081.Solyc11g032230.1.1	K4D7Q7
4081.Solyc12g036780.1.1	K4DED2
4081.Solyc06g059840.2.1	O03849
4081.Solyc10g083610.1.1	Q9ZSD9
4081.Solyc02g070580.1.1	H2D0D6
4081.Solyc10g086250.1.1	C7AZ68
4081.Solyc10g086260.1.1	C7AZ77
4081.Solyc09g065640.2.1	Q4F8Q5
4081.Solyc01g008780.2.1	K4AT74
4081.Solyc02g021570.1.1	K4B505
4081.Solyc03g079880.2.1	K4BHW5
4081.Solyc04g073970.2.1	K4BTT5
4081.Solyc06g061090.2.1	K4C6T9
4081.Solyc11g006900.1.1	K4D4V1
4081.Solyc00g010100.1.1	K4AQ55
4081.Solyc00g017760.1.1	K4AQF4
4081.Solyc00g044550.1.1	K4AQZ4
4081.Solyc01g020380.1.1	K4AV20
4081.Solyc01g068030.2.1	K4AX51
4081.Solyc01g098730.2.1	K4B0R0
4081.Solyc01g102800.2.1	K4B1K6
4081.Solyc02g032240.1.1	K4B5H0
4081.Solyc02g050160.1.1	K4B605
4081.Solyc02g050280.2.1	K4B616
4081.Solyc02g062040.2.1	K4B694
4081.Solyc02g068370.2.1	K4B7G9
4081.Solyc02g072360.1.1	K4B8L0
4081.Solyc02g092640.2.1	K4BD60
4081.Solyc03g019770.2.1	K4BEU9
4081.Solyc03g031630.2.1	K4BFD5
4081.Solyc03g083780.1.1	K4BIF3
4081.Solyc03g118790.1.1	K4BM28
4081.Solyc04g015850.2.1	K4BQ87
4081.Solyc04g049320.1.1	K4BRR0
4081.Solyc04g077270.2.1	K4BUG4
4081.Solyc04g079350.1.1	K4BV19
4081.Solyc04g082940.2.1	K4BW20
4081.Solyc05g006710.2.1	K4BWJ7
4081.Solyc05g009120.2.1	K4BX86
4081.Solyc05g050440.2.1	K4C176
4081.Solyc05g052690.2.1	K4C1V0
4081.Solyc07g038010.1.1	K4CDN4
4081.Solyc07g039510.2.1	K4CDS7
4081.Solyc07g043220.1.1	K4CEI2
4081.Solyc07g054700.2.1	K4CG12
4081.Solyc07g055180.2.1	K4CG57
4081.Solyc07g061790.2.1	K4CGL2
4081.Solyc08g075850.2.1	K4CMV2
4081.Solyc09g018030.2.1	K4CS70
4081.Solyc09g050030.1.1	K4CT01
4081.Solyc10g019280.1.1	K4CZ46
4081.Solyc10g047500.1.1	K4D012
4081.Solyc10g052610.1.1	K4D0W3
4081.Solyc10g054580.1.1	K4D154
4081.Solyc10g081440.1.1	K4D331
4081.Solyc11g007910.1.1	K4D552
4081.Solyc11g008630.1.1	K4D5C3
4081.Solyc11g011900.1.1	K4D5Z5
4081.Solyc11g013060.1.1	K4D6B0
4081.Solyc11g013540.1.1	K4D6F8
4081.Solyc12g021140.1.1	K4DDN3
4081.Solyc12g036790.1.1	K4DED3
4081.Solyc01g005070.2.1	K4AS74
4081.Solyc01g090420.2.1	K4AYY3
4081.Solyc01g091060.1.1	K4AZ46
4081.Solyc01g094850.1.1	K4AZM5
4081.Solyc02g010680.1.1	K4B4G6
4081.Solyc02g082440.1.1	K4BAB4
4081.Solyc03g044230.1.1	K4BG42
4081.Solyc03g059410.1.1	K4BGY8
4081.Solyc03g061550.1.1	K4BH03
4081.Solyc03g063030.2.1	K4BH51
4081.Solyc03g121760.2.1	K4BMX5
4081.Solyc03g122300.1.1	K4BN28
4081.Solyc05g016210.1.1	K4BYY5
4081.Solyc05g016380.2.1	K4BZ01
4081.Solyc10g005870.2.1	K4CXB9
4081.Solyc10g084340.1.1	K4D3M0
4081.Solyc11g005040.1.1	K4D4B7
4081.Solyc12g094740.1.1	K4DH46
4081.Solyc01g009760.2.1	K4ATH1
4081.Solyc01g012620.1.1	K4ATZ8
4081.Solyc01g014460.1.1	K4AU83
4081.Solyc01g095420.2.1	K4AZT1
4081.Solyc02g021260.1.1	K4B4X6
4081.Solyc02g021380.1.1	K4B4Y8
4081.Solyc02g030220.1.1	K4B573
4081.Solyc02g085070.1.1	K4BB21
4081.Solyc02g086180.2.1	K4BBC6
4081.Solyc02g086990.2.1	K4BBK6
4081.Solyc03g078160.2.1	K4BHP6
4081.Solyc04g071320.2.1	K4BTC4
4081.Solyc04g074130.2.1	K4BTV1
4081.Solyc05g025930.1.1	K4BZY0
4081.Solyc06g062790.2.1	K4C710
4081.Solyc06g063090.2.1	K4C740
4081.Solyc07g041960.1.1	K4CE61
4081.Solyc07g042770.1.1	K4CED7
4081.Solyc10g008770.2.1	K4CY54
4081.Solyc10g009590.2.1	K4CYD5
4081.Solyc10g011990.1.1	K4CYH6
4081.Solyc11g008110.1.1	K4D572
4081.Solyc12g009500.1.1	K4DC38
4081.Solyc01g016980.1.1	K4AUM9
4081.Solyc02g043850.1.1	K4B5X6
4081.Solyc02g044050.1.1	K4B5Z4
4081.Solyc02g089280.2.1	K4BC80
4081.Solyc02g090140.1.1	K4BCG5
4081.Solyc03g095230.2.1	K4BIU8
4081.Solyc03g095540.1.1	K4BIX8
4081.Solyc03g097000.2.1	K4BJB7
4081.Solyc03g098210.2.1	K4BJN6
4081.Solyc04g078590.2.1	K4BUU4
4081.Solyc04g079830.2.1	K4BV62
4081.Solyc04g080020.2.1	K4BV81
4081.Solyc04g080450.1.1	K4BVC4
4081.Solyc05g051370.2.1	K4C1G8
4081.Solyc06g068720.2.1	K4C846
4081.Solyc07g042960.1.1	K4CEF6
4081.Solyc07g043490.1.1	K4CEK7
4081.Solyc07g043690.1.1	K4CEM6
4081.Solyc07g045030.2.1	K4CER1
4081.Solyc07g047840.2.1	K4CEZ0
4081.Solyc08g066690.2.1	K4CLP5
4081.Solyc08g067400.1.1	K4CLW6
4081.Solyc09g018770.1.1	K4CSD9
4081.Solyc09g042340.1.1	K4CSU0
4081.Solyc09g056410.1.1	K4CTD5
4081.Solyc10g018930.1.1	K4CZ13
4081.Solyc10g038180.1.1	K4CZE1
4081.Solyc10g044860.1.1	K4CZK6
4081.Solyc10g047430.1.1	K4D005
4081.Solyc11g011040.1.1	K4D5R1
4081.Solyc11g011060.1.1	K4D5R3
4081.Solyc11g013210.1.1	K4D6C5
4081.Solyc12g009930.1.1	K4DC81
4081.Solyc12g010470.1.1	K4DCD4
4081.Solyc12g010940.1.1	K4DCI0
4081.Solyc12g013950.1.1	K4DCT0
4081.Solyc12g015820.1.1	K4DD17
4081.Solyc00g010540.1.1	K4AQ62
4081.Solyc00g012090.1.1	K4AQ85
4081.Solyc01g056790.2.1	K4AVP4
4081.Solyc01g057450.1.1	K4AVV6
4081.Solyc01g057720.1.1	K4AVY3
4081.Solyc01g065830.1.1	K4AWI6
4081.Solyc01g066060.2.1	K4AWK9
4081.Solyc02g063220.2.1	K4B6K7
4081.Solyc02g066890.1.1	K4B721
4081.Solyc02g069350.2.1	K4B7R7
4081.Solyc03g006420.2.1	K4BE65
4081.Solyc03g112600.2.1	K4BKB3
4081.Solyc03g113570.1.1	K4BKK9
4081.Solyc03g114910.2.1	K4BKZ3
4081.Solyc04g009390.1.1	K4BP95
4081.Solyc04g009540.1.1	K4BPB0
4081.Solyc04g082090.2.1	K4BVT6
4081.Solyc04g082800.2.1	K4BW07
4081.Solyc05g005660.1.1	K4BW94
4081.Solyc05g007220.2.1	K4BWP8
4081.Solyc05g007700.1.1	K4BWU5
4081.Solyc05g008200.2.1	K4BWZ4
4081.Solyc05g056050.2.1	K4C2T0
4081.Solyc06g007170.2.1	K4C3A0
4081.Solyc06g008240.2.1	K4C3K4
4081.Solyc06g074800.1.1	K4C9J6
4081.Solyc06g076020.2.1	K4C9W3
4081.Solyc08g069090.1.1	K4CMC9
4081.Solyc08g077910.2.1	K4CNF0
4081.Solyc09g065620.2.1	K4CUI8
4081.Solyc10g050870.1.1	K4D0P1
4081.Solyc10g068340.1.1	K4D1M4
4081.Solyc11g021260.1.1	K4D775
4081.Solyc11g042450.1.1	K4D817
4081.Solyc11g042690.1.1	K4D837
4081.Solyc11g043150.1.1	K4D882
4081.Solyc12g033070.1.1	K4DDX5
4081.Solyc12g036450.1.1	K4DEA2
4081.Solyc12g040300.1.1	K4DES5
4081.Solyc12g041940.1.1	K4DEY8
4081.Solyc01g086840.1.1	K4AY77
4081.Solyc01g087670.2.1	K4AYF7
4081.Solyc01g088190.1.1	K4AYK9
4081.Solyc01g090010.1.1	K4AYU2
4081.Solyc01g107210.2.1	K4B2T8
4081.Solyc01g107610.2.1	K4B2X7
4081.Solyc01g107780.2.1	K4B2Z4
4081.Solyc01g108930.2.1	K4B3A7
4081.Solyc01g109640.2.1	K4B3H7
4081.Solyc01g110350.2.1	K4B3P8
4081.Solyc01g110650.2.1	K4B3S8
4081.Solyc02g078120.1.1	K4B937
4081.Solyc02g078730.2.1	K4B997
4081.Solyc03g033990.1.1	K4BFS1
4081.Solyc03g046420.1.1	K4BGF2
4081.Solyc03g046430.1.1	K4BGF3
4081.Solyc03g119620.1.1	K4BMB1
4081.Solyc03g120300.2.1	K4BMH9
4081.Solyc03g120410.1.1	K4BMJ0
4081.Solyc03g121620.1.1	K4BMW1
4081.Solyc04g026380.2.1	K4BR78
4081.Solyc04g028580.1.1	K4BR96
4081.Solyc05g013650.2.1	K4BY86
4081.Solyc05g014790.2.1	K4BYJ7
4081.Solyc05g015280.1.1	K4BYP4
4081.Solyc06g010240.1.1	K4C450
4081.Solyc07g014590.2.1	K4CC79
4081.Solyc07g064260.2.1	K4CHA7
4081.Solyc07g064490.2.1	K4CHC9
4081.Solyc08g005140.2.1	K4CI06
4081.Solyc08g005540.1.1	K4CI45
4081.Solyc08g007130.2.1	K4CIK0
4081.Solyc08g008140.2.1	K4CIU8
4081.Solyc08g081330.2.1	K4CPD0
4081.Solyc08g082040.2.1	K4CPK0
4081.Solyc08g083020.2.1	K4CPU8
4081.Solyc09g005920.2.1	K4CQ82
4081.Solyc09g005960.2.1	K4CQ86
4081.Solyc09g082460.2.1	K4CVM3
4081.Solyc09g082620.2.1	K4CVN9
4081.Solyc09g089920.1.1	K4CW18
4081.Solyc09g090170.1.1	K4CW43
4081.Solyc10g078870.1.1	K4D2C8
4081.Solyc11g062290.1.1	K4D940
4081.Solyc11g064960.1.1	K4D9A9
4081.Solyc11g065700.1.1	K4D9I0
4081.Solyc11g067140.1.1	K4D9X1
4081.Solyc11g069450.1.1	K4DAA1
4081.Solyc12g049480.1.1	K4DFM8
4081.Solyc12g055890.1.1	K4DFS0
4081.Solyc12g056710.1.1	K4DG02
4081.Solyc12g062560.1.1	K4DG82
4081.Solyc12g062950.1.1	K4DGB7
4081.Solyc01g008140.2.1	K4AT12
4081.Solyc01g090590.2.1	K4AZ00
4081.Solyc01g110940.2.1	K4B3V7
4081.Solyc02g081320.2.1	K4BA02
4081.Solyc02g083010.1.1	K4BAG9
4081.Solyc03g059200.1.1	K4BGW7
4081.Solyc03g059230.2.1	K4BGX0
4081.Solyc03g123550.1.1	K4BN54
4081.Solyc04g054600.1.1	K4BSL0
4081.Solyc04g056310.2.1	K4BSS9
4081.Solyc04g063330.1.1	K4BT23
4081.Solyc04g064820.2.1	K4BT73
4081.Solyc05g017780.1.1	K4BZ37
4081.Solyc05g017800.1.1	K4BZ39
4081.Solyc05g021310.1.1	K4BZH4
4081.Solyc06g052090.1.1	K4C5Z5
4081.Solyc06g053360.2.1	K4C623
4081.Solyc06g060030.1.1	K4C6I5
4081.Solyc07g017390.1.1	K4CCF5
4081.Solyc08g014020.2.1	K4CJ35
4081.Solyc08g023410.1.1	K4CJQ9
4081.Solyc09g008550.2.1	K4CQP3
4081.Solyc09g010730.1.1	K4CRA0
4081.Solyc10g006520.2.1	K4CXI3
4081.Solyc10g006650.2.1	K4CXJ6
4081.Solyc10g008180.1.1	K4CXZ5
4081.Solyc10g086550.1.1	K4D486
4081.Solyc10g086580.1.1	K4D489
4081.Solyc11g005770.1.1	K4D4J0
4081.Solyc11g006060.1.1	K4D4L9
4081.Solyc11g071610.1.1	K4DAL8
4081.Solyc11g072780.1.1	K4DAY5
4081.Solyc12g096890.1.1	K4DHG2
4081.Solyc12g099160.1.1	K4DHT7
4081.Solyc12g099340.1.1	K4DHV5
4081.Solyc01g087630.1.1	K4AYF3
4081.Solyc04g047810.1.1	K4BRK9
4081.Solyc05g012700.2.1	K4BXZ2
4081.Solyc12g056230.1.1	K4DFV4
4081.Solyc12g056990.1.1	K4DG30
4081.Solyc00g019740.1.1	K4AQH0
4081.Solyc01g067850.2.1	K4AX33
4081.Solyc01g068320.1.1	K4AX78
4081.Solyc01g068440.1.1	K4AX90
4081.Solyc01g103860.2.1	K4B1W1
4081.Solyc02g069700.1.1	K4B7V2
4081.Solyc02g070710.1.1	K4B852
4081.Solyc03g115770.2.1	K4BL79
4081.Solyc03g115800.1.1	K4BL82
4081.Solyc05g009360.2.1	K4BXB0
4081.Solyc05g009470.2.1	K4BXC1
4081.Solyc06g009420.2.1	K4C3X2
4081.Solyc06g082500.2.1	K4CAA9
4081.Solyc09g074970.2.1	K4CV74
4081.Solyc10g076890.1.1	K4D231
4081.Solyc12g044210.1.1	K4DFA9
4081.Solyc04g025300.2.1	I7C7U0
4081.Solyc02g071040.2.1	C6KI35
4081.Solyc02g085170.2.1	A0A060PVS9
4081.Solyc09g005080.1.1	C4NAS7
4081.Solyc02g084230.1.1	K4BAT9
4081.Solyc02g087910.1.1	K4BBU7
4081.Solyc03g082810.1.1	K4BI57
4081.Solyc06g065860.2.1	K4C7L4
4081.Solyc07g026720.1.1	K4CDB7
4081.Solyc07g041160.2.1	K4CDZ0
4081.Solyc07g043640.2.1	K4CEM1
4081.Solyc08g065730.1.1	K4CLF2
4081.Solyc09g030380.1.1	K4CSJ5
4081.Solyc11g007450.1.1	K4D506
4081.Solyc12g009720.1.1	K4DC60
4081.Solyc12g014040.1.1	K4DCT9
4081.Solyc07g052510.2.1	Q07446
4081.Solyc09g090080.1.1	Q5MJA7
4081.Solyc01g105220.2.1	Q7XBG9
4081.Solyc01g058720.2.1	K4AW80
4081.Solyc01g066770.2.1	K4AWS8
4081.Solyc01g102550.2.1	K4B1I3
4081.Solyc01g102660.2.1	K4B1J4
4081.Solyc02g067120.2.1	K4B744
4081.Solyc02g094270.1.1	K4BDM2
4081.Solyc03g005240.1.1	K4BDU8
4081.Solyc04g011580.2.1	K4BPL1
4081.Solyc04g014980.1.1	K4BQ01
4081.Solyc05g006260.1.1	K4BWF3
4081.Solyc05g006780.2.1	K4BWK4
4081.Solyc05g007180.2.1	K4BWP4
4081.Solyc06g008110.2.1	K4C3J1
4081.Solyc06g074490.1.1	K4C9G7
4081.Solyc06g074560.1.1	K4C9H4
4081.Solyc06g074590.1.1	K4C9H7
4081.Solyc06g075250.2.1	K4C9P0
4081.Solyc06g075430.1.1	K4C9Q8
4081.Solyc07g055620.1.1	K4CG96
4081.Solyc08g075290.1.1	K4CMP6
4081.Solyc08g076760.1.1	K4CN36
4081.Solyc09g065360.2.1	K4CUG3
4081.Solyc10g050820.1.1	K4D0N6
4081.Solyc10g052420.1.1	K4D0U4
4081.Solyc10g054990.1.1	K4D192
4081.Solyc10g055390.1.1	K4D1D1
4081.Solyc10g055800.1.1	K4D1H0
4081.Solyc10g074420.1.1	K4D1N4
4081.Solyc10g074640.1.1	K4D1Q6
4081.Solyc11g021100.1.1	K4D759
4081.Solyc11g021140.1.1	K4D763
4081.Solyc11g043210.1.1	K4D888
4081.Solyc12g035820.1.1	K4DE39
4081.Solyc12g041990.1.1	K4DEZ3
4081.Solyc01g067290.2.1	K4AWX8
4081.Solyc01g104020.2.1	K4B1X7
4081.Solyc01g104670.2.1	K4B241
4081.Solyc01g105720.2.1	K4B2E2
4081.Solyc01g106610.2.1	K4B2M8
4081.Solyc01g107940.2.1	K4B310
4081.Solyc02g076900.2.1	K4B8R7
4081.Solyc02g077450.2.1	K4B8X1
4081.Solyc02g078470.2.1	K4B971
4081.Solyc02g078560.2.1	K4B980
4081.Solyc02g078890.1.1	K4B9B3
4081.Solyc03g019730.2.1	K4BEU5
4081.Solyc03g025920.2.1	K4BF65
4081.Solyc03g031890.2.1	K4BFG0
4081.Solyc03g034160.2.1	K4BFT8
4081.Solyc03g115820.2.1	K4BL84
4081.Solyc03g117120.2.1	K4BLL4
4081.Solyc04g024710.2.1	K4BQS0
4081.Solyc04g025530.2.1	K4BQZ8
4081.Solyc04g026000.1.1	K4BR42
4081.Solyc05g013150.2.1	K4BY36
4081.Solyc06g008820.2.1	K4C3R2
4081.Solyc06g008960.2.1	K4C3S6
4081.Solyc06g011450.1.1	K4C472
4081.Solyc06g017890.1.1	K4C4B7
4081.Solyc06g030610.1.1	K4C4I4
4081.Solyc06g082730.2.1	K4CAC8
4081.Solyc06g084470.2.1	K4CAV2
4081.Solyc07g005590.2.1	K4CB30
4081.Solyc07g006550.2.1	K4CBC6
4081.Solyc07g007660.1.1	K4CBN6
4081.Solyc07g065730.1.1	K4CHQ1
4081.Solyc07g066370.2.1	K4CHW2
4081.Solyc08g078940.1.1	K4CNQ3
4081.Solyc08g082300.2.1	K4CPM6
4081.Solyc08g082570.2.1	K4CPQ3
4081.Solyc08g082600.1.1	K4CPQ6
4081.Solyc09g005630.2.1	K4CQ53
4081.Solyc09g005640.2.1	K4CQ54
4081.Solyc09g090560.1.1	K4CW82
4081.Solyc09g091370.2.1	K4CWG3
4081.Solyc09g091820.2.1	K4CWK8
4081.Solyc10g079050.1.1	K4D2E6
4081.Solyc10g079110.1.1	K4D2F2
4081.Solyc11g051120.1.1	K4D8S2
4081.Solyc11g063720.1.1	K4D984
4081.Solyc12g044670.1.1	K4DFF2
4081.Solyc12g049430.1.1	K4DFM3
4081.Solyc12g056320.1.1	K4DFW3
4081.Solyc12g070150.1.1	K4DGD8
4081.Solyc01g005760.2.1	K4ASE2
4081.Solyc01g091760.2.1	K4AZB6
4081.Solyc01g094280.2.1	K4AZG9
4081.Solyc01g094290.2.1	K4AZH0
4081.Solyc01g109670.2.1	K4B3I0
4081.Solyc01g110470.2.1	K4B3R0
4081.Solyc01g112260.2.1	K4B487
4081.Solyc02g080490.2.1	K4B9S0
4081.Solyc04g007140.1.1	K4BNM1
4081.Solyc04g050590.1.1	K4BS28
4081.Solyc04g051040.1.1	K4BS66
4081.Solyc04g064630.2.1	K4BT54
4081.Solyc04g064860.1.1	K4BT77
4081.Solyc05g015940.1.1	K4BYW0
4081.Solyc05g018340.2.1	K4BZ89
4081.Solyc05g025530.1.1	K4BZU1
4081.Solyc06g050320.2.1	K4C5H7
4081.Solyc06g050410.1.1	K4C5I6
4081.Solyc06g054690.2.1	K4C6F5
4081.Solyc07g009310.2.1	K4CC50
4081.Solyc07g014740.2.1	K4CC93
4081.Solyc08g016650.1.1	K4CJI5
4081.Solyc09g005780.1.1	K4CQ68
4081.Solyc09g007560.2.1	K4CQE5
4081.Solyc09g098600.2.1	K4CX30
4081.Solyc11g069770.1.1	K4DAD3
4081.Solyc11g071320.1.1	K4DAI9
4081.Solyc11g072150.1.1	K4DAS2
4081.Solyc11g072470.1.1	K4DAV4
4081.Solyc11g073050.1.1	K4DB11
4081.Solyc12g005510.1.1	K4DB89
4081.Solyc12g077450.1.1	K4DGG7
4081.Solyc12g096270.1.1	K4DHA0
4081.Solyc03g121050.2.1	G3KGB0
4081.Solyc11g012450.1.1	Q8W545
4081.Solyc07g066210.2.1	Q9ARC9
4081.Solyc01g080010.2.1	Q8GT67
4081.Solyc01g079200.2.1	A4GVL7
4081.Solyc06g071270.2.1	Q0KIH8
4081.Solyc03g119060.2.1	Q566C4
4081.Solyc08g081690.2.1	Q9SQ61
4081.Solyc02g065550.2.1	Q3SC79
4081.Solyc07g052730.2.1	Q8H1H2
4081.Solyc06g053610.2.1	Q8H1Z3
4081.Solyc11g011340.1.1	Q9M722
4081.Solyc09g018220.1.1	Q5MLE9
4081.Solyc08g080210.2.1	Q1L5X6
4081.Solyc10g007500.2.1	Q8GUX5
4081.Solyc09g090100.2.1	O24020
4081.Solyc07g045460.2.1	I2E5L8
4081.Solyc11g005670.1.1	Q40164
4081.Solyc10g008230.1.1	C8BNP3
4081.Solyc08g063080.2.1	D5GWI6
4081.Solyc01g079530.2.1	K4AXJ8
4081.Solyc01g104940.1.1	K4B266
4081.Solyc01g105110.1.1	K4B281
4081.Solyc02g071570.2.1	K4B8D3
4081.Solyc03g019810.2.1	K4BEV3
4081.Solyc03g025340.1.1	K4BF07
4081.Solyc04g025380.1.1	K4BQY3
4081.Solyc04g025750.2.1	K4BR19
4081.Solyc06g018060.1.1	K4C4D1
4081.Solyc06g024300.1.1	K4C4F6
4081.Solyc07g005230.2.1	K4CAZ5
4081.Solyc07g065100.2.1	K4CHI9
4081.Solyc07g065310.2.1	K4CHL0
4081.Solyc08g079890.1.1	K4CNY9
4081.Solyc09g083250.2.1	K4CVV1
4081.Solyc10g076610.1.1	K4D203
4081.Solyc10g078270.1.1	K4D269
4081.Solyc10g078450.1.1	K4D287
4081.Solyc12g042440.1.1	K4DF37
4081.Solyc12g049050.1.1	K4DFI6
4081.Solyc12g049450.1.1	K4DFM5
4081.Solyc12g056080.1.1	K4DFT9
4081.Solyc00g094850.1.1	K4ARC4
4081.Solyc01g005340.2.1	K4ASA1
4081.Solyc01g080220.2.1	K4AXR6
4081.Solyc01g089930.1.1	K4AYT4
4081.Solyc01g109650.2.1	K4B3H8
4081.Solyc02g077200.2.1	K4B8U7
4081.Solyc02g079080.1.1	K4B9D2
4081.Solyc02g081850.2.1	K4BA55
4081.Solyc02g082150.1.1	K4BA85
4081.Solyc03g118060.2.1	K4BLV7
4081.Solyc03g119480.2.1	K4BM97
4081.Solyc03g119610.1.1	K4BMB0
4081.Solyc03g120920.1.1	K4BMP1
4081.Solyc03g123820.1.1	K4BN80
4081.Solyc03g124050.2.1	K4BNA3
4081.Solyc04g050030.1.1	K4BRX6
4081.Solyc05g012310.2.1	K4BXV4
4081.Solyc05g014500.1.1	K4BYG9
4081.Solyc06g035690.2.1	K4C4U1
4081.Solyc06g043030.2.1	K4C557
4081.Solyc06g050510.2.1	K4C5J5
4081.Solyc07g006530.2.1	K4CBC4
4081.Solyc07g007200.2.1	K4CBJ1
4081.Solyc07g007980.2.1	K4CBR7
4081.Solyc07g009120.1.1	K4CC31
4081.Solyc07g014750.1.1	K4CC94
4081.Solyc08g005660.1.1	K4CI57
4081.Solyc08g006660.1.1	K4CIF4
4081.Solyc08g082810.2.1	K4CPS7
4081.Solyc09g007370.2.1	K4CQC7
4081.Solyc09g007510.1.1	K4CQE0
4081.Solyc09g007730.2.1	K4CQG2
4081.Solyc10g080850.1.1	K4D2X3
4081.Solyc10g081600.1.1	K4D347
4081.Solyc11g066350.1.1	K4D9P3
4081.Solyc11g066660.1.1	K4D9S3
4081.Solyc11g067130.1.1	K4D9X0
4081.Solyc12g056680.1.1	K4DFZ9
4081.Solyc01g007100.2.1	K4ASS6
4081.Solyc01g007260.2.1	K4ASU2
4081.Solyc01g007870.2.1	K4ASY5
4081.Solyc01g094210.2.1	K4AZG2
4081.Solyc01g094990.2.1	K4AZN9
4081.Solyc02g005400.1.1	K4B4E2
4081.Solyc05g024000.1.1	K4BZN8
4081.Solyc06g053400.2.1	K4C627
4081.Solyc06g053630.2.1	K4C650
4081.Solyc08g014160.2.1	K4CJ49
4081.Solyc08g021790.1.1	K4CJJ9
4081.Solyc09g009100.2.1	K4CQT9
4081.Solyc09g011120.1.1	K4CRD8
4081.Solyc10g086670.1.1	K4D498
4081.Solyc11g005960.1.1	K4D4K9
4081.Solyc11g071360.1.1	K4DAJ3
4081.Solyc12g096460.1.1	K4DHB9
4081.Solyc12g098100.1.1	K4DHI4
4081.Solyc12g098880.1.1	K4DHR1
4081.Solyc09g010090.2.1	P93201
4081.Solyc02g062560.2.1	A7M6E7
4081.Solyc03g116200.1.1	G9M5T0
4081.Solyc09g090580.2.1	A7Y4C8
4081.Solyc01g059870.2.1	Q40125
4081.Solyc08g062190.2.1	A0A097PLA9
4081.Solyc01g097770.2.1	Q0GA16
4081.Solyc01g009170.2.1	Q7XZR7
4081.Solyc07g005030.2.1	I7CHF6
4081.Solyc01g008860.1.1	K4AT82
4081.Solyc01g010880.2.1	K4ATT1
4081.Solyc01g013770.1.1	K4AU14
4081.Solyc02g084580.1.1	K4BAX3
4081.Solyc02g094010.1.1	K4BDJ7
4081.Solyc03g005070.1.1	K4BDT1
4081.Solyc03g096980.1.1	K4BJB5
4081.Solyc03g097660.2.1	K4BJI3
4081.Solyc04g071950.1.1	K4BTI2
4081.Solyc04g078270.2.1	K4BUR4
4081.Solyc05g006760.2.1	K4BWK2
4081.Solyc05g050590.2.1	K4C191
4081.Solyc06g072690.1.1	K4C8Y9
4081.Solyc07g039200.2.1	K4CDP6
4081.Solyc07g052390.2.1	K4CFD8
4081.Solyc07g055060.2.1	K4CG46
4081.Solyc08g041920.1.1	K4CK50
4081.Solyc09g018540.1.1	K4CSB7
4081.Solyc11g007440.1.1	K4D505
4081.Solyc12g006960.1.1	K4DBN3
4081.Solyc12g016090.1.1	K4DD43
4081.Solyc00g009780.1.1	K4AQ52
4081.Solyc00g014790.2.1	K4AQB8
4081.Solyc00g112810.1.1	K4ARI0
4081.Solyc00g231780.1.1	K4ARZ8
4081.Solyc01g087350.2.1	K4AYC5
4081.Solyc01g091320.2.1	K4AZ72
4081.Solyc01g109770.2.1	K4B3J0
4081.Solyc02g069540.1.1	K4B7T6
4081.Solyc02g071880.2.1	K4B8G3
4081.Solyc02g083560.2.1	K4BAM4
4081.Solyc03g025180.2.1	K4BEZ1
4081.Solyc03g053140.1.1	K4BGL6
4081.Solyc03g117280.2.1	K4BLN0
4081.Solyc04g052900.1.1	K4BSE7
4081.Solyc05g024450.1.1	K4BZT2
