9031.ENSGALP00000006578	Q5ZLQ6
9031.ENSGALP00000039442	B8YK84
9031.ENSGALP00000012058	Q8JHV3
9031.ENSGALP00000007758	Q98944
9031.ENSGALP00000039131	C4PAA9
9031.ENSGALP00000039137	C4PAI0
9031.ENSGALP00000032296	Q6V7V7
9031.ENSGALP00000022904	U5HTE0
9031.ENSGALP00000016177	B8YJP1
9031.ENSGALP00000018626	Q5ZMM7
9031.ENSGALP00000014197	B0FMV6
9031.ENSGALP00000023555	E3SXU6
9031.ENSGALP00000024943	H6U669
9031.ENSGALP00000024943	H6U664
9031.ENSGALP00000024943	H6U668
9031.ENSGALP00000038745	Q90VV7
9031.ENSGALP00000035542	Q9I870
9031.ENSGALP00000039442	B8YK82
9031.ENSGALP00000020651	Q197W9
9031.ENSGALP00000021353	B4X9P5
9031.ENSGALP00000021315	Q90W83
9031.ENSGALP00000016852	A5HMN4
9031.ENSGALP00000021014	Q6E6M6
9031.ENSGALP00000029730	Q9YGC8
9031.ENSGALP00000000202	Q1XF99
9031.ENSGALP00000000236	D4QB13
9031.ENSGALP00000032097	O73906
9031.ENSGALP00000000327	X2FJ89
9031.ENSGALP00000000171	D4QB37
9031.ENSGALP00000037592	Q7SX70
9031.ENSGALP00000001461	Q5ZKX3
9031.ENSGALP00000015314	D0VEG7
9031.ENSGALP00000018068	Q3HWX1
9031.ENSGALP00000011833	Q5ZM59
9031.ENSGALP00000034613	E5DEE3
9031.ENSGALP00000020651	Q158V4
9031.ENSGALP00000020651	Q158Y4
9031.ENSGALP00000021506	Q2XSY2
9031.ENSGALP00000027594	Q71SY8
9031.ENSGALP00000016512	M1RMG9
9031.ENSGALP00000012417	Q8QG62
9031.ENSGALP00000036581	G4XJR2
9031.ENSGALP00000018376	Q5ZJ31
9031.ENSGALP00000000211	D4QB25
9031.ENSGALP00000006265	E1C442
9031.ENSGALP00000036384	Q3BKZ3
9031.ENSGALP00000013381	Q1G1I6
9031.ENSGALP00000001282	Q49L19
9031.ENSGALP00000027015	Q9W6Q4
9031.ENSGALP00000013275	Q5F3H9
9031.ENSGALP00000036926	Q6JLB1
9031.ENSGALP00000005544	Q75PY2
9031.ENSGALP00000021778	A1EA95
9031.ENSGALP00000020426	C1L370
9031.ENSGALP00000024794	E1C2U3
9031.ENSGALP00000016086	B5TMD4
9031.ENSGALP00000025570	D3Y1H8
9031.ENSGALP00000021446	G4XPB1
9031.ENSGALP00000002638	Q5ZJU1
9031.ENSGALP00000003690	D2XSJ5
9031.ENSGALP00000000202	Q1XFC2
9031.ENSGALP00000034623	Q6R710
9031.ENSGALP00000032296	W8PH10
9031.ENSGALP00000024791	Q5ZKJ6
9031.ENSGALP00000007492	Q5ZLY3
9031.ENSGALP00000018625	Q8UUH5
9031.ENSGALP00000026354	Q5ZHM6
9031.ENSGALP00000036145	B2WUP2
9031.ENSGALP00000021506	Q2XT17
9031.ENSGALP00000003381	Q9I862
9031.ENSGALP00000032222	X2FF12
9031.ENSGALP00000000327	X2FGN6
9031.ENSGALP00000009490	E1C0E5
9031.ENSGALP00000038717	O42391
9031.ENSGALP00000009918	Q5ZK06
9031.ENSGALP00000002936	Q5F465
9031.ENSGALP00000014627	F1NI57
9031.ENSGALP00000016189	Q5ZI36
9031.ENSGALP00000038745	Q90VU9
9031.ENSGALP00000035322	A8VMA6
9031.ENSGALP00000022934	Q7LZ70
9031.ENSGALP00000023859	Q5F3K9
9031.ENSGALP00000000217	B5BSA3
9031.ENSGALP00000034623	V9Q407
9031.ENSGALP00000034623	M1JD51
9031.ENSGALP00000021506	Q2XT00
9031.ENSGALP00000010662	M1RVE2
9031.ENSGALP00000033584	O93467
9031.ENSGALP00000014151	F1NIW6
9031.ENSGALP00000024943	H6U667
9031.ENSGALP00000019867	Q643S1
9031.ENSGALP00000011911	Q27IP4
9031.ENSGALP00000031560	Q5XLA5
9031.ENSGALP00000025566	Q5ZIK5
9031.ENSGALP00000038241	Q5ZIQ8
9031.ENSGALP00000013796	Q5ZKV5
9031.ENSGALP00000037926	Q2XP49
9031.ENSGALP00000019318	Q5ZLW7
9031.ENSGALP00000032692	Q8JH76
9031.ENSGALP00000012875	Q5ZJ62
9031.ENSGALP00000012625	A9YZQ5
9031.ENSGALP00000015438	F1NV86
9031.ENSGALP00000020787	C5J073
9031.ENSGALP00000037214	F1NCW7
9031.ENSGALP00000024761	Q5F366
9031.ENSGALP00000024082	Q5F482
9031.ENSGALP00000025176	R4GMG0
9031.ENSGALP00000020703	F1NWZ7
9031.ENSGALP00000003813	Q98SU9
9031.ENSGALP00000039043	Q2YHU4
9031.ENSGALP00000037635	Q5ZLX0
9031.ENSGALP00000023408	A9XRG9
9031.ENSGALP00000000338	Q5ZJL3
9031.ENSGALP00000031532	Q5ZMF3
9031.ENSGALP00000003937	Q90XB2
9031.ENSGALP00000026172	A7E3K8
9031.ENSGALP00000017078	F1NNJ9
9031.ENSGALP00000020333	Q5F337
9031.ENSGALP00000011699	Q90WT9
9031.ENSGALP00000027525	D2SYX9
9031.ENSGALP00000014647	E1BTY2
9031.ENSGALP00000013120	Q8UUK1
9031.ENSGALP00000012851	Q5ZM34
9031.ENSGALP00000013109	Q5ZM58
9031.ENSGALP00000009635	Q5ZIW8
9031.ENSGALP00000003601	E1C1C2
9031.ENSGALP00000022942	E1C873
9031.ENSGALP00000018902	Q6JHX4
9031.ENSGALP00000024400	Q98934
9031.ENSGALP00000036828	F2Z4K8
9031.ENSGALP00000027618	Q90ZH5
9031.ENSGALP00000019805	Q8QGF8
9031.ENSGALP00000036482	Q5ZIA3
9031.ENSGALP00000019098	Q5ZJ67
9031.ENSGALP00000012931	Q90979
9031.ENSGALP00000001979	A1DPK0
9031.ENSGALP00000032222	F1N9U3
9031.ENSGALP00000022093	F1NWT5
9031.ENSGALP00000011814	Q5F4C5
9031.ENSGALP00000009045	Q5F4B9
9031.ENSGALP00000038229	Q5ZHR4
9031.ENSGALP00000026284	Q5ZLT2
9031.ENSGALP00000011681	A5JNH0
9031.ENSGALP00000013602	Q4PLA6
9031.ENSGALP00000029730	Q2PBB8
9031.ENSGALP00000031812	Q5F474
9031.ENSGALP00000010517	Q5Y1E8
9031.ENSGALP00000037725	Q5ZMH9
9031.ENSGALP00000011441	Q5ZL56
9031.ENSGALP00000025879	Q91967
9031.ENSGALP00000016852	A3F956
9031.ENSGALP00000038127	Q5ZKJ3
9031.ENSGALP00000025157	W8VTH6
9031.ENSGALP00000017580	Q2LAI0
9031.ENSGALP00000016486	Q5ZJH1
9031.ENSGALP00000035128	H9L2H9
9031.ENSGALP00000026291	Q9DER2
9031.ENSGALP00000036155	B2ZE94
9031.ENSGALP00000035775	Q07420
9031.ENSGALP00000031597	Q64EU6
9031.ENSGALP00000003296	Q9DG07
9031.ENSGALP00000002848	Q5ZIN4
9031.ENSGALP00000017428	Q6TPK5
9031.ENSGALP00000004793	A0MAR6
9031.ENSGALP00000039948	Q5ZKS0
9031.ENSGALP00000009194	Q5ZL96
9031.ENSGALP00000033210	Q58G83
9031.ENSGALP00000017346	Q5ZJM4
9031.ENSGALP00000018122	Q5ZJV0
9031.ENSGALP00000001264	Q5ZK75
9031.ENSGALP00000024896	Q5ZI12
9031.ENSGALP00000002564	Q156C7
9031.ENSGALP00000013094	Q5ZHT8
9031.ENSGALP00000033819	Q5ZI19
9031.ENSGALP00000016631	Q6PVZ5
9031.ENSGALP00000027339	F1NXG3
9031.ENSGALP00000019837	K4MNE5
9031.ENSGALP00000024351	Q5ZMA8
9031.ENSGALP00000037356	Q5ZMK1
9031.ENSGALP00000006980	Q5ZMS7
9031.ENSGALP00000019850	A1XWZ9
9031.ENSGALP00000024446	Q5F3B5
9031.ENSGALP00000023352	Q789A6
9031.ENSGALP00000011788	Q5F394
9031.ENSGALP00000015691	Q5UKY7
9031.ENSGALP00000026856	Q5ZHZ5
9031.ENSGALP00000009273	Q5ZL03
9031.ENSGALP00000036654	Q5ZL70
9031.ENSGALP00000017293	Q5ZMK3
9031.ENSGALP00000009770	A1EA73
9031.ENSGALP00000018481	Q1KMR2
9031.ENSGALP00000031822	Q5ZJ22
9031.ENSGALP00000038702	Q58I02
9031.ENSGALP00000019095	Q5ZIC5
9031.ENSGALP00000017274	Q5F420
9031.ENSGALP00000009390	F1N989
9031.ENSGALP00000001713	Q5D212
9031.ENSGALP00000010888	Q5ZKJ2
9031.ENSGALP00000036736	Q5ZJ70
9031.ENSGALP00000023562	Q5ZKS5
9031.ENSGALP00000016852	A1EA72
9031.ENSGALP00000021479	F1NPJ3
9031.ENSGALP00000007325	Q5F3Z8
9031.ENSGALP00000026210	F1NRP9
9031.ENSGALP00000007751	Q19NX1
9031.ENSGALP00000019120	Q7SX63
9031.ENSGALP00000024705	Q03481
9031.ENSGALP00000018068	Q3HWX0
9031.ENSGALP00000026790	D3WGL6
9031.ENSGALP00000006604	Q5ZMN1
9031.ENSGALP00000005154	Q90899
9031.ENSGALP00000034892	Q5F3Z2
9031.ENSGALP00000008740	Q5F4A2
9031.ENSGALP00000008781	Q5ZMG8
9031.ENSGALP00000010782	E1C1U1
9031.ENSGALP00000026544	O93468
9031.ENSGALP00000008433	Q5ZI21
9031.ENSGALP00000003512	R4GJ73
9031.ENSGALP00000015510	Q5ZKC5
9031.ENSGALP00000021754	Q5ZM62
9031.ENSGALP00000019363	Q9DDD4
9031.ENSGALP00000007415	B9U3F2
9031.ENSGALP00000025373	Q5ZJ46
9031.ENSGALP00000019386	F1NJG4
9031.ENSGALP00000019120	A0A0A0V762
9031.ENSGALP00000023158	E5RVJ7
9031.ENSGALP00000039812	Q5ZJ82
9031.ENSGALP00000011982	P70069
9031.ENSGALP00000021476	Q90743
9031.ENSGALP00000010986	Q5W4U0
9031.ENSGALP00000021203	Q5ZI52
9031.ENSGALP00000000236	B5BSA7
9031.ENSGALP00000000876	F1NUQ3
9031.ENSGALP00000019144	Q702H5
9031.ENSGALP00000005086	F1DFK9
9031.ENSGALP00000036581	C4PBS5
9031.ENSGALP00000036581	C4PBU7
9031.ENSGALP00000010260	Q5ZI84
9031.ENSGALP00000005992	O42349
9031.ENSGALP00000017602	Q5ZMN4
9031.ENSGALP00000018029	Q5ZK23
9031.ENSGALP00000025510	F1NXT4
9031.ENSGALP00000010473	Q5ZLM5
9031.ENSGALP00000025244	Q5ZM64
9031.ENSGALP00000037017	O57392
9031.ENSGALP00000007343	Q5ZIH4
9031.ENSGALP00000018406	Q5F3I3
9031.ENSGALP00000000737	O73909
9031.ENSGALP00000022897	Q5XNV3
9031.ENSGALP00000016177	B8YJN9
9031.ENSGALP00000017123	O93345
9031.ENSGALP00000016250	B2WUP1
9031.ENSGALP00000034553	Q6JBY7
9031.ENSGALP00000040333	Q8AYN2
9031.ENSGALP00000038059	H9KVI1
9031.ENSGALP00000032763	E1BYC2
9031.ENSGALP00000039314	Q90700
9031.ENSGALP00000021506	Q2XSZ9
9031.ENSGALP00000026767	Q5F393
9031.ENSGALP00000038811	B0FYW9
9031.ENSGALP00000036433	E1BWG1
9031.ENSGALP00000020713	Q5F429
9031.ENSGALP00000033702	Q30D05
9031.ENSGALP00000015663	Q5F3Y2
9031.ENSGALP00000006756	Q5ZJN9
9031.ENSGALP00000006175	E3VW39
9031.ENSGALP00000010329	Q802E6
9031.ENSGALP00000005854	F1NPQ0
9031.ENSGALP00000027229	Q5F375
9031.ENSGALP00000000114	Q5ZIG5
9031.ENSGALP00000002501	Q5ZLE7
9031.ENSGALP00000013341	Q8JHU1
9031.ENSGALP00000008329	Q90WF6
9031.ENSGALP00000010392	Q90WI0
9031.ENSGALP00000017463	Q5ZLJ8
9031.ENSGALP00000034619	E5DF72
9031.ENSGALP00000030643	W8SJF2
9031.ENSGALP00000011404	B9W050
9031.ENSGALP00000039571	Q06BS3
9031.ENSGALP00000018309	F1P375
9031.ENSGALP00000025256	Q5ZLB9
9031.ENSGALP00000036655	Q5ZMP2
9031.ENSGALP00000003014	Q5ZJ49
9031.ENSGALP00000005702	Q90806
9031.ENSGALP00000032870	D0UYB8
9031.ENSGALP00000006287	Q5ZKA9
9031.ENSGALP00000010218	Q2PYN4
9031.ENSGALP00000001219	Q5ZHM2
9031.ENSGALP00000016708	Q5ZIE1
9031.ENSGALP00000026381	Q5ZMF9
9031.ENSGALP00000014849	D2X2H3
9031.ENSGALP00000017887	F1NP12
9031.ENSGALP00000021213	Q9PW10
9031.ENSGALP00000025076	A3RKL3
9031.ENSGALP00000000213	A5HUL6
9031.ENSGALP00000002182	Q5ZIB0
9031.ENSGALP00000009161	Q71T10
9031.ENSGALP00000002942	Q8UUX6
9031.ENSGALP00000033826	E1C8Z0
9031.ENSGALP00000025726	Q5F3P5
9031.ENSGALP00000039102	Q5F3H8
9031.ENSGALP00000012597	Q5ZI01
9031.ENSGALP00000011341	R4GKZ6
9031.ENSGALP00000005502	Q5ZKJ1
9031.ENSGALP00000006368	Q5ZME3
9031.ENSGALP00000019378	B2CL09
9031.ENSGALP00000002287	Q5ZK41
9031.ENSGALP00000000830	Q5ZK91
9031.ENSGALP00000006528	Q5ZLH3
9031.ENSGALP00000005291	Q9DF37
9031.ENSGALP00000000233	A0ZXL5
9031.ENSGALP00000005102	Q5ZHP2
9031.ENSGALP00000014434	Q5ZI98
9031.ENSGALP00000038426	Q5ZLW1
9031.ENSGALP00000038805	Q5ZMB8
9031.ENSGALP00000031824	Q6E236
9031.ENSGALP00000000874	Q6R2T1
9031.ENSGALP00000020334	Q4ZJF2
9031.ENSGALP00000015412	Q90771
9031.ENSGALP00000015254	Q5ZMK0
9031.ENSGALP00000017055	Q5F3E4
9031.ENSGALP00000030511	Q5ZKV3
9031.ENSGALP00000031881	Q38Q38
9031.ENSGALP00000003183	Q5ZIN3
9031.ENSGALP00000025422	E1C244
9031.ENSGALP00000010609	Q56IA1
9031.ENSGALP00000040416	Q66VY4
9031.ENSGALP00000014849	D3WGK9
9031.ENSGALP00000027932	Q9DDT7
9031.ENSGALP00000029711	Q5F3H4
9031.ENSGALP00000040343	Q5ZJA5
9031.ENSGALP00000015826	Q5ZJW7
9031.ENSGALP00000000742	Q67ER3
9031.ENSGALP00000026745	Q71R46
9031.ENSGALP00000023897	Q2PUH1
9031.ENSGALP00000037650	Q5ZIG8
9031.ENSGALP00000025375	Q5ZIR7
9031.ENSGALP00000014498	Q5ZK57
9031.ENSGALP00000025639	Q90WA9
9031.ENSGALP00000002649	Q5ZI70
9031.ENSGALP00000039864	Q90855
9031.ENSGALP00000028857	Q5ZJA7
9031.ENSGALP00000031916	Q5ZKC8
9031.ENSGALP00000027258	Q5ZMK2
9031.ENSGALP00000014860	A0M8U5
9031.ENSGALP00000037574	Q5ZJG5
9031.ENSGALP00000020250	Q5ZKX2
9031.ENSGALP00000040135	E1BXQ5
9031.ENSGALP00000013276	F1NCV6
9031.ENSGALP00000010561	Q4ADW2
9031.ENSGALP00000019939	Q5ZLU8
9031.ENSGALP00000023264	A9YDV3
9031.ENSGALP00000027972	F1N9X0
9031.ENSGALP00000022476	Q5ZJR6
9031.ENSGALP00000016021	Q805B1
9031.ENSGALP00000039755	R4GMC3
9031.ENSGALP00000001610	Q4U127
9031.ENSGALP00000025184	Q5ZJT7
9031.ENSGALP00000000236	A5HUM1
9031.ENSGALP00000006458	D2XUT1
9031.ENSGALP00000011511	Q5F3B0
9031.ENSGALP00000008360	Q309X7
9031.ENSGALP00000015985	Q5ZIY7
9031.ENSGALP00000000329	Q8AV16
9031.ENSGALP00000020069	F1NBM2
9031.ENSGALP00000026399	Q5ZKZ8
9031.ENSGALP00000005641	Q5ZHY3
9031.ENSGALP00000020932	Q9PTI4
9031.ENSGALP00000034966	Q5ZLP5
9031.ENSGALP00000015445	Q8QFM1
9031.ENSGALP00000029558	A3F958
9031.ENSGALP00000037217	Q5ZIH1
9031.ENSGALP00000013440	E1C261
9031.ENSGALP00000002701	Q5ZJG9
9031.ENSGALP00000000771	Q6Q2J6
9031.ENSGALP00000027177	Q8JHJ4
9031.ENSGALP00000023602	F1NBA4
9031.ENSGALP00000039414	Q5ZLK9
9031.ENSGALP00000024496	Q5ZM38
9031.ENSGALP00000020344	Q9W6E5
9031.ENSGALP00000009819	E1C281
9031.ENSGALP00000000361	Q5ZJ71
9031.ENSGALP00000033837	Q5ZK19
9031.ENSGALP00000004949	Q90W82
9031.ENSGALP00000023158	A0ZPS0
9031.ENSGALP00000026187	Q5ZIQ1
9031.ENSGALP00000022386	Q5ZMI0
9031.ENSGALP00000000138	Q95601
9031.ENSGALP00000023659	F1N9H8
9031.ENSGALP00000028532	A7VJA9
9031.ENSGALP00000000941	Q5ZLX3
9031.ENSGALP00000010112	Q6T7B9
9031.ENSGALP00000000483	C4P7J2
9031.ENSGALP00000024776	D5M8S4
9031.ENSGALP00000016934	Q5QSB1
9031.ENSGALP00000031379	Q5ZL83
9031.ENSGALP00000017954	Q5ZME1
9031.ENSGALP00000004992	Q98950
9031.ENSGALP00000000221	A5HUL8
9031.ENSGALP00000011556	R4GM94
9031.ENSGALP00000008146	B6UV99
9031.ENSGALP00000029814	Q5ZJJ7
9031.ENSGALP00000012999	Q6J211
9031.ENSGALP00000019086	F1NSD6
9031.ENSGALP00000015397	Q5F3S8
9031.ENSGALP00000001635	Q70IK3
9031.ENSGALP00000005433	Q9PWK1
9031.ENSGALP00000001812	Q9W694
9031.ENSGALP00000009076	Q9W7K9
9031.ENSGALP00000015703	Q5F3K8
9031.ENSGALP00000000148	A5HUJ9
9031.ENSGALP00000002482	F1NKY6
9031.ENSGALP00000035725	Q5F3S1
9031.ENSGALP00000010955	Q5ZLB2
9031.ENSGALP00000023303	Q5ZM27
9031.ENSGALP00000038764	Q5ZM76
9031.ENSGALP00000024343	C5HV41
9031.ENSGALP00000008143	F1NYX5
9031.ENSGALP00000000183	Q5ZJ53
9031.ENSGALP00000037396	Q5ZK96
9031.ENSGALP00000010541	Q9DDU8
9031.ENSGALP00000019141	B2BJC3
9031.ENSGALP00000032479	O73664
9031.ENSGALP00000017250	Q5ZMJ6
9031.ENSGALP00000037049	Q9PT88
9031.ENSGALP00000001779	F1P3M9
9031.ENSGALP00000019859	B2WUP0
9031.ENSGALP00000009512	Q8QGM3
9031.ENSGALP00000032758	Q90661
9031.ENSGALP00000019896	Q5ZHX2
9031.ENSGALP00000030252	Q5ZJQ4
9031.ENSGALP00000011452	Q6B842
9031.ENSGALP00000019381	F1NJG5
9031.ENSGALP00000011502	O93601
9031.ENSGALP00000003210	Q5ZMB1
9031.ENSGALP00000006787	Q9YH69
9031.ENSGALP00000010631	Q8AWB4
9031.ENSGALP00000017099	A7M6L0
9031.ENSGALP00000037022	R4GRV9
9031.ENSGALP00000009213	Q5ZME7
9031.ENSGALP00000036475	Q5ZI00
9031.ENSGALP00000018646	Q5ZL01
9031.ENSGALP00000010205	A7Z095
9031.ENSGALP00000006088	Q1KNA8
9031.ENSGALP00000037043	Q5ZMH8
9031.ENSGALP00000040567	A7UH64
9031.ENSGALP00000024343	D4P6H5
9031.ENSGALP00000024539	O57411
9031.ENSGALP00000039954	Q5F3R6
9031.ENSGALP00000021291	Q5ZKG9
9031.ENSGALP00000039348	Q9DGL8
9031.ENSGALP00000006164	F1NCC9
9031.ENSGALP00000008824	Q5ZIZ5
9031.ENSGALP00000037380	Q5ZLQ3
9031.ENSGALP00000026438	Q5ZMQ7
9031.ENSGALP00000016468	A9UGZ3
9031.ENSGALP00000036692	Q5ZIE0
9031.ENSGALP00000035904	Q5ZIW0
9031.ENSGALP00000027891	Q5ZMU2
9031.ENSGALP00000019364	Q6B7Z6
9031.ENSGALP00000000365	G8HN01
9031.ENSGALP00000005468	O57389
9031.ENSGALP00000019918	Q401B9
9031.ENSGALP00000039261	Q50L61
9031.ENSGALP00000029541	Q5F3V5
9031.ENSGALP00000014849	D3WGL0
9031.ENSGALP00000040565	A0MAR5
9031.ENSGALP00000003008	E1BVU3
9031.ENSGALP00000013610	Q5ZKG6
9031.ENSGALP00000006300	Q5ZMG7
9031.ENSGALP00000034100	Q5ZMT6
9031.ENSGALP00000011581	B6RCQ2
9031.ENSGALP00000018364	Q5F3Q1
9031.ENSGALP00000027466	Q5ZIW6
9031.ENSGALP00000038337	Q8UVF8
9031.ENSGALP00000010343	Q5F3U4
9031.ENSGALP00000021472	Q5ZLD1
9031.ENSGALP00000027717	Q5ZMQ8
9031.ENSGALP00000006422	F1NWZ4
9031.ENSGALP00000010965	Q5F4B4
9031.ENSGALP00000010509	Q9W6F2
9031.ENSGALP00000023415	Q5ZI10
9031.ENSGALP00000034604	Q5F344
9031.ENSGALP00000022592	Q5F369
9031.ENSGALP00000010748	Q5W4T7
9031.ENSGALP00000034386	Q5ZJB0
9031.ENSGALP00000004146	Q6DMS2
9031.ENSGALP00000037048	Q75XU6
9031.ENSGALP00000009678	Q5F3A7
9031.ENSGALP00000019220	Q5ZLB0
9031.ENSGALP00000007962	Q9I878
9031.ENSGALP00000005930	E1AP05
9031.ENSGALP00000019594	Q1G7H4
9031.ENSGALP00000000748	Q5ZIT0
9031.ENSGALP00000010230	O73911
9031.ENSGALP00000005154	Q90838
9031.ENSGALP00000014849	D3WGL1
9031.ENSGALP00000020762	B8XA31
9031.ENSGALP00000037037	O93481
9031.ENSGALP00000029558	A3F962
9031.ENSGALP00000036540	Q4F8N1
9031.ENSGALP00000035939	Q5ZJM2
9031.ENSGALP00000040435	Q8UWC5
9031.ENSGALP00000012782	Q3MUH5
9031.ENSGALP00000015612	Q9YI58
9031.ENSGALP00000027940	Q5F3E0
9031.ENSGALP00000033991	F1NFT8
9031.ENSGALP00000039471	Q5F487
9031.ENSGALP00000011255	E1C1A1
9031.ENSGALP00000033071	Q5ZII2
9031.ENSGALP00000023682	Q9W6U9
9031.ENSGALP00000006284	Q5F3D2
9031.ENSGALP00000014752	Q5ZK61
9031.ENSGALP00000008503	Q5ZLJ2
9031.ENSGALP00000022607	Q5ZKQ2
9031.ENSGALP00000026516	Q684L7
9031.ENSGALP00000025292	Q6B7Z7
9031.ENSGALP00000026790	D3WGL4
9031.ENSGALP00000036301	Q5F411
9031.ENSGALP00000013007	Q5ZI97
9031.ENSGALP00000009136	Q5ZJW2
9031.ENSGALP00000011795	F1NEG7
9031.ENSGALP00000010618	Q5F3Y0
9031.ENSGALP00000029571	Q9PUJ4
9031.ENSGALP00000004856	Q5ZKB4
9031.ENSGALP00000003089	Q5ZMU9
9031.ENSGALP00000034148	Q5ZJ38
9031.ENSGALP00000024077	Q8AWW1
9031.ENSGALP00000007390	F1NJH9
9031.ENSGALP00000005415	Q9IB15
9031.ENSGALP00000019528	Q7ZZZ5
9031.ENSGALP00000019812	A6H910
9031.ENSGALP00000014458	Q3HS34
9031.ENSGALP00000004956	B1NWL3
9031.ENSGALP00000038330	Q90VY6
9031.ENSGALP00000000612	Q9IAR7
9031.ENSGALP00000014242	F1NRP5
9031.ENSGALP00000006639	F1P291
9031.ENSGALP00000000509	Q5ZL80
9031.ENSGALP00000030213	Q5ZI31
9031.ENSGALP00000001597	Q766V2
9031.ENSGALP00000001174	H9KYX1
9031.ENSGALP00000020666	Q5F422
9031.ENSGALP00000012940	Q5ZLI7
9031.ENSGALP00000029249	Q5ZI93
9031.ENSGALP00000038290	A8DU71
9031.ENSGALP00000003663	F1P167
9031.ENSGALP00000022956	Q5F473
9031.ENSGALP00000032764	Q7SX83
9031.ENSGALP00000037684	Q1T766
9031.ENSGALP00000026660	F1NHR6
9031.ENSGALP00000012456	Q5ZI06
9031.ENSGALP00000002362	Q5ZJI3
9031.ENSGALP00000010021	Q5ZK07
9031.ENSGALP00000011469	Q6Q247
9031.ENSGALP00000003505	C0A1C9
9031.ENSGALP00000026451	E2RUH1
9031.ENSGALP00000003997	Q7ZZS5
9031.ENSGALP00000037229	F1NCU9
9031.ENSGALP00000012145	B6ZLK1
9031.ENSGALP00000023315	Q5ZJA1
9031.ENSGALP00000036399	I0J178
9031.ENSGALP00000006462	M9NJI3
9031.ENSGALP00000024457	Q5ZLI0
9031.ENSGALP00000006566	Q5ZMR4
9031.ENSGALP00000026067	Q98SE2
9031.ENSGALP00000024013	C0KDW3
9031.ENSGALP00000039329	O42348
9031.ENSGALP00000032941	Q5EFE0
9031.ENSGALP00000007177	Q802E4
9031.ENSGALP00000000583	Q9I882
9031.ENSGALP00000030898	B3XZF6
9031.ENSGALP00000001817	Q5F3A0
9031.ENSGALP00000040196	Q5ZKY5
9031.ENSGALP00000039921	Q90WH5
9031.ENSGALP00000000260	B9VMA9
9031.ENSGALP00000022990	Q8JIV2
9031.ENSGALP00000002761	A4UNW1
9031.ENSGALP00000003302	O93393
9031.ENSGALP00000011996	Q5ZKA1
9031.ENSGALP00000001396	Q646T7
9031.ENSGALP00000021521	Q9PU52
9031.ENSGALP00000019496	Q5ZLM4
9031.ENSGALP00000017099	D0E2W5
9031.ENSGALP00000035792	F1P4T7
9031.ENSGALP00000010462	Q8JHX2
9031.ENSGALP00000040074	E1C602
9031.ENSGALP00000002338	Q5F387
9031.ENSGALP00000021964	Q5ZIC2
9031.ENSGALP00000040120	E1C3N8
9031.ENSGALP00000025345	Q5ZHP4
9031.ENSGALP00000023264	A9YDV4
9031.ENSGALP00000008730	F1P5V6
9031.ENSGALP00000019330	Q5F4B6
9031.ENSGALP00000005775	F1NT81
9031.ENSGALP00000001685	Q5F3L5
9031.ENSGALP00000025180	Q5ZKL2
9031.ENSGALP00000003513	Q8QG58
9031.ENSGALP00000003479	Q5ZI26
9031.ENSGALP00000003921	Q2LK96
9031.ENSGALP00000015886	Q5ZMV0
9031.ENSGALP00000039131	C4PAF0
9031.ENSGALP00000003978	Q5ZI54
9031.ENSGALP00000004529	Q5ZMD5
9031.ENSGALP00000000163	Q8AV77
9031.ENSGALP00000027112	E1BT78
9031.ENSGALP00000014096	Q1XDY5
9031.ENSGALP00000035496	O57348
9031.ENSGALP00000012434	O73871
9031.ENSGALP00000019511	Q5ZLC2
9031.ENSGALP00000016244	O73739
9031.ENSGALP00000009526	Q5ZI39
9031.ENSGALP00000011167	Q5ZIY8
9031.ENSGALP00000004966	Q5ZKM6
9031.ENSGALP00000023072	Q90ZD4
9031.ENSGALP00000026648	F1NI14
9031.ENSGALP00000026689	Q45QT1
9031.ENSGALP00000039744	Q5ZHW8
9031.ENSGALP00000025629	Q5ZHZ9
9031.ENSGALP00000036005	Q5ZJU7
9031.ENSGALP00000011843	Q5ZJ21
9031.ENSGALP00000024980	Q703P0
9031.ENSGALP00000036774	Q5ZJV3
9031.ENSGALP00000016796	Q67BJ2
9031.ENSGALP00000007177	Q802E3
9031.ENSGALP00000014709	Q8UWB9
9031.ENSGALP00000031616	B0LHV3
9031.ENSGALP00000032713	Q90998
9031.ENSGALP00000027414	B2KSC0
9031.ENSGALP00000002363	E1BRT4
9031.ENSGALP00000000308	O93480
9031.ENSGALP00000026450	Q5QHR9
9031.ENSGALP00000009627	Q5ZHP9
9031.ENSGALP00000032161	F1NA42
9031.ENSGALP00000011312	Q5G8Y9
9031.ENSGALP00000003466	F1NV84
9031.ENSGALP00000011458	Q7T3L4
9031.ENSGALP00000018355	Q5F3C6
9031.ENSGALP00000038829	Q5ZMC1
9031.ENSGALP00000001483	Q5ZLA7
9031.ENSGALP00000019468	Q5ZMW1
9031.ENSGALP00000014649	E1BTY1
9031.ENSGALP00000038555	Q5ZKZ0
9031.ENSGALP00000018906	Q8JHU2
9031.ENSGALP00000003362	Q5ZIH5
9031.ENSGALP00000039829	Q7T1A0
9031.ENSGALP00000004138	C5HV42
9031.ENSGALP00000014233	Q6VN51
9031.ENSGALP00000010950	Q5ZL20
9031.ENSGALP00000034615	K9JV31
9031.ENSGALP00000018398	Q90970
9031.ENSGALP00000011607	E5DG08
