9913.ENSBTAP00000022411	P68250
9913.ENSBTAP00000028571	Q867A9
9913.ENSBTAP00000018173	P21450
9913.ENSBTAP00000006979	P28088
9913.ENSBTAP00000010324	Q3SZ25
9913.ENSBTAP00000033621	Q3MHJ7
9913.ENSBTAP00000019318	P68103
9913.ENSBTAP00000028899	Q32PH8
9913.ENSBTAP00000029304	Q5E983
9913.ENSBTAP00000019499	A5D989
9913.ENSBTAP00000015716	Q3SZV3
9913.ENSBTAP00000037316	Q1JPJ9
9913.ENSBTAP00000005581	Q3SYU2
9913.ENSBTAP00000011457	Q32L26
9913.ENSBTAP00000009115	Q2T9P0
9913.ENSBTAP00000019429	Q17QM6
9913.ENSBTAP00000042244	A5D7A0
9913.ENSBTAP00000004007	Q3ZC64
9913.ENSBTAP00000022496	P43896
9913.ENSBTAP00000025586	P49410
9913.ENSBTAP00000026111	A3KN33
9913.ENSBTAP00000013284	Q29W20
9913.ENSBTAP00000033084	Q9GL32
9913.ENSBTAP00000022792	Q32LN0
9913.ENSBTAP00000009476	Q08DE5
9913.ENSBTAP00000009560	Q0IIF2
9913.ENSBTAP00000011424	Q5E9B4
9913.ENSBTAP00000025991	Q3T058
9913.ENSBTAP00000048116	Q17QW4
9913.ENSBTAP00000026889	Q58CY2
9913.ENSBTAP00000055037	Q5E938
9913.ENSBTAP00000013769	Q58CR3
9913.ENSBTAP00000009832	A7MB16
9913.ENSBTAP00000023384	Q3SYW6
9913.ENSBTAP00000037804	Q3T122
9913.ENSBTAP00000008809	Q3T102
9913.ENSBTAP00000003545	Q3ZC12
9913.ENSBTAP00000018645	Q56JZ5
9913.ENSBTAP00000019134	Q5E966
9913.ENSBTAP00000000465	Q0VCU8
9913.ENSBTAP00000014888	Q3T0V3
9913.ENSBTAP00000014281	Q3ZCK1
9913.ENSBTAP00000007021	Q3T148
9913.ENSBTAP00000009677	A0JN51
9913.ENSBTAP00000016534	Q58DT0
9913.ENSBTAP00000022860	F1MGG3
9913.ENSBTAP00000003485	Q0IIE6
9913.ENSBTAP00000018612	Q08DZ3
9913.ENSBTAP00000032975	Q58DT5
9913.ENSBTAP00000004747	A4FUD6
9913.ENSBTAP00000001696	A6QR40
9913.ENSBTAP00000002843	Q2KII4
9913.ENSBTAP00000052837	A4IFR3
9913.ENSBTAP00000004358	Q2KJD9
9913.ENSBTAP00000010129	A0JNC4
9913.ENSBTAP00000003541	Q2KJ61
9913.ENSBTAP00000005990	Q2TBH6
9913.ENSBTAP00000017340	Q17QN6
9913.ENSBTAP00000054183	A1A4M2
9913.ENSBTAP00000013197	Q5E993
9913.ENSBTAP00000005064	Q3ZCB8
9913.ENSBTAP00000008411	Q3T0K8
9913.ENSBTAP00000035017	Q3ZCG8
9913.ENSBTAP00000009709	A5PJA8
9913.ENSBTAP00000021393	Q32KL5
9913.ENSBTAP00000009444	Q2NKU9
9913.ENSBTAP00000023976	Q58DR6
9913.ENSBTAP00000012511	Q2M2S2
9913.ENSBTAP00000003937	Q17R00
9913.ENSBTAP00000043168	A6QLQ8
9913.ENSBTAP00000011255	A2VE22
9913.ENSBTAP00000025160	Q3T078
9913.ENSBTAP00000017839	Q9XSJ4
9913.ENSBTAP00000007278	Q3ZC09
9913.ENSBTAP00000031013	Q2KIA9
9913.ENSBTAP00000019702	Q0VD27
9913.ENSBTAP00000004364	Q95M18
9913.ENSBTAP00000036974	A1A4K5
9913.ENSBTAP00000026900	P15396
9913.ENSBTAP00000004547	A2VDP5
9913.ENSBTAP00000015375	F1N5C8
9913.ENSBTAP00000009379	P68210
9913.ENSBTAP00000000788	P98072
9913.ENSBTAP00000045026	O18956
9913.ENSBTAP00000027098	E1BPW0
9913.ENSBTAP00000016080	A0JND9
9913.ENSBTAP00000009712	Q3ZBJ0
9913.ENSBTAP00000030725	A0JND3
9913.ENSBTAP00000008487	Q3T0L5
9913.ENSBTAP00000010911	Q28105
9913.ENSBTAP00000044382	A6QLI0
9913.ENSBTAP00000021559	A7Z035
9913.ENSBTAP00000004450	P48617
9913.ENSBTAP00000010310	Q17QM4
9913.ENSBTAP00000010504	P79119
9913.ENSBTAP00000020770	A5PK43
9913.ENSBTAP00000001164	A6QPT7
9913.ENSBTAP00000007362	A6QQR4
9913.ENSBTAP00000023078	Q1LZ75
9913.ENSBTAP00000002680	A6QLJ0
9913.ENSBTAP00000027687	Q1RMT1
9913.ENSBTAP00000028792	Q5BIM8
9913.ENSBTAP00000005857	P33946
9913.ENSBTAP00000012175	Q2KJ37
9913.ENSBTAP00000035133	Q0VCX5
9913.ENSBTAP00000006683	Q8WMV1
9913.ENSBTAP00000025201	P84466
9913.ENSBTAP00000023664	Q3SZC0
9913.ENSBTAP00000020671	A6QLH5
9913.ENSBTAP00000043915	A6QQ66
9913.ENSBTAP00000024611	Q08DY0
9913.ENSBTAP00000039591	Q1RMU4
9913.ENSBTAP00000017162	Q3ZBR9
9913.ENSBTAP00000020878	A5PJN2
9913.ENSBTAP00000006649	Q32L47
9913.ENSBTAP00000008754	P81623
9913.ENSBTAP00000012930	Q3T0L2
9913.ENSBTAP00000009422	P49884
9913.ENSBTAP00000005899	Q9XSB5
9913.ENSBTAP00000050404	P0C6R3
9913.ENSBTAP00000004431	Q08E20
9913.ENSBTAP00000015577	Q08DI1
9913.ENSBTAP00000019957	Q17QD8
9913.ENSBTAP00000016570	Q2KJE4
9913.ENSBTAP00000027250	Q2TBV3
9913.ENSBTAP00000022178	Q2KIG0
9913.ENSBTAP00000005747	Q3T094
9913.ENSBTAP00000012144	A1A4L6
9913.ENSBTAP00000021259	Q2KIC2
9913.ENSBTAP00000052186	Q0VC65
9913.ENSBTAP00000015965	Q0VCR8
9913.ENSBTAP00000000690	A2VDX7
9913.ENSBTAP00000011353	Q0V8C2
9913.ENSBTAP00000008028	A4IF89
9913.ENSBTAP00000053924	Q2KID0
9913.ENSBTAP00000025185	Q3T0E1
9913.ENSBTAP00000019451	Q7YRA3
9913.ENSBTAP00000015733	Q2KHU3
9913.ENSBTAP00000006502	Q3SWZ4
9913.ENSBTAP00000008154	A5D7I4
9913.ENSBTAP00000026177	O77783
9913.ENSBTAP00000017737	Q58DB6
9913.ENSBTAP00000029222	A7E2Z2
9913.ENSBTAP00000013663	P31976
9913.ENSBTAP00000013221	Q2KI00
9913.ENSBTAP00000011392	Q58DG5
9913.ENSBTAP00000017456	A6H7I7
9913.ENSBTAP00000035006	Q2T9N1
9913.ENSBTAP00000016141	Q5E977
9913.ENSBTAP00000030923	A6H7H1
9913.ENSBTAP00000005065	A6QNT4
9913.ENSBTAP00000015633	A6QLD5
9913.ENSBTAP00000055433	Q1JQ94
9913.ENSBTAP00000021638	P50448
9913.ENSBTAP00000012395	A0JNG6
9913.ENSBTAP00000021862	Q5E9K8
9913.ENSBTAP00000011436	Q2HJI3
9913.ENSBTAP00000009559	P12260
9913.ENSBTAP00000046877	A0JNF3
9913.ENSBTAP00000001416	A4IFM1
9913.ENSBTAP00000012465	A6QQ93
9913.ENSBTAP00000014796	Q2NKR7
9913.ENSBTAP00000044787	A6QPI4
9913.ENSBTAP00000043432	Q2TBR5
9913.ENSBTAP00000025383	Q0V7M8
9913.ENSBTAP00000027334	A7YY62
9913.ENSBTAP00000003978	A0JNG7
9913.ENSBTAP00000012835	Q3SZB7
9913.ENSBTAP00000026056	Q2KJJ9
9913.ENSBTAP00000031187	Q1RMK9
9913.ENSBTAP00000018700	Q5E9P1
9913.ENSBTAP00000032663	A6QLR3
9913.ENSBTAP00000012768	A6QLZ5
9913.ENSBTAP00000008954	A7MB34
9913.ENSBTAP00000033194	A8QW39
9913.ENSBTAP00000017992	A7E3C4
9913.ENSBTAP00000013714	Q0IIH8
9913.ENSBTAP00000012360	A1A4L4
9913.ENSBTAP00000049740	A7MB40
9913.ENSBTAP00000003640	Q0II70
9913.ENSBTAP00000049295	A8E4M4
9913.ENSBTAP00000031185	Q3ZBS2
9913.ENSBTAP00000006666	Q3ZCI6
9913.ENSBTAP00000036503	Q32LN6
9913.ENSBTAP00000006575	Q29S16
9913.ENSBTAP00000012046	Q05B67
9913.ENSBTAP00000030567	A6QP24
9913.ENSBTAP00000028551	Q3ZBK2
9913.ENSBTAP00000015139	Q5BIM2
9913.ENSBTAP00000029608	Q3SZW6
9913.ENSBTAP00000004673	Q17QP0
9913.ENSBTAP00000041217	Q32KQ1
9913.ENSBTAP00000041212	A6QQ68
9913.ENSBTAP00000044757	Q0D252
9913.ENSBTAP00000000198	P49872
9913.ENSBTAP00000002753	P26285
9913.ENSBTAP00000048148	Q28901
9913.ENSBTAP00000026757	Q32L49
9913.ENSBTAP00000013015	Q2KIP3
9913.ENSBTAP00000016972	Q3SZG6
9913.ENSBTAP00000021789	P00743
9913.ENSBTAP00000004648	Q5NTB3
9913.ENSBTAP00000025122	P98140
9913.ENSBTAP00000014855	Q8HYW0
9913.ENSBTAP00000056336	A6QR31
9913.ENSBTAP00000024500	Q29RH2
9913.ENSBTAP00000016983	Q17QT7
9913.ENSBTAP00000040143	Q2KJI3
9913.ENSBTAP00000013264	Q29RM2
9913.ENSBTAP00000033701	Q2KJ22
9913.ENSBTAP00000016444	Q2KI23
9913.ENSBTAP00000024178	Q3B7M3
9913.ENSBTAP00000040913	Q2YDE8
9913.ENSBTAP00000026937	A6QL50
9913.ENSBTAP00000014090	Q1JPG0
9913.ENSBTAP00000026131	Q5EA89
9913.ENSBTAP00000009746	P22457
9913.ENSBTAP00000025680	Q0II90
9913.ENSBTAP00000000862	A3KN19
9913.ENSBTAP00000006512	Q3ZCA1
9913.ENSBTAP00000031331	A6QQF7
9913.ENSBTAP00000027768	Q1RMK1
9913.ENSBTAP00000002607	Q3T0U7
9913.ENSBTAP00000005227	P00741
9913.ENSBTAP00000016368	A5PKH3
9913.ENSBTAP00000000079	P48035
9913.ENSBTAP00000014054	Q3T0Z2
9913.ENSBTAP00000017593	Q09139
9913.ENSBTAP00000022375	P10790
9913.ENSBTAP00000054269	P80425
9913.ENSBTAP00000042314	A6H7A0
9913.ENSBTAP00000013313	Q32KZ5
9913.ENSBTAP00000014725	Q0P5J1
9913.ENSBTAP00000024322	Q645M6
9913.ENSBTAP00000020610	A4FV48
9913.ENSBTAP00000020612	A4IFP3
9913.ENSBTAP00000022906	A2VE15
9913.ENSBTAP00000052507	Q2HJD0
9913.ENSBTAP00000044120	Q2HJ98
9913.ENSBTAP00000015354	Q2KIB0
9913.ENSBTAP00000031873	Q0IIF6
9913.ENSBTAP00000043394	Q58CX2
9913.ENSBTAP00000030039	A5PKI3
9913.ENSBTAP00000022853	O19104
9913.ENSBTAP00000031105	Q6B858
9913.ENSBTAP00000018787	A5PKK9
9913.ENSBTAP00000055729	Q2KHY5
9913.ENSBTAP00000021260	Q71SP7
9913.ENSBTAP00000008963	Q95LA0
9913.ENSBTAP00000024926	Q1JQB5
9913.ENSBTAP00000024122	Q5EA62
9913.ENSBTAP00000002944	P98133
9913.ENSBTAP00000012776	Q3SYW0
9913.ENSBTAP00000009259	Q1RMS8
9913.ENSBTAP00000026033	Q2NL16
9913.ENSBTAP00000048374	Q17QK6
9913.ENSBTAP00000021554	Q2KHT6
9913.ENSBTAP00000024410	Q32LM4
9913.ENSBTAP00000013287	A6H7H7
9913.ENSBTAP00000022583	Q3T0J1
9913.ENSBTAP00000034071	Q3SX24
9913.ENSBTAP00000027498	Q2T9S7
9913.ENSBTAP00000008831	Q5E9G6
9913.ENSBTAP00000020074	Q3ZBT2
9913.ENSBTAP00000005160	A6H779
9913.ENSBTAP00000028266	A2VE78
9913.ENSBTAP00000032274	Q08DG4
9913.ENSBTAP00000000956	Q58D00
9913.ENSBTAP00000010457	F1MNN4
9913.ENSBTAP00000027872	Q2T9T9
9913.ENSBTAP00000033956	Q9BDR7
9913.ENSBTAP00000027167	Q32PD0
9913.ENSBTAP00000033639	P79107
9913.ENSBTAP00000016504	Q32KR6
9913.ENSBTAP00000004519	Q29RM5
9913.ENSBTAP00000011464	A7MB89
9913.ENSBTAP00000000071	Q58DH8
9913.ENSBTAP00000022772	Q3SZ57
9913.ENSBTAP00000000673	P12763
9913.ENSBTAP00000023309	Q58D62
9913.ENSBTAP00000027056	Q2VWH6
9913.ENSBTAP00000000139	Q0VCA0
9913.ENSBTAP00000040651	P03968
9913.ENSBTAP00000007477	P03969
9913.ENSBTAP00000029936	P48803
9913.ENSBTAP00000023064	A0MTF4
9913.ENSBTAP00000042121	Q9MZ06
9913.ENSBTAP00000021534	Q3SZZ7
9913.ENSBTAP00000012815	Q29RY7
9913.ENSBTAP00000019177	Q1KZG4
9913.ENSBTAP00000001440	Q2KI95
9913.ENSBTAP00000009604	Q3ZBI6
9913.ENSBTAP00000002359	Q2YDK0
9913.ENSBTAP00000002145	P02672
9913.ENSBTAP00000029826	P02676
9913.ENSBTAP00000008877	P12799
9913.ENSBTAP00000008771	Q5E9H1
9913.ENSBTAP00000010925	P07589
9913.ENSBTAP00000010389	Q3T0I5
9913.ENSBTAP00000028518	A7YWN2
9913.ENSBTAP00000026679	A4IFN5
9913.ENSBTAP00000015220	Q2HJ89
9913.ENSBTAP00000021025	Q2YDL5
9913.ENSBTAP00000010928	P18203
9913.ENSBTAP00000004419	P68107
9913.ENSBTAP00000018091	Q32PA9
9913.ENSBTAP00000003377	P26884
9913.ENSBTAP00000009998	Q9TRY0
9913.ENSBTAP00000002909	A6QQ71
9913.ENSBTAP00000033613	Q2KJC8
9913.ENSBTAP00000010532	Q3B7L5
9913.ENSBTAP00000010899	Q29RS8
9913.ENSBTAP00000013135	Q08DN8
9913.ENSBTAP00000013288	A6QLR4
9913.ENSBTAP00000030094	Q3SZT6
9913.ENSBTAP00000027444	Q8HYJ9
9913.ENSBTAP00000019854	P13605
9913.ENSBTAP00000028820	O77480
9913.ENSBTAP00000041854	A6QPL2
9913.ENSBTAP00000025417	Q2YDH8
9913.ENSBTAP00000004159	P29702
9913.ENSBTAP00000007751	P49355
9913.ENSBTAP00000032691	A6H751
9913.ENSBTAP00000027602	P02702
9913.ENSBTAP00000005660	O77628
9913.ENSBTAP00000016056	Q3Y598
9913.ENSBTAP00000041814	Q6VFT7
9913.ENSBTAP00000053389	E1BPQ1
9913.ENSBTAP00000021993	A4IFD2
9913.ENSBTAP00000019271	Q2YDD1
9913.ENSBTAP00000001725	Q05B87
9913.ENSBTAP00000014853	O46414
9913.ENSBTAP00000009965	O46415
9913.ENSBTAP00000004475	A2VE04
9913.ENSBTAP00000050184	Q2T9N0
9913.ENSBTAP00000034620	O18728
9913.ENSBTAP00000007877	Q05B84
9913.ENSBTAP00000014462	P04837
9913.ENSBTAP00000048971	P35376
9913.ENSBTAP00000029886	Q58D84
9913.ENSBTAP00000028801	Q1LZB9
9913.ENSBTAP00000004318	P50291
9913.ENSBTAP00000041498	Q2YDI9
9913.ENSBTAP00000007505	Q0P563
9913.ENSBTAP00000040572	Q2KIM0
9913.ENSBTAP00000041834	A6QM03
9913.ENSBTAP00000002144	F1N5S9
9913.ENSBTAP00000022579	Q8MJN0
9913.ENSBTAP00000003826	Q28193
9913.ENSBTAP00000007571	Q28009
9913.ENSBTAP00000007176	Q6A198
9913.ENSBTAP00000028720	Q28113
9913.ENSBTAP00000000529	Q11126
9913.ENSBTAP00000048467	Q8HZR3
9913.ENSBTAP00000026406	Q9N0W2
9913.ENSBTAP00000010501	Q8HZR2
9913.ENSBTAP00000035085	Q32PG9
9913.ENSBTAP00000010237	Q17R01
9913.ENSBTAP00000003249	E1BNS0
9913.ENSBTAP00000011020	Q58DG6
9913.ENSBTAP00000003178	Q3ZBA7
9913.ENSBTAP00000011600	Q2HJF2
9913.ENSBTAP00000021880	Q2TBT7
9913.ENSBTAP00000030261	Q5EA45
9913.ENSBTAP00000039832	Q3MHZ5
9913.ENSBTAP00000024386	Q3ZBJ3
9913.ENSBTAP00000015730	A0JNB0
9913.ENSBTAP00000030100	Q17QQ5
9913.ENSBTAP00000027067	Q32LC7
9913.ENSBTAP00000021166	Q2KJE5
9913.ENSBTAP00000037577	P10096
9913.ENSBTAP00000048547	A6QNK1
9913.ENSBTAP00000003590	Q0VCH4
9913.ENSBTAP00000019991	Q5E9W5
9913.ENSBTAP00000020114	A1A4P4
9913.ENSBTAP00000021621	Q148G2
9913.ENSBTAP00000013436	Q29RU6
9913.ENSBTAP00000008386	Q3ZBD7
9913.ENSBTAP00000033363	Q3ZBN6
9913.ENSBTAP00000035670	Q5E9A5
9913.ENSBTAP00000003943	Q2KIX1
9913.ENSBTAP00000029800	A6QLU3
9913.ENSBTAP00000030917	Q1RMI3
9913.ENSBTAP00000020429	Q0V8G2
9913.ENSBTAP00000009385	A6QM00
9913.ENSBTAP00000012362	P11242
9913.ENSBTAP00000006586	Q3T105
9913.ENSBTAP00000019921	A6H768
9913.ENSBTAP00000028111	Q5EA79
9913.ENSBTAP00000014882	Q07537
9913.ENSBTAP00000023861	Q5EA41
9913.ENSBTAP00000005375	Q2TBQ3
9913.ENSBTAP00000015341	A5D794
9913.ENSBTAP00000009333	A5D7M3
9913.ENSBTAP00000006892	P79266
9913.ENSBTAP00000023489	P01352
9913.ENSBTAP00000029332	A2VDY6
9913.ENSBTAP00000022908	Q08DV0
9913.ENSBTAP00000027184	Q3SZJ5
9913.ENSBTAP00000023342	Q29RP9
9913.ENSBTAP00000016996	Q2KIF1
9913.ENSBTAP00000024074	Q0V8A3
9913.ENSBTAP00000007338	Q2HJ74
9913.ENSBTAP00000042481	P62871
9913.ENSBTAP00000008508	P11017
9913.ENSBTAP00000050367	Q5E9F0
9913.ENSBTAP00000009857	Q28024
9913.ENSBTAP00000003465	P02698
9913.ENSBTAP00000003959	P63212
9913.ENSBTAP00000003257	P63214
9913.ENSBTAP00000010682	P63217
9913.ENSBTAP00000010058	P30671
9913.ENSBTAP00000054464	P50154
9913.ENSBTAP00000026183	P63243
9913.ENSBTAP00000009483	P08219
9913.ENSBTAP00000008798	P10064
9913.ENSBTAP00000022141	P20237
9913.ENSBTAP00000004397	Q08E50
9913.ENSBTAP00000019814	Q9GJW7
9913.ENSBTAP00000023711	P08220
9913.ENSBTAP00000013543	P22300
9913.ENSBTAP00000047993	Q8HYB6
9913.ENSBTAP00000008607	P60519
9913.ENSBTAP00000003604	Q5EA06
9913.ENSBTAP00000047201	Q0II76
9913.ENSBTAP00000043333	Q2KHZ9
9913.ENSBTAP00000044098	Q92180
9913.ENSBTAP00000012427	Q7YQE1
9913.ENSBTAP00000008936	P20821
9913.ENSBTAP00000002992	P25285
9913.ENSBTAP00000019398	P19687
9913.ENSBTAP00000055570	P16068
9913.ENSBTAP00000016739	A6QQZ0
9913.ENSBTAP00000021791	Q2KIX2
9913.ENSBTAP00000031299	Q01888
9913.ENSBTAP00000002710	Q3T0T0
9913.ENSBTAP00000043329	P55106
9913.ENSBTAP00000015674	O18836
9913.ENSBTAP00000012476	Q9GK68
9913.ENSBTAP00000016093	P21856
9913.ENSBTAP00000006992	P50397
9913.ENSBTAP00000040280	P19803
9913.ENSBTAP00000007933	Q9TU03
9913.ENSBTAP00000039941	Q0II80
9913.ENSBTAP00000006812	Q5E9T1
9913.ENSBTAP00000009904	Q04173
9913.ENSBTAP00000026534	Q3SX14
9913.ENSBTAP00000020624	Q2KHW8
9913.ENSBTAP00000014112	Q17QA0
9913.ENSBTAP00000013582	Q1LZ79
9913.ENSBTAP00000036940	Q0P5I8
9913.ENSBTAP00000017997	Q28115
9913.ENSBTAP00000025164	Q5BIP5
9913.ENSBTAP00000002867	Q08DQ2
9913.ENSBTAP00000027545	Q5E9X0
9913.ENSBTAP00000017922	Q32L41
9913.ENSBTAP00000055673	Q0VFX9
9913.ENSBTAP00000014010	Q32LE4
9913.ENSBTAP00000009917	A7YWG4
9913.ENSBTAP00000037993	Q3ZC33
9913.ENSBTAP00000017376	P56966
9913.ENSBTAP00000034988	A7YWM1
9913.ENSBTAP00000017688	Q0V8L2
9913.ENSBTAP00000016033	P14769
9913.ENSBTAP00000001624	Q08DK4
9913.ENSBTAP00000041811	Q9BDJ6
9913.ENSBTAP00000001758	O46600
9913.ENSBTAP00000002387	Q32L52
9913.ENSBTAP00000045061	A6QPN6
9913.ENSBTAP00000055059	G3MZQ6
9913.ENSBTAP00000050552	A4FUB7
9913.ENSBTAP00000015583	Q1JQD4
9913.ENSBTAP00000006656	P09680
9913.ENSBTAP00000012912	Q32LE2
9913.ENSBTAP00000040449	Q2YDM8
9913.ENSBTAP00000019340	Q5E9E7
9913.ENSBTAP00000001224	Q2HJ96
9913.ENSBTAP00000001844	O18756
9913.ENSBTAP00000017854	P80195
9913.ENSBTAP00000019765	Q2KHZ8
9913.ENSBTAP00000028914	Q2KJF7
9913.ENSBTAP00000008885	Q2HJ44
9913.ENSBTAP00000020333	Q3ZBK7
9913.ENSBTAP00000021481	P01217
9913.ENSBTAP00000008351	Q0P5L7
9913.ENSBTAP00000038301	P15103
9913.ENSBTAP00000026635	Q3B7M2
9913.ENSBTAP00000027131	A6H7F6
9913.ENSBTAP00000030898	Q0IID9
9913.ENSBTAP00000019143	P57695
9913.ENSBTAP00000029010	Q9GJS9
9913.ENSBTAP00000051774	P10575
9913.ENSBTAP00000021249	Q32L67
9913.ENSBTAP00000006613	Q58DA7
9913.ENSBTAP00000003355	P68265
9913.ENSBTAP00000010787	Q28034
9913.ENSBTAP00000054709	P01272
9913.ENSBTAP00000038681	O77512
9913.ENSBTAP00000006079	Q2KIR7
9913.ENSBTAP00000022732	Q5E9P9
9913.ENSBTAP00000038059	Q3SZ20
9913.ENSBTAP00000002268	A4FUF0
9913.ENSBTAP00000001544	Q2HJ87
9913.ENSBTAP00000041259	P60984
9913.ENSBTAP00000007090	Q56JZ9
9913.ENSBTAP00000015403	Q2YDJ9
9913.ENSBTAP00000003519	Q32L93
9913.ENSBTAP00000050620	P38409
9913.ENSBTAP00000028151	P38408
9913.ENSBTAP00000003515	P63097
9913.ENSBTAP00000033570	P08239
9913.ENSBTAP00000023246	P04896
9913.ENSBTAP00000055023	O18979
9913.ENSBTAP00000023990	P04695
9913.ENSBTAP00000017305	P04696
9913.ENSBTAP00000004772	Q3T0J9
9913.ENSBTAP00000010347	A4FV08
9913.ENSBTAP00000000357	Q17QL1
9913.ENSBTAP00000018766	Q58CS8
9913.ENSBTAP00000000559	P32236
9913.ENSBTAP00000023218	Q1LZH9
9913.ENSBTAP00000039576	Q5EA55
9913.ENSBTAP00000050555	A5PKK7
9913.ENSBTAP00000006525	Q2TBU3
9913.ENSBTAP00000013429	Q2NKV8
9913.ENSBTAP00000000490	Q2YDE3
9913.ENSBTAP00000022987	Q148L1
9913.ENSBTAP00000027783	A6QLU6
9913.ENSBTAP00000032818	E1BBQ2
9913.ENSBTAP00000000809	Q2YDN1
9913.ENSBTAP00000012983	Q3ZBK9
9913.ENSBTAP00000023635	Q5E9H8
9913.ENSBTAP00000007471	Q1RMI1
9913.ENSBTAP00000046105	Q3ZBM6
9913.ENSBTAP00000015811	Q5GJ77
9913.ENSBTAP00000007532	A3FPG8
9913.ENSBTAP00000005120	Q862A9
9913.ENSBTAP00000016085	Q0P5K1
9913.ENSBTAP00000018329	G3X745
9913.ENSBTAP00000024834	Q2YDG0
9913.ENSBTAP00000021683	Q5EA88
9913.ENSBTAP00000012886	A6QLU1
9913.ENSBTAP00000043069	Q5BIM9
9913.ENSBTAP00000041428	Q3MHZ7
9913.ENSBTAP00000005098	A4FUD1
9913.ENSBTAP00000019774	A6H7F2
9913.ENSBTAP00000007032	Q0P5E2
9913.ENSBTAP00000007469	Q3T0E9
9913.ENSBTAP00000053900	B4XF06
9913.ENSBTAP00000024480	Q1JQB3
9913.ENSBTAP00000052985	A6QLE7
9913.ENSBTAP00000020710	Q2KI97
9913.ENSBTAP00000006002	Q32LB5
9913.ENSBTAP00000005037	Q2KI19
9913.ENSBTAP00000000963	Q24K12
9913.ENSBTAP00000033817	Q2KJE1
9913.ENSBTAP00000007065	Q5EA65
9913.ENSBTAP00000053146	P37141
9913.ENSBTAP00000024329	A6QLY2
9913.ENSBTAP00000029279	Q2NL01
9913.ENSBTAP00000039959	Q7YRZ7
9913.ENSBTAP00000041340	A6QLK6
9913.ENSBTAP00000025686	Q5ICW4
9913.ENSBTAP00000023091	Q1RMW5
9913.ENSBTAP00000010492	P43249
9913.ENSBTAP00000029175	Q8WMV0
9913.ENSBTAP00000056555	Q17QE3
9913.ENSBTAP00000055252	O46676
9913.ENSBTAP00000055252	O46677
9913.ENSBTAP00000039327	O46675
9913.ENSBTAP00000001368	A6N9I4
9913.ENSBTAP00000042303	Q1LZ97
9913.ENSBTAP00000015172	Q3ZCH0
9913.ENSBTAP00000013431	Q3SZC1
9913.ENSBTAP00000026575	Q0P5N5
9913.ENSBTAP00000006297	Q863C3
9913.ENSBTAP00000000088	Q1JQD2
9913.ENSBTAP00000026855	Q2T9Y6
9913.ENSBTAP00000004559	Q5EAC2
9913.ENSBTAP00000026427	Q0P5A3
9913.ENSBTAP00000005618	Q28035
9913.ENSBTAP00000043661	O18879
9913.ENSBTAP00000028640	Q5E9G0
9913.ENSBTAP00000018510	A5PKL6
9913.ENSBTAP00000023627	Q9N0V4
9913.ENSBTAP00000004615	P28801
9913.ENSBTAP00000007403	Q2NL00
9913.ENSBTAP00000016841	A5PK45
9913.ENSBTAP00000004595	A7MB73
9913.ENSBTAP00000012908	A4IFA3
9913.ENSBTAP00000001505	Q08DA7
9913.ENSBTAP00000012904	A7MB80
9913.ENSBTAP00000013635	Q58DC5
9913.ENSBTAP00000032259	Q0P5E7
9913.ENSBTAP00000043009	Q3MHG6
9913.ENSBTAP00000024331	Q05B89
9913.ENSBTAP00000025291	Q5J316
9913.ENSBTAP00000040563	P27674
9913.ENSBTAP00000050612	P58351
9913.ENSBTAP00000040493	P58352
9913.ENSBTAP00000012109	Q27994
9913.ENSBTAP00000045621	P58353
9913.ENSBTAP00000009144	P58354
9913.ENSBTAP00000044649	Q3SZU0
9913.ENSBTAP00000014919	Q3T026
9913.ENSBTAP00000017036	P46065
9913.ENSBTAP00000035936	P51177
9913.ENSBTAP00000011564	P55203
9913.ENSBTAP00000036727	O02740
9913.ENSBTAP00000000356	A6QLJ3
9913.ENSBTAP00000022950	E1BFR5
9913.ENSBTAP00000007423	A7MB78
9913.ENSBTAP00000049194	Q0IIJ2
9913.ENSBTAP00000055553	G3N131
9913.ENSBTAP00000015499	P02253
9913.ENSBTAP00000051256	A7MAZ5
9913.ENSBTAP00000015564	Q3T001
9913.ENSBTAP00000002369	Q3HNG7
9913.ENSBTAP00000052261	P0C0S9
9913.ENSBTAP00000048654	A1A4R1
9913.ENSBTAP00000040641	Q3ZBX9
9913.ENSBTAP00000022576	Q32LA7
9913.ENSBTAP00000022576	P0C0S4
9913.ENSBTAP00000052749	Q2M2T1
9913.ENSBTAP00000042634	Q32L48
9913.ENSBTAP00000055514	P62808
9913.ENSBTAP00000016978	Q8WNR4
9913.ENSBTAP00000053020	P68432
9913.ENSBTAP00000053067	P84227
9913.ENSBTAP00000034581	Q5E9F8
9913.ENSBTAP00000044384	Q3SZB8
9913.ENSBTAP00000048062	A5PK61
9913.ENSBTAP00000054635	P62803
9913.ENSBTAP00000025732	Q5E9Z2
9913.ENSBTAP00000032212	Q2KIP8
9913.ENSBTAP00000036401	A7YY55
9913.ENSBTAP00000023587	Q0P5C7
9913.ENSBTAP00000002010	F1N6G5
9913.ENSBTAP00000003220	Q0VBY3
9913.ENSBTAP00000003015	Q0VCE2
9913.ENSBTAP00000000134	Q3ZBW2
9913.ENSBTAP00000006085	Q17QR8
9913.ENSBTAP00000043277	Q2KIP2
9913.ENSBTAP00000003262	Q2TBK4
9913.ENSBTAP00000017314	Q2KIE2
9913.ENSBTAP00000006679	Q58CU3
