511145.b3549	P05100
511145.b4412	P0ACG4
511145.b1562	P0ACG6
511145.b4415	P77091
511145.b0640	P28630
511145.b1099	P28631
511145.b4259	P28905
511145.b4372	P28632
511145.b1842	P0ABS8
511145.b3203	P0AFX0
511145.b0142	P26281
511145.b0125	P0A9M2
511145.b1413	P43329
511145.b0148	P37024
511145.b0731	P54745
511145.b2526	P0A6Z1
511145.b2527	P0A6L9
511145.b0650	P77319
511145.b1379	P52644
511145.b3401	P0A6Y5
511145.b3400	P0ACG8
511145.b3931	P0A6H5
511145.b3932	P0A7B8
511145.b0966	P0AB20
511145.b3754	P31474
511145.b0473	P0A6Z3
511145.b1829	P23894
511145.b3989	P27375
511145.b0139	P33129
511145.b3618	P25666
511145.b0975	P19930
511145.b0976	P19931
511145.b0977	P19932
511145.b2996	P0AAJ8
511145.b2995	P37180
511145.b2993	P37182
511145.b2992	P0AAN1
511145.b2991	P0A703
511145.b2990	P0AAM7
511145.b2725	P0AEV4
511145.b2724	P0AAK1
511145.b2723	P16429
511145.b2722	P16430
511145.b2721	P16431
511145.b2720	P16432
511145.b2719	P16433
511145.b2718	P0AEV7
511145.b2717	P0AEV9
511145.b2713	P0AAK4
511145.b2481	P23481
511145.b2482	P23482
511145.b2483	P77858
511145.b2484	P77416
511145.b2485	P0AEW1
511145.b2486	P77437
511145.b2487	P77329
511145.b2488	P77423
511145.b2489	P77668
511145.b2490	P77453
511145.b2491	P71229
511145.b0508	P30147
511145.b2726	P0A700
511145.b2727	P0AAN3
511145.b2728	P0AAM3
511145.b2729	P24192
511145.b2730	P24193
511145.b2712	P30131
511145.b0828	P37595
511145.b4328	P39377
511145.b2753	P10423
511145.b3190	P0A9W6
511145.b3687	P0C054
511145.b3686	P0C058
511145.b4667	C1P607
511145.b4666	C1P617
511145.b4018	P16528
511145.b1136	P08200
511145.b2889	Q46822
511145.b4267	P39346
511145.b4268	P39208
511145.b4266	P0A9P9
511145.b4264	P39343
511145.b4265	P39344
511145.b0884	P69222
511145.b3168	P0A705
511145.b1718	P0A707
511145.b3398	P45800
511145.b1712	P0A6X7
511145.b0912	P0A6Y1
511145.b3772	P04968
511145.b3671	P08142
511145.b3774	P05793
511145.b3771	P05791
511145.b3770	P0AB80
511145.b0078	P00894
511145.b0077	P00893
511145.b3769	P0ADG1
511145.b3670	P0ADF8
511145.b4669	C1P619
511145.b3773	P05827
511145.b2508	P0ADG7
511145.b2237	P27294
511145.b4272	P0CF49
511145.b4272	P0CF50
511145.b4273	P0CF62
511145.b4273	P0CF63
511145.b4273	P0CF64
511145.b0477	P0AEW6
511145.b3505	P0CE57
511145.b3505	P0CE58
511145.b3505	P0CE59
511145.b3505	P0CE60
511145.b3505	P0CE61
511145.b3505	P0CE62
511145.b3505	P0CE63
511145.b3505	P0CE64
511145.b3505	P0CE65
511145.b3444	P0CF07
511145.b4516	P0CF08
511145.b4516	P0CF09
511145.b4516	P0CF10
511145.b3444	P0CF11
511145.b3444	P0CF12
511145.b4294	P19767
511145.b3444	P0CF13
511145.b3445	P0CF25
511145.b0274	P0CF26
511145.b0274	P0CF27
511145.b0988	P57998
511145.b3445	P0CF28
511145.b3445	P0CF29
511145.b3445	P0CF30
511145.b4272	P0CF40
511145.b4272	P0CF41
511145.b4272	P0CF42
511145.b4272	P0CF43
511145.b4272	P0CF44
511145.b4272	P0CF45
511145.b4272	P0CF46
511145.b4272	P0CF47
511145.b4272	P0CF48
511145.b4273	P0CF53
511145.b4273	P0CF54
511145.b4273	P0CF55
511145.b4273	P0CF56
511145.b4273	P0CF57
511145.b4273	P0CF58
511145.b4273	P0CF59
511145.b4273	P0CF60
511145.b4273	P0CF61
511145.b2088	P0CF66
511145.b2088	P0CF67
511145.b2088	P0CF68
511145.b2088	P0CF69
511145.b2088	P0CF70
511145.b2088	P0CF71
511145.b2088	P0CF72
511145.b2089	P0CF79
511145.b2089	P0CF80
511145.b2089	P0CF81
511145.b2089	P0CF82
511145.b2089	P0CF83
511145.b2089	P0CF84
511145.b2089	Q9JMT3
511145.b4278	P03835
511145.b3505	P0CE49
511145.b3505	P0CE50
511145.b3505	P0CE51
511145.b3505	P0CE52
511145.b1370	P76071
511145.b1994	P0CE53
511145.b3505	P0CE54
511145.b3505	P0CE55
511145.b3505	P0CE56
511145.b0256	P0CF88
511145.b4284	P0CF89
511145.b4284	P0CF90
511145.b3557	P19768
511145.b3558	P19769
511145.b2394	P0CF91
511145.b2394	P0CF92
511145.b2394	P0CF93
511145.b1432	P76102
511145.b2622	P32053
511145.b0537	P24218
511145.b1140	P75969
511145.b0281	P71298
511145.b1345	P76056
511145.b2349	P37326
511145.b2442	P76542
511145.b0637	P0AAT6
511145.b4226	P0A7A9
511145.b4326	P39375
511145.b1160	P75987
511145.b0382	P0AAN9
511145.b2537	U3PVA8
511145.b2528	P0AAC8
511145.b2531	P0AGK8
511145.b2530	P0A6B7
511145.b2529	P0ACD4
511145.b2524	P0C0L9
511145.b0421	P22939
511145.b3187	P0AD57
511145.b2747	Q46893
511145.b1208	P62615
511145.b2746	P62617
511145.b2515	P62620
511145.b0029	P62623
511145.b0220	P0AD59
511145.b2168	P0AEW9
511145.b0474	P69441
511145.b3942	P13029
511145.b3137	P0AB74
511145.b3132	P0C8K0
511145.b3617	P0AB77
511145.b1250	P31069
511145.b0910	P0A6I0
511145.b3526	P37647
511145.b4042	P0ABN1
511145.b1827	P76268
511145.b3909	P0A712
511145.b0695	P21865
511145.b0694	P21866
511145.b4513	P36937
511145.b1215	P0A715
511145.b0918	P04951
511145.b3198	P0ABZ4
511145.b3197	P45395
511145.b3633	P0AC75
511145.b2842	P37769
511145.b2843	Q46938
511145.b3350	P45522
511145.b0047	P03819
511145.b0046	P0A754
511145.b3351	P0A756
511145.b2587	P0AEX3
511145.b3648	P60546
511145.b0003	P00547
511145.b1352	P38393
511145.b1238	P23331
511145.b3355	P0AEX5
511145.b1207	P0A717
511145.b4331	P39380
511145.b1676	P0AD61
511145.b1854	P21599
511145.b1098	P0A720
511145.b3747	P63183
511145.b0345	P03023
511145.b0343	P02920
511145.b4036	P02943
511145.b1279	P0ACV4
511145.b1280	P0AB58
511145.b4403	P37005
511145.b1805	P69451
511145.b1192	P76008
511145.b4131	P0A9H3
511145.b1380	P52643
511145.b4423	Q6BF86
511145.b4421	Q6BF87
511145.b4453	Q6BF25
511145.b3335	P25960
511145.b2569	P60785
511145.b2568	P00803
511145.b0074	P09151
511145.b0073	P30125
511145.b0072	P0A6A6
511145.b0071	P30126
511145.b1798	P76249
511145.b0076	P10151
511145.b4043	P0A7C2
511145.b0885	P0A8P1
511145.b4358	P39400
511145.b4357	P39399
511145.b4356	P39398
511145.b2828	P60955
511145.b1651	P0AC81
511145.b2660	P37339
511145.b1653	P30015
511145.b3647	P25772
511145.b0628	P60716
511145.b0630	P60720
511145.b1139	P11072
511145.b3454	P22731
511145.b3455	P0A9S7
511145.b3457	P0AEX7
511145.b3460	P0AD96
511145.b3458	P04816
511145.b3456	P22729
511145.b3605	P33232
511145.b3603	P33231
511145.b3604	P0ACL7
511145.b0657	P23930
511145.b2936	P25894
511145.b0891	P61316
511145.b1209	P61320
511145.b1116	P0ADC3
511145.b1117	P75957
511145.b1118	P75958
511145.b0955	P75867
511145.b0439	P0A9M0
511145.b4637	A8DYP9
511145.b2018	P60995
511145.b3766	P62522
511145.b3672	P03061
511145.b4386	P32099
511145.b2835	P39196
511145.b0075	P0AD79
511145.b4702	E2JKY7
511145.b3147	P45464
511145.b1105	P0AB38
511145.b4246	P0AD83
511145.b1677	P69776
511145.b3200	P0ADV1
511145.b3201	P0A9V1
511145.b3199	P0ADV9
511145.b0054	P31554
511145.b0641	P0ADC1
511145.b4261	P0AF98
511145.b4262	P0ADC6
511145.b3707	P0AD89
511145.b0001	P0AD86
511145.b0181	P0A722
511145.b0182	P10441
511145.b0096	P0A725
511145.b0179	P21645
511145.b0524	P43341
511145.b0915	P27300
511145.b1054	P0ACV0
511145.b1855	P24205
511145.b2378	P0ACV2
511145.b2174	P76445
511145.b2289	P36771
511145.b0889	P0ACJ0
511145.b0027	P00804
511145.b1513	P77257
511145.b1516	P76142
511145.b1514	P77672
511145.b1515	P0AFS1
511145.b1517	P76143
511145.b1518	P64461
511145.b1511	P77432
511145.b1512	P76141
511145.b0870	P75823
511145.b2687	P45578
511145.b0555	P78285
511145.b2156	P25737
511145.b1554	P76159
511145.b2839	P03030
511145.b3580	P37677
511145.b0459	P77791
511145.b0878	P75830
511145.b0879	P75831
511145.b0394	P23917
511145.b4034	P0AEX9
511145.b4033	P02916
511145.b4032	P68183
511145.b1620	P18811
511145.b4035	P68187
511145.b4037	P03841
511145.b3416	P15977
511145.b3418	P06993
511145.b1622	P23256
511145.b0403	P21517
511145.b1613	P00946
511145.b2048	P24175
511145.b2049	P24174
511145.b1479	P26616
511145.b2463	P76558
511145.b0168	P0AE18
511145.b1531	P0ACH5
511145.b1532	P31121
511145.b1529	P0AEY1
511145.b1530	P27245
511145.b4014	P08997
511145.b2976	P37330
511145.b0956	P0A8N0
511145.b2783	P0AE72
511145.b2782	P0AE70
511145.b2781	P0AEY3
511145.b0973	P0ACD8
511145.b2994	P0ACE0
511145.b0972	P69739
511145.b2997	P69741
511145.b0806	P0AAX6
511145.b1450	P76114
511145.b4355	P02942
511145.b1886	P07017
511145.b1421	P05704
511145.b1885	P07018
511145.b1159	P24200
511145.b4346	P15005
511145.b4345	P15006
511145.b3028	P0AEY5
511145.b0842	P0AEY8
511145.b3236	P61889
511145.b0448	P77265
511145.b0449	P0AAG5
511145.b2074	P76397
511145.b2075	P76398
511145.b2076	P76399
511145.b2077	P36554
511145.b3513	P37636
511145.b3514	P37637
511145.b1053	P25744
511145.b1065	P69367
511145.b1599	P69210
511145.b1600	P69212
511145.b1663	P37340
511145.b3710	P31462
511145.b4337	P39386
511145.b4082	P32716
511145.b4081	P32715
511145.b4080	P32714
511145.b4120	P02921
511145.b4118	P0ACH8
511145.b3930	P32166
511145.b2262	P0ABU0
511145.b2261	P29208
511145.b2264	P17109
511145.b2260	P37353
511145.b2265	P38051
511145.b2263	P37355
511145.b1686	P77781
511145.b2328	P0C0T5
511145.b1655	P76190
511145.b1856	P0AFS9
511145.b2175	P0AFV4
511145.b4013	P07623
511145.b3939	P00935
511145.b3008	P06721
511145.b3829	P25665
511145.b3941	P0AEZ1
511145.b4019	P13009
511145.b0198	P31547
511145.b3938	P0A8U6
511145.b2942	P0A817
511145.b0199	P30750
511145.b0197	P28635
511145.b3828	P0A9F9
511145.b1114	P30958
511145.b2149	P0AAG8
511145.b2148	P23200
511145.b1826	P64512
511145.b0963	P0A731
511145.b0347	P77397
511145.b0348	P0ABR9
511145.b0349	P77044
511145.b0350	P77608
511145.b0346	P77569
511145.b0353	P77589
511145.b4171	P16384
511145.b0661	P0AEI1
511145.b1176	P18196
511145.b1175	P0AEZ3
511145.b1174	P0A734
511145.b3742	P03817
511145.b1782	P0A908
511145.b2346	P76506
511145.b3191	P64602
511145.b3192	P0ADV7
511145.b3193	P64604
511145.b3194	P64606
511145.b3195	P63386
511145.b1594	P50456
511145.b1639	P28224
511145.b2127	P33358
511145.b2813	P0A935
511145.b2701	P41052
511145.b2963	P0C066
511145.b0211	P0AEZ7
511145.b2558	P0AGC5
511145.b0261	Q47690
511145.b0260	Q47689
511145.b1448	P76112
511145.b0732	P54746
511145.b0730	P13669
511145.b1133	P25745
511145.b2324	P77182
511145.b3706	P25522
511145.b3741	P0A6U3
511145.b2392	P0A769
511145.b1821	P76264
511145.b0817	P0A9F1
511145.b0781	P30745
511145.b0782	P0AEZ9
511145.b0783	P0A738
511145.b0784	P30748
511145.b0785	P30749
511145.b3857	P32173
511145.b3856	P32125
511145.b2877	Q46810
511145.b0763	P37329
511145.b0764	P0AF01
511145.b0765	P09833
511145.b0761	P0A9G8
511145.b0760	P31060
511145.b0827	P12281
511145.b0826	P12282
511145.b0009	P0AF03
511145.b1420	P76096
511145.b0018	P33236
511145.b1890	P09348
511145.b1889	P0AF06
511145.b1326	P0ACV6
511145.b1955	P76329
511145.b4233	P37773
511145.b1329	P77348
511145.b2684	P0ACR9
511145.b2210	P33940
511145.b3021	Q46864
511145.b3022	Q46865
511145.b0087	P0A6W3
511145.b0081	P22186
511145.b3251	P0A9X4
511145.b3250	P16926
511145.b3249	P0ABH4
511145.b2113	P0AF08
511145.b4351	P24202
511145.b0914	P60752
511145.b0465	P77338
511145.b3291	P0A742
511145.b4159	P39285
511145.b2924	P0C0S1
511145.b4219	P0A744
511145.b1778	P0A746
511145.b1832	P76270
511145.b1051	P25738
511145.b1976	P76346
511145.b3208	P46022
511145.b3600	P09424
511145.b3601	P0AF10
511145.b0159	P0AF12
511145.b1059	P40874
511145.b3161	P0AAD2
511145.b3068	P0A9H1
511145.b0924	P22523
511145.b0923	P22524
511145.b0922	P60293
511145.b3189	P0A749
511145.b3972	P08373
511145.b0091	P17952
511145.b0088	P14900
511145.b0085	P22188
511145.b0086	P11880
511145.b0090	P17443
511145.b3967	P22634
511145.b1069	P0AF16
511145.b2428	P76535
511145.b2427	P77245
511145.b2831	P06722
511145.b4170	P23367
511145.b2733	P23909
511145.b0099	P08337
511145.b2961	P17802
511145.b3096	P42615
511145.b1988	Q47005
511145.b0750	P11458
511145.b2574	P10902
511145.b0109	P30011
511145.b0639	P0A752
511145.b1740	P18843
511145.b2615	P0A7B3
511145.b4390	P27278
511145.b0677	P0AF18
511145.b0678	P0A759
511145.b0676	P0AF20
511145.b0675	P0AF24
511145.b1119	P75959
511145.b1107	P75949
511145.b3225	P0A6L4
511145.b4311	P69856
511145.b3223	P0A761
511145.b3222	P45425
511145.b4310	P39371
511145.b3226	P0A8W0
511145.b4309	P39370
511145.b3224	P41036
511145.b2206	P33937
511145.b2203	P0ABL3
511145.b2202	P0ABL5
511145.b2207	P0A9I5
511145.b2208	P0AAL0
511145.b2205	P0AAL3
511145.b2204	P33934
511145.b1224	P09152
511145.b1225	P11349
511145.b1227	P11350
511145.b1226	P0AF26
511145.b1223	P10903
511145.b1221	P0AF28
511145.b2193	P31802
511145.b2469	P27896
511145.b1469	P37758
511145.b1465	P0AF32
511145.b1466	P19317
511145.b1222	P0AFA2
511145.b1467	P19318
511145.b1468	P19319
511145.b4394	P39411
511145.b2518	P0A763
511145.b2186	P33920
511145.b1650	P77258
511145.b1649	P67430
511145.b3662	P0ADL1
511145.b3998	P68739
511145.b0568	P31600
511145.b0569	P0AFA5
511145.b0851	P17117
511145.b0578	P38489
511145.b3414	P63020
511145.b0019	P13738
511145.b1186	P0AFA7
511145.b1191	P76007
511145.b0020	P0A9G2
511145.b1463	P77567
511145.b1378	P52647
511145.b3476	P33590
511145.b3477	P33591
511145.b3478	P0AFA9
511145.b3479	P33593
511145.b3480	P33594
511145.b3481	P0A6Z6
511145.b0548	Q47270
511145.b3365	P08201
511145.b3367	P0AC26
511145.b3366	P0A9I8
511145.b3661	P04846
511145.b1708	P23898
511145.b2742	P0ADA3
511145.b0192	P40710
511145.b3163	P0AFB1
511145.b4167	P31806
511145.b0560	P31061
511145.b0560	P31062
511145.b2709	P37013
511145.b2710	Q46877
511145.b2711	P37596
511145.b1120	P75960
511145.b1004	P0A8G6
511145.b4238	P28903
511145.b4237	P0A9N8
511145.b2673	P0AC65
511145.b2674	P0A772
511145.b0413	P0A8D0
511145.b4070	P0ABK9
511145.b4071	P0ABL1
511145.b4072	P0AAK7
511145.b4073	P32709
511145.b4074	P32710
511145.b4075	P32711
511145.b4076	P32712
511145.b4178	P0AF63
511145.b3869	P0AFB5
511145.b3868	P0AFB8
511145.b1865	P0AFC0
511145.b3996	P32664
511145.b3397	P45799
511145.b1759	P77788
511145.b2251	P52006
511145.b1134	P0AEI6
511145.b2467	P37128
511145.b1813	P43337
511145.b2288	P0AFC3
511145.b2287	P0AFC7
511145.b2286	P33599
511145.b2285	P0AFD1
511145.b2284	P31979
511145.b2283	P33602
511145.b2282	P0AFD4
511145.b2281	P0AFD6
511145.b2280	P0AFE0
511145.b2279	P0AFE4
511145.b2278	P33607
511145.b2277	P0AFE8
511145.b2276	P0AFF0
511145.b2393	P0AFF2
511145.b2964	P0AFF4
511145.b2161	P33021
511145.b3169	P0AFF6
511145.b0416	P0A780
511145.b3982	P0AFG0
511145.b3183	P42641
511145.b0726	P0AFG3
511145.b0727	P0AFG6
511145.b0114	P0AFG8
511145.b0115	P06959
511145.b2082	P37057
511145.b1335	P0AFH0
511145.b0957	P0A910
511145.b2215	P06996
511145.b0929	P02931
511145.b1319	P76045
511145.b3875	P76773
511145.b1377	P77747
511145.b3405	P0AA16
511145.b0565	P09169
511145.b1256	P0A915
511145.b0814	P0A917
511145.b3498	P27298
511145.b4359	P39401
511145.b1047	P75920
511145.b1424	P40120
511145.b0815	P75785
511145.b1048	P33136
511145.b1049	P62517
511145.b1243	P23843
511145.b1244	P0AFH2
511145.b1245	P0AFH6
511145.b1246	P76027
511145.b1247	P77737
511145.b4162	P0A784
511145.b1445	P64453
511145.b1283	P0ADA7
511145.b1482	P0C0L2
511145.b1739	P0ADB1
511145.b2131	P33362
511145.b4376	P0AFH8
511145.b4254	P04391
511145.b0273	P06960
511145.b1896	P31677
511145.b1897	P31678
511145.b2373	P0AFI0
511145.b3961	P0ACQ4
511145.b0386	P0A9L8
511145.b3821	P0A921
511145.b1388	P76077
511145.b1389	P76078
511145.b1390	P76079
511145.b1391	P76080
511145.b1392	P76081
511145.b1393	P76082
511145.b1394	P77467
511145.b1395	P76083
511145.b1396	P76084
511145.b1397	P0C7L2
511145.b1397	P0C7L3
511145.b1398	P76085
511145.b1399	P76086
511145.b1400	P77181
511145.b1387	P77455
511145.b3360	P00903
511145.b1812	P05041
511145.b1096	P28305
511145.b0622	P37001
511145.b0741	P0A912
511145.b0134	P31057
511145.b0133	P31663
511145.b0131	P0A790
511145.b0425	P0A9J4
511145.b3258	P16256
511145.b3459	P37613
511145.b3019	P0AFI2
511145.b3030	P20083
511145.b3073	P42588
511145.b0635	P0AD65
511145.b2134	P0AFI5
511145.b3396	P02918
511145.b0149	P02919
511145.b2519	P76577
511145.b3403	P22259
511145.b0143	P0ABF1
511145.b0113	P0ACL9
511145.b0052	P19624
511145.b2320	P05459
511145.b1638	P0AFI7
511145.b2564	P0A794
511145.b2418	P40191
511145.b1636	P77150
511145.b2523	P37095
511145.b0237	P15288
511145.b4021	P0A7C6
511145.b3847	P21165
511145.b1127	P29745
511145.b2493	P0AFI9
511145.b0254	Q57083
511145.b3916	P0A796
511145.b1723	P06999
511145.b0902	P0A9N4
511145.b0903	P09373
511145.b3952	P32675
511145.b3951	P32674
511145.b0824	P75794
511145.b0823	P75793
511145.b1024	P69434
511145.b1023	P75906
511145.b1022	P75905
511145.b1021	P69432
511145.b2926	P0A799
511145.b1317	P77366
511145.b0688	P36938
511145.b0418	P18200
511145.b1278	P0A924
511145.b2560	P0AD42
511145.b1328	P77333
511145.b1912	P0ABF8
511145.b2599	P0A9J8
511145.b0576	P24207
511145.b4108	P0AFJ1
511145.b4107	P16681
511145.b4106	P16677
511145.b4105	P16682
511145.b4102	P16684
511145.b4101	P16685
511145.b4100	P16686
511145.b4099	P16687
511145.b4098	P16688
511145.b4097	P16678
511145.b4096	P16679
511145.b4095	P16689
511145.b4094	P16690
511145.b4093	P16691
511145.b4092	P16692
511145.b0399	P0AFJ5
511145.b0241	P02932
511145.b1020	P0A9K1
511145.b0660	P0A9K3
511145.b1130	P23836
511145.b1129	P23837
511145.b0400	P08400
511145.b3724	P0A9K7
511145.b1266	P77766
511145.b3379	P45548
511145.b0708	P00914
511145.b1670	P77409
511145.b3428	P0AC86
511145.b3417	P00490
511145.b2873	Q46806
511145.b2743	P0A7A5
511145.b1158	P03014
511145.b1545	P77170
511145.b1374	P0ADI0
511145.b3493	P0AFJ7
511145.b2987	P43676
511145.b2584	P76594
511145.b2014	P0AA47
511145.b3825	P07000
511145.b1178	P76002
511145.b4041	P0A7A7
511145.b3018	P26647
511145.b1090	P27247
511145.b3059	P60782
511145.b4235	P0AFK0
511145.b2259	P37590
511145.b4703	G3MTW7
511145.b1768	P21369
511145.b0931	P18133
511145.b2700	P0A6G3
511145.b3164	P05055
511145.b1603	P07001
511145.b1602	P0AB67
511145.b0751	P0AFK2
511145.b1126	P69874
511145.b1125	P0AFK4
511145.b1124	P0AFK6
511145.b1123	P0AFK9
511145.b0692	P0AAF1
511145.b0854	P31133
511145.b0855	P31134
511145.b0856	P31135
511145.b0857	P0AFL1
511145.b0871	P07003
511145.b0980	P07102
511145.b0383	P00634
511145.b2826	P33554
511145.b2825	P08371
511145.b2823	P08372
511145.b0108	P36647
511145.b3363	P0AFL3
511145.b0525	P23869
511145.b3775	P0A9L5
511145.b0441	P0ADY1
511145.b2501	P0A7B1
511145.b2972	Q46836
511145.b1702	P23538
511145.b1461	P31992
511145.b2502	P0AFL6
511145.b0950	P0AFL9
511145.b0951	P43671
511145.b1494	P31828
511145.b1830	P23865
511145.b2147	P25889
511145.b2146	P76440
511145.b3935	P17888
511145.b4201	P07013
511145.b0467	P23862
511145.b3129	P15373
511145.b3259	P0A8T1
511145.b2330	P39199
511145.b1212	P0ACC1
511145.b0243	P07004
511145.b0242	P0A7B5
511145.b4111	P0C0L7
511145.b1831	P45577
511145.b2677	P14175
511145.b2678	P14176
511145.b2679	P0AFM2
511145.b0402	P0AAE2
511145.b1838	P55798
511145.b2734	P55799
511145.b0331	P77541
511145.b0333	P31660
511145.b0334	P77243
511145.b0335	P77495
511145.b0330	P77743
511145.b1229	P02338
511145.b4160	P0A8K1
511145.b4030	P0A7C8
511145.b0384	P0AFM4
511145.b1304	P0AFM6
511145.b1305	P0AFM9
511145.b1306	P0AFN2
511145.b1307	P0AFV8
511145.b1308	P23857
511145.b1303	P37344
511145.b4050	P32696
511145.b1703	P0A8A4
511145.b2585	P23830
511145.b3726	P07654
511145.b3725	P0AAH0
511145.b3727	P0AGH8
511145.b3728	P0AG82
511145.b2165	P33025
511145.b2166	P30235
511145.b2164	P33024
511145.b2829	P37177
511145.b2416	P08839
511145.b2297	P0A9M8
511145.b2169	P69811
511145.b3900	P32155
511145.b2387	P69808
511145.b3950	P69816
511145.b3953	P32676
511145.b2167	P20966
511145.b2386	P77579
511145.b3949	P32672
511145.b3899	P32154
511145.b2383	P77439
511145.b3947	P32670
511145.b2417	P69783
511145.b1101	P69786
511145.b2704	P05706
511145.b2703	P56580
511145.b2702	P56579
511145.b2415	P0AA04
511145.b1204	P0A7D1
511145.b2715	P24241
511145.b2094	P69828
511145.b2093	P37188
511145.b2092	P69831
511145.b3599	P00550
511145.b2934	P69824
511145.b2933	P69826
511145.b1817	P69797
511145.b1818	P69801
511145.b1819	P69805
511145.b1621	P19642
511145.b3138	P42909
511145.b3133	P42904
511145.b3139	P42910
511145.b3140	P42911
511145.b1736	P69791
511145.b1738	P69795
511145.b1737	P17334
511145.b2821	P05458
511145.b1845	P24555
511145.b3204	P69829
511145.b3206	P0A9N0
511145.b4240	P36672
511145.b3722	P08722
511145.b0679	P09323
511145.b2429	P77272
511145.b2312	P0AG16
511145.b4005	P15640
511145.b2500	P08179
511145.b2557	P15254
511145.b2499	P08178
511145.b2476	P0A7D7
511145.b1131	P0AB89
511145.b4006	P15639
511145.b4177	P0A7D4
511145.b0523	P0AG18
511145.b0522	P09029
511145.b1658	P0ACP7
511145.b1849	P33221
511145.b1232	P37051
511145.b1014	P09546
511145.b1015	P07117
511145.b1297	P78061
511145.b1301	P37906
511145.b1300	P23883
511145.b1298	P76038
511145.b1302	P50457
511145.b1296	P76037
511145.b1299	P0A9U6
511145.b4245	P0A786
511145.b1062	P05020
511145.b0945	P0A7E1
511145.b3642	P0A7E3
511145.b1281	P08244
511145.b2780	P0A7E5
511145.b0171	P0A7E9
511145.b4244	P0A7F3
511145.b0489	P0AA53
511145.b4051	P28304
511145.b4211	P39315
511145.b3025	P52076
511145.b3026	P40719
511145.b0405	P0A7F9
511145.b0444	P77756
511145.b2765	P65870
511145.b2777	P64554
511145.b2794	Q46920
511145.b4166	P39288
511145.b1351	P15033
511145.b1356	P76062
511145.b4389	P24554
511145.b2597	P0AD49
511145.b1348	P33229
511145.b0059	P60240
511145.b3205	P0A894
511145.b0892	P0AAZ4
511145.b3819	P27844
511145.b2619	P0AGL5
511145.b2618	P52119
511145.b3746	P31473
511145.b0228	Q47152
511145.b3486	P37624
511145.b3167	P0A7G2
511145.b2268	P0A8V0
511145.b3749	P04983
511145.b3751	P02925
511145.b3750	P0AGI1
511145.b3748	P04982
511145.b3752	P0A9J6
511145.b3753	P0ACQ0
511145.b1347	P33230
511145.b0846	P75811
511145.b0304	P77212
511145.b0303	P75687
511145.b0301	P75685
511145.b0305	P77379
511145.b2106	P76425
511145.b2107	P64534
511145.b2105	P64530
511145.b1951	P0DMC9
511145.b2217	P0DMC7
511145.b2218	P0DMC5
511145.b2216	P39838
511145.b0196	P69411
511145.b2954	P52061
511145.b0393	P36767
511145.b3859	P0C0K3
511145.b2699	P0A7G6
511145.b2820	P08394
511145.b2822	P07648
511145.b2819	P04993
511145.b1350	P15032
511145.b3700	P0A7H0
511145.b3652	P24230
511145.b2892	P21893
511145.b2616	P05824
511145.b2565	P0A7H3
511145.b3822	P15043
511145.b0472	P0A7H6
511145.b1349	P33228
511145.b2698	P33596
511145.b2784	P0AG20
511145.b1564	P0C079
511145.b1563	P0C077
511145.b1561	P07010
511145.b3778	P09980
511145.b0551	Q47274
511145.b1559	P76161
511145.b1211	P0A7I0
511145.b2891	P07012
511145.b4375	P0A7I4
511145.b3628	P27127
511145.b3621	P24173
511145.b3620	P37692
511145.b3631	P25740
511145.b3842	P0AFW0
511145.b3627	P27128
511145.b3626	P27129
511145.b3622	P27243
511145.b3630	P25741
511145.b3632	P25742
511145.b3629	P27126
511145.b3625	P27240
511145.b3624	P27241
511145.b2037	P37746
511145.b2035	P37748
511145.b3791	P27833
511145.b3903	P32170
511145.b3904	P32171
511145.b3902	P32169
511145.b3901	P32156
511145.b3906	P09378
511145.b3905	P09377
511145.b3907	P27125
511145.b3780	P0A8J8
511145.b0797	P25888
511145.b2245	P76469
511145.b2247	P77215
511145.b2248	P77732
511145.b2246	P76470
511145.b3783	P0AG30
511145.b3593	P16916
511145.b3482	P16917
511145.b0700	P16918
511145.b0497	P16919
511145.b0813	P0AA67
511145.b3824	P0AG34
511145.b3823	P0AG38
511145.b1277	P0A7I7
511145.b3041	P0A7J0
511145.b0414	P25539
511145.b0025	P0AG40
511145.b4243	P0AF93
511145.b0651	P41409
511145.b2162	P33022
511145.b0030	P22564
511145.b4373	P0A944
511145.b1066	P0A948
511145.b0852	P0C0U4
511145.b1427	P13857
511145.b2608	P0A7X6
511145.b0835	P0AEI4
511145.b3170	P0A8A8
511145.b2234	P00452
511145.b2235	P69924
511145.b2675	P39452
511145.b2676	P37146
511145.b1662	P0AFU8
511145.b0415	P61714
511145.b3985	P0A7J3
511145.b3983	P0A7J7
511145.b3231	P0AA10
511145.b3310	P0ADY3
511145.b3301	P02413
511145.b3313	P0ADY7
511145.b3294	P0AG44
511145.b3304	P0C018
511145.b2606	P0A7K6
511145.b3984	P0A7L0
511145.b1716	P0A7L3
511145.b3186	P0AG48
511145.b3315	P61175
511145.b3318	P0ADZ0
511145.b3309	P60624
511145.b2185	P68919
511145.b3185	P0A7L8
511145.b3637	P0A7M2
511145.b3312	P0A7M6
511145.b3317	P60422
511145.b3302	P0AG51
511145.b0296	P0A7N1
511145.b3936	P0A7M9
511145.b1089	P0A7N4
511145.b3636	P0A7N9
511145.b3703	P0A7P5
511145.b1717	P0A7Q1
511145.b4506	Q2EEQ2
511145.b3299	P0A7Q6
511145.b3320	P60438
511145.b3319	P60723
