593117.TGAM_1786	C5A1L9
593117.TGAM_1348	C5A6I8
593117.TGAM_0970	C5A5G0
593117.TGAM_1324	C5A6G4
593117.TGAM_1707	C5A7J7
593117.TGAM_1399	C5A6N9
593117.TGAM_2050	C5A2D3
593117.TGAM_0006	C5A2K6
593117.TGAM_1362	C5A6K2
593117.TGAM_0196	C5A386
593117.TGAM_0779	C5A4W9
593117.TGAM_1926	C5A209
593117.TGAM_1574	C5A764
593117.TGAM_1273	C5A6B3
593117.TGAM_1442	C5A6T2
593117.TGAM_1966	C5A249
593117.TGAM_1571	C5A761
593117.TGAM_1705	C5A7J5
593117.TGAM_1375	C5A6L5
593117.TGAM_1573	C5A763
593117.TGAM_2146	C5A2Y7
593117.TGAM_2019	C5A2A2
593117.TGAM_0291	C5A3I1
593117.TGAM_1044	C5A5N4
593117.TGAM_1485	C5A6X5
593117.TGAM_1555	C5A745
593117.TGAM_1686	C5A7H6
593117.TGAM_1274	C5A6B4
593117.TGAM_1576	C5A766
593117.TGAM_2149	C5A2Z0
593117.TGAM_0319	C5A3K9
593117.TGAM_2026	C5A2A9
593117.TGAM_2062	C5A2E5
593117.TGAM_0151	C5A341
593117.TGAM_0452	C5A3Z2
593117.TGAM_1030	C5A5M0
593117.TGAM_1671	C5A7G1
593117.TGAM_0326	C5A3L6
593117.TGAM_0480	C5A420
593117.TGAM_0691	C5A4N1
593117.TGAM_0799	C5A4Y9
593117.TGAM_1103	C5A5U3
593117.TGAM_1727	C5A7L7
593117.TGAM_0583	C5A4C3
593117.TGAM_0112	C5A302
593117.TGAM_0329	C5A3L9
593117.TGAM_0110	C5A300
593117.TGAM_0525	C5A465
593117.TGAM_1275	C5A6B5
593117.TGAM_0628	C5A4G8
593117.TGAM_0126	C5A316
593117.TGAM_1252	C5A692
593117.TGAM_1982	C5A265
593117.TGAM_2118	C5A2V9
593117.TGAM_0597	C5A4D7
593117.TGAM_1787	C5A1M0
593117.TGAM_1203	C5A643
593117.TGAM_0111	C5A301
593117.TGAM_1911	C5A1Z4
593117.TGAM_0050	C5A2Q0
593117.TGAM_0054	C5A2Q3
593117.TGAM_2154	C5A2Z5
593117.TGAM_0040	C5A2P0
593117.TGAM_1880	C5A1W3
593117.TGAM_0035	C5A2N5
593117.TGAM_0879	C5A569
593117.TGAM_1356	C5A6J6
593117.TGAM_0566	C5A4A6
593117.TGAM_1717	C5A7K7
593117.TGAM_1244	C5A684
593117.TGAM_1850	C5A1T3
593117.TGAM_1069	C5A5Q9
593117.TGAM_1775	C5A1K8
593117.TGAM_1534	C5A724
593117.TGAM_1873	C5A1V6
593117.TGAM_1222	C5A662
593117.TGAM_1536	C5A726
593117.TGAM_1608	C5A798
593117.TGAM_0444	C5A3Y4
593117.TGAM_0072	C5A2S2
593117.TGAM_0216	C5A3A6
593117.TGAM_1664	C5A7F3
593117.TGAM_1500	C5A6Z0
593117.TGAM_1919	C5A202
593117.TGAM_0059	C5A2Q9
593117.TGAM_2086	C5A2G9
593117.TGAM_0154	C5A344
593117.TGAM_0917	C5A5A7
593117.TGAM_1631	C5A7C1
593117.TGAM_0846	C5A536
593117.TGAM_1689	C5A7H9
593117.TGAM_1191	C5A631
593117.TGAM_0359	C5A3P9
593117.TGAM_0093	C5A2U3
593117.TGAM_0356	C5A3P6
593117.TGAM_0161	C5A351
593117.TGAM_0928	C5A5B8
593117.TGAM_2024	C5A2A7
593117.TGAM_0155	C5A345
593117.TGAM_0500	C5A440
593117.TGAM_0740	C5A4T0
593117.TGAM_0902	C5A592
593117.TGAM_2011	C5A294
593117.TGAM_0930	C5A5C0
593117.TGAM_1992	C5A275
593117.TGAM_1194	C5A634
593117.TGAM_0324	C5A3L4
593117.TGAM_0402	C5A3U2
593117.TGAM_0087	C5A2T7
593117.TGAM_1613	C5A7A3
593117.TGAM_0388	C5A3S8
593117.TGAM_1636	C5A7C6
593117.TGAM_0579	C5A4B9
593117.TGAM_0290	C5A3I0
593117.TGAM_0352	C5A3P2
593117.TGAM_2017	C5A2A0
593117.TGAM_2023	C5A2A6
593117.TGAM_0301	C5A3J1
593117.TGAM_0099	C5A2U9
593117.TGAM_0965	C5A5F5
593117.TGAM_1023	C5A5L3
593117.TGAM_1522	C5A712
593117.TGAM_0204	C5A394
593117.TGAM_0777	C5A4W7
593117.TGAM_1937	C5A220
593117.TGAM_1403	C5A6P3
593117.TGAM_0754	C5A4U4
593117.TGAM_0836	C5A526
593117.TGAM_0905	C5A595
593117.TGAM_1813	C5A1P6
593117.TGAM_1002	C5A5J2
593117.TGAM_1254	C5A694
593117.TGAM_1394	C5A6N4
593117.TGAM_1745	C5A1H8
593117.TGAM_1398	C5A6N8
593117.TGAM_1774	C5A1K7
593117.TGAM_1243	C5A683
593117.TGAM_1413	C5A6Q3
593117.TGAM_1264	C5A6A4
593117.TGAM_1600	C5A790
593117.TGAM_1859	C5A1U2
593117.TGAM_1181	C5A621
593117.TGAM_1561	C5A751
593117.TGAM_0338	C5A3M8
593117.TGAM_0084	C5A2T4
593117.TGAM_0570	C5A4B0
593117.TGAM_0197	C5A387
593117.TGAM_0925	C5A5B5
593117.TGAM_1355	C5A6J5
593117.TGAM_1817	C5A1Q0
593117.TGAM_2038	C5A2C1
593117.TGAM_2055	C5A2D8
593117.TGAM_0027	C5A2M7
593117.TGAM_0564	C5A4A4
593117.TGAM_0764	C5A4V4
593117.TGAM_0988	C5A5H8
593117.TGAM_1354	C5A6J4
593117.TGAM_2022	C5A2A5
593117.TGAM_0455	C5A3Z5
593117.TGAM_0726	C5A4R6
593117.TGAM_0824	C5A514
593117.TGAM_0201	C5A391
593117.TGAM_0678	C5A4L8
593117.TGAM_0859	C5A549
593117.TGAM_0246	C5A3D6
593117.TGAM_0696	C5A4N6
593117.TGAM_1315	C5A6F5
593117.TGAM_1540	C5A730
593117.TGAM_0743	C5A4T3
593117.TGAM_1744	C5A1H7
593117.TGAM_0856	C5A546
593117.TGAM_1084	C5A5S4
593117.TGAM_1595	C5A785
593117.TGAM_1416	C5A6Q6
593117.TGAM_1570	C5A760
593117.TGAM_1913	C5A1Z6
593117.TGAM_0580	C5A4C0
593117.TGAM_0476	C5A416
593117.TGAM_1842	C5A1S5
593117.TGAM_0406	C5A3U6
593117.TGAM_1735	C5A1G8
593117.TGAM_1675	C5A7G5
593117.TGAM_1676	C5A7G6
593117.TGAM_1994	C5A277
593117.TGAM_0544	C5A484
593117.TGAM_0832	C5A522
593117.TGAM_0842	C5A532
593117.TGAM_1186	C5A626
593117.TGAM_1233	C5A673
593117.TGAM_1644	C5A7D4
593117.TGAM_1902	C5A1Y5
593117.TGAM_0395	C5A3T5
593117.TGAM_0323	C5A3L3
593117.TGAM_2061	C5A2E4
593117.TGAM_2093	C5A2H6
593117.TGAM_0207	C5A397
593117.TGAM_1352	C5A6J2
593117.TGAM_0914	C5A5A4
593117.TGAM_0180	C5A370
593117.TGAM_0880	C5A570
593117.TGAM_0153	C5A343
593117.TGAM_2113	C5A2J6
593117.TGAM_0891	C5A581
593117.TGAM_2121	C5A2W2
593117.TGAM_1680	C5A7H0
593117.TGAM_1017	C5A5K7
593117.TGAM_1155	C5A5Z5
593117.TGAM_1797	C5A1N0
593117.TGAM_1477	C5A6W7
593117.TGAM_0133	C5A323
593117.TGAM_1225	C5A665
593117.TGAM_1466	C5A6V6
593117.TGAM_1585	C5A775
593117.TGAM_1451	C5A6U1
593117.TGAM_1604	C5A794
593117.TGAM_1465	C5A6V5
593117.TGAM_2152	C5A2Z3
593117.TGAM_1989	C5A272
593117.TGAM_0051	C5A2Q1
593117.TGAM_0302	C5A3J2
593117.TGAM_1909	C5A1Z2
593117.TGAM_0336	C5A3M6
593117.TGAM_0474	C5A414
593117.TGAM_0558	C5A498
593117.TGAM_0711	C5A4Q1
593117.TGAM_0295	C5A3I5
593117.TGAM_0260	C5A3F0
593117.TGAM_0560	C5A4A0
593117.TGAM_0766	C5A4V6
593117.TGAM_1582	C5A772
593117.TGAM_1839	C5A1S2
593117.TGAM_1468	C5A6V8
593117.TGAM_1467	C5A6V7
593117.TGAM_1713	C5A7K3
593117.TGAM_0167	C5A357
593117.TGAM_0735	C5A4S5
593117.TGAM_0957	C5A5E7
593117.TGAM_0806	C5A4Z6
593117.TGAM_1378	C5A6L8
593117.TGAM_1568	C5A758
593117.TGAM_1641	C5A7D1
593117.TGAM_0604	C5A4E4
593117.TGAM_1953	C5A236
593117.TGAM_0210	C5A3A0
593117.TGAM_0497	C5A437
593117.TGAM_0690	C5A4N0
593117.TGAM_0734	C5A4S4
593117.TGAM_2075	C5A2F8
593117.TGAM_0739	C5A4S9
593117.TGAM_0297	C5A3I7
593117.TGAM_0545	C5A485
593117.TGAM_0999	C5A5I9
593117.TGAM_1824	C5A1Q7
593117.TGAM_1045	C5A5N5
593117.TGAM_1172	C5A612
593117.TGAM_1668	C5A7F8
593117.TGAM_2143	C5A2Y4
593117.TGAM_0400	C5A3U0
593117.TGAM_0543	C5A483
593117.TGAM_0557	C5A497
593117.TGAM_1333	C5A6H3
593117.TGAM_1385	C5A6M5
593117.TGAM_0175	C5A365
593117.TGAM_0717	C5A4Q7
593117.TGAM_2043	C5A2C6
593117.TGAM_2046	C5A2C9
593117.TGAM_2078	C5A2G1
593117.TGAM_1360	C5A6K0
593117.TGAM_1840	C5A1S3
593117.TGAM_1230	C5A670
593117.TGAM_0061	C5A2R1
593117.TGAM_0396	C5A3T6
593117.TGAM_0609	C5A4E9
593117.TGAM_0343	C5A3N3
593117.TGAM_0706	C5A4P6
593117.TGAM_0782	C5A4X2
593117.TGAM_0548	C5A488
593117.TGAM_0876	C5A566
593117.TGAM_0505	C5A445
593117.TGAM_0723	C5A4R3
593117.TGAM_0769	C5A4V9
593117.TGAM_0874	C5A564
593117.TGAM_0635	C5A4H5
593117.TGAM_2014	C5A297
593117.TGAM_0768	C5A4V8
593117.TGAM_0058	C5A2Q8
593117.TGAM_1546	C5A736
593117.TGAM_1714	C5A7K4
593117.TGAM_0571	C5A4B1
593117.TGAM_1471	C5A6W1
593117.TGAM_1520	C5A710
593117.TGAM_1521	C5A711
593117.TGAM_0937	C5A5C7
593117.TGAM_0620	C5A4G0
593117.TGAM_0412	C5A3V2
593117.TGAM_1921	C5A204
593117.TGAM_1752	C5A1I5
593117.TGAM_1508	C5A6Z8
593117.TGAM_0181	C5A371
593117.TGAM_1026	C5A5L6
593117.TGAM_0509	C5A449
593117.TGAM_1860	C5A1U3
593117.TGAM_0573	C5A4B3
593117.TGAM_2013	C5A296
593117.TGAM_0422	C5A3W2
593117.TGAM_2101	C5A2I4
593117.TGAM_0238	C5A3C8
593117.TGAM_0469	C5A409
593117.TGAM_0865	C5A555
593117.TGAM_0895	C5A585
593117.TGAM_0793	C5A4Y3
593117.TGAM_1219	C5A659
593117.TGAM_1216	C5A656
593117.TGAM_1387	C5A6M7
593117.TGAM_0046	C5A2P6
593117.TGAM_0098	C5A2U8
593117.TGAM_0223	C5A3B3
593117.TGAM_1767	C5A1K0
593117.TGAM_0532	C5A472
593117.TGAM_1144	C5A5Y4
593117.TGAM_1386	C5A6M6
593117.TGAM_1912	C5A1Z5
593117.TGAM_1975	C5A258
593117.TGAM_0377	C5A3R7
593117.TGAM_0654	C5A4J4
593117.TGAM_0386	C5A3S6
593117.TGAM_0357	C5A3P7
593117.TGAM_2049	C5A2D2
593117.TGAM_0457	C5A3Z7
593117.TGAM_0936	C5A5C6
593117.TGAM_0980	C5A5H0
593117.TGAM_1260	C5A6A0
593117.TGAM_1954	C5A237
593117.TGAM_1645	C5A7D5
593117.TGAM_1828	C5A1R1
593117.TGAM_1834	C5A1R7
593117.TGAM_1004	C5A5J4
593117.TGAM_1129	C5A5W9
593117.TGAM_1132	C5A5X2
593117.TGAM_1176	C5A616
593117.TGAM_1741	C5A1H4
593117.TGAM_1419	C5A6Q9
593117.TGAM_1166	C5A606
593117.TGAM_1424	C5A6R4
593117.TGAM_1490	C5A6Y0
593117.TGAM_1436	C5A6S6
593117.TGAM_2054	C5A2D7
593117.TGAM_0278	C5A3G8
593117.TGAM_1009	C5A5J9
593117.TGAM_1524	C5A714
593117.TGAM_2021	C5A2A4
593117.TGAM_0095	C5A2U5
593117.TGAM_1152	C5A5Z2
593117.TGAM_1934	C5A217
593117.TGAM_0589	C5A4C9
593117.TGAM_0055	C5A2Q5
593117.TGAM_0117	C5A306
593117.TGAM_1977	C5A260
593117.TGAM_0114	C5A304
593117.TGAM_0044	C5A2P4
593117.TGAM_0442	C5A3Y2
593117.TGAM_0772	C5A4W2
593117.TGAM_0943	C5A5D3
593117.TGAM_0969	C5A5F9
593117.TGAM_0193	C5A383
593117.TGAM_0516	C5A456
593117.TGAM_0752	C5A4U2
593117.TGAM_0927	C5A5B7
593117.TGAM_0886	C5A576
593117.TGAM_1814	C5A1P7
593117.TGAM_1202	C5A642
593117.TGAM_1542	C5A732
593117.TGAM_0013	C5A2L3
593117.TGAM_0281	C5A3H1
593117.TGAM_1696	C5A7I6
593117.TGAM_0790	C5A4Y0
593117.TGAM_1282	C5A6C2
593117.TGAM_1313	C5A6F3
593117.TGAM_1038	C5A5M8
593117.TGAM_1370	C5A6L0
593117.TGAM_1498	C5A6Y8
593117.TGAM_1556	C5A746
593117.TGAM_1970	C5A253
593117.TGAM_0603	C5A4E3
593117.TGAM_0230	C5A3C0
593117.TGAM_0817	C5A507
593117.TGAM_1308	C5A6E8
593117.TGAM_1484	C5A6X4
593117.TGAM_1580	C5A770
593117.TGAM_1643	C5A7D3
593117.TGAM_1652	C5A7E2
593117.TGAM_2104	C5A2I7
593117.TGAM_0676	C5A4L6
593117.TGAM_1908	C5A1Z1
593117.TGAM_1125	C5A5W5
593117.TGAM_0815	C5A505
593117.TGAM_2079	C5A2G2
593117.TGAM_2069	C5A2F2
593117.TGAM_1154	C5A5Z4
593117.TGAM_1255	C5A695
593117.TGAM_1246	C5A686
593117.TGAM_1043	C5A5N3
593117.TGAM_1127	C5A5W7
593117.TGAM_1226	C5A666
593117.TGAM_1480	C5A6X0
593117.TGAM_1577	C5A767
593117.TGAM_1637	C5A7C7
593117.TGAM_0306	C5A3J6
593117.TGAM_0382	C5A3S2
593117.TGAM_1885	C5A1W8
593117.TGAM_1984	C5A267
593117.TGAM_1998	C5A281
593117.TGAM_0587	C5A4C7
593117.TGAM_0647	C5A4I7
593117.TGAM_0595	C5A4D5
593117.TGAM_0608	C5A4E8
593117.TGAM_1922	C5A205
593117.TGAM_0134	C5A324
593117.TGAM_0331	C5A3M1
593117.TGAM_0212	C5A3A2
593117.TGAM_0228	C5A3B8
593117.TGAM_0708	C5A4P8
593117.TGAM_1064	C5A5Q4
593117.TGAM_2053	C5A2D6
593117.TGAM_1868	C5A1V1
593117.TGAM_1232	C5A672
593117.TGAM_0835	C5A525
593117.TGAM_0105	C5A2V5
593117.TGAM_1173	C5A613
593117.TGAM_1373	C5A6L3
593117.TGAM_1207	C5A647
593117.TGAM_0294	C5A3I4
593117.TGAM_1245	C5A685
593117.TGAM_1137	C5A5X7
593117.TGAM_1779	C5A1L2
593117.TGAM_1581	C5A771
593117.TGAM_1666	C5A7F6
593117.TGAM_1000	C5A5J0
593117.TGAM_1158	C5A5Z8
593117.TGAM_1494	C5A6Y4
593117.TGAM_1565	C5A755
593117.TGAM_1519	C5A709
593117.TGAM_1750	C5A1I3
593117.TGAM_0993	C5A5I3
593117.TGAM_1016	C5A5K6
593117.TGAM_1071	C5A5R1
593117.TGAM_1236	C5A676
593117.TGAM_1404	C5A6P4
593117.TGAM_1453	C5A6U3
593117.TGAM_1548	C5A738
593117.TGAM_1160	C5A600
593117.TGAM_1033	C5A5M3
593117.TGAM_1200	C5A640
593117.TGAM_1832	C5A1R5
593117.TGAM_1617	C5A7A7
593117.TGAM_1099	C5A5T9
593117.TGAM_1374	C5A6L4
593117.TGAM_1771	C5A1K4
593117.TGAM_1014	C5A5K4
593117.TGAM_1396	C5A6N6
593117.TGAM_1130	C5A5X0
593117.TGAM_1448	C5A6T8
593117.TGAM_1793	C5A1M6
593117.TGAM_1428	C5A6R8
593117.TGAM_1563	C5A753
593117.TGAM_1162	C5A602
593117.TGAM_0057	C5A2Q7
593117.TGAM_0328	C5A3L8
593117.TGAM_0612	C5A4F2
593117.TGAM_0376	C5A3R6
593117.TGAM_0387	C5A3S7
593117.TGAM_0605	C5A4E5
593117.TGAM_0353	C5A3P3
593117.TGAM_0638	C5A4H8
593117.TGAM_0082	C5A2T2
593117.TGAM_0368	C5A3Q8
593117.TGAM_1897	C5A1Y0
593117.TGAM_0313	C5A3K3
593117.TGAM_0601	C5A4E1
593117.TGAM_0327	C5A3L7
593117.TGAM_0369	C5A3Q9
593117.TGAM_0418	C5A3V8
593117.TGAM_0599	C5A4D9
593117.TGAM_2016	C5A299
593117.TGAM_1901	C5A1Y4
593117.TGAM_0211	C5A3A1
593117.TGAM_0203	C5A393
593117.TGAM_0243	C5A3D3
593117.TGAM_0926	C5A5B6
593117.TGAM_0043	C5A2P3
593117.TGAM_0681	C5A4M1
593117.TGAM_0807	C5A4Z7
593117.TGAM_0892	C5A582
593117.TGAM_0088	C5A2T8
593117.TGAM_0434	C5A3X4
593117.TGAM_0473	C5A413
593117.TGAM_0841	C5A531
593117.TGAM_0657	C5A4J7
593117.TGAM_0707	C5A4P7
593117.TGAM_0844	C5A534
593117.TGAM_0861	C5A551
593117.TGAM_2094	C5A2H7
593117.TGAM_1121	C5A5W1
593117.TGAM_0189	C5A379
593117.TGAM_0858	C5A548
593117.TGAM_1802	C5A1N5
593117.TGAM_0521	C5A461
593117.TGAM_0618	C5A4F8
593117.TGAM_0915	C5A5A5
593117.TGAM_0786	C5A4X6
593117.TGAM_1599	C5A789
593117.TGAM_0149	C5A339
593117.TGAM_0758	C5A4U8
593117.TGAM_0468	C5A408
593117.TGAM_1417	C5A6Q7
593117.TGAM_1359	C5A6J9
593117.TGAM_0644	C5A4I4
593117.TGAM_0267	C5A3F7
593117.TGAM_1655	C5A7E5
593117.TGAM_0911	C5A5A1
593117.TGAM_1439	C5A6S9
593117.TGAM_1300	C5A6E0
593117.TGAM_1302	C5A6E2
593117.TGAM_2126	C5A2W7
593117.TGAM_0022	C5A2M2
593117.TGAM_0186	C5A376
593117.TGAM_0262	C5A3F2
593117.TGAM_0287	C5A3H7
593117.TGAM_0303	C5A3J3
593117.TGAM_0661	C5A4K1
593117.TGAM_0780	C5A4X0
593117.TGAM_0783	C5A4X3
593117.TGAM_1361	C5A6K1
593117.TGAM_2098	C5A2I1
593117.TGAM_0214	C5A3A4
593117.TGAM_0954	C5A5E4
593117.TGAM_1351	C5A6J1
593117.TGAM_2106	C5A2I9
593117.TGAM_0032	C5A2N2
593117.TGAM_0309	C5A3J9
593117.TGAM_1346	C5A6I6
593117.TGAM_0118	C5A308
593117.TGAM_0436	C5A3X6
593117.TGAM_0673	C5A4L3
593117.TGAM_0845	C5A535
593117.TGAM_0028	C5A2M8
593117.TGAM_1892	C5A1X5
593117.TGAM_0080	C5A2T0
593117.TGAM_0085	C5A2T5
593117.TGAM_0016	C5A2L6
593117.TGAM_0909	C5A599
593117.TGAM_1343	C5A6I3
593117.TGAM_1513	C5A703
593117.TGAM_0083	C5A2T3
593117.TGAM_2157	C5A2K0
593117.TGAM_0236	C5A3C6
593117.TGAM_0272	C5A3G2
593117.TGAM_2092	C5A2H5
593117.TGAM_1656	C5A7E6
593117.TGAM_1899	C5A1Y2
593117.TGAM_1991	C5A274
593117.TGAM_0335	C5A3M5
593117.TGAM_0632	C5A4H2
593117.TGAM_0244	C5A3D4
593117.TGAM_0458	C5A3Z8
593117.TGAM_1165	C5A605
593117.TGAM_0665	C5A4K5
593117.TGAM_1837	C5A1S0
593117.TGAM_1947	C5A230
593117.TGAM_1965	C5A248
593117.TGAM_0720	C5A4R0
593117.TGAM_1478	C5A6W8
593117.TGAM_1858	C5A1U1
593117.TGAM_0128	C5A318
593117.TGAM_1134	C5A5X4
593117.TGAM_1072	C5A5R2
593117.TGAM_1350	C5A6J0
593117.TGAM_1086	C5A5S6
593117.TGAM_1431	C5A6S2
593117.TGAM_1065	C5A5Q5
593117.TGAM_1709	C5A7J9
593117.TGAM_1898	C5A1Y1
593117.TGAM_0888	C5A578
593117.TGAM_1075	C5A5R5
593117.TGAM_1479	C5A6W9
593117.TGAM_0062	C5A2R2
593117.TGAM_2140	C5A2Y1
593117.TGAM_1564	C5A754
593117.TGAM_1589	C5A779
593117.TGAM_0349	C5A3N9
593117.TGAM_1904	C5A1Y7
593117.TGAM_0360	C5A3Q0
593117.TGAM_0640	C5A4I0
593117.TGAM_0298	C5A3I8
593117.TGAM_0342	C5A3N2
593117.TGAM_0373	C5A3R3
593117.TGAM_0614	C5A4F4
593117.TGAM_0850	C5A540
593117.TGAM_0919	C5A5A9
593117.TGAM_0958	C5A5E8
593117.TGAM_0989	C5A5H9
593117.TGAM_0113	C5A303
593117.TGAM_0837	C5A527
593117.TGAM_2045	C5A2C8
593117.TGAM_0383	C5A3S3
593117.TGAM_0668	C5A4K8
593117.TGAM_0741	C5A4T1
593117.TGAM_0932	C5A5C2
593117.TGAM_0565	C5A4A5
593117.TGAM_0163	C5A353
593117.TGAM_0265	C5A3F5
593117.TGAM_0507	C5A447
593117.TGAM_0852	C5A542
593117.TGAM_0882	C5A572
593117.TGAM_1605	C5A795
593117.TGAM_1295	C5A6D5
593117.TGAM_1146	C5A5Y6
593117.TGAM_1762	C5A1J5
593117.TGAM_1213	C5A653
593117.TGAM_1724	C5A7L4
593117.TGAM_0363	C5A3Q3
593117.TGAM_0392	C5A3T2
593117.TGAM_2141	C5A2Y2
593117.TGAM_0933	C5A5C3
593117.TGAM_0996	C5A5I6
593117.TGAM_1028	C5A5L8
593117.TGAM_1407	C5A6P7
593117.TGAM_1588	C5A778
593117.TGAM_2133	C5A2X4
593117.TGAM_0346	C5A3N6
593117.TGAM_0166	C5A356
593117.TGAM_1276	C5A6B6
593117.TGAM_1329	C5A6G9
593117.TGAM_0121	C5A311
593117.TGAM_1168	C5A608
593117.TGAM_1235	C5A675
593117.TGAM_1862	C5A1U5
593117.TGAM_1532	C5A722
593117.TGAM_1551	C5A741
593117.TGAM_0372	C5A3R2
593117.TGAM_0591	C5A4D1
593117.TGAM_0432	C5A3X2
593117.TGAM_0519	C5A459
593117.TGAM_1278	C5A6B8
593117.TGAM_0971	C5A5G1
593117.TGAM_1198	C5A638
593117.TGAM_1437	C5A6S7
593117.TGAM_1766	C5A1J9
593117.TGAM_1094	C5A5T4
593117.TGAM_1706	C5A7J6
593117.TGAM_0606	C5A4E6
593117.TGAM_1111	C5A5V1
593117.TGAM_1833	C5A1R6
593117.TGAM_1157	C5A5Z7
593117.TGAM_0018	C5A2L8
593117.TGAM_2110	C5A2J3
593117.TGAM_0808	C5A4Z8
593117.TGAM_0941	C5A5D1
593117.TGAM_0225	C5A3B5
593117.TGAM_0669	C5A4K9
593117.TGAM_1063	C5A5Q3
593117.TGAM_0501	C5A441
593117.TGAM_1527	C5A717
593117.TGAM_1603	C5A793
593117.TGAM_1034	C5A5M4
593117.TGAM_1587	C5A777
593117.TGAM_1076	C5A5R6
593117.TGAM_1112	C5A5V2
593117.TGAM_1212	C5A652
593117.TGAM_1856	C5A1T9
593117.TGAM_1426	C5A6R6
593117.TGAM_1108	C5A5U8
593117.TGAM_1638	C5A7C8
593117.TGAM_1619	C5A7A9
593117.TGAM_1761	C5A1J4
593117.TGAM_1452	C5A6U2
593117.TGAM_1457	C5A6U7
593117.TGAM_0130	C5A320
593117.TGAM_1930	C5A213
593117.TGAM_0116	C5A307
593117.TGAM_0390	C5A3T0
593117.TGAM_0389	C5A3S9
593117.TGAM_0102	C5A2V2
593117.TGAM_0953	C5A5E3
593117.TGAM_1400	C5A6P0
593117.TGAM_1620	C5A7B0
593117.TGAM_0399	C5A3T9
593117.TGAM_0222	C5A3B2
593117.TGAM_0481	C5A421
593117.TGAM_0692	C5A4N2
593117.TGAM_0811	C5A501
593117.TGAM_1559	C5A749
593117.TGAM_1770	C5A1K3
593117.TGAM_1051	C5A5P1
593117.TGAM_1553	C5A743
593117.TGAM_0367	C5A3Q7
593117.TGAM_0883	C5A573
593117.TGAM_2067	C5A2F0
593117.TGAM_1331	C5A6H1
593117.TGAM_1743	C5A1H6
593117.TGAM_1794	C5A1M7
593117.TGAM_1816	C5A1P9
593117.TGAM_1854	C5A1T7
593117.TGAM_1195	C5A635
593117.TGAM_1591	C5A781
593117.TGAM_0528	C5A468
593117.TGAM_1809	C5A1P2
593117.TGAM_0234	C5A3C4
593117.TGAM_0884	C5A574
593117.TGAM_1001	C5A5J1
593117.TGAM_1818	C5A1Q1
593117.TGAM_1624	C5A7B4
593117.TGAM_1928	C5A211
593117.TGAM_1364	C5A6K4
593117.TGAM_0024	C5A2M4
593117.TGAM_0945	C5A5D5
593117.TGAM_0411	C5A3V1
593117.TGAM_0699	C5A4N9
593117.TGAM_1861	C5A1U4
593117.TGAM_1492	C5A6Y2
593117.TGAM_0340	C5A3N0
593117.TGAM_2148	C5A2Y9
593117.TGAM_1886	C5A1W9
593117.TGAM_0251	C5A3E1
593117.TGAM_0459	C5A3Z9
593117.TGAM_0493	C5A433
593117.TGAM_0514	C5A454
593117.TGAM_1590	C5A780
593117.TGAM_0358	C5A3P8
593117.TGAM_2027	C5A2B0
593117.TGAM_0453	C5A3Z3
593117.TGAM_0823	C5A513
593117.TGAM_1337	C5A6H7
593117.TGAM_2059	C5A2E2
593117.TGAM_0264	C5A3F4
593117.TGAM_0440	C5A3Y0
593117.TGAM_0825	C5A515
593117.TGAM_0991	C5A5I1
593117.TGAM_1288	C5A6C8
593117.TGAM_0320	C5A3L0
593117.TGAM_0788	C5A4X8
593117.TGAM_0255	C5A3E5
593117.TGAM_1208	C5A648
593117.TGAM_1493	C5A6Y3
593117.TGAM_1138	C5A5X8
593117.TGAM_0645	C5A4I5
593117.TGAM_1464	C5A6V4
593117.TGAM_1789	C5A1M2
593117.TGAM_1270	C5A6B0
593117.TGAM_1463	C5A6V3
593117.TGAM_1866	C5A1U9
593117.TGAM_1147	C5A5Y7
593117.TGAM_1826	C5A1Q9
593117.TGAM_1651	C5A7E1
593117.TGAM_1881	C5A1W4
593117.TGAM_1916	C5A1Z9
593117.TGAM_1369	C5A6K9
593117.TGAM_1730	C5A1G3
593117.TGAM_1377	C5A6L7
593117.TGAM_0425	C5A3W5
593117.TGAM_0624	C5A4G4
593117.TGAM_1459	C5A6U9
593117.TGAM_1031	C5A5M1
593117.TGAM_1102	C5A5U2
593117.TGAM_0075	C5A2S5
593117.TGAM_0698	C5A4N7
593117.TGAM_0123	C5A313
593117.TGAM_0332	C5A3M2
593117.TGAM_2099	C5A2I2
593117.TGAM_0705	C5A4P5
593117.TGAM_1310	C5A6F0
593117.TGAM_0039	C5A2N9
593117.TGAM_0049	C5A2P9
593117.TGAM_0594	C5A4D4
593117.TGAM_0451	C5A3Z1
593117.TGAM_0979	C5A5G9
593117.TGAM_1096	C5A5T6
593117.TGAM_1179	C5A619
593117.TGAM_0351	C5A3P1
593117.TGAM_1895	C5A1X8
593117.TGAM_0140	C5A330
593117.TGAM_0380	C5A3S0
593117.TGAM_0033	C5A2N3
593117.TGAM_1317	C5A6F7
593117.TGAM_2071	C5A2F4
593117.TGAM_1093	C5A5T3
593117.TGAM_1215	C5A655
593117.TGAM_1272	C5A6B2
593117.TGAM_1960	C5A243
593117.TGAM_1807	C5A1P0
593117.TGAM_1117	C5A5V7
593117.TGAM_0607	C5A4E7
593117.TGAM_1935	C5A218
593117.TGAM_0081	C5A2T1
593117.TGAM_1888	C5A1X1
593117.TGAM_2009	C5A292
593117.TGAM_2147	C5A2Y8
