208964.PA1024	Q9I4V0
208964.PA3339	A0A077JSV6
208964.PA0987	A0A077JU04
208964.PA3130	A0A0C6F6U0
208964.PA2206	A0A0C6FAM5
208964.PA5044	Q51351
208964.PA2395	Q8G931
208964.PA1760	A0A069Q033
208964.PA5167	A0A069Q0H2
208964.PA1764	A0A069Q8C8
208964.PA0565	A0A069Q9N7
208964.PA5344	A0A071KTW5
208964.PA4076	A0A071KVF9
208964.PA1533	A0A071KXP1
208964.PA1550	A0A071L3L2
208964.PA0742	A0A071L6X4
208964.PA3397	A0A071LCT3
208964.PA3752	A0A071LDA7
208964.PA0375	A0A072ZG76
208964.PA1835	A0A072ZGK0
208964.PA1343	A0A072ZIH8
208964.PA0746	A0A072ZLS2
208964.PA4427	A0A072ZPI1
208964.PA4118	A0A072ZPW9
208964.PA3565	A0A072ZQ12
208964.PA3662	A0A072ZQP1
208964.PA2847	A0A072ZS62
208964.PA0060	A0A072ZSC7
208964.PA2981	A0A072ZSZ2
208964.PA1242	A0A072ZYS5
208964.PA0802	A0A077JPI5
208964.PA2575	A0A077JVE0
208964.PA1919	A0A077JWY1
208964.PA3986	A0A080VL99
208964.PA3476	D2EDP1
208964.PA4874	A0A069Q1F4
208964.PA4830	A0A069Q2E6
208964.PA0325	A0A069QIA4
208964.PA3849	A0A071KUL5
208964.PA3021	A0A071KYB5
208964.PA4714	A0A071KYQ7
208964.PA2592	A0A071L0Q1
208964.PA5079	A0A071L3W3
208964.PA2994	A0A071L3Z2
208964.PA1769	A0A071L576
208964.PA3899	A0A072ZEB6
208964.PA0395	A0A072ZG60
208964.PA0015	A0A072ZH04
208964.PA1579	A0A072ZI95
208964.PA5027	A0A072ZK86
208964.PA4744	A0A072ZKU7
208964.PA0771	A0A072ZMY9
208964.PA2587	A0A072ZPF3
208964.PA2497	A0A072ZQP7
208964.PA3607	A0A072ZRE2
208964.PA3640	A0A073A2T4
208964.PA3594	A0A073A2X4
208964.PA3457	A0A073A394
208964.PA4532	A0A077JR71
208964.PA3256	A0A077JSL4
208964.PA3628	A0A077JWC3
208964.PA1695	A0A077JXI9
208964.PA2689	A0A081HG37
208964.PA3139	A0A0C6EEA3
208964.PA4309	A0A0C7CSN6
208964.PA4250	E2RXT8
208964.PA1714	P95429
208964.PA0988	Q1W4U0
208964.PA5381	A0A069Q685
208964.PA3185	A0A072ZRA8
208964.PA4280	A0A080VK66
208964.PA1334	A0A0C7D462
208964.PA0707	B0FP50
208964.PA2382	A0A069PW73
208964.PA4802	A0A069Q2H1
208964.PA0767	A0A069Q5C5
208964.PA5410	A0A069Q635
208964.PA3637	A0A069Q6H8
208964.PA3042	A0A069QB17
208964.PA0132	A0A069QET9
208964.PA2708	A0A071KZ88
208964.PA0102	A0A072ZH59
208964.PA5235	A0A072ZJ02
208964.PA1548	A0A072ZJ33
208964.PA2202	A0A072ZMH2
208964.PA2551	A0A072ZQR6
208964.PA2596	A0A077JUL9
208964.PA4679	A0A077JX14
208964.PA4547	A0A0C7CZB0
208964.PA0510	P95417
208964.PA5443	Q9L7T3
208964.PA2358	A0A069PW48
208964.PA0702	A0A069PXM8
208964.PA2339	A0A069PYT4
208964.PA3976	A0A069Q2L5
208964.PA3714	A0A069Q8H5
208964.PA2908	A0A069QE51
208964.PA3806	A0A069QEK8
208964.PA2038	A0A069QHA7
208964.PA0437	A0A069QHX8
208964.PA0461	A0A071KVX3
208964.PA1832	A0A071KVY6
208964.PA0457	A0A071L0W3
208964.PA5046	A0A071L4M6
208964.PA4993	A0A071LB46
208964.PA4090	A0A072ZCR3
208964.PA4142	A0A072ZEY0
208964.PA4145	A0A072ZEY2
208964.PA0411	A0A072ZF24
208964.PA1801	A0A072ZHR6
208964.PA1778	A0A072ZHT6
208964.PA5257	A0A072ZIZ5
208964.PA4482	A0A072ZPK4
208964.PA3654	A0A072ZPX9
208964.PA3688	A0A072ZR99
208964.PA5065	A0A072ZWC6
208964.PA3095	A0A073A4L8
208964.PA3947	A0A077JM58
208964.PA4014	A0A077JMD4
208964.PA3933	A0A077JML5
208964.PA3642	A0A077JNW8
208964.PA0795	A0A077JPT6
208964.PA0768	A0A077JQ14
208964.PA3168	A0A077JSQ8
208964.PA2872	A0A077JTS1
208964.PA0835	A0A077JUC6
208964.PA4948	A0A077K585
208964.PA3957	A0A077SYZ1
208964.PA2595	A0A081HGD3
208964.PA3477	A9JPX4
208964.PA1111	Q76LI2
208964.PA5130	A0A069Q0L3
208964.PA5337	A0A069Q227
208964.PA3805	A0A069Q682
208964.PA5339	A0A069QB33
208964.PA0231	A0A069QDA7
208964.PA4463	A0A071L218
208964.PA2240	A0A071L7E5
208964.PA4366	A0A072ZEC2
208964.PA0532	A0A072ZFV2
208964.PA4994	A0A072ZKC7
208964.PA1213	A0A072ZLA1
208964.PA4251	A0A072ZMU2
208964.PA1033	A0A072ZMU4
208964.PA2129	A0A072ZNW4
208964.PA4502	A0A072ZPM6
208964.PA3281	A0A072ZRS4
208964.PA0137	A0A077JJ70
208964.PA0861	A0A077JPN1
208964.PA3295	A0A077JRX8
208964.PA3119	A0A077JST6
208964.PA1459	A0A077JY15
208964.PA2720	A0A081HG07
208964.PA2244	A0A0C6EHW5
208964.PA3731	A0A0C7D1T3
208964.PA2960	Q51538
208964.PA3582	A0A069Q6B3
208964.PA4896	A0A071KSM5
208964.PA1963	A0A071KVX8
208964.PA5438	A0A071KWR3
208964.PA3888	A0A072ZD71
208964.PA3573	A0A072ZRG4
208964.PA0324	A0A077JJX1
208964.PA3764	A0A077JMS0
208964.PA2585	A0A077JVL2
208964.PA4958	A0A077JXX3
208964.PA0485	A0A080VPX1
208964.PA4422	A0A0A8RHG8
208964.PA3936	A0A0C7D1Q0
208964.PA4762	A0A069Q2K4
208964.PA0107	A0A069QER2
208964.PA2754	A0A071L0D5
208964.PA3101	A0A077JSJ6
208964.PA2511	A0A077JUV5
208964.PA1913	A0A077K228
208964.PA0569	A0A080VTB1
208964.PA0631	Q9S564
208964.PA5098	A0A069Q1C0
208964.PA4163	A0A069Q275
208964.PA3122	A0A069QBB0
208964.PA0216	A0A069QLC1
208964.PA3210	A0A071KVM7
208964.PA0163	A0A071KXG0
208964.PA0665	A0A071KZB2
208964.PA0560	A0A071KZI3
208964.PA1421	A0A071KZY2
208964.PA3979	A0A071L1I0
208964.PA4238	A0A071L3E8
208964.PA0606	A0A071L4X1
208964.PA4133	A0A071LDU2
208964.PA4962	A0A072ZJL6
208964.PA4795	A0A072ZJV2
208964.PA1440	A0A072ZK43
208964.PA0681	A0A072ZNN5
208964.PA2619	A0A072ZPH3
208964.PA2959	A0A072ZRN6
208964.PA3599	A0A073A2X1
208964.PA3223	A0A073A4F2
208964.PA4264	A0A077JLC3
208964.PA3652	A0A077JNV4
208964.PA0118	A0A077JNZ7
208964.PA3230	A0A077JQA7
208964.PA2749	A0A077JTY6
208964.PA1817	A0A077JV21
208964.PA2094	A0A077JW21
208964.PA1690	A0A077JXJ5
208964.PA5297	A0A077JYZ4
208964.PA5391	A0A077JZ80
208964.PA5311	A0A077K108
208964.PA3259	A0A080VDM0
208964.PA4356	A0A080VPV4
208964.PA3053	A0A080VQ00
208964.PA4440	A0A081HTD6
208964.PA0351	A0A0A8RCB5
208964.PA2521	A0A0C6ETG9
208964.PA0830	A0A0C7AC73
208964.PA3478	D2EDM1
208964.PA2279	O68022
208964.PA1774	Q9ZIH1
208964.PA1376	A0A069Q2G9
208964.PA4494	A0A069Q6Y2
208964.PA3381	A0A069Q7Y8
208964.PA3753	A0A069Q8K5
208964.PA0222	A0A069QCI2
208964.PA2017	A0A071KZS8
208964.PA0663	A0A071L047
208964.PA4333	A0A071L0G9
208964.PA1484	A0A071L9H1
208964.PA1925	A0A072ZBS6
208964.PA0496	A0A072ZER3
208964.PA0170	A0A072ZHB4
208964.PA3971	A0A072ZQ55
208964.PA2698	A0A072ZQY1
208964.PA3084	A0A072ZS15
208964.PA0942	A0A072ZZG7
208964.PA0779	A0A072ZZU6
208964.PA1991	A0A073A034
208964.PA3813	A0A073A249
208964.PA4233	A0A077JQY4
208964.PA2990	A0A077JYG6
208964.PA2642	A0A077JZZ4
208964.PA2543	A0A077K0C8
208964.PA4920	A0A081HRW8
208964.PA1985	A0A087L8P6
208964.PA2574	I7AVB4
208964.PA1852	A0A069PZE1
208964.PA4724.1	A0A069Q2E9
208964.PA1069	A0A069Q443
208964.PA5403	A0A069Q889
208964.PA0318	A0A069Q9G9
208964.PA0220	A0A069QLC5
208964.PA1890	A0A071KT77
208964.PA5129	A0A071KZU1
208964.PA0558	A0A071L0K7
208964.PA2675	A0A071L1A6
208964.PA4563	A0A072ZDZ9
208964.PA2767	A0A072ZTS3
208964.PA2973	A0A073A4X2
208964.PA5368	A0A077K173
208964.PA4985	A0A080VN85
208964.PA0700	A0A081HFC8
208964.PA3785	A0A0C6ENF7
208964.PA2348	A0A0C7AGV0
208964.PA4258	E2RXT3
208964.PA3878	O54040
208964.PA5467	A0A069PWZ3
208964.PA4432	A0A069PXX1
208964.PA0877	A0A069Q4Y3
208964.PA3003	A0A069QDG1
208964.PA1349	A0A071KSI5
208964.PA3629	A0A071KZP1
208964.PA2533	A0A071L1E3
208964.PA5091	A0A072ZK60
208964.PA1127	A0A072ZLB8
208964.PA2627	A0A072ZP03
208964.PA2855	A0A072ZT72
208964.PA0739	A0A077JQ45
208964.PA3524	A0A077JR58
208964.PA2743	A0A077JU34
208964.PA4217	A0A0C6ELV1
208964.PA0448	A0A0C6EQD3
208964.PA1656	A0A0C7AFB1
208964.PA0563	A0A069Q9V3
208964.PA0069	A0A069QKW1
208964.PA2711	A0A071KTI0
208964.PA1647	A0A072ZIU9
208964.PA0896	A0A072ZN39
208964.PA0349	A0A077JHI3
208964.PA3991	A0A077JRM8
208964.PA3671	A0A080VFJ0
208964.PA1558	A0A0C6EX33
208964.PA1247	A0A0C7D478
208964.PA5558	A0A069PWP4
208964.PA0688	A0A069PXK0
208964.PA1305	A0A069Q0L0
208964.PA1542	A0A069Q0V4
208964.PA5103	A0A069Q1B5
208964.PA4891	A0A069QAH8
208964.PA2692	A0A069QAL4
208964.PA1269	A0A071KVD4
208964.PA0404	A0A071KVE0
208964.PA3250	A0A071L1Z6
208964.PA4761	A0A071L210
208964.PA4449	A0A072ZDB7
208964.PA3913	A0A072ZFG0
208964.PA1750	A0A072ZHU5
208964.PA1021	A0A072ZLE2
208964.PA0934	A0A072ZLF8
208964.PA0694	A0A072ZLU7
208964.PA4094	A0A072ZPY3
208964.PA2487	A0A072ZQP4
208964.PA2817	A0A072ZS80
208964.PA3442	A0A073A3B0
208964.PA3974	A0A077JMH0
208964.PA3606	A0A077JS24
208964.PA5163	A0A077K0B4
208964.PA5020	A0A077K5F9
208964.PA5296	A0A077K6N5
208964.PA4309	A0A080VRZ7
208964.PA3212	A0A081HK33
208964.PA2524	M4NAR4
208964.PA0674	O69004
208964.PA2404	Q8G8Q0
208964.PA5495	A0A069PXS0
208964.PA4731	A0A069Q1T4
208964.PA4129	A0A069Q5I6
208964.PA5378	A0A069Q875
208964.PA2978	A0A069QAV5
208964.PA3973	A0A069QBL0
208964.PA2616	A0A069QCQ9
208964.PA3625	A0A069QFD8
208964.PA2951	A0A069QJP2
208964.PA3055	A0A071KZS5
208964.PA1006	A0A071L1N0
208964.PA1745	A0A071L1Z0
208964.PA4461	A0A071L2Z5
208964.PA3472	A0A071L396
208964.PA4673	A0A071LGE9
208964.PA0876	A0A072ZNB4
208964.PA0709	A0A072ZNL3
208964.PA3446	A0A072ZQA6
208964.PA3586	A0A072ZQS5
208964.PA0217	A0A072ZSR4
208964.PA3793	A0A073A2F4
208964.PA0975	A0A077JNS4
208964.PA2912	A0A077JTN2
208964.PA1614	A0A077JXP4
208964.PA0862	A0A081HEW9
208964.PA5194	A0A081HLG1
208964.PA0357	A0A0C7D3P6
208964.PA0712	A0A069PWK9
208964.PA4661	A0A069PYF8
208964.PA2982	A0A069QBG2
208964.PA0140	A0A069QL38
208964.PA5007	A0A071KVE9
208964.PA2934	A0A071KVQ1
208964.PA3265	A0A071KXK1
208964.PA1857	A0A071L2B5
208964.PA4576	A0A071L3X4
208964.PA4529	A0A071LGD4
208964.PA0744	A0A0C6ENP8
208964.PA4224	A0A0C7CT39
208964.PA4073	A0A0C7CW98
208964.PA4418	Q51504
208964.PA5493	A0A069PX19
208964.PA2465	A0A069PZJ9
208964.PA5504	A0A069PZR3
208964.PA5333	A0A069Q2W1
208964.PA5052	A0A069Q3I0
208964.PA1074	A0A069Q446
208964.PA0832	A0A069Q4S3
208964.PA0356	A0A069Q9C1
208964.PA0130	A0A069QCW7
208964.PA3796	A0A069QEK1
208964.PA2946	A0A069QJN7
208964.PA4440	A0A071L3S3
208964.PA1564	A0A071L904
208964.PA4360	A0A072ZEA1
208964.PA4120	A0A072ZEZ8
208964.PA3915	A0A072ZFF5
208964.PA5309	A0A072ZIT0
208964.PA4934	A0A072ZJM4
208964.PA1156	A0A072ZKL0
208964.PA5200	A0A072ZUN0
208964.PA0627	A0A077JI46
208964.PA0786	A0A077JUG9
208964.PA5168	A0A077K0B9
208964.PA3985	A0A081HNY4
208964.PA1862	A0A069PZF0
208964.PA4951	A0A069Q255
208964.PA1123	A0A069Q4R5
208964.PA2108	A0A069Q822
208964.PA2645	A0A069QAA9
208964.PA2943	A0A069QBC0
208964.PA2897	A0A069QBG4
208964.PA2859	A0A069QBZ0
208964.PA0192	A0A069QD53
208964.PA0417	A0A069QHZ8
208964.PA0024	A0A071KXF5
208964.PA3455	A0A071KYJ3
208964.PA4755	A0A071L2J9
208964.PA3480	A0A071L3A0
208964.PA1741	A0A071L729
208964.PA4348	A0A072ZC65
208964.PA4629	A0A072ZDM4
208964.PA4330	A0A072ZE76
208964.PA3895	A0A072ZFG9
208964.PA5377	A0A072ZGH8
208964.PA1360	A0A072ZIF2
208964.PA5152	A0A072ZJ89
208964.PA4725	A0A072ZL06
208964.PA0770	A0A072ZLQ3
208964.PA4472	A0A072ZPJ9
208964.PA4536	A0A072ZPP8
208964.PA3558	A0A072ZRH3
208964.PA4708	A0A072ZX63
208964.PA0070	A0A077JJ19
208964.PA1199	A0A077JMW6
208964.PA0749	A0A077JQ34
208964.PA4464	A0A077JQ77
208964.PA1422	A0A077JWD9
208964.PA1892	A0A077JWN7
208964.PA1889	A0A077K250
208964.PA3602	A0A087L9J6
208964.PA0025	H2FH50
208964.PA5056	Q51513
208964.PA3158	Q7B7A2
208964.PA4538	A0A069PYL4
208964.PA5569	A0A069PZE7
208964.PA3694	A0A069Q8G0
208964.PA0312	A0A069QC51
208964.PA4256	A0A069QEB6
208964.PA3711	A0A069QEQ3
208964.PA2904	A0A071KSC6
208964.PA4628	A0A071L1M4
208964.PA3977	A0A071L2N4
208964.PA4272	A0A072ZCB6
208964.PA1640	A0A072ZTR2
208964.PA0382	A0A077JHK0
208964.PA3254	A0A077JQ74
208964.PA4308	A0A077JUW0
208964.PA1663	A0A077JVP6
208964.PA4670	A0A077JYT8
208964.PA5474	A0A077T214
208964.PA1708	A0A080VJC4
208964.PA2919	A0A080VL94
208964.PA4320	A0A080VR18
208964.PA1980	A0A087L896
208964.PA1942	A0A087L8Y3
208964.PA4407	A0A0C7AC89
208964.PA2322	A0A0C7AHC1
208964.PA2405	Q7B468
208964.PA4505	A0A069PYH4
208964.PA1190	A0A069Q3Q9
208964.PA1555	A0A069Q965
208964.PA0330	A0A069Q9L6
208964.PA3177	A0A069QBQ3
208964.PA0052	A0A071KXR8
208964.PA0120	A0A071L984
208964.PA1813	A0A072ZHR5
208964.PA4918	A0A077JZR1
208964.PA5232	A0A077K0J5
208964.PA1702	O30535
208964.PA1587	K4HZ55
208964.PA1661	A0A072ZI43
208964.PA4369	A0A069PZ66
208964.PA4701	A0A069Q4H8
208964.PA5392	A0A069Q5I1
208964.PA2493	A0A069QB79
208964.PA3104	A0A069QBJ8
208964.PA2747	A0A069QC50
208964.PA4244	A0A071L3F2
208964.PA3766	A0A071LB96
208964.PA4870	A0A071LCH9
208964.PA4646	A0A072ZBP2
208964.PA1895	A0A072ZHI6
208964.PA3126	A0A072ZRD8
208964.PA0256	A0A077JJJ3
208964.PA4057	A0A077JM90
208964.PA1085	A0A077JNL5
208964.PA5561	A0A077JZX6
208964.PA5408	A0A080VQV5
208964.PA2694	A0A0C6ESX2
208964.PA5503	A0A069PX27
208964.PA2477	A0A069PZC1
208964.PA4044	A0A069Q374
208964.PA0552	A0A069Q9W5
208964.PA4846	A0A071KT56
208964.PA1575	A0A071KX83
208964.PA2032	A0A071L1G8
208964.PA1793	A0A071L3S5
208964.PA2966	A0A071LA09
208964.PA1492	A0A071LDZ8
208964.PA4012	A0A072ZF79
208964.PA5451	A0A072ZGN2
208964.PA5250	A0A072ZIY7
208964.PA4936	A0A072ZJM9
208964.PA2159	A0A072ZME6
208964.PA3695	A0A073A2P6
208964.PA1017	A0A077JNC2
208964.PA2947	A0A077JR59
208964.PA2823	A0A077JU88
208964.PA2006	A0A077JUK3
208964.PA1634	A0A077JXN2
208964.PA5448	A0A0C7AQZ2
208964.PA2862	P95419
208964.PA3148	Q7B799
208964.PA2367	A0A069PXC4
208964.PA4637	A0A069PZG2
208964.PA1593	A0A069Q032
208964.PA3982	A0A069Q3A4
208964.PA1477	A0A069Q3U7
208964.PA0856	A0A069Q5L8
208964.PA4064	A0A069Q5Q6
208964.PA3539	A0A069Q701
208964.PA0805	A0A071KSG9
208964.PA0760	A0A071KSK8
208964.PA4345	A0A071KTT4
208964.PA4644	A0A071L0M6
208964.PA1557	A0A071L2F7
208964.PA1106	A0A071L9R2
208964.PA3919	A0A072ZEA0
208964.PA3983	A0A072ZFA4
208964.PA0179	A0A072ZHB7
208964.PA5157	A0A072ZJ83
208964.PA5128	A0A072ZJB5
208964.PA1078	A0A072ZKS5
208964.PA1289	A0A072ZM83
208964.PA3916	A0A072ZQ87
208964.PA3403	A0A072ZQD5
208964.PA3741	A0A072ZQK7
208964.PA3697	A0A072ZQM5
208964.PA0550	A0A072ZR27
208964.PA3043	A0A072ZRI8
208964.PA3133	A0A072ZSL0
208964.PA3007	A0A073A4T8
208964.PA4250	A0A077JLH8
208964.PA2943	A0A077JR66
208964.PA3730	A0A077JRQ0
208964.PA2869	A0A077JTD2
208964.PA2320	A0A077JTN8
208964.PA2685	A0A077JU83
208964.PA1714	A0A077JXH6
208964.PA5248	A0A077K6E1
208964.PA4080	A0A080VSP7
208964.PA1162	A0A0C6ELV2
208964.PA4245	E2RXU1
208964.PA5161	G3XCM4
208964.PA0637	Q9S561
208964.PA2484	A0A069PYK1
208964.PA2317	A0A069PZ15
208964.PA5224	A0A069Q0X9
208964.PA4760	A0A069Q4D1
208964.PA3330	A0A069Q716
208964.PA3204	A0A069Q9F2
208964.PA2741	A0A069QEE3
208964.PA0358	A0A069QI62
208964.PA4784	A0A071KWN8
208964.PA0542	A0A071KWT2
208964.PA1065	A0A071LD51
208964.PA1970	A0A072ZBV3
208964.PA4267	A0A072ZCB3
208964.PA0444	A0A072ZF00
208964.PA0363	A0A072ZG94
208964.PA1710	A0A072ZHZ6
208964.PA2562	A0A072ZN85
208964.PA4354	A0A072ZPE9
208964.PA3738	A0A072ZPS2
208964.PA3463	A0A072ZQ71
208964.PA2532	A0A072ZQR0
208964.PA2718	A0A072ZQY8
208964.PA5553	A0A072ZS74
208964.PA0858	A0A072ZZP2
208964.PA2495	A0A073A194
208964.PA0264	A0A077JH64
208964.PA0157	A0A077JP41
208964.PA3213	A0A077JSN6
208964.PA4900	A0A077K0M1
208964.PA2001	A0A0C6FBD0
208964.PA0653	O05133
208964.PA1460	O87126
208964.PA5262	P77568
208964.PA0598	Q9X4P1
208964.PA4518	A0A069PYN6
208964.PA4415	A0A069PYV0
208964.PA4749	A0A069Q2C2
208964.PA4077	A0A069Q3L8
208964.PA1493	A0A069Q3Z9
208964.PA0837	A0A069Q4T1
208964.PA0957	A0A069Q5T0
208964.PA3287	A0A069Q9Q1
208964.PA0093	A0A069QCF0
208964.PA2651	A0A071KVK4
208964.PA1423	A0A071L062
208964.PA3609	A0A071L0L0
208964.PA4451	A0A071L3E0
208964.PA3904	A0A072ZEB2
208964.PA1753	A0A072ZHV7
208964.PA1308	A0A072ZIK4
208964.PA5105	A0A072ZJD6
208964.PA4566	A0A072ZP77
208964.PA5568	A0A072ZS83
208964.PA1771	A0A072ZT59
208964.PA3460	A0A077JPH1
208964.PA1763	A0A077JXE3
208964.PA4579	A0A081HJ91
208964.PA3389	A0A0C6EDE4
208964.PA0707	B0FP69
208964.PA0978	B3G2L6
208964.PA3145	Q7B798
208964.PA5459	A0A069Q669
208964.PA5312	A0A069Q9B8
208964.PA3374	A0A073A3G3
208964.PA5066	A0A069Q1F5
208964.PA1682	A0A069Q2A0
208964.PA0921	A0A069Q5U2
208964.PA3440	A0A069Q832
208964.PA2815	A0A069QBH9
208964.PA0601	A0A069QIR8
208964.PA5229	A0A071KXC5
208964.PA4302	A0A071KZV8
208964.PA1502	A0A071L0Z8
208964.PA4345	A0A072ZE87
208964.PA4192	A0A072ZET7
208964.PA4773	A0A072ZJW8
208964.PA3102	A0A072ZSL5
208964.PA3992	A0A077JM08
208964.PA2422	A0A077JVY9
208964.PA4983	A0A077K0W9
208964.PA3380	A0A077SZE7
208964.PA0459	A0A080VP56
208964.PA0025	H2FH53
208964.PA1772	A0A069Q1S2
208964.PA4147	A0A069Q2Y1
208964.PA2804	A0A069QCG4
208964.PA2433	A0A071KWT4
208964.PA0290	A0A071KWZ8
208964.PA4017	A0A071L7C1
208964.PA3907	A0A072ZD56
208964.PA0576	A0A072ZFS4
208964.PA1677	A0A072ZIR4
208964.PA3023	A0A072ZRJ9
208964.PA3120	A0A073A4J2
208964.PA4642	A0A077JQJ2
208964.PA2785	A0A077JTV0
208964.PA5522	A0A080VRN4
208964.PA4126	A0A081HJP7
208964.PA4446	A5JJ04
208964.PA0291	Q51510
208964.PA5109	A0A069Q3B1
208964.PA1084	A0A069Q453
208964.PA3820	A0A071KZ92
208964.PA3437	A0A072ZQB2
208964.PA0475	A0A072ZR73
208964.PA0803	A0A072ZZT2
208964.PA2239	A0A077JVJ5
208964.PA3930	A0A077SYW5
208964.PA5506	A0A0C6F9J7
208964.PA0527	Q51441
208964.PA0269	A0A071KVK0
208964.PA3451	A0A071LB62
208964.PA4215	A0A072ZMR0
208964.PA2409	A0A073A122
208964.PA4431	A0A069Q0N5
208964.PA1718	A0A069Q1L4
208964.PA3780	A0A071KS33
208964.PA4907	A0A071KTD3
208964.PA4519	A0A071L4A1
208964.PA4262	A0A072ZCB1
208964.PA5557	A0A072ZFT9
208964.PA1803	A0A072ZHS3
208964.PA4883	A0A072ZKN4
208964.PA2271	A0A072ZMS9
208964.PA2707	A0A072ZP73
208964.PA0276	A0A077JPG8
208964.PA3553	A0A080VKR7
208964.PA2160	A0A0C6EV32
208964.PA3922	A0A0C7ANK3
208964.PA1157	A0A072ZYZ8
208964.PA2856	A0A0C6F7I8
208964.PA1018	Q9LBK1
208964.PA3380	A0A072ZQC1
208964.PA2358	A0A0A8RSV7
208964.PA2686	A0A0A8RU67
208964.PA4352	A0A069PZ05
208964.PA2306	A0A071KUM1
208964.PA0806	A0A0C7CV83
208964.PA0009	A0A072ZS90
208964.PA1986	A0A087L8C6
208964.PA0807	A0A0C6F940
208964.PA1463	O87129
208964.PA0597	Q9X4P0
208964.PA3217	A0A069Q7K2
208964.PA4855	A0A0C6ERM7
208964.PA0720	A0A0C6F4Q9
208964.PA1180	G9JL90
208964.PA0630	A0A072ZFM4
208964.PA0658	A0A080VJQ0
208964.PA5531	A0A069PY58
208964.PA2843	A0A0C6ERN1
208964.PA2067	A0A0C6EVJ0
208964.PA3580	Q51388
208964.PA1956	A0A072ZBU4
208964.PA1207	A0A072ZYV2
208964.PA2327	A0A073A0V6
208964.PA4840	A0A071L0E3
208964.PA0505	A0A072ZFY0
208964.PA4138	A0A081HJQ9
208964.PA0978	A0A0C6EJ70
208964.PA4118	Q51419
208964.PA4209	A0A080VPA1
208964.PA1581	A0A0A8RQD1
208964.PA2203	A0A072ZP26
208964.PA3589	A0A080VCL6
208964.PA2789	A0A069QC15
208964.PA3101	A0A072ZRF4
208964.PA4128	A0A081HJP9
208964.PA0425	A0A0C7D2U2
208964.PA3790	P72121
208964.PA4110	Q4H482
208964.PA2661	A0A069QCN0
208964.PA1424	A0A072ZK54
208964.PA3532	A0A080VP64
208964.PA4914	A0A080VKF4
208964.PA2394	Q5DIQ0
208964.PA3676	A0A072ZPU6
208964.PA4414	A0A0C7CYE6
208964.PA0764	B3F878
208964.PA4860	A0A072ZWS8
208964.PA3430	A0A080VUQ8
208964.PA0673	A0A0C6F9S4
208964.PA3801	A0A072ZR25
208964.PA3715	A0A071KZP7
208964.PA5075	A0A072ZWB9
208964.PA2330	A0A0C6F454
208964.PA2145	A0A0A8RML4
208964.PA1205	A0A0C7D450
208964.PA3024	A0A081HMI9
208964.PA4573	A0A072ZDY6
208964.PA1472	A0A069Q4A4
208964.PA0928	O31138
208964.PA0949	A0A072ZMI6
208964.PA2419	A0A073A130
208964.PA3369	A0A0A8RBS9
208964.PA4581	A0A0C7CYZ0
208964.PA3683	A0A072ZRA2
208964.PA0028	A0A069PXU2
208964.PA3228	A0A0C6EDZ1
208964.PA3677	A0A069Q6H1
208964.PA0666	A0A080VLF4
208964.PA3021	A0A072ZS27
208964.PA3862	A0A080VKM9
208964.PA4599	Q51395
208964.PA1138	A0A069Q4S9
208964.PA4230	A0A072ZBA8
208964.PA1840	A0A0A8RQM7
208964.PA2088	A0A069Q7Z7
208964.PA5159	A0A069Q9Q2
208964.PA3286	A0A0C6EUP2
208964.PA2140	A0A0C6EZV4
208964.PA1350	A0A080W0B2
208964.PA0118	A0A071KTF5
208964.PA1965	A0A071LA22
208964.PA5343	A0A069Q2V0
208964.PA4354	A0A0B0CPF9
208964.PA2491	E7DZ84
208964.PA5310	A0A072ZUD4
208964.PA5225	A0A072ZJ12
208964.PA2605	A0A080VKA7
208964.PA5010	A0A069QA96
208964.PA0737	A0A072ZLS9
208964.PA2809	A0A0C7CTK1
208964.PA4027	A0A069Q3R1
208964.PA0802	A0A080VX61
208964.PA1452	A0A069Q485
208964.PA1488	A0A072ZL60
208964.PA4446	A0A080VLC5
208964.PA3619	A0A0C6EPF8
208964.PA2531	G3XCK5
208964.PA3181	A0A080W0D9
208964.PA4136	A0A081HJQ7
208964.PA4906	A0A0C6FJ64
208964.PA1871	A0A072ZHM5
208964.PA3552	A0A072ZQT9
208964.PA1739	A0A080VD88
208964.PA4299	A0A080VJL7
208964.PA5425	A0A080V9V0
208964.PA4184	A0A0C7CS42
208964.PA3110	G3XCL9
208964.PA4654	A0A0C7CRQ8
208964.PA2880	A0A0C7D0E3
208964.PA4587	A0A072ZBZ0
208964.PA3776	A0A072ZQI9
208964.PA0582	A0A0A8R9X2
208964.PA1861	A0A0C6F0Q1
208964.PA4742	A0A0A8RHH2
208964.PA1121	A0A0C6EM33
208964.PA2340	A0A072ZNZ7
208964.PA0521	A0A072ZR48
208964.PA4908	A0A072ZKK4
208964.PA0766	Q57155
208964.PA2788	A0A069QEB8
208964.PA4421	A0A072ZC91
208964.PA2974	A0A072ZRM7
208964.PA1100	A0A069Q4P5
208964.PA5342	A0A072ZIQ4
208964.PA4007	A0A0C6EB78
208964.PA0128	A0A071L2C9
208964.PA2606	A0A080VV42
208964.PA5355	A0A081HH16
208964.PA4998	A0A069Q156
208964.PA3461	A0A080VPP5
208964.PA3180	A0A071KU61
208964.PA3616	A0A080VGV6
208964.PA3404	A0A0C6EDD0
208964.PA2053	A0A0C6F093
208964.PA0044	A0A0C7CY17
