10090.ENSMUSP00000018470	Q9CQV8
10090.ENSMUSP00000039910	Q8VE95
10090.ENSMUSP00000074724	Q64433
10090.ENSMUSP00000113588	Q99LU0
10090.ENSMUSP00000113588	Q9CQD4
10090.ENSMUSP00000049683	Q9Z0F5
10090.ENSMUSP00000080717	Q61362
10090.ENSMUSP00000027123	P63038
10090.ENSMUSP00000028780	Q8R3J5
10090.ENSMUSP00000098942	Q9CQG1
10090.ENSMUSP00000072682	E9Q7T7
10090.ENSMUSP00000047844	O55226
10090.ENSMUSP00000057270	Q8K327
10090.ENSMUSP00000071202	Q9CQA6
10090.ENSMUSP00000091835	Q9D1L0
10090.ENSMUSP00000044253	Q9CQP3
10090.ENSMUSP00000041196	Q8K2Q5
10090.ENSMUSP00000029730	Q9CXF7
10090.ENSMUSP00000024627	P40201
10090.ENSMUSP00000126352	E9PZM4
10090.ENSMUSP00000060054	Q6PDQ2
10090.ENSMUSP00000030775	A2A8L1
10090.ENSMUSP00000042291	A3KFM7
10090.ENSMUSP00000043903	A2AJK6
10090.ENSMUSP00000087184	Q09XV5
10090.ENSMUSP00000046356	Q8BYH8
10090.ENSMUSP00000065542	Q8BJ64
10090.ENSMUSP00000078469	Q8CGZ0
10090.ENSMUSP00000014812	Q810L3
10090.ENSMUSP00000078134	Q91XA9
10090.ENSMUSP00000112246	Q8CBW7
10090.ENSMUSP00000074903	Q9D9G3
10090.ENSMUSP00000130360	Q922Q9
10090.ENSMUSP00000053923	O35744
10090.ENSMUSP00000080851	Q91Z98
10090.ENSMUSP00000107655	Q91V57
10090.ENSMUSP00000035908	Q80XD1
10090.ENSMUSP00000040431	Q9WUD1
10090.ENSMUSP00000083666	Q9D7Q1
10090.ENSMUSP00000034625	O35280
10090.ENSMUSP00000066679	Q9Z265
10090.ENSMUSP00000071933	O54804
10090.ENSMUSP00000023289	O55229
10090.ENSMUSP00000029367	Q03311
10090.ENSMUSP00000000759	Q921W0
10090.ENSMUSP00000005711	Q9DB34
10090.ENSMUSP00000004965	Q8BJF9
10090.ENSMUSP00000036206	Q9D8B3
10090.ENSMUSP00000029049	Q9D7F7
10090.ENSMUSP00000068410	Q9CQ10
10090.ENSMUSP00000030128	Q9D7S9
10090.ENSMUSP00000026434	P0C0A3
10090.ENSMUSP00000047700	Q8R1T1
10090.ENSMUSP00000023568	Q9CXM0
10090.ENSMUSP00000014221	P61022
10090.ENSMUSP00000033152	Q9D869
10090.ENSMUSP00000031304	Q9JKL5
10090.ENSMUSP00000112708	Q8C025
10090.ENSMUSP00000087197	Q9JKP8
10090.ENSMUSP00000001825	Q9D1P4
10090.ENSMUSP00000007171	Q9Z0E2
10090.ENSMUSP00000008537	Q9CR86
10090.ENSMUSP00000047487	Q6ZQ11
10090.ENSMUSP00000078199	Q6IQX7
10090.ENSMUSP00000079546	Q5DTK1
10090.ENSMUSP00000064246	Q9EQC0
10090.ENSMUSP00000040775	Q80WV3
10090.ENSMUSP00000126281	O88199
10090.ENSMUSP00000104845	Q9R1I1
10090.ENSMUSP00000034430	Q9QUP4
10090.ENSMUSP00000043222	Q9EP78
10090.ENSMUSP00000077752	Q8BQ86
10090.ENSMUSP00000049975	Q76EC5
10090.ENSMUSP00000027249	Q6PGK7
10090.ENSMUSP00000045349	Q9JME2
10090.ENSMUSP00000041663	Q99LL3
10090.ENSMUSP00000099579	Q80V53
10090.ENSMUSP00000076682	Q91XQ5
10090.ENSMUSP00000001043	Q9CY57
10090.ENSMUSP00000047015	Q6DG52
10090.ENSMUSP00000099941	Q7TPM5
10090.ENSMUSP00000038970	P58686
10090.ENSMUSP00000061933	Q8VCE4
10090.ENSMUSP00000025632	Q80UY1
10090.ENSMUSP00000103762	Q6DFW0
10090.ENSMUSP00000028205	Q3TQI7
10090.ENSMUSP00000048395	Q9CQ90
10090.ENSMUSP00000076891	Q8R239
10090.ENSMUSP00000097793	Q3UHX9
10090.ENSMUSP00000083557	Q5BN45
10090.ENSMUSP00000099877	Q0VFX2
10090.ENSMUSP00000030163	Q3V0E1
10090.ENSMUSP00000048680	Q9CQC3
10090.ENSMUSP00000109855	A2AJA9
10090.ENSMUSP00000028768	Q9CWX2
10090.ENSMUSP00000003759	Q99KN2
10090.ENSMUSP00000049308	Q3TQ03
10090.ENSMUSP00000070901	Q9Z0F4
10090.ENSMUSP00000038527	Q9Z309
10090.ENSMUSP00000096231	Q0P523
10090.ENSMUSP00000066222	Q9D9N5
10090.ENSMUSP00000005578	Q924A2
10090.ENSMUSP00000025404	O70302
10090.ENSMUSP00000001497	O70303
10090.ENSMUSP00000032416	P56198
10090.ENSMUSP00000036631	Q66K08
10090.ENSMUSP00000102894	P59242
10090.ENSMUSP00000035245	Q9D0V8
10090.ENSMUSP00000093622	D3Z3K2
10090.ENSMUSP00000044714	Q8BWY9
10090.ENSMUSP00000038630	Q8R0W1
10090.ENSMUSP00000048377	Q8R2N2
10090.ENSMUSP00000049834	Q9DA19
10090.ENSMUSP00000101004	P60824
10090.ENSMUSP00000043559	Q91WS0
10090.ENSMUSP00000029815	Q9CQB5
10090.ENSMUSP00000103209	B1AR13
10090.ENSMUSP00000082183	Q62225
10090.ENSMUSP00000005826	Q9CZU6
10090.ENSMUSP00000051789	P97769
10090.ENSMUSP00000038405	O35740
10090.ENSMUSP00000092408	Q9WUL8
10090.ENSMUSP00000075065	Q9D9B4
10090.ENSMUSP00000074447	Q9CRC6
10090.ENSMUSP00000063504	Q9D882
10090.ENSMUSP00000098289	Q3KNL4
10090.ENSMUSP00000131279	Q80Y39
10090.ENSMUSP00000048454	Q6PD19
10090.ENSMUSP00000028299	Q9CQT6
10090.ENSMUSP00000050128	Q9D2Q3
10090.ENSMUSP00000134479	D2J0Y4
10090.ENSMUSP00000020103	Q8CDT7
10090.ENSMUSP00000041803	Q9D131
10090.ENSMUSP00000033334	Q9JJR6
10090.ENSMUSP00000047063	Q9D8N1
10090.ENSMUSP00000099654	Q8BHR8
10090.ENSMUSP00000034564	Q9D8L0
10090.ENSMUSP00000036912	Q9D8Q6
10090.ENSMUSP00000034414	Q91V76
10090.ENSMUSP00000005262	Q9D4W2
10090.ENSMUSP00000125651	Q8VD62
10090.ENSMUSP00000040380	Q91VN2
10090.ENSMUSP00000087999	Q9CQI4
10090.ENSMUSP00000025924	Q05AH6
10090.ENSMUSP00000109156	Q9D992
10090.ENSMUSP00000036729	Q8VC23
10090.ENSMUSP00000096365	Q32M26
10090.ENSMUSP00000126725	Q80Y73
10090.ENSMUSP00000044861	Q9D1Z2
10090.ENSMUSP00000051464	Q8CF31
10090.ENSMUSP00000123773	Q4VA45
10090.ENSMUSP00000093970	Q9D937
10090.ENSMUSP00000060349	Q6QWF9
10090.ENSMUSP00000057368	Q78WH7
10090.ENSMUSP00000028990	Q8BTW8
10090.ENSMUSP00000119891	Q8K389
10090.ENSMUSP00000099441	Q99LM2
10090.ENSMUSP00000039518	Q3V1H1
10090.ENSMUSP00000050336	Q8BMK4
10090.ENSMUSP00000097303	A2AGT5
10090.ENSMUSP00000034343	Q99LJ5
10090.ENSMUSP00000137332	Q8CJ61
10090.ENSMUSP00000036138	Q9D6G9
10090.ENSMUSP00000035007	Q9CZ69
10090.ENSMUSP00000035009	Q9ESD6
10090.ENSMUSP00000043706	Q9CZR4
10090.ENSMUSP00000034342	Q9DAS1
10090.ENSMUSP00000056145	Q7TS74
10090.ENSMUSP00000029679	P61025
10090.ENSMUSP00000075250	P56390
10090.ENSMUSP00000032497	Q91YN0
10090.ENSMUSP00000062410	Q8BHN7
10090.ENSMUSP00000031538	Q3UY34
10090.ENSMUSP00000020488	Q9CX66
10090.ENSMUSP00000043410	Q8BTG6
10090.ENSMUSP00000113963	Q8CCC3
10090.ENSMUSP00000049512	Q810N5
10090.ENSMUSP00000076594	Q80VP5
10090.ENSMUSP00000070834	Q6P1I3
10090.ENSMUSP00000043802	Q80W69
10090.ENSMUSP00000078593	Q8BTC1
10090.ENSMUSP00000063627	Q504P2
10090.ENSMUSP00000032261	Q149M0
10090.ENSMUSP00000065423	Q80U30
10090.ENSMUSP00000046546	Q7TSQ1
10090.ENSMUSP00000029923	Q6Q473
10090.ENSMUSP00000042266	Q80TV8
10090.ENSMUSP00000130201	Q8BRT1
10090.ENSMUSP00000083205	Q8CFC7
10090.ENSMUSP00000070865	Q03059
10090.ENSMUSP00000000327	P49300
10090.ENSMUSP00000004587	O88200
10090.ENSMUSP00000054451	Q8VCP9
10090.ENSMUSP00000047065	Q8BWY2
10090.ENSMUSP00000032262	Q9JL99
10090.ENSMUSP00000032260	Q91V08
10090.ENSMUSP00000032258	Q80XD9
10090.ENSMUSP00000000254	Q9D676
10090.ENSMUSP00000032518	Q8C1T8
10090.ENSMUSP00000032519	Q9WVF9
10090.ENSMUSP00000110524	P0C7M9
10090.ENSMUSP00000009018	Q9EPW4
10090.ENSMUSP00000032240	Q9Z2H6
10090.ENSMUSP00000032239	Q9R0Q8
10090.ENSMUSP00000014686	P70194
10090.ENSMUSP00000059574	Q8BNX1
10090.ENSMUSP00000040746	Q8VBX4
10090.ENSMUSP00000121848	Q9R007
10090.ENSMUSP00000024118	Q9JKF4
10090.ENSMUSP00000029919	Q9D7Z6
10090.ENSMUSP00000036029	Q8BG22
10090.ENSMUSP00000102224	Q99LI2
10090.ENSMUSP00000045562	Q9QZM3
10090.ENSMUSP00000048520	Q9WUB7
10090.ENSMUSP00000006378	Q9WUB6
10090.ENSMUSP00000031894	Q64347
10090.ENSMUSP00000007207	Q9R0A1
10090.ENSMUSP00000004430	P51791
10090.ENSMUSP00000000619	Q61418
10090.ENSMUSP00000111412	Q9WVD4
10090.ENSMUSP00000030879	O35454
10090.ENSMUSP00000035964	O70496
10090.ENSMUSP00000097889	Q9Z0S6
10090.ENSMUSP00000042181	Q60771
10090.ENSMUSP00000061928	Q9ET43
10090.ENSMUSP00000008987	Q9Z0S4
10090.ENSMUSP00000062045	Q9Z0S3
10090.ENSMUSP00000001790	Q9Z0S5
10090.ENSMUSP00000110957	Q925N4
10090.ENSMUSP00000066427	Q8BXA6
10090.ENSMUSP00000035048	P56857
10090.ENSMUSP00000081334	Q9ET38
10090.ENSMUSP00000023154	O88551
10090.ENSMUSP00000041676	Q9D7U6
10090.ENSMUSP00000049725	Q9D7D7
10090.ENSMUSP00000054219	O88552
10090.ENSMUSP00000091799	Q9Z0G9
10090.ENSMUSP00000053420	O35054
10090.ENSMUSP00000041925	O54942
10090.ENSMUSP00000024699	Q9Z262
10090.ENSMUSP00000018713	Q9Z261
10090.ENSMUSP00000051887	Q9Z260
10090.ENSMUSP00000093236	Q9Z0S7
10090.ENSMUSP00000023426	Q9CQX5
10090.ENSMUSP00000037980	Q9D9H2
10090.ENSMUSP00000034344	Q9DAR1
10090.ENSMUSP00000043127	Q9DAC0
10090.ENSMUSP00000002259	P52194
10090.ENSMUSP00000099475	Q68FD5
10090.ENSMUSP00000020753	Q5M6W3
10090.ENSMUSP00000007257	Q9Z1Q5
10090.ENSMUSP00000109904	Q9D7P7
10090.ENSMUSP00000041453	Q9QYB1
10090.ENSMUSP00000024755	Q8BXK9
10090.ENSMUSP00000023670	Q8BHB9
10090.ENSMUSP00000107192	Q922J3
10090.ENSMUSP00000098212	Q9Z0H8
10090.ENSMUSP00000014065	B9EHT4
10090.ENSMUSP00000024854	Q8CI96
10090.ENSMUSP00000034868	P22518
10090.ENSMUSP00000113390	O35491
10090.ENSMUSP00000067341	O35492
10090.ENSMUSP00000090820	O35493
10090.ENSMUSP00000102171	Q6SJQ7
10090.ENSMUSP00000054883	Q8K249
10090.ENSMUSP00000090116	Q6SJQ5
10090.ENSMUSP00000047022	Q8VCH2
10090.ENSMUSP00000052647	A2A7V7
10090.ENSMUSP00000073913	Q3U497
10090.ENSMUSP00000102192	Q6SJQ0
10090.ENSMUSP00000102782	Q1ERP8
10090.ENSMUSP00000105563	Q8C5W0
10090.ENSMUSP00000034522	Q8R373
10090.ENSMUSP00000090121	Q7TSN2
10090.ENSMUSP00000032962	Q61124
10090.ENSMUSP00000022721	Q3UMW8
10090.ENSMUSP00000027554	Q9QUK3
10090.ENSMUSP00000128473	Q9QZE2
10090.ENSMUSP00000074656	O08785
10090.ENSMUSP00000022102	Q8BXA5
10090.ENSMUSP00000028475	Q99LI9
10090.ENSMUSP00000001884	Q60649
10090.ENSMUSP00000002735	O88696
10090.ENSMUSP00000051293	Q8VBZ3
10090.ENSMUSP00000015501	Q9JHS4
10090.ENSMUSP00000056245	Q8BHH8
10090.ENSMUSP00000045344	Q80YR7
10090.ENSMUSP00000063520	Q99JA4
10090.ENSMUSP00000040715	Q920A1
10090.ENSMUSP00000043397	Q8R3P7
10090.ENSMUSP00000022616	Q06890
10090.ENSMUSP00000090593	Q5SW19
10090.ENSMUSP00000035649	Q9D4C9
10090.ENSMUSP00000019920	Q8BG92
10090.ENSMUSP00000026625	Q8R4N0
10090.ENSMUSP00000022834	P21844
10090.ENSMUSP00000061045	Q61419
10090.ENSMUSP00000070314	Q8R1G2
10090.ENSMUSP00000122103	Q8BH59
10090.ENSMUSP00000015256	Q9QXX4
10090.ENSMUSP00000033543	Q61908
10090.ENSMUSP00000021610	P26339
10090.ENSMUSP00000130264	Q9D486
10090.ENSMUSP00000092811	Q3U2J5
10090.ENSMUSP00000036316	P97468
10090.ENSMUSP00000124488	Q9JIZ0
10090.ENSMUSP00000044587	Q8CHQ9
10090.ENSMUSP00000084938	Q9JIY8
10090.ENSMUSP00000032074	Q9QXS8
10090.ENSMUSP00000020969	Q3U5Q7
10090.ENSMUSP00000110011	Q9CZT6
10090.ENSMUSP00000054804	A2A891
10090.ENSMUSP00000043792	Q80Y50
10090.ENSMUSP00000119330	Q8BIG7
10090.ENSMUSP00000024816	Q9DBC3
10090.ENSMUSP00000060558	Q8BWQ4
10090.ENSMUSP00000050408	Q70KF4
10090.ENSMUSP00000059435	Q4KL13
10090.ENSMUSP00000036220	Q8BT18
10090.ENSMUSP00000038002	Q8BHN9
10090.ENSMUSP00000035351	Q3UK37
10090.ENSMUSP00000022786	Q8K2W9
10090.ENSMUSP00000022398	Q9CPZ1
10090.ENSMUSP00000047702	Q9JJ93
10090.ENSMUSP00000136425	P0C8B4
10090.ENSMUSP00000067830	Q8BH86
10090.ENSMUSP00000022341	Q9CQE8
10090.ENSMUSP00000099409	P16330
10090.ENSMUSP00000041268	Q9D5U8
10090.ENSMUSP00000030839	Q9JJN6
10090.ENSMUSP00000032138	P53996
10090.ENSMUSP00000119246	P61249
10090.ENSMUSP00000042260	Q8K2Z4
10090.ENSMUSP00000106017	Q8C156
10090.ENSMUSP00000072871	Q6ZQK0
10090.ENSMUSP00000081889	Q6DFV1
10090.ENSMUSP00000074139	Q8BSP2
10090.ENSMUSP00000069699	Q8BUG2
10090.ENSMUSP00000025546	Q9D1A2
10090.ENSMUSP00000104234	Q3TP92
10090.ENSMUSP00000130957	Q6PCW6
10090.ENSMUSP00000084464	P29974
10090.ENSMUSP00000006020	Q62398
10090.ENSMUSP00000027288	Q9JJZ8
10090.ENSMUSP00000033187	Q3UW12
10090.ENSMUSP00000100064	Q9JJZ9
10090.ENSMUSP00000015903	O35372
10090.ENSMUSP00000025805	O35089
10090.ENSMUSP00000115772	Q9CX13
10090.ENSMUSP00000026750	Q80YA9
10090.ENSMUSP00000015346	Q8BMA3
10090.ENSMUSP00000001384	Q08091
10090.ENSMUSP00000004784	Q08093
10090.ENSMUSP00000029773	Q9DAW9
10090.ENSMUSP00000131830	Q0GA42
10090.ENSMUSP00000096972	Q3TWN3
10090.ENSMUSP00000001166	Q32NY4
10090.ENSMUSP00000121317	Q69ZF7
10090.ENSMUSP00000064840	Q8BH15
10090.ENSMUSP00000003219	Q9CWN7
10090.ENSMUSP00000108629	Q8VEG6
10090.ENSMUSP00000063565	Q6ZQ08
10090.ENSMUSP00000100902	Q8C5L3
10090.ENSMUSP00000039098	Q8K0V4
10090.ENSMUSP00000110645	Q8BT14
10090.ENSMUSP00000020624	Q8K3P5
10090.ENSMUSP00000034012	Q60809
10090.ENSMUSP00000020822	Q9D8X5
10090.ENSMUSP00000044799	Q8K158
10090.ENSMUSP00000026446	Q9QXT0
10090.ENSMUSP00000050309	Q9DAU1
10090.ENSMUSP00000106559	Q8BQ47
10090.ENSMUSP00000055797	P47746
10090.ENSMUSP00000069957	P47936
10090.ENSMUSP00000026452	P09174
10090.ENSMUSP00000050036	Q5M8N0
10090.ENSMUSP00000048205	Q8CBC4
10090.ENSMUSP00000099396	Q9D995
10090.ENSMUSP00000100026	O88507
10090.ENSMUSP00000108555	P51642
10090.ENSMUSP00000130491	A2AM05
10090.ENSMUSP00000000109	P12960
10090.ENSMUSP00000083707	Q61330
10090.ENSMUSP00000032159	Q07409
10090.ENSMUSP00000086616	Q69Z26
10090.ENSMUSP00000073769	P68500
10090.ENSMUSP00000086623	Q9JMB8
10090.ENSMUSP00000099398	O54991
10090.ENSMUSP00000110288	Q9CPW0
10090.ENSMUSP00000034225	Q99P47
10090.ENSMUSP00000090651	Q8CB62
10090.ENSMUSP00000108660	A2AL36
10090.ENSMUSP00000011298	Q6P8Y0
10090.ENSMUSP00000034862	Q8BZB3
10090.ENSMUSP00000034846	Q3TEI4
10090.ENSMUSP00000026092	Q9CRC3
10090.ENSMUSP00000126772	Q3U4G0
10090.ENSMUSP00000028661	Q9D494
10090.ENSMUSP00000051853	A3KGF9
10090.ENSMUSP00000038589	Q8BS39
10090.ENSMUSP00000082800	Q8CD60
10090.ENSMUSP00000127596	Q0VG49
10090.ENSMUSP00000068999	Q8CE97
10090.ENSMUSP00000001547	P11087
10090.ENSMUSP00000031668	Q01149
10090.ENSMUSP00000023123	P28481
10090.ENSMUSP00000025230	P21180
10090.ENSMUSP00000085192	P08121
10090.ENSMUSP00000024988	P01027
10090.ENSMUSP00000033898	P02463
10090.ENSMUSP00000033899	P08122
10090.ENSMUSP00000109084	Q9QZS0
10090.ENSMUSP00000084282	Q9QZR9
10090.ENSMUSP00000069418	P01029
10090.ENSMUSP00000028280	O88207
10090.ENSMUSP00000083620	Q3U962
10090.ENSMUSP00000028233	P06684
10090.ENSMUSP00000001147	Q04857
10090.ENSMUSP00000001181	Q02788
10090.ENSMUSP00000112472	A2AX52
10090.ENSMUSP00000131146	A6H584
10090.ENSMUSP00000096040	Q8C6K9
10090.ENSMUSP00000026740	Q63870
10090.ENSMUSP00000086745	Q00780
10090.ENSMUSP00000070270	P25318
10090.ENSMUSP00000067541	Q8K182
10090.ENSMUSP00000031663	Q8BH35
10090.ENSMUSP00000041855	Q8VCG4
10090.ENSMUSP00000051579	Q05722
10090.ENSMUSP00000030372	Q07643
10090.ENSMUSP00000022749	P06683
10090.ENSMUSP00000017332	Q9D2R6
10090.ENSMUSP00000053727	Q8BT51
10090.ENSMUSP00000027286	Q99M07
10090.ENSMUSP00000058279	Q8BGD8
10090.ENSMUSP00000114906	Q921H9
10090.ENSMUSP00000101150	Q05306
10090.ENSMUSP00000082856	Q8BZB2
10090.ENSMUSP00000001806	Q9DBL7
10090.ENSMUSP00000089793	Q61245
10090.ENSMUSP00000099787	Q3UMF0
10090.ENSMUSP00000045693	Q5NBX1
10090.ENSMUSP00000071662	Q60847
10090.ENSMUSP00000082533	Q62507
10090.ENSMUSP00000101094	Q9R1N9
10090.ENSMUSP00000080020	Q07802
10090.ENSMUSP00000022637	O08792
10090.ENSMUSP00000101724	O08791
10090.ENSMUSP00000105915	Q8K4J2
10090.ENSMUSP00000105850	Q80X19
10090.ENSMUSP00000112259	P18760
10090.ENSMUSP00000077262	P45591
10090.ENSMUSP00000099981	O35206
10090.ENSMUSP00000018805	Q9Z160
10090.ENSMUSP00000034460	Q921L5
10090.ENSMUSP00000045016	Q8CI04
10090.ENSMUSP00000034203	Q8R1U1
10090.ENSMUSP00000044797	Q8C0L8
10090.ENSMUSP00000048603	Q8R3I3
10090.ENSMUSP00000058990	Q3UM29
10090.ENSMUSP00000034391	Q9JJA2
10090.ENSMUSP00000035802	Q8BLX7
10090.ENSMUSP00000084141	Q07563
10090.ENSMUSP00000101049	P39061
10090.ENSMUSP00000103530	Q5SU73
10090.ENSMUSP00000110899	Q0VF58
10090.ENSMUSP00000104484	Q923P0
10090.ENSMUSP00000037867	Q8CF98
10090.ENSMUSP00000049285	Q3SXB8
10090.ENSMUSP00000043220	Q8K4Q8
10090.ENSMUSP00000020990	P01193
10090.ENSMUSP00000025061	Q3UW21
10090.ENSMUSP00000107658	O35348
10090.ENSMUSP00000025062	Q9CQC2
10090.ENSMUSP00000046255	Q80YR6
10090.ENSMUSP00000124719	Q8K4M5
10090.ENSMUSP00000124819	Q8BXC6
10090.ENSMUSP00000049882	Q63829
10090.ENSMUSP00000069078	Q9CQ02
10090.ENSMUSP00000069159	Q8R395
10090.ENSMUSP00000097912	Q3V4B5
10090.ENSMUSP00000071752	Q8BG94
10090.ENSMUSP00000013693	Q9CZG3
10090.ENSMUSP00000028584	Q8K2Q0
10090.ENSMUSP00000041650	Q8JZY2
10090.ENSMUSP00000003659	Q9R0G6
10090.ENSMUSP00000000335	O88587
10090.ENSMUSP00000099826	Q8K4G2
10090.ENSMUSP00000029848	Q30D77
10090.ENSMUSP00000079210	Q99MQ5
10090.ENSMUSP00000118179	Q8CIE6
10090.ENSMUSP00000035033	O55029
10090.ENSMUSP00000033012	Q9JIF7
10090.ENSMUSP00000034607	Q5XJY5
10090.ENSMUSP00000071078	O89079
10090.ENSMUSP00000109237	Q9QZE5
10090.ENSMUSP00000038368	Q9QXK3
10090.ENSMUSP00000033839	Q9CQ13
10090.ENSMUSP00000081574	Q8K211
10090.ENSMUSP00000081578	Q9CPU9
10090.ENSMUSP00000097738	P61924
10090.ENSMUSP00000018816	Q9JHH9
10090.ENSMUSP00000031262	Q66JT7
10090.ENSMUSP00000029909	Q8BMS4
10090.ENSMUSP00000028137	Q8BGB8
10090.ENSMUSP00000048001	Q9CXI0
10090.ENSMUSP00000021661	Q8R1S0
10090.ENSMUSP00000032887	P97478
10090.ENSMUSP00000034234	Q8K1Z0
10090.ENSMUSP00000052095	Q91VF6
10090.ENSMUSP00000032949	O89053
10090.ENSMUSP00000008893	Q9WUM3
10090.ENSMUSP00000004646	Q9WUM4
10090.ENSMUSP00000030021	Q8C0P5
10090.ENSMUSP00000041826	Q8BH44
10090.ENSMUSP00000043816	Q5QNQ9
10090.ENSMUSP00000005352	Q9Z319
10090.ENSMUSP00000021190	Q920M5
10090.ENSMUSP00000048489	Q9D2V7
10090.ENSMUSP00000030815	P56469
10090.ENSMUSP00000111199	Q2UY11
10090.ENSMUSP00000089036	Q60632
10090.ENSMUSP00000032768	P43135
10090.ENSMUSP00000034285	Q9CQI6
10090.ENSMUSP00000040138	Q8CFY5
10090.ENSMUSP00000020851	Q6P8I6
10090.ENSMUSP00000023761	Q8BH51
10090.ENSMUSP00000041820	Q8BJ03
10090.ENSMUSP00000002757	Q9CR63
10090.ENSMUSP00000112386	P56394
10090.ENSMUSP00000113353	Q8VC74
10090.ENSMUSP00000062046	Q8K0C8
10090.ENSMUSP00000080993	P00397
10090.ENSMUSP00000027781	Q9D7J4
10090.ENSMUSP00000080994	P00405
10090.ENSMUSP00000080997	P00416
10090.ENSMUSP00000034276	P19783
10090.ENSMUSP00000010020	Q91W29
10090.ENSMUSP00000000090	P12787
10090.ENSMUSP00000079944	P19536
10090.ENSMUSP00000014457	Q9CPQ1
10090.ENSMUSP00000033582	P56393
10090.ENSMUSP00000115419	P17665
10090.ENSMUSP00000040717	Q64445
10090.ENSMUSP00000026561	P48772
10090.ENSMUSP00000056155	A6H666
10090.ENSMUSP00000047904	Q9CPZ8
10090.ENSMUSP00000120966	Q8K199
10090.ENSMUSP00000026827	Q9DCS2
10090.ENSMUSP00000062758	Q8R1Y2
10090.ENSMUSP00000070601	Q8BHB7
10090.ENSMUSP00000055934	Q8C784
10090.ENSMUSP00000063016	Q8C708
10090.ENSMUSP00000024930	Q6GQV0
10090.ENSMUSP00000051263	Q8BWQ6
10090.ENSMUSP00000034361	Q922R1
10090.ENSMUSP00000023150	Q14AM7
10090.ENSMUSP00000119467	Q8K1L6
10090.ENSMUSP00000013302	Q9D4A5
10090.ENSMUSP00000040975	Q9CR55
10090.ENSMUSP00000058860	Q3UST5
10090.ENSMUSP00000111525	Q8BT88
10090.ENSMUSP00000072019	Q6NZQ0
10090.ENSMUSP00000097784	E9QMW4
10090.ENSMUSP00000038881	Q7TSH4
10090.ENSMUSP00000034874	Q9QZ82
10090.ENSMUSP00000101834	Q62036
10090.ENSMUSP00000038674	Q6P5D4
10090.ENSMUSP00000026012	P27786
10090.ENSMUSP00000034811	P28649
10090.ENSMUSP00000034865	P00184
10090.ENSMUSP00000034860	P00186
10090.ENSMUSP00000024894	Q64429
10090.ENSMUSP00000050823	Q8BKE6
10090.ENSMUSP00000025223	P03940
10090.ENSMUSP00000045362	P56654
10090.ENSMUSP00000044722	P56655
10090.ENSMUSP00000025968	P56656
10090.ENSMUSP00000125217	P56657
10090.ENSMUSP00000047954	Q64441
10090.ENSMUSP00000105248	Q60952
10090.ENSMUSP00000048284	Q6XVG2
10090.ENSMUSP00000025966	Q9D816
10090.ENSMUSP00000025946	O55127
10090.ENSMUSP00000076886	Q811W2
10090.ENSMUSP00000060584	Q91W64
10090.ENSMUSP00000027356	Q9DBG1
10090.ENSMUSP00000130005	O35084
10090.ENSMUSP00000096254	P15392
10090.ENSMUSP00000005685	P20852
10090.ENSMUSP00000074990	P56593
10090.ENSMUSP00000080846	P12790
10090.ENSMUSP00000072264	P12791
10090.ENSMUSP00000077021	O55071
10090.ENSMUSP00000003137	Q64458
10090.ENSMUSP00000086530	P11714
10090.ENSMUSP00000072555	P24456
10090.ENSMUSP00000130338	P24457
10090.ENSMUSP00000006094	Q8CIM7
10090.ENSMUSP00000026552	Q05421
10090.ENSMUSP00000003100	P33267
10090.ENSMUSP00000030299	O54749
10090.ENSMUSP00000030303	O54750
10090.ENSMUSP00000032908	Q6VVW9
10090.ENSMUSP00000041175	Q9DBX6
10090.ENSMUSP00000101944	Q9CX98
10090.ENSMUSP00000031521	E9Q816
10090.ENSMUSP00000091659	Q9JMA7
10090.ENSMUSP00000130073	Q9JKJ9
10090.ENSMUSP00000037665	Q64459
10090.ENSMUSP00000031741	Q64464
10090.ENSMUSP00000031633	Q64481
10090.ENSMUSP00000065585	O09158
10090.ENSMUSP00000021684	Q9WVK8
10090.ENSMUSP00000061126	O88833
10090.ENSMUSP00000030487	O35728
10090.ENSMUSP00000099768	Q64462
10090.ENSMUSP00000081370	Q91WL5
10090.ENSMUSP00000003574	Q99N16
10090.ENSMUSP00000050478	Q9EP75
10090.ENSMUSP00000092966	Q9DBW0
10090.ENSMUSP00000059545	Q6A152
10090.ENSMUSP00000001507	Q8K0C4
10090.ENSMUSP00000029905	Q64505
10090.ENSMUSP00000037487	Q60991
10090.ENSMUSP00000052989	O88962
10090.ENSMUSP00000137079	P70166
10090.ENSMUSP00000078690	Q7TN99
10090.ENSMUSP00000020543	Q7TN98
10090.ENSMUSP00000125451	Q8WTY4
10090.ENSMUSP00000038502	P63040
10090.ENSMUSP00000026985	P84086
10090.ENSMUSP00000046748	Q8R1B5
10090.ENSMUSP00000025397	Q80WM3
10090.ENSMUSP00000069318	Q9DBB9
10090.ENSMUSP00000105236	Q8C166
10090.ENSMUSP00000045755	P59108
10090.ENSMUSP00000029885	Q8BT60
10090.ENSMUSP00000049663	Q8BLR2
10090.ENSMUSP00000024805	Q8JZW4
10090.ENSMUSP00000073847	Q9Z140
10090.ENSMUSP00000042159	Q0VE82
10090.ENSMUSP00000067774	Q9DC53
10090.ENSMUSP00000044416	Q1RLL3
10090.ENSMUSP00000001845	O88456
