3702.AT1G22300.1	P48347
3702.AT1G35625.1	F4HZZ4
3702.AT5G05630.1	Q9FFL1
3702.AT2G04270.5	F4IV66
3702.AT1G03770.2	Q0WX00
3702.AT3G19950.1	Q8LPN7
3702.AT2G25100.1	Q9SEZ6
3702.AT4G14300.1	Q8W034
3702.AT5G02250.1	Q6NQJ6
3702.AT2G02990.1	P42813
3702.AT2G39780.1	P42814
3702.AT1G26820.1	P42815
3702.AT2G04530.1	Q8L633
3702.AT1G74700.1	Q8LGU7
3702.AT3G55660.1	Q9M056
3702.AT4G38430.1	Q93ZY2
3702.AT1G01700.1	Q9LQ89
3702.AT4G00460.2	A4IJ27
3702.AT2G45890.1	Q0WNP7
3702.AT5G05940.1	F4K295
3702.AT5G02010.1	Q9LZN0
3702.AT3G24620.1	Q9LV40
3702.AT4G13240.1	Q9SVQ3
3702.AT5G19560.1	Q1KS66
3702.AT1G52240.1	Q9M811
3702.AT1G79860.1	Q9CA89
3702.AT3G16130.1	F4J1G1
3702.AT1G31650.1	Q56WM6
3702.AT2G36490.1	Q9SJQ6
3702.AT4G27000.1	Q93W34
3702.AT5G57980.1	Q9FJL8
3702.AT1G53350.1	P0C8S1
3702.AT5G35450.1	Q9FJB5
3702.AT5G48620.1	Q9FJK8
3702.AT5G26760.2	F4K1B1
3702.AT3G22320.1	O81098
3702.AT2G04630.1	Q9SJ96
3702.AT4G14520.1	Q6NML5
3702.AT1G54250.1	O81097
3702.AT3G59600.1	Q9M1A8
3702.AT3G16980.1	Q6NLH0
3702.AT4G16265.1	Q8L5V0
3702.AT1G61700.1	Q9SYA6
3702.AT1G53690.1	Q9C8M4
3702.AT4G33495.1	Q689D6
3702.AT3G18090.1	Q9LV32
3702.AT2G15400.1	Q39212
3702.AT2G41340.1	Q9ZVB9
3702.AT5G51940.1	Q9FJ98
3702.AT3G57080.1	Q9M1J2
3702.AT3G54490.1	Q9M1H8
3702.AT3G23620.1	Q9LUG5
3702.AT1G71100.1	Q9C998
3702.AT2G01290.1	Q9ZU38
3702.AT3G04790.1	Q9S726
3702.AT5G44520.1	Q9FI13
3702.AT1G69270.1	Q9ZRF9
3702.AT3G02130.1	Q9S7I6
3702.AT4G34220.1	Q94C77
3702.AT3G07040.1	Q39214
3702.AT2G26590.1	O48726
3702.AT4G21150.1	Q93Z16
3702.ATCG00740.1	P56762
3702.ATCG00190.1	P50546
3702.ATCG00180.1	P56763
3702.ATCG00170.1	P56764
3702.AT1G68990.2	P92969
3702.AT5G15700.2	Q9LFV6
3702.AT2G24120.1	O24600
3702.AT3G46530.1	Q9M667
3702.AT5G43470.1	Q8W4J9
3702.AT4G26090.1	Q42484
3702.AT5G45250.1	Q9XGM3
3702.AT5G45250.1	Q9SCX6
3702.AT5G45250.1	Q9SCX7
3702.AT5G45250.1	C4B7M7
3702.AT1G12220.1	O64973
3702.AT5G46470.1	F4KHH8
3702.AT5G46470.1	P0DKH6
3702.AT2G30520.1	Q682S0
3702.AT5G64330.1	Q9FMF5
3702.AT3G05740.1	Q9FT74
3702.AT4G35740.1	Q9FT72
3702.AT1G10930.1	Q8L840
3702.AT1G60930.1	Q9FT70
3702.AT1G27880.1	Q0WVW7
3702.AT5G27680.1	Q9FT69
3702.AT3G13120.1	Q9LK61
3702.ATCG00750.1	P56802
3702.ATCG01230.1	P62126
3702.AT5G14320.1	P42732
3702.ATCG00330.1	P56804
3702.ATCG01120.1	P56805
3702.ATCG00050.1	P56806
3702.AT1G79850.1	P16180
3702.ATCG00650.1	P56807
3702.ATCG00820.1	P56808
3702.AT3G15190.1	Q9ASV6
3702.ATCG00160.1	P56797
3702.AT2G38140.1	O80439
3702.ATCG00800.1	P56798
3702.ATCG00380.1	P56799
3702.AT2G33800.1	P93014
3702.AT1G64510.1	Q8VY91
3702.ATCG01240.1	P61841
3702.ATCG00770.1	P56801
3702.AT1G74970.1	Q9XJ27
3702.AT3G02770.1	Q9M8R9
3702.AT5G16450.1	Q9FFE0
3702.AT5G56260.1	Q9FH13
3702.AT3G63190.1	Q9M1X0
3702.AT1G68590.1	Q9SX22
3702.AT5G15760.1	Q9LFV0
3702.AT2G37990.1	Q9SH88
3702.AT4G25740.1	Q9SW09
3702.AT5G41520.1	Q9FFS8
3702.AT5G52650.1	Q9LTF2
3702.AT3G48930.1	P16181
3702.AT4G30800.1	O65569
3702.AT5G23740.1	P42733
3702.AT1G15930.1	Q9S9P1
3702.AT2G32060.1	Q9SKZ3
3702.AT3G60770.1	P59223
3702.AT4G00100.1	P59224
3702.AT2G36160.1	Q9SIH0
3702.AT3G11510.1	Q9CAX6
3702.AT3G52580.1	P42036
3702.AT1G04270.1	Q08112
3702.AT5G09490.1	Q9FY66
3702.AT5G09500.1	Q9FY65
3702.AT5G09510.1	Q9FY64
3702.AT5G43640.1	Q9FIX6
3702.AT5G63070.1	Q9FML6
3702.AT2G09990.1	Q9SK22
3702.AT3G04230.1	Q9M8X9
3702.AT5G18380.1	Q42340
3702.AT2G04390.1	P49205
3702.AT2G05220.1	Q9SJ36
3702.AT3G10610.1	Q9SQZ1
3702.AT5G04800.1	Q9LZ17
3702.AT4G09800.1	P34788
3702.AT3G02080.1	Q9SGA6
3702.AT5G15520.1	Q9LF30
3702.AT5G61170.1	Q9FNP8
3702.AT5G62300.1	P49200
3702.AT3G47370.1	Q9STY6
3702.AT3G53890.1	Q9M337
3702.AT5G27700.1	Q3E902
3702.AT1G58380.1	Q8L8Y0
3702.AT1G59359.1	Q93VB8
3702.AT3G09680.1	Q9SF35
3702.AT5G02960.1	P49201
3702.AT2G41840.1	P49688
3702.AT3G04920.1	Q9SS17
3702.AT5G28060.1	Q8LC83
3702.AT3G57490.1	Q9SCM3
3702.AT2G16360.1	Q9SIW5
3702.AT2G21580.1	Q9SIK2
3702.AT4G34555.1	Q8GYL5
3702.AT4G39200.1	Q9T029
3702.AT2G40590.1	P49206
3702.AT2G40510.1	Q8LPJ7
3702.AT3G56340.1	Q9LYK9
3702.AT2G45710.1	O64650
3702.AT3G61110.1	Q9M2F1
3702.AT5G47930.1	Q8L953
3702.AT5G03850.1	Q9SR73
3702.AT5G64140.1	P34789
3702.AT4G33865.1	Q680P8
3702.AT5G56670.1	P49689
3702.AT2G46610.1	Q9ZPX8
3702.AT2G31610.1	Q9SIP7
3702.AT3G53870.1	Q9M339
3702.AT5G35530.1	Q9FJA6
3702.AT3G04840.1	Q9CAV0
3702.AT4G34670.1	Q42262
3702.AT4G25500.1	P92965
3702.AT2G17360.1	Q93VH9
3702.AT5G07090.1	P49204
3702.AT5G58420.1	Q8VYK6
3702.AT2G37270.1	Q9ZUT9
3702.AT3G11940.1	P51427
3702.AT4G31700.1	O48549
3702.AT5G10360.1	P51430
3702.AT1G48830.1	Q9C514
3702.AT3G02560.1	Q9M885
3702.AT5G16130.1	Q8LD03
3702.AT5G20290.1	Q93VG5
3702.AT5G59240.1	Q9FIF3
3702.AT5G15200.1	Q9LXG1
3702.AT5G39850.1	Q9FLF0
3702.AT4G02260.1	F4JHA2
3702.AT4G02260.1	P0DKG8
3702.AT3G14050.1	Q9LVJ3
3702.AT3G14050.1	Q9M5P6
3702.AT1G54130.1	Q9SYH1
3702.AT1G54130.1	Q9M5P5
3702.AT1G72370.1	Q08682
3702.AT3G04770.1	Q8H173
3702.AT3G27670.1	Q7XZF5
3702.AT1G23860.1	O81127
3702.AT4G31580.1	O81126
3702.AT3G53500.2	Q9FYB7
3702.AT2G37340.1	Q8VYA5
3702.AT3G03600.1	Q9GCB9
3702.ATMG00090.1	Q95749
3702.ATMG00290.1	Q31708
3702.ATMG01270.1	P92557
3702.AT3G22300.1	P42797
3702.AT1G31817.1	Q8VZT8
3702.ATMG00980.1	P92532
3702.AT1G77750.1	Q9CA19
3702.AT5G47320.1	P39697
3702.AT2G21290.1	Q9SJU8
3702.AT2G26070.1	F4ITL6
3702.AT3G51040.1	Q9SD42
3702.AT1G80650.1	Q9M8N2
3702.AT3G20420.1	Q9LTQ0
3702.AT5G45150.1	Q9FKF0
3702.AT1G05760.1	D9UBI3
3702.AT1G05760.1	D9UBG0
3702.AT5G04890.1	D5K211
3702.AT5G04890.1	D9UBX6
3702.AT5G04890.1	D9UBX4
3702.AT5G04890.1	D9UC01
3702.AT5G04890.1	Q9M670
3702.AT3G58350.1	D5K228
3702.AT4G23630.1	Q9SUR3
3702.AT4G11220.1	Q9SUT9
3702.AT5G41600.1	Q9FFS0
3702.AT2G46170.1	O82352
3702.AT4G01230.1	Q9M145
3702.AT3G10260.3	Q9SS37
3702.AT3G18260.1	Q9LJQ5
3702.AT2G15280.1	Q6NPD8
3702.AT3G54120.1	Q9M392
3702.AT2G23640.1	O64837
3702.AT1G68230.2	A2RVT6
3702.AT2G01240.1	Q9ZU43
3702.AT2G20590.1	Q6DR04
3702.AT4G28430.1	Q8LDS3
3702.AT5G58000.1	Q56X72
3702.AT1G78895.1	Q8GWH5
3702.AT1G16825.1	P0C941
3702.AT3G08850.1	Q93YQ1
3702.AT5G01770.1	Q9LZW9
3702.AT3G50670.1	Q42404
3702.AT2G47580.1	Q39244
3702.AT4G03120.1	Q56XE4
3702.AT1G09760.1	P43333
3702.AT2G30260.1	O22922
3702.AT1G06960.1	Q8H1S6
3702.AT1G31340.1	Q9SHE7
3702.AT2G35635.1	Q8RUC6
3702.AT1G11980.1	O65381
3702.AT5G60190.1	Q9LSS7
3702.AT5G52250.1	Q9LTJ6
3702.AT5G23730.1	Q9FFA7
3702.AT3G45890.1	Q7X6P3
3702.AT2G31190.1	Q9SJX7
3702.AT1G13770.1	Q84JB8
3702.AT2G23470.1	Q67YT8
3702.AT5G01510.1	B6IDH3
3702.AT5G49820.1	Q93YU2
3702.AT4G30220.2	Q9SUM2
3702.AT2G23930.1	O82221
3702.AT5G17300.1	F4KGY6
3702.AT5G37260.1	F4K5X6
3702.AT1G01520.1	Q6R0H0
3702.AT5G02840.1	Q6R0G4
3702.AT4G01280.2	C0SVG5
3702.AT5G52660.2	Q8H0W3
3702.AT3G10113.1	F4J2J6
3702.AT1G18330.2	B3H5A8
3702.AT3G09600.1	Q8RWU3
3702.AT1G58410.1	Q9C646
3702.AT3G26420.1	Q9LIN3
3702.AT1G60650.1	O22703
3702.AT5G04280.1	Q8RWN5
3702.AT2G24590.1	Q9SJA6
3702.AT3G55800.1	P46283
3702.AT3G53370.1	P42551
3702.AT2G37120.1	Q42337
3702.AT3G09735.1	Q93VI0
3702.AT4G20310.2	F4JUU5
3702.AT2G38460.1	O80905
3702.AT5G03570.1	F4KGN5
3702.AT5G26820.1	Q8W4E7
3702.AT5G50460.1	P0DI74
3702.AT5G50460.1	P0DI75
3702.AT3G48570.1	Q9SMP2
3702.AT5G50680.1	P0DI12
3702.AT5G50680.1	P0DI13
3702.AT1G58250.2	Q6IMT1
3702.AT1G22620.1	Q7XZU3
3702.AT3G14205.1	Q94A27
3702.AT3G43220.1	Q7XZU2
3702.AT5G20840.1	Q7XZU1
3702.AT5G64340.1	Q9FMF4
3702.AT1G17340.1	Q8RW97
3702.AT5G66020.1	Q7X911
3702.AT3G51460.1	Q9C5G5
3702.AT3G51830.1	Q96328
3702.AT3G59770.3	Q7XZU0
3702.AT3G59020.2	F4J738
3702.AT2G31660.1	F4IRR2
3702.AT4G24940.1	Q8VY78
3702.AT2G21470.2	Q9SJT1
3702.AT5G45890.1	Q9FJ47
3702.AT2G29350.1	Q9ZW18
3702.AT4G13940.1	O23255
3702.AT3G23810.1	Q9LK36
3702.AT4G39460.1	Q94AG6
3702.AT1G34065.1	F4HT41
3702.AT4G25380.1	Q9STJ9
3702.AT2G41835.1	Q8VZ42
3702.AT3G28210.1	Q67YE6
3702.AT3G57480.1	Q9SCM4
3702.AT2G45640.1	O64644
3702.AT1G12440.1	Q6NNI8
3702.AT1G51200.1	Q8H0X0
3702.AT2G27580.1	Q9ZNU9
3702.AT2G36320.1	Q9SJM6
3702.AT3G12630.1	Q9LHJ8
3702.AT3G52800.1	Q94B40
3702.AT4G12040.1	Q9SZ69
3702.AT4G14225.1	Q3EA33
3702.AT4G22820.1	O49663
3702.AT5G35770.1	Q9FKH1
3702.AT4G02080.1	O04834
3702.AT1G56330.1	Q01474
3702.AT1G55920.1	Q42588
3702.AT2G17640.1	Q8S895
3702.AT3G13110.1	Q39218
3702.AT4G35640.1	Q8W2B8
3702.AT5G56760.1	Q42538
3702.AT1G69640.1	Q8VYI1
3702.AT1G14290.1	Q9AST3
3702.AT2G31880.1	Q9SKB2
3702.AT2G24940.1	Q9SK39
3702.AT1G01900.1	Q84WS0
3702.AT1G04110.1	O64495
3702.AT4G34980.1	O49607
3702.AT5G67360.1	O65351
3702.AT1G62340.1	F4HYR6
3702.AT2G19170.1	O64481
3702.AT1G32960.1	Q9MAP5
3702.AT1G32940.1	Q9MAP7
3702.AT4G00230.1	Q9LLL8
3702.AT5G59810.1	F4JXC5
3702.AT5G19660.1	Q0WUG6
3702.AT3G01340.1	Q9SRI1
3702.AT2G30050.1	O64740
3702.AT3G56640.1	Q9LXX6
3702.AT4G02350.1	F4JHH5
3702.AT5G47490.1	Q9FGK8
3702.AT3G07100.1	Q9SFU0
3702.AT4G32640.1	Q9M081
3702.AT3G44340.1	Q9M291
3702.AT1G18830.1	F4ICD9
3702.AT3G63460.1	Q8L611
3702.AT5G64200.1	Q9FMG4
3702.AT3G02580.1	Q39208
3702.AT3G02590.1	Q9M883
3702.AT2G45070.1	P38389
3702.AT2G26770.1	O48791
3702.AT2G40820.1	F4IIZ9
3702.AT3G56480.1	Q8GX05
3702.AT2G20840.1	Q9SKT3
3702.AT1G03550.1	Q9LR68
3702.AT1G61250.1	Q9M5P2
3702.AT1G32050.1	Q9C6X2
3702.AT1G11180.2	Q9SXA5
3702.AT2G34150.2	Q6AWX6
3702.AT2G38440.1	Q5XPJ9
3702.AT1G29170.1	Q9LP46
3702.AT5G01730.1	Q5XPJ6
3702.AT4G18600.1	Q5XPK0
3702.AT5G05490.1	Q9S7T7
3702.AT5G40840.2	Q9FQ20
3702.AT3G59550.1	Q9FQ19
3702.AT2G47980.1	O82265
3702.AT1G49040.1	Q8RXA7
3702.AT3G48860.2	Q8RWD5
3702.AT3G57870.1	Q42551
3702.AT3G54090.1	Q9M394
3702.AT1G69200.1	F4I0K2
3702.AT5G59450.1	Q9LTI5
3702.AT4G17230.1	Q9M0M5
3702.AT1G07530.1	Q9XE58
3702.AT4G36710.1	O23210
3702.AT5G67411.1	Q2V2T9
3702.AT1G55580.1	Q9ZWC5
3702.AT1G21450.1	Q9SDQ3
3702.AT2G04890.1	Q9S7H5
3702.AT3G60630.1	Q9M000
3702.AT5G41920.1	Q9FHZ1
3702.AT4G08250.1	Q9SUF5
3702.AT2G45160.1	Q7XJM8
3702.AT1G63100.1	Q9CAN3
3702.AT3G13840.1	Q9LRW3
3702.AT3G46600.1	Q9SNB8
3702.AT1G07520.1	Q3EDH0
3702.AT3G49950.1	Q9SN22
3702.AT2G29060.1	P0C883
3702.AT2G29065.1	P0C884
3702.AT1G50420.1	Q9LPR8
3702.AT5G66770.1	Q9FL03
3702.AT1G50600.1	Q8H125
3702.AT4G00150.1	O81316
3702.AT3G50650.1	Q9SCR0
3702.AT5G52510.1	Q9FYR7
3702.AT2G37650.1	O80933
3702.AT3G08950.1	Q8VYP0
3702.AT4G39740.1	Q8LAL0
3702.AT3G19220.1	Q93YN0
3702.AT3G19570.2	Q8GXD9
3702.AT2G23000.1	O64810
3702.AT2G22970.3	Q2V465
3702.AT2G22920.2	O81009
3702.AT2G22980.4	Q8H780
3702.AT3G12230.1	Q9C7D3
3702.AT3G12240.1	Q9C7D2
3702.AT3G12220.1	Q9C7D4
3702.AT3G12203.1	Q9C7D6
3702.AT1G33540.1	Q9C7Z9
3702.AT5G09640.1	Q8VZU3
3702.AT5G36180.1	Q8RWJ6
3702.AT4G12910.1	Q8L7B2
3702.AT3G25420.1	Q9LSV8
3702.AT2G24000.1	Q1PF08
3702.AT2G24010.1	O82229
3702.AT4G30610.1	Q9M099
3702.AT3G02110.1	Q8L9Y0
3702.AT2G35780.1	Q9ZQQ0
3702.AT3G07990.1	Q9SFB5
3702.AT2G35770.1	Q8S8K6
3702.AT4G30810.1	Q949Q7
3702.AT1G73300.1	Q9CAU3
3702.AT4G15100.1	O23364
3702.AT1G11080.2	O04084
3702.AT1G61130.1	Q4PSY2
3702.AT3G17180.1	Q9LSM9
3702.AT5G23210.1	Q0WPR4
3702.AT5G08260.1	Q9LEY1
3702.AT3G52000.1	Q9SV04
3702.AT3G52010.1	Q84WF0
3702.AT2G05850.1	Q9ZUG3
3702.AT3G52020.1	Q9SV02
3702.AT1G73280.1	Q9CAU1
3702.AT3G63470.1	Q0WRX3
3702.AT5G42230.1	Q9FH06
3702.AT5G42240.1	Q9FH05
3702.AT2G12480.2	Q84W27
3702.AT1G43780.1	Q9MAR8
3702.AT1G28110.1	Q93Y09
3702.AT2G33530.1	Q8VY01
3702.AT5G22980.1	Q9FFB0
3702.AT3G45010.1	Q56WF8
3702.AT3G10410.1	P32826
3702.AT1G73310.1	Q9CAU4
3702.AT1G15000.1	Q9M9Q6
3702.AT2G27920.1	Q67Y83
3702.AT2G22960.1	Q8S8P0
3702.AT3G56540.1	Q9LXY6
3702.AT5G22960.1	Q9FFB2
3702.AT1G73290.1	Q9CAU2
3702.AT1G73270.1	Q9CAU0
3702.AT3G10450.1	Q9SQX6
3702.AT2G22990.3	Q8RUW5
3702.AT2G23010.1	O64811
3702.AT5G39410.1	Q8LGI2
3702.AT2G31390.1	Q9SID0
3702.AT1G06030.1	Q9LNE3
3702.AT1G06020.1	Q9LNE4
3702.AT3G59480.1	Q9M1B9
3702.AT4G10260.1	O82616
3702.AT1G66430.1	Q9C524
3702.AT5G51830.1	Q9FLH8
3702.AT1G12860.1	Q9LPW3
3702.AT3G54220.1	Q9M384
3702.AT2G25150.1	Q8GYW8
3702.AT2G18710.1	Q38885
3702.AT2G31530.1	F4IQV7
3702.AT1G11350.1	Q9LPZ9
3702.AT4G27300.1	O81833
3702.AT1G61380.1	O64782
3702.AT1G65800.1	Q9S972
3702.AT1G65790.1	Q39086
3702.AT4G21380.1	O81905
3702.AT4G00340.1	Q39203
3702.AT4G32300.1	Q8RWZ5
3702.AT2G41890.1	P93756
3702.AT5G51040.3	Q9FI44
3702.AT1G43710.1	Q9MA74
3702.AT1G05460.1	Q8GYD9
3702.AT2G25110.1	Q93ZE8
3702.AT5G17240.1	Q6NQJ8
3702.AT1G43245.1	Q3ECY6
3702.AT5G09600.1	P0DKI0
3702.AT5G09600.1	P0DKI1
3702.AT2G46505.1	Q941A0
3702.AT1G47420.1	Q9SX77
3702.AT1G08480.1	Q941A6
3702.AT3G47833.1	Q9C5E8
3702.AT5G62575.2	Q3E870
3702.AT2G46390.1	Q9SKE0
3702.AT5G66760.1	O82663
3702.AT2G18450.1	Q9ZPX5
3702.AT3G27380.1	Q8LBZ7
3702.AT5G40650.1	Q8LB02
3702.AT5G65165.1	Q9FJP9
3702.AT5G48850.1	Q8GXU5
3702.AT1G04770.1	Q8L730
3702.AT3G55530.1	Q9M2S6
3702.AT3G50100.1	A3KPE8
3702.AT5G05540.1	Q9FFG1
3702.AT5G67240.1	Q8RXK2
3702.AT3G50090.1	Q9SN09
3702.AT5G25800.1	Q8L7M4
3702.AT5G04040.1	Q9LZA6
3702.AT3G10370.1	Q9SS48
3702.AT3G61220.2	Q9M2E2
3702.AT3G51680.1	Q9SCU0
3702.AT2G24190.2	Q9ZUH5
3702.AT2G47130.1	O80713
3702.AT2G47140.1	Q94K41
3702.AT2G47120.1	O80714
3702.AT3G29250.1	F4J2Z7
3702.AT3G29260.1	F4J300
3702.AT4G05530.1	Q9S9W2
3702.AT2G23510.1	O80467
3702.AT4G14030.1	O23264
3702.AT4G14040.1	Q93WN0
3702.AT3G23800.1	Q9LK38
3702.AT5G12370.1	Q8RVQ5
3702.AT1G02010.1	Q9C5P7
3702.AT4G12120.1	Q9SZ77
3702.AT1G11890.1	Q94AU2
3702.AT1G47550.2	Q9SX85
3702.AT1G47560.1	Q9SX86
3702.AT1G76850.1	Q8S3U9
3702.AT1G21170.1	F4HWE6
3702.AT3G10380.1	Q93YU5
3702.AT1G21650.3	D8WUA4
3702.AT4G14870.1	O23342
3702.AT3G04240.1	Q9M8Y0
3702.AT1G64350.1	Q93VR9
3702.AT3G47300.1	Q9STZ2
3702.AT5G45010.1	Q9FL96
3702.AT3G45590.1	Q9M1E8
3702.AT5G60230.2	Q9LSS3
3702.AT3G01670.1	Q93XX2
3702.AT3G01680.1	Q9SS87
3702.AT1G67790.1	Q9FXE2
3702.AT5G15800.2	P29382
3702.AT3G02310.1	P29384
3702.AT1G24260.2	O22456
3702.AT4G34200.1	O49485
3702.AT1G17745.2	O04130
3702.AT3G19480.1	Q9LT69
3702.AT4G35630.1	Q96255
3702.AT2G17630.1	Q9SHP0
3702.AT5G04120.1	F4KI56
3702.AT1G18640.2	O82796
3702.AT1G71830.1	Q94AG2
3702.AT1G34210.1	Q9XIC7
3702.AT2G13790.1	Q9SKG5
3702.AT2G13800.1	Q8LPS5
3702.AT3G54690.1	Q9M1T1
3702.AT2G47860.3	O82253
3702.AT1G43850.1	Q8W234
3702.AT1G14650.1	Q8RXF1
3702.AT5G12190.1	Q9FMP4
3702.AT3G23325.1	Q9LW64
3702.AT4G14342.1	P58728
3702.AT5G01340.1	Q9M038
3702.AT2G41530.1	Q8LAS8
3702.AT2G18180.1	Q9SI13
3702.AT5G47510.1	F4JYJ3
3702.AT4G36490.1	Q94A34
3702.AT1G55690.1	Q501H5
3702.AT5G56160.1	F4K6D3
3702.AT4G34580.1	F4JLE5
3702.AT4G39180.1	F4JVA9
3702.AT2G21540.1	Q93ZE9
3702.AT1G19650.1	F4HP88
3702.AT1G75370.2	Q8GXC6
3702.AT4G39170.1	F4JVA6
3702.AT2G16380.1	Q9SIW3
3702.AT2G21520.2	F4IHJ0
3702.AT3G24840.1	F4J7S8
3702.AT5G14930.2	Q4F883
3702.AT3G18420.1	Q9LS48
3702.AT2G13360.1	Q56YA5
3702.AT2G38740.1	Q9ZVJ5
3702.AT1G27980.1	Q9C509
3702.AT4G22920.1	O82741
3702.AT4G11910.1	Q66WT5
3702.AT1G44000.1	Q94AQ9
3702.AT5G23570.1	Q9LDX1
3702.AT4G23570.3	Q9SUR9
3702.AT4G11260.1	Q9SUT5
3702.AT5G65490.1	Q9LSM5
3702.AT1G31480.1	Q8W5R2
3702.AT2G36810.1	F4IP13
3702.AT5G02750.1	Q8GXF8
3702.AT1G15215.2	Q9XI47
3702.AT3G18380.2	Q8RWJ7
3702.AT5G66350.1	Q9XGX0
3702.AT5G11190.1	Q9LFN7
3702.AT5G25390.2	Q3E958
3702.AT4G37650.1	Q9SZF7
3702.AT2G19070.1	O64470
3702.AT3G56710.1	Q9LDH1
3702.AT2G41180.1	O80669
3702.AT3G08800.1	Q8VZA0
3702.AT1G64860.1	O24629
3702.AT1G08540.1	O22056
3702.AT3G53920.1	O24621
3702.AT5G13730.1	Q9ZSL6
3702.AT5G24120.1	Q9ZNX9
3702.AT2G36990.1	Q9LD95
3702.AT5G37930.1	Q84K34
3702.AT5G04470.1	Q9LZ78
3702.AT2G41670.1	Q8L607
3702.AT2G41980.1	P93748
3702.AT3G58040.1	Q9M2P4
3702.AT3G61790.1	Q84JL3
3702.AT4G27880.1	Q9STN8
3702.AT1G66610.1	Q9C6H4
3702.AT1G66620.1	Q9C6H3
3702.AT1G66630.1	Q9C6H2
3702.AT1G66650.1	Q9C9M0
3702.AT5G37870.1	Q9FKD9
3702.AT5G37890.1	Q9FKD7
3702.AT5G37910.1	Q9FKD5
3702.AT3G04090.1	Q9M8W5
3702.AT5G18290.1	Q9FK43
3702.AT3G56950.2	Q9M1K3
3702.AT4G33410.1	Q93Z32
3702.AT1G63690.1	Q8W469
3702.AT2G43070.1	Q4V3B8
3702.AT1G01650.1	Q0WMJ8
3702.AT1G05820.1	Q9MA44
3702.AT2G03120.1	O81062
3702.AT5G55760.1	Q9FE17
3702.AT5G09230.7	Q94AQ6
3702.AT2G19190.1	O64483
3702.AT5G04590.1	Q9LZ66
3702.AT3G47990.1	Q8GYT9
3702.AT5G60410.2	Q680Q4
3702.AT2G21940.4	Q9SJ05
3702.AT4G39540.3	Q8GY88
3702.AT3G60660.1	Q9LZZ7
3702.AT2G02870.1	Q8L736
3702.AT3G26000.1	Q9LU91
3702.AT1G76920.1	O49279
3702.AT1G06110.1	Q9LND7
3702.AT4G02740.1	Q0WRC9
3702.AT4G05460.1	Q9M0U9
3702.AT3G59940.1	Q9M1Y1
3702.AT1G23780.1	Q9ZUB8
3702.AT2G17030.1	Q3EBZ2
3702.AT1G08710.2	Q9CAZ0
3702.AT1G31350.1	Q8GX29
3702.AT4G21510.1	O65416
3702.AT2G01620.1	Q9ZU90
3702.AT3G46960.1	F4JAA5
3702.AT3G63220.2	Q9M1W7
3702.AT5G45360.1	Q9FHK0
3702.AT1G21760.1	Q9XI00
3702.AT5G65495.1	Q8GWU7
3702.AT3G59910.1	Q9M1Y3
3702.AT1G76630.2	F4I3Z5
3702.AT5G57900.1	Q9FDX1
3702.AT5G67250.1	Q9FE83
3702.AT2G02350.1	Q9FV02
3702.AT3G61350.1	Q9M2C9
3702.AT3G54480.1	Q94FT2
3702.AT2G21950.1	Q9SJ04
3702.AT4G10925.1	Q93YV9
3702.AT1G77180.1	O80653
3702.AT3G26900.1	Q9LW20
3702.AT2G35500.1	O82290
3702.AT3G02850.1	Q9M8S6
3702.AT1G75950.1	Q39255
3702.AT5G42190.1	Q9FHW7
3702.AT1G21410.1	Q9LPL4
3702.AT1G77000.1	O49286
3702.AT4G25240.1	Q8VXX5
3702.AT5G51480.1	Q9FHN6
3702.AT4G12420.1	Q9SU40
3702.AT3G13570.1	Q9LHP2
3702.AT1G12480.1	Q9LD83
3702.AT1G62280.1	Q5E930
3702.AT4G27970.1	Q9ASQ7
3702.AT5G24030.1	Q9FLV9
3702.AT1G62262.1	A8MRV9
3702.AT3G61580.1	Q9ZRP7
3702.AT2G46210.1	Q3EBF7
3702.AT4G25520.1	Q0WVM7
3702.AT5G62090.1	Q94BP0
3702.AT4G25515.1	F4JT98
3702.AT1G65660.1	Q9SHY8
3702.AT4G37120.1	O23174
3702.AT2G17980.1	Q9SL48
3702.AT5G05130.1	Q9FF61
3702.AT5G22750.1	Q9FNI6
3702.AT5G43530.1	Q9FIY7
3702.AT4G13520.1	Q9T0H2
3702.AT3G24280.1	Q1ECS0
3702.AT1G79580.1	Q9MA17
3702.AT3G54670.3	Q6Q1P4
3702.AT5G62410.1	Q9C5Y4
3702.AT3G47460.1	Q9SN90
3702.AT2G27170.1	Q56YN8
3702.AT5G48600.2	Q9FJL0
3702.AT5G15920.1	Q9LFS8
3702.AT5G07660.1	Q9FLR5
3702.AT5G61460.1	Q9FII7
3702.AT1G28260.1	Q9FZ99
3702.AT5G19400.1	A9QM73
3702.AT4G12110.1	Q8L7W5
3702.AT4G22756.1	Q1EC69
3702.AT4G22753.2	F4JLZ6
3702.AT2G29390.1	Q9ZW22
3702.AT1G07420.1	Q8VWZ8
3702.AT3G10525.1	Q9LPP4
3702.AT1G08180.1	Q9SGE2
3702.AT5G02420.1	Q9LZ60
3702.AT5G13710.1	Q9LM02
3702.AT1G20330.1	Q39227
3702.AT1G76090.1	Q94JS4
3702.AT1G73720.1	Q8W117
3702.AT2G26460.1	O48713
3702.AT3G54990.1	Q6PV68
3702.AT3G56450.1	Q9LXZ5
3702.AT3G56190.1	Q9SPE6
3702.AT4G20410.1	Q9SPE5
3702.AT4G16890.1	O23530
3702.AT5G48170.1	Q9LUB6
