160490.SPy_1744	Q99YE0
160490.SPy_0484	A0A0C6FDT5
160490.SPy_1952	A0A0C6G0R0
160490.SPy_1577	A0A0C6G369
160490.SPy_0165	D7S040
160490.SPy_0473	A0A0C6FYL6
160490.SPy_1354	A0A0C6FFH1
160490.SPy_1069	A0A0C6G3Y5
160490.SPy_1099	Q933R8
160490.SPy_0930	A0A0C6G2F3
160490.SPy_1290	A0A0C6G046
160490.SPy_1945	A0A0C6G111
160490.SPy_0289	A0A0C6G1R0
160490.SPy_0166	Q2VJ58
160490.SPy_1253	A0A0C6FZR5
160490.SPy_1851	A0A0C6G4P1
160490.SPy_1753	A0A0C6G602
160490.SPy_1516	A0A0C6FFY0
160490.SPy_0015	A0A0C6FU65
160490.SPy_2185	A0A0C6G4Y3
160490.SPy_1161	A0A0C6G5Q4
160490.SPy_1646	A0A0C6G392
160490.SPy_1898	A0A0C6G3L1
160490.SPy_1020	A0A0C6FVB6
160490.SPy_0080a	A0A0C6FY30
160490.SPy_0260	A0A0C6FI46
160490.SPy_0786	A0A0C6FJ61
160490.SPy_2033	A0A0C6FTU3
160490.SPy_0278	A0A0C6FYB1
160490.SPy_1987	A0A0C6G0T4
160490.SPy_1561	A0A0C6G5X2
160490.SPy_1384	A0A0C6FKB9
160490.SPy_1980	A0A0C6FLI2
160490.SPy_0196	A0A0C6FUD3
160490.SPy_0338	A0A0C6G597
160490.SPy_1098	A0A0C6FVF1
160490.SPy_1750	A0A0C6FWF8
160490.SPy_1173	A0A0C6G2M7
160490.SPy_0588	A0A0C6FRF2
160490.SPy_0890	A0A0C6G3T0
160490.SPy_0595	A0A0C6FRF5
160490.SPy_1188	A0A0C6FSC8
160490.SPy_1442	A0A0C6G4A5
160490.SPy_0844	A0A0C6FEC3
160490.SPy_0244	A0A0C6FQW4
160490.SPy_1224	A0A0C6FSE9
160490.SPy_0264	A0A0C6FU83
160490.SPy_0504	A0A0C6FUQ5
160490.SPy_1205	A0A0C6G2P1
160490.SPy_0914	A0A0C6FEH5
160490.SPy_0237	A0A0C6FUE4
160490.SPy_1159	A0A0C6FVI1
160490.SPy_0037	A0A0C6G1H7
160490.SPy_1429	A0A0C6FKG4
160490.SPy_0552	A0A0C6G236
160490.SPy_0763	A0A0C6G3N0
160490.SPy_0486	A0A0C6FUQ9
160490.SPy_1708	A0A0C6FX05
160490.SPy_2077	A0A0C6G4V7
160490.SPy_0216	A0A0C6G310
160490.SPy_0067	A0A0C6G1I4
160490.SPy_1365	A0A0C6G5U0
160490.SPy_2041	K7NBJ9
160490.SPy_0790	A0A0C6FRP1
160490.SPy_1425	A0A0C6FSS2
160490.SPy_0151	A0A0C6FD01
160490.SPy_1536	A0A0C6FG05
160490.SPy_0327	A0A0C6FUH5
160490.SPy_1714	A0A0C6FX08
160490.SPy_1821	A0A0C6FX70
160490.SPy_1815	A0A0C6FL32
160490.SPy_0258	A0A0C6G1P8
160490.SPy_0032	A0A0C6G1H0
160490.SPy_1678	A0A0C6FWB8
160490.SPy_0178	A0A0C6FY55
160490.SPy_0230	A0A0C6FYF4
160490.SPy_0784	A0A0C6FZ65
160490.SPy_0349	A0A0C6G1T1
160490.SPy_0865	A0A0C6FZ66
160490.SPy_1489	A0A0C6G0G1
160490.SPy_0207	A0A0C6G1N3
160490.SPy_0366	A0A0C6FYR6
160490.SPy_1249	A0A0C6G015
160490.SPy_0412	A0A0C6G3C9
160490.SPy_0921	A0A0C6G5M5
160490.SPy_2005	Q2PJ87
160490.SPy_1170	A0A0C6FJP6
160490.SPy_1639	A0A0C6G4I0
160490.SPy_0856	A0A0C6G5L4
160490.SPy_2156	A0A0C6G3U5
160490.SPy_0500	A0A0C6G203
160490.SPy_1243	A0A0C6FZQ6
160490.SPy_2034	A0A0C6G0W7
160490.SPy_2198	A0A0C6G668
160490.SPy_0341	A0A0C6FUH9
160490.SPy_2104	A0A0C6FXN5
160490.SPy_0527	A0A0C6FYP5
160490.SPy_0479	A0A0C6FDT2
160490.SPy_1328	A0A0C6FFF7
160490.SPy_0600	A0A0C6FUY1
160490.SPy_2050	A0A0C6FWU8
160490.SPy_2166	A0A0C6G114
160490.SPy_1219	A0A0C6FSE5
160490.SPy_1226	A0A0C6G438
160490.SPy_1836	A0A0C6FWK3
160490.SPy_0947	A0A0C6G085
160490.SPy_1793	A0A0C6G4M6
160490.SPy_1299	A0A0C6G051
160490.SPy_1581	A0A0C6G0K8
160490.SPy_1835	A0A0C6FTF9
160490.SPy_0292	A0A0C6FYB9
160490.SPy_1971	A0A0C6G636
160490.SPy_0604	A0A0C6FYU2
160490.SPy_2150	A0A0C6FWX5
160490.SPy_1914	A0A0C6G627
160490.SPy_0731	A3F8V6
160490.SPy_0456	Q9RNI8
160490.SPy_2184	A0A0C6G1D1
160490.SPy_1191	A0A0C6G2N6
160490.SPy_0636	A0A0C6G3K0
160490.SPy_1737	A0A0C6FTA8
160490.SPy_0909	A0A0C6FEH0
160490.SPy_0457	A0A0C6FUP4
160490.SPy_2164	A0A0C6FXR0
160490.SPy_1160	A0A0C6G2M2
160490.SPy_1642	L7WF61
160490.SPy_1776	A0A0C6G4M0
160490.SPy_1145	A0A0C6G5Q1
160490.SPy_1693	A0A0C6FGH9
160490.SPy_2148	A0A0C6FU00
160490.SPy_1405	A0A0C6G0B4
160490.SPy_0791	A0A0C6G5K3
160490.SPy_0306	A0A0C6FUG8
160490.SPy_1411	A0A0C6FWF6
160490.SPy_1638	A0A0C6G0P3
160490.SPy_0817	A0A0C6G3Q5
160490.SPy_0895	A0A0C6G2E4
160490.SPy_1395	A0A0C6G300
160490.SPy_0060	A0A0C6FTU5
160490.SPy_0255	A0A0C6FI42
160490.SPy_2013	A0A0C6G150
160490.SPy_2081	A0A0C6FLS2
160490.SPy_2199	A0A0C6FU39
160490.SPy_0229	A0A0C6FUE2
160490.SPy_1694	A0A0C6G5Z2
160490.SPy_0873	A0A0C6FEE4
160490.SPy_1011	A0A0C6FRZ5
160490.SPy_0448	A0A0C6FUM4
160490.SPy_1755	A0A0C6G4L5
160490.SPy_0903	A0A0C6FEG7
160490.SPy_1637	A0A0C6FT67
160490.SPy_0628	A0A0C6FIW8
160490.SPy_0020	A0A0C6FU69
160490.SPy_1369	A0A0C6G093
160490.SPy_1466	A0A0C6FFR2
160490.SPy_1682	A0A0C6FT82
160490.SPy_0078	A0A0C6FY08
160490.SPy_0252	A0A0C6G1P6
160490.SPy_1389	A0A0C6G2Z7
160490.SPy_0212	A0A0C6FU49
160490.SPy_0565	A0A0C6G242
160490.SPy_1059	A0A0C6G3Y0
160490.SPy_1626	A0A0C6FW89
160490.SPy_1308	A0A0C6G466
160490.SPy_0208	A0A0C6G564
160490.SPy_1107	A0A0C6FZG0
160490.SPy_1742	A0A0C6G600
160490.SPy_2016	Q9JMQ5
160490.SPy_0390	A0A0C6FR68
160490.SPy_0637	A0A0C6FUZ9
160490.SPy_0489	A0A0C6G5D8
160490.SPy_0329	A0A0C6FUF6
160490.SPy_1361	A0A0C6FWC0
160490.SPy_1053	A0A0C6FZQ8
160490.SPy_1562	A0A0C6FKM8
160490.SPy_0747	A0A0C6FRL3
160490.SPy_2200	W0S472
160490.SPy_0752	A0A0C6FE58
160490.SPy_0269	A0A0C6FQY8
160490.SPy_1723	A0A0C6G4K3
160490.SPy_1783	A0A0C6FWH4
160490.SPy_0245	A0A0C6FYG5
160490.SPy_1202	A0A0C6FJR6
160490.SPy_1075	A0A0C6FVE1
160490.SPy_0515	A0A0C6FYW6
160490.SPy_2173	A0A0C6G116
160490.SPy_1698	A0A0C6G4J6
160490.SPy_0373	A0A0C6G1T8
160490.SPy_0195	A0A0C6FY64
160490.SPy_1633	A0A0C6G388
160490.SPy_0142	A0A0C6FQM1
160490.SPy_0096	A0A0C6FY13
160490.SPy_2207	A0A0C6FU47
160490.SPy_1198	A0A0C6FF44
160490.SPy_1998	A0A0C6FLJ8
160490.SPy_0558	A0A0C6FUU8
160490.SPy_1511	A0A0C6FW36
160490.SPy_1082	Q9FDV2
160490.SPy_1263	A0A0C6G024
160490.SPy_0039	A0A0C6G2S1
160490.SPy_0833	A0A0C6G5L0
160490.SPy_0150	A0A0C6G2X8
160490.SPy_1618	A0A0C6FKQ2
160490.SPy_1761	A0A0C6FKY9
160490.SPy_2182	A0A0C6FXS4
160490.SPy_1176	A0A0C6FZY2
160490.SPy_0430	A0A0C6G3D3
160490.SPy_0183	A0A0C6FYC1
160490.SPy_2074	A0A0C6G183
160490.SPy_1825	A0A0C6G4N5
160490.SPy_1547	A0A0C6G5X0
160490.SPy_1740	A0A0C6FGK2
160490.SPy_2190	A0A0C6G1D4
160490.SPy_0436	Q7BAE3
160490.SPy_0277	A0A0C6FI55
160490.SPy_1557	A0A0C6FT08
160490.SPy_1976	A0A0C6FWR1
160490.SPy_1022	A0A0C6G2F9
160490.SPy_1884	A0A0C6FWM2
160490.SPy_0854	A0A0C6FED1
160490.SPy_1228	A0A0C6FJU7
160490.SPy_0337	O87528
160490.SPy_0760	A0A0C6FRM1
160490.SPy_1877	A0A0C6FWL9
160490.SPy_1849	A0A0C6FTG6
160490.SPy_1918	A0A0C6FXC1
160490.SPy_2045	A0A0C6FH81
160490.SPy_1038	A0A0C6FZC0
160490.SPy_1068	A0A0C6FZS3
160490.SPy_1674	A0A0C6G5Y9
160490.SPy_0295	A0A0C6FYL0
160490.SPy_1704	A0A0C6G0R1
160490.SPy_2001	Q9ZAS5
160490.SPy_0876	A0A0C6FJA0
160490.SPy_1094	A0A0C6G5P2
160490.SPy_1294	A0A0C6FSJ2
160490.SPy_0836	A0A0C6FZ56
160490.SPy_0559	A0A0C6G239
160490.SPy_1230	A0A0C6FSF3
160490.SPy_1353	A0A0C6G478
160490.SPy_2089	A0A0C6G4W1
160490.SPy_1058	A0A0C6FZC9
160490.SPy_0326	A0A0C6G391
160490.SPy_0513	A0A0C6FIM4
160490.SPy_1701	A0A0C6FT92
160490.SPy_0137	A0A0C6FY34
160490.SPy_1754	A0A0C6G0T0
160490.SPy_1524	A0A0C6G0I0
160490.SPy_1569	A0A0C6G368
160490.SPy_0345	A0A0C6FI92
160490.SPy_0395	A0A0C6G3C5
160490.SPy_0605	A0A0C6G3J3
160490.SPy_0274	Q54A60
160490.SPy_1267	A0A0C6G2S0
160490.SPy_0165	D7S090
160490.SPy_1070	A0A0C6FES4
160490.SPy_2119	A0A0C6FWX2
160490.SPy_2149	A0A0C6G1B2
160490.SPy_1842	A0A0C6G0V9
160490.SPy_1261	A0A0C6G2R7
160490.SPy_0511	A0A0C6G3F9
160490.SPy_0268	A0A0C6G1Q3
160490.SPy_0576	A0A0C6FDY5
160490.SPy_1939	A0A0C6FLE7
160490.SPy_1240	A0A0C6G442
160490.SPy_0542	A0A0C6FDW2
160490.SPy_1469	A0A0C6G330
160490.SPy_1684	A0A0C6G4J3
160490.SPy_1580	A0A0C6G5X5
160490.SPy_1947	A0A0C6FGY0
160490.SPy_0640	A0A0C6FIX9
160490.SPy_0738	O69194
160490.SPy_0305	A0A0C6FYC7
160490.SPy_2091	A0A0C6G654
160490.SPy_2152	A0A0C6G660
160490.SPy_1873	A0A0C6G4P8
160490.SPy_0498	A0A0C6FUQ0
160490.SPy_1782	A0A0C6G0I7
160490.SPy_1270	A0A0C6FSG9
160490.SPy_0077	A0A0C6FCT9
160490.SPy_1960	A0A0C6FGZ3
160490.SPy_1247	A0A0C6FW31
160490.SPy_0583	A0A0C6FYZ4
160490.SPy_1440	A0A0C6G324
160490.SPy_1687	A0A0C6G5Z1
160490.SPy_2157	A0A0C6FXQ5
160490.SPy_2063	A0A0C6G650
160490.SPy_0383	A0A0C6FYH1
160490.SPy_1073	A0A0C6FZD8
160490.SPy_0107	A0A0C6FUA5
160490.SPy_1019	A0A0C6FZM5
160490.SPy_0780	A0A0C6G3N7
160490.SPy_2176	A0A0C6FHI1
160490.SPy_1017	A0A0C6G5M9
160490.SPy_0948	A0A0C6FKI8
160490.SPy_0276	A0A0C6FQZ2
160490.SPy_0830	A0A0C6FZ55
160490.SPy_1495	A0A0C6G342
160490.SPy_0802	A0A0C6G3P7
160490.SPy_1102	A0A0C6FZF6
160490.SPy_0632	A0A0C6FRG7
160490.SPy_0074	A0A0C6FY26
160490.SPy_2018	W0T3T8
160490.SPy_1324	A0A0C6FSL1
160490.SPy_0050	A0A0C6G1I0
160490.SPy_0433	A0A0C6FIF0
160490.SPy_1811	A0A0C6G3G7
160490.SPy_1921	A0A0C6G0Z5
160490.SPy_2196	A0A0C6G1D8
160490.SPy_1260	A0A0C6FVN2
160490.SPy_0256	A0A0C6FY97
160490.SPy_1824	A0A0C6G0V4
160490.SPy_0469	A0A0C6FUQ1
160490.SPy_2188	A0A0C6FXS8
160490.SPy_0471	A0A0C6G5D3
160490.SPy_1062	A0A0C6FS35
160490.SPy_2092	A0A0C6G193
160490.SPy_2206	A0A0C6G670
160490.SPy_1497	A0A0C6FKJ5
160490.SPy_1174	A0A0C6G5Q6
160490.SPy_0629	A0A0C6G3J9
160490.SPy_0638	A0A0C6G272
160490.SPy_1541	A0A0C6G5W9
160490.SPy_0115	A0A0C6FUA7
160490.SPy_1498	A0A0C6G092
160490.SPy_0427	A0A0C6FR78
160490.SPy_1854	A0A0C6FL74
160490.SPy_1606	A0A0C6FW77
160490.SPy_1730	A0A0C6FX17
160490.SPy_0310	A0A0C6FYD0
160490.SPy_1961	A0A0C6G3P1
160490.SPy_0157	A0A0C6G2Y1
160490.SPy_1770	A0A0C6FGM4
160490.SPy_0147	A0A0C6FU05
160490.SPy_1632	A0A0C6FW92
160490.SPy_0574	A0A0C6FYZ0
160490.SPy_0501	A0A0C6G3F5
160490.SPy_1364	Q9FDF7
160490.SPy_1875	A0A0C6FL95
160490.SPy_1621	A0A0C6G4G8
160490.SPy_0466	A0A0C6FII1
160490.SPy_0407	A0A0C6FUL7
160490.SPy_1189	A0A0C6FZM0
160490.SPy_0337	Q9LAU2
160490.SPy_0210	A0A0C6FD63
160490.SPy_1629	A0A0C6FT64
160490.SPy_0799	A0A0C6FZ42
160490.SPy_0796	A0A0C6G2B4
160490.SPy_0894	A0A0C6FRW3
160490.SPy_0377	A0A0C6FYG7
160490.SPy_0274	Q4W646
160490.SPy_0337	D4QE70
160490.SPy_1371	A0A0C6FWC9
160490.SPy_1244	A0A0C6FVM1
160490.SPy_1763	A0A0C6G0I1
160490.SPy_1434	A0A0C6G322
160490.SPy_1871	A0A0C6G0L6
160490.SPy_0606	A0A0C6G260
160490.SPy_1868	A0A0C6G4P6
160490.SPy_0755	A0A0C6G5J7
160490.SPy_0732	A0A0C6FE41
160490.SPy_1427	A0A0C6G0C9
160490.SPy_2049	A0A0C6G170
160490.SPy_1056	A0A0C6FVQ5
160490.SPy_2042	Q9FB04
160490.SPy_0309	A0A0C6FDG1
160490.SPy_1862	A0A0C6FWL2
160490.SPy_0380	A0A0C6FDP3
160490.SPy_1568	A0A0C6FW61
160490.SPy_0198	A0A0C6FYD5
160490.SPy_1805	A0A0C6G4N0
160490.SPy_1743	A0A0C6FKX5
160490.SPy_1018	A0A0C6FRZ9
160490.SPy_0889	A0A0C6G2E2
160490.SPy_0006	A0A0C6FTP1
160490.SPy_1126	A0A0C6FVG5
160490.SPy_1484	A0A0C6FW19
160490.SPy_0589	A0A0C6FYT3
160490.SPy_1588	A0A0C6G4F6
160490.SPy_0580	A0A0C6FIT4
160490.SPy_0384	A0A0C6FYS2
160490.SPy_1500	A0A0C6G344
160490.SPy_1436	A0A0C6G4A3
160490.SPy_1712	A0A0C6FGI8
160490.SPy_1419	A0A0C6FVZ8
160490.SPy_0824	A0A0C6G3Q7
160490.SPy_0386	Q06A44
160490.SPy_0880	A0A0C6FZF0
160490.SPy_1055	A0A0C6G2H3
160490.SPy_1156	A0A0C6G5Q3
160490.SPy_0084	A0A0C6FCU6
160490.SPy_0235	A0A0C6FI33
160490.SPy_1915	A0A0C6G0Z1
160490.SPy_1844	A0A0C6G4P0
160490.SPy_1323	A0A0C6G2V8
160490.SPy_1878	A0A0C6G3K2
160490.SPy_0898	A0A0C6G3T4
160490.SPy_1718	A0A0C6FWD8
160490.SPy_0715	A0A0C6FYX9
160490.SPy_0316	A0A0C6G592
160490.SPy_0463	A0A0C6FR96
160490.SPy_1215	A0A0C6FVK7
160490.SPy_1801	A0A0C6FL20
160490.SPy_1262	A0A0C6FSG8
160490.SPy_2083	A0A0C6G4V9
160490.SPy_0250	N0DXB1
160490.SPy_2151	A0A0C6FHG0
160490.SPy_0741	A0A0C6G293
160490.SPy_0057	A0A0C6G2S8
160490.SPy_0371	A0A0C6FR60
160490.SPy_1097	A0A0C6FZF2
160490.SPy_2115	A0A0C6FHF0
160490.SPy_1452	A0A0C6FWH6
160490.SPy_0892	A0A0C6FZ77
160490.SPy_0363	A0A0C6G3B6
160490.SPy_1301	A0A0C6G465
160490.SPy_0570	A0A0C6FDY0
160490.SPy_0248	A0A0C6FU72
160490.SPy_0643	A0A0C6FV06
160490.SPy_0038	A0A0C6FXZ8
160490.SPy_1630	A0A0C6G0P1
160490.SPy_1840	A0A0C6FL60
160490.SPy_1085	A0A0C6FZU0
160490.SPy_1627	A0A0C6FGE3
160490.SPy_1549	A0A0C6FT03
160490.SPy_0907	A0A0C6FV98
160490.SPy_1468	A0A0C6FW11
160490.SPy_1931	A0A0C6FXC7
160490.SPy_0069	A0A0C6G527
160490.SPy_0544	A0A0C6FRD3
160490.SPy_0891	A0A0C6FJB1
160490.SPy_0905	A0A0C6FZ84
160490.SPy_0497	A0A0C6FUR3
160490.SPy_1183	A0A0C6FVJ4
160490.SPy_0650	A0A0C6FZ15
160490.SPy_0929	A0A0C6G3V2
160490.SPy_1306	A0A0C6FSK1
160490.SPy_0496	A0A0C6FDT8
160490.SPy_1103	A0A0C6FVU5
160490.SPy_1309	A0A0C6FFE6
160490.SPy_1675	A0A0C6FT80
160490.SPy_0531	A0A0C6FRC7
160490.SPy_1047	A0A0C6FVC6
160490.SPy_1024	A0A0C6FVM7
160490.SPy_1352	A0A0C6G080
160490.SPy_1528	A0A0C6FW44
160490.SPy_0324	A0A0C6FI78
160490.SPy_0867	A0A0C6FED9
160490.SPy_0145	A0A0C6FUB6
160490.SPy_0285	A0A0C6FYK1
160490.SPy_1399	A0A0C6G0B0
160490.SPy_0160	A0A0C6FQN7
160490.SPy_1772	A0A0C6FTC5
160490.SPy_1845	A0A0C6FGR2
160490.SPy_0545	A0A0C6FUT9
160490.SPy_0912	A0A0C6FVA1
160490.SPy_1697	A0A0C6G0Q9
160490.SPy_0567	A0A0C6FIS0
160490.SPy_1688	A0A0C6FKU4
160490.SPy_1866	A0A0C6FTH7
160490.SPy_1276	A0A0C6FSH2
160490.SPy_1514	A0A0C6G0H3
160490.SPy_1408	A0A0C6G312
160490.SPy_0065	A0A0C6FY01
160490.SPy_2191	A0A0C6G3V4
160490.SPy_0165	Q9RF14
160490.SPy_0095	A0A0C6FHV5
160490.SPy_2194	A0A0C6FLX2
160490.SPy_1619	A0A0C6FT45
160490.SPy_1401	A0A0C6FVX8
160490.SPy_1494	A0A0C6FWL3
160490.SPy_0024	A0A0C6FXW8
160490.SPy_1295	A0A0C6FZV7
160490.SPy_0572	A0A0C6FIS7
160490.SPy_1223	A0A0C6FW15
160490.SPy_1839	A0A0C6FGQ9
160490.SPy_0927	A0A0C6FRY7
160490.SPy_1109	A0A0C6FVU8
160490.SPy_0772	A0A0C6G2A7
160490.SPy_0382	A0A0C6FIB5
160490.SPy_0783	A0A0C6FRN6
160490.SPy_2113	A0A0C6G1A4
160490.SPy_1400	A0A0C6G492
160490.SPy_2093	A0A0C6G4W2
160490.SPy_0518	A0A0C6FRC2
160490.SPy_1829	A0A0C6FTF5
160490.SPy_1603	A0A0C6G5X8
160490.SPy_0025	A0A0C6FU73
160490.SPy_0367	A0A0C6G3B7
160490.SPy_0512	A0A0C6G5E4
160490.SPy_0826	A0A0C6G5K9
160490.SPy_1343	A0A0C6FWA8
160490.SPy_0215	A0A0C6FYE6
160490.SPy_2106	A0A0C6FLT5
160490.SPy_1406	A0A0C6G040
160490.SPy_0751	A0A0C6G3M6
160490.SPy_0226	A0A0C6FI28
160490.SPy_0835	A0A0C6FJ84
160490.SPy_1162	A0A0C6FJP2
160490.SPy_1077	A0A0C6G2I3
160490.SPy_1744	A0A0C6G4L1
160490.SPy_1676	A0A0C6G0E8
160490.SPy_0478	A0A0C6G3E9
160490.SPy_0726	A0A0C6FJ05
160490.SPy_0488	A0A0C6FRA7
160490.SPy_1599	A0A0C6G0C3
160490.SPy_0885	A0A0C6G5L9
160490.SPy_0071	A0A0C6FHU5
160490.SPy_1242	A0A0C6FJV9
160490.SPy_1559	A0A0C6G364
160490.SPy_2072	A0A0C6G651
160490.SPy_1128	A0A0C6FS95
160490.SPy_1973	A0A0C6G4S9
160490.SPy_0728	A0A0C6FRJ5
160490.SPy_0864	A0A0C6FRU3
160490.SPy_0348	A0A0C6FUI2
160490.SPy_0044	A0A0C6G520
160490.SPy_0040	A0A0C6FCR0
160490.SPy_0932	A0A0C6FJD8
160490.SPy_0133	A0A0C6G1K5
160490.SPy_1719	A0A0C6FGI9
160490.SPy_0190	A0A0C6FU37
160490.SPy_1033	A0A0C6FZB5
160490.SPy_1325	A0A0C6G065
160490.SPy_0170	A0A0C6FU19
160490.SPy_1937	A0A0C6G3M9
160490.SPy_1010	A0A0C6G5M8
160490.SPy_0634	A0A0C6FZ10
160490.SPy_0575	A0A0C6G3I2
160490.SPy_0508	A0A0C6FRB7
160490.SPy_1186	A0A0C6FVZ1
160490.SPy_1036	A0A0C6FZP2
160490.SPy_1408	A0A0C6G0B8
160490.SPy_0026	A0A0C6G2R4
160490.SPy_0130	B8QYI9
160490.SPy_2186	A0A0C6FHJ0
160490.SPy_1963	A0A0C6FLH0
160490.SPy_0181	A0A0C6G1M4
160490.SPy_1474	A0A0C6FW14
160490.SPy_1239	A0A0C6G010
160490.SPy_1064	A0A0C6FVD5
160490.SPy_0416	Q201Z7
160490.SPy_0881	A0A0C6FJA4
160490.SPy_1727	A0A0C6FKW1
160490.SPy_1067	A0A0C6FJH5
160490.SPy_0072	A0A0C6FY05
160490.SPy_0447	A0A0C6FYJ9
160490.SPy_1012	A0A0C6FZA6
160490.SPy_0203	A0A0C6FUD6
160490.SPy_1981	A0A0C6G0S9
160490.SPy_1711	A0A0C6G4K0
160490.SPy_0135	A0A0C6FCY4
160490.SPy_0831	A0A0C6FV76
160490.SPy_1741	A0A0C6G3D1
160490.SPy_1765	A0A0C6FX38
160490.SPy_1257	A0A0C6G5S0
160490.SPy_2084	A0A0C6FHB6
160490.SPy_1457	A0A0C6FWI0
160490.SPy_1681	A0A0C6FWZ7
160490.SPy_1956	A0A0C6G3N8
160490.SPy_1546	A0A0C6G4D5
160490.SPy_1329	A0A0C6G2W2
160490.SPy_1119	A0A0C6FJK4
160490.SPy_0596	A0A0C6FYZ7
160490.SPy_1144	A0A0C6FZW7
160490.SPy_1894	A0A0C6G624
160490.SPy_2079	A0A0C6FHB1
160490.SPy_1121	A0A0C6FVG1
160490.SPy_1846	A0A0C6FL65
160490.SPy_2120	A0A0C6G3U2
160490.SPy_0454	Q9RNI9
160490.SPy_2007	Q7DII5
160490.SPy_0952	A0A0C6G083
160490.SPy_1135	A0A0C6FS98
160490.SPy_0437	A0A0C6G1W8
160490.SPy_1316	A0A0C6FSK7
160490.SPy_0176	A0A0C6FQQ5
160490.SPy_2202	A0A0C6FU43
160490.SPy_1872	A0A0C6FWL6
160490.SPy_1589	A0A0C6G0C0
160490.SPy_1935	A0A0C6G4R7
160490.SPy_1233	A0A0C6G2Q3
160490.SPy_0045	A0A0C6FCR6
160490.SPy_2217	A0A0C6FHM6
160490.SPy_1728	A0A0C6G0G6
160490.SPy_0379	A0A0C6G1U1
160490.SPy_1936	A0A0C6FWP6
160490.SPy_1386	A0A0C6G489
160490.SPy_0399	A0A0C6FIC6
160490.SPy_1357	Q9X5C4
160490.SPy_0899	A0A0C6FEG4
160490.SPy_0805	A0A0C6FRQ2
160490.SPy_0228	A0A0C6FY80
160490.SPy_0236	A0A0C6FY85
160490.SPy_1125	A0A0C6FZH3
160490.SPy_1122	A0A0C6G2K4
160490.SPy_1358	A0A0C6G480
160490.SPy_1781	A0A0C6FL03
160490.SPy_0428	A0A0C6FUL2
160490.SPy_0334	A0A0C6FYE0
160490.SPy_0064	A0A0C6FHU0
160490.SPy_1499	A0A0C6FW29
160490.SPy_1686	A0A0C6G3A4
160490.SPy_1613	A0A0C6G0C7
160490.SPy_0265	A0A0C6FQY4
160490.SPy_0003	A0A0C6G2Q2
160490.SPy_0526	A0A0C6FIN5
160490.SPy_0362	A0A0C6FYR5
160490.SPy_0756	A0A0C6FJ44
160490.SPy_0129	A0A0C6FCX8
160490.SPy_1025	A0A0C6FJE8
160490.SPy_0539	A0A0C6FUT4
160490.SPy_0621	A0A0C6FYV2
160490.SPy_0598	A0A0C6FUX8
160490.SPy_2170	A0A0C6FXR4
160490.SPy_1190	A0A0C6FVJ5
160490.SPy_1084	A0A0C6FS66
160490.SPy_0919	A0A0C6G2E9
160490.SPy_0358	A0A0C6FDN1
160490.SPy_1222	A0A0C6FF61
160490.SPy_0915	A0A0C6FJC6
160490.SPy_1876	A0A0C6G0L9
160490.SPy_1857	A0A0C6G3I9
160490.SPy_0098	A0A0C6G1J1
160490.SPy_0280	A0A0C6FDC7
160490.SPy_1414	A0A0C6G5U8
160490.SPy_0123	A0A0C6FCX4
160490.SPy_0124	A0A0C6FTY9
160490.SPy_2165	A0A0C6FU11
160490.SPy_1823	A0A0C6G0K1
160490.SPy_0164	A0A0C6FUC1
160490.SPy_1572	A0A0C6G0B7
160490.SPy_2073	A0A0C6FTX0
160490.SPy_0195	A0A0C6FVW3
160490.SPy_1922	A0A0C6FWP0
160490.SPy_0749	A0A0C6FZ41
160490.SPy_1373	A0A0C6G017
160490.SPy_0103	A0A0C6G2U8
160490.SPy_1118	A0A0C6FS89
160490.SPy_0066	A0A0C6FU96
160490.SPy_1889	A0A0C6FWM5
160490.SPy_0094	A0A0C6G532
160490.SPy_0506	A0A0C6G5E2
160490.SPy_0052	A0A0C6FHT4
160490.SPy_1106	A0A0C6G401
160490.SPy_0041	A0A0C6FU89
160490.SPy_0770	A0A0C6G3N3
160490.SPy_1043	A0A0C6FEN9
160490.SPy_0055	A0A0C6FQE1
160490.SPy_2172	A0A0C6FU15
160490.SPy_1518	A0A0C6FWM9
160490.SPy_1607	A0A0C6G378
160490.SPy_1171	A0A0C6FSB8
160490.SPy_1709	A0A0C6FT94
160490.SPy_0281	A0A0C6FUA3
160490.SPy_1885	A0A0C6G4Q1
160490.SPy_0426	A0A0C6FUM2
160490.SPy_0075	A0A0C6G2T6
160490.SPy_0617	A0A0C6FRG2
160490.SPy_1096	A0A0C6FZU4
160490.SPy_2004	A0A0C6G4T7
160490.SPy_0866	A0A0C6FV85
160490.SPy_1551	A0A0C6FW55
160490.SPy_2118	A0A0C6G106
160490.SPy_1932	A0A0C6FTM2
160490.SPy_0724	A0A0C6FZ24
160490.SPy_1748	A0A0C6G0S7
160490.SPy_1104	A0A0C6G2J6
160490.SPy_1729	A0A0C6FWE5
160490.SPy_1158	A0A0C6FZJ9
160490.SPy_1123	A0A0C6G5P7
160490.SPy_0141	A0A0C6G545
160490.SPy_1983	Q9KHM4
160490.SPy_0288	A0A0C6FDD5
160490.SPy_1608	A0A0C6FG83
160490.SPy_0917	A0A0C6FRX8
160490.SPy_0851	A0A0C6G5L3
160490.SPy_1311	A0A0C6G5T2
160490.SPy_1407	Q9FDF8
160490.SPy_0529	A0A0C6FDV4
160490.SPy_1964	A0A0C6G0R8
