546414.Deide_23220	C1D087
546414.Deide_18980	C1CXG9
546414.Deide_12760	C1CVH9
546414.Deide_12900	C1CVJ4
546414.Deide_11350	C1CV23
546414.Deide_11940	C1CV85
546414.Deide_14720	C1CW58
546414.Deide_15391	C1CWD5
546414.Deide_00840	C1CXS8
546414.Deide_01870	C1CYH5
546414.Deide_22781	C1CZR2
546414.Deide_04060	C1CZY0
546414.Deide_06160	C1D0T6
546414.Deide_06970	C1D130
546414.Deide_04670	C1D0C7
546414.Deide_09160	C1D1R9
546414.Deide_09190	C1D1S2
546414.Deide_06600	C1D0Y9
546414.Deide_10140	C1CUM8
546414.Deide_17350	C1CWY9
546414.Deide_17570	C1CX13
546414.Deide_19730	C1CY18
546414.Deide_19760	C1CY22
546414.Deide_02180	C1CYK5
546414.Deide_21420	C1CYY8
546414.Deide_03340	C1CZB8
546414.Deide_03680	C1CZT8
546414.Deide_05821	C1D0P8
546414.Deide_06700	C1D101
546414.Deide_07150	C1D148
546414.Deide_08640	C1D1L4
546414.Deide_22390	C1CZM0
546414.Deide_22430	C1CZM4
546414.Deide_06180	C1D0T8
546414.Deide_11191	C1CV03
546414.Deide_08210	C1D1G5
546414.Deide_14690	C1CW55
546414.Deide_15540	C1CWF2
546414.Deide_00340	C1CXM6
546414.Deide_20273	C1CY81
546414.Deide_04420	C1D019
546414.Deide_06090	C1D0S7
546414.Deide_03180	C1CZA0
546414.Deide_21820	C1CZG0
546414.Deide_22540	C1CZN6
546414.Deide_22945	C1D059
546414.Deide_22230	C1CZK4
546414.Deide_04720	C1D0D2
546414.Deide_11100	C1CUZ1
546414.Deide_12380	C1CVD8
546414.Deide_12640	C1CVG6
546414.Deide_09361	C1D1U0
546414.Deide_15460	C1CWE2
546414.Deide_10250	C1CUP1
546414.Deide_17230	C1CWX6
546414.Deide_00260	C1CXL8
546414.Deide_02710	C1CZ42
546414.Deide_03070	C1CZ89
546414.Deide_03820	C1CZV2
546414.Deide_15970	C1CWJ4
546414.Deide_21610	C1CZD9
546414.Deide_22160	C1CZJ7
546414.Deide_18360	C1CXA6
546414.Deide_10900	C1CUW9
546414.Deide_17630	C1CX20
546414.Deide_08230	C1D1G7
546414.Deide_13510	C1CVS3
546414.Deide_08610	C1D1L1
546414.Deide_13370	C1CVQ9
546414.Deide_11510	C1CV39
546414.Deide_12330	C1CVD2
546414.Deide_19840	C1CY30
546414.Deide_04430	C1D020
546414.Deide_10650	C1CUU0
546414.Deide_11430	C1CV31
546414.Deide_12390	C1CVD9
546414.Deide_16470	C1CWQ1
546414.Deide_15610	C1CWF9
546414.Deide_16210	C1CWM2
546414.Deide_17720	C1CX29
546414.Deide_21040	C1CYU9
546414.Deide_02421	C1CZ14
546414.Deide_21590	C1CZD7
546414.Deide_03630	C1CZT3
546414.Deide_15190	C1CWA8
546414.Deide_16690	C1CWS3
546414.Deide_17591	C1CX16
546414.Deide_03460	C1CZR6
546414.Deide_19180	C1CXV4
546414.Deide_21370	C1CYY2
546414.Deide_04350	C1D012
546414.Deide_00820	C1CXS6
546414.Deide_11010	C1CUY0
546414.Deide_13062	C1CVL6
546414.Deide_08440	C1D1I9
546414.Deide_17100	C1CWW4
546414.Deide_19300	C1CXX0
546414.Deide_02280	C1CYZ9
546414.Deide_15870	C1CWI4
546414.Deide_09480	C1CUF9
546414.Deide_09590	C1CUH0
546414.Deide_09640	C1CUH5
546414.Deide_02040	C1CYJ1
546414.Deide_06100	C1D0S8
546414.Deide_07330	C1D167
546414.Deide_22990	C1D065
546414.Deide_12810	C1CVI5
546414.Deide_09410	C1D1U5
546414.Deide_07930	C1D1D3
546414.Deide_08030	C1D1E4
546414.Deide_08870	C1D1N9
546414.Deide_16440	C1CWP8
546414.Deide_00540	C1CXP5
546414.Deide_22010	C1CZI3
546414.Deide_22690	C1CZQ2
546414.Deide_09050	C1D1Q7
546414.Deide_19010	C1CXH2
546414.Deide_14020	C1CVX8
546414.Deide_08380	C1D1I2
546414.Deide_09990	C1CUL3
546414.Deide_09880	C1CUK2
546414.Deide_16670	C1CWS1
546414.Deide_18090	C1CX79
546414.Deide_00980	C1CXU2
546414.Deide_19450	C1CXY5
546414.Deide_19951	C1CY42
546414.Deide_01180	C1CY98
546414.Deide_21260	C1CYX0
546414.Deide_05650	C1D0M9
546414.Deide_03400	C1CZC4
546414.Deide_12120	C1CVA7
546414.Deide_09120	C1D1R6
546414.Deide_17050	C1CWV9
546414.Deide_17261	C1CWY0
546414.Deide_00300	C1CXM2
546414.Deide_00860	C1CXT0
546414.Deide_00930	C1CXT7
546414.Deide_01940	C1CYI2
546414.Deide_02120	C1CYJ9
546414.Deide_20590	C1CYP6
546414.Deide_03530	C1CZS3
546414.Deide_03560	C1CZS6
546414.Deide_05270	C1D0I9
546414.Deide_08600	C1D1L0
546414.Deide_05400	C1D0K4
546414.Deide_05500	C1D0L5
546414.Deide_12020	C1CV95
546414.Deide_12260	C1CVC3
546414.Deide_07880	C1D1C8
546414.Deide_08040	C1D1E5
546414.Deide_02220	C1CYK9
546414.Deide_04260	C1D002
546414.Deide_17070	C1CWW1
546414.Deide_17823	C1CX46
546414.Deide_18380	C1CXA8
546414.Deide_19130	C1CXI7
546414.Deide_19990	C1CY48
546414.Deide_06200	C1D0U0
546414.Deide_07070	C1D140
546414.Deide_07520	C1D185
546414.Deide_14410	C1CW25
546414.Deide_00310	C1CXM3
546414.Deide_06810	C1D114
546414.Deide_15760	C1CWH3
546414.Deide_21910	C1CZH2
546414.Deide_12040	C1CV97
546414.Deide_18950	C1CXG6
546414.Deide_22210	C1CZK2
546414.Deide_10721	C1CUU9
546414.Deide_19150	C1CXJ0
546414.Deide_22650	C1CZP8
546414.Deide_03271	C1CZB1
546414.Deide_10321	C1CUQ0
546414.Deide_08461	C1D1J3
546414.Deide_08910	C1D1P3
546414.Deide_09440	C1D1U8
546414.Deide_10421	C1CUR6
546414.Deide_21320	C1CYX6
546414.Deide_06280	C1D0U8
546414.Deide_07170	C1D150
546414.Deide_16180	C1CWL9
546414.Deide_01171	C1CY97
546414.Deide_06472	C1D0X0
546414.Deide_16270	C1CWM9
546414.Deide_00680	C1CXQ9
546414.Deide_00890	C1CXT3
546414.Deide_19600	C1CY05
546414.Deide_20080	C1CY56
546414.Deide_02080	C1CYJ5
546414.Deide_02150	C1CYK2
546414.Deide_02670	C1CZ38
546414.Deide_07981	C1D1D9
546414.Deide_17828	C1CX50
546414.Deide_09110	C1D1R5
546414.Deide_08340	C1D1H8
546414.Deide_16760	C1CWT0
546414.Deide_19110	C1CXI5
546414.Deide_01720	C1CYG0
546414.Deide_18880	C1CXF9
546414.Deide_03280	C1CZB2
546414.Deide_05070	C1D0G9
546414.Deide_10792	C1CUV8
546414.Deide_17822	C1CX45
546414.Deide_16590	C1CWR4
546414.Deide_12050	C1CV98
546414.Deide_00800	C1CXS4
546414.Deide_19741	C1CY20
546414.Deide_20000	C1CY49
546414.Deide_01520	C1CYE0
546414.Deide_03880	C1CZW2
546414.Deide_05590	C1D0M3
546414.Deide_08270	C1D1H1
546414.Deide_11180	C1CV01
546414.Deide_12461	C1CVE9
546414.Deide_14220	C1CW02
546414.Deide_08801	C1D1N2
546414.Deide_09210	C1D1S4
546414.Deide_15450	C1CWE1
546414.Deide_17510	C1CX07
546414.Deide_00270	C1CXL9
546414.Deide_20130	C1CY61
546414.Deide_01433	C1CYC9
546414.Deide_04000	C1CZX4
546414.Deide_07440	C1D177
546414.Deide_19030	C1CXH5
546414.Deide_03370	C1CZC1
546414.Deide_23050	C1D071
546414.Deide_13071	C1CVM4
546414.Deide_15000	C1CW89
546414.Deide_17460	C1CX00
546414.Deide_05250	C1D0I7
546414.Deide_12010	C1CV94
546414.Deide_12080	C1CVA1
546414.Deide_14000	C1CVX6
546414.Deide_08750	C1D1M6
546414.Deide_09350	C1D1T8
546414.Deide_09711	C1CUI4
546414.Deide_10333	C1CUQ4
546414.Deide_14610	C1CW47
546414.Deide_14810	C1CW68
546414.Deide_16140	C1CWL4
546414.Deide_17930	C1CX62
546414.Deide_20470	C1CYN3
546414.Deide_20800	C1CYS0
546414.Deide_04180	C1CZZ3
546414.Deide_05510	C1D0L6
546414.Deide_06320	C1D0V2
546414.Deide_07020	C1D135
546414.Deide_08400	C1D1I4
546414.Deide_10540	C1CUS8
546414.Deide_17200	C1CWX3
546414.Deide_17300	C1CWY4
546414.Deide_06770	C1D108
546414.Deide_11581	C1CV47
546414.Deide_11880	C1CV80
546414.Deide_12450	C1CVE7
546414.Deide_07690	C1D1A7
546414.Deide_16170	C1CWL8
546414.Deide_16970	C1CWV1
546414.Deide_21470	C1CYZ3
546414.Deide_02430	C1CZ15
546414.Deide_07480	C1D181
546414.Deide_07490	C1D182
546414.Deide_13061	C1CVL5
546414.Deide_20150	C1CY63
546414.Deide_03790	C1CZU9
546414.Deide_04510	C1D028
546414.Deide_05850	C1D0Q1
546414.Deide_09870	C1CUK1
546414.Deide_14560	C1CW41
546414.Deide_17550	C1CX11
546414.Deide_00460	C1CXN8
546414.Deide_01150	C1CY94
546414.Deide_20400	C1CYM6
546414.Deide_02310	C1CZ02
546414.Deide_02440	C1CZ16
546414.Deide_02790	C1CZ53
546414.Deide_18290	C1CX99
546414.Deide_21930	C1CZH4
546414.Deide_04770	C1D0D8
546414.Deide_04880	C1D0E8
546414.Deide_22830	C1D046
546414.Deide_23510	C1D0B8
546414.Deide_18860	C1CXF7
546414.Deide_22380	C1CZL9
546414.Deide_23450	C1D0B2
546414.Deide_00770	C1CXS1
546414.Deide_20591	C1CYP7
546414.Deide_07771	C1D1B7
546414.Deide_14200	C1CW00
546414.Deide_08070	C1D1E8
546414.Deide_08850	C1D1N7
546414.Deide_09840	C1CUJ8
546414.Deide_15150	C1CWA4
546414.Deide_17805	C1CX39
546414.Deide_04460	C1D024
546414.Deide_21750	C1CZF3
546414.Deide_14071	C1CVY7
546414.Deide_04940	C1D0F5
546414.Deide_16520	C1CWQ7
546414.Deide_17190	C1CWX2
546414.Deide_19425	C1CXY2
546414.Deide_20910	C1CYT6
546414.Deide_02500	C1CZ21
546414.Deide_03740	C1CZU4
546414.Deide_05990	C1D0R6
546414.Deide_07280	C1D162
546414.Deide_22810	C1D044
546414.Deide_23470	C1D0B4
546414.Deide_05010	C1D0G3
546414.Deide_11790	C1CV70
546414.Deide_12920	C1CVJ6
546414.Deide_19330	C1CXX3
546414.Deide_19452	C1CXY7
546414.Deide_05371	C1D0K1
546414.Deide_10130	C1CUM7
546414.Deide_18210	C1CX91
546414.Deide_03010	C1CZ82
546414.Deide_05630	C1D0M6
546414.Deide_15630	C1CWG1
546414.Deide_09750	C1CUI8
546414.Deide_18520	C1CXC3
546414.Deide_09670	C1CUH8
546414.Deide_11960	C1CV87
546414.Deide_12430	C1CVE5
546414.Deide_13600	C1CVT3
546414.Deide_14120	C1CVZ2
546414.Deide_06142	C1D0T4
546414.Deide_13970	C1CVX3
546414.Deide_00790	C1CXS3
546414.Deide_21110	C1CYV5
546414.Deide_02841	C1CZ60
546414.Deide_17680	C1CX25
546414.Deide_15810	C1CWH8
546414.Deide_18830	C1CXF4
546414.Deide_18240	C1CX94
546414.Deide_03240	C1CZA7
546414.Deide_22340	C1CZL5
546414.Deide_05311	C1D0J5
546414.Deide_07221	C1D156
546414.Deide_18490	C1CXC0
546414.Deide_22640	C1CZP7
546414.Deide_02680	C1CZ39
546414.Deide_08300	C1D1H4
546414.Deide_09330	C1D1T6
546414.Deide_06370	C1D0V8
546414.Deide_07390	C1D172
546414.Deide_08560	C1D1K5
546414.Deide_05540	C1D0L9
546414.Deide_06150	C1D0T5
546414.Deide_01130	C1CY92
546414.Deide_12590	C1CVG1
546414.Deide_09420	C1D1U6
546414.Deide_12102	C1CVA5
546414.Deide_07730	C1D1B1
546414.Deide_09620	C1CUH3
546414.Deide_15490	C1CWE5
546414.Deide_18020	C1CX72
546414.Deide_00143	C1CXK7
546414.Deide_00190	C1CXL1
546414.Deide_00370	C1CXM9
546414.Deide_19540	C1CXZ9
546414.Deide_19740	C1CY19
546414.Deide_20450	C1CYN1
546414.Deide_02620	C1CZ33
546414.Deide_03490	C1CZR9
546414.Deide_06460	C1D0W7
546414.Deide_13068	C1CVL8
546414.Deide_20250	C1CY74
546414.Deide_01350	C1CYC0
546414.Deide_20390	C1CYM5
546414.Deide_20410	C1CYM7
546414.Deide_02940	C1CZ74
546414.Deide_22300	C1CZL1
546414.Deide_22660	C1CZP9
546414.Deide_06521	C1D0X9
546414.Deide_07220	C1D155
546414.Deide_00410	C1CXN3
546414.Deide_00870	C1CXT1
546414.Deide_02340	C1CZ05
546414.Deide_06210	C1D0U1
546414.Deide_06220	C1D0U2
546414.Deide_11860	C1CV78
546414.Deide_08140	C1D1F7
546414.Deide_20615	C1CYQ1
546414.Deide_10240	C1CUP0
546414.Deide_10550	C1CUS9
546414.Deide_01530	C1CYE1
546414.Deide_02980	C1CZ79
546414.Deide_07630	C1D1A1
546414.Deide_20680	C1CYR0
546414.Deide_10840	C1CUW3
546414.Deide_14440	C1CW28
546414.Deide_16530	C1CWQ8
546414.Deide_17250	C1CWX8
546414.Deide_17650	C1CX22
546414.Deide_01290	C1CYB3
546414.Deide_02971	C1CZ78
546414.Deide_21920	C1CZH3
546414.Deide_11590	C1CV48
546414.Deide_14100	C1CVZ0
546414.Deide_14210	C1CW01
546414.Deide_15292	C1CWC4
546414.Deide_15531	C1CWF1
546414.Deide_17470	C1CX01
546414.Deide_18300	C1CXA0
546414.Deide_00560	C1CXP7
546414.Deide_00590	C1CXQ0
546414.Deide_19700	C1CY15
546414.Deide_20110	C1CY59
546414.Deide_21330	C1CYX7
546414.Deide_02540	C1CZ25
546414.Deide_03600	C1CZT0
546414.Deide_05110	C1D0H3
546414.Deide_05641	C1D0M8
546414.Deide_08890	C1D1P1
546414.Deide_04900	C1D0F0
546414.Deide_16450	C1CWP9
546414.Deide_09070	C1D1R1
546414.Deide_18060	C1CX76
546414.Deide_05260	C1D0I8
546414.Deide_10290	C1CUP5
546414.Deide_00693	C1CXR1
546414.Deide_21340	C1CYX8
546414.Deide_02853	C1CZ65
546414.Deide_21600	C1CZD8
546414.Deide_11101	C1CUZ2
546414.Deide_11721	C1CV62
546414.Deide_04320	C1D009
546414.Deide_14570	C1CW42
546414.Deide_15320	C1CWC7
546414.Deide_15390	C1CWD4
546414.Deide_19680	C1CY13
546414.Deide_20370	C1CYM3
546414.Deide_17900	C1CX59
546414.Deide_11130	C1CUZ5
546414.Deide_12680	C1CVH0
546414.Deide_19080	C1CXI2
546414.Deide_01770	C1CYG5
546414.Deide_02250	C1CYL2
546414.Deide_20920	C1CYT7
546414.Deide_04440	C1D022
546414.Deide_22860	C1D050
546414.Deide_04660	C1D0C6
546414.Deide_14940	C1CW82
546414.Deide_11120	C1CUZ4
546414.Deide_07940	C1D1D4
546414.Deide_08280	C1D1H2
546414.Deide_13680	C1CVU1
546414.Deide_17090	C1CWW3
546414.Deide_22480	C1CZM9
546414.Deide_04340	C1D011
546414.Deide_08190	C1D1G3
546414.Deide_09730	C1CUI6
546414.Deide_15203	C1CWB2
546414.Deide_15590	C1CWF7
546414.Deide_06910	C1D125
546414.Deide_16680	C1CWS2
546414.Deide_21410	C1CYY7
546414.Deide_05810	C1D0P6
546414.Deide_06760	C1D107
546414.Deide_22370	C1CZL8
546414.Deide_22950	C1D060
546414.Deide_23500	C1D0B7
546414.Deide_21870	C1CZG8
546414.Deide_04780	C1D0D9
546414.Deide_18401	C1CXB1
546414.Deide_18160	C1CX86
546414.Deide_13360	C1CVQ7
546414.Deide_10770	C1CUV4
546414.Deide_18200	C1CX90
546414.Deide_01690	C1CYF7
546414.Deide_22951	C1D061
546414.Deide_22870	C1D051
546414.Deide_18370	C1CXA7
546414.Deide_03970	C1CZX1
546414.Deide_21950	C1CZH7
546414.Deide_15280	C1CWC1
546414.Deide_14060	C1CVY5
546414.Deide_16300	C1CWN2
546414.Deide_16930	C1CWU7
546414.Deide_17890	C1CX58
546414.Deide_00200	C1CXL2
546414.Deide_20520	C1CYN8
546414.Deide_05030	C1D0G5
546414.Deide_02290	C1CZ00
546414.Deide_13030	C1CVK8
546414.Deide_14130	C1CVZ3
546414.Deide_14301	C1CW12
546414.Deide_09090	C1D1R3
546414.Deide_14630	C1CW49
546414.Deide_16790	C1CWT3
546414.Deide_17920	C1CX61
546414.Deide_20310	C1CY84
546414.Deide_06650	C1D0Z5
546414.Deide_14571	C1CW43
546414.Deide_02610	C1CZ32
546414.Deide_03140	C1CZ96
546414.Deide_17700	C1CX27
546414.Deide_07680	C1D1A6
546414.Deide_14880	C1CW76
546414.Deide_15400	C1CWD6
546414.Deide_19192	C1CXV6
546414.Deide_20253	C1CY77
546414.Deide_21220	C1CYW6
546414.Deide_02771	C1CZ49
546414.Deide_02800	C1CZ54
546414.Deide_02920	C1CZ72
546414.Deide_18570	C1CXC8
546414.Deide_03170	C1CZ99
546414.Deide_13440	C1CVR6
546414.Deide_10430	C1CUR7
546414.Deide_20171	C1CY66
546414.Deide_20790	C1CYR9
546414.Deide_02480	C1CZ19
546414.Deide_03020	C1CZ83
546414.Deide_11150	C1CUZ7
546414.Deide_13550	C1CVS8
546414.Deide_07820	C1D1C2
546414.Deide_13066	C1CVM1
546414.Deide_09710	C1CUI3
546414.Deide_20160	C1CY64
546414.Deide_04200	C1CZZ5
546414.Deide_07580	C1D196
546414.Deide_22310	C1CZL2
546414.Deide_22280	C1CZK9
546414.Deide_22851	C1D049
546414.Deide_02530	C1CZ24
546414.Deide_02370	C1CZ08
546414.Deide_11970	C1CV89
546414.Deide_11030	C1CUY2
546414.Deide_13830	C1CVV8
546414.Deide_11060	C1CUY7
546414.Deide_09010	C1D1Q3
546414.Deide_09240	C1D1S7
546414.Deide_11761	C1CV67
546414.Deide_12950	C1CVJ9
546414.Deide_14590	C1CW45
546414.Deide_00350	C1CXM7
546414.Deide_00920	C1CXT6
546414.Deide_20030	C1CY51
546414.Deide_02740	C1CZ45
546414.Deide_23010	C1D067
546414.Deide_14460	C1CW30
546414.Deide_17800	C1CX38
546414.Deide_05060	C1D0G8
546414.Deide_06111	C1D0T0
546414.Deide_07610	C1D199
546414.Deide_13150	C1CVN5
546414.Deide_08470	C1D1J4
546414.Deide_12220	C1CVB8
546414.Deide_12540	C1CVF6
546414.Deide_17880	C1CX57
546414.Deide_18040	C1CX74
546414.Deide_00020	C1CXJ2
546414.Deide_00470	C1CXN9
546414.Deide_19230	C1CXW1
546414.Deide_01800	C1CYG8
546414.Deide_02851	C1CZ63
546414.Deide_10850	C1CUW4
546414.Deide_08320	C1D1H6
546414.Deide_13730	C1CVU6
546414.Deide_10230	C1CUN9
546414.Deide_14600	C1CW46
546414.Deide_17670	C1CX24
546414.Deide_19120	C1CXI6
546414.Deide_04530	C1D031
546414.Deide_23090	C1D076
546414.Deide_19040	C1CXH6
546414.Deide_22920	C1D056
546414.Deide_23030	C1D069
546414.Deide_22200	C1CZK1
546414.Deide_03220	C1CZA5
546414.Deide_21640	C1CZE2
546414.Deide_12770	C1CVI0
546414.Deide_12710	C1CVH4
546414.Deide_07890	C1D1C9
546414.Deide_16060	C1CWK4
546414.Deide_16240	C1CWM5
546414.Deide_16980	C1CWV2
546414.Deide_17760	C1CX33
546414.Deide_19940	C1CY40
546414.Deide_01960	C1CYI3
546414.Deide_05310	C1D0J4
546414.Deide_07260	C1D160
546414.Deide_23000	C1D066
546414.Deide_07910	C1D1D1
546414.Deide_08460	C1D1J1
546414.Deide_09250	C1D1S8
546414.Deide_11320	C1CV19
546414.Deide_16110	C1CWL1
546414.Deide_03100	C1CZ92
546414.Deide_18450	C1CXB6
546414.Deide_11210	C1CV05
546414.Deide_12670	C1CVG9
546414.Deide_09830	C1CUJ7
546414.Deide_00530	C1CXP4
546414.Deide_02320	C1CZ03
546414.Deide_08980	C1D1Q0
546414.Deide_09970	C1CUL1
546414.Deide_17480	C1CX02
546414.Deide_20540	C1CYP0
546414.Deide_23440	C1D0B1
546414.Deide_15860	C1CWI3
546414.Deide_19160	C1CXV2
546414.Deide_11570	C1CV45
546414.Deide_13040	C1CVK9
546414.Deide_08370	C1D1I1
546414.Deide_08740	C1D1M5
546414.Deide_09720	C1CUI5
546414.Deide_17840	C1CX53
546414.Deide_09700	C1CUI2
546414.Deide_21530	C1CZD1
546414.Deide_21580	C1CZD6
546414.Deide_23260	C1D091
546414.Deide_04613	C1D041
546414.Deide_22850	C1D048
546414.Deide_16460	C1CWQ0
546414.Deide_15510	C1CWE7
546414.Deide_18320	C1CXA2
546414.Deide_12890	C1CVJ3
546414.Deide_11200	C1CV04
546414.Deide_13041	C1CVL0
546414.Deide_09030	C1D1Q5
546414.Deide_10570	C1CUT1
546414.Deide_12541	C1CVF7
546414.Deide_14960	C1CW84
546414.Deide_17490	C1CX03
546414.Deide_17505	C1CX06
546414.Deide_19560	C1CY01
546414.Deide_01370	C1CYC2
546414.Deide_22700	C1CZQ3
546414.Deide_04210	C1CZZ6
546414.Deide_11070	C1CUY8
546414.Deide_13350	C1CVQ6
546414.Deide_10330	C1CUQ1
546414.Deide_17270	C1CWY1
546414.Deide_17971	C1CX67
546414.Deide_20090	C1CY57
546414.Deide_21170	C1CYW1
546414.Deide_10920	C1CUX1
546414.Deide_13620	C1CVT5
546414.Deide_18150	C1CX85
546414.Deide_01200	C1CYA0
546414.Deide_04280	C1D004
546414.Deide_23240	C1D089
546414.Deide_05300	C1D0J2
546414.Deide_05830	C1D0P9
546414.Deide_10070	C1CUM1
546414.Deide_10690	C1CUU4
546414.Deide_15200	C1CWA9
546414.Deide_15520	C1CWE9
546414.Deide_00080	C1CXJ8
546414.Deide_19231	C1CXW2
546414.Deide_19320	C1CXX2
546414.Deide_02400	C1CZ11
546414.Deide_05550	C1D0M0
546414.Deide_05660	C1D0N0
546414.Deide_13900	C1CVW6
546414.Deide_11920	C1CV84
546414.Deide_17120	C1CWW5
546414.Deide_00500	C1CXP2
546414.Deide_04300	C1D007
546414.Deide_17710	C1CX28
546414.Deide_00692	C1CXR3
546414.Deide_22560	C1CZN8
546414.Deide_23210	C1D086
546414.Deide_04650	C1D0C3
546414.Deide_19370	C1CXX7
546414.Deide_12870	C1CVJ1
546414.Deide_10940	C1CUX3
546414.Deide_12090	C1CVA2
546414.Deide_14040	C1CVY2
546414.Deide_10431	C1CUR8
546414.Deide_16310	C1CWN3
546414.Deide_17440	C1CWZ8
546414.Deide_17740	C1CX31
546414.Deide_01080	C1CY87
546414.Deide_02090	C1CYJ6
546414.Deide_03480	C1CZR8
546414.Deide_05800	C1D0P5
546414.Deide_06520	C1D0X8
546414.Deide_12480	C1CVF0
546414.Deide_16350	C1CWN7
546414.Deide_14350	C1CW18
546414.Deide_08730	C1D1M4
546414.Deide_14700	C1CW56
546414.Deide_16020	C1CWJ9
546414.Deide_02020	C1CYI9
546414.Deide_02070	C1CYJ4
546414.Deide_20650	C1CYQ7
546414.Deide_21360	C1CYY1
546414.Deide_15750	C1CWH2
546414.Deide_12660	C1CVG8
546414.Deide_17960	C1CX65
546414.Deide_08531	C1D1K2
546414.Deide_11450	C1CV33
546414.Deide_08420	C1D1I7
546414.Deide_15250	C1CWB7
546414.Deide_17170	C1CWX0
546414.Deide_03780	C1CZU8
546414.Deide_04091	C1CZY4
546414.Deide_05050	C1D0G7
546414.Deide_12460	C1CVE8
546414.Deide_12720	C1CVH5
546414.Deide_13063	C1CVL7
546414.Deide_15310	C1CWC5
546414.Deide_16510	C1CWQ6
546414.Deide_02190	C1CYK6
546414.Deide_10180	C1CUN2
546414.Deide_14530	C1CW38
546414.Deide_22760	C1CZQ9
546414.Deide_07040	C1D137
546414.Deide_12060	C1CV99
546414.Deide_12170	C1CVB3
546414.Deide_12070	C1CVA0
546414.Deide_13950	C1CVX1
546414.Deide_13990	C1CVX5
546414.Deide_14430	C1CW27
546414.Deide_15570	C1CWF5
546414.Deide_00060	C1CXJ6
546414.Deide_01270	C1CYB0
546414.Deide_20641	C1CYQ5
546414.Deide_05090	C1D0H1
546414.Deide_09610	C1CUH2
546414.Deide_17540	C1CX10
546414.Deide_18170	C1CX87
546414.Deide_01242	C1CYA7
546414.Deide_01360	C1CYC1
546414.Deide_20970	C1CYU2
546414.Deide_04270	C1D003
546414.Deide_07010	C1D134
546414.Deide_15960	C1CWJ3
546414.Deide_21500	C1CZC8
546414.Deide_22170	C1CZJ8
546414.Deide_04640	C1D0C2
546414.Deide_12420	C1CVE2
546414.Deide_18260	C1CX96
546414.Deide_01930	C1CYI1
546414.Deide_17801	C1CX40
546414.Deide_05350	C1D0J9
546414.Deide_12960	C1CVK0
546414.Deide_08290	C1D1H3
546414.Deide_20690	E6RGA5
546414.Deide_03190	C1CZA1
546414.Deide_03390	C1CZC3
546414.Deide_22910	C1D055
546414.Deide_19060	C1CXI0
546414.Deide_18750	C1CXE6
546414.Deide_23380	C1D0A5
546414.Deide_15980	C1CWJ5
546414.Deide_21980	C1CZI0
546414.Deide_03250	C1CZA8
546414.Deide_22440	C1CZM5
546414.Deide_22360	C1CZL7
546414.Deide_04651	C1D0C4
546414.Deide_20821	C1CYS3
546414.Deide_11360	C1CV24
546414.Deide_12140	C1CVB0
546414.Deide_12980	C1CVK2
546414.Deide_13390	C1CVR2
546414.Deide_08170	C1D1G1
546414.Deide_08390	C1D1I3
546414.Deide_14230	C1CW04
546414.Deide_09100	C1D1R4
546414.Deide_12970	C1CVK1
546414.Deide_08465	C1D1J2
546414.Deide_11110	C1CUZ3
546414.Deide_07780	C1D1B8
546414.Deide_11840	C1CV76
546414.Deide_07650	C1D1A3
546414.Deide_08240	C1D1G8
546414.Deide_11690	C1CV58
546414.Deide_11090	C1CUZ0
546414.Deide_12251	C1CVC2
546414.Deide_07860	C1D1C6
546414.Deide_13240	C1CVP4
546414.Deide_10910	C1CUX0
546414.Deide_08591	C1D1K9
546414.Deide_09300	C1D1T3
546414.Deide_08260	C1D1H0
546414.Deide_11050	C1CUY4
546414.Deide_12820	C1CVI6
546414.Deide_11390	C1CV27
546414.Deide_13980	C1CVX4
546414.Deide_16420	C1CWP6
546414.Deide_19900	C1CY36
546414.Deide_20070	C1CY55
546414.Deide_01570	C1CYE5
546414.Deide_20940	C1CYT9
546414.Deide_03590	C1CZS9
546414.Deide_04310	C1D008
546414.Deide_04490	C1D027
546414.Deide_06940	C1D128
546414.Deide_15410	C1CWD7
546414.Deide_17020	C1CWV6
546414.Deide_17420	C1CWZ6
546414.Deide_20960	C1CYU1
546414.Deide_15070	C1CW95
546414.Deide_15290	C1CWC2
546414.Deide_16381	C1CWP1
546414.Deide_19131	C1CXI8
546414.Deide_01140	C1CY93
546414.Deide_04160	C1CZZ0
546414.Deide_14780	C1CW65
546414.Deide_16940	C1CWU8
546414.Deide_00620	C1CXQ3
546414.Deide_15311	C1CWC6
546414.Deide_01030	C1CXU7
546414.Deide_00510	C1CXP3
546414.Deide_02300	C1CZ01
546414.Deide_07000	C1D133
546414.Deide_16400	C1CWP4
546414.Deide_09520	C1CUG3
546414.Deide_12190	C1CVB5
546414.Deide_14660	C1CW52
546414.Deide_16161	C1CWL7
546414.Deide_01100	C1CY89
546414.Deide_01780	C1CYG6
546414.Deide_21341	C1CYX9
546414.Deide_05961	C1D0R3
546414.Deide_17310	C1CWY5
546414.Deide_01670	C1CYF5
546414.Deide_01970	C1CYI4
546414.Deide_20890	C1CYT4
546414.Deide_21480	C1CYZ4
546414.Deide_10201	C1CUN6
546414.Deide_15360	C1CWD1
546414.Deide_17832	C1CX44
546414.Deide_18000	C1CX70
546414.Deide_01820	C1CYH0
546414.Deide_02970	C1CZ77
546414.Deide_03510	C1CZS1
546414.Deide_16091	C1CWK8
546414.Deide_16540	C1CWQ9
