9823.ENSSSCP00000024131	P54612
9823.ENSSSCP00000026743	I3LRK8
9823.ENSSSCP00000004718	I3LRQ9
9823.ENSSSCP00000026921	I3LS30
9823.ENSSSCP00000026973	I3LS82
9823.ENSSSCP00000027010	I3LSB7
9823.ENSSSCP00000027688	I3LU89
9823.ENSSSCP00000026282	Q2VTP4
9823.ENSSSCP00000010000	Q2XUT1
9823.ENSSSCP00000011695	Q6EKW5
9823.ENSSSCP00000016657	K9J6H9
9823.ENSSSCP00000025656	Q6QAR1
9823.ENSSSCP00000023867	F1S0V4
9823.ENSSSCP00000008234	Q0QHM0
9823.ENSSSCP00000019247	Q8MIA0
9823.ENSSSCP00000030086	K7GMZ8
9823.ENSSSCP00000012897	K7GR33
9823.ENSSSCP00000008345	K7GKC5
9823.ENSSSCP00000019475	K7GKS5
9823.ENSSSCP00000028464	K7GKT6
9823.ENSSSCP00000002967	K7GNL0
9823.ENSSSCP00000030305	K7GNM6
9823.ENSSSCP00000029698	K7GP86
9823.ENSSSCP00000029555	K7GQ39
9823.ENSSSCP00000006026	K7GQF2
9823.ENSSSCP00000016048	K7GQQ3
9823.ENSSSCP00000000695	K7GSZ8
9823.ENSSSCP00000007498	C5MLY9
9823.ENSSSCP00000000717	Q69DL3
9823.ENSSSCP00000006773	V5Q1J1
9823.ENSSSCP00000019068	F8V3Z1
9823.ENSSSCP00000007328	B2ZDZ4
9823.ENSSSCP00000010787	F1RK78
9823.ENSSSCP00000001910	F1RKU7
9823.ENSSSCP00000010738	F1RL35
9823.ENSSSCP00000006060	F1RR69
9823.ENSSSCP00000016762	F1RZJ7
9823.ENSSSCP00000006766	F1S1C7
9823.ENSSSCP00000001288	F1S1Q0
9823.ENSSSCP00000016537	F1S2V8
9823.ENSSSCP00000007347	F1S537
9823.ENSSSCP00000016463	F1S6A0
9823.ENSSSCP00000007914	F1SC75
9823.ENSSSCP00000011038	F1SEP7
9823.ENSSSCP00000004293	F1SF80
9823.ENSSSCP00000002015	F1SK20
9823.ENSSSCP00000017479	F1SRP8
9823.ENSSSCP00000019068	F1SS84
9823.ENSSSCP00000026746	F2X350
9823.ENSSSCP00000000838	Q2Q6D5
9823.ENSSSCP00000003061	F1REY3
9823.ENSSSCP00000015008	F1RF43
9823.ENSSSCP00000008122	F1RFK8
9823.ENSSSCP00000008555	F1RG32
9823.ENSSSCP00000010852	F1RGT0
9823.ENSSSCP00000015210	F1RHD2
9823.ENSSSCP00000010811	F1RHM7
9823.ENSSSCP00000003624	F1RJE6
9823.ENSSSCP00000008013	F1RJR7
9823.ENSSSCP00000010321	F1RJS5
9823.ENSSSCP00000008428	F1RL26
9823.ENSSSCP00000015107	F1RLI1
9823.ENSSSCP00000010159	F1RP40
9823.ENSSSCP00000009668	F1RRE3
9823.ENSSSCP00000006325	F1RSM8
9823.ENSSSCP00000006292	F1RSP7
9823.ENSSSCP00000009870	F1RVC2
9823.ENSSSCP00000001035	F1RXT6
9823.ENSSSCP00000004699	F1RXX8
9823.ENSSSCP00000016976	F1RYL0
9823.ENSSSCP00000011688	F1S4H5
9823.ENSSSCP00000009364	F1S4I9
9823.ENSSSCP00000007777	F1S4W1
9823.ENSSSCP00000007266	F1S615
9823.ENSSSCP00000007245	F1S636
9823.ENSSSCP00000016456	F1S6Y5
9823.ENSSSCP00000004403	F1S7X5
9823.ENSSSCP00000004124	F1S814
9823.ENSSSCP00000014793	F1S905
9823.ENSSSCP00000002680	F1SCF1
9823.ENSSSCP00000004310	F1SCQ0
9823.ENSSSCP00000016295	F1SEI4
9823.ENSSSCP00000011018	F1SER5
9823.ENSSSCP00000012591	F1SFG9
9823.ENSSSCP00000012274	F1SFN2
9823.ENSSSCP00000000803	F1SHS4
9823.ENSSSCP00000000195	F1SJ12
9823.ENSSSCP00000005322	F1SJJ5
9823.ENSSSCP00000005989	F1SKS5
9823.ENSSSCP00000003992	F1SM88
9823.ENSSSCP00000017231	F1SMX5
9823.ENSSSCP00000005865	F1SNA7
9823.ENSSSCP00000000161	F1SPS4
9823.ENSSSCP00000005495	F1SRR2
9823.ENSSSCP00000017772	F1SSB6
9823.ENSSSCP00000005439	F1SSN5
9823.ENSSSCP00000005720	F1STA9
9823.ENSSSCP00000010976	F1SU73
9823.ENSSSCP00000015764	F1SUP7
9823.ENSSSCP00000008908	F2VR83
9823.ENSSSCP00000013421	F2Z565
9823.ENSSSCP00000029078	D4NVV4
9823.ENSSSCP00000018773	D5FFT2
9823.ENSSSCP00000019147	G8ACZ8
9823.ENSSSCP00000010281	A2SW43
9823.ENSSSCP00000000089	B2LVG7
9823.ENSSSCP00000008255	F1RJJ6
9823.ENSSSCP00000002545	F1S3J2
9823.ENSSSCP00000002491	F1SA26
9823.ENSSSCP00000004056	F1SAI1
9823.ENSSSCP00000017826	F1SND4
9823.ENSSSCP00000019140	C7FE61
9823.ENSSSCP00000010166	F1RP25
9823.ENSSSCP00000006200	F1RWS8
9823.ENSSSCP00000011914	F1RX42
9823.ENSSSCP00000006562	F1RXA2
9823.ENSSSCP00000011390	F1S400
9823.ENSSSCP00000002931	F1S438
9823.ENSSSCP00000014459	F1SA46
9823.ENSSSCP00000016382	F1SAE2
9823.ENSSSCP00000004057	F1SAI0
9823.ENSSSCP00000002171	F1SGQ6
9823.ENSSSCP00000012514	F1SH30
9823.ENSSSCP00000002142	F1SHH4
9823.ENSSSCP00000020014	I3L7K8
9823.ENSSSCP00000020204	I3L846
9823.ENSSSCP00000021703	I3LCC8
9823.ENSSSCP00000022040	I3LDB1
9823.ENSSSCP00000025105	I3LLY5
9823.ENSSSCP00000026692	I3LRF8
9823.ENSSSCP00000027105	I3LSL2
9823.ENSSSCP00000019147	A8KET7
9823.ENSSSCP00000021430	E3VWG5
9823.ENSSSCP00000019266	F1SQ99
9823.ENSSSCP00000019148	I3L549
9823.ENSSSCP00000019302	I3L5K3
9823.ENSSSCP00000019353	I3L5Q3
9823.ENSSSCP00000019436	I3L5Y5
9823.ENSSSCP00000005311	I3L5Y7
9823.ENSSSCP00000019454	I3L603
9823.ENSSSCP00000019718	I3L6R6
9823.ENSSSCP00000019826	I3L722
9823.ENSSSCP00000019924	I3L7B9
9823.ENSSSCP00000019943	I3L7D8
9823.ENSSSCP00000020048	I3L7P2
9823.ENSSSCP00000024626	I3L934
9823.ENSSSCP00000020946	I3LA79
9823.ENSSSCP00000020983	I3LAB5
9823.ENSSSCP00000021272	I3LB53
9823.ENSSSCP00000010782	I3LBZ5
9823.ENSSSCP00000021612	I3LC39
9823.ENSSSCP00000021713	I3LCD8
9823.ENSSSCP00000021866	I3LCT9
9823.ENSSSCP00000021884	I3LCV7
9823.ENSSSCP00000022099	I3LDG8
9823.ENSSSCP00000022110	I3LDH9
9823.ENSSSCP00000022206	I3LDS2
9823.ENSSSCP00000022816	I3LFH4
9823.ENSSSCP00000022965	I3LFX2
9823.ENSSSCP00000023047	I3LG54
9823.ENSSSCP00000023272	I3LGS8
9823.ENSSSCP00000023580	I3LHN3
9823.ENSSSCP00000023939	I3LIN3
9823.ENSSSCP00000024155	I3LJ97
9823.ENSSSCP00000024452	I3LK38
9823.ENSSSCP00000024789	I3LL23
9823.ENSSSCP00000024921	I3LLF3
9823.ENSSSCP00000024961	I3LLJ1
9823.ENSSSCP00000025008	I3LLN8
9823.ENSSSCP00000025375	I3LMQ4
9823.ENSSSCP00000025578	I3LNA4
9823.ENSSSCP00000025778	I3LNV3
9823.ENSSSCP00000026104	I3LPS7
9823.ENSSSCP00000014152	I3LQ04
9823.ENSSSCP00000026199	I3LQ21
9823.ENSSSCP00000026669	I3LRD5
9823.ENSSSCP00000026713	I3LRH8
9823.ENSSSCP00000027117	I3LSM4
9823.ENSSSCP00000027144	I3LSQ1
9823.ENSSSCP00000027464	I3LTL7
9823.ENSSSCP00000027490	I3LTP2
9823.ENSSSCP00000027531	I3LTT3
9823.ENSSSCP00000027958	I3LV06
9823.ENSSSCP00000022720	Q2L7G1
9823.ENSSSCP00000002994	Q9GLM5
9823.ENSSSCP00000007206	I6L631
9823.ENSSSCP00000028439	A9LJ93
9823.ENSSSCP00000025971	A9LJA1
9823.ENSSSCP00000019414	A9Z0A6
9823.ENSSSCP00000018076	C8CLK5
9823.ENSSSCP00000025493	K9IVF4
9823.ENSSSCP00000003057	K9IVM8
9823.ENSSSCP00000019494	K9IVU5
9823.ENSSSCP00000001636	K9J6K1
9823.ENSSSCP00000000511	Q866Q3
9823.ENSSSCP00000008042	Q2I6Y4
9823.ENSSSCP00000007977	Q9MZB5
9823.ENSSSCP00000029938	Q304V9
9823.ENSSSCP00000009635	Q6QHK6
9823.ENSSSCP00000020301	A3EX86
9823.ENSSSCP00000012047	K7GL65
9823.ENSSSCP00000028679	K7GLF0
9823.ENSSSCP00000030714	K7GLJ0
9823.ENSSSCP00000019874	K7GLT6
9823.ENSSSCP00000011731	K7GLW3
9823.ENSSSCP00000014510	K7GM73
9823.ENSSSCP00000030148	K7GPX9
9823.ENSSSCP00000002089	K7GQC5
9823.ENSSSCP00000019663	K7GSU5
9823.ENSSSCP00000001523	K7GSZ0
9823.ENSSSCP00000001854	Q29284
9823.ENSSSCP00000013101	Q8WMU7
9823.ENSSSCP00000003417	Q9GLE7
9823.ENSSSCP00000029062	K7GMH0
9823.ENSSSCP00000013379	K7GMM6
9823.ENSSSCP00000016982	K7GMP6
9823.ENSSSCP00000006421	K7GN32
9823.ENSSSCP00000029162	K7GNA6
9823.ENSSSCP00000025576	K7GNC4
9823.ENSSSCP00000019874	K7GNT2
9823.ENSSSCP00000008290	K7GPZ7
9823.ENSSSCP00000030416	K7GR90
9823.ENSSSCP00000001905	V5TGG3
9823.ENSSSCP00000013759	V9LLL5
9823.ENSSSCP00000024618	A0ZQ14
9823.ENSSSCP00000012026	D9IWC3
9823.ENSSSCP00000007303	B2MUB6
9823.ENSSSCP00000008453	F1RKX5
9823.ENSSSCP00000004694	F1RXY3
9823.ENSSSCP00000014500	F1S492
9823.ENSSSCP00000016351	F1SB56
9823.ENSSSCP00000002087	F1SIE3
9823.ENSSSCP00000012490	F1SJM7
9823.ENSSSCP00000000065	F1SRE0
9823.ENSSSCP00000017450	F1SRU2
9823.ENSSSCP00000020443	M3VK21
9823.ENSSSCP00000007022	Q866Y2
9823.ENSSSCP00000015038	F1REY5
9823.ENSSSCP00000015027	F1RF04
9823.ENSSSCP00000003286	F1RGI0
9823.ENSSSCP00000013916	F1RKQ7
9823.ENSSSCP00000008440	F1RKZ8
9823.ENSSSCP00000010727	F1RLS0
9823.ENSSSCP00000015339	F1RM10
9823.ENSSSCP00000015319	F1RM48
9823.ENSSSCP00000013984	F1RMF4
9823.ENSSSCP00000006073	F1RR47
9823.ENSSSCP00000018335	F1RRU6
9823.ENSSSCP00000018318	F1RSJ8
9823.ENSSSCP00000009976	F1RSR7
9823.ENSSSCP00000004999	F1RYL9
9823.ENSSSCP00000004987	F1RZB5
9823.ENSSSCP00000001629	F1RZU6
9823.ENSSSCP00000018141	F1S013
9823.ENSSSCP00000006166	F1S018
9823.ENSSSCP00000018454	F1S0P7
9823.ENSSSCP00000006132	F1S0U6
9823.ENSSSCP00000006784	F1S194
9823.ENSSSCP00000007741	F1S4Z5
9823.ENSSSCP00000007326	F1S557
9823.ENSSSCP00000014778	F1S918
9823.ENSSSCP00000004373	F1SB64
9823.ENSSSCP00000004011	F1SBB8
9823.ENSSSCP00000020902	F1SC33
9823.ENSSSCP00000007934	F1SC35
9823.ENSSSCP00000011448	F1SDN8
9823.ENSSSCP00000005077	F1SI58
9823.ENSSSCP00000005679	F1SIL0
9823.ENSSSCP00000000049	F1SJP6
9823.ENSSSCP00000000486	F1SKD5
9823.ENSSSCP00000005974	F1SKU7
9823.ENSSSCP00000012986	F1SPV3
9823.ENSSSCP00000005187	F1SRX6
9823.ENSSSCP00000007094	F1SS78
9823.ENSSSCP00000007080	F1SSA1
9823.ENSSSCP00000016366	Q0QVW6
9823.ENSSSCP00000011748	C7C1K2
9823.ENSSSCP00000010219	F1RN27
9823.ENSSSCP00000003556	F1RNE8
9823.ENSSSCP00000016873	F1S1W8
9823.ENSSSCP00000014974	F1S2I3
9823.ENSSSCP00000014577	F1S2M0
9823.ENSSSCP00000004438	F1S7T5
9823.ENSSSCP00000004418	F1S7W2
9823.ENSSSCP00000004404	F1S7X4
9823.ENSSSCP00000009280	F1S8L7
9823.ENSSSCP00000009254	F1S8S1
9823.ENSSSCP00000020849	F1S942
9823.ENSSSCP00000016579	F1SF07
9823.ENSSSCP00000012239	F1SGH0
9823.ENSSSCP00000015890	F1STI8
9823.ENSSSCP00000015862	F1STM4
9823.ENSSSCP00000003831	F1STX9
9823.ENSSSCP00000010924	F1SUG8
9823.ENSSSCP00000012651	F2VRB8
9823.ENSSSCP00000002473	Q09HS4
9823.ENSSSCP00000013768	Q5ZPJ6
9823.ENSSSCP00000004827	F1RQK0
9823.ENSSSCP00000004824	F1RQK4
9823.ENSSSCP00000007587	F1SAT0
9823.ENSSSCP00000011161	F1SC87
9823.ENSSSCP00000000206	F1SHC0
9823.ENSSSCP00000017074	F1SHE9
9823.ENSSSCP00000017562	F1SMN5
9823.ENSSSCP00000002977	F4YDW5
9823.ENSSSCP00000011135	Q27HS3
9823.ENSSSCP00000009102	Q4R1K5
9823.ENSSSCP00000014973	C7S800
9823.ENSSSCP00000003469	F1RHT9
9823.ENSSSCP00000025818	F1RI83
9823.ENSSSCP00000003667	F1RIJ7
9823.ENSSSCP00000001201	F1RQB0
9823.ENSSSCP00000009949	F1RSU2
9823.ENSSSCP00000018577	F1RWH1
9823.ENSSSCP00000001078	F1RWY7
9823.ENSSSCP00000002964	F1S3B0
9823.ENSSSCP00000014435	F1SA83
9823.ENSSSCP00000007188	F1SAX5
9823.ENSSSCP00000014658	F1SCF3
9823.ENSSSCP00000000850	F1SGY7
9823.ENSSSCP00000012516	F1SH28
9823.ENSSSCP00000005860	F1SNB2
9823.ENSSSCP00000017528	F1SNG7
9823.ENSSSCP00000018283	I3L6S0
9823.ENSSSCP00000020877	I3LA11
9823.ENSSSCP00000020933	I3LA66
9823.ENSSSCP00000021293	I3LB74
9823.ENSSSCP00000022010	I3LD81
9823.ENSSSCP00000014408	I3LDA2
9823.ENSSSCP00000022654	I3LF15
9823.ENSSSCP00000022740	I3LFA0
9823.ENSSSCP00000027461	I3LTL4
9823.ENSSSCP00000027687	I3LU88
9823.ENSSSCP00000027746	I3LUE6
9823.ENSSSCP00000028065	I3LVB3
9823.ENSSSCP00000019575	F1RM38
9823.ENSSSCP00000025437	F1RRE1
9823.ENSSSCP00000022132	F1RU16
9823.ENSSSCP00000019664	I3L6L3
9823.ENSSSCP00000009916	I3L708
9823.ENSSSCP00000019844	I3L740
9823.ENSSSCP00000015202	I3L7N2
9823.ENSSSCP00000007181	I3L7V5
9823.ENSSSCP00000020340	I3L8I0
9823.ENSSSCP00000020374	I3L8L4
9823.ENSSSCP00000011210	I3L9P2
9823.ENSSSCP00000020959	I3LA92
9823.ENSSSCP00000021060	I3LAJ2
9823.ENSSSCP00000021124	I3LAQ6
9823.ENSSSCP00000021312	I3LB93
9823.ENSSSCP00000021477	I3LBQ6
9823.ENSSSCP00000021521	I3LBU9
9823.ENSSSCP00000021855	I3LCS8
9823.ENSSSCP00000022035	I3LDA6
9823.ENSSSCP00000022044	I3LDB4
9823.ENSSSCP00000022718	I3LF78
9823.ENSSSCP00000022778	I3LFD6
9823.ENSSSCP00000022934	I3LFU1
9823.ENSSSCP00000022988	I3LFZ5
9823.ENSSSCP00000027761	I3LGE2
9823.ENSSSCP00000023253	I3LGQ9
9823.ENSSSCP00000023399	I3LH54
9823.ENSSSCP00000023446	I3LHA1
9823.ENSSSCP00000023759	I3LI60
9823.ENSSSCP00000023768	I3LI69
9823.ENSSSCP00000023858	I3LIF3
9823.ENSSSCP00000023949	I3LIP3
9823.ENSSSCP00000024649	I3LKN4
9823.ENSSSCP00000024933	I3LLG5
9823.ENSSSCP00000025266	I3LME5
9823.ENSSSCP00000025443	I3LMX1
9823.ENSSSCP00000025572	I3LN99
9823.ENSSSCP00000025654	I3LNI0
9823.ENSSSCP00000025715	I3LNP0
9823.ENSSSCP00000025724	I3LNP9
9823.ENSSSCP00000025809	I3LNY4
9823.ENSSSCP00000026008	I3LPI1
9823.ENSSSCP00000026767	I3LRM9
9823.ENSSSCP00000027396	I3LTF1
9823.ENSSSCP00000027617	I3LU18
9823.ENSSSCP00000027992	I3LV40
9823.ENSSSCP00000028033	I3LV81
9823.ENSSSCP00000028056	I3LVA4
9823.ENSSSCP00000028112	I3LVG0
9823.ENSSSCP00000028128	I3LVH6
9823.ENSSSCP00000019080	Q95249
9823.ENSSSCP00000023973	F1RHI2
9823.ENSSSCP00000024117	F1SBH3
9823.ENSSSCP00000020498	F1SQ98
9823.ENSSSCP00000019206	F2Z5P7
9823.ENSSSCP00000027499	I3LD21
9823.ENSSSCP00000023906	I3LIK0
9823.ENSSSCP00000024030	I3LIX3
9823.ENSSSCP00000024069	I3LJ12
9823.ENSSSCP00000024397	I3LJY4
9823.ENSSSCP00000026440	I3LQR0
9823.ENSSSCP00000026442	I3LQR2
9823.ENSSSCP00000024860	Q6YEX9
9823.ENSSSCP00000001574	A0A096ZTS7
9823.ENSSSCP00000008687	K9IVK2
9823.ENSSSCP00000017744	Q09Y70
9823.ENSSSCP00000015286	A3QQZ0
9823.ENSSSCP00000003607	B7S818
9823.ENSSSCP00000025465	D3K5M4
9823.ENSSSCP00000005491	A2TEV3
9823.ENSSSCP00000022373	I2E650
9823.ENSSSCP00000019078	Q29623
9823.ENSSSCP00000017486	A7KZR9
9823.ENSSSCP00000010911	A7LKB1
9823.ENSSSCP00000030835	Q2LH03
9823.ENSSSCP00000019801	Q6RUR0
9823.ENSSSCP00000013465	K7GKU1
9823.ENSSSCP00000021105	K7GRH0
9823.ENSSSCP00000004093	Q19QT4
9823.ENSSSCP00000021013	K7GKF4
9823.ENSSSCP00000013238	K7GKJ8
9823.ENSSSCP00000013086	K7GKN9
9823.ENSSSCP00000019663	K7GMH6
9823.ENSSSCP00000000231	K7GNR9
9823.ENSSSCP00000008421	K7GNS6
9823.ENSSSCP00000030742	K7GPA4
9823.ENSSSCP00000001511	K7GPH7
9823.ENSSSCP00000030878	K7GR56
9823.ENSSSCP00000009696	K7GRI1
9823.ENSSSCP00000030976	K7GST7
9823.ENSSSCP00000018424	Q9GK55
9823.ENSSSCP00000019422	B3VQ65
9823.ENSSSCP00000025325	O97894
9823.ENSSSCP00000001298	Q68VF0
9823.ENSSSCP00000003826	Q69DK9
9823.ENSSSCP00000015487	F1RGD0
9823.ENSSSCP00000010472	F1RNQ2
9823.ENSSSCP00000004959	F1RZG7
9823.ENSSSCP00000018133	F1S029
9823.ENSSSCP00000016527	F1S2X8
9823.ENSSSCP00000016183	F1S6C3
9823.ENSSSCP00000002297	F1S6S0
9823.ENSSSCP00000009258	F1S8R7
9823.ENSSSCP00000029561	F1SCL0
9823.ENSSSCP00000012454	F1SKE7
9823.ENSSSCP00000005281	F1SMS7
9823.ENSSSCP00000012147	F1SPQ9
9823.ENSSSCP00000010404	F1RFR1
9823.ENSSSCP00000003017	F1RFU5
9823.ENSSSCP00000003291	F1RGG5
9823.ENSSSCP00000003267	F1RH82
9823.ENSSSCP00000010081	F1RJ72
9823.ENSSSCP00000008202	F1RKG0
9823.ENSSSCP00000010768	F1RKX9
9823.ENSSSCP00000018911	F1RLK8
9823.ENSSSCP00000008146	F1RNS7
9823.ENSSSCP00000006003	F1RS30
9823.ENSSSCP00000013436	F1RU75
9823.ENSSSCP00000028513	F1RUI9
9823.ENSSSCP00000011816	F1RVI7
9823.ENSSSCP00000004994	F1RYM9
9823.ENSSSCP00000009720	F1S156
9823.ENSSSCP00000007378	F1S4E0
9823.ENSSSCP00000007323	F1S560
9823.ENSSSCP00000014885	F1S5R1
9823.ENSSSCP00000002888	F1S5U4
9823.ENSSSCP00000002273	F1S6W1
9823.ENSSSCP00000002366	F1S7P9
9823.ENSSSCP00000011592	F1S8M3
9823.ENSSSCP00000002213	F1S9E2
9823.ENSSSCP00000007516	F1SBL4
9823.ENSSSCP00000002438	F1SCL5
9823.ENSSSCP00000002641	F1SD91
9823.ENSSSCP00000007862	F1SDR9
9823.ENSSSCP00000014055	F1SIF4
9823.ENSSSCP00000005656	F1SJB7
9823.ENSSSCP00000000466	F1SKH4
9823.ENSSSCP00000000138	F1SKL1
9823.ENSSSCP00000012418	F1SL85
9823.ENSSSCP00000015977	F1SM65
9823.ENSSSCP00000012346	F1SPL8
9823.ENSSSCP00000012307	F1SQF9
9823.ENSSSCP00000012029	F1SRG5
9823.ENSSSCP00000007064	F1ST00
9823.ENSSSCP00000017706	F1ST94
9823.ENSSSCP00000015867	F1STL9
9823.ENSSSCP00000008689	F1SU27
9823.ENSSSCP00000010435	F2Z501
9823.ENSSSCP00000005624	B3VN83
9823.ENSSSCP00000004370	D4N5E8
9823.ENSSSCP00000008388	F1RPB0
9823.ENSSSCP00000011811	F1RVJ2
9823.ENSSSCP00000002982	F1S2L0
9823.ENSSSCP00000011216	F1S8X5
9823.ENSSSCP00000002771	F1S971
9823.ENSSSCP00000017890	F1SMF8
9823.ENSSSCP00000017032	F1SMZ8
9823.ENSSSCP00000025557	F2Y855
9823.ENSSSCP00000001911	F2Z528
9823.ENSSSCP00000013903	Q699Z3
9823.ENSSSCP00000019147	B8X483
9823.ENSSSCP00000021244	B1B1N7
9823.ENSSSCP00000013947	F1RIA4
9823.ENSSSCP00000013930	F1RID0
9823.ENSSSCP00000000853	F1SGY4
9823.ENSSSCP00000019147	O78726
9823.ENSSSCP00000008819	Q5RL95
9823.ENSSSCP00000017001	E9M2L9
9823.ENSSSCP00000018866	F1RHJ9
9823.ENSSSCP00000003203	F1RI43
9823.ENSSSCP00000010392	F1RI74
9823.ENSSSCP00000018071	F1RQD7
9823.ENSSSCP00000013851	F1RQP6
9823.ENSSSCP00000009454	F1RWB3
9823.ENSSSCP00000006214	F1RWR4
9823.ENSSSCP00000013396	F1RWT2
9823.ENSSSCP00000001071	F1RWZ3
9823.ENSSSCP00000004238	F1S364
9823.ENSSSCP00000002546	F1S3J1
9823.ENSSSCP00000014470	F1SA17
9823.ENSSSCP00000002468	F1SA70
9823.ENSSSCP00000000255	F1SGI3
9823.ENSSSCP00000017836	F1SNB6
9823.ENSSSCP00000005730	F1SP59
9823.ENSSSCP00000000696	F1SPC0
9823.ENSSSCP00000008655	F1SU83
9823.ENSSSCP00000019147	G9JKS6
9823.ENSSSCP00000019358	I3L5Q8
9823.ENSSSCP00000020420	I3L8R0
9823.ENSSSCP00000025154	I3L9N1
9823.ENSSSCP00000010536	I3LAW5
9823.ENSSSCP00000022774	I3LFD3
9823.ENSSSCP00000024089	I3LJ32
9823.ENSSSCP00000005947	I3LK61
9823.ENSSSCP00000024771	I3LL05
9823.ENSSSCP00000025015	I3LLP5
9823.ENSSSCP00000025347	I3LMM6
9823.ENSSSCP00000025584	I3LNB0
9823.ENSSSCP00000027439	I3LTJ2
9823.ENSSSCP00000027923	I3LUX2
9823.ENSSSCP00000028179	I3LVM7
9823.ENSSSCP00000019147	A8KDF9
9823.ENSSSCP00000023564	F1SDW3
9823.ENSSSCP00000021455	F1SK16
9823.ENSSSCP00000026441	F1SSX7
9823.ENSSSCP00000019199	I3L5A0
9823.ENSSSCP00000019335	I3L5N6
9823.ENSSSCP00000025229	I3L7S6
9823.ENSSSCP00000020097	I3L7U0
9823.ENSSSCP00000020183	I3L825
9823.ENSSSCP00000020348	I3L8I8
9823.ENSSSCP00000020414	I3L8Q4
9823.ENSSSCP00000020684	I3L9H2
9823.ENSSSCP00000020685	I3L9H3
9823.ENSSSCP00000020794	I3L9T1
9823.ENSSSCP00000020905	I3LA39
9823.ENSSSCP00000020951	I3LA84
9823.ENSSSCP00000021307	I3LB88
9823.ENSSSCP00000021741	I3LCG6
9823.ENSSSCP00000021886	I3LCV9
9823.ENSSSCP00000022254	I3LDW9
9823.ENSSSCP00000022484	I3LEJ6
9823.ENSSSCP00000022567	I3LES8
9823.ENSSSCP00000022952	I3LFV9
9823.ENSSSCP00000022995	I3LG02
9823.ENSSSCP00000023030	I3LG37
9823.ENSSSCP00000023044	I3LG51
9823.ENSSSCP00000019988	I3LG91
9823.ENSSSCP00000023130	I3LGD7
9823.ENSSSCP00000023156	I3LGG2
9823.ENSSSCP00000023432	I3LH87
9823.ENSSSCP00000023611	I3LHR4
9823.ENSSSCP00000023772	I3LI73
9823.ENSSSCP00000023882	I3LIH7
9823.ENSSSCP00000025565	I3LIS7
9823.ENSSSCP00000024097	I3LJ40
9823.ENSSSCP00000024249	I3LJI9
9823.ENSSSCP00000024656	I3LKP1
9823.ENSSSCP00000024998	I3LLM8
9823.ENSSSCP00000025078	I3LLV8
9823.ENSSSCP00000025223	I3LMA2
9823.ENSSSCP00000025739	I3LNR4
9823.ENSSSCP00000025949	I3LPC3
9823.ENSSSCP00000004695	I3LPK3
9823.ENSSSCP00000026126	I3LPU9
9823.ENSSSCP00000026205	I3LQ27
9823.ENSSSCP00000026308	I3LQD0
9823.ENSSSCP00000026550	I3LR18
9823.ENSSSCP00000026850	I3LRV9
9823.ENSSSCP00000026923	I3LS32
9823.ENSSSCP00000026956	I3LS65
9823.ENSSSCP00000027023	I3LSD0
9823.ENSSSCP00000027024	I3LSD1
9823.ENSSSCP00000027116	I3LSM3
9823.ENSSSCP00000027121	I3LSM8
9823.ENSSSCP00000027210	I3LSW7
9823.ENSSSCP00000027340	I3LT96
9823.ENSSSCP00000024446	I3LUA8
9823.ENSSSCP00000027822	I3LUM2
9823.ENSSSCP00000028167	I3LVL5
9823.ENSSSCP00000030836	A5PI50
9823.ENSSSCP00000026334	K9IVC4
9823.ENSSSCP00000014508	Q6JDV3
9823.ENSSSCP00000007496	F1SE18
9823.ENSSSCP00000005979	F1SKU2
9823.ENSSSCP00000013237	Q6T4P2
9823.ENSSSCP00000012327	Q6TGF0
9823.ENSSSCP00000019232	Q719N2
9823.ENSSSCP00000026890	Q1W1F8
9823.ENSSSCP00000021557	Q8MJG3
9823.ENSSSCP00000016670	A7E1T9
9823.ENSSSCP00000023325	A7J150
9823.ENSSSCP00000017626	B5TYV1
9823.ENSSSCP00000012914	D3K5I9
9823.ENSSSCP00000029166	Q1AFY9
9823.ENSSSCP00000031048	Q29027
9823.ENSSSCP00000001570	Q8HX74
9823.ENSSSCP00000004775	Q95JA0
9823.ENSSSCP00000004154	C9W108
9823.ENSSSCP00000007256	Q28950
9823.ENSSSCP00000031048	M4QL32
9823.ENSSSCP00000030775	O02735
9823.ENSSSCP00000013933	Q8MJ38
9823.ENSSSCP00000013192	Q8SQ71
9823.ENSSSCP00000028561	K7GKP8
9823.ENSSSCP00000013026	K7GKU9
9823.ENSSSCP00000012318	K7GLA9
9823.ENSSSCP00000030511	K7GM44
9823.ENSSSCP00000006313	K7GM88
9823.ENSSSCP00000014513	K7GN28
9823.ENSSSCP00000029924	K7GNB5
9823.ENSSSCP00000028471	K7GRP1
9823.ENSSSCP00000016982	K7GS65
9823.ENSSSCP00000002881	K7GSW9
9823.ENSSSCP00000016755	O77634
9823.ENSSSCP00000012152	Q28946
9823.ENSSSCP00000026275	Q9N0K5
9823.ENSSSCP00000022312	F1S0K9
9823.ENSSSCP00000028318	K7GN58
9823.ENSSSCP00000013191	K7GPY6
9823.ENSSSCP00000005593	K7GQB4
9823.ENSSSCP00000021352	V5Q1P3
9823.ENSSSCP00000008003	A5GFS3
9823.ENSSSCP00000000757	D7PIA0
9823.ENSSSCP00000027354	Q8WN88
9823.ENSSSCP00000009825	Q9TSY3
9823.ENSSSCP00000012339	Q9GKL3
