99287.STM2332	Q8ZNE0
99287.STM0212	A0A0B3NRQ8
99287.STM1655	A0A0B3JVP8
99287.STM1352	A0A0B3MSY9
99287.STM3024	A0A0B3NLT3
99287.STM0724	A0A0B3EWR6
99287.STM3558	A0A0B3G0Q4
99287.STM2780	A0A0B3K8A6
99287.STM1188	A0A0B3LLM0
99287.STM3658	A0A0B3FCI8
99287.STM3773	A0A0B3GU23
99287.STM3759.S	A0A0B3FYC9
99287.STM2917	A0A0B3L565
99287.STM0285	A0A0B3MLP0
99287.STM4371	A0A0B3HF66
99287.STM4572	A0A0B3ILB7
99287.STM1870	A0A0B3GGW6
99287.STM4534	A0A0B3N8X3
99287.STM3558	A0A0B3CUG2
99287.STM4533	A0A0B3E4F3
99287.STM3079.S	A0A0B3GX05
99287.STM3152	A0A0B3NPT8
99287.STM3759.S	A0A0B3CKU1
99287.STM2598	A0A0B3F801
99287.STM0538	A0A0B3HMY4
99287.STM4199	A0A0B3JM01
99287.STM1408	A0A0B3DQT5
99287.STM4533	A0A0B3F7P8
99287.STM1330	A0A0B3F7X3
99287.STM1028	A0A0B3FCM8
99287.STM2025	A0A0B3DEX5
99287.STM1382	A0A0B3G5D9
99287.STM3616	A0A0B3MAY0
99287.STM1910	A0A0B3LSJ9
99287.STM0329	A0A0B3MT14
99287.STM1624	A0A0B3EPQ6
99287.STM1697	A0A0B3IZR7
99287.STM4503	A0A0B3HQY8
99287.STM2865	A0A0B3EJ42
99287.STM2437	A0A0B3FNQ4
99287.STM0589	A0A0B3NJH1
99287.STM2025	A0A0B3HRQ6
99287.STM1283	A0A0B3NVK7
99287.STM0325	A0A0B3JXK4
99287.STM4012	A0A0B3MHS6
99287.STM2943	A0A0B3F0G2
99287.STM3829	A0A0B3HT02
99287.STM1354	A0A0B3HVU0
99287.STM3517	A0A0B3GWN1
99287.STM1358	A0A0B3HZD1
99287.STM4162	A0A0B3J8X2
99287.STM2771	E7CI99
99287.STM1958	A0A0B3NI88
99287.STM1361	A0A0B3EIG5
99287.STM2551	A0A0B3GDS5
99287.STM4012	A0A0B3FTQ5
99287.STM3720	A0A0B3E5S6
99287.STM0351	A0A0B3HN52
99287.STM2247	A0A0B3IUY1
99287.STM3739	A0A0B3C0F7
99287.STM4519	A0A0B3J8J8
99287.STM1375	A0A0B3CW25
99287.STM0331	A0A0B3I3G8
99287.STM2239	A0A0B3KAM1
99287.STM2917	A0A0B3CXJ3
99287.STM4533	A0A0B3DA04
99287.STM0494	A0A0B3EWD6
99287.STM3552	A0A0B3GKP8
99287.STM0656	A0A0B3H035
99287.STM2771	A0A0B3NJW4
99287.STM4213	A0A0B3JXY6
99287.STM0572	A0A0B3N724
99287.STM4215	A0A0B3NN87
99287.STM4211	A0A0B3D3X3
99287.STM1910	A0A0B3DU49
99287.STM2007	A0A0B3HLE6
99287.STM3598	A0A0B3J1F9
99287.STM4211	A0A0D1XLU8
99287.STM2134	A0A0D1X7V8
99287.STM1796	A0A0D1VC91
99287.STM2066	A0A0D1WTY7
99287.STM4482	A0A0B3IH40
99287.STM1500	A0A0B3KXL3
99287.STM0765	A0A0D1WW31
99287.STM0358.S	A0A0D1XIB9
99287.STM4213	A0A0D1VQ10
99287.STM1030	A0A0B3ECY7
99287.STM1204	A0A0B3GD44
99287.STM1239	A0A0B3E180
99287.STM1546	A0A0B3DQC3
99287.STM1506	A0A0B3K8N1
99287.STM0574	A0A0B3DCZ7
99287.STM0176	A0A0B3GRD9
99287.STM4372	A0A0B3DIS7
99287.STM4584	A0A0B3N793
99287.STM3277	A0A0B3N9F6
99287.STM1538	A0A0B3K422
99287.STM4195	A0A0B3MCS1
99287.STM1400	A0A0B3P233
99287.STM2943	A0A0B3H597
99287.STM3796A.S	A0A0B3N2E0
99287.STM1350	A0A0B3DH81
99287.STM3343	A0A0B3FX50
99287.STM1031	A0A0B3FZ16
99287.STM3796A.S	A0A0B3GX34
99287.STM4591	A0A0B3FHV4
99287.STM4212	A0A0B3HJB6
99287.STM3219	A0A0B3NM24
99287.STM4426	A0A0B3C786
99287.STM0657	A0A0B3DYA1
99287.STM1698	A0A0B3F717
99287.STM2613	A0A0B3FF41
99287.STM1386	A0A0B3HPH0
99287.STM2509	A0A0B3MDP3
99287.STM3121	A0A0B3CML9
99287.STM1353	A0A0B3DH44
99287.STM4536	A0A0B3HSA6
99287.STM3638	A0A0B3LK23
99287.STM1380	A0A0B3M8P2
99287.STM1546	A0A0B3DWK0
99287.STM1102	A0A0B3G6C3
99287.STM0659	A0A0B3IQ62
99287.STM2479	A0A0B3H7D9
99287.STM1283	A0A0B3H2U0
99287.STM2865	A0A0B3FXB0
99287.STM2432	A0A0B3GLW5
99287.STM2910	A0A0B3JFN5
99287.STM0494	A0A0B3DDI5
99287.STM0656	A0A0B3F6G5
99287.STM4210	A0A0B3MCQ7
99287.STM0769	A0A0B3GBU1
99287.STM4195	A0A0B3E6C0
99287.STM3154	A0A0B3J2E8
99287.STM2230.1c	A0A0B3E0T5
99287.STM2062	A0A0B3FXF3
99287.STM1569	A0A0B3J037
99287.STM4484	A0A0B3NI91
99287.STM3521	A0A0B3ELB6
99287.STM4319	A0A0B3ELH8
99287.STM0212	A0A0B3GRG0
99287.STM1382	A0A0B3N1L7
99287.STM0826	A0A0B3L391
99287.STM0764	A0A0B3GDP3
99287.STM1204	A0A0B3C2P4
99287.STM0329	A0A0B3DT81
99287.STM0538	A0A0B3MPY2
99287.STM2744	A0A0B3DTH4
99287.STM2902	A0A0B3F2G9
99287.STM4159	A0A0B3IP66
99287.STM2942	A0A0B3NM40
99287.STM4573	A0A0B3FB71
99287.STM4537	A0A0B3FFT9
99287.STM4215	A0A0B3I5B4
99287.STM3114	A0A0B3EK32
99287.STM2944	A0A0B3JQV0
99287.STM3636	A0A0B3LCW4
99287.STM3080	A0A0B3KKE5
99287.STM1910	A0A0B3G8T3
99287.STM4210	A0A0B3D7N8
99287.STM0438	A0A0B3GAI7
99287.STM4201	A0A0B3LVJ2
99287.STM1995	A0A0B3NI51
99287.STM4210	A0A0B3CNM5
99287.STM2742	A0A0B3E3W8
99287.STM3026	A0A0B3GWU5
99287.STM0330	A0A0B3HZQ4
99287.STM0438	A0A0B3M8Z6
99287.STM1531	A0A0B3NLE0
99287.STM4306	A0A0B3NJQ5
99287.STM1796	A0A0B3HUV9
99287.STM0589	A0A0B3FMC6
99287.STM1408	A0A0B3MCL9
99287.STM0494	A0A0B3DMB7
99287.STM1650	A0A0B3I8P8
99287.STM1884	A0A0B3I7N5
99287.STM1869	A0A0B3EHL9
99287.STM3391	A0A0B3GZ37
99287.STM2803	A0A0B3MH52
99287.STM0328.s	A0A0B3DPF4
99287.STM2140	A0A0B3DS17
99287.STM3780	A0A0B3E0L2
99287.STM2509	A0A0B3EW49
99287.STM1357.S	A0A0B3HGK9
99287.STM4209	A0A0B3C4E6
99287.STM3332	A0A0B3EPD7
99287.STM0353	A0A0B3GHQ0
99287.STM0972	A0A0B3HH40
99287.STM4591	A0A0B3N8P5
99287.STM3123	A0A0B3DM48
99287.STM2939	A0A0B3I606
99287.STM3624A	A0A0B3KGF3
99287.STM1050	A0A0B3G879
99287.STM4195	A0A0B3MEG0
99287.STM2865	A0A0B3LAZ9
99287.STM2745	A0A0B3DPU2
99287.STM0589	A0A0B3FGA9
99287.STM3636	A0A0B3IYN9
99287.STM3170	A0A0B3LYP5
99287.STM3529	A0A0B3NYH7
99287.STM0854	A0A0B3EQI6
99287.STM4491	A0A0B3NQU4
99287.STM4539	A0A0B3HHM3
99287.STM0197	A0A0B3N880
99287.STM4426	A0A0B3JPF6
99287.STM3467	A0A0B3EDZ4
99287.STM3171	A0A0B3GA03
99287.STM2087	A0A0B3IFB2
99287.STM4212	A0A0B3CXV8
99287.STM3595	A0A0B3EL58
99287.STM3081	A0A0B3GCK2
99287.STM4305.S	A0A0B3NCK8
99287.STM0822	A0A0B3EP20
99287.STM4484	A0A0B3EYR2
99287.STM2508	A0A0B3HAM8
99287.STM3720	A0A0B3IHC9
99287.STM3119	A0A0B3GTS8
99287.STM4045	A0A0B3N9C4
99287.STM3391	A0A0B3NLM9
99287.STM3600	A0A0B3PCZ5
99287.STM3169	A0A0B3IBX2
99287.STM3567	A0A0B3FLY7
99287.STM1033	A0A0B3FNC2
99287.STM2112	A0A0B3GZ36
99287.STM1350	A0A0B3HY41
99287.STM1357.S	A0A0B3P277
99287.STM3599	A0A0B3GNS1
99287.STM1755	A0A0B3JNQ0
99287.STM1626	A0A0B3MTF6
99287.STM2437	A0A0B3N4Q0
99287.STM4483	A0A0B3NRU2
99287.STM4054	A0A0B3HFD2
99287.STM3123	A0A0B3CXC4
99287.STM1473	A0A0B3MYY2
99287.STM0351	A0A0B3N7F1
99287.STM3829	A0A0B3FYX8
99287.STM2517	A0A0B3N6C1
99287.STM2134	A0A0B3IAP7
99287.STM0576	A0A0B3KYP6
99287.STM3616	A0A0B3DVE9
99287.STM0328.s	A0A0B3GVI6
99287.STM3780	A0A0B0A8G4
99287.STM1571	A0A0B3GQU2
99287.STM1829	A0A0B3EJC9
99287.STM4417	A0A0B3KJQ2
99287.STM1283	A0A0D1UE13
99287.STM3673	A0A0B3HS95
99287.STM2432	A0A0B0A3M0
99287.STM2917	A0A0B0AAY1
99287.STM3805	A0A0B3LMP1
99287.STM3518	A0A0D1WIS9
99287.STM3004.1n	A0A0B3ISV1
99287.STM2008	A0A0D1U8P4
99287.STM3658	A0A0D1XQI5
99287.STM3490	A0A0D1WBX1
99287.STM4216	A0A0B3EE02
99287.STM3827	A0A0B3HT16
99287.STM2941	A0A0B0A4S9
99287.STM0197	A0A0D1WYD3
99287.STM0658	A0A0D1UGW4
99287.STM3828	A0A0B3G9I3
99287.STM2699	A0A0B3GM28
99287.STM0176	A0A0B3MVF3
99287.STM2517	A0A0D1V7S9
99287.STM1351	A0A0B3NWK9
99287.STM2803	A0A0D1U2C0
99287.STM0572	A0A0D1UGL4
99287.STM4538	A0A0B3KK28
99287.STM2049	A0A0B3MYJ9
99287.STM2062	A0A0D1VAR6
99287.STM4434	A0A0B3JPZ9
99287.STM1375	A0A0D1WPL7
99287.STM0809	A0A0B3HJE2
99287.STM2770	A0A0D1WFJ4
99287.STM4021	A0A0B3CMH2
99287.STM0294.1N	A0A0D1X3X4
99287.STM1755	A0A0B0A2F4
99287.STM0277	A0A0B3NGH3
99287.STM1329	A0A0B3L4T9
99287.STM3517	A0A0D1TZ34
99287.STM4427	A0A0D1XNE0
99287.STM2198	A0A0B3CN23
99287.STM2420.1n	A0A0B3KI28
99287.STM2809	A0A0B3HDW8
99287.STM0707	A0A0B3DKA5
99287.STM1655	A0A0D1WQK5
99287.STM3859	A0A0B3I0T1
99287.STM2023	A0A0B3M718
99287.STM0538	A0A0D1XIP2
99287.STM2530	A0A0D1X3H6
99287.STM0655	A0A0B3FG40
99287.STM4021	A0A0D1X3D4
99287.STM3631	A0A0B0A848
99287.STM4204	A0A0D1UKP6
99287.STM1353	A0A0B3FSS5
99287.STM2783	A0A0B3LKT3
99287.STM1910	A0A0B3JQX0
99287.STM1401	A0A0D1VEJ9
99287.STM0672	A0A0D1XGE3
99287.STM2115	A0A0D1U6U8
99287.STM4012	A0A0D1UPJ2
99287.STM4206	A0A0B3K751
99287.STM3411	A0A0B0A9T2
99287.STM1625	A0A0B3H3Q2
99287.STM3522	A0A0D1WJK5
99287.STM0285	A0A0D1X3W4
99287.STM0858	A0A0B3D6V0
99287.STM4252	A0A0B3KNJ2
99287.STM3616	A0A0D1V299
99287.STM1102	A0A0B3CDG8
99287.STM2566	A0A0B3C1X8
99287.STM3154	A0A0B3JVQ1
99287.STM3243	A0A0B3ERR6
99287.STM4196	A0A0B3JFA4
99287.STM2726	A0A0B3JN00
99287.STM3567	A0A0B3L3K8
99287.STM4571	A0A0B3F6K5
99287.STM1941	A0A0B3L1G2
99287.STM0766	A0A0B3F4X9
99287.STM4218	A0A0B3HI56
99287.STM1404	A0A0B3G013
99287.STM0659	A0A0B3LZY4
99287.STM1081	A0A0B3MMP6
99287.STM4420	A0A0B3NFE0
99287.STM1386	A0A0B3JDN2
99287.STM4157	A0A0D1XNT8
99287.STM1485	A0A0B3JRZ0
99287.STM3600	A0A0B3H8Y0
99287.STM3025.1N	A0A0B3KZ03
99287.STM4372	A0A0B3LIT0
99287.STM2439	A0A0D1U4S2
99287.STM1049	A0A0D1X6Y7
99287.STM3390	A0A0B3K1V8
99287.STM4186	A0A0B3IZZ5
99287.STM3745	A0A0D1X4J3
99287.STM1896	A0A0D1X782
99287.STM3521	A0A0D1WYF9
99287.STM3899	A0A0B3KY85
99287.STM1354	A0A0B3PGW4
99287.STM4212	A0A0D1X5P5
99287.STM3585	A0A0D1V280
99287.STM1281	A0A0B3N1Y1
99287.STM0826	A0A0D1X004
99287.STM4205	A0A0B3N629
99287.STM1786	A0A0B3CIY4
99287.STM3467	A0A0B3EUV0
99287.STM0292	A0A0D1XI29
99287.STM1630	A0A0B3MFR2
99287.STM4593	A0A0D1XN68
99287.STM3598	A0A0B3FKU9
99287.STM4033	A0A0B3FLM7
99287.STM3154	A0A0D1V6A5
99287.STM0350.S	A0A0D1WX37
99287.STM4102	A0A0B3IU52
99287.STM1546	A0A0D1UES9
99287.STM2007	A0A0D1VAH9
99287.STM3739	A0A0D1VT74
99287.STM2883	A0A0D1WN03
99287.STM1573.Sc	A0A0B3IQK6
99287.STM4483	A0A0B3LH21
99287.STM3119	A0A0B3G9M7
99287.STM3558	A0A0B3H8I5
99287.STM3552	A0A0B3KKU3
99287.STM2903	A0A0B3L6L5
99287.STM1506	A0A0D1VH69
99287.STM2786	A0A0B3J6Y4
99287.STM2918	A0A0B3E2G9
99287.STM4200	A0A0D1X0K4
99287.STM3528	A0A0B3EV54
99287.STM0954	A0A0D1UD60
99287.STM2168	A0A0B3GGW5
99287.STM3823	A0A0D1X401
99287.STM1531	A0A0B3LMZ7
99287.STM0283	A0A0D1VKB8
99287.STM4519	A0A0B3HHP0
99287.STM1786	A0A0B3KUR8
99287.STM0274	A0A0B3M7T0
99287.STM3219	A0A0D1U3L8
99287.STM3114	A0A0D1WZW5
99287.STM0701	A0A0D1X2P5
99287.STM3829	A0A0B3MVR4
99287.STM3024	A0A0B3G624
99287.STM1628	A0A0B3HHW1
99287.STM0577	A0A0B3M6H3
99287.STM0278	A0A0B3DLE9
99287.STM0279	A0A0B3DYY8
99287.STM1570	A0A0B3MJN8
99287.STM3887	A0A0B3MVY2
99287.STM1855	A0A0D1WNJ9
99287.STM1158	A0A0D1WRM1
99287.STM0522	A0A0B3FPT3
99287.STM3533	A0A0B3JGH1
99287.STM2865	A0A0D1V5F3
99287.STM2795	A0A0B3DTK3
99287.STM2727	A0A0B3KEI7
99287.STM0175	A0A0B3I0H9
99287.STM0655	A0A0B3JHT3
99287.STM2772	A0A0B3E2Y1
99287.STM0197	A0A0B3I0F8
99287.STM3528	A0A0B3D5I4
99287.STM4114	A0A0B3FRC9
99287.STM3411	A0A0B3GSQ0
99287.STM0589	A0A0B3KDJ5
99287.STM0358.S	A0A0B3NYW2
99287.STM1188	A0A0B3H7U3
99287.STM4021	A0A0B3NTA3
99287.STM0631	A0A0B3E9J5
99287.STM1855	A0A0B3LJN9
99287.STM0183	A0A0B3CIS5
99287.STM1357.S	A0A0B3GF24
99287.STM3154	A0A0B3HC55
99287.STM1855	A0A0B3NA52
99287.STM0297	A0A0B3NTT8
99287.STM2596	A0A0B3EY59
99287.STM4485	A0A0B3HP99
99287.STM3521	A0A0B3JXH0
99287.STM3658	A0A0B3MN90
99287.STM0800	A0A0B3C168
99287.STM0195	A0A0B3D8M8
99287.STM2938	A0A0B3E2J0
99287.STM3823	A0A0B3ECW0
99287.STM3519	A0A0B3GWS4
99287.STM1941	A0A0B3I6V3
99287.STM2698	A0A0B3INP3
99287.STM1355	A0A0B3KPM9
99287.STM3527	A0A0D1WJK6
99287.STM2479	A0A0D1WRC9
99287.STM2772	A0A0D1V6W5
99287.STM2878	A0A0D1WMZ9
99287.STM2026	A0A0B3EVL7
99287.STM0284	A0A0D1WW85
99287.STM1002	A0A0D1WXX4
99287.STM1240	A0A0D1WYI8
99287.STM4215	A0A0D1WZ78
99287.STM0515	A0A0B3FG06
99287.STM4436	A0A0B3G331
99287.STM2137	A0A0D1WRY7
99287.STM1568	A0A0B3JLU4
99287.STM4484	A0A0D1VQP9
99287.STM0175	A0A0D1X5E9
99287.STM0415	A0A0B3G309
99287.STM1382	A0A0D1WQ60
99287.STM3083	A0A0D1WZT8
99287.STM4537	A0A0B3GG27
99287.STM3640	A0A0B3MFJ8
99287.STM2783	A0A0D1WYT6
99287.STM0394	A0A0B3J592
99287.STM4255	A0A0B3N1A4
99287.STM3291	A0A0D1V492
99287.STM2209.1c	A0A0B3CIS0
99287.STM4306	A0A0B3JPR9
99287.STM3462	A0A0D1V1Q9
99287.STM3532	A0A0D1V1Z6
99287.STM4521	A0A0B3F7N4
99287.STM2112	A0A0B3GH08
99287.STM1596	A0A0B3KDE4
99287.STM3084.S	A0A0B3J2Z7
99287.STM4521	A0A0B3NDT1
99287.STM1571	A0A0D1VH15
99287.STM3152	A0A0D1WNR1
99287.STM3639	A0A0B3L0Y5
99287.STM1624	A0A0D1VHE6
99287.STM1796	A0A0B3I8Q5
99287.STM1843	A0A0B3M113
99287.STM3759.S	A0A0B3MWK7
99287.STM4534	A0A0D1X1K6
99287.STM0573	A0A0D1VJ74
99287.STM3179	A0A0B3CMX0
99287.STM3559	A0A0B3GA88
99287.STM2765	A0A0B3KWV6
99287.STM4591	A0A0D1VPN8
99287.STM3343	A0A0B3CNU2
99287.STM1360	A0A0B3N1L6
99287.STM2187	A0A0D1WS28
99287.STM4584	A0A0B3BXD6
99287.STM2026	A0A0D1U8R8
99287.STM0576	A0A0B3E025
99287.STM4219.S	A0A0B3FDR7
99287.STM1330	A0A0B3N697
99287.STM3529	A0A0B3NDT7
99287.STM3165	A0A0B3M6Q6
99287.STM1570	A0A0B3MWM7
99287.STM1549	A0A0D1WZ37
99287.STM0354	A0A0B3CA79
99287.STM1884	A0A0B3J5W8
99287.STM3350	A0A0D1WEM6
99287.STM4533	A0A0D1VQT7
99287.STM0098	A0A0D1XIY8
99287.STM2873	A0A0B3F0N1
99287.STM1699	A0A0D1WZU7
99287.STM0354	A0A0B3EXX5
99287.STM1188	A0A0D1WVN4
99287.STM1110	A0A0B3EDN8
99287.STM0355	A0A0B3K9A0
99287.STM2918	A0A0D1TZY1
99287.STM0701	A0A0B3FUX9
99287.STM2937	A0A0B3JFI4
99287.STM0821	A0A0D1WZZ7
99287.STM4423	A0A0B3K2I5
99287.STM3841	A0A0B3MEG6
99287.STM3940	A0A0B3LRH4
99287.STM3757	A0A0D1URY9
99287.STM3085	A0A0D1V623
99287.STM0657	A0A0B3J5V0
99287.STM0199	A0A0B3FIA6
99287.STM1552	A0A0D1XDY1
99287.STM1359	A0A0B3MEY4
99287.STM2437	A0A0B0A3M5
99287.STM2432	A0A0B3KWW4
99287.STM4207	A0A0D1X787
99287.STM4203	A0A0B3HDF3
99287.STM3130	A0A0B3FMJ3
99287.STM3081	A0A0B3IFA5
99287.STM3519	A0A0D1WCD6
99287.STM1668	A0A0D1UCG9
99287.STM1870	A0A0D1WVG2
99287.STM1550	A0A0B3NB28
99287.STM2275	A0A0B3E7U0
99287.STM3762	A0A0B0AAE7
99287.STM0822	A0A0D1UFD3
99287.STM4426	A0A0D1WZZ2
99287.STM1351	A0A0B3JK50
99287.STM4427	A0A0B3NRY6
99287.STM0174	A0A0D1XJU9
99287.STM4305.S	A0A0D1XM44
99287.STM3080	A0A0D1U360
99287.STM3777	A0A0B3GU60
99287.STM0212	A0A0D1VMR1
99287.STM1408	A0A0B3FLW1
99287.STM3824	A0A0B3HQJ3
99287.STM0353	A0A0D1X361
99287.STM1650	A0A0B3L4P5
99287.STM1360	A0A0B3KBR5
99287.STM4433	A0A0B3CEJ4
99287.STM3516	A0A0B3G821
99287.STM1358	A0A0B3DH49
99287.STM4425	A0A0B3ID92
99287.STM1357.S	A0A0B3F2B3
99287.STM1626	A0A0B3K8D4
99287.STM1530	A0A0B3MTT0
99287.STM0571	A0A0D1X1I7
99287.STM0352.S	A0A0D1XHD0
99287.STM0342	A0A0B3GJ14
99287.STM0631	A0A0D1XGV8
99287.STM0183	A0A0B3G6G9
99287.STM3467	A0A0B3JIJ0
99287.STM4371	A0A0B3MD28
99287.STM1380	A0A0D1UBZ5
99287.STM3720	A0A0D1XBK9
99287.STM4424.S	A0A0B0A9V2
99287.STM2211.S	A0A0B3MS09
99287.STM1630	A0A0B3NAN5
99287.STM4484	A0A0B3NXB4
99287.STM0293	A0A0D1WX83
99287.STM3624A	A0A0B3CZB3
99287.STM3391	A0A0B3GG60
99287.STM4435	A0A0D1X7U3
99287.STM1794	A0A0B3ELL5
99287.STM0656	A0A0D1XGC2
99287.STM1362	A0A0B3HD05
99287.STM4098	A0A0B3P2Q0
99287.STM4209	A0A0B3HWP8
99287.STM3638	A0A0B3FVQ7
99287.STM2902	A0A0B3G6H5
99287.STM4208	A0A0D1X5P0
99287.STM0305	A0A0D1XIR4
99287.STM2025	A0A0B3DXT7
99287.STM3337	A0A0B3HI89
99287.STM4418	A0A0B3JSU3
99287.STM4054	A0A0B3CYN1
99287.STM0195	A0A0B3IJ42
99287.STM3169	A0A0B3NLD0
99287.STM0438	A0A0D1WXJ9
99287.STM2115	A0A0B3CQ30
99287.STM0575	A0A0B3MR98
99287.STM1910	A0A0B3N5S9
99287.STM2140	A0A0D1X5F2
99287.STM0023	A0A0D1X0E5
99287.STM4191	A0A0B3KIT7
99287.STM1352	A0A0D1XB02
99287.STM4428	A0A0B3G274
99287.STM3887	A0A0B3LNR3
99287.STM2198	A0A0B3DS35
99287.STM2381	A0A0B3HHZ4
99287.STM2901	A0A0D1WFV3
99287.STM0839	A0A0B3EFX5
99287.STM3552	A0A0D1TYH0
99287.STM4032.2N	A0A0B3CV11
99287.STM3079.S	A0A0D1WHH9
99287.STM3089	A0A0B3K5M6
99287.STM4346	A0A0B3LYD0
99287.STM1744	A0A0B3H3C2
99287.STM0769	A0A0D1VJ14
99287.STM4421	A0A0B3K2P3
99287.STM3089	A0A0B3NUH7
99287.STM1538	A0A0D1XDH3
99287.STM0494	A0A0B3K4L8
99287.STM3599	A0A0B3MTM4
99287.STM3258	A0A0B3NMR6
99287.STM2101	A0A0D1U863
99287.STM3239	A0A0B3MC23
99287.STM1989	A0A0B3CUV7
99287.STM1551	A0A0B3HLB1
99287.STM2140	A0A0B3JLD4
99287.STM2033	A0A0B3I0R8
99287.STM3374.1n	A0A0B3MWB4
99287.STM0761	A0A0B3EHR8
99287.STM4535	A0A0B3GMD2
99287.STM4478	A0A0B3HF52
99287.STM4045	A0A0B3JA02
99287.STM1569	A0A0B3P1P2
99287.STM0986	A0A0D1XC98
99287.STM0198	A0A0D1XJD0
99287.STM4107	A0A0D1UPD6
99287.STM0654	A0A0B3FDF7
99287.STM3631	A0A0B3HHK9
99287.STM1356	A0A0B3DQI9
99287.STM3585	A0A0B3F3S5
99287.STM1650	A0A0B3I7C4
99287.STM1555	A0A0B3LM50
99287.STM2381	A0A0B3LYC9
99287.STM2514	A0A0D1X4X2
99287.STM3029.S	A0A0D1U309
99287.STM4217	A0A0D1UM90
99287.STM0275.s	A0A0D1XH41
99287.STM4540.S	A0A0D1XN42
99287.STM0763.s	A0A0B3HZV9
99287.STM0574	A0A0B3NEE2
99287.STM3171	A0A0D1WNT5
99287.STM1794	A0A0B3EU84
99287.STM2644	A0A0D1WIQ7
99287.STM4210	A0A0D1X0K8
99287.STM3531	A0A0B3NG10
99287.STM0660	A0A0D1VK45
99287.STM4197	A0A0D1X8D5
99287.STM4536	A0A0B0A7I3
99287.STM3387	A0A0B3MJV8
99287.STM4486	A0A0B3N520
99287.STM3830	A0A0B3E4V9
99287.STM4418	A0A0B3K2E6
99287.STM0305	A0A0B3NMR1
99287.STM2551	A0A0D1WJZ8
99287.STM0294	A0A0D1XI82
99287.STM3389	A0A0B0A4F9
99287.STM4539	A0A0B3G5P4
99287.STM4574	A0A0B3IIU1
99287.STM4573	A0A0B3KG78
99287.STM3753	A0A0D1XB13
99287.STM4198	A0A0D1X5N0
99287.STM1350	A0A0B3FYY2
99287.STM1698A	A0A0B3H965
99287.STM4069	A0A0D1X2K2
99287.STM0589	A0A0D1WVM9
99287.STM3082	A0A0B3ICH2
99287.STM1755	A0A0B3LL53
99287.STM3117	A0A0B3FZR7
99287.STM3170	A0A0B3JGK4
99287.STM0481	A0A0B3E5C3
99287.STM3024	A0A0B3GA63
99287.STM2508	A0A0D1V7Q5
99287.STM0100	A0A0D1WYT0
99287.STM2803	A0A0B3D3I3
99287.STM4032.2N	A0A0B3N0F7
99287.STM0821	A0A0B3DXT1
99287.STM1538	A0A0B3EIM3
99287.STM4214	A0A0B3NWR8
99287.STM1843	A0A0D1WUU7
99287.STM2437	A0A0D1X367
99287.STM0764	A0A0B3CQD6
99287.STM1204	A0A0D1VD77
99287.STM1627	A0A0D1VH54
99287.STM0351	A0A0B3GBJ4
99287.STM2506	A0A0B3LB52
99287.STM1572	A0A0B3NFV2
99287.STM2189	A0A0B3CYG0
99287.STM4201	A0A0B3JQN0
99287.STM3567	A0A0B3N1T9
99287.STM0544	A0A0D1VL85
99287.STM4485	A0A0D1X195
99287.STM3773	A0A0D1URZ9
99287.STM1361	A0A0B3C336
99287.STM0178	A0A0B3N7U1
99287.STM1355	A0A0D1VEG0
99287.STM0295	A0A0D1XH71
99287.STM4419	A0A0B3F914
99287.STM3824	A0A0B3LKP1
99287.STM2765	A0A0D1VQR2
99287.STM1933	A0A0B3FXI8
99287.STM1361	A0A0B3M9I5
99287.STM0031	A0A0D1VPT1
99287.STM0810	A0A0D1WUQ5
99287.STM3796A.S	A0A0B3F3Y5
99287.STM3846.s	A0A0B3LPU5
99287.STM0807	A0A0B3NIW1
99287.STM4195	A0A0B3C5K3
99287.STM3698	A0A0B3I1V6
99287.STM3532	A0A0B3KL69
99287.STM3636	A0A0D1WC60
99287.STM4202	A0A0D1XK18
99287.STM0762	A0A0B3DXH7
99287.STM0539	A0A0B3F5U5
99287.STM2008	A0A0B3EKY5
99287.STM4520	A0A0B3I2R4
99287.STM4197	A0A0B3JGI8
99287.STM2903	A0A0B3IU02
99287.STM3527	A0A0B3JF48
99287.STM4208	A0A0B3LDX4
99287.STM2765	A0A0B3LTT3
99287.STM3845	A0A0B3M917
99287.STM0275.s	A0A0B3HZX1
99287.STM1089	A0A0B3K577
99287.STM0275.s	A0A0B3KB83
99287.STM3085	A0A0B3GWN6
99287.STM1240	A0A0B3KS25
99287.STM1859	A0A0B3JVA4
99287.STM1281	A0A0B3FBF2
99287.STM2139	A0A0B3GGJ4
99287.STM0275.s	A0A0B3N3N3
99287.STM0275.s	A0A0B3GVE6
99287.STM0342	A0A0B3NYU9
99287.STM1240	A0A0B3C484
99287.STM4478	A0A0B3MK84
99287.STM3478	A0A0B3LGA4
99287.STM4208	A0A0B3K361
99287.STM2137	A0A0B3EC64
99287.STM3527	A0A0B3MWE5
99287.STM0672	A0A0B3DDB8
99287.STM4316	A0A0B3N0M1
99287.STM3527	A0A0B3ENF2
99287.STM4571	A0A0B3MMU7
99287.STM0910	A0A0B3GYC4
99287.STM1670	A0A0B3JVN3
99287.STM2514	A0A0B3GZX3
99287.STM0809	A0A0B3I6H7
99287.STM4252	A0A0B3G1F9
99287.STM0954	A0A0B3G615
99287.STM3527	A0A0B3LU07
99287.STM1872	A0A0B3I8R1
99287.STM2139	A0A0B3G5S0
99287.STM0283	A0A0B3GVF0
99287.STM0810	A0A0B3FWN4
