192222.Cj0443	Q9PI62
192222.Cj0855	A0A090KQT2
192222.Cj0208	A0A090KNQ4
192222.Cj0154c	A0A090KP52
192222.Cj1638	A0A090KUG4
192222.Cj1177c	A0A090MKM7
192222.Cj1090c	A0A090KLU8
192222.Cj0264c	A0A090KS10
192222.Cj1032	A0A090KLP2
192222.Cj1028c	A0A090KR45
192222.Cj1080c	A0A090KLT8
192222.Cj0652	A0A090KPR5
192222.Cj0156c	A0A090MME1
192222.Cj1130c	A0A090KL19
192222.Cj0325	A0A090KQI4
192222.Cj1609	A0A090KUD8
192222.Cj0272	A0A090MI01
192222.Cj1602	A0A090KSL8
192222.Cj0205	A0A090KTQ3
192222.Cj1294	A0A090MKZ5
192222.Cj1497c	A0A090KK44
192222.Cj0249	A0A090KPF6
192222.Cj0786	A0A090KSF0
192222.Cj1547	A0A090KSH1
192222.Cj1025c	A0A090KSX4
192222.Cj0694	A0A090KTX0
192222.Cj1481c	A0A090KK27
192222.Cj1031	A0A090KKT3
192222.Cj1063	A0A090KKV9
192222.Cj0610c	A0A090KRG9
192222.Cj0999c	A0A090MK68
192222.Cj1632c	A0A090MLN9
192222.Cj1338c	B1Q157
192222.Cj1338c	A8U4T4
192222.Cj0997	A0A090KLL7
192222.Cj0186c	A0A090KNN8
192222.Cj1641	A0A090KSQ9
192222.Cj1149c	A0A090MKK7
192222.Cj1338c	Q5I8E9
192222.Cj0341c	A0A090KIE6
192222.Cj1630	A0A090KNB1
192222.Cj1339c	B1A9E4
192222.Cj0889c	A0A090KLE8
192222.Cj0736	A0A090KMT3
192222.Cj0128c	A0A090KNE6
192222.Cj0191c	A0A090KNP2
192222.Cj0736	A0A090KS95
192222.Cj0131	A0A090MMA6
192222.Cj0373	A0A090KII4
192222.Cj1523c	A0A090KK70
192222.Cj0888c	A0A090KKI2
192222.Cj1125c	A0A090KL12
192222.Cj0633	A0A090MIZ8
192222.Cj1339c	Q93EN1
192222.Cj0827	A0A090KKF0
192222.Cj1665	A0A090KNE8
192222.Cj0022c	A0A090KT26
192222.Cj1622	A0A090MLN1
192222.Cj1339c	Q5I8M7
192222.Cj1549c	Q7B7T7
192222.Cj0603c	A0A090KPM8
192222.Cj0108	A0A090MM76
192222.Cj0530	A0A090KJ47
192222.Cj0705	A0A090KLZ4
192222.Cj0720c	A0A090KM09
192222.Cj0544	A0A090KRC1
192222.Cj1680c	A0A090KSU5
192222.Cj0648	A0A090MJ12
192222.Cj1184c	A0A090KL87
192222.Cj0243c	A0A090KPF2
192222.Cj0932c	A0A090KSS1
192222.Cj0792	A0A090MLE4
192222.Cj0030	A0A090KNP5
192222.Cj1062	A0A090KT04
192222.Cj0983	A0A090MK55
192222.Cj1315c	A0A090KLQ5
192222.Cj0020c	A0A090KMZ2
192222.Cj1620c	A0A090KN99
192222.Cj1666c	A0A090KST5
192222.Cj1709c	A0A090KUM5
192222.Cj1210	A0A090KM86
192222.Cj0405	A0A090KJF4
192222.Cj0415	A0A090KJG6
192222.Cj1718c	A0A090MLV4
192222.Cj1254	A0A090KLJ3
192222.Cj1088c	A0A090KT25
192222.Cj1089c	A0A090KKX9
192222.Cj0431	A0A090MID8
192222.Cj0762c	A0A090MLB7
192222.Cj1472c	A0A090KK11
192222.Cj1011	A0A090KKR4
192222.Cj1311	A0A090KLP8
192222.Cj0233c	A0A090KTR3
192222.Cj0732	A0A090KU13
192222.Cj0277	A0A090MI04
192222.Cj0397c	A0A090MIA6
192222.Cj1263	A0A090MKW1
192222.Cj1398	A0A090KQ39
192222.Cj1412c	A0A090KJT6
192222.Cj1548c	A0A090KKC6
192222.Cj1418c	A0A090KKM7
192222.Cj1021c	A0A090KKS4
192222.Cj0735	A0A090KM24
192222.Cj0785	A0A090KMZ1
192222.Cj0413	A0A090KQS2
192222.Cj0516	A0A090KRA0
192222.Cj0398	A0A090KQQ2
192222.Cj0644	A0A090KRJ3
192222.Cj0102	A0A090KTA5
192222.Cj0650	A0A090KJD7
192222.Cj0837c	A0A090KKF7
192222.Cj1348c	A0A090KKG0
192222.Cj1168c	A0A090KT94
192222.Cj1134	A0A090KT61
192222.Cj1338c	Q5I8M9
192222.Cj0727	A0A090KS81
192222.Cj1339c	B1A9A8
192222.Cj1553c	Q8RN29
192222.Cj1195c	A0A090KM66
192222.Cj0987c	A0A090KR04
192222.Cj0998c	A0A090KR14
192222.Cj1417c	A0A090KJU1
192222.Cj0148c	A0A090KNI0
192222.Cj1124c	A0A090KT51
192222.Cj1234	A0A090KTH1
192222.Cj0768c	A0A090KU58
192222.Cj1503c	A0A090KK51
192222.Cj0795c	A0A090KSF8
192222.Cj0796c	A0A090MLF0
192222.Cj1627c	A0A090MLN4
192222.Cj0631c	A0A090KK83
192222.Cj0808c	A0A090KMA6
192222.Cj0006	A0A090KT10
192222.Cj1339c	B1A9C8
192222.Cj0264c	A0A090KML9
192222.Cj0349	A0A090KNR1
192222.Cj0419	A0A090KIP2
192222.Cj0923c	A0A090KKK6
192222.Cj0991c	A0A090KKP6
192222.Cj1133	A0A090MKI4
192222.Cj1339c	Q9R949
192222.Cj1338c	B1Q159
192222.Cj1233	A0A090MKS9
192222.Cj1076	A0A090KR91
192222.Cj0924c	A0A090KLI1
192222.Cj1148	A0A090KL42
192222.Cj1387c	A0A090KJR2
192222.Cj1383c	A0A090KKJ3
192222.Cj0123c	A0A090KNE0
192222.Cj0418c	A0A090KQS9
192222.Cj0649	A0A090KRJ8
192222.Cj0803	A0A090KMA4
192222.Cj1715	A0A090KMT7
192222.Cj0188c	A0A090KTN9
192222.Cj1007c	A0A090KLM4
192222.Cj0642	A0A090KPQ7
192222.Cj0037c	A0A090MM06
192222.Cj0378c	A0A090KIJ0
192222.Cj0555	A0A090KJ66
192222.Cj0761	A0A090KSD2
192222.Cj0847	A0A090KSL1
192222.Cj1339c	B1Q175
192222.Cj1339c	Q93EN2
192222.Cj0547	A0A090KPH8
192222.Cj0879c	A0A090KQU3
192222.Cj1164c	A0A090KM29
192222.Cj0514	A0A090KPE9
192222.Cj0900c	A0A090KQW1
192222.Cj0504c	A0A090KPE2
192222.Cj1344c	A0A090KPY5
192222.Cj1543	A0A090KKC2
192222.Cj1104	A0A090KKZ1
192222.Cj1574c	A0A090KMC1
192222.Cj0836	A0A090KSK4
192222.Cj0892c	A0A090KSN7
192222.Cj0931c	A0A090MK32
192222.Cj1424c	Q6EF64
192222.Cj0949c	A0A090KU26
192222.Cj1474c	A0A090MJJ5
192222.Cj1556	A0A090KKE0
192222.Cj0264c	A0A090KLS0
192222.Cj0176c	A0A090KNN3
192222.Cj1523c	A0A090KSB5
192222.Cj0114	A0A090KV27
192222.Cj1686c	A0A090KSV0
192222.Cj1570c	A0A090KN29
192222.Cj0097	A0A090KT98
192222.Cj0200c	A0A090KVG2
192222.Cj1532	A0A090MJQ2
192222.Cj1161c	A0A090MKL4
192222.Cj1339c	B1A9F5
192222.Cj1117c	A0A090MKG9
192222.Cj0874c	A0A090KKH6
192222.Cj0274	A0A090KI81
192222.Cj0784	A0A090KM87
192222.Cj1380	A0A090MJB2
192222.Cj1561	A0A090MJU6
192222.Cj1339c	Q7BVP1
192222.Cj0333c	A0A090KNP4
192222.Cj1397	A0A090KKK2
192222.Cj1339c	A8U4U3
192222.Cj1043c	A0A090KR62
192222.Cj1262	A0A090KRT4
192222.Cj0536	A0A090KJZ7
192222.Cj0016	A0A090KNM2
192222.Cj1222c	A0A090KRP6
192222.Cj0995c	A0A090KSU9
192222.Cj0376	A0A090MI85
192222.Cj0952c	A0A090KMU5
192222.Cj0241c	A0A090KNS4
192222.Cj1351	A0A090KRQ8
192222.Cj1214c	A0A090KTE9
192222.Cj0230c	A0A090KVH4
192222.Cj1339c	Q5I8E6
192222.Cj0552	A0A090KPI3
192222.Cj1468	A0A090KQC1
192222.Cj1126c	A0A090KLY0
192222.Cj1241	A0A090KMB9
192222.Cj1681c	A0A090MLR9
192222.Cj0364	A0A090KJA9
192222.Cj0839c	A0A090KQR9
192222.Cj0829c	A0A090KQR1
192222.Cj1246c	A0A090KMC4
192222.Cj0432c	A0A090KQV2
192222.Cj0304c	A0A090MI19
192222.Cj0347	A0A090KIF2
192222.Cj1508c	A0A090KK56
192222.Cj0840c	A0A090MJW4
192222.Cj0896c	A0A090MK02
192222.Cj1424c	Q5M6R0
192222.Cj1339c	B1A9H9
192222.Cj0941c	A0A090KMT5
192222.Cj0404	A0A090KIM3
192222.Cj0602c	A0A090KJ97
192222.Cj0554	A0A090KRC9
192222.Cj0038c	A0A090KUU8
192222.Cj0861c	A0A090MJY1
192222.Cj0909	A0A090KLG9
192222.Cj0976	A0A090KLK1
192222.Cj1316c	A0A090KMK4
192222.Cj1669c	A0A090KUI5
192222.Cj0428	A0A090KIQ4
192222.Cj1109	A0A090KKZ6
192222.Cj1286c	A0A090KLM9
192222.Cj0946	A0A090KMU0
192222.Cj0362	A0A090KQL9
192222.Cj0510c	A0A090MIP3
192222.Cj0600	A0A090MIW7
192222.Cj0731	A0A090ML83
192222.Cj0308c	A0A090KNM0
192222.Cj1477c	A0A090KKV6
192222.Cj0622	A0A090KRH8
192222.Cj0730	A0A090KS85
192222.Cj1207c	A0A090MKQ2
192222.Cj0708	A0A090ML65
192222.Cj1553c	Q8RJJ3
192222.Cj0120	A0A090KND3
192222.Cj1617	A0A090KSN4
192222.Cj1339c	A8U4S7
192222.Cj1149c	Q9ALY1
192222.Cj0860	A0A090KQT7
192222.Cj0590	A0A090MIV7
192222.Cj0227	A0A090KPE1
192222.Cj0185c	A0A090KVF0
192222.Cj1042c	A0A090KLQ0
192222.Cj0327	A0A090KJ76
192222.Cj0391c	A0A090KNV4
192222.Cj1531	A0A090KQJ7
192222.Cj0093	A0A090MM58
192222.Cj1235	A0A090KLG4
192222.Cj1716c	A0A090KNJ7
192222.Cj1533c	A0A090KSC9
192222.Cj1717c	A0A090KSZ1
192222.Cj1078	A0A090KT16
192222.Cj1338c	B1Q158
192222.Cj1339c	X2D0R1
192222.Cj0302c	A0A090KJ53
192222.Cj1442c	A0A090KQ93
192222.Cj1217c	A0A090KRP2
192222.Cj1538c	A0A090KKA9
192222.Cj0721c	A0A090KMR9
192222.Cj0732	A0A090KMS9
192222.Cj0524	A0A090KRA5
192222.Cj0963	A0A090KSB6
192222.Cj0684	A0A090MJ74
192222.Cj0906c	A0A090MK11
192222.Cj1711c	A0A090KNJ2
192222.Cj1338c	B1Q177
192222.Cj1349c	A0A090KPZ1
192222.Cj1247c	A0A090KRR8
192222.Cj0647	A0A090KPR0
192222.Cj0042	I6TH71
192222.Cj1339c	Q7BVN1
192222.Cj0557c	A0A090KPI8
192222.Cj0259	A0A090KVJ4
192222.Cj0411	A0A090KNX6
192222.Cj1069	A0A090KKW3
192222.Cj1339c	Q5I864
192222.Cj1216c	A0A090KM91
192222.Cj0562	A0A090KPJ2
192222.Cj1516	A0A090KQH7
192222.Cj0834c	A0A090KQR6
192222.Cj0025c	A0A090KN01
192222.Cj0766c	A0A090KSD5
192222.Cj0990c	A0A090KSU4
192222.Cj1040c	A0A090KSY7
192222.Cj0085c	A0A090KUZ0
192222.Cj0515	A0A090MIP7
192222.Cj0987c	A0A090KLK9
192222.Cj0323	A0A090KNN1
192222.Cj0604	A0A090MIX2
192222.Cj0956c	A0A090KM40
192222.Cj1128c	A0A090MKH7
192222.Cj0157c	A0A090KVA2
192222.Cj0637c	A0A090KPQ2
192222.Cj0635	A0A090KJC2
192222.Cj1493c	A0A090KKX3
192222.Cj1696c	A0A090KNI1
192222.Cj0627	A0A090KRI1
192222.Cj0717	A0A090KS73
192222.Cj0246c	A0A090KVI6
192222.Cj1459	A0A090MJH9
192222.Cj1019c	A0A090MK84
192222.Cj1378	A0A090KKI8
192222.Cj1339c	A0A0A7KKY0
192222.Cj1242	A0A090KRR3
192222.Cj1176c	A0A090KRK0
192222.Cj0340	A0A090KQK0
192222.Cj1203c	A0A090KTD7
192222.Cj0553	A0A090MIS5
192222.Cj1245c	A0A090KLH9
192222.Cj1339c	I6YES0
192222.Cj0833c	A0A090KLA7
192222.Cj1500	A0A090KQF6
192222.Cj0822	A0A090KSJ1
192222.Cj1541	A0A090MJT0
192222.Cj0609c	A0A090MIX7
192222.Cj1546	A0A090MJT2
192222.Cj0271	A0A090KNJ8
192222.Cj0267c	A0A090MHZ8
192222.Cj1338c	Q5I8P0
192222.Cj1451	A0A090KJY7
192222.Cj1649	A0A090KMK2
192222.Cj1631c	A0A090KSP8
192222.Cj0438	A0A090KIR5
192222.Cj0019c	A0A090KUR8
192222.Cj1339c	X2CZS7
192222.Cj1095	A0A090KLV2
192222.Cj0414	A0A090KIN6
192222.Cj0605	A0A090KRG6
192222.Cj1416c	A0A090KRX2
192222.Cj1339c	M9Z6B5
192222.Cj1486c	A0A090KS63
192222.Cj0036	A0A090KT41
192222.Cj0843c	A0A090KKF8
192222.Cj0406c	A0A090KNX0
192222.Cj0538	A0A090MIR3
192222.Cj1515c	A0A090KKZ5
192222.Cj0813	A0A090KMB1
192222.Cj0437	A0A090KQW0
192222.Cj0800c	A0A090KSG1
192222.Cj1653c	A0A090KUH5
192222.Cj1712	A0A090KSY6
192222.Cj0250c	A0A090MMK5
192222.Cj1180c	A0A090KM45
192222.Cj0910	A0A090KQW8
192222.Cj0175c	A0A090KVE6
192222.Cj0621	A0A090MIY8
192222.Cj1339c	X2D0R5
192222.Cj0838c	A0A090KLB1
192222.Cj0313	A0A090KNM5
192222.Cj1115c	A0A090KLX1
192222.Cj0878	A0A090KLD8
192222.Cj1687	A0A090MLS2
192222.Cj1581c	A0A090KSI9
192222.Cj0788	A0A090KU72
192222.Cj0040	A0A090KNQ9
192222.Cj0456c	A0A090KJP4
192222.Cj0258	A0A090MML3
192222.Cj0158c	A0A090KNJ0
192222.Cj0591c	A0A090KRF1
192222.Cj0503c	A0A090KJX3
192222.Cj0546	A0A090KK07
192222.Cj0938c	A0A090KKM3
192222.Cj1521c	A0A090KL00
192222.Cj0812	A0A090KU92
192222.Cj1658	A0A090KUH8
192222.Cj0453	A0A090MIH2
192222.Cj0693c	A0A090ML48
192222.Cj1339c	X2CZS6
192222.Cj0985c	A0A090KKP1
192222.Cj0366c	A0A090MI75
192222.Cj1268c	A0A090MKW6
192222.Cj0589	A0A090KPL4
192222.Cj0903c	A0A090KKJ1
192222.Cj0945c	A0A090KM31
192222.Cj0729	A0A090KMS5
192222.Cj0143c	A0A090KP32
192222.Cj1646	A0A090KSR4
192222.Cj1198	A0A090KTD1
192222.Cj1219c	A0A090KTF6
192222.Cj1339c	O85182
192222.Cj1054c	A0A090MKB1
192222.Cj1347c	A0A090KJK8
192222.Cj0434	A0A090KJI9
192222.Cj0204	A0A090KPD3
192222.Cj0862c	A0A090KSM1
192222.Cj1420c	A0A090MJE0
192222.Cj0899c	A0A090KLF8
192222.Cj0845c	A0A090KQS4
192222.Cj1471c	A0A090KS41
192222.Cj1202	A0A090MKP8
192222.Cj1339c	B1Q179
192222.Cj0018c	A0A090MLY2
192222.Cj1545c	A0A090KQN2
192222.Cj0914c	A0A090KLH3
192222.Cj0992c	A0A090KLL4
192222.Cj0395c	A0A090KJE0
192222.Cj0497	A0A090KPC9
192222.Cj1450	A0A090KS23
192222.Cj0580c	A0A090MIU6
192222.Cj1377c	A0A090KJP5
192222.Cj0356c	A0A090KQL4
192222.Cj0166	A0A090KTJ6
192222.Cj1573c	A0A090KUA0
192222.Cj1484c	A0A090MJK5
192222.Cj0846	A0A090MJW7
192222.Cj1166c	A0A090MKL8
192222.Cj0332c	A0A090KJ80
192222.Cj0908	A0A090KKJ5
192222.Cj1555c	A0A090KSI4
192222.Cj1068	A0A090KT06
192222.Cj1633	A0A090KUF9
192222.Cj1123c	A0A090MKH3
192222.Cj0315	A0A090KQH3
192222.Cj1338c	B1Q166
192222.Cj1371	A0A090KJP0
192222.Cj1452	A0A090KKS9
192222.Cj0821	A0A090MJU9
192222.Cj1381	A0A090KRT7
192222.Cj0959c	A0A090MLA1
192222.Cj0098	A0A090MM65
192222.Cj1488c	A0A090KKW5
192222.Cj1199	A0A090KLB0
192222.Cj0092	A0A090KNW2
192222.Cj0943	A0A090ML91
192222.Cj0851c	A0A090MJX2
192222.Cj0346	A0A090KQK5
192222.Cj0190c	A0A090KVF4
192222.Cj1517	A0A090MJN5
192222.Cj1225	A0A090KLE7
192222.Cj1279c	A0A090KTM9
192222.Cj1160c	A0A090KRI4
192222.Cj0548	M9QW57
192222.Cj0495	A0A090KJ22
192222.Cj0728	A0A090KM15
192222.Cj0950c	A0A090KM36
192222.Cj0733	A0A090KS90
192222.Cj1002c	A0A090KLM0
192222.Cj1036c	A0A090KKT8
192222.Cj1050c	A0A090KKV2
192222.Cj1224	A0A090KTG2
192222.Cj0541	A0A090KK02
192222.Cj0872	A0A090KSM6
192222.Cj1623	A0A090KUF0
192222.Cj1567c	A0A090MLG9
192222.Cj1519	A0A090KK66
192222.Cj1660	A0A090KNE2
192222.Cj1175c	A0A090KM39
192222.Cj1639	A0A090KMJ1
192222.Cj0712	A0A090KS69
192222.Cj0902	A0A090KSP5
192222.Cj1405	A0A090MJC9
192222.Cj1339c	Q5I8D3
192222.Cj1407c	A0A090KJT1
192222.Cj0957c	A0A090KMU9
192222.Cj0031	A0A090KT37
192222.Cj0345	A0A090MI56
192222.Cj0439	A0A090KJJ4
192222.Cj1343c	A0A090KKF4
192222.Cj0769c	A0A090KM73
192222.Cj0770c	A0A090KMX8
192222.Cj1415c	A0A090MJD5
192222.Cj0440c	A0A090KP09
192222.Cj0448c	A0A090MIG9
192222.Cj1467	A0A090KKU6
192222.Cj1132c	A0A090KRF3
192222.Cj1012c	A0A090KLM6
192222.Cj0232c	A0A090KPE3
192222.Cj1401c	A0A090KRV4
192222.Cj1312	A0A090KMJ8
192222.Cj0464	A0A090KR19
192222.Cj0011c	A0A090KNL6
192222.Cj0802	A0A090KU84
192222.Cj0270	A0A090KJ29
192222.Cj1232	A0A090KRQ4
192222.Cj0911	A0A090MK16
192222.Cj1676	A0A090KNF8
192222.Cj0634	A0A090KRI5
192222.Cj1346c	A0A090KRQ5
192222.Cj1285c	A0A090KTN4
192222.Cj1339c	B1A9H4
192222.Cj0465c	A0A090KIW7
192222.Cj1504c	A0A090KKY1
192222.Cj1565c	A0A090KN22
192222.Cj1424c	Q6EF87
192222.Cj1475c	A0A090KS49
192222.Cj0724	A0A090KU05
192222.Cj0517	A0A090KJ41
192222.Cj0779	A0A090KM83
192222.Cj0547	I6TSP3
192222.Cj1339c	Q5I8J3
192222.Cj0420	A0A090KJH2
192222.Cj0933c	A0A090KKL3
192222.Cj0004c	A0A090KMW7
192222.Cj1619	A0A090KUE6
192222.Cj1191c	A0A090KRL6
192222.Cj1461	A0A090KJZ8
192222.Cj0850c	A0A090KQS8
192222.Cj1339c	O30689
192222.Cj0294	A0A090KNL0
192222.Cj1003c	A0A090KR20
192222.Cj1237c	A0A090KRQ9
192222.Cj0140	A0A090MMB8
192222.Cj0537	A0A090KPG9
192222.Cj1339c	Q9R952
192222.Cj0588	A0A090KK43
192222.Cj1189c	A0A090KL94
192222.Cj0700	A0A090KLZ0
192222.Cj0830	A0A090MJV6
192222.Cj1598	A0A090MLK9
192222.Cj1023c	A0A090KR41
192222.Cj0173c	A0A090KTL8
192222.Cj1656c	A0A090KSS5
192222.Cj1314c	A0A090KTR5
192222.Cj0104	A0A090KV16
192222.Cj1345c	A0A090MJ79
192222.Cj1102	A0A090MKF6
192222.Cj1352	A0A090KJL4
192222.Cj0804	A0A090KN10
192222.Cj0984	A0A090KSU0
192222.Cj1339c	X2CZ34
192222.Cj1196c	A0A090KRM1
192222.Cj0810	A0A090KSG9
192222.Cj0371	A0A090MI80
192222.Cj0174c	A0A090MMG8
192222.Cj1339c	Q93NM1
192222.Cj1539c	A0A090KL50
192222.Cj0939c	A0A090KLJ6
192222.Cj0556	A0A090KK18
192222.Cj0091	A0A090KN95
192222.Cj0252	A0A090KTS8
192222.Cj0225	A0A090KVH0
192222.Cj1449c	A0A090MJH0
192222.Cj0630c	A0A090KJB7
192222.Cj1379	A0A090KQ22
192222.Cj1580c	A0A090KN42
192222.Cj0288c	A0A090MI11
192222.Cj1457c	A0A090KKT5
192222.Cj0934c	A0A090KLI9
192222.Cj1157	A0A090KM21
192222.Cj1317	A0A090KRZ7
192222.Cj0513	A0A090KJY2
192222.Cj0702	A0A090KS59
192222.Cj1582c	A0A090MLI6
192222.Cj0199c	A0A090MMI0
192222.Cj1353	A0A090KKG4
192222.Cj1523c	A0A090MJP0
192222.Cj0677	A0A090KKE4
192222.Cj0789	A0A090KM92
192222.Cj1483c	A0A090KQD8
192222.Cj0421c	A0A090KNY8
192222.Cj0691	A0A090KMN2
192222.Cj0089	A0A090MM54
192222.Cj0904c	A0A090KLG2
192222.Cj0454c	A0A090KR11
192222.Cj0852c	A0A090KSL5
192222.Cj1639	O69292
192222.Cj0451	A0A090KJN7
192222.Cj1600	A0A090KME9
192222.Cj1424c	Q5M6U3
192222.Cj0461c	A0A090KJP9
192222.Cj0320	A0A090KQH8
192222.Cj0150c	A0A090KTH8
192222.Cj0723c	A0A090ML77
192222.Cj1424c	A0A090KQ83
192222.Cj0925	A0A090KQX9
192222.Cj0944c	A0A090KU24
192222.Cj0119	A0A090KV34
192222.Cj1591	A0A090KN68
192222.Cj1000	A0A090KSV2
192222.Cj1083c	A0A090KT21
192222.Cj1492c	A0A090KK38
192222.Cj1084c	A0A090KKX5
192222.Cj0937	A0A090KSS8
192222.Cj1049c	A0A090KSZ4
192222.Cj0412	A0A090MIB9
192222.Cj1702c	C9E7T7
192222.Cj1041c	A0A090KKU3
192222.Cj1339c	Q93NM0
192222.Cj0021c	A0A090KNM7
192222.Cj0300c	A0A090KQF9
192222.Cj1339c	I6ZMN1
192222.Cj1339c	O30693
192222.Cj1066	A0A090KR80
192222.Cj0286c	A0A090KJ42
192222.Cj0281c	A0A090KJ40
192222.Cj0280	A0A090KI87
192222.Cj1563c	A0A090KSI7
192222.Cj0092	A0A090KT91
192222.Cj1417c	Q5M6P3
192222.Cj0965c	A0A090KU37
192222.Cj0017c	A0A090KT20
192222.Cj1079	A0A090KKX1
192222.Cj1584c	A0A090KMC8
192222.Cj1588c	A0A090KSK2
192222.Cj0500	A0A090KJ27
192222.Cj0598	A0A090KK53
192222.Cj1056c	A0A090KSZ9
192222.Cj0733	A0A090ML87
192222.Cj1201	A0A090KRM5
192222.Cj1077	A0A090MKC9
192222.Cj0352	A0A090KIG0
192222.Cj0073c	A0A090KNT8
192222.Cj1518	A0A090KSA8
192222.Cj1456c	A0A090KJZ2
192222.Cj0121	A0A090KNZ9
192222.Cj1151c	Q6TG08
192222.Cj1120c	Q9S5Y8
192222.Cj1259	J9PEH6
192222.Cj1259	J9PEB3
192222.Cj0486	Q001T9
192222.Cj1134	Q7BC57
192222.Cj1259	J9PEB5
192222.Cj1133	Q9K5D3
192222.Cj1125c	Q9ZAC6
192222.Cj1259	D6BX16
192222.Cj1259	D6BX34
192222.Cj1259	D6BX37
192222.Cj1355	E5RXB6
192222.Cj1259	D6BX15
192222.Cj0415	Q6EAZ4
192222.Cj1702c	C9E7W7
192222.Cj1124c	Q9S5Y5
192222.Cj1259	J9PET2
192222.Cj1330	B7SNH3
192222.Cj1339c	E0XFJ9
192222.Cj1259	D6BX19
192222.Cj0262c	Q46093
192222.Cj1122c	Q93DP4
192222.Cj1134	B1PF25
192222.Cj0368c	E1CJK9
192222.Cj1125c	Q9ZAC1
192222.Cj1418c	Q5M6R5
192222.Cj1023c	Q6XVF2
192222.Cj1259	J9PE67
192222.Cj1008c	O32368
192222.Cj1417c	Q5M6N0
192222.Cj1259	Q2LA91
192222.Cj1259	A7YEV9
192222.Cj0077c	L7VWR6
192222.Cj0078c	A4F274
192222.Cj1259	M9QMY1
192222.Cj1133	Q0GH24
192222.Cj0699c	A7KS10
192222.Cj0322	A6MZ13
192222.Cj1134	A3EYV0
192222.Cj1148	Q199Y7
192222.Cj0299	E5F1W2
192222.Cj0365c	A5YC53
192222.Cj1134	Q19A07
192222.Cj0798c	Q6XVE5
192222.Cj0755	C0LVA1
192222.Cj1133	A2T272
192222.Cj0367c	Q1A4H8
192222.Cj1125c	O86155
192222.Cj1259	Q66W93
192222.Cj0755	C0LVA0
192222.Cj1259	K7S4L2
192222.Cj1259	J9PET0
192222.Cj0486	Q001U1
192222.Cj0586	Q9RM71
192222.Cj0368c	Q5Y174
192222.Cj0798c	Q6XVE3
192222.Cj0077c	A4F278
192222.Cj1355	E5RXB7
192222.Cj0282c	B9TU10
192222.Cj1133	A2I970
192222.Cj0694	Q46115
192222.Cj0079c	A4F273
192222.Cj1134	A2T273
192222.Cj0923c	R4V3L5
192222.Cj0178	Q001V2
192222.Cj1259	D6BX28
192222.Cj0757	O69296
192222.Cj0368c	E1CJL0
192222.Cj1259	Q9F775
192222.Cj1355	E5RXB9
192222.Cj1259	J9PE68
192222.Cj1259	M9QPH6
192222.Cj1328	Q9F9F3
192222.Cj1133	Q93C99
192222.Cj1355	D6BWI0
192222.Cj1133	Q938Y2
192222.Cj0078c	A0A088NCI6
192222.Cj0368c	M1SW56
192222.Cj1134	Q0GH36
192222.Cj1134	W5XLQ9
192222.Cj1355	E5RXB8
192222.Cj0366c	Q8RTE4
192222.Cj1259	Q9F785
192222.Cj1259	Q9F778
192222.Cj0952c	Q6UEJ3
192222.Cj0204	Q46110
192222.Cj1729c	O86147
192222.Cj1443c	R4JBU6
192222.Cj1702c	C9E7S5
192222.Cj0274	Q5QGE5
192222.Cj1259	D6BX20
192222.Cj0368c	M1S075
192222.Cj1121c	Q9ZAC4
192222.Cj0077c	Q7B3S5
192222.Cj1259	J9PEB8
192222.Cj1259	Q66W89
192222.Cj1259	Q66WE0
192222.Cj1259	J9PEL2
192222.Cj1259	J9PEG9
192222.Cj1139c	A1E2Q3
192222.Cj1123c	Q9S5Y6
192222.Cj1339c	E0XFJ0
192222.Cj1338c	E1ABM2
192222.Cj0812	Q29XV7
192222.Cj1259	Q2LA95
192222.Cj0860	F6LD03
192222.Cj1132c	Q0ZSR2
192222.Cj1123c	Q9S5Y4
192222.Cj1259	Q9F777
192222.Cj1132c	Q0ZSS0
192222.Cj0893c	O52920
192222.Cj1134	Q6TG22
192222.Cj0368c	Q6PMN2
192222.Cj1128c	O52906
192222.Cj1134	Q93C98
192222.Cj1259	J9PEH0
192222.Cj0274	Q5QGD9
192222.Cj1331	B7SNH4
192222.Cj0365c	A5YC60
192222.Cj1133	Q3ZTB4
192222.Cj1259	D6BX08
192222.Cj1259	Q2LAC5
192222.Cj1148	B1PF24
192222.Cj0399	O68605
192222.Cj1589	Q66VQ8
192222.Cj1259	Q66W99
192222.Cj1129c	D6BWV1
192222.Cj1339c	E0XFI5
192222.Cj1133	Q5WQZ5
192222.Cj1418c	Q5M6P2
192222.Cj0368c	Q6PMM9
192222.Cj1134	Q3ZTB3
192222.Cj1140	A2I3T4
192222.Cj1723c	Q001U4
192222.Cj1134	A3EYJ8
192222.Cj1259	Q66W84
192222.Cj1149c	Q9ALY9
192222.Cj1320	B7SNG9
192222.Cj0274	Q5QGE0
192222.Cj0077c	A4F269
192222.Cj1133	Q93D00
192222.Cj1259	Q2LAB7
192222.Cj1170c	Q70GF3
192222.Cj0365c	A5YC61
192222.Cj0029	B6V679
192222.Cj1259	J9PEK9
192222.Cj1131c	O86149
192222.Cj1561	B5LWZ9
192222.Cj1259	D6BX27
192222.Cj1133	Q2TKB4
192222.Cj1339c	E0XFL9
192222.Cj1134	Q8KWR5
192222.Cj1133	O87585
192222.Cj1259	Q2LAB9
192222.Cj1416c	C6EQD0
192222.Cj0078c	Q0GAA7
192222.Cj1134	Q6T5B1
