7227.FBpp0087084	P32234
7227.FBpp0087152	P48592
7227.FBpp0306039	O61231
7227.FBpp0085717	P46222
7227.FBpp0078354	Q9VNE9
7227.FBpp0079484	P41126
7227.FBpp0076359	P55841
7227.FBpp0300652	O17445
7227.FBpp0070940	Q9W3W8
7227.FBpp0086103	P41093
7227.FBpp0076602	Q9VS34
7227.FBpp0072312	P36241
7227.FBpp0070143	P50887
7227.FBpp0071808	P48159
7227.FBpp0080102	Q9VJY6
7227.FBpp0077142	P41092
7227.FBpp0072957	Q9VZS5
7227.FBpp0071518	Q24154
7227.FBpp0087608	Q9V597
7227.FBpp0084959	P04359
7227.FBpp0077020	Q9VR93
7227.FBpp0070150	P49630
7227.FBpp0073844	Q9VXX8
7227.FBpp0071888	Q9W1U6
7227.FBpp0291726	Q9VMU4
7227.FBpp0110412	Q9W5N2
7227.FBpp0072094	O16130
7227.FBpp0081822	O16797
7227.FBpp0077159	P18101
7227.FBpp0084617	P09180
7227.FBpp0304879	Q9W5R8
7227.FBpp0070877	P46223
7227.FBpp0079536	P32100
7227.FBpp0072801	Q9V3G1
7227.FBpp0079752	P50882
7227.FBpp0306232	P19889
7227.FBpp0304265	P08570
7227.FBpp0089424	P05389
7227.FBpp0083406	Q9VDG2
7227.FBpp0081879	Q9VGN9
7227.FBpp0082540	Q9VF89
7227.FBpp0077783	Q9VPL3
7227.FBpp0082412	Q9VFJ2
7227.FBpp0088360	Q9VJ38
7227.FBpp0081384	Q9VHN6
7227.FBpp0074104	Q9VXB5
7227.FBpp0303832	Q9W021
7227.FBpp0078694	Q9VMY1
7227.FBpp0303669	Q9VMX0
7227.FBpp0085121	Q9V9Z1
7227.FBpp0070623	Q9W4L1
7227.FBpp0110310	Q0E959
7227.FBpp0083569	Q8MS27
7227.FBpp0075425	Q9VUJ0
7227.FBpp0086531	Q7JZM8
7227.FBpp0083665	Q9VCX3
7227.FBpp0073524	Q9VYI3
7227.FBpp0079304	Q9VLJ9
7227.FBpp0088016	Q7JWG9
7227.FBpp0083168	Q9VE04
7227.FBpp0073304	Q9VZ08
7227.FBpp0083052	Q9VE61
7227.FBpp0077750	Q9VPP5
7227.FBpp0110588	Q8MSF5
7227.FBpp0072431	Q7YZH1
7227.FBpp0089396	Q9W4D2
7227.FBpp0087449	Q8MKW7
7227.FBpp0303173	Q9VI93
7227.FBpp0084669	P07909
7227.FBpp0075042	Q9VVE2
7227.FBpp0302752	Q07327
7227.FBpp0079568	Q24488
7227.FBpp0086841	Q9V6K3
7227.FBpp0303870	O44252
7227.FBpp0084461	P10181
7227.FBpp0086640	P91875
7227.FBpp0077714	P20028
7227.FBpp0078433	Q24320
7227.FBpp0084067	Q9VC49
7227.FBpp0304829	Q9VIZ0
7227.FBpp0111291	A8DYY5
7227.FBpp0080564	Q9VJE4
7227.FBpp0073387	P04052
7227.FBpp0082353	P08266
7227.FBpp0302530	Q9VEA5
7227.FBpp0082384	P36958
7227.FBpp0087085	P25167
7227.FBpp0293863	Q9VD25
7227.FBpp0079946	Q9VKB4
7227.FBpp0082984	Q9VEB3
7227.FBpp0074886	Q24475
7227.FBpp0083663	Q9VCX4
7227.FBpp0073679	Q9VYA7
7227.FBpp0082462	Q9VFE6
7227.FBpp0080052	Q9VJZ7
7227.FBpp0288680	P27864
7227.FBpp0085693	Q7K2B0
7227.FBpp0084564	Q9VB14
7227.FBpp0074500	Q9VWG3
7227.FBpp0087115	Q0E9B6
7227.FBpp0075612	P80455
7227.FBpp0079328	Q03334
7227.FBpp0071052	P14130
7227.FBpp0073623	P48149
7227.FBpp0087321	Q7KR04
7227.FBpp0071766	Q9W237
7227.FBpp0076207	P17704
7227.FBpp0085585	P41094
7227.FBpp0074086	P39018
7227.FBpp0083905	Q7KS38
7227.FBpp0083371	P55828
7227.FBpp0077309	O76927
7227.FBpp0086701	Q8T3U2
7227.FBpp0081845	P48588
7227.FBpp0080641	P13008
7227.FBpp0079606	P15357
7227.FBpp0071295	Q9W334
7227.FBpp0081614	Q9VH69
7227.FBpp0079500	P31009
7227.FBpp0300615	P55830
7227.FBpp0083802	Q06559
7227.FBpp0075618	P41042
7227.FBpp0074180	Q24186
7227.FBpp0082465	Q9VFE4
7227.FBpp0071087	P29327
7227.FBpp0088441	Q9VA91
7227.FBpp0099686	Q8MLY8
7227.FBpp0076152	P55935
7227.FBpp0293061	Q05856
7227.FBpp0070279	P38979
7227.FBpp0073144	Q9VZD5
7227.FBpp0304503	Q9VKX4
7227.FBpp0082513	Q9VFB2
7227.FBpp0300988	P10735
7227.FBpp0071771	Q8WTC1
7227.FBpp0302048	Q9V6Y3
7227.FBpp0083962	Q9VCC3
7227.FBpp0073762	Q9VY28
7227.FBpp0074887	Q9VVN2
7227.FBpp0070316	O77264
7227.FBpp0080746	Q9VIW7
7227.FBpp0304672	Q9W484
7227.FBpp0071731	Q9W261
7227.FBpp0303792	P17133
7227.FBpp0083134	Q9VE17
7227.FBpp0088015	Q9V4Q8
7227.FBpp0083713	Q8T045
7227.FBpp0076971	P22814
7227.FBpp0081704	Q9VH07
7227.FBpp0074756	Q9V3K3
7227.FBpp0079182	Q9VLV5
7227.FBpp0087118	Q24297
7227.FBpp0074151	Q9VXE0
7227.FBpp0298289	P50445
7227.FBpp0305603	Q24491
7227.FBpp0071447	Q9W2Q1
7227.FBpp0293114	Q24498
7227.FBpp0303242	Q27324
7227.FBpp0080765	Q9V422
7227.FBpp0112171	Q9VDD7
7227.FBpp0082903	Q9VEI3
7227.FBpp0075039	Q9VVD9
7227.FBpp0070839	Q9W429
7227.FBpp0077036	Q9VR50
7227.FBpp0088864	Q9VAF0
7227.FBpp0087119	Q9V668
7227.FBpp0074514	Q9VWE9
7227.FBpp0292309	Q9W0I6
7227.FBpp0089085	P50245
7227.FBpp0073847	Q27580
7227.FBpp0300458	P21750
7227.FBpp0088852	P39770
7227.FBpp0086555	Q9V784
7227.FBpp0084307	Q9VBN7
7227.FBpp0087227	Q9NHD5
7227.FBpp0082731	Q9VEX9
7227.FBpp0074105	Q9VXB3
7227.FBpp0082658	Q960T2
7227.FBpp0293535	Q6IDD9
7227.FBpp0070719	Q9I7W5
7227.FBpp0084912	Q9VAC8
7227.FBpp0081089	Q04164
7227.FBpp0083749	Q9VCR6
7227.FBpp0074531	Q9VWF2
7227.FBpp0111762	A8JUV0
7227.FBpp0073268	P83740
7227.FBpp0083083	Q9VE46
7227.FBpp0072269	P51905
7227.FBpp0301994	P30052
7227.FBpp0086969	P21520
7227.FBpp0082507	Q9VFC0
7227.FBpp0075899	Q9VTH4
7227.FBpp0081580	Q9VHA0
7227.FBpp0303273	Q9W0Y8
7227.FBpp0303597	P35500
7227.FBpp0075149	P45843
7227.FBpp0089393	P09077
7227.FBpp0080802	P54631
7227.FBpp0087709	Q7KKH3
7227.FBpp0271715	P49415
7227.FBpp0087881	Q4V5I9
7227.FBpp0303465	A1Z897
7227.FBpp0085736	Q94523
7227.FBpp0085489	P21914
7227.FBpp0082759	Q8SZ16
7227.FBpp0079154	Q9VLU6
7227.FBpp0070126	O97394
7227.FBpp0073414	Q7Z2C4
7227.FBpp0304685	Q9VMV6
7227.FBpp0302962	Q24322
7227.FBpp0079031	Q9VM46
7227.FBpp0086237	Q24323
7227.FBpp0076349	Q9VSL3
7227.FBpp0076897	P42207
7227.FBpp0083352	P54359
7227.FBpp0084878	P17205
7227.FBpp0084877	P17207
7227.FBpp0076185	Q9VSY6
7227.FBpp0084759	Q9VAN0
7227.FBpp0304486	Q9VEW2
7227.FBpp0084498	P18168
7227.FBpp0071996	Q9W1K5
7227.FBpp0291454	Q5LJZ2
7227.FBpp0111689	Q32KD2
7227.FBpp0082387	Q9VFK6
7227.FBpp0082521	P53997
7227.FBpp0081484	Q9VHI4
7227.FBpp0076723	Q9VRV7
7227.FBpp0112092	Q9VVR6
7227.FBpp0304140	P18431
7227.FBpp0071675	Q24141
7227.FBpp0086158	Q9V7Y2
7227.FBpp0075827	P02840
7227.FBpp0082902	P07701
7227.FBpp0075826	P02841
7227.FBpp0075891	P02842
7227.FBpp0072781	Q9W032
7227.FBpp0291704	Q9NFP5
7227.FBpp0083112	Q8T390
7227.FBpp0086382	Q24145
7227.FBpp0301014	Q8MSV2
7227.FBpp0081123	Q9VI74
7227.FBpp0111526	A1Z9P3
7227.FBpp0302887	Q9VIQ9
7227.FBpp0303156	P91621
7227.FBpp0303156	P91620
7227.FBpp0084244	Q9VBV5
7227.FBpp0084931	Q24167
7227.FBpp0082178	P05709
7227.FBpp0086616	Q9V719
7227.FBpp0290897	Q8T3Y0
7227.FBpp0075091	P21461
7227.FBpp0290893	Q24524
7227.FBpp0080015	Q9VK34
7227.FBpp0070817	Q8IRR5
7227.FBpp0293897	Q9VH08
7227.FBpp0084733	Q9VAQ1
7227.FBpp0083290	Q9I7I7
7227.FBpp0073317	Q9VZ09
7227.FBpp0296946	Q9VGY6
7227.FBpp0296946	Q9GPJ1
7227.FBpp0084778	Q9VAN6
7227.FBpp0081711	Q9VGZ8
7227.FBpp0081709	Q8INM3
7227.FBpp0088159	Q8MR31
7227.FBpp0303578	P24014
7227.FBpp0111858	Q9V3U9
7227.FBpp0303549	Q8IPH9
7227.FBpp0303415	P22807
7227.FBpp0077188	P32030
7227.FBpp0077189	P32031
7227.FBpp0084787	Q9VAQ7
7227.FBpp0290511	Q9VN41
7227.FBpp0076550	Q9VS48
7227.FBpp0089084	Q24179
7227.FBpp0078631	Q9VMX6
7227.FBpp0288419	Q9VK33
7227.FBpp0078200	Q8SY72
7227.FBpp0075684	Q9VU02
7227.FBpp0081234	Q9VI10
7227.FBpp0087094	O44437
7227.FBpp0070933	Q70PP2
7227.FBpp0079708	Q9VKQ6
7227.FBpp0070335	O46080
7227.FBpp0288542	Q23972
7227.FBpp0070968	Q9W3T5
7227.FBpp0302954	Q9VV74
7227.FBpp0077788	P91682
7227.FBpp0079496	Q9VL72
7227.FBpp0076580	Q9VS60
7227.FBpp0305371	Q9V853
7227.FBpp0080298	P08044
7227.FBpp0111746	P05049
7227.FBpp0077417	Q9VQF9
7227.FBpp0074609	Q23983
7227.FBpp0306056	Q9VDD3
7227.FBpp0290423	E1JI63
7227.FBpp0110435	P36975
7227.FBpp0080859	Q9VIQ0
7227.FBpp0070716	P43332
7227.FBpp0077247	Q9VQS7
7227.FBpp0086226	Q00637
7227.FBpp0304150	Q24025
7227.FBpp0079091	Q9VM17
7227.FBpp0289252	B7Z073
7227.FBpp0080118	P26675
7227.FBpp0082399	Q9VFK3
7227.FBpp0072066	P40656
7227.FBpp0086702	P40657
7227.FBpp0292885	Q9VL52
7227.FBpp0089177	Q27350
7227.FBpp0083918	Q8I0P1
7227.FBpp0082158	Q9V3V7
7227.FBpp0084801	Q9VAL0
7227.FBpp0073355	Q9VYY2
7227.FBpp0293581	Q9VCA9
7227.FBpp0077781	Q8SX83
7227.FBpp0078501	Q9VN45
7227.FBpp0088549	Q9GQQ0
7227.FBpp0080884	Q9U1K1
7227.FBpp0080808	Q01083
7227.FBpp0082637	Q9VF26
7227.FBpp0302587	Q8MQW8
7227.FBpp0086691	O18373
7227.FBpp0079588	Q9VKY8
7227.FBpp0072743	Q8IRG6
7227.FBpp0084476	Q8IMP6
7227.FBpp0086953	Q9TVQ5
7227.FBpp0085716	Q9V460
7227.FBpp0070861	Q9W420
7227.FBpp0305100	P13395
7227.FBpp0074228	Q00963
7227.FBpp0073004	O44783
7227.FBpp0084507	P48607
7227.FBpp0082320	Q08473
7227.FBpp0070842	P40423
7227.FBpp0083147	Q9VDZ3
7227.FBpp0082709	Q9XZL8
7227.FBpp0085320	Q9V9J3
7227.FBpp0293527	P00528
7227.FBpp0072178	Q24535
7227.FBpp0076467	Q9VSC1
7227.FBpp0076589	P49963
7227.FBpp0076244	Q9VSS2
7227.FBpp0073336	Q9U5L1
7227.FBpp0082669	P52172
7227.FBpp0082983	Q9VEB5
7227.FBpp0085354	Q9V9K7
7227.FBpp0074266	Q9VX10
7227.FBpp0084923	P07666
7227.FBpp0084922	P07665
7227.FBpp0084725	P15619
7227.FBpp0084924	P07664
7227.FBpp0099503	P54622
7227.FBpp0084175	Q6NN85
7227.FBpp0072258	Q24536
7227.FBpp0072151	Q05344
7227.FBpp0077930	Q9VPB1
7227.FBpp0303451	Q9V5N8
7227.FBpp0077658	P42519
7227.FBpp0088489	Q24151
7227.FBpp0085962	P25159
7227.FBpp0080265	P40798
7227.FBpp0289371	Q7KV12
7227.FBpp0289363	Q7KV13
7227.FBpp0289364	Q7KV14
7227.FBpp0289367	Q7KV15
7227.FBpp0289369	Q7KV19
7227.FBpp0289372	Q7KV22
7227.FBpp0289373	Q7KV23
7227.FBpp0298298	Q9NIV2
7227.FBpp0086938	P92189
7227.FBpp0073955	P83094
7227.FBpp0110403	P83098
7227.FBpp0290833	Q24211
7227.FBpp0291230	Q24212
7227.FBpp0075208	Q9VUY8
7227.FBpp0082704	Q05319
7227.FBpp0304307	Q9W2E1
7227.FBpp0292260	Q24547
7227.FBpp0070471	Q7KVY7
7227.FBpp0080389	Q24509
7227.FBpp0086041	Q9V877
7227.FBpp0073010	Q94522
7227.FBpp0077495	Q9Y0H4
7227.FBpp0112455	P25991
7227.FBpp0082404	P08970
7227.FBpp0080261	P28159
7227.FBpp0072908	Q9VZS3
7227.FBpp0082725	Q9VEX0
7227.FBpp0074426	Q9VWP4
7227.FBpp0303085	Q9VEK6
7227.FBpp0076607	Q9U4F3
7227.FBpp0082571	O18405
7227.FBpp0083263	Q9VDS6
7227.FBpp0288707	Q9VL32
7227.FBpp0070115	P22293
7227.FBpp0075933	Q9VTE2
7227.FBpp0082204	P20193
7227.FBpp0302536	P45975
7227.FBpp0271517	Q9VN03
7227.FBpp0070146	Q9W5E0
7227.FBpp0070171	P12297
7227.FBpp0074686	Q9NJG9
7227.FBpp0303463	P25172
7227.FBpp0070884	P40688
7227.FBpp0302050	Q7JVE7
7227.FBpp0071077	Q9U969
7227.FBpp0303712	P19339
7227.FBpp0077410	P21521
7227.FBpp0079326	Q9VLM8
7227.FBpp0076871	Q9VRJ1
7227.FBpp0271782	P18489
7227.FBpp0086373	Q7KN90
7227.FBpp0291391	Q9V9S7
7227.FBpp0083898	P28668
7227.FBpp0087342	Q9V5Q4
7227.FBpp0071138	Q9W3J5
7227.FBpp0084021	Q9VCA5
7227.FBpp0086720	O16129
7227.FBpp0082356	Q9VFL5
7227.FBpp0078372	Q8MSU4
7227.FBpp0099901	Q24546
7227.FBpp0084240	Q9Y105
7227.FBpp0073965	Q9VXN4
7227.FBpp0072334	Q9W107
7227.FBpp0074536	Q9Y0V3
7227.FBpp0073242	P20351
7227.FBpp0083912	P52656
7227.FBpp0070177	Q9W5B9
7227.FBpp0081216	Q05913
7227.FBpp0081786	P41900
7227.FBpp0081962	Q9VGE8
7227.FBpp0302532	Q7KSD8
7227.FBpp0099776	Q8I8V0
7227.FBpp0077401	Q9U5W9
7227.FBpp0079514	P49906
7227.FBpp0081916	P49905
7227.FBpp0305959	Q9VH20
7227.FBpp0293442	P51123
7227.FBpp0076090	Q24325
7227.FBpp0113081	P47825
7227.FBpp0087335	P49846
7227.FBpp0074709	P49847
7227.FBpp0081253	Q9VHY5
7227.FBpp0074288	Q9VWY6
7227.FBpp0074237	Q27272
7227.FBpp0077415	Q9XZT7
7227.FBpp0084185	Q9VBV3
7227.FBpp0072050	Q9W1G0
7227.FBpp0082457	Q8INF2
7227.FBpp0072188	Q9W1A4
7227.FBpp0305582	Q8T0D4
7227.FBpp0083043	Q9VED0
7227.FBpp0074978	O16867
7227.FBpp0086975	Q9V6G5
7227.FBpp0081153	P06603
7227.FBpp0081565	P06604
7227.FBpp0081062	P06605
7227.FBpp0076122	P06606
7227.FBpp0085721	Q24560
7227.FBpp0081524	P61857
7227.FBpp0072177	P08841
7227.FBpp0076678	Q9VRX3
7227.FBpp0077326	P23257
7227.FBpp0304827	P42271
7227.FBpp0089042	Q86B61
7227.FBpp0071596	P20227
7227.FBpp0079211	Q9VLR5
7227.FBpp0083683	P12613
7227.FBpp0082787	P48605
7227.FBpp0081820	Q9VGS2
7227.FBpp0074615	Q9VWB0
7227.FBpp0292198	Q9VMH0
7227.FBpp0086165	Q7K4M4
7227.FBpp0289137	Q9VYN8
7227.FBpp0303192	O61307
7227.FBpp0111818	Q7KN62
7227.FBpp0074878	P11455
7227.FBpp0084525	P52654
7227.FBpp0305673	P29052
7227.FBpp0086676	Q960E8
7227.FBpp0291478	Q9VTM5
7227.FBpp0081651	Q9VH38
7227.FBpp0086853	Q24318
7227.FBpp0078765	Q9Y103
7227.FBpp0072006	Q7KVH9
7227.FBpp0304751	P20232
7227.FBpp0078925	Q9VMA7
7227.FBpp0077636	Q9VPY8
7227.FBpp0070852	Q9W440
7227.FBpp0292594	Q9V3N8
7227.FBpp0070717	P47938
7227.FBpp0079436	Q9V429
7227.FBpp0070722	Q8IFW4
7227.FBpp0072056	Q9W1F4
7227.FBpp0075751	Q9VTV1
7227.FBpp0072425	Q8IRJ8
7227.FBpp0086004	P42286
7227.FBpp0073196	Q9VZD8
7227.FBpp0078430	Q9VNA0
7227.FBpp0082080	Q9VGA2
7227.FBpp0078462	Q9VN97
7227.FBpp0085289	Q9V9P3
7227.FBpp0072407	Q9W0S3
7227.FBpp0070474	Q9W4V8
7227.FBpp0088955	Q27237
7227.FBpp0078905	Q9VMD9
7227.FBpp0077037	Q9VR52
7227.FBpp0071593	Q9W2D6
7227.FBpp0075820	Q9VTN3
7227.FBpp0288463	Q9VTJ8
7227.FBpp0082657	Q9VF08
7227.FBpp0083078	Q8IN78
7227.FBpp0073338	Q9Y1A3
7227.FBpp0073606	Q9VYD7
7227.FBpp0081722	Q9VH14
7227.FBpp0305454	P49021
7227.FBpp0072317	Q9W0Y1
7227.FBpp0088712	Q86B91
7227.FBpp0083485	P22711
7227.FBpp0070636	Q960X4
7227.FBpp0073076	P48613
7227.FBpp0271702	Q8INX3
7227.FBpp0088404	Q9U3V5
7227.FBpp0073516	P47980
7227.FBpp0304920	Q9I7U4
7227.FBpp0084070	P25723
7227.FBpp0085071	P18102
7227.FBpp0303330	P30975
7227.FBpp0302735	Q9VPF8
7227.FBpp0077043	Q9VR56
7227.FBpp0301615	Q9U1M2
7227.FBpp0086345	Q9V7H4
7227.FBpp0072000	Q9W1K0
7227.FBpp0075098	Q9VVA8
7227.FBpp0071535	Q9W2H1
7227.FBpp0099588	Q9VY86
7227.FBpp0074261	Q9VX39
7227.FBpp0073782	Q9VXY4
7227.FBpp0070154	Q9XZS3
7227.FBpp0084133	Q8SXY6
7227.FBpp0081576	Q9I7K5
7227.FBpp0289218	Q8IQ56
7227.FBpp0076485	Q9VSB9
7227.FBpp0076533	Q95SS8
7227.FBpp0290896	Q9VQE9
7227.FBpp0077614	Q9V3X5
7227.FBpp0071560	Q7K4B6
7227.FBpp0082545	Q9VF81
7227.FBpp0085660	Q7JW12
7227.FBpp0071660	Q961C9
7227.FBpp0080677	Q9VJ29
7227.FBpp0303409	Q9VBP3
7227.FBpp0301709	P47947
7227.FBpp0087280	P47948
7227.FBpp0088546	P47949
7227.FBpp0074298	P36188
7227.FBpp0073682	P19351
7227.FBpp0305890	Q9U4L6
7227.FBpp0085338	A1Z6L1
7227.FBpp0303187	P08953
7227.FBpp0076526	Q9VSA4
7227.FBpp0073822	P30189
7227.FBpp0304598	P15348
7227.FBpp0080787	Q9NG98
7227.FBpp0070891	O96651
7227.FBpp0081613	Q9VH70
7227.FBpp0304302	Q9V8P9
7227.FBpp0111751	P18475
7227.FBpp0070658	O77277
7227.FBpp0080003	Q9VK45
7227.FBpp0083378	Q8IN44
7227.FBpp0083380	Q9VDH4
7227.FBpp0083379	Q8IN43
7227.FBpp0080844	Q8INV7
7227.FBpp0080845	Q9VIR2
7227.FBpp0078708	Q9VMR8
7227.FBpp0083389	Q8IN41
7227.FBpp0083381	Q8IN42
7227.FBpp0082592	Q9VFB7
7227.FBpp0079574	Q95TN1
7227.FBpp0084948	P29613
7227.FBpp0088904	P06754
7227.FBpp0082535	P09491
7227.FBpp0088904	P49455
7227.FBpp0086887	Q9V6K1
7227.FBpp0075246	Q9VUZ1
7227.FBpp0304737	A1Z8P9
7227.FBpp0303425	Q9VYB7
7227.FBpp0077965	Q9VP65
7227.FBpp0085431	Q8I8U7
7227.FBpp0088562	P19018
7227.FBpp0081569	Q9VH90
7227.FBpp0089379	Q7KRW1
7227.FBpp0304464	Q9NBK5
7227.FBpp0087178	A1Z8N1
7227.FBpp0087180	Q8MKK4
7227.FBpp0071468	Q9W2M2
7227.FBpp0079164	Q27896
7227.FBpp0303179	Q24119
7227.FBpp0079949	Q9VK89
7227.FBpp0081593	Q9VHB9
7227.FBpp0072898	Q8IRE4
7227.FBpp0082832	Q9VEP1
7227.FBpp0083432	Q9VDD9
7227.FBpp0070317	O77263
7227.FBpp0304207	Q7Z020
7227.FBpp0112395	A8DYE2
7227.FBpp0080498	Q9VJJ7
7227.FBpp0290876	P48994
7227.FBpp0084879	P19334
7227.FBpp0070347	Q8IRW8
7227.FBpp0075123	P11596
7227.FBpp0079667	Q24155
7227.FBpp0071116	P91938
7227.FBpp0078166	Q9VNT5
7227.FBpp0082406	P20659
7227.FBpp0087257	P04814
7227.FBpp0087223	P35004
7227.FBpp0087255	P42276
7227.FBpp0087256	P35005
7227.FBpp0087226	P52905
7227.FBpp0087258	P42278
7227.FBpp0087259	P42279
7227.FBpp0087260	P42280
7227.FBpp0073426	P54356
7227.FBpp0085261	P22265
7227.FBpp0083562	P40689
7227.FBpp0077998	Q9VP47
7227.FBpp0081805	Q9VGU5
7227.FBpp0080720	Q8SYD0
7227.FBpp0290580	Q9VK41
7227.FBpp0075591	Q9VU70
7227.FBpp0081255	P34739
7227.FBpp0085186	P42282
7227.FBpp0085186	P17789
7227.FBpp0078935	Q9VM91
7227.FBpp0289333	Q9VM92
7227.FBpp0302935	Q9U6L4
7227.FBpp0303238	Q9W5A5
7227.FBpp0271525	P22812
7227.FBpp0071508	P25823
7227.FBpp0088961	Q86PC9
7227.FBpp0305668	Q967D7
7227.FBpp0290362	Q8IQC1
7227.FBpp0082352	Q9VFM9
7227.FBpp0080412	Q03019
7227.FBpp0071864	P10627
7227.FBpp0076666	P18459
7227.FBpp0077263	Q9VQM4
7227.FBpp0077363	O76511
7227.FBpp0076331	Q9VSH9
7227.FBpp0303803	O97420
7227.FBpp0075999	Q9VTC4
7227.FBpp0085549	Q9V968
7227.FBpp0071217	Q9W3C1
7227.FBpp0075074	O77286
7227.FBpp0110100	Q9V8F3
7227.FBpp0305600	Q94535
7227.FBpp0298005	Q24562
7227.FBpp0079044	Q9VM35
7227.FBpp0074740	Q9VW12
7227.FBpp0084501	Q9VB74
7227.FBpp0304016	Q9V412
7227.FBpp0079491	Q9VL63
7227.FBpp0083317	Q9VDL1
7227.FBpp0083124	Q9VE11
7227.FBpp0081397	Q9VHM2
7227.FBpp0271738	Q9VQK0
7227.FBpp0075282	Q9VUV9
7227.FBpp0082085	Q95RN0
7227.FBpp0079364	Q9VLF6
7227.FBpp0070305	Q9I7X6
7227.FBpp0086877	A1Z9A2
7227.FBpp0305134	Q8MKL1
7227.FBpp0087273	Q7JRP4
7227.FBpp0078279	Q9VNI3
7227.FBpp0083892	Q9VCE8
7227.FBpp0070518	O97172
7227.FBpp0086711	Q9V6U8
7227.FBpp0073354	Q9VYY3
7227.FBpp0304449	Q9VSF3
7227.FBpp0081076	P52487
7227.FBpp0082477	P25867
7227.FBpp0305676	P52485
7227.FBpp0076124	P52486
7227.FBpp0078490	P25153
7227.FBpp0075690	Q9VTY6
7227.FBpp0073686	P35128
7227.FBpp0099891	Q9VX25
7227.FBpp0080409	Q9V3R8
7227.FBpp0073035	P0CG69
7227.FBpp0085529	Q9V998
7227.FBpp0070793	Q9W462
7227.FBpp0076806	Q9VRP5
7227.FBpp0073474	Q9VYQ8
7227.FBpp0076802	Q24574
7227.FBpp0074189	Q9VX91
7227.FBpp0303396	Q9VCE9
7227.FBpp0082793	P83949
7227.FBpp0077516	P35122
7227.FBpp0086402	Q7K1Z5
7227.FBpp0075952	Q9VTF9
7227.FBpp0293859	Q9VI55
7227.FBpp0111299	A8DYH2
7227.FBpp0085517	Q4V6M7
7227.FBpp0075316	Q9VUR0
7227.FBpp0076647	O02373
7227.FBpp0074831	Q09332
7227.FBpp0075938	Q9VTE9
7227.FBpp0083440	Q01637
7227.FBpp0073066	Q9VZI3
7227.FBpp0071024	Q9XYQ2
7227.FBpp0074118	Q9Y115
7227.FBpp0074234	O77215
7227.FBpp0081434	Q9VHN5
7227.FBpp0086514	Q95TU8
7227.FBpp0303144	Q9VB11
7227.FBpp0087667	Q4V5A3
7227.FBpp0079109	P16163
7227.FBpp0113022	Q7KU86
7227.FBpp0289098	Q95YI5
7227.FBpp0081590	Q9VHB3
7227.FBpp0076264	Q9VSU7
7227.FBpp0302929	Q9VPQ6
7227.FBpp0305937	P20153
7227.FBpp0071194	Q9W3C0
7227.FBpp0086314	Q9V7P1
7227.FBpp0080039	Q9VK07
7227.FBpp0072304	P10379
7227.FBpp0070584	Q9W4P5
7227.FBpp0083793	Q9VCQ3
7227.FBpp0083086	O17444
7227.FBpp0293395	B6JUP5
7227.FBpp0080010	P48602
7227.FBpp0079999	Q27331
7227.FBpp0082139	P31409
7227.FBpp0288471	Q9V7N5
7227.FBpp0086468	Q9V7D2
7227.FBpp0070434	Q9NEF6
7227.FBpp0078349	P54611
7227.FBpp0086474	Q24583
7227.FBpp0078234	Q9VNL3
7227.FBpp0083214	Q9XZH6
7227.FBpp0080495	Q9V3J1
7227.FBpp0085483	P23380
7227.FBpp0112228	Q9NHV9
7227.FBpp0079772	Q94920
7227.FBpp0076790	Q94918
7227.FBpp0298042	Q9N2P6
7227.FBpp0086898	Q26366
7227.FBpp0087216	Q9V3C1
7227.FBpp0075794	Q8MR62
7227.FBpp0070404	O46037
7227.FBpp0288801	Q9VR59
7227.FBpp0071946	Q9W1R5
7227.FBpp0071354	P02843
7227.FBpp0071359	P02844
7227.FBpp0073652	P06607
7227.FBpp0080879	Q9VIP8
7227.FBpp0077856	Q9VPE4
7227.FBpp0070105	P22808
7227.FBpp0070844	Q9NFP1
7227.FBpp0070845	Q8IRR1
7227.FBpp0070846	P83548
7227.FBpp0303585	Q9Y1I2
7227.FBpp0070259	Q24314
7227.FBpp0087774	Q7JXV9
7227.FBpp0070298	Q9W552
7227.FBpp0302051	Q9V359
7227.FBpp0075560	Q9VU87
7227.FBpp0085829	Q8MSY4
7227.FBpp0079409	Q9VLC0
7227.FBpp0079735	Q9VKM6
7227.FBpp0083716	Q9VCU7
7227.FBpp0305434	P11449
7227.FBpp0078802	P13238
7227.FBpp0080099	Q06521
7227.FBpp0079805	Q9VKI3
7227.FBpp0070413	Q9W517
7227.FBpp0085082	Q9VA38
7227.FBpp0087097	Q7JW27
7227.FBpp0074003	Q9VXH9
7227.FBpp0085698	O44342
7227.FBpp0073829	Q9VXV9
7227.FBpp0079780	Q9VKQ3
7227.FBpp0075581	Q9VU68
7227.FBpp0078015	Q7K0L4
7227.FBpp0304695	Q1LZ08
7227.FBpp0081907	Q8T088
7227.FBpp0079785	Q9VKK2
7227.FBpp0079266	Q9VLN1
7227.FBpp0300790	Q9V3J8
7227.FBpp0291686	B4F7L9
7227.FBpp0289359	Q9V4M2
7227.FBpp0304607	P54350
7227.FBpp0303719	Q9VJN5
7227.FBpp0302573	Q3LHL9
7227.FBpp0070468	P10090
7227.FBpp0072142	P82804
7227.FBpp0070939	Q9W3W5
7227.FBpp0075947	Q95ST2
7227.FBpp0087596	P28465
7227.FBpp0088345	P40589
7227.FBpp0074394	P28466
7227.FBpp0082243	Q9VFX1
