39947.LOC_Os08g37490.1	Q84J55
39947.LOC_Os03g14520.1	Q10P28
39947.LOC_Os11g05580.1	Q53QG4
39947.LOC_Os01g62890.1	Q5N791
39947.LOC_Os01g17000.1	Q5NBP4
39947.LOC_Os01g46440.1	Q5VPB5
39947.LOC_Os02g31230.1	Q64M85
39947.LOC_Os06g09020.1	Q69KK0
39947.LOC_Os09g16240.1	Q6EQ77
39947.LOC_Os09g19320.1	Q6K2J0
39947.LOC_Os02g39030.1	Q6K5F6
39947.LOC_Os02g30150.1	Q6K655
39947.LOC_Os03g41350.1	Q75H87
39947.LOC_Os05g40620.1	Q75J79
39947.LOC_Os04g44840.1	Q7X7M4
39947.LOC_Os04g56790.1	Q7XM12
39947.LOC_Os04g31000.1	Q7XVE1
39947.LOC_Os03g38370.1	Q84NX4
39947.LOC_Os08g05550.1	Q84PW5
39947.LOC_Os07g02610.1	Q8H5K1
39947.LOC_Os01g73680.1	Q8SA06
39947.LOC_Os10g05940.1	Q8SB84
39947.LOC_Os03g55330.1	Q94H97
39947.LOC_Os08g02120.1	B7EHD2
39947.LOC_Os11g43790.1	B9G8P9
39947.LOC_Os03g60790.1	Q10BC9
39947.LOC_Os03g10590.1	Q10QA8
39947.LOC_Os11g33000.1	Q2R363
39947.LOC_Os10g25800.1	Q338K9
39947.LOC_Os11g24350.1	Q53PB7
39947.LOC_Os11g06410.1	Q53PP6
39947.LOC_Os01g72710.1	Q5JK51
39947.LOC_Os01g37200.1	Q5JKM8
39947.LOC_Os01g33160.1	Q5QLY5
39947.LOC_Os06g26270.1	Q5VN29
39947.LOC_Os01g22900.1	Q5ZA27
39947.LOC_Os07g31340.1	Q69VT5
39947.LOC_Os02g39560.1	Q6K1X9
39947.LOC_Os02g28960.1	Q6K5Q4
39947.LOC_Os08g29520.1	Q6YW65
39947.LOC_Os09g02350.1	Q6YXB0
39947.LOC_Os02g47220.1	Q6Z8C7
39947.LOC_Os03g59920.1	Q75HF9
39947.LOC_Os10g12190.1	Q7G4E6
39947.LOC_Os04g46000.1	Q7XN03
39947.LOC_Os04g46410.1	Q7XU23
39947.LOC_Os03g28140.1	Q84MW6
39947.LOC_Os07g40450.1	Q84RV9
39947.LOC_Os07g10740.1	Q84ZN9
39947.LOC_Os03g32830.1	Q8S6B4
39947.LOC_Os10g14140.1	Q8S6U5
39947.LOC_Os01g54530.1	Q94J18
39947.LOC_Os01g02020.1	Q9ASK5
39947.LOC_Os03g37070.1	Q9AYB1
39947.LOC_Os06g07969.1	Q9LDS7
39947.LOC_Os07g12470.1	Q0D7P4
39947.LOC_Os06g29710.1	Q0DC30
39947.LOC_Os03g36960.1	Q10I24
39947.LOC_Os03g16430.1	Q10NF3
39947.LOC_Os03g02600.1	Q10SM6
39947.LOC_Os03g01850.1	Q10SW7
39947.LOC_Os12g29580.1	Q2QQX0
39947.LOC_Os12g17700.1	Q2QU27
39947.LOC_Os10g02300.1	Q33BF6
39947.LOC_Os11g14410.1	Q53JK9
39947.LOC_Os11g12590.1	Q53ME2
39947.LOC_Os11g07770.1	Q53NP9
39947.LOC_Os11g05540.1	Q53Q57
39947.LOC_Os01g17260.1	Q5NAC2
39947.LOC_Os05g25040.1	Q5WMU6
39947.LOC_Os01g06030.1	Q5ZD69
39947.LOC_Os05g14980.1	Q60ET3
39947.LOC_Os05g37400.1	Q65WS9
39947.LOC_Os05g01790.1	Q65X22
39947.LOC_Os09g36730.1	Q69JE8
39947.LOC_Os07g07340.1	Q69LE4
39947.LOC_Os09g36380.1	Q69SG2
39947.LOC_Os06g11190.1	Q69TI3
39947.LOC_Os09g08670.1	Q6EP65
39947.LOC_Os02g44970.1	Q6ESP7
39947.LOC_Os02g45880.1	Q6EU02
39947.LOC_Os08g13230.1	Q6YZP3
39947.LOC_Os07g09010.1	Q6Z4F2
39947.LOC_Os02g48660.1	Q6ZGV5
39947.LOC_Os07g38480.1	Q6ZL31
39947.LOC_Os03g41640.1	Q75H59
39947.LOC_Os08g38830.1	Q7F8U6
39947.LOC_Os04g55240.1	Q7FB34
39947.LOC_Os10g24400.1	Q7G671
39947.LOC_Os04g33670.1	Q7X7F7
39947.LOC_Os07g32979.1	Q84K69
39947.LOC_Os03g60480.1	Q84TB9
39947.LOC_Os07g27310.1	Q84YR9
39947.LOC_Os07g11330.1	Q8H4M4
39947.LOC_Os03g17460.1	Q8H8U6
39947.LOC_Os10g03770.1	Q8S812
39947.LOC_Os01g53420.1	Q942B8
39947.LOC_Os01g27890.1	Q9AS41
39947.LOC_Os10g34064.1	Q9AV60
39947.LOC_Os02g39880.1	A3A901
39947.LOC_Os02g37100.1	B7F8J9
39947.LOC_Os03g63500.1	Q10AH7
39947.LOC_Os03g41280.1	Q10GY3
39947.LOC_Os03g19970.1	Q10MC5
39947.LOC_Os03g10150.1	Q10QG0
39947.LOC_Os12g13460.1	Q2QVA7
39947.LOC_Os12g09550.1	Q2QWF2
39947.LOC_Os08g10450.1	Q4W6L4
39947.LOC_Os01g69910.1	Q5JJP3
39947.LOC_Os01g66350.1	Q5N8G4
39947.LOC_Os01g50080.1	Q5N9P2
39947.LOC_Os01g14920.1	Q5NBC3
39947.LOC_Os06g43304.1	Q67WH9
39947.LOC_Os02g32580.1	Q6H6Q9
39947.LOC_Os02g32540.1	Q6H794
39947.LOC_Os08g21630.1	Q6YS73
39947.LOC_Os07g45830.1	Q6YS86
39947.LOC_Os08g36420.1	Q6YSC5
39947.LOC_Os08g09450.1	Q6Z1A9
39947.LOC_Os02g49880.1	Q6Z2K9
39947.LOC_Os02g49420.1	Q6Z347
39947.LOC_Os02g49332.1	Q6Z5K3
39947.LOC_Os08g44930.1	Q6ZBW9
39947.LOC_Os12g01180.1	Q7XA99
39947.LOC_Os10g41730.1	Q7XC07
39947.LOC_Os04g37740.1	Q7XV50
39947.LOC_Os03g46720.1	Q7Y187
39947.LOC_Os03g29910.1	Q852F0
39947.LOC_Os08g37800.1	Q852Q1
39947.LOC_Os10g03150.1	Q8RUK9
39947.LOC_Os01g51810.1	Q8S1M4
39947.LOC_Os10g18060.1	Q8S768
39947.LOC_Os10g04490.1	Q948E0
39947.LOC_Os09g08810.1	Q9ASN0
39947.LOC_Os10g32790.1	Q9AV90
39947.LOC_Os01g67134.1	B7SDE4
39947.LOC_Os08g37500.1	B9G1G1
39947.LOC_Os03g14654.1	Q0DTF5
39947.LOC_Os09g32080.1	Q0J0L1
39947.LOC_Os09g23340.1	Q0J231
39947.LOC_Os01g60230.1	Q0JI87
39947.LOC_Os03g38350.1	Q10HQ1
39947.LOC_Os03g32302.1	Q10J18
39947.LOC_Os11g20080.1	Q53LX2
39947.LOC_Os05g02350.1	Q65XB7
39947.LOC_Os02g11130.1	Q67TS2
39947.LOC_Os05g05380.1	Q6ASR6
39947.LOC_Os05g06740.1	Q6ATC5
39947.LOC_Os03g39660.1	Q6ATT8
39947.LOC_Os05g49300.1	Q6AUN9
39947.LOC_Os05g43510.1	Q6L540
39947.LOC_Os08g11640.1	Q6YWP5
39947.LOC_Os08g35880.1	Q6Z953
39947.LOC_Os03g29730.1	Q75K33
39947.LOC_Os07g12810.1	Q7EY28
39947.LOC_Os04g25800.1	Q7F9N6
39947.LOC_Os04g41229.1	Q7XT55
39947.LOC_Os03g61680.1	Q7Y139
39947.LOC_Os03g59300.1	Q84M59
39947.LOC_Os07g01680.1	Q8H3X1
39947.LOC_Os10g17340.1	Q8LLY0
39947.LOC_Os10g39370.1	Q8LNM0
39947.LOC_Os01g10370.1	Q8LRE9
39947.LOC_Os10g40180.1	Q93Y90
39947.LOC_Os01g62260.1	Q943L0
39947.LOC_Os10g32990.1	Q9AV70
39947.LOC_Os05g01040.1	Q9FW38
39947.LOC_Os01g09010.1	Q9LGQ6
39947.LOC_Os06g15995.1	B9FSN8
39947.LOC_Os12g18650.1	F4MGL1
39947.LOC_Os09g32040.1	Q0J0L8
39947.LOC_Os03g25380.1	Q10KU9
39947.LOC_Os12g39400.1	Q2QN06
39947.LOC_Os12g34850.1	Q2QPD5
39947.LOC_Os11g34840.1	Q2R2S3
39947.LOC_Os10g17910.1	Q339W2
39947.LOC_Os01g37220.1	Q5JKM6
39947.LOC_Os01g74540.1	Q5JNB8
39947.LOC_Os01g47620.1	Q5QLQ8
39947.LOC_Os02g36780.1	Q69JV5
39947.LOC_Os03g62550.1	Q6AVP8
39947.LOC_Os09g11200.1	Q6EPR9
39947.LOC_Os05g37130.1	Q6F2N2
39947.LOC_Os02g15930.1	Q6K237
39947.LOC_Os09g29750.1	Q6K4B9
39947.LOC_Os02g39850.1	Q6K638
39947.LOC_Os02g58300.1	Q6K9T5
39947.LOC_Os08g17100.1	Q6YWY9
39947.LOC_Os03g55950.1	Q75KA7
39947.LOC_Os08g06410.1	Q7EYE6
39947.LOC_Os08g40700.1	Q7EZA8
39947.LOC_Os03g63110.1	Q852C6
39947.LOC_Os07g44060.1	Q8LHP3
39947.LOC_Os07g32510.1	Q8LIJ0
39947.LOC_Os01g09230.1	Q9LDH6
39947.LOC_Os03g18220.1	B7ERZ5
39947.LOC_Os03g27590.1	Q10K78
39947.LOC_Os03g19840.1	Q10ME0
39947.LOC_Os03g03660.1	Q10SB0
39947.LOC_Os12g32390.1	Q2QQ33
39947.LOC_Os11g42930.1	Q2R0D5
39947.LOC_Os11g04680.1	Q2RAP7
39947.LOC_Os11g02200.1	Q2RBF4
39947.LOC_Os10g03740.1	Q33BA3
39947.LOC_Os11g06870.1	Q53JH2
39947.LOC_Os11g06200.1	Q53PM0
39947.LOC_Os06g07330.1	Q5VRE1
39947.LOC_Os01g23590.1	Q5Z8F1
39947.LOC_Os09g39060.1	Q650Y5
39947.LOC_Os06g14630.1	Q652E9
39947.LOC_Os06g47270.1	Q653G4
39947.LOC_Os06g30910.1	Q654D3
39947.LOC_Os06g45420.1	Q655Y5
39947.LOC_Os05g44940.1	Q65X95
39947.LOC_Os02g14810.1	Q6K3T7
39947.LOC_Os02g27300.1	Q6K6I7
39947.LOC_Os02g57510.1	Q6K710
39947.LOC_Os02g09630.1	Q6YUV0
39947.LOC_Os02g47940.1	Q6YV10
39947.LOC_Os04g10070.1	Q6Z9Y5
39947.LOC_Os08g43300.1	Q6ZFV9
39947.LOC_Os10g03610.1	Q7G603
39947.LOC_Os10g03600.1	Q7G604
39947.LOC_Os01g59510.1	Q8S1Z0
39947.LOC_Os10g06170.1	Q8W2R1
39947.LOC_Os01g04120.1	Q943S6
39947.LOC_Os01g10640.1	Q9LWQ0
39947.LOC_Os02g32860.1	B7ETH1
39947.LOC_Os03g41530.1	Q10GV8
39947.LOC_Os03g16220.1	Q10NH4
39947.LOC_Os12g31830.1	Q2QQ94
39947.LOC_Os12g25160.1	Q2QS67
39947.LOC_Os11g42030.1	Q2R0M9
39947.LOC_Os11g30560.1	Q2R3W3
39947.LOC_Os11g09130.1	Q53LR8
39947.LOC_Os01g36870.1	Q5JKF8
39947.LOC_Os09g35670.1	Q651M7
39947.LOC_Os06g30450.1	Q654M0
39947.LOC_Os02g55590.1	Q69QY7
39947.LOC_Os05g33190.1	Q6ATZ0
39947.LOC_Os09g11470.1	Q6EN67
39947.LOC_Os05g49970.1	Q6F366
39947.LOC_Os02g47170.1	Q6Z8D4
39947.LOC_Os08g08630.1	Q6ZB38
39947.LOC_Os08g02490.1	Q6ZJ55
39947.LOC_Os03g38720.1	Q75IB4
39947.LOC_Os07g23150.1	Q7EYV6
39947.LOC_Os04g25990.1	Q7XKH8
39947.LOC_Os04g44550.1	Q7XKI7
39947.LOC_Os04g48710.1	Q7XUH7
39947.LOC_Os04g35610.1	Q7XV62
39947.LOC_Os03g05470.1	Q8H085
39947.LOC_Os10g13650.1	Q8S632
39947.LOC_Os10g06800.1	Q8SB65
39947.LOC_Os10g22130.1	Q8W2T2
39947.LOC_Os03g57030.1	Q94GI2
39947.LOC_Os01g14670.1	Q9XHW8
39947.LOC_Os03g57660.1	Q10C95
39947.LOC_Os03g47970.1	Q10F25
39947.LOC_Os03g17410.1	Q10N52
39947.LOC_Os03g04380.1	Q10S37
39947.LOC_Os12g43110.1	Q2QLW2
39947.LOC_Os12g42390.1	Q2QM39
39947.LOC_Os11g24630.1	Q2R5L0
39947.LOC_Os10g03830.1	Q33B99
39947.LOC_Os11g22240.1	Q53K90
39947.LOC_Os11g12220.1	Q53Q33
39947.LOC_Os06g33140.1	Q654E7
39947.LOC_Os02g19040.1	Q6K861
39947.LOC_Os08g04750.1	Q6YYZ4
39947.LOC_Os08g33940.1	Q6Z535
39947.LOC_Os02g48910.1	Q6Z668
39947.LOC_Os03g16430.1	Q84Q84
39947.LOC_Os10g23980.1	Q8LMH6
39947.LOC_Os01g57910.1	Q8RU96
39947.LOC_Os01g64860.1	Q8S1N3
39947.LOC_Os01g68840.1	A3A0X6
39947.LOC_Os01g45970.1	Q0JKV2
39947.LOC_Os03g57110.1	Q10CF6
39947.LOC_Os12g34980.1	Q2QPC2
39947.LOC_Os01g51510.1	Q5N8D6
39947.LOC_Os06g47800.1	Q5Z660
39947.LOC_Os06g50490.1	Q5Z8M4
39947.LOC_Os01g03030.1	Q5ZDT9
39947.LOC_Os06g46110.1	Q650T0
39947.LOC_Os06g42490.1	Q67IV4
39947.LOC_Os09g08620.1	Q6EP70
39947.LOC_Os02g16480.1	Q6EPA0
39947.LOC_Os03g58110.1	Q6F383
39947.LOC_Os02g36360.1	Q6YXC5
39947.LOC_Os08g19850.1	Q6Z0N5
39947.LOC_Os02g49986.1	Q6Z2J9
39947.LOC_Os02g53080.1	Q6ZH53
39947.LOC_Os08g06450.1	Q7EYE4
39947.LOC_Os05g13940.1	Q84PC5
39947.LOC_Os03g45710.1	Q850T5
39947.LOC_Os03g34000.1	Q850W5
39947.LOC_Os07g11900.1	Q8GVK9
39947.LOC_Os01g28260.1	Q8LIU4
39947.LOC_Os10g24010.1	Q8LMH4
39947.LOC_Os10g10750.1	Q8LMM0
39947.LOC_Os01g57440.1	Q8LQQ4
39947.LOC_Os10g05380.1	Q948B3
39947.LOC_Os01g40430.1	Q94D31
39947.LOC_Os10g02240.1	Q94LI9
39947.LOC_Os11g10480.1	B7E629
39947.LOC_Os05g39990.1	B7EQ33
39947.LOC_Os12g34350.1	Q0IMY5
39947.LOC_Os03g62910.1	Q10AN5
39947.LOC_Os12g29760.1	Q2QQV2
39947.LOC_Os10g35730.1	Q337G1
39947.LOC_Os10g25600.1	Q338M3
39947.LOC_Os11g21920.1	Q53J61
39947.LOC_Os06g04840.1	Q5VPE6
39947.LOC_Os09g27960.1	Q67UZ6
39947.LOC_Os06g10950.1	Q69TV6
39947.LOC_Os06g09400.1	Q69V40
39947.LOC_Os02g45710.1	Q6EPN1
39947.LOC_Os02g44870.1	Q6ESR3
39947.LOC_Os09g10690.1	Q6H5H8
39947.LOC_Os02g42585.1	Q6H5V2
39947.LOC_Os08g23820.1	Q6Z0I3
39947.LOC_Os08g09890.1	Q6Z1K3
39947.LOC_Os02g50100.1	Q6Z2I7
39947.LOC_Os02g51100.1	Q6Z2T4
39947.LOC_Os02g11040.1	Q6Z6D0
39947.LOC_Os08g01630.1	Q6ZD68
39947.LOC_Os02g48610.1	Q6ZGV9
39947.LOC_Os08g03380.1	Q6ZK49
39947.LOC_Os05g11900.1	Q75IK5
39947.LOC_Os10g11080.1	Q7G4Q4
39947.LOC_Os04g25920.1	Q7X7I0
39947.LOC_Os09g36950.1	Q7XJ20
39947.LOC_Os04g29990.1	Q7XVH8
39947.LOC_Os04g08290.1	Q7XXA5
39947.LOC_Os07g44790.1	Q8GRK9
39947.LOC_Os03g40220.1	Q8H8S5
39947.LOC_Os10g26260.1	Q8LND9
39947.LOC_Os01g33090.1	Q8LRD7
39947.LOC_Os01g55400.1	Q94DU2
39947.LOC_Os03g47640.1	Q9AUM0
39947.LOC_Os06g04600.1	Q0DES6
39947.LOC_Os09g32710.1	Q0J0M9
39947.LOC_Os08g06010.1	Q0J7X7
39947.LOC_Os01g58860.1	Q0JIG6
39947.LOC_Os01g13270.1	Q0JPA1
39947.LOC_Os03g49960.1	Q10E61
39947.LOC_Os03g16690.1	Q10NC7
39947.LOC_Os03g08690.1	Q10QS3
39947.LOC_Os12g34390.1	Q2QPI1
39947.LOC_Os12g13320.1	Q2QVC1
39947.LOC_Os11g06220.1	Q2RA84
39947.LOC_Os10g36780.1	Q337C4
39947.LOC_Os10g22050.1	Q339E1
39947.LOC_Os06g30730.1	Q656J6
39947.LOC_Os06g03830.1	Q658H8
39947.LOC_Os09g27620.1	Q67V61
39947.LOC_Os06g43990.1	Q67WY8
39947.LOC_Os09g01720.1	Q69KU8
39947.LOC_Os09g21040.1	Q6H4R0
39947.LOC_Os01g04699.1	Q6H4W8
39947.LOC_Os02g43300.1	Q6H6S9
39947.LOC_Os02g40890.1	Q6K1Q5
39947.LOC_Os02g28170.1	Q6K2J2
39947.LOC_Os03g41400.1	Q75H82
39947.LOC_Os03g46340.1	Q75H96
39947.LOC_Os03g62820.1	Q75LB6
39947.LOC_Os03g42590.1	Q75LF8
39947.LOC_Os07g19320.1	Q7EYU0
39947.LOC_Os10g21350.1	Q7G6A5
39947.LOC_Os10g06180.1	Q7XGQ9
39947.LOC_Os04g08430.1	Q7XXA2
39947.LOC_Os07g13270.1	Q8H430
39947.LOC_Os07g44190.1	Q8H5T5
39947.LOC_Os07g43420.1	Q8LI26
39947.LOC_Os10g17610.1	Q8S664
39947.LOC_Os11g08780.1	Q8S6T4
39947.LOC_Os05g39310.1	B7EQR6
39947.LOC_Os04g48840.1	B7FAK3
39947.LOC_Os07g48244.1	Q0D3L5
39947.LOC_Os05g23230.1	Q0DJD9
39947.LOC_Os02g43519.1	Q0DZ29
39947.LOC_Os12g03822.1	Q0IQB5
39947.LOC_Os12g34148.1	Q2QPM4
39947.LOC_Os11g43820.1	Q2R045
39947.LOC_Os11g23810.1	Q53K48
39947.LOC_Os11g25840.1	Q53KU7
39947.LOC_Os11g07290.1	Q53PC5
39947.LOC_Os11g17430.1	Q53QA1
39947.LOC_Os01g42220.1	Q5ZBN4
39947.LOC_Os09g38790.1	Q653D5
39947.LOC_Os06g29310.1	Q67VX6
39947.LOC_Os03g48270.1	Q6AVI8
39947.LOC_Os09g25210.1	Q6ERQ4
39947.LOC_Os02g32550.1	Q6H793
39947.LOC_Os02g39390.1	Q6K1Z8
39947.LOC_Os03g31920.1	Q75I17
39947.LOC_Os05g40710.1	Q75J73
39947.LOC_Os10g07180.1	Q7G757
39947.LOC_Os04g53410.1	Q7X8R3
39947.LOC_Os04g26410.1	Q7X8X7
39947.LOC_Os10g30200.1	Q7XE44
39947.LOC_Os04g20400.1	Q7XSY4
39947.LOC_Os04g48820.1	Q7XUG9
39947.LOC_Os03g30519.1	Q7Y1J8
39947.LOC_Os10g32680.1	Q8H916
39947.LOC_Os01g46120.1	Q8RZ61
39947.LOC_Os01g69220.1	Q8RZJ1
39947.LOC_Os10g15010.1	Q8S6X0
39947.LOC_Os01g07150.1	Q942P3
39947.LOC_Os06g07080.1	Q0DE92
39947.LOC_Os11g47930.1	Q0IQU9
39947.LOC_Os10g28009.1	Q0IXQ0
39947.LOC_Os04g53220.1	Q0J9Z6
39947.LOC_Os03g58610.1	Q10BZ5
39947.LOC_Os03g11680.1	Q10PZ3
39947.LOC_Os03g06420.1	Q10RG3
39947.LOC_Os12g39640.1	Q2QMY1
39947.LOC_Os12g09620.1	Q2QWE5
39947.LOC_Os11g35220.1	Q2R2N4
39947.LOC_Os11g12870.1	Q53JJ6
39947.LOC_Os11g24030.1	Q53L86
39947.LOC_Os11g13620.1	Q53M23
39947.LOC_Os11g20360.2	Q53M68
39947.LOC_Os11g07400.1	Q53PH1
39947.LOC_Os01g27690.1	Q5ZCW3
39947.LOC_Os01g43360.1	Q5ZE75
39947.LOC_Os06g33600.1	Q652Z3
39947.LOC_Os09g38630.1	Q653S8
39947.LOC_Os09g25500.1	Q69P50
39947.LOC_Os02g34860.1	Q69SU2
39947.LOC_Os09g12710.1	Q69VQ7
39947.LOC_Os09g17560.1	Q6EPG8
39947.LOC_Os02g44540.1	Q6ESI2
39947.LOC_Os05g50100.1	Q6L5F9
39947.LOC_Os02g12960.1	Q6YVG0
39947.LOC_Os01g68790.2	Q7F2X8
39947.LOC_Os04g04000.1	Q7XP24
39947.LOC_Os04g39530.1	Q7XQM7
39947.LOC_Os04g25410.1	Q7XTG6
39947.LOC_Os07g19260.1	Q84ZF4
39947.LOC_Os07g07719.1	Q8H583
39947.LOC_Os10g04280.1	Q8H899
39947.LOC_Os10g32372.1	Q8L4D1
39947.LOC_Os07g01530.1	Q8L4N7
39947.LOC_Os10g35160.1	Q8LNT3
39947.LOC_Os01g52240.1	Q8W0E6
39947.LOC_Os10g04790.1	Q8W2P9
39947.LOC_Os05g47560.1	Q0DG76
39947.LOC_Os05g24560.1	Q0DJA1
39947.LOC_Os12g30180.1	Q0INA8
39947.LOC_Os04g41860.1	Q0JC26
39947.LOC_Os03g06190.1	Q10RJ0
39947.LOC_Os12g41560.1	Q2QMC8
39947.LOC_Os12g06050.1	Q2QXH3
39947.LOC_Os11g41830.1	Q2R0Q0
39947.LOC_Os11g29230.1	Q2R497
39947.LOC_Os11g27730.1	Q2R4P9
39947.LOC_Os10g21100.1	Q339I1
39947.LOC_Os10g04720.1	Q33B66
39947.LOC_Os11g22780.1	Q53J76
39947.LOC_Os11g24900.1	Q53LN8
39947.LOC_Os01g62820.1	Q5N796
39947.LOC_Os09g01470.1	Q69K16
39947.LOC_Os09g12720.1	Q69VQ6
39947.LOC_Os03g33080.1	Q6AV71
39947.LOC_Os02g14230.1	Q6EQJ4
39947.LOC_Os02g17870.1	Q6ET26
39947.LOC_Os02g04620.1	Q6YXY9
39947.LOC_Os08g09260.1	Q6Z1D1
39947.LOC_Os02g10930.1	Q6Z6E4
39947.LOC_Os02g35720.1	Q6Z7E3
39947.LOC_Os07g05380.1	Q6ZF69
39947.LOC_Os07g47280.1	Q7EZT4
39947.LOC_Os10g05240.1	Q7XGX7
39947.LOC_Os04g33110.1	Q7XSC7
39947.LOC_Os03g16310.1	Q84Q63
39947.LOC_Os07g39720.1	Q8GRW3
39947.LOC_Os07g29660.1	Q8GVS5
39947.LOC_Os03g17770.1	Q8GZZ9
39947.LOC_Os07g13170.1	Q8H443
39947.LOC_Os10g13440.1	Q8LSQ9
39947.LOC_Os10g21970.1	Q8S6M9
39947.LOC_Os03g28310.1	Q94H83
39947.LOC_Os01g39580.1	A2ZUN5
39947.LOC_Os09g30490.1	A3C020
39947.LOC_Os06g22460.1	Q0DCH0
39947.LOC_Os03g05200.1	Q10RU8
39947.LOC_Os12g37720.1	Q2QNI2
39947.LOC_Os12g02830.1	Q2QYF7
39947.LOC_Os11g39480.1	Q2R1E1
39947.LOC_Os11g38200.1	Q2R1S7
39947.LOC_Os11g32670.1	Q2R399
39947.LOC_Os11g10840.1	Q2R8V9
39947.LOC_Os11g02670.1	Q2RBA3
39947.LOC_Os11g22080.1	Q53JA2
39947.LOC_Os11g26680.1	Q53JQ4
39947.LOC_Os11g05510.1	Q53Q60
39947.LOC_Os01g12464.1	Q5NAG7
39947.LOC_Os06g34430.1	Q5Z5F5
39947.LOC_Os06g36400.1	Q5Z7F8
39947.LOC_Os06g49780.1	Q5Z802
39947.LOC_Os01g43774.1	Q5ZE50
39947.LOC_Os03g43230.1	Q60DB2
39947.LOC_Os05g32180.1	Q60E62
39947.LOC_Os02g31840.1	Q67IY2
39947.LOC_Os09g26740.1	Q69PA0
39947.LOC_Os05g05300.1	Q6AUH9
39947.LOC_Os03g62340.1	Q6AVR9
39947.LOC_Os08g20090.2	Q6YV48
39947.LOC_Os08g44440.1	Q6YZI7
39947.LOC_Os07g47860.1	Q6ZDW3
39947.LOC_Os07g08170.1	Q6ZLD7
39947.LOC_Os08g34890.1	Q6ZLE2
39947.LOC_Os03g02080.1	Q70KT6
39947.LOC_Os03g27490.1	Q75KN4
39947.LOC_Os08g06390.1	Q7EYE8
39947.LOC_Os07g19350.1	Q7EYT6
39947.LOC_Os10g28210.1	Q7XEK8
39947.LOC_Os03g30550.1	Q7Y1L6
39947.LOC_Os03g15840.1	Q84QB1
39947.LOC_Os11g06890.1	B7EXI1
39947.LOC_Os07g41060.1	Q0D4V7
39947.LOC_Os08g42320.1	Q0J448
39947.LOC_Os04g34080.1	Q0JDA3
39947.LOC_Os01g66600.1	Q0JH17
39947.LOC_Os03g08430.1	Q10QV1
39947.LOC_Os03g04690.1	Q10RZ8
39947.LOC_Os12g44160.1	Q2QLK5
39947.LOC_Os12g43700.1	Q2QLQ1
39947.LOC_Os12g07600.1	Q2QX06
39947.LOC_Os11g29350.1	Q2R485
39947.LOC_Os11g22170.1	Q53J98
39947.LOC_Os11g08029.1	Q53KL3
39947.LOC_Os11g06330.1	Q53PN0
39947.LOC_Os11g06480.1	Q53PP8
39947.LOC_Os11g12210.1	Q53Q35
39947.LOC_Os05g38120.1	Q60EM7
39947.LOC_Os09g36880.1	Q651E3
39947.LOC_Os05g38330.1	Q65XG4
39947.LOC_Os05g06140.1	Q65XP3
39947.LOC_Os07g08160.1	Q69W90
39947.LOC_Os06g40150.1	Q69XI7
39947.LOC_Os02g33540.1	Q6ER88
39947.LOC_Os05g50020.1	Q6F370
39947.LOC_Os02g54460.1	Q6K8V1
39947.LOC_Os07g47150.1	Q7F0M0
39947.LOC_Os07g15530.1	Q7F231
39947.LOC_Os04g54810.1	Q7X6F6
39947.LOC_Os04g53180.1	Q7X6S3
39947.LOC_Os04g20930.1	Q7XLI9
39947.LOC_Os04g55850.1	Q7XPN4
39947.LOC_Os04g21720.1	Q7XW72
39947.LOC_Os03g05560.1	Q8H077
39947.LOC_Os10g25674.1	Q8S5N8
39947.LOC_Os10g18380.1	Q8W5D8
39947.LOC_Os01g45830.1	Q9ASA0
39947.LOC_Os05g02940.1	Q9LIV9
39947.LOC_Os07g46870.1	Q0D3V4
39947.LOC_Os06g36310.1	Q0DBJ9
39947.LOC_Os05g39800.1	Q0DHC7
39947.LOC_Os05g34470.1	Q0DI48
39947.LOC_Os08g29320.1	Q0J607
39947.LOC_Os03g15580.1	Q10NR0
39947.LOC_Os03g05100.1	Q10RV7
39947.LOC_Os11g34140.1	Q2R2Z8
39947.LOC_Os11g30040.1	Q2R415
39947.LOC_Os11g24250.1	Q53PJ5
39947.LOC_Os01g36350.1	Q5JKB8
39947.LOC_Os06g18000.1	Q5VMI1
39947.LOC_Os01g04200.1	Q5ZCN1
39947.LOC_Os03g29290.1	Q60ED2
39947.LOC_Os06g47320.1	Q653F6
39947.LOC_Os07g09470.1	Q69S62
39947.LOC_Os06g10670.1	Q69T49
39947.LOC_Os05g05450.1	Q6ASR2
39947.LOC_Os02g44820.1	Q6ESR8
39947.LOC_Os08g09630.1	Q6Z073
39947.LOC_Os08g37470.1	Q6Z242
39947.LOC_Os08g43760.1	Q6Z3H5
39947.LOC_Os08g43640.1	Q6ZJI3
39947.LOC_Os03g37680.1	Q75L57
39947.LOC_Os08g28840.1	Q7F188
39947.LOC_Os04g01560.1	Q7X669
39947.LOC_Os04g42900.1	Q7X6G0
39947.LOC_Os10g02930.1	Q7XH59
39947.LOC_Os04g30730.1	Q7XMJ1
39947.LOC_Os04g49530.1	Q7XP63
39947.LOC_Os04g55440.1	Q7XTW2
39947.LOC_Os04g29950.1	Q7XVH5
39947.LOC_Os03g04230.1	Q8H8D7
39947.LOC_Os07g43050.1	Q8LHL0
39947.LOC_Os03g54200.1	Q8LLN5
39947.LOC_Os08g17294.1	A3BRF0
39947.LOC_Os12g25640.1	Q2QS19
39947.LOC_Os11g15320.1	Q53L45
39947.LOC_Os03g29760.1	Q5KQM8
39947.LOC_Os01g25530.1	Q5ZBJ9
