44689.DDB0232938	P54632
44689.DDB0266536	Q86IY6
44689.DDB0266535	Q86I91
44689.DDB0266537	Q54D05
44689.DDB0266538	Q55AQ2
44689.DDB0186520	Q54N65
44689.DDB0186585	Q54N03
44689.DDB0187781	Q54JE8
44689.DDB0187782	Q54JE7
44689.DDB0202799	Q55BA2
44689.DDB0187277	Q54KU9
44689.DDB0187278	Q54KU8
44689.DDB0187279	Q54KU7
44689.DDB0304858	Q557B6
44689.DDB0238293	Q54R16
44689.DDB0305139	Q86JL6
44689.DDB0266855	Q54II8
44689.DDB0305142	Q54LL8
44689.DDB0217685	Q553E8
44689.DDB0237849	Q54ST2
44689.DDB0267136	Q55C72
44689.DDB0192000	Q54BM8
44689.DDB0266385	Q54GN5
44689.DDB0233839	Q54LP7
44689.DDB0238760	Q54AK6
44689.DDB0220497	Q55C16
44689.DDB0238040	Q54QG9
44689.DDB0267172	Q55FS0
44689.DDB0232142	Q54C02
44689.DDB0238042	Q54TI6
44689.DDB0304879	Q553F3
44689.DDB0191440	Q9NGP4
44689.DDB0201564	Q94490
44689.DDB0237666	Q86IZ3
44689.DDB0304925	Q54XS6
44689.DDB0237667	Q86K32
44689.DDB0305006	Q54I43
44689.DDB0237669	Q54D06
44689.DDB0238664	Q55EY8
44689.DDB0231539	Q54K99
44689.DDB0214921	P0CG76
44689.DDB0214929	P0CG77
44689.DDB0201651	P0CG78
44689.DDB0214920	P0CG79
44689.DDB0238741	P0CG81
44689.DDB0238742	P0CG80
44689.DDB0238742	P0CG88
44689.DDB0231492	P54201
44689.DDB0191402	O96612
44689.DDB0191158	Q9NIF3
44689.DDB0302514	Q54DV0
44689.DDB0304448	Q55BU7
44689.DDB0233072	Q54N38
44689.DDB0304593	Q54T48
44689.DDB0216233	Q55EL3
44689.DDB0230208	Q8T154
44689.DDB0231239	Q54R62
44689.DDB0215349	Q9GNF0
44689.DDB0237606	Q55BF4
44689.DDB0233499	B0G143
44689.DDB0232141	Q1ZXC9
44689.DDB0238023	Q55BK0
44689.DDB0234049	Q54QS0
44689.DDB0252554	B0G186
44689.DDB0220030	Q8T191
44689.DDB0191527	P08800
44689.DDB0214911	Q54YZ0
44689.DDB0191537	Q54IL5
44689.DDB0237981	Q54JM3
44689.DDB0214958	P09556
44689.DDB0266485	Q54DD7
44689.DDB0214910	P53766
44689.DDB0230206	Q55GQ6
44689.DDB0231470	Q54LT2
44689.DDB0185658	Q54QN0
44689.DDB0266862	Q54W16
44689.DDB0237489	Q55C50
44689.DDB0233969	Q54WN5
44689.DDB0267077	Q54ND3
44689.DDB0304844	P54641
44689.DDB0191505	O15706
44689.DDB0214913	Q54WZ2
44689.DDB0234056	Q54WZ3
44689.DDB0231535	Q54NW7
44689.DDB0231542	Q86AQ7
44689.DDB0229340	Q5TJ65
44689.DDB0201563	P54647
44689.DDB0185207	Q76NU1
44689.DDB0191419	P54648
44689.DDB0235141	Q86A77
44689.DDB0185070	O00780
44689.DDB0305002	Q55AH5
44689.DDB0238144	Q54Z13
44689.DDB0234266	Q8MML6
44689.DDB0185071	P54642
44689.DDB0216215	Q54E04
44689.DDB0185213	Q01501
44689.DDB0233813	Q555V7
44689.DDB0185072	P36418
44689.DDB0191538	Q8WQ85
44689.DDB0232320	Q54MH2
44689.DDB0234044	Q54NL4
44689.DDB0234198	Q54LB8
44689.DDB0234199	Q555C6
44689.DDB0191112	Q55FG3
44689.DDB0234205	Q54LN2
44689.DDB0234203	Q55EI3
44689.DDB0304549	Q54KX3
44689.DDB0304548	Q86K84
44689.DDB0234232	Q54J20
44689.DDB0234135	Q54YP4
44689.DDB0216334	Q54S77
44689.DDB0234137	Q55C58
44689.DDB0234026	Q55GD9
44689.DDB0191205	Q55CA0
44689.DDB0234023	Q54NF1
44689.DDB0234192	Q54IF7
44689.DDB0234193	Q54C24
44689.DDB0234028	Q54T18
44689.DDB0234024	Q55DV8
44689.DDB0234175	Q54GE3
44689.DDB0234037	Q54PT2
44689.DDB0233907	Q54KG3
44689.DDB0233395	Q54VP1
44689.DDB0220110	P14326
44689.DDB0238736	P14327
44689.DDB0215343	P14330
44689.DDB0234058	Q55B11
44689.DDB0231536	Q54CK6
44689.DDB0216405	Q6B9X6
44689.DDB0191441	Q54F46
44689.DDB0191666	Q54CK9
44689.DDB0234041	Q54R74
44689.DDB0233985	Q54W52
44689.DDB0304352	Q54JS5
44689.DDB0233973	Q54S79
44689.DDB0237514	Q54ZP5
44689.DDB0233974	Q54UI3
44689.DDB0266374	Q54BI5
44689.DDB0304577	Q54SA5
44689.DDB0232948	Q54KL5
44689.DDB0267163	Q54S59
44689.DDB0233741	Q54H44
44689.DDB0267166	Q54QU5
44689.DDB0233074	Q55FJ2
44689.DDB0267167	Q54E33
44689.DDB0305118	Q75JU2
44689.DDB0220001	Q554C5
44689.DDB0230176	Q54FB7
44689.DDB0232364	Q54PN5
44689.DDB0234066	Q54EV7
44689.DDB0191603	Q54E36
44689.DDB0237580	Q54UP5
44689.DDB0237583	Q54PQ8
44689.DDB0237584	Q54CB2
44689.DDB0233670	Q54DN3
44689.DDB0237585	Q54RI9
44689.DDB0304433	Q54G06
44689.DDB0304432	Q54T46
44689.DDB0232253	Q54YJ7
44689.DDB0232002	Q54LY5
44689.DDB0230003	Q54M59
44689.DDB0220004	Q54ZN3
44689.DDB0220010	Q54WW7
44689.DDB0230019	Q54XY6
44689.DDB0230038	Q54VU5
44689.DDB0302623	Q54AK5
44689.DDB0229350	Q54VV7
44689.DDB0230124	Q54XI9
44689.DDB0230133	Q54Y90
44689.DDB0220138	Q54XZ5
44689.DDB0229971	Q55CA6
44689.DDB0220693	Q55C84
44689.DDB0188775	Q54GF2
44689.DDB0202135	Q55GB8
44689.DDB0232157	Q54VP4
44689.DDB0202163	Q55G20
44689.DDB0304466	Q55BY9
44689.DDB0267123	Q54G58
44689.DDB0220436	Q54FR9
44689.DDB0230126	Q55BM1
44689.DDB0267139	Q55E65
44689.DDB0205091	Q54T40
44689.DDB0304570	Q54FW9
44689.DDB0229337	Q54V82
44689.DDB0205987	Q54WF3
44689.DDB0206140	Q54UZ5
44689.DDB0266494	Q54FS2
44689.DDB0266502	Q54FS1
44689.DDB0302624	Q54VK6
44689.DDB0220652	Q54RP7
44689.DDB0220670	Q54IF2
44689.DDB0220700	Q54L81
44689.DDB0220701	Q559T8
44689.DDB0232096	Q54FM6
44689.DDB0220698	Q54UW4
44689.DDB0220672	Q54UW0
44689.DDB0220673	Q54UV9
44689.DDB0220674	Q54UV8
44689.DDB0304697	Q54UV7
44689.DDB0204747	Q54UU2
44689.DDB0304358	Q54UR0
44689.DDB0238325	Q54FG0
44689.DDB0252617	Q54FD5
44689.DDB0252616	Q54FC5
44689.DDB0189177	Q54FB9
44689.DDB0233401	Q54F84
44689.DDB0220667	Q54UG3
44689.DDB0220696	Q55BK3
44689.DDB0229384	Q54F40
44689.DDB0189256	Q54F36
44689.DDB0266644	Q54F34
44689.DDB0231194	Q54S98
44689.DDB0231197	Q54JC7
44689.DDB0231199	Q54RZ7
44689.DDB0232137	Q55B99
44689.DDB0220681	Q54UG2
44689.DDB0191320	Q55DH0
44689.DDB0220714	Q55BF8
44689.DDB0231407	Q54EQ7
44689.DDB0305018	Q556P3
44689.DDB0233060	Q54EH3
44689.DDB0231196	Q54EG9
44689.DDB0231558	Q1ZXI5
44689.DDB0230192	Q86AD5
44689.DDB0191586	Q54EQ9
44689.DDB0191609	Q54DY5
44689.DDB0231610	Q54U64
44689.DDB0231625	Q1ZXA8
44689.DDB0305124	Q54DI5
44689.DDB0216387	Q54FH3
44689.DDB0216386	Q54UZ1
44689.DDB0229339	Q54EM1
44689.DDB0266842	Q75JD4
44689.DDB0191715	Q54CF6
44689.DDB0191725	Q54CE6
44689.DDB0191746	Q54CC7
44689.DDB0231747	Q54QG4
44689.DDB0229869	Q55AN8
44689.DDB0233080	Q54TK4
44689.DDB0218290	Q54UA5
44689.DDB0218421	Q54RU3
44689.DDB0191854	Q54C51
44689.DDB0191865	Q54C03
44689.DDB0191868	Q54C00
44689.DDB0229381	Q54DY0
44689.DDB0219232	Q54KB9
44689.DDB0191925	Q54BU6
44689.DDB0267071	Q54T82
44689.DDB0191934	Q54BT9
44689.DDB0231589	Q1ZXB2
44689.DDB0238607	Q86AH2
44689.DDB0252836	Q86JM5
44689.DDB0184163	Q54DV3
44689.DDB0184172	Q54DU5
44689.DDB0192047	Q54BH8
44689.DDB0184193	Q54DS4
44689.DDB0232106	Q54DS3
44689.DDB0220702	Q8MYF1
44689.DDB0192071	Q54BF4
44689.DDB0192073	Q54BF2
44689.DDB0202076	Q55GR5
44689.DDB0202077	Q55GR4
44689.DDB0232080	Q54PA8
44689.DDB0232085	Q75JQ0
44689.DDB0202087	Q55GM9
44689.DDB0216959	Q55A66
44689.DDB0202099	Q55GK1
44689.DDB0235260	Q54T01
44689.DDB0230194	Q54SZ9
44689.DDB0192116	Q54BB3
44689.DDB0202120	Q55GE7
44689.DDB0192122	Q54BA6
44689.DDB0235142	Q86JE1
44689.DDB0192135	Q54B95
44689.DDB0220711	Q54DL6
44689.DDB0192163	Q54B75
44689.DDB0202167	Q55G14
44689.DDB0192175	Q54B64
44689.DDB0202176	Q55FY6
44689.DDB0205176	Q54SW1
44689.DDB0234030	Q54DL7
44689.DDB0219256	Q54K27
44689.DDB0216395	Q54ST3
44689.DDB0229935	Q54DH5
44689.DDB0252771	Q54SP1
44689.DDB0206573	Q86AY4
44689.DDB0206580	Q86KX6
44689.DDB0230010	Q54DC8
44689.DDB0216336	Q54DF7
44689.DDB0304394	Q54DA4
44689.DDB0231179	Q54SK3
44689.DDB0229933	Q559W3
44689.DDB0220712	Q54D67
44689.DDB0233129	Q559R1
44689.DDB0232246	Q75JP5
44689.DDB0230090	Q7KWT9
44689.DDB0229929	Q559I8
44689.DDB0302503	Q559K0
44689.DDB0229424	Q54D75
44689.DDB0185174	Q54CY2
44689.DDB0231751	Q86IG2
44689.DDB0235378	Q86IJ0
44689.DDB0238133	Q54CQ8
44689.DDB0230125	Q54SC4
44689.DDB0233999	Q54S52
44689.DDB0168944	Q86L54
44689.DDB0201560	Q558W0
44689.DDB0252856	Q54RS2
44689.DDB0252830	Q54JC2
44689.DDB0191701	Q54CG9
44689.DDB0304696	B0G134
44689.DDB0229972	Q54C77
44689.DDB0237662	Q54C11
44689.DDB0233225	Q86HB7
44689.DDB0233248	Q54NK1
44689.DDB0185435	Q54RA4
44689.DDB0229335	Q54R98
44689.DDB0231195	Q54R95
44689.DDB0266920	Q556Z9
44689.DDB0302467	Q54BW1
44689.DDB0217166	Q557K2
44689.DDB0220713	Q54R14
44689.DDB0304859	Q557G4
44689.DDB0252630	Q8T1P1
44689.DDB0233455	Q86K91
44689.DDB0230004	Q54QZ9
44689.DDB0266580	Q54R60
44689.DDB0230144	Q54R37
44689.DDB0229989	Q54R36
44689.DDB0229998	Q54R34
44689.DDB0217168	Q557K0
44689.DDB0220125	Q54BN8
44689.DDB0304851	Q557F7
44689.DDB0304850	Q557F6
44689.DDB0304472	Q54BI3
44689.DDB0238287	Q54QU8
44689.DDB0238779	Q557A2
44689.DDB0304473	Q54QP7
44689.DDB0233711	Q54VI0
44689.DDB0304477	Q54BH5
44689.DDB0229346	Q54BD1
44689.DDB0220694	Q54BA2
44689.DDB0238155	Q54MX8
44689.DDB0183822	Q54EU7
44689.DDB0183845	Q54ES5
44689.DDB0183860	Q54ER0
44689.DDB0217349	Q556R9
44689.DDB0183882	Q54EP1
44689.DDB0183883	Q54EP0
44689.DDB0267140	Q54QG5
44689.DDB0232159	Q54QE8
44689.DDB0183923	Q54EJ6
44689.DDB0231107	Q54B29
44689.DDB0183943	Q54EH4
44689.DDB0183950	Q54EG5
44689.DDB0231281	Q54B48
44689.DDB0203959	Q54UK4
44689.DDB0203961	Q54UK3
44689.DDB0203968	Q54UJ6
44689.DDB0203969	Q54UJ5
44689.DDB0183985	Q54ED5
44689.DDB0238139	Q54UI0
44689.DDB0184006	Q54EB4
44689.DDB0267010	Q556J6
44689.DDB0204017	Q54UF5
44689.DDB0204040	Q54UD4
44689.DDB0204041	Q54UD3
44689.DDB0238659	Q54Q80
44689.DDB0238842	Q556H2
44689.DDB0184080	Q54E43
44689.DDB0234105	B0G195
44689.DDB0204120	Q54U55
44689.DDB0184124	Q54DZ6
44689.DDB0204142	Q54U35
44689.DDB0204160	Q54U16
44689.DDB0302642	Q54SQ3
44689.DDB0230011	Q86KC7
44689.DDB0184208	Q54DQ8
44689.DDB0304357	Q8SSU2
44689.DDB0184227	Q54DP0
44689.DDB0229915	Q54PX0
44689.DDB0204259	Q54TB9
44689.DDB0204264	Q54TB4
44689.DDB0204266	Q54TB2
44689.DDB0304412	Q86J11
44689.DDB0204270	Q54TA7
44689.DDB0204276	Q54TA2
44689.DDB0302630	Q54DJ6
44689.DDB0229925	Q86J25
44689.DDB0184305	Q54DG3
44689.DDB0184337	Q54DC9
44689.DDB0232326	Q54PR7
44689.DDB0184395	Q54D81
44689.DDB0237968	Q86AS0
44689.DDB0184436	Q54D37
44689.DDB0184437	Q54D36
44689.DDB0266823	Q86HT3
44689.DDB0184476	Q54CZ6
44689.DDB0184489	Q54CY3
44689.DDB0231198	Q54PK8
44689.DDB0184510	Q54CW2
44689.DDB0238044	Q869Q0
44689.DDB0302631	Q54TR6
44689.DDB0184563	Q54CT4
44689.DDB0186799	Q54MB1
44689.DDB0230051	Q554L2
44689.DDB0232242	Q554M9
44689.DDB0204619	Q54TK1
44689.DDB0204637	Q54TI3
44689.DDB0204660	Q54TG1
44689.DDB0203216	Q555E8
44689.DDB0266841	Q555L8
44689.DDB0252813	P0CC06
44689.DDB0304359	Q555N6
44689.DDB0204721	Q54UW8
44689.DDB0186172	Q54P72
44689.DDB0302470	Q54P71
44689.DDB0302471	Q54P70
44689.DDB0233285	Q86IV4
44689.DDB0237510	Q86A72
44689.DDB0204788	Q54SG3
44689.DDB0252890	Q54SF4
44689.DDB0204813	Q54SD7
44689.DDB0230007	Q555U5
44689.DDB0205000	Q54RW9
44689.DDB0217592	Q554L3
44689.DDB0167375	Q869Z0
44689.DDB0215085	Q54AV4
44689.DDB0205087	Q54T44
44689.DDB0205088	Q54T43
44689.DDB0215091	Q54AU8
44689.DDB0231412	Q54NS3
44689.DDB0205126	Q54T09
44689.DDB0205128	Q54T07
44689.DDB0205150	Q54SY5
44689.DDB0238386	Q86I43
44689.DDB0235168	B0G125
44689.DDB0235202	Q54ND0
44689.DDB0215240	Q54UQ1
44689.DDB0215247	Q54UP6
44689.DDB0215254	Q54UP0
44689.DDB0215256	Q54UN8
44689.DDB0235261	Q54W06
44689.DDB0302645	Q54RT6
44689.DDB0237706	Q54RS6
44689.DDB0205280	Q54ST6
44689.DDB0215282	Q54XG0
44689.DDB0205306	Q54SR6
44689.DDB0205312	Q54SR0
44689.DDB0218445	Q54RJ6
44689.DDB0235379	Q54Q38
44689.DDB0235395	Q553J1
44689.DDB0230006	Q553T1
44689.DDB0215447	Q54EL1
44689.DDB0215448	Q54EK4
44689.DDB0302626	Q54R75
44689.DDB0302625	Q54R73
44689.DDB0215492	Q54DE9
44689.DDB0167177	Q86A05
44689.DDB0185516	Q54R21
44689.DDB0184497	Q54CX4
44689.DDB0185526	Q54R11
44689.DDB0215530	Q54CM6
44689.DDB0185534	Q54R03
44689.DDB0185536	Q54R00
44689.DDB0185538	Q54QZ8
44689.DDB0185539	Q54QZ7
44689.DDB0232325	Q8MXL9
44689.DDB0305132	Q54C19
44689.DDB0185566	Q54QW9
44689.DDB0185576	Q54QV8
44689.DDB0302634	Q54QU3
44689.DDB0205602	Q54TW5
44689.DDB0215609	Q54LS8
44689.DDB0215617	Q54LQ9
44689.DDB0185621	Q54QR5
44689.DDB0205626	Q54TU3
44689.DDB0185630	Q54QQ6
44689.DDB0215632	Q54LA2
44689.DDB0237901	Q54QQ2
44689.DDB0185639	Q54QP8
44689.DDB0185654	Q54QN4
44689.DDB0185670	Q54QL5
44689.DDB0238817	Q86HG4
44689.DDB0185687	Q54QJ7
44689.DDB0215727	Q54Q02
44689.DDB0215766	Q54KQ1
44689.DDB0215770	Q54KP9
44689.DDB0215781	Q54PB8
44689.DDB0215792	Q54P45
44689.DDB0215793	Q54P25
44689.DDB0231765	Q1ZXL0
44689.DDB0215821	Q54NH7
44689.DDB0220685	Q54MP8
44689.DDB0237881	Q54Q48
44689.DDB0215855	Q54ML2
44689.DDB0231651	Q54MM1
44689.DDB0229938	Q54ML9
44689.DDB0185896	Q54PZ6
44689.DDB0215901	Q54KD2
44689.DDB0217720	Q552S7
44689.DDB0205916	Q54VZ9
44689.DDB0205921	Q54VZ6
44689.DDB0217731	Q552P9
44689.DDB0215934	Q54JQ0
44689.DDB0215938	Q54JM1
44689.DDB0238501	Q54PU6
44689.DDB0215951	Q54GQ9
44689.DDB0205961	Q54WH7
44689.DDB0215966	Q54J24
44689.DDB0218765	Q54MG4
44689.DDB0232083	Q54MG1
44689.DDB0205986	Q54WF4
44689.DDB0185991	Q54PP8
44689.DDB0186008	Q54PN1
44689.DDB0206021	Q54WB8
44689.DDB0206039	Q54V85
44689.DDB0206044	Q54V79
44689.DDB0216048	Q54I54
44689.DDB0206053	Q54V71
44689.DDB0206065	Q54V60
44689.DDB0206090	Q54V36
44689.DDB0186100	Q54PE1
44689.DDB0206116	Q54V15
44689.DDB0186129	Q54PB1
44689.DDB0216140	Q54GV3
44689.DDB0216146	Q54GR1
44689.DDB0186147	Q54P94
44689.DDB0231646	Q86IA1
44689.DDB0186190	Q54P56
44689.DDB0186202	Q54P44
44689.DDB0302496	Q54M29
44689.DDB0186251	Q54NZ2
44689.DDB0186263	Q54NX9
44689.DDB0186304	Q54NT8
44689.DDB0186308	Q54NT4
44689.DDB0304436	Q54LY1
44689.DDB0186335	Q54NQ8
44689.DDB0206342	Q54W62
44689.DDB0186352	Q54NP0
44689.DDB0206358	Q54VY0
44689.DDB0186364	Q54NM7
44689.DDB0216373	Q54ET3
44689.DDB0186386	Q54NK3
44689.DDB0186387	Q54NK2
44689.DDB0216398	Q54E34
44689.DDB0186434	Q54NF3
44689.DDB0206442	Q54VQ0
44689.DDB0206445	Q54VP7
44689.DDB0304464	Q54LR3
44689.DDB0206449	Q54VP3
44689.DDB0186453	Q54NC9
44689.DDB0216457	Q55H65
44689.DDB0229347	Q86HW6
44689.DDB0206463	Q54VN0
44689.DDB0266475	Q54P65
44689.DDB0266476	Q550T1
44689.DDB0219953	Q54LR6
44689.DDB0186488	Q54N95
44689.DDB0186489	Q54N94
44689.DDB0304977	Q54IC5
44689.DDB0304974	Q54N87
44689.DDB0305125	Q54VJ3
44689.DDB0266504	Q54GU5
44689.DDB0266505	Q54GU4
44689.DDB0206510	Q54VI5
44689.DDB0186515	Q54N70
44689.DDB0206520	Q54VH6
44689.DDB0206530	Q54VG6
44689.DDB0186531	Q54N54
44689.DDB0206537	Q54VF9
44689.DDB0216564	Q55FX9
44689.DDB0186568	Q54N19
44689.DDB0186576	Q54N12
44689.DDB0252571	Q55F95
44689.DDB0216600	Q55F67
44689.DDB0186606	Q54MY4
44689.DDB0229378	Q54LH8
44689.DDB0266642	P0C7T1
44689.DDB0266649	P0C7W5
44689.DDB0186650	Q54MT6
44689.DDB0186677	Q54MQ9
44689.DDB0266680	Q54KH2
44689.DDB0232152	Q551A3
44689.DDB0186719	Q54ML8
44689.DDB0167200	Q86IA8
44689.DDB0186747	Q54MI7
44689.DDB0216787	Q55BI0
44689.DDB0186810	Q54MA0
44689.DDB0186832	Q54M75
44689.DDB0216864	Q86AF2
44689.DDB0305105	Q54M38
44689.DDB0233255	Q55EU4
44689.DDB0304437	Q54L52
44689.DDB0186905	Q54LZ8
44689.DDB0216909	Q75JD8
44689.DDB0186915	Q54LY8
44689.DDB0186939	Q54LW3
44689.DDB0305138	Q54LV6
44689.DDB0186953	Q54LU9
44689.DDB0186967	Q54LT5
44689.DDB0186968	Q54LT4
44689.DDB0252861	C7G046
44689.DDB0186982	Q54LS3
44689.DDB0187027	Q54LK8
44689.DDB0167052	Q86HX2
44689.DDB0187062	Q54LH4
44689.DDB0167068	Q86HW0
44689.DDB0231326	Q550K8
44689.DDB0304940	Q54LE8
44689.DDB0305052	Q86HV3
44689.DDB0187118	Q54LB5
44689.DDB0187130	Q54LA3
44689.DDB0187140	Q54L92
44689.DDB0187145	Q54L87
44689.DDB0187146	Q54L86
44689.DDB0167147	Q86IE6
44689.DDB0232324	Q86AF0
44689.DDB0167162	Q86ID5
44689.DDB0187164	Q54L68
44689.DDB0229364	Q76P07
44689.DDB0187319	Q54KQ5
44689.DDB0187187	Q54L43
44689.DDB0187200	Q54L28
44689.DDB0305129	Q54L25
44689.DDB0187206	Q54L22
44689.DDB0167209	Q86H59
44689.DDB0167239	Q86H39
44689.DDB0237657	Q86K46
44689.DDB0167269	Q86HC2
44689.DDB0220637	Q54KL0
44689.DDB0167291	Q86HA0
44689.DDB0187300	Q54KS5
44689.DDB0167311	Q86H87
44689.DDB0167312	Q86H86
44689.DDB0233396	Q54KJ1
44689.DDB0167323	Q86H78
44689.DDB0220710	Q54ZX8
44689.DDB0234000	Q54KF6
44689.DDB0187397	Q54KK8
44689.DDB0187468	Q54KD5
44689.DDB0232091	Q54KD0
44689.DDB0266826	Q86KD0
44689.DDB0187423	Q54KI2
44689.DDB0187431	Q54KH5
44689.DDB0187435	Q54KH0
44689.DDB0187439	Q54KG6
44689.DDB0187452	Q54KF2
44689.DDB0187475	Q54KC7
44689.DDB0187495	Q54KA1
44689.DDB0187503	Q54K93
44689.DDB0167509	Q8T2Q8
44689.DDB0229928	Q8T2U0
44689.DDB0302639	Q86KD3
44689.DDB0187538	Q54K54
44689.DDB0217556	Q86HS5
44689.DDB0187557	Q54K36
44689.DDB0231559	Q1ZXR2
44689.DDB0234212	Q55GN6
44689.DDB0167609	Q86KA2
44689.DDB0217617	Q86I32
44689.DDB0167634	Q869T2
44689.DDB0187638	Q54JU6
44689.DDB0217642	Q86I75
44689.DDB0305049	Q54JR4
44689.DDB0167677	Q86HQ8
44689.DDB0167697	Q86HP9
44689.DDB0187715	Q54JL4
44689.DDB0167720	Q86HN0
44689.DDB0187724	Q54JK5
44689.DDB0187728	Q54JK1
44689.DDB0231623	Q1ZXK1
44689.DDB0189514	Q55GA8
44689.DDB0187748	Q54JI2
44689.DDB0187749	Q54JI1
44689.DDB0304661	Q86HL1
44689.DDB0187752	Q54JH8
44689.DDB0189521	Q55GA0
44689.DDB0217757	Q75JF4
44689.DDB0305054	Q55G98
44689.DDB0217784	Q86JD9
44689.DDB0232013	Q55G75
44689.DDB0167791	Q8MP30
44689.DDB0304540	Q54JD0
44689.DDB0204449	Q54YP8
44689.DDB0187835	Q54J90
44689.DDB0167843	Q86J13
44689.DDB0304377	Q54J58
44689.DDB0232240	Q1ZXE2
44689.DDB0187883	Q54J44
44689.DDB0217886	Q7KWP3
44689.DDB0232937	Q1ZXI3
44689.DDB0167891	Q86IY1
44689.DDB0304438	Q54XG9
44689.DDB0187905	Q54J19
44689.DDB0167911	Q86IW5
44689.DDB0167918	Q86IW1
44689.DDB0167931	Q86IV0
44689.DDB0304956	Q54WN8
44689.DDB0187955	Q54IV8
44689.DDB0233252	Q54JM2
44689.DDB0220692	Q55FT8
44689.DDB0187983	Q54IT1
44689.DDB0230037	Q54YZ5
44689.DDB0188000	Q54IR4
44689.DDB0188002	Q54IR1
44689.DDB0218005	Q86KL7
44689.DDB0231454	Q54VU4
44689.DDB0232314	Q1ZXD9
44689.DDB0188027	Q54IN7
44689.DDB0188028	Q54IN6
44689.DDB0304443	Q54YX3
44689.DDB0188038	Q54IM4
44689.DDB0188040	Q54IM2
44689.DDB0304590	Q54YW4
44689.DDB0229430	Q55FJ6
44689.DDB0184105	Q54E17
44689.DDB0304682	Q54YS0
44689.DDB0188118	Q54IE7
44689.DDB0304484	Q54JD4
44689.DDB0304541	P0C8Z6
44689.DDB0304485	Q54JD2
44689.DDB0304539	Q54JC9
44689.DDB0302644	Q54IB0
44689.DDB0232156	Q55FD6
44689.DDB0218190	Q54WA5
44689.DDB0229454	Q54T06
44689.DDB0188207	Q54I51
44689.DDB0218213	Q54W04
44689.DDB0218232	Q54VI8
44689.DDB0206543	Q54VF4
44689.DDB0238238	Q55FV7
44689.DDB0188252	Q54I08
44689.DDB0304495	Q55GW8
44689.DDB0218268	Q54UR9
44689.DDB0188275	Q54HY7
44689.DDB0218285	Q54UC4
44689.DDB0188288	Q54HX2
44689.DDB0238290	Q86IJ5
44689.DDB0238291	Q86IJ6
44689.DDB0168293	Q7KWY4
44689.DDB0205354	Q54YD2
44689.DDB0204570	Q54TP6
44689.DDB0202677	Q86JB0
44689.DDB0234039	Q55GD2
44689.DDB0205138	Q54SZ6
44689.DDB0218379	Q54SJ4
44689.DDB0188381	Q54HM2
44689.DDB0188382	Q54HM1
44689.DDB0168383	Q86AE7
44689.DDB0229937	Q54QJ8
44689.DDB0168418	Q86JG2
44689.DDB0238420	Q54NV2
44689.DDB0238421	Q54Q24
44689.DDB0168423	Q86JF8
44689.DDB0218433	Q54RM7
44689.DDB0218439	Q54RK6
44689.DDB0188443	Q54HG1
44689.DDB0232346	Q1ZXR0
44689.DDB0168452	Q75JB3
44689.DDB0218453	Q54RG7
44689.DDB0220703	Q54Y18
44689.DDB0252587	Q54IW5
44689.DDB0218483	Q54R69
44689.DDB0168484	Q75JC9
44689.DDB0229294	Q54Y06
44689.DDB0187960	Q54IV4
44689.DDB0218498	Q54R31
44689.DDB0238502	Q54VD7
44689.DDB0218505	Q54R01
44689.DDB0237661	Q54NN4
44689.DDB0168534	Q8T806
44689.DDB0230002	Q55FV5
44689.DDB0168558	Q86I92
44689.DDB0168561	Q86I89
44689.DDB0186632	Q54MV4
44689.DDB0266542	Q86I85
44689.DDB0188570	Q54H11
44689.DDB0188571	Q54H10
44689.DDB0218578	Q54Q42
44689.DDB0168587	Q86JP8
44689.DDB0237903	Q54PY9
44689.DDB0185909	Q54PY5
44689.DDB0188591	Q54GY9
44689.DDB0168592	Q86AH4
44689.DDB0232010	Q54ME0
44689.DDB0218605	Q54PM6
44689.DDB0218624	Q54PE6
44689.DDB0302663	Q54GV8
44689.DDB0252849	Q54YK1
44689.DDB0229432	Q55F45
44689.DDB0231182	Q54LU8
44689.DDB0218649	Q54P08
44689.DDB0229334	Q55F27
44689.DDB0188668	Q54GR3
44689.DDB0188669	Q54GR2
44689.DDB0188672	Q54GQ8
44689.DDB0188681	Q54GP9
44689.DDB0168687	Q86JE4
44689.DDB0188705	Q54GM5
44689.DDB0168707	Q86IM3
44689.DDB0267066	Q55EY1
44689.DDB0168734	Q75JW9
44689.DDB0238738	B0G162
44689.DDB0218739	Q54MW0
44689.DDB0190001	Q55EU7
44689.DDB0218744	Q54MV1
44689.DDB0187509	Q54K87
44689.DDB0188754	Q54GH1
44689.DDB0187556	Q54K37
44689.DDB0218776	Q54MF2
44689.DDB0188777	Q54GE8
44689.DDB0218784	Q54MC9
44689.DDB0218785	Q54MC8
44689.DDB0218793	Q54M74
44689.DDB0302633	Q54GC9
44689.DDB0218800	Q54M23
44689.DDB0218805	Q54LZ2
44689.DDB0305137	Q54LW6
44689.DDB0233254	Q55EN5
44689.DDB0218817	Q54LS0
44689.DDB0206219	Q54XP1
44689.DDB0188826	Q54G96
44689.DDB0206223	Q54XN7
44689.DDB0188290	Q54HX0
44689.DDB0168830	Q86KH4
44689.DDB0168853	Q7KWU5
44689.DDB0168862	Q7KWT8
44689.DDB0218866	Q54L50
44689.DDB0302449	Q86IK1
44689.DDB0188881	Q54G41
44689.DDB0232158	Q54IG2
44689.DDB0218887	Q54KW6
44689.DDB0218896	Q54KT2
