9615.ENSCAFP00000014770	Q5IFP1
9615.ENSCAFP00000036282	J9NS07
9615.ENSCAFP00000036357	J9NS82
9615.ENSCAFP00000040801	J9NSR0
9615.ENSCAFP00000034870	J9NT10
9615.ENSCAFP00000036453	J9NTG8
9615.ENSCAFP00000027557	J9NTJ3
9615.ENSCAFP00000038194	J9NY27
9615.ENSCAFP00000038290	J9NYC2
9615.ENSCAFP00000021366	J9NYG1
9615.ENSCAFP00000038334	J9NYG5
9615.ENSCAFP00000038646	J9NZC6
9615.ENSCAFP00000038682	J9NZG2
9615.ENSCAFP00000038718	J9NZJ8
9615.ENSCAFP00000025949	J9P0C0
9615.ENSCAFP00000039102	J9P0M9
9615.ENSCAFP00000039179	J9P0V6
9615.ENSCAFP00000039507	J9P1T2
9615.ENSCAFP00000040292	J9P413
9615.ENSCAFP00000011333	J9P5G4
9615.ENSCAFP00000041068	J9P5Y8
9615.ENSCAFP00000041175	J9P693
9615.ENSCAFP00000041226	J9P6E4
9615.ENSCAFP00000041478	J9P743
9615.ENSCAFP00000042554	J9P9X1
9615.ENSCAFP00000007828	F1P8H0
9615.ENSCAFP00000024982	F1P911
9615.ENSCAFP00000024133	F1P988
9615.ENSCAFP00000026855	F1PB61
9615.ENSCAFP00000003350	F1PLM0
9615.ENSCAFP00000013918	F1PLN4
9615.ENSCAFP00000001159	F1PLV3
9615.ENSCAFP00000022311	F1PRH1
9615.ENSCAFP00000000164	F1PV95
9615.ENSCAFP00000000129	F1PVD1
9615.ENSCAFP00000028769	F1Q038
9615.ENSCAFP00000035821	J9JH93
9615.ENSCAFP00000036836	J9NUJ7
9615.ENSCAFP00000037018	J9NV26
9615.ENSCAFP00000037189	J9NVJ7
9615.ENSCAFP00000006090	J9NVV6
9615.ENSCAFP00000037729	J9NWR8
9615.ENSCAFP00000037840	J9NX28
9615.ENSCAFP00000037850	J9NX38
9615.ENSCAFP00000037901	J9NX89
9615.ENSCAFP00000017092	J9NXH8
9615.ENSCAFP00000039778	J9P2K1
9615.ENSCAFP00000039923	J9P2Z4
9615.ENSCAFP00000039935	J9P306
9615.ENSCAFP00000040075	J9P3E6
9615.ENSCAFP00000040276	J9P3Z7
9615.ENSCAFP00000040389	J9P4B0
9615.ENSCAFP00000040437	J9P4F8
9615.ENSCAFP00000016094	J9P772
9615.ENSCAFP00000017867	J9P7Y2
9615.ENSCAFP00000041980	J9P8B2
9615.ENSCAFP00000027227	J9P8B7
9615.ENSCAFP00000042004	J9P8D5
9615.ENSCAFP00000042096	J9P8L7
9615.ENSCAFP00000022517	J9P8Q8
9615.ENSCAFP00000042208	J9P8X7
9615.ENSCAFP00000042278	J9P946
9615.ENSCAFP00000028232	J9P9B8
9615.ENSCAFP00000042380	J9P9E7
9615.ENSCAFP00000009304	J9PA53
9615.ENSCAFP00000042893	J9PAR6
9615.ENSCAFP00000042916	J9PAT9
9615.ENSCAFP00000043029	J9PB51
9615.ENSCAFP00000043070	J9PB91
9615.ENSCAFP00000029346	E2R3Y5
9615.ENSCAFP00000029329	E2R5D7
9615.ENSCAFP00000015602	E2R715
9615.ENSCAFP00000019085	E2REQ8
9615.ENSCAFP00000003219	E2RF67
9615.ENSCAFP00000019876	E2RFW1
9615.ENSCAFP00000035073	E2RFY5
9615.ENSCAFP00000022321	E2RH54
9615.ENSCAFP00000014639	E2RLZ8
9615.ENSCAFP00000026899	E2RPJ0
9615.ENSCAFP00000003086	E2RPY7
9615.ENSCAFP00000032477	E2RTC3
9615.ENSCAFP00000024675	E2QS06
9615.ENSCAFP00000029486	E2QSJ1
9615.ENSCAFP00000006083	E2QTH7
9615.ENSCAFP00000004062	E2QUQ3
9615.ENSCAFP00000008903	E2QV84
9615.ENSCAFP00000012102	E2QW56
9615.ENSCAFP00000017124	E2R1V0
9615.ENSCAFP00000022203	E2R3W1
9615.ENSCAFP00000015890	E2R6V5
9615.ENSCAFP00000022787	E2R785
9615.ENSCAFP00000043105	E2R7D0
9615.ENSCAFP00000011456	E2R8W9
9615.ENSCAFP00000033144	E2RB33
9615.ENSCAFP00000001570	E2RC16
9615.ENSCAFP00000032911	E2RCR5
9615.ENSCAFP00000040360	E2RDB4
9615.ENSCAFP00000022673	E2RDZ2
9615.ENSCAFP00000034637	E2RDZ8
9615.ENSCAFP00000003259	E2RF30
9615.ENSCAFP00000026402	E2RHF4
9615.ENSCAFP00000003432	E2RIR1
9615.ENSCAFP00000002123	E2RJM1
9615.ENSCAFP00000022570	E2RJT4
9615.ENSCAFP00000013618	E2RLI2
9615.ENSCAFP00000034200	E2RM11
9615.ENSCAFP00000032783	E2RMB8
9615.ENSCAFP00000027330	E2RMS8
9615.ENSCAFP00000014019	E2RPG5
9615.ENSCAFP00000025277	E2RQK2
9615.ENSCAFP00000001465	E2RRM9
9615.ENSCAFP00000017723	E2RSZ3
9615.ENSCAFP00000011608	Q53CL5
9615.ENSCAFP00000019306	E2RFC9
9615.ENSCAFP00000021277	E2RKK9
9615.ENSCAFP00000019735	E2RMR2
9615.ENSCAFP00000031125	G3FJC8
9615.ENSCAFP00000000718	O98090
9615.ENSCAFP00000001044	F1Q454
9615.ENSCAFP00000028525	Q257A0
9615.ENSCAFP00000004098	Q6JDI0
9615.ENSCAFP00000030319	C4MSW8
9615.ENSCAFP00000030312	C4MSS2
9615.ENSCAFP00000034035	Q45KI9
9615.ENSCAFP00000021648	O18897
9615.ENSCAFP00000025188	Q19KA9
9615.ENSCAFP00000022224	Q95LE9
9615.ENSCAFP00000003591	B3RH25
9615.ENSCAFP00000029249	F6X8W6
9615.ENSCAFP00000004572	H6BA91
9615.ENSCAFP00000033071	X5FV97
9615.ENSCAFP00000013083	E2QZK0
9615.ENSCAFP00000032310	F6V8B5
9615.ENSCAFP00000000345	F6XCU1
9615.ENSCAFP00000037025	F6XQ29
9615.ENSCAFP00000035877	F1PFZ4
9615.ENSCAFP00000010848	F1PRD1
9615.ENSCAFP00000008021	F1PRH5
9615.ENSCAFP00000027074	F1PU30
9615.ENSCAFP00000012323	F1PA16
9615.ENSCAFP00000002953	F1PA57
9615.ENSCAFP00000029709	F1PAP4
9615.ENSCAFP00000012217	F1PAY7
9615.ENSCAFP00000021402	F1PD16
9615.ENSCAFP00000006393	F1PIL3
9615.ENSCAFP00000012041	F1PIV0
9615.ENSCAFP00000032576	F1PL37
9615.ENSCAFP00000031011	F1PMY1
9615.ENSCAFP00000022424	F1PN98
9615.ENSCAFP00000018694	F1PNF3
9615.ENSCAFP00000018690	F1PNF5
9615.ENSCAFP00000010130	F1PQK4
9615.ENSCAFP00000010689	F1PW98
9615.ENSCAFP00000034124	F1PWI9
9615.ENSCAFP00000009334	F1PWZ9
9615.ENSCAFP00000023610	F1PX06
9615.ENSCAFP00000023722	F1Q2L3
9615.ENSCAFP00000016187	F1Q2V6
9615.ENSCAFP00000030319	C4MV74
9615.ENSCAFP00000017867	F1P7C5
9615.ENSCAFP00000023068	F1P7U6
9615.ENSCAFP00000007179	F1PCW0
9615.ENSCAFP00000000208	F1PDB3
9615.ENSCAFP00000021934	F1PDL2
9615.ENSCAFP00000002236	F1PEI8
9615.ENSCAFP00000003440	F1PJS1
9615.ENSCAFP00000013479	F1PK81
9615.ENSCAFP00000008250	F1PKP7
9615.ENSCAFP00000018271	F1PL55
9615.ENSCAFP00000010967	F1PNT9
9615.ENSCAFP00000009965	F1PR80
9615.ENSCAFP00000008535	F1PRD8
9615.ENSCAFP00000020887	F1PRQ8
9615.ENSCAFP00000005106	F1PSV8
9615.ENSCAFP00000028447	F1PXM4
9615.ENSCAFP00000023577	F1PYU9
9615.ENSCAFP00000023573	F1PYV0
9615.ENSCAFP00000023502	F1PZG8
9615.ENSCAFP00000011259	F1Q4H7
9615.ENSCAFP00000005591	A2TC22
9615.ENSCAFP00000028730	E2QXT8
9615.ENSCAFP00000035588	E2R105
9615.ENSCAFP00000011302	E2R1B7
9615.ENSCAFP00000010934	E2QXG8
9615.ENSCAFP00000024332	E2QY09
9615.ENSCAFP00000008897	E2QY44
9615.ENSCAFP00000011354	E2R0D1
9615.ENSCAFP00000027658	G1K2D5
9615.ENSCAFP00000034827	L7N0N7
9615.ENSCAFP00000030532	E2QWK6
9615.ENSCAFP00000028655	J9JH99
9615.ENSCAFP00000017968	J9NRK7
9615.ENSCAFP00000036246	J9NRX1
9615.ENSCAFP00000036306	J9NS31
9615.ENSCAFP00000041878	J9NT26
9615.ENSCAFP00000042785	J9NT71
9615.ENSCAFP00000036385	J9NTA0
9615.ENSCAFP00000027791	J9NUU0
9615.ENSCAFP00000036977	J9NUY7
9615.ENSCAFP00000037064	J9NV72
9615.ENSCAFP00000024479	J9NY67
9615.ENSCAFP00000038417	J9NYP8
9615.ENSCAFP00000010064	J9NZ31
9615.ENSCAFP00000038643	J9NZC3
9615.ENSCAFP00000038779	J9NZQ9
9615.ENSCAFP00000027832	J9P0G0
9615.ENSCAFP00000027607	J9P0I5
9615.ENSCAFP00000005720	J9P0X3
9615.ENSCAFP00000039669	J9P293
9615.ENSCAFP00000039704	J9P2C7
9615.ENSCAFP00000039834	J9P2Q6
9615.ENSCAFP00000028166	J9P2X5
9615.ENSCAFP00000041129	J9P648
9615.ENSCAFP00000041161	J9P679
9615.ENSCAFP00000005322	J9P6D5
9615.ENSCAFP00000041224	J9P6E2
9615.ENSCAFP00000041357	J9P6S4
9615.ENSCAFP00000041737	J9P7U8
9615.ENSCAFP00000015526	J9P7X3
9615.ENSCAFP00000041804	J9P815
9615.ENSCAFP00000017439	J9P8D3
9615.ENSCAFP00000042134	J9P8Q5
9615.ENSCAFP00000042241	J9P909
9615.ENSCAFP00000042281	J9P949
9615.ENSCAFP00000012624	J9P964
9615.ENSCAFP00000042484	J9P9Q1
9615.ENSCAFP00000042834	J9PAK7
9615.ENSCAFP00000043039	J9PB61
9615.ENSCAFP00000024419	F1P8D8
9615.ENSCAFP00000019021	F1PFF0
9615.ENSCAFP00000036658	F1PJ94
9615.ENSCAFP00000018772	F1PLQ9
9615.ENSCAFP00000008981	F1PT85
9615.ENSCAFP00000016769	F1Q058
9615.ENSCAFP00000016137	F1Q3A4
9615.ENSCAFP00000037806	J9NWZ5
9615.ENSCAFP00000009699	J9NXG6
9615.ENSCAFP00000037989	J9NXH6
9615.ENSCAFP00000018460	J9NXR4
9615.ENSCAFP00000040379	J9P4A0
9615.ENSCAFP00000042857	J9PAN0
9615.ENSCAFP00000042875	J9PAP8
9615.ENSCAFP00000000960	J9PB03
9615.ENSCAFP00000001223	E2QT38
9615.ENSCAFP00000030743	E2QYA3
9615.ENSCAFP00000004678	E2R3P9
9615.ENSCAFP00000022621	E2REX2
9615.ENSCAFP00000014776	E2RG21
9615.ENSCAFP00000015327	E2RNQ4
9615.ENSCAFP00000021763	E2RNW8
9615.ENSCAFP00000013893	E2RP59
9615.ENSCAFP00000012755	E2QTF7
9615.ENSCAFP00000012710	E2QTR2
9615.ENSCAFP00000003831	E2QUG6
9615.ENSCAFP00000039802	E2QUJ1
9615.ENSCAFP00000007996	E2QVP0
9615.ENSCAFP00000003791	E2QZB3
9615.ENSCAFP00000000072	E2R065
9615.ENSCAFP00000024580	E2R1H4
9615.ENSCAFP00000042136	E2R329
9615.ENSCAFP00000028117	E2R3A9
9615.ENSCAFP00000000571	E2R3G3
9615.ENSCAFP00000000288	E2R4L6
9615.ENSCAFP00000017357	E2R5E0
9615.ENSCAFP00000028874	E2R6E2
9615.ENSCAFP00000029040	E2R6L2
9615.ENSCAFP00000017027	E2R7M2
9615.ENSCAFP00000000462	E2R8G2
9615.ENSCAFP00000005013	E2R8G9
9615.ENSCAFP00000024163	E2R9H6
9615.ENSCAFP00000021192	E2RAZ6
9615.ENSCAFP00000014807	E2RBC4
9615.ENSCAFP00000018938	E2RBJ5
9615.ENSCAFP00000022144	E2RCJ7
9615.ENSCAFP00000002520	E2RDI3
9615.ENSCAFP00000038672	E2REQ6
9615.ENSCAFP00000015446	E2RHR8
9615.ENSCAFP00000021220	E2RLI9
9615.ENSCAFP00000007211	E2RM33
9615.ENSCAFP00000026340	E2RMA9
9615.ENSCAFP00000027344	E2RMR3
9615.ENSCAFP00000021767	E2RNW6
9615.ENSCAFP00000019442	E2RP03
9615.ENSCAFP00000034473	E2RPM3
9615.ENSCAFP00000022491	E2RPN4
9615.ENSCAFP00000027038	E2RPU8
9615.ENSCAFP00000020651	E2RQV5
9615.ENSCAFP00000018315	E2RQZ9
9615.ENSCAFP00000029892	E2RR26
9615.ENSCAFP00000018207	E2RSI2
9615.ENSCAFP00000025373	E2RSR9
9615.ENSCAFP00000009199	L7N076
9615.ENSCAFP00000030909	G3FJC5
9615.ENSCAFP00000035448	G3FJD1
9615.ENSCAFP00000033599	Q70ZF7
9615.ENSCAFP00000008588	Q1XF13
9615.ENSCAFP00000038815	A0A059WHJ1
9615.ENSCAFP00000030311	A5YN09
9615.ENSCAFP00000010256	Q28285
9615.ENSCAFP00000031533	Q9BG07
9615.ENSCAFP00000018017	Q9GLN3
9615.ENSCAFP00000033807	Q9TR24
9615.ENSCAFP00000023840	H6BA90
9615.ENSCAFP00000042282	D7PBH4
9615.ENSCAFP00000011653	E2QX78
9615.ENSCAFP00000032247	F6UMX6
9615.ENSCAFP00000039004	F6UV93
9615.ENSCAFP00000018070	F6V2Z3
9615.ENSCAFP00000025225	F6ULW3
9615.ENSCAFP00000029555	F6UXF9
9615.ENSCAFP00000042937	F6V533
9615.ENSCAFP00000024316	F6XBK9
9615.ENSCAFP00000037321	F6XBP8
9615.ENSCAFP00000027555	F6XTU7
9615.ENSCAFP00000026506	F1P708
9615.ENSCAFP00000012351	F1P9Y7
9615.ENSCAFP00000024310	F1P9Z8
9615.ENSCAFP00000029152	F1PCI6
9615.ENSCAFP00000027952	F1PJN5
9615.ENSCAFP00000001298	F1PQD3
9615.ENSCAFP00000025095	E2QVM2
9615.ENSCAFP00000017920	F1P6H2
9615.ENSCAFP00000029875	F1P7B1
9615.ENSCAFP00000014411	F1P9K7
9615.ENSCAFP00000033564	F1P9P7
9615.ENSCAFP00000007249	F1PAJ1
9615.ENSCAFP00000007216	F1PB81
9615.ENSCAFP00000031965	F1PCC4
9615.ENSCAFP00000005478	F1PHF7
9615.ENSCAFP00000014084	F1PHP1
9615.ENSCAFP00000014081	F1PHP2
9615.ENSCAFP00000026008	F1PHU2
9615.ENSCAFP00000024312	F1PK02
9615.ENSCAFP00000040625	F1PKJ0
9615.ENSCAFP00000008268	F1PKM4
9615.ENSCAFP00000022535	F1PKQ0
9615.ENSCAFP00000040296	F1PMA5
9615.ENSCAFP00000025819	F1PMN4
9615.ENSCAFP00000022948	F1PNS8
9615.ENSCAFP00000032501	F1PPI4
9615.ENSCAFP00000027707	F1PPS1
9615.ENSCAFP00000038812	F1PQ46
9615.ENSCAFP00000010384	F1PQN9
9615.ENSCAFP00000027117	F1PSC5
9615.ENSCAFP00000028904	F1PWW0
9615.ENSCAFP00000035177	F1PYE2
9615.ENSCAFP00000042407	F1PZE7
9615.ENSCAFP00000009537	F1Q0Z6
9615.ENSCAFP00000021632	F1P808
9615.ENSCAFP00000003684	F1PS63
9615.ENSCAFP00000001216	F1PSV1
9615.ENSCAFP00000032006	F1PZB5
9615.ENSCAFP00000028005	F2Y8F1
9615.ENSCAFP00000027615	H9GWI5
9615.ENSCAFP00000030320	H8Y2C7
9615.ENSCAFP00000030315	H8Y358
9615.ENSCAFP00000030487	B8PZS9
9615.ENSCAFP00000019904	E2QWT2
9615.ENSCAFP00000016742	E2QXX7
9615.ENSCAFP00000016497	E2QY58
9615.ENSCAFP00000037591	E2QYE9
9615.ENSCAFP00000017455	E2QYQ6
9615.ENSCAFP00000023842	E2R0Q3
9615.ENSCAFP00000011609	E2QY29
9615.ENSCAFP00000013457	M9PNF4
9615.ENSCAFP00000001295	Q5TJG0
9615.ENSCAFP00000035370	Q6IT81
9615.ENSCAFP00000036123	J9NRJ9
9615.ENSCAFP00000006565	J9NRR9
9615.ENSCAFP00000036220	J9NRU5
9615.ENSCAFP00000036221	J9NRU6
9615.ENSCAFP00000036268	J9NRZ3
9615.ENSCAFP00000037681	J9NSK0
9615.ENSCAFP00000036386	J9NTA1
9615.ENSCAFP00000036494	J9NTK9
9615.ENSCAFP00000036558	J9NTS3
9615.ENSCAFP00000023057	J9NTT5
9615.ENSCAFP00000036577	J9NTU1
9615.ENSCAFP00000036820	J9NUI1
9615.ENSCAFP00000036858	J9NUL9
9615.ENSCAFP00000012172	J9NUR9
9615.ENSCAFP00000037224	J9NVN2
9615.ENSCAFP00000037243	J9NVQ1
9615.ENSCAFP00000037524	J9NWH9
9615.ENSCAFP00000038244	J9NY76
9615.ENSCAFP00000038478	J9NYV8
9615.ENSCAFP00000004445	J9NZW4
9615.ENSCAFP00000018892	J9P054
9615.ENSCAFP00000038975	J9P0A3
9615.ENSCAFP00000039063	J9P0J0
9615.ENSCAFP00000039468	J9P1P3
9615.ENSCAFP00000006330	J9P2A2
9615.ENSCAFP00000040177	J9P3P8
9615.ENSCAFP00000037725	J9P4G9
9615.ENSCAFP00000040856	J9P5C9
9615.ENSCAFP00000041027	J9P5U7
9615.ENSCAFP00000041227	J9P5V3
9615.ENSCAFP00000041078	J9P5Z8
9615.ENSCAFP00000041301	J9P6L8
9615.ENSCAFP00000041562	J9P7C5
9615.ENSCAFP00000041681	J9P7P2
9615.ENSCAFP00000026210	J9P7Z6
9615.ENSCAFP00000042418	J9P9I5
9615.ENSCAFP00000042997	J9PB19
9615.ENSCAFP00000043002	J9PB24
9615.ENSCAFP00000043089	J9PBB0
9615.ENSCAFP00000043136	J9PBF7
9615.ENSCAFP00000043157	J9PBH7
9615.ENSCAFP00000043220	J9PBN8
9615.ENSCAFP00000005853	F1P853
9615.ENSCAFP00000000330	F1PA25
9615.ENSCAFP00000031429	F1PEZ4
9615.ENSCAFP00000029108	F1PF09
9615.ENSCAFP00000007590	F1PFA9
9615.ENSCAFP00000019026	F1PFF1
9615.ENSCAFP00000000662	F1PGJ3
9615.ENSCAFP00000018743	F1PLS1
9615.ENSCAFP00000013160	F1PTP2
9615.ENSCAFP00000016908	F1PXD7
9615.ENSCAFP00000035888	J9JHF9
9615.ENSCAFP00000037393	J9NW49
9615.ENSCAFP00000037394	J9NW50
9615.ENSCAFP00000037499	J9NWF4
9615.ENSCAFP00000037541	J9NWJ6
9615.ENSCAFP00000037759	J9NWU8
9615.ENSCAFP00000012585	J9NXB3
9615.ENSCAFP00000028814	J9P322
9615.ENSCAFP00000040060	J9P3D1
9615.ENSCAFP00000040128	J9P3J9
9615.ENSCAFP00000040343	J9P464
9615.ENSCAFP00000040394	J9P4B5
9615.ENSCAFP00000027486	J9P8Z6
9615.ENSCAFP00000042414	J9P9I1
9615.ENSCAFP00000039481	J9P9Z5
9615.ENSCAFP00000021471	J9PB08
9615.ENSCAFP00000027187	J9PB52
9615.ENSCAFP00000043086	J9PBA7
9615.ENSCAFP00000030321	U3M014
9615.ENSCAFP00000008511	A8CX01
9615.ENSCAFP00000001225	E2QT37
9615.ENSCAFP00000009210	E2R423
9615.ENSCAFP00000004154	E2R469
9615.ENSCAFP00000000539	E2R4C5
9615.ENSCAFP00000027600	E2R656
9615.ENSCAFP00000014217	E2RDT3
9615.ENSCAFP00000003278	E2REA3
9615.ENSCAFP00000018748	E2RM92
9615.ENSCAFP00000013379	E2RSX8
9615.ENSCAFP00000004266	F1Q1K8
9615.ENSCAFP00000015804	F6K2E7
9615.ENSCAFP00000007696	Q3S3W5
9615.ENSCAFP00000001171	Q9GIW2
9615.ENSCAFP00000013268	E2QST0
9615.ENSCAFP00000028296	E2QVE6
9615.ENSCAFP00000025009	E2R0I6
9615.ENSCAFP00000017129	E2R1U5
9615.ENSCAFP00000028906	E2R2E9
9615.ENSCAFP00000004620	E2R4Q0
9615.ENSCAFP00000016394	E2R4X2
9615.ENSCAFP00000005376	E2R5G1
9615.ENSCAFP00000008475	E2R869
9615.ENSCAFP00000026836	E2RA65
9615.ENSCAFP00000022491	E2RA75
9615.ENSCAFP00000026808	E2RAE4
9615.ENSCAFP00000026554	E2RBH7
9615.ENSCAFP00000013553	E2RBX8
9615.ENSCAFP00000005907	E2RCV6
9615.ENSCAFP00000014527	E2RDC2
9615.ENSCAFP00000002283	E2RDN3
9615.ENSCAFP00000039305	E2REU3
9615.ENSCAFP00000021623	E2RFB9
9615.ENSCAFP00000018851	E2RGA8
9615.ENSCAFP00000020800	E2RJH4
9615.ENSCAFP00000030192	E2RJQ8
9615.ENSCAFP00000015163	E2RJX9
9615.ENSCAFP00000007549	E2RJZ7
9615.ENSCAFP00000002925	E2RLR1
9615.ENSCAFP00000018767	E2RM63
9615.ENSCAFP00000019494	E2RN04
9615.ENSCAFP00000014313	E2RP10
9615.ENSCAFP00000006442	E2RP95
9615.ENSCAFP00000041258	E2RP97
9615.ENSCAFP00000029655	E2RQG5
9615.ENSCAFP00000031936	E2RQL3
9615.ENSCAFP00000013453	E2RRI3
9615.ENSCAFP00000035561	E2RS50
9615.ENSCAFP00000025329	E2RT10
9615.ENSCAFP00000025303	E2RT47
9615.ENSCAFP00000011941	L7N0A5
9615.ENSCAFP00000025752	L7N0H7
9615.ENSCAFP00000019768	F1PAC4
9615.ENSCAFP00000026303	F1PC16
9615.ENSCAFP00000019682	F1PCR3
9615.ENSCAFP00000005665	F1PD47
9615.ENSCAFP00000000718	F1PE32
9615.ENSCAFP00000024386	F1PGQ7
9615.ENSCAFP00000010025	F1PKU9
9615.ENSCAFP00000022328	F1PQT7
9615.ENSCAFP00000010310	F1PRJ5
9615.ENSCAFP00000015057	F1PU57
9615.ENSCAFP00000006473	F1PUA9
9615.ENSCAFP00000034666	F1PVI7
9615.ENSCAFP00000006969	F1PVP2
9615.ENSCAFP00000018926	F1PVR6
9615.ENSCAFP00000004093	F1PX79
9615.ENSCAFP00000028027	F1PXA2
9615.ENSCAFP00000019990	F1PXV0
9615.ENSCAFP00000023962	F1PZM0
9615.ENSCAFP00000028656	F1Q1E1
9615.ENSCAFP00000016251	F1Q1J6
9615.ENSCAFP00000023781	F1Q255
9615.ENSCAFP00000028174	F1Q2T4
9615.ENSCAFP00000030415	F1Q3B6
9615.ENSCAFP00000025049	F1Q3J7
9615.ENSCAFP00000004557	F1Q3N7
9615.ENSCAFP00000006239	H9GW83
9615.ENSCAFP00000018167	Q09XK4
9615.ENSCAFP00000030321	C4MT22
9615.ENSCAFP00000033377	Q9MZV4
9615.ENSCAFP00000010962	E2QWJ3
9615.ENSCAFP00000030703	E2R012
9615.ENSCAFP00000016415	E2R038
9615.ENSCAFP00000023059	F1P8I5
9615.ENSCAFP00000000859	F1PBJ5
9615.ENSCAFP00000021369	F1PEQ0
9615.ENSCAFP00000019023	F1PFF3
9615.ENSCAFP00000035926	J9JHJ6
9615.ENSCAFP00000036317	J9NS42
9615.ENSCAFP00000036401	J9NTB6
9615.ENSCAFP00000037355	J9NW11
9615.ENSCAFP00000037792	J9NWY1
9615.ENSCAFP00000038035	J9NXM2
9615.ENSCAFP00000035848	J9NZQ6
9615.ENSCAFP00000000987	J9P4N1
9615.ENSCAFP00000041935	J9P868
9615.ENSCAFP00000007587	F1PFC6
9615.ENSCAFP00000017040	F1PFV5
9615.ENSCAFP00000021867	F1PG04
9615.ENSCAFP00000027388	F1PLG1
9615.ENSCAFP00000035150	F1PYH8
9615.ENSCAFP00000004330	F1Q0B3
9615.ENSCAFP00000037326	J9JHF2
9615.ENSCAFP00000033623	J9JHN7
9615.ENSCAFP00000010304	J9JHY8
9615.ENSCAFP00000036132	J9NRK8
9615.ENSCAFP00000036158	J9NRN4
9615.ENSCAFP00000010211	J9NT95
9615.ENSCAFP00000031561	J9NTD6
9615.ENSCAFP00000024184	J9NTH8
9615.ENSCAFP00000036801	J9NUG2
9615.ENSCAFP00000016793	J9NUP2
9615.ENSCAFP00000036941	J9NUV1
9615.ENSCAFP00000014907	J9NV51
9615.ENSCAFP00000037924	J9NXB2
9615.ENSCAFP00000038387	J9NYL8
9615.ENSCAFP00000038541	J9NZ21
9615.ENSCAFP00000000112	J9NZL3
9615.ENSCAFP00000038933	J9P061
9615.ENSCAFP00000038990	J9P0B8
9615.ENSCAFP00000007777	J9P0V4
9615.ENSCAFP00000039366	J9P1E2
9615.ENSCAFP00000019434	J9P2S0
9615.ENSCAFP00000039950	J9P321
9615.ENSCAFP00000040079	J9P3F0
9615.ENSCAFP00000040790	J9P5B2
9615.ENSCAFP00000040877	J9P5F0
9615.ENSCAFP00000029146	J9P5T5
9615.ENSCAFP00000036016	J9P6V8
9615.ENSCAFP00000041432	J9P6Z8
9615.ENSCAFP00000042151	J9P8S1
9615.ENSCAFP00000022196	J9P9U4
9615.ENSCAFP00000042880	J9PAQ3
9615.ENSCAFP00000024870	J9PAY9
9615.ENSCAFP00000043048	J9PB70
9615.ENSCAFP00000043203	J9PBM2
9615.ENSCAFP00000002025	E2RA08
9615.ENSCAFP00000042710	E2RMF0
9615.ENSCAFP00000001164	Q30438
9615.ENSCAFP00000016776	Q6ULQ6
9615.ENSCAFP00000041680	Q6W6W3
9615.ENSCAFP00000028744	E2QX24
9615.ENSCAFP00000032248	F6UMW5
9615.ENSCAFP00000031879	F6US63
9615.ENSCAFP00000017564	F6UYK7
9615.ENSCAFP00000017488	F6V2H2
9615.ENSCAFP00000027846	F6Y016
9615.ENSCAFP00000035144	F6Y1W5
9615.ENSCAFP00000009837	F6Y385
9615.ENSCAFP00000006929	Q670P7
9615.ENSCAFP00000033155	F1P6G8
9615.ENSCAFP00000000906	F1P9W5
9615.ENSCAFP00000007775	F1PB06
9615.ENSCAFP00000026359	F1PBA8
9615.ENSCAFP00000033491	F1PC46
9615.ENSCAFP00000014741	F1PEG7
9615.ENSCAFP00000002131	F1PGE1
9615.ENSCAFP00000005232	F1PGN4
9615.ENSCAFP00000026052	F1PHP5
9615.ENSCAFP00000021731	F1PI93
9615.ENSCAFP00000027433	F1PJ13
9615.ENSCAFP00000031125	F1PKK6
9615.ENSCAFP00000015291	F1PP07
9615.ENSCAFP00000023828	F1Q0Z4
9615.ENSCAFP00000025096	E2QSP8
9615.ENSCAFP00000018042	E2QTJ8
9615.ENSCAFP00000036507	E2QUL5
9615.ENSCAFP00000019998	E2QUU1
9615.ENSCAFP00000037006	E2QWB3
9615.ENSCAFP00000028617	E2R3P0
9615.ENSCAFP00000041138	E2RB21
9615.ENSCAFP00000006838	E2RHD2
9615.ENSCAFP00000033536	E2RK56
9615.ENSCAFP00000008246	E2RLM7
9615.ENSCAFP00000010292	E2RLX1
9615.ENSCAFP00000002657	E2RM24
9615.ENSCAFP00000019787	E2RMK6
9615.ENSCAFP00000014310	E2RP11
9615.ENSCAFP00000029984	E2RPE3
9615.ENSCAFP00000022484	E2RPQ6
9615.ENSCAFP00000013308	E2RT83
9615.ENSCAFP00000001330	E2RT86
9615.ENSCAFP00000010611	Q6JDM5
9615.ENSCAFP00000024629	E2QS76
9615.ENSCAFP00000027655	E2R550
9615.ENSCAFP00000023272	E2R594
9615.ENSCAFP00000009483	E2R5R1
9615.ENSCAFP00000023259	E2R634
9615.ENSCAFP00000028859	E2R6F4
9615.ENSCAFP00000015876	E2R6Y5
9615.ENSCAFP00000012487	E2R7D2
9615.ENSCAFP00000027497	E2RFU3
9615.ENSCAFP00000018837	E2RGE1
9615.ENSCAFP00000010001	E2RJ82
9615.ENSCAFP00000036842	E2RKN2
9615.ENSCAFP00000010573	E2RKS7
9615.ENSCAFP00000003103	E2RKZ7
9615.ENSCAFP00000018761	E2RM71
9615.ENSCAFP00000027022	E2RPX4
9615.ENSCAFP00000033098	E2RR60
9615.ENSCAFP00000024976	E2RRW3
9615.ENSCAFP00000029741	E2RSP4
