283166.BH00340	Q6G581
283166.BH12950	X5LWJ3
283166.BH00090	X5M5D4
283166.BH12050	X5M8C4
283166.BH06350	X5MF79
283166.BH07450	X5MFK2
283166.BH04100	X5MGI1
283166.BH12080	X5M5F5
283166.BH12760	X5M0A1
283166.BH10520	X5M7D4
283166.BH11310	X5M869
283166.BH04950	X5MGN1
283166.BH10360	X5MFX1
283166.BH03990	X5LLJ8
283166.BH14700	X5MIB4
283166.BH14290	X5M8W3
283166.BH13950	X5MGJ8
283166.BH04180	X5LSK6
283166.BH05090	X5M315
283166.BH02390	X5M373
283166.BH05150	X5M3U3
283166.BH16230	X5M6I3
283166.BH10200	X5M7X3
283166.BH10410	X5MFX3
283166.BH00100	X5ME31
283166.BH06230	X5LM62
283166.BH15470	X5M971
283166.BH10760	X5MFZ2
283166.BH00170	X5LKH2
283166.BH02490	X5MGB1
283166.BH08140	X5LZL9
283166.BH04740	X5M663
283166.BH11370	X5M875
283166.BH15910	X5MIF8
283166.BH05900	X5LVF9
283166.BH14950	X5M0Q2
283166.BH01950	X5LL43
283166.BH16280	X5M6I6
283166.BH11890	X5M8B4
283166.BH05760	X5LZ29
283166.BH01580	X5LYB1
283166.BH01780	X5M335
283166.BH03660	X5MGG1
283166.BH02180	X5M357
283166.BH02700	X5M607
283166.BH07150	X5M6X9
283166.BH12290	X5MG95
283166.BH05700	X5MGS3
283166.BH06960	X5MH56
283166.BH12070	X5MHZ2
283166.BH02290	X5LYF7
283166.BH07420	X5M725
283166.BH12450	X5M8F3
283166.BH02370	X5MEH1
283166.BH01110	X5M2Z4
283166.BH02910	X5M626
283166.BH02730	X5MGC6
283166.BH00810	X5M2X4
283166.BH10930	X5LZZ9
283166.BH02860	X5M2M4
283166.BH02140	X5LYE7
283166.BH05620	X5LZ22
283166.BH15120	X5MID1
283166.BH12730	X5LNP6
283166.BH07650	X5MFL2
283166.BH09670	X5M7T4
283166.BH06950	X5M701
283166.BH10270	X5MHP1
283166.BH12510	X5M8F6
283166.BH16010	X5LUW5
283166.BH08220	X5LVS2
283166.BH14360	X5M0K6
283166.BH16550	X5M6K0
283166.BH05170	X5M6M5
283166.BH05430	X5MF20
283166.BH10850	X5MHS2
283166.BH12170	X5M7R1
283166.BH10440	X5LN33
283166.BH11920	X5LU23
283166.BH00490	X5M267
283166.BH10900	X5MFZ9
283166.BH00510	X5MG06
283166.BH04970	X5M6J2
283166.BH08410	X5M7J8
283166.BH05540	X5LVD5
283166.BH00890	X5LUB5
283166.BH16510	X5M0X6
283166.BH03970	X5M5Z1
283166.BH13820	X5M4T3
283166.BH15090	X5MID0
283166.BH04280	X5LSL2
283166.BH03290	X5M3C1
283166.BH00580	X5M5G4
283166.BH03980	X5M696
283166.BH07440	X5M7A4
283166.BH11160	X5M855
283166.BH07000	X5MFI5
283166.BH06070	X5MGU5
283166.BH00390	X5MG01
283166.BH08660	X5LZQ5
283166.BH08310	X5LZN4
283166.BH16130	X5MIG5
283166.BH16270	X5MIH0
283166.BH14670	X5MGN5
283166.BH14580	X5M0M1
283166.BH12260	X5M4G2
283166.BH10480	X5M560
283166.BH14740	X5M659
283166.BH14920	X5MGQ2
283166.BH06310	X5MGV8
283166.BH07660	X5M3K9
283166.BH13960	X5MI90
283166.BH08470	X5MFR0
283166.BH01720	X5MG67
283166.BH06320	X5M422
283166.BH00190	X5LRT1
283166.BH13120	X5M5Q9
283166.BH14070	X5M8U2
283166.BH06060	X5MF58
283166.BH11860	X5MG65
283166.BH16670	X5MH06
283166.BH08740	X5MHH1
283166.BH00910	X5LRY3
283166.BH05310	X5LZ06
283166.BH09390	X5M4D7
283166.BH16700	X5M0Y5
283166.BH06860	X5MGG2
283166.BH02900	X5M3D6
283166.BH11020	X5M587
283166.BH10660	X5MFY4
283166.BH02120	X5MG91
283166.BH10320	X5MHP4
283166.BH07970	X5LZL3
283166.BH11610	X5M5C1
283166.BH10600	X5M811
283166.BH15430	X5M968
283166.BH02170	X5MG93
283166.BH15210	X5LWV3
283166.BH00820	X5LRX6
283166.BH03480	X5LYM6
283166.BH08980	X5LZS3
283166.BH03270	X5MEM1
283166.BH12840	X5MI35
283166.BH08830	X5M726
283166.BH04000	X5LV14
283166.BH07040	X5M461
283166.BH05180	X5MGP8
283166.BH08280	X5MFP9
283166.BH08730	X5MFS2
283166.BH10950	X5MG02
283166.BH00270	X5LY43
283166.BH14130	X5M4V5
283166.BH11700	X5MHX2
283166.BH06370	X5M425
283166.BH08910	X5LZS0
283166.BH08320	X5M7J0
283166.BH09660	X5LMX0
283166.BH07530	X5LT88
283166.BH14060	X5M0J0
283166.BH07150	X5M469
283166.BH14890	X5M676
283166.BH16370	X5MGZ1
283166.BH08070	X5MHC7
283166.BH10730	X5MHR5
283166.BH14800	X5M502
283166.BH15030	X5M941
283166.BH02620	X5M5Z8
283166.BH10500	X5M800
283166.BH10160	X5MHN5
283166.BH06420	X5M428
283166.BH06270	X5M419
283166.BH01440	X5M5N9
283166.BH12560	X5MGB0
283166.BH14000	X5MGK1
283166.BH16630	X5MH04
283166.BH01620	X5M327
283166.BH08130	X5M4N1
283166.BH14980	X5MGR1
283166.BH14010	X5MI91
283166.BH14530	X5MIA6
283166.BH01530	X5M2E8
283166.BH04170	X5M610
283166.BH00860	X5M2X8
283166.BH14910	X5M934
283166.BH07450	X5LVN3
283166.BH14750	X5M0N5
283166.BH09390	X5M7Q0
283166.BH08520	X5MFR2
283166.BH06920	X5MH54
283166.BH10570	X5MHQ9
283166.BH11430	X5MHV9
283166.BH00840	X5ME67
283166.BH15970	X5LPJ1
283166.BH01360	X5LUG3
283166.BH11390	X5M493
283166.BH11240	X5M599
283166.BH12270	X5M7S1
283166.BH08630	X5MFR7
283166.BH00900	X5MG24
283166.BH08890	X5MHI0
283166.BH11010	X5MHT3
283166.BH11110	X5MHT9
283166.BH12710	X5MGB6
283166.BH04340	X5LLM6
283166.BH05160	X5LYZ8
283166.BH02470	X5MEH7
283166.BH11080	X5M007
283166.BH14470	X5M629
283166.BH09640	X5MHK8
283166.BH11350	X5MHV2
283166.BH05080	X5LV98
283166.BH15050	X5LWU5
283166.BH00440	X5ME51
283166.BH04780	X5M3P9
283166.BH06150	X5M6U0
283166.BH03530	X5LYN0
283166.BH11320	X5MG29
283166.BH07470	X5M729
283166.BH14860	X5M921
283166.BH16520	X5M9C8
283166.BH08580	X5MHG1
283166.BH14190	X5MI97
283166.BH06630	X5M3E6
283166.BH04830	X5M3Q5
283166.BH05220	X5LLV6
283166.BH00200	X5M2U0
283166.BH13850	X5M8S1
283166.BH09650	X5M513
283166.BH12470	X5MI17
283166.BH03670	X5M3F0
283166.BH05250	X5LZ04
283166.BH07890	X5M3M2
283166.BH05030	X5MEY4
283166.BH10070	X5M539
283166.BH02680	X5LSB3
283166.BH12980	X5M0C3
283166.BH13460	X5M0G1
283166.BH02080	X5M352
283166.BH03920	X5M3G7
283166.BH10860	X5M578
283166.BH09470	X5MGZ8
283166.BH13900	X5MGJ5
283166.BH06190	X5LZ43
283166.BH14790	X5MIB8
283166.BH01910	X5LUM7
283166.BH08450	X5LZP1
283166.BH00590	X5ME57
283166.BH00690	X5ME61
283166.BH08250	X5M4P6
283166.BH09770	X5LVZ2
283166.BH11550	X5LWA2
283166.BH12150	X5LWE1
283166.BH12900	X5M0B5
283166.BH09570	X5M3W4
283166.BH14900	X5M8C3
283166.BH02320	X5MGA2
283166.BH05290	X5MGQ0
283166.BH08290	X5MHE1
283166.BH14300	X5MIA1
283166.BH01250	X5LY93
283166.BH06380	X5LZ55
283166.BH07510	X5LZA5
283166.BH08260	X5LZM9
283166.BH12230	X5LU55
283166.BH05050	X5M3S6
283166.BH04700	X5M6G7
283166.BH07150	X5MFJ4
283166.BH12140	X5MG85
283166.BH05020	X5LLT6
283166.BH10170	X5LTP3
283166.BH06390	X5M3C3
283166.BH15260	X5M955
283166.BH09730	X5MFV2
283166.BH04300	X5MGJ3
283166.BH06170	X5MGU9
283166.BH04020	X5LYR3
283166.BH02710	X5MEJ9
283166.BH00450	X5LRV1
283166.BH01170	X5LY87
283166.BH10350	X5M7Y8
283166.BH05190	X5M323
283166.BH11720	X5M5C9
283166.BH14490	X5M8X8
283166.BH09680	X5MFV0
283166.BH08500	X5LMP2
283166.BH15290	X5M0R9
283166.BH00640	X5ME59
283166.BH05810	X5LZ31
283166.BH12970	X5M5P1
283166.BH08510	X5M7K8
283166.BH11460	X5M881
283166.BH13890	X5M8S7
283166.BH16420	X5M9C2
283166.BH03450	X5MGF1
283166.BH07720	X5M3L3
283166.BH08210	X5LZM7
283166.BH03870	X5LYQ5
283166.BH04620	X5LYV9
283166.BH05450	X5M3W5
283166.BH07680	X5LZH9
283166.BH09540	X5LZT4
283166.BH10810	X5LN57
283166.BH04360	X5M3L1
283166.BH00180	X5M5D8
283166.BH15810	X5M6F5
283166.BH07620	X5M742
283166.BH15350	X5M964
283166.BH05330	X5MF13
283166.BH10150	X5MFW2
283166.BH01430	X5LYA1
283166.BH15020	X5M0Q3
283166.BH15600	X5M0T4
283166.BH06930	X5M6R5
283166.BH05130	X5MEZ7
283166.BH02590	X5MGB7
283166.BH04530	X5LSN0
283166.BH10050	X5M7W0
283166.BH06410	X5MGW8
283166.BH11930	X5MHY5
283166.BH01900	X5M5S5
283166.BH01120	X5LY85
283166.BH03580	X5LYN5
283166.BH05890	X5M3Z6
283166.BH09500	X5M3E3
283166.BH05780	X5MF43
283166.BH02380	X5MGA5
283166.BH06260	X5MGV5
283166.BH07720	X5MH96
283166.BH08640	X5MHG5
283166.BH11410	X5M877
283166.BH03830	X5M684
283166.BH03410	X5M5T9
283166.BH11300	X5M019
283166.BH10540	X5LZY2
283166.BH08900	X5M4W6
283166.BH06050	X5M6T1
283166.BH05980	X5MF55
283166.BH01310	X5LKV1
283166.BH16180	X5LUY2
283166.BH10240	X5LZX0
283166.BH11570	X5M037
283166.BH01570	X5M324
283166.BH16530	X5MGZ9
283166.BH01690	X5M2G7
283166.BH13120	X5MI56
283166.BH05720	X5LZ27
283166.BH01000	X5MG30
283166.BH02650	X5LUS5
283166.BH04030	X5M6A1
283166.BH06210	X5MF69
283166.BH05520	X5MGR0
283166.BH07920	X5LZL0
283166.BH16080	X5MIG3
283166.BH02500	X5M5L9
283166.BH06140	X5LZ40
283166.BH15250	X5M0R4
283166.BH10490	X5LZX9
283166.BH00530	X5M5G0
283166.BH06200	X5M6U4
283166.BH07840	X5M758
283166.BH09860	X5M7U7
283166.BH04910	X5MGM8
283166.BH05500	X5LZ15
283166.BH00210	X5LY41
283166.BH08350	X5LZN6
283166.BH05630	X5M6Q2
283166.BH10470	X5M7D0
283166.BH08370	X5MFQ4
283166.BH03960	X5M2S6
283166.BH01050	X5MG32
283166.BH15170	X5MGS2
283166.BH07150	X5M766
283166.BH04600	X5MGK9
283166.BH02450	X5LSA2
283166.BH06080	X5M406
283166.BH00560	X5LKL9
283166.BH08540	X5M4S9
283166.BH12060	X5MG78
283166.BH12340	X5MG98
283166.BH12330	X5M8E5
283166.BH04660	X5MEW0
283166.BH05350	X5M3V9
283166.BH16140	X5M6H7
283166.BH00550	X5MG08
283166.BH04670	X5MGL1
283166.BH02230	X5M361
283166.BH09470	X5LZT2
283166.BH14690	X5LP59
283166.BH10590	X5LZY5
283166.BH15340	X5M0S0
283166.BH10580	X5M567
283166.BH13200	X5MGF2
283166.BH04990	X5MGN4
283166.BH05210	X5LST9
283166.BH13140	X5M0D7
283166.BH05400	X5M338
283166.BH15130	X5M6A3
283166.BH07540	X5M7B4
283166.BH10890	X5M832
283166.BH01650	X5LS56
283166.BH00340	X5LY47
283166.BH11990	X5M061
283166.BH02410	X5M5X8
283166.BH02210	X5LUP4
283166.BH03490	X5M657
283166.BH14100	X5M0J3
283166.BH04930	X5M6I9
283166.BH11850	X5M8B0
283166.BH06760	X5MF96
283166.BH05950	X5M3Z9
283166.BH07630	X5LT94
283166.BH13980	X5M0I7
283166.BH05970	X5M385
283166.BH08950	X5M4X0
283166.BH10420	X5M7C7
283166.BH10650	X5M816
283166.BH09740	X5MHL3
283166.BH10390	X5LZX6
283166.BH15960	X5LUW0
283166.BH12160	X5M4F3
283166.BH05650	X5MGS0
283166.BH02070	X5MG88
283166.BH02350	X5LS96
283166.BH05960	X5LVG1
283166.BH16100	X5M0V5
283166.BH04010	X5M2T0
283166.BH00160	X5MFY9
283166.BH00250	X5MFZ3
283166.BH07440	X5MH15
283166.BH14110	X5M8U8
283166.BH12410	X5MGA1
283166.BH10620	X5MHR2
283166.BH10450	X5M7Z6
283166.BH00800	X5MG19
283166.BH13090	X5MI54
283166.BH14880	X5MIC1
283166.BH07830	X5LZC4
283166.BH10180	X5LN11
283166.BH11250	X5M017
283166.BH00460	X5M2V4
283166.BH06470	X5M431
283166.BH13880	X5M5Y1
283166.BH16470	X5LX35
283166.BH16220	X5MIG8
283166.BH02280	X5M365
283166.BH08700	X5M4U4
283166.BH03790	X5MEQ3
283166.BH13180	X5MI59
283166.BH02310	X5LUQ1
283166.BH04850	X5MEX2
283166.BH03540	X5LSG6
283166.BH10340	X5LZX4
283166.BH02030	X5M348
283166.BH11670	X5M4B1
283166.BH12910	X5M8J1
283166.BH08780	X5MFS4
283166.BH10000	X5MFV7
283166.BH14180	X5MGL2
283166.BH15870	X5M0U7
283166.BH02240	X5LYF4
283166.BH12350	X5MI11
283166.BH14460	X5MIA5
283166.BH04250	X5MGJ0
283166.BH09710	X5LMX5
283166.BH11690	X5LU05
283166.BH12890	X5LWJ0
283166.BH06500	X5M6X4
283166.BH10110	X5M7A3
283166.BH09560	X5MFU3
283166.BH14090	X5M601
283166.BH12780	X5LU92
283166.BH14600	X5LWS3
283166.BH12360	X5M5I5
283166.BH00320	X5LRU4
283166.BH06100	X5M393
283166.BH01860	X5MG77
283166.BH01610	X5MG61
283166.BH01920	X5M2H9
283166.BH14040	X5M5Z6
283166.BH08270	X5M7I5
283166.BH14730	X5M904
283166.BH04500	X5MGK5
283166.BH00770	X5LY68
283166.BH10750	X5LZY9
283166.BH15490	X5M8H5
283166.BH09760	X5LMY0
283166.BH10980	X5LN72
283166.BH08840	X5LTG2
283166.BH09700	X5M519
283166.BH01260	X5M5M1
283166.BH08770	X5M7M9
283166.BH10400	X5M7Z2
283166.BH03280	X5MGE2
283166.BH01850	X5LUM5
283166.BH00480	X5LY52
283166.BH16030	X5MIG1
283166.BH15780	X5M8J6
283166.BH12960	X5M8J8
283166.BH01290	X5M306
283166.BH04580	X5M6F7
283166.BH05120	X5M6M1
283166.BH06290	X5M6V3
283166.BH00780	X5M5I1
283166.BH01010	X5M2Y8
283166.BH08760	X5LVV0
283166.BH03680	X5LYP2
283166.BH01790	X5LYC3
283166.BH05060	X5LYY9
283166.BH05830	X5MF47
283166.BH06220	X5MGV2
283166.BH10970	X5M584
283166.BH01740	X5LYC0
283166.BH02880	X5MEL0
283166.BH06670	X5M6Y7
283166.BH01350	X5LY97
283166.BH12700	X5M8G9
283166.BH05990	X5MGU1
283166.BH09470	X5LZE6
283166.BH00070	X5M2T1
283166.BH07560	X5M3K4
283166.BH10430	X5M558
283166.BH03360	X5M647
283166.BH05520	X5MF25
283166.BH11750	X5MG60
283166.BH04720	X5MGL4
283166.BH08090	X5LMK6
283166.BH15140	X5M0Q9
283166.BH13190	X5M0E0
283166.BH00360	X5M260
283166.BH05660	X5M3Y0
283166.BH03780	X5M681
283166.BH05640	X5MF34
283166.BH05040	X5MGN7
283166.BH13840	X5M0H6
283166.BH05380	X5LLW8
283166.BH14690	X5M0M7
283166.BH01980	X5M346
283166.BH15460	X5M0S7
283166.BH12440	X5M085
283166.BH00660	X5M2W6
283166.BH04560	X5M3N0
283166.BH07220	X5M4E0
283166.BH04480	X5M6E8
283166.BH14760	X5M909
283166.BH16120	X5MGX2
283166.BH12420	X5M4J2
283166.BH15230	X5MID3
283166.BH07630	X5LZH5
283166.BH04920	X5M3R5
283166.BH07610	X5MH91
283166.BH02250	X5M5W0
283166.BH11150	X5M010
283166.BH15200	X5M0R2
283166.BH14620	X5M645
283166.BH08620	X5M7L6
283166.BH07050	X5LZ85
283166.BH01400	X5M312
283166.BH12210	X5M4F7
283166.BH12820	X5M8I5
283166.BH00410	X5LY50
283166.BH02090	X5LYE4
283166.BH02660	X5MEJ4
283166.BH01970	X5MG81
283166.BH14720	X5M0N2
283166.BH11580	X5M888
283166.BH03510	X5MGF4
283166.BH10010	X5MHM6
283166.BH07020	X5M4C9
283166.BH11000	X5MG05
283166.BH11830	X5M5D5
283166.BH11420	X5MG36
283166.BH12030	X5M5F2
283166.BH04440	X5MEU7
283166.BH06770	X5M6P9
283166.BH07680	X5LT96
283166.BH13480	X5MGH6
283166.BH16410	X5M0X0
283166.BH03840	X5MEQ6
283166.BH16050	X5M8L5
283166.BH12040	X5M064
283166.BH00830	X5LKP4
283166.BH10230	X5M547
283166.BH15120	X5M947
283166.BH15880	X5M994
283166.BH11640	X5MG54
283166.BH00080	X5LU52
283166.BH03930	X5LYQ8
283166.BH08060	X5MFN7
283166.BH14450	X5MGM3
283166.BH11770	X5LWB3
283166.BH02360	X5M5X1
283166.BH15190	X5M6A6
283166.BH06510	X5M6M4
283166.BH06550	X5MF91
283166.BH09780	X5MFV3
283166.BH11100	X5MG14
283166.BH01630	X5LYB3
283166.BH04900	X5MEX6
283166.BH00400	X5M2V1
283166.BH13920	X5M5Y6
283166.BH04060	X5M2T2
283166.BH15480	X5M571
283166.BH02550	X5M5M3
283166.BH11540	X5MG42
283166.BH03800	X5MGG5
283166.BH12850	X5M5M8
283166.BH04080	X5M6A7
283166.BH09830	X5MHL7
283166.BH15420	X5LPE1
283166.BH02160	X5MEF9
283166.BH16440	X5MIH5
283166.BH10880	X5LZZ6
283166.BH10460	X5M430
283166.BH07420	X5M4F1
283166.BH11090	X5M848
283166.BH09070	X5MFL6
283166.BH04860	X5MGM4
283166.BH08690	X5MHG8
283166.BH11180	X5MHU3
283166.BH08240	X5MHD7
283166.BH11230	X5MHU6
283166.BH02760	X5M612
283166.BH09930	X5LZV8
283166.BH06180	X5M411
283166.BH15770	X5M0U2
283166.BH04810	X5MEW9
283166.BH01770	X5LL27
283166.BH04350	X5LV38
283166.BH10290	X5LZX2
283166.BH10610	X5M443
283166.BH06730	X5M472
283166.BH02520	X5M5Y8
283166.BH15280	X5M6B5
283166.BH15920	X5M6G1
283166.BH16300	X5M9B7
283166.BH06400	X5MF81
283166.BH10310	X5MFW9
283166.BH04550	X5MGK7
283166.BH09960	X5MHM4
283166.BH01890	X5LYC9
283166.BH04520	X5LYV3
283166.BH16000	X5M0V1
283166.BH12860	X5LWI8
283166.BH08440	X5M4R9
283166.BH04070	X5LYR8
283166.BH05860	X5LZ32
283166.BH02260	X5LUP8
283166.BH05460	X5M6C7
283166.BH01090	X5LKS3
283166.BH08050	X5LVR2
283166.BH05000	X5M3S3
283166.BH16250	X5M9B4
283166.BH15790	X5MGW1
283166.BH07000	X5LT71
283166.BH05360	X5LZ09
283166.BH05480	X5LLX8
283166.BH16450	X5LV05
283166.BH02740	X5M397
283166.BH14480	X5M4X5
283166.BH09840	X5M529
283166.BH10380	X5M555
283166.BH08170	X5M7H6
283166.BH16430	X5MGZ3
283166.BH02400	X5LYG2
283166.BH00380	X5ME48
283166.BH13870	X5MI85
283166.BH00760	X5M2X2
283166.BH16200	X5LX19
283166.BH05670	X5LZ24
283166.BH14550	X5M8Y2
283166.BH05730	X5MF40
283166.BH06300	X5MF76
283166.BH01810	X5MG73
283166.BH04320	X5LYT8
283166.BH15270	X5MID5
283166.BH08810	X5LZR3
283166.BH16560	X5M0X8
283166.BH04680	X5M3P0
283166.BH11810	X5MG62
283166.BH08490	X5M4S5
283166.BH15990	X5M6G5
283166.BH00130	X5LY36
283166.BH15510	X5M0T0
283166.BH01600	X5MEC4
283166.BH02010	X5MEF0
283166.BH13490	X5MI75
283166.BH13810	X5MGI8
283166.BH06850	X5MFA4
283166.BH04820	X5MGM2
283166.BH12930	X5MI42
283166.BH10990	X5M841
283166.BH01230	X5M2B9
283166.BH05850	X5M3Z3
283166.BH11940	X5M5E2
283166.BH12430	X5M7V4
283166.BH16060	X5M9A2
283166.BH10070	X5MHM9
283166.BH06340	X5M6V8
283166.BH00950	X5M2Y5
283166.BH14420	X5M4X1
283166.BH15240	X5M6B0
283166.BH05100	X5M3T1
283166.BH02900	X5M3B0
283166.BH06120	X5MGU7
283166.BH07210	X5MH08
283166.BH00500	X5ME53
283166.BH08340	X5LTD5
283166.BH07650	X5M496
283166.BH14660	X5M8Z2
283166.BH00940	X5MG27
283166.BH06890	X5LZ77
283166.BH01220	X5ME96
283166.BH14930	X5MIC5
283166.BH05770	X5M6R3
283166.BH02300	X5LL71
283166.BH07020	X5LVL8
283166.BH14410	X5M623
283166.BH04390	X5LLN1
283166.BH15450	X5LUS4
283166.BH06960	X5LVL6
283166.BH11730	X5M046
283166.BH03810	X5M2R8
283166.BH01870	X5M341
283166.BH00730	X5M5H6
283166.BH06820	X5M770
283166.BH14690	X5M8Z7
283166.BH01240	X5M304
283166.BH15890	X5MGW5
283166.BH16540	X5MIH9
283166.BH01320	X5MEA3
283166.BH13970	X5M5Z2
283166.BH05200	X5LZ02
283166.BH16580	X5MH02
283166.BH00280	X5M5E3
283166.BH04890	X5M6I5
283166.BH14380	X5M8W9
283166.BH16660	X5M9D9
283166.BH07850	X5MFG0
283166.BH01020	X5LKR8
283166.BH02920	X5MEL4
283166.BH07620	X5M4G5
283166.BH02000	X5M5T3
283166.BH13230	X5LNU5
283166.BH02600	X5M386
283166.BH08600	X5M4T5
283166.BH00140	X5M5D6
283166.BH00260	X5LKI3
283166.BH11790	X5M049
283166.BH08800	X5M4V6
283166.BH01540	X5M5Q0
283166.BH11960	X5M8B6
283166.BH00310	X5M518
283166.BH03760	X5M5X0
283166.BH12870	X5MI38
283166.BH00870	X5LY72
283166.BH14710	X5M655
283166.BH11870	X5M5D9
283166.BH08680	X5MFR9
283166.BH06240	X5LVH3
283166.BH07580	X5LZH2
283166.BH12320	X5LU65
283166.BH16090	X5M6H4
283166.BH06160	X5MF65
283166.BH05740	X5MGS6
283166.BH10130	X5LN07
283166.BH04200	X5LV26
283166.BH13220	X5M0E5
283166.BH04260	X5M3K2
283166.BH13570	X5M5V6
283166.BH12180	X5M8D4
283166.BH12990	X5M8K2
283166.BH08330	X5MHE4
283166.BH02530	X5MEI1
283166.BH01040	X5M2A2
283166.BH00330	X5LKJ4
283166.BH11400	X5M027
283166.BH07470	X5M4F5
283166.BH11070	X5M591
283166.BH14200	X5M608
283166.BH04370	X5LYU2
283166.BH04330	X5M6D3
283166.BH03860	X5M3G3
283166.BH06920	X5M3H2
283166.BH10330	X5M553
283166.BH03940	X5M692
283166.BH01660	X5MG64
283166.BH04130	X5LSK2
283166.BH05320	X5LSU5
283166.BH03310	X5M642
283166.BH07790	X5M754
283166.BH16620	X5M9D4
283166.BH05270	X5MF09
283166.BH16070	X5MGX0
283166.BH05530	X5M3X1
283166.BH08650	X5M4U0
283166.BH01410	X5M5N3
283166.BH04840	X5M6I0
283166.BH16390	X5MIH3
283166.BH07230	X5M6T0
283166.BH03950	X5MER2
283166.BH16490	X5MIH7
283166.BH02220	X5MG96
283166.BH10960	X5MHS8
283166.BH03820	X5LYQ0
283166.BH15820	X5M5A1
283166.BH01370	X5MEA7
283166.BH04540	X5MEV4
283166.BH16400	X5M6J1
283166.BH14940	X5M689
283166.BH09950	X5MFV6
283166.BH01830	X5LYC7
283166.BH04270	X5LYT3
283166.BH11880	X5M056
283166.BH04210	X5M3J7
283166.BH00710	X5M2W9
283166.BH01160	X5M2Z8
283166.BH02460	X5M5Y3
283166.BH08870	X5M7N9
283166.BH09850	X5LZV5
283166.BH05370	X5M6N8
283166.BH08920	X5M7P3
283166.BH00980	X5M5J6
283166.BH08180	X5MFP5
283166.BH05710	X5M3Y4
283166.BH01930	X5M343
283166.BH15070	X5M944
283166.BH08460	X5M7K3
283166.BH08850	X5M4W2
283166.BH16170	X5MGX5
283166.BH16480	X5MGZ6
283166.BH13640	X5M8Q7
283166.BH06110	X5MF62
283166.BH04450	X5MGK2
283166.BH07560	X5MH89
283166.BH02420	X5MEH4
283166.BH01270	X5ME99
283166.BH05820	X5M6R6
283166.BH08720	X5M7M5
283166.BH15310	X5MGT4
283166.BH15530	X5MIE5
283166.BH15320	X5MID7
283166.BH13940	X5M8T2
283166.BH05390	X5MGQ4
283166.BH01140	X5ME90
283166.BH01190	X5M301
283166.BH15080	X5MGR7
283166.BH09820	X5MFV4
283166.BH01150	X5MG38
283166.BH08750	X5M4V1
283166.BH01590	X5M5Q4
283166.BH00740	X5ME63
283166.BH04870	X5M3R0
283166.BH08820	X5M7N5
283166.BH08160	X5M4N6
283166.BH02190	X5LYF1
283166.BH01210	X5M5L6
283166.BH04400	X5MGJ9
283166.BH11820	X5MHX9
283166.BH05840	X5MGT1
283166.BH10560	X5MFX9
283166.BH14810	X5M0N8
283166.BH01840	X5M5S0
283166.BH10220	X5MHN8
283166.BH11170	X5MG18
283166.BH05340	X5MGQ1
283166.BH00520	X5M2V8
283166.BH16690	X5M6K8
283166.BH04310	X5M3K7
283166.BH10510	X5MFX7
283166.BH11760	X5MHX5
283166.BH04150	X5MGI3
283166.BH10630	X5M569
283166.BH06250	X5M6U9
283166.BH08360	X5M7J4
283166.BH08930	X5MFT2
283166.BH10210	X5MFW5
283166.BH14840	X5M669
283166.BH11200	X5M014
283166.BH09970	X5M534
283166.BH08150	X5MHD1
283166.BH04790	X5LYW8
283166.BH11290	X5M5A2
283166.BH01080	X5LY82
283166.BH07530	X5LZG8
283166.BH15620	X5MGV4
283166.BH08200	X5M4P1
283166.BH10920	X5M581
283166.BH08480	X5MHF4
283166.BH08380	X5MHE7
283166.BH16190	X5M0W0
283166.BH13530	X5M0G4
283166.BH12480	X5M4J7
283166.BH04880	X5LYX5
283166.BH15410	X5M6C5
283166.BH02100	X5M5U3
283166.BH02630	X5M390
283166.BH06280	X5LZ48
283166.BH13310	X5MI66
283166.BH00020	X5M2S8
283166.BH15830	X5M991
283166.BH12380	X5M082
283166.BH14850	X5M0P2
283166.BH16640	X5MII3
283166.BH01640	X5M5Q8
283166.BH10120	X5M542
283166.BH02580	X5MEI6
283166.BH05590	X5MF31
283166.BH01940	X5LYD3
283166.BH02610	X5LYH5
283166.BH11260	X5M865
283166.BH09800	X5M525
283166.BH13610	X5M0H0
283166.BH11620	X5M039
283166.BH01390	X5MG49
283166.BH11140	X5M593
283166.BH16570	X5M9D1
283166.BH00650	X5MG12
283166.BH04430	X5M6E2
283166.BH15850	X5MIF6
283166.BH06460	X5MGX4
283166.BH11220	X5MG22
283166.BH01200	X5LY91
283166.BH02950	X5LYK4
283166.BH04410	X5M3L5
283166.BH10740	X5M573
283166.BH16350	X5M0W8
283166.BH15330	X5M6B9
283166.BH05070	X5M6K4
283166.BH01560	X5MG58
283166.BH00750	X5MG16
283166.BH05260	X5M6N2
283166.BH02130	X5M355
283166.BH01990	X5LYD6
283166.BH00850	X5MG21
283166.BH05410	X5LZ11
283166.BH04380	X5M6D7
283166.BH08190	X5MHD4
283166.BH00240	X5ME40
283166.BH04420	X5LYU5
283166.BH12400	X5M8F0
283166.BH02690	X5LYI4
283166.BH08530	X5MHF8
283166.BH04240	X5MET4
283166.BH15370	X5M0S3
283166.BH04800	X5M6H5
283166.BH04980	X5MEY2
283166.BH11590	X5MG48
283166.BH15060	X5M0Q6
283166.BH05600	X5MGR6
283166.BH08670	X5M7M0
283166.BH11210	X5M861
283166.BH13330	X5M0F2
283166.BH12830	X5MGC4
283166.BH08990	X5M7P7
283166.BH05110	X5LYZ2
283166.BH05920	X5MF53
