267671.LIC10846	Q72U18
267671.LIC12760	Q72NR9
267671.LIC12429	Q72PN9
267671.LIC11902	Q72R47
267671.LIC10245	Q72VQ1
267671.LIC10149	Q72VZ4
267671.LIC11823	Q72RC3
267671.LIC12018	Q72QU1
267671.LIC10104	Q72W36
267671.LIC12299	Q72Q15
267671.LIC11138	Q72T83
267671.LIC12419	Q72PP9
267671.LIC13243	Q72ME5
267671.LIC13238	Q72MF0
267671.LIC12333	Q72PY4
267671.LIC11744	Q72RK1
267671.LIC13303	Q72M87
267671.LIC10534	Q72UX3
267671.LIC11467	Q72SB7
267671.LIC12248	Q3V896
267671.LIC13130	Q72MR3
267671.LIC12205	Q72QA7
267671.LIC10606	Q72UQ1
267671.LIC10463	Q72V40
267671.LIC13086	Q72MV3
267671.LIC13056	Q72MY3
267671.LIC10793	Q72U69
267671.LIC10354	Q72VE4
267671.LIC10280	Q72VL7
267671.LIC12642	Q72P34
267671.LIC11233	Q72SY9
267671.LIC10090	Q72W50
267671.LIC10055	Q72W82
267671.LIC12569	Q72PA5
267671.LIC13359	Q72M32
267671.LIC11892	Q72R56
267671.LIC11664	Q72RS6
267671.LIC13450	Q72MJ4
267671.LIC12292	Q72Q22
267671.LIC12122	Q72QJ1
267671.LIC11714	Q72RN1
267671.LIC10640	Q72UL7
267671.LIC13196	Q72MJ7
267671.LIC12726	Q72NV3
267671.LIC11204	Q72T17
267671.LIC20169	Q75FL3
267671.LIC20111	Q75FS0
267671.LIC20035	Q75G29
267671.LIC12563	Q72PA9
267671.LIC10519	Q72UY4
267671.LIC11843	Q72RA5
267671.LIC11187	Q72T34
267671.LIC13346	Q72M45
267671.LIC10567	Q72UU0
267671.LIC10278	Q72VL9
267671.LIC20041	Q75FZ0
267671.LIC12912	Q72NC2
267671.LIC12834	Q72NK0
267671.LIC12470	Q72PK1
267671.LIC12656	Q72P20
267671.LIC11139	Q72T82
267671.LIC12876	Q72NF8
267671.LIC13095	Q72MU4
267671.LIC11216	Q72T06
267671.LIC11157	Q72T64
267671.LIC13024	Q72N14
267671.LIC12450	Q72PM0
267671.LIC10269	Q72VM8
267671.LIC12355	Q72PW2
267671.LIC12780	Q72NQ2
267671.LIC10384	Q72VB7
267671.LIC11505	Q72S79
267671.LIC10250	Q72VP6
267671.LIC11255	Q72SW7
267671.LIC10260	Q72VN6
267671.LIC20218	Q75FH1
267671.LIC11386	Q72SJ6
267671.LIC12995	Q72N43
267671.LIC11607	Q72RY1
267671.LIC12692	Q72NY6
267671.LIC12199	Q72QB3
267671.LIC11496	Q72S88
267671.LIC11048	Q72TH3
267671.LIC10958	Q72TQ9
267671.LIC10736	Q72UC3
267671.LIC10230	Q72VR6
267671.LIC10037	Q72WA0
267671.LIC10686	Q72UH1
267671.LIC20143	Q75FN9
267671.LIC11122	Q72T99
267671.LIC11929	Q72R22
267671.LIC13304	Q72M86
267671.LIC13022	Q72N16
267671.LIC11313	Q72SR2
267671.LIC20055	Q75FX6
267671.LIC13281	Q72MA7
267671.LIC13255	Q72MD3
267671.LIC12935	Q72NA1
267671.LIC12905	Q72NC9
267671.LIC12362	Q72PV5
267671.LIC10360	Q72VD8
267671.LIC20084	Q75FU7
267671.LIC12023	Q72QT6
267671.LIC11854	Q72R94
267671.LIC10930	Q72TT7
267671.LIC11750	Q72RJ5
267671.LIC10994	Q72TM3
267671.LIC10183	Q72VW3
267671.LIC12822	Q72NL2
267671.LIC12609	Q72P67
267671.LIC12484	Q72PI7
267671.LIC12591	Q72P84
267671.LIC10486	Q72V17
267671.LIC10306	Q72VJ1
267671.LIC10652	Q72UK5
267671.LIC12890	Q72NE4
267671.LIC11861	Q72R87
267671.LIC11526	Q72S60
267671.LIC11136	Q72T85
267671.LIC20045	Q75FY6
267671.LIC11608	Q72RY0
267671.LIC20161	Q75FM1
267671.LIC11793	Q72RF2
267671.LIC20103	Q75FS8
267671.LIC12306	Q72Q09
267671.LIC12011	Q72QU7
267671.LIC10731	Q72UC8
267671.LIC11657	Q72RT3
267671.LIC11288	Q72ST6
267671.LIC12899	Q72ND5
267671.LIC13082	Q72MV7
267671.LIC13029	Q72N09
267671.LIC11609	Q72RX9
267671.LIC11400	Q72SI2
267671.LIC11328	Q72SP7
267671.LIC10481	Q72V22
267671.LIC11979	Q72QX9
267671.LIC11422	Q72SG1
267671.LIC13373	Q72M18
267671.LIC12309	Q72Q06
267671.LIC12262	Q72Q51
267671.LIC12155	Q72QF7
267671.LIC11946	Q72R06
267671.LIC11258	Q72SW4
267671.LIC11188	Q72T33
267671.LIC11131	Q72T90
267671.LIC10983	Q72TN4
267671.LIC10944	Q72TS3
267671.LIC10812	Q72U52
267671.LIC12984	Q72N54
267671.LIC12821	Q72NL3
267671.LIC12815	Q72NL8
267671.LIC11778	Q72RG7
267671.LIC11433	Q72SF0
267671.LIC10701	Q72UF6
267671.LIC13426	Q72LW7
267671.LIC13397	Q72LZ6
267671.LIC13351	Q72M40
267671.LIC13118	Q72MS4
267671.LIC12940	Q72N96
267671.LIC12928	Q72NA8
267671.LIC12878	Q72NF6
267671.LIC12789	Q72NP3
267671.LIC12614	Q72P62
267671.LIC12511	Q72PG0
267671.LIC12140	Q72QH3
267671.LIC11827	Q72RB9
267671.LIC11797	Q72RE8
267671.LIC11569	Q72S18
267671.LIC11490	Q72S94
267671.LIC11475	Q72SA9
267671.LIC11448	Q72SD5
267671.LIC11312	Q72SR3
267671.LIC11254	Q72SW8
267671.LIC11146	Q72T75
267671.LIC10735	Q72UC4
267671.LIC10095	Q72W45
267671.LIC13319	Q72M71
267671.LIC12888	Q72NE6
267671.LIC12735	Q72NU4
267671.LIC12386	Q72PT1
267671.LIC12066	Q72QP7
267671.LIC11800	Q72RE5
267671.LIC11678	Q72RR4
267671.LIC11631	Q72RV7
267671.LIC11616	Q72RX2
267671.LIC11584	Q72S03
267671.LIC11366	Q72SL3
267671.LIC11250	Q72SX2
267671.LIC11189	Q72T32
267671.LIC10861	Q72U03
267671.LIC10838	Q72U26
267671.LIC10837	Q72U27
267671.LIC10629	Q72UM8
267671.LIC13418	Q72LX5
267671.LIC13125	Q72MR8
267671.LIC11517	Q72S69
267671.LIC12394	Q72PS3
267671.LIC11045	Q72TH6
267671.LIC12303	Q72Q11
267671.LIC11734	Q72RL1
267671.LIC11183	Q72T38
267671.LIC12413	Q72PQ5
267671.LIC13147	Q72MP6
267671.LIC12981	Q72N57
267671.LIC12914	Q72NC0
267671.LIC12043	Q72QR9
267671.LIC11984	Q72QX4
267671.LIC11981	Q72QX7
267671.LIC11571	Q72S16
267671.LIC11192	Q72T29
267671.LIC11070	Q72TF1
267671.LIC10789	Q72U73
267671.LIC10171	Q72VX4
267671.LIC13306	Q72M84
267671.LIC10061	Q72W76
267671.LIC20256	Q75FD8
267671.LIC20058	Q75FX3
267671.LIC20020	Q75FZ5
267671.LIC10711	Q72UE6
267671.LIC13374	Q72P14
267671.LIC13424	Q72LW9
267671.LIC10649	Q72UK8
267671.LIC11515	Q72S71
267671.LIC10880	Q72TY4
267671.LIC11528	Q72S58
267671.LIC13313	Q72M77
267671.LIC13101	Q72MU1
267671.LIC13037	Q72N02
267671.LIC12796	Q72NN6
267671.LIC12236	Q72Q76
267671.LIC11927	Q72R24
267671.LIC11887	Q72R61
267671.LIC10892	Q72TX2
267671.LIC13261	Q72MC7
267671.LIC13188	Q72MK5
267671.LIC10070	Q72W67
267671.LIC20212	Q75FH7
267671.LIC13236	Q72MF2
267671.LIC12143	Q72QH0
267671.LIC11227	Q72SZ5
267671.LIC12538	Q72PD3
267671.LIC12063	Q72QQ0
267671.LIC11635	Q72RV3
267671.LIC11755	Q72RJ0
267671.LIC10724	Q72UD3
267671.LIC10043	Q72W94
267671.LIC13434	Q72LV9
267671.LIC13339	Q72M52
267671.LIC13088	Q72MV1
267671.LIC12468	Q72PK3
267671.LIC12019	Q72QU0
267671.LIC11565	Q72S22
267671.LIC10916	Q72TV0
267671.LIC10715	Q72UE2
267671.LIC13254	Q72MD4
267671.LIC10553	Q72UV4
267671.LIC10480	Q72V23
267671.LIC20123	Q75FQ9
267671.LIC12745	Q72NT4
267671.LIC11134	Q72T87
267671.LIC20082	Q75FU9
267671.LIC13148	Q72MP5
267671.LIC13083	Q72MV6
267671.LIC12433	Q72PN5
267671.LIC12319	Q72PZ6
267671.LIC12000	Q72QV8
267671.LIC11444	Q72SD9
267671.LIC11334	Q72SP3
267671.LIC11261	Q72SW1
267671.LIC11177	Q72T44
267671.LIC11124	Q72T97
267671.LIC11043	Q72TH8
267671.LIC13181	Q72ML2
267671.LIC10344	Q72VF3
267671.LIC10258	Q72VN8
267671.LIC10172	Q72VX3
267671.LIC20225	Q75FG4
267671.LIC10189	Q72VV7
267671.LIC13314	Q72M76
267671.LIC12204	Q72QA8
267671.LIC10758	Q72UA3
267671.LIC13141	Q72MQ2
267671.LIC11423	Q72SG0
267671.LIC12387	Q72PT0
267671.LIC11996	Q72QW2
267671.LIC10572	Q72UT5
267671.LIC10304	Q72VJ3
267671.LIC11315	Q72SR0
267671.LIC10026	Q72WB1
267671.LIC10287	Q72VL0
267671.LIC10282	Q72VL5
267671.LIC20233	Q75FF7
267671.LIC20071	Q75FW0
267671.LIC12558	Q72PB4
267671.LIC11497	Q72S87
267671.LIC10804	Q72U60
267671.LIC13441	Q72LV2
267671.LIC13425	Q72LW8
267671.LIC13371	Q72M20
267671.LIC13362	Q72M29
267671.LIC12775	Q72NQ5
267671.LIC12209	Q72QA3
267671.LIC12160	Q72QF2
267671.LIC12138	Q72QH5
267671.LIC11619	Q72RW9
267671.LIC11545	Q72S41
267671.LIC11000	Q72TL7
267671.LIC10491	Q72V12
267671.LIC20110	Q75FS1
267671.LIC10767	Q72U94
267671.LIC10217	Q72VS9
267671.LIC11924	Q72R27
267671.LIC13363	Q72M28
267671.LIC13051	Q72MY8
267671.LIC12237	Q72Q75
267671.LIC12191	Q72QC1
267671.LIC11988	Q72QX0
267671.LIC11955	Q72QZ7
267671.LIC11948	Q72R04
267671.LIC11875	Q72R73
267671.LIC11808	Q72RD8
267671.LIC11566	Q72S21
267671.LIC11214	Q72T08
267671.LIC11110	Q72TB1
267671.LIC11087	Q72TD4
267671.LIC10933	Q72TT4
267671.LIC10885	Q72TX9
267671.LIC10826	Q72U38
267671.LIC10659	Q72UJ8
267671.LIC13408	Q72LY5
267671.LIC13340	Q72M51
267671.LIC13059	Q72MY0
267671.LIC12802	Q72NN0
267671.LIC11757	Q72RI8
267671.LIC11662	Q72RS8
267671.LIC11489	Q72S95
267671.LIC11427	Q72SF6
267671.LIC10836	Q72U28
267671.LIC10416	Q72V85
267671.LIC13347	Q72M44
267671.LIC13027	Q72N11
267671.LIC12766	Q72NR3
267671.LIC12673	Q72P04
267671.LIC12628	Q72P48
267671.LIC12464	Q72PK7
267671.LIC12233	Q72Q79
267671.LIC12177	Q72QD5
267671.LIC12087	Q72QM6
267671.LIC11998	Q72QW0
267671.LIC11989	Q72QW9
267671.LIC11682	Q72RR2
267671.LIC11668	Q72RS4
267671.LIC11610	Q72RX8
267671.LIC11519	Q72S67
267671.LIC11359	Q72SM0
267671.LIC11166	Q72T55
267671.LIC10777	Q72U84
267671.LIC10657	Q72UK0
267671.LIC10604	Q72UQ3
267671.LIC11447	Q72SD6
267671.LIC13214	Q72MH3
267671.LIC12882	Q72NF2
267671.LIC11636	Q72RV2
267671.LIC12270	Q72Q43
267671.LIC10923	Q72TU3
267671.LIC10505	Q72UZ8
267671.LIC13288	Q72MA0
267671.LIC13167	Q72MM6
267671.LIC10511	Q72UZ2
267671.LIC10503	Q72V00
267671.LIC10442	Q72V60
267671.LIC10436	Q72V66
267671.LIC10420	Q72V81
267671.LIC10338	Q72VF9
267671.LIC10274	Q72VM3
267671.LIC10248	Q72VP8
267671.LIC10236	Q72VR0
267671.LIC10127	Q72W14
267671.LIC10062	Q72W75
267671.LIC10011	Q72WC6
267671.LIC20251	Q75FE3
267671.LIC20117	Q75FR5
267671.LIC20105	Q75FS6
267671.LIC13272	Q72MB6
267671.LIC10581	Q72US6
267671.LIC10325	Q72VH2
267671.LIC10303	Q72VJ4
267671.LIC20149	Q75FN3
267671.LIC20102	Q75FS9
267671.LIC20076	Q75FV5
267671.LIC12717	Q72NW1
267671.LIC12524	Q72PE7
267671.LIC12324	Q72PZ1
267671.LIC10895	Q72TW9
267671.LIC11874	Q72R74
267671.LIC10707	Q72UF0
267671.LIC10407	Q72V94
267671.LIC10394	Q72VA7
267671.LIC10212	Q72VT4
267671.LIC10170	Q72VX5
267671.LIC20175	Q75FK7
267671.LIC20152	Q75FN0
267671.LIC20130	Q75FQ2
267671.LIC13195	Q72MJ8
267671.LIC10596	Q72UR1
267671.LIC10588	Q72UR9
267671.LIC10176	Q72VW9
267671.LIC10143	Q72VZ8
267671.LIC10134	Q72W07
267671.LIC10495	Q72V08
267671.LIC10421	Q72V80
267671.LIC10414	Q72V87
267671.LIC10263	Q72VN3
267671.LIC20220	Q75FG9
267671.LIC20134	Q75FP8
267671.LIC20087	Q75FU4
267671.LIC20078	Q75FV3
267671.LIC13224	Q72MG3
267671.LIC10580	Q72US7
267671.LIC10522	Q72UY1
267671.LIC10012	Q72WC5
267671.LIC20146	Q75FN6
267671.LIC10513	Q72UZ0
267671.LIC20201	Q75G21
267671.LIC13392	Q72M01
267671.LIC12150	Q72QG3
267671.LIC10167	Q72VX8
267671.LIC13263	Q72MC5
267671.LIC10578	Q72US9
267671.LIC10568	Q72UT9
267671.LIC10333	Q72VG4
267671.LIC10308	Q72VI9
267671.LIC13307	Q72M83
267671.LIC10557	Q72UV0
267671.LIC10182	Q72VW4
267671.LIC10049	Q72W88
267671.LIC20250	Q75FE4
267671.LIC20098	Q75FT3
267671.LIC13242	Q72ME6
267671.LIC13192	Q72MK1
267671.LIC10490	Q72V13
267671.LIC10235	Q72VR1
267671.LIC10190	Q72VV6
267671.LIC20147	Q75FN5
267671.LIC20001	Q75G12
267671.LIC13187	Q72MK6
267671.LIC13179	Q72ML4
267671.LIC10537	Q72UX0
267671.LIC10365	Q72VD3
267671.LIC10207	Q72VT9
267671.LIC10002	Q72WD5
267671.LIC11538	Q72S48
267671.LIC12641	Q72P35
267671.LIC13213	Q72MH4
267671.LIC10691	Q72UG6
267671.LIC12130	Q72QI3
267671.LIC20234	Q75FF6
267671.LIC11739	Q72RK6
267671.LIC11219	Q72T03
267671.LIC13407	Q72LY6
267671.LIC13391	Q72M02
267671.LIC13366	Q72M25
267671.LIC13318	Q72M72
267671.LIC13317	Q72M73
267671.LIC13131	Q72MR2
267671.LIC13062	Q72MX7
267671.LIC13010	Q72N28
267671.LIC12946	Q72N90
267671.LIC12937	Q72N99
267671.LIC12812	Q72NM1
267671.LIC12797	Q72NN5
267671.LIC12750	Q72NS9
267671.LIC12446	Q72PM3
267671.LIC12370	Q72PU7
267671.LIC12201	Q72QB1
267671.LIC11908	Q72R43
267671.LIC11837	Q72RB1
267671.LIC11719	Q72RM6
267671.LIC11644	Q72RU4
267671.LIC11553	Q72S33
267671.LIC11495	Q72S89
267671.LIC11420	Q72SG3
267671.LIC11383	Q72SJ8
267671.LIC11323	Q72SQ2
267671.LIC11285	Q72ST8
267671.LIC11281	Q72SU2
267671.LIC11178	Q72T43
267671.LIC11149	Q72T72
267671.LIC10948	Q72TR9
267671.LIC10814	Q72U50
267671.LIC10739	Q72UC0
267671.LIC10713	Q72UE4
267671.LIC10697	Q72UG0
267671.LIC10654	Q72UK3
267671.LIC10636	Q72UM1
267671.LIC11923	Q72R28
267671.LIC13396	Q72LZ7
267671.LIC13353	Q72M38
267671.LIC12432	Q72PN6
267671.LIC12403	Q72PR4
267671.LIC12380	Q72PT7
267671.LIC12298	Q72Q16
267671.LIC12148	Q72QG5
267671.LIC11024	Q72TJ7
267671.LIC10569	Q72UT8
267671.LIC20207	Q75FI2
267671.LIC13478	Q72LS3
267671.LIC13462	Q72LT7
267671.LIC12483	Q72PI8
267671.LIC12346	Q72PX1
267671.LIC12167	Q72QE5
267671.LIC12099	Q72QL4
267671.LIC11970	Q72QY7
267671.LIC11830	Q72RB8
267671.LIC11725	Q72RM0
267671.LIC11305	Q72SS0
267671.LIC11078	Q72TE3
267671.LIC11014	Q72TK5
267671.LIC11004	Q72TL4
267671.LIC10989	Q72TM8
267671.LIC10918	Q72TU8
267671.LIC10778	Q72U83
267671.LIC13444	Q72LU9
267671.LIC13381	Q72M12
267671.LIC13355	Q72M36
267671.LIC13099	Q72MU3
267671.LIC13048	Q72MZ1
267671.LIC12587	Q72P88
267671.LIC12552	Q72PC0
267671.LIC12240	Q72Q72
267671.LIC12041	Q72QS1
267671.LIC12022	Q72QT7
267671.LIC11405	Q72SH7
267671.LIC11155	Q72T66
267671.LIC11059	Q72TG2
267671.LIC10952	Q72TR5
267671.LIC10887	Q72TX7
267671.LIC10876	Q72TY8
267671.LIC13174	Q72ML9
267671.LIC10009	Q72WC8
267671.LIC13431	Q72LW2
267671.LIC12790	Q72NP2
267671.LIC12697	Q72NY1
267671.LIC12510	Q72PG1
267671.LIC12373	Q72PU4
267671.LIC12366	Q72PV1
267671.LIC12126	Q72QI7
267671.LIC11492	Q72S92
267671.LIC11486	Q72S98
267671.LIC10674	Q72UI3
267671.LIC13204	Q72MI3
267671.LIC13166	Q72MM7
267671.LIC13160	Q72MN3
267671.LIC10566	Q72UU1
267671.LIC10024	Q72WB3
267671.LIC11642	Q72RU6
267671.LIC10362	Q72VD6
267671.LIC11836	Q72RB2
267671.LIC10841	Q72U23
267671.LIC13092	Q72MU7
267671.LIC11686	Q72RQ8
267671.LIC20108	Q75FS3
267671.LIC13496	Q72LQ9
267671.LIC13477	Q72LS4
267671.LIC13084	Q72MV5
267671.LIC12636	Q72P40
267671.LIC12170	Q72QE2
267671.LIC11724	Q72RM1
267671.LIC11111	Q72TB0
267671.LIC11067	Q72TF4
267671.LIC10705	Q72UF2
267671.LIC20096	Q75FT5
267671.LIC13289	Q72M99
267671.LIC10341	Q72VF6
267671.LIC10320	Q72VH7
267671.LIC10120	Q72W21
267671.LIC10023	Q72WB4
267671.LIC13419	Q72LX4
267671.LIC10820	Q72U44
267671.LIC20210	Q75FH9
267671.LIC10238	Q72VQ8
267671.LIC20252	Q75FE2
267671.LIC20050	Q75FY1
267671.LIC13372	Q72M19
267671.LIC12828	Q72NK6
267671.LIC12731	Q72NU8
267671.LIC12393	Q72PS4
267671.LIC11933	Q72R19
267671.LIC11645	Q72RU3
267671.LIC11431	Q72SF2
267671.LIC10926	Q72TU0
267671.LIC13420	Q72LX3
267671.LIC12967	Q72N70
267671.LIC12640	Q72P36
267671.LIC11972	Q72QY5
267671.LIC11721	Q72RM4
267671.LIC10953	Q72TR4
267671.LIC10847	Q72U17
267671.LIC13225	Q72MG2
267671.LIC20023	Q75G26
267671.LIC10612	Q72UP5
267671.LIC12651	Q72P25
267671.LIC11466	Q72SB8
267671.LIC13352	Q72M39
267671.LIC13278	Q72MB0
267671.LIC12633	Q72P43
267671.LIC12898	Q72ND6
267671.LIC20167	Q75FL5
267671.LIC11533	Q72S53
267671.LIC10548	Q72UV9
267671.LIC12674	Q72P03
267671.LIC12231	Q72Q81
267671.LIC11228	Q72SZ4
267671.LIC10816	Q72U48
267671.LIC10699	Q72UF8
267671.LIC12712	Q72NW6
267671.LIC12271	Q72Q42
267671.LIC12207	Q72QA5
267671.LIC11411	Q72SH1
267671.LIC11344	Q72SN5
267671.LIC11003	Q72TL5
267671.LIC10747	Q72UB4
267671.LIC10496	Q72V07
267671.LIC10173	Q72VX2
267671.LIC10071	Q72W66
267671.LIC13221	Q72MG6
267671.LIC12251	Q72Q62
267671.LIC13466	Q72LT4
267671.LIC10601	Q72UQ6
267671.LIC11937	Q72R15
267671.LIC11912	Q72R39
267671.LIC11452	Q72SD2
267671.LIC20160	Q75FM2
267671.LIC12649	Q72P27
267671.LIC12634	Q72P42
267671.LIC12493	Q72PH8
267671.LIC12046	Q72QR6
267671.LIC11388	Q72SJ4
267671.LIC10357	Q72VE1
267671.LIC13344	Q72M47
267671.LIC13361	Q72M30
267671.LIC11628	Q72RW0
267671.LIC12575	Q72PA0
267671.LIC11009	Q72TK9
267671.LIC10868	Q72TZ6
267671.LIC11283	Q72SU0
267671.LIC10929	Q72TT8
267671.LIC13043	Q72MZ6
267671.LIC11162	Q72T59
267671.LIC12654	Q72P22
267671.LIC12337	Q72PY0
267671.LIC12230	Q72Q82
267671.LIC11804	Q72RE2
267671.LIC11459	Q72SC5
267671.LIC11413	Q72SG9
267671.LIC10809	Q72U55
267671.LIC11135	Q72T86
267671.LIC11264	Q72SV8
267671.LIC13258	Q72MD0
267671.LIC10342	Q72VF5
267671.LIC10479	Q72V24
267671.LIC10266	Q72VN0
267671.LIC10196	Q72VV0
267671.LIC10006	Q72WD1
267671.LIC10457	Q72V46
267671.LIC10954	Q72TR3
267671.LIC12971	Q72N66
267671.LIC13409	Q72LY4
267671.LIC13040	Q72MZ9
267671.LIC12713	Q72NW5
267671.LIC12401	Q72PR6
267671.LIC12342	Q72PX5
267671.LIC12813	Q72NM0
267671.LIC12810	Q72NM2
267671.LIC12676	Q72P01
267671.LIC12504	Q72PG7
267671.LIC12420	Q72PP8
267671.LIC12188	Q72QC4
267671.LIC11718	Q72RM7
267671.LIC11476	Q72SA8
267671.LIC11358	Q72SM1
267671.LIC10913	Q72TV3
267671.LIC10698	Q72UF9
267671.LIC10689	Q72UG8
267671.LIC10515	Q72UY8
267671.LIC10364	Q72VD4
267671.LIC10136	Q72W05
267671.LIC10046	Q72W91
267671.LIC10439	Q72V63
267671.LIC12963	Q72N74
267671.LIC12689	Q72NY9
267671.LIC12265	Q72Q48
267671.LIC11596	Q72RZ2
267671.LIC13479	Q72LS2
267671.LIC13011	Q72N27
267671.LIC12678	Q72NZ9
267671.LIC12404	Q72PR3
267671.LIC12384	Q72PT3
267671.LIC11977	Q72QY1
267671.LIC11956	Q72QZ6
267671.LIC11787	Q72RF8
267671.LIC11759	Q72RI6
267671.LIC10978	Q72TN9
267671.LIC13454	Q72LU5
267671.LIC20271	Q75FC3
267671.LIC20006	Q75G09
267671.LIC12597	Q72P79
267671.LIC10494	Q72V09
267671.LIC20179	Q75FK3
267671.LIC12853	Q72NI1
267671.LIC12312	Q72Q03
267671.LIC11824	Q72RC2
267671.LIC11699	Q72RP5
267671.LIC11613	Q72RX5
267671.LIC11084	Q72TD7
267671.LIC13109	Q72MT3
267671.LIC13110	Q72MT2
267671.LIC12273	Q72Q40
267671.LIC11816	Q72RD0
267671.LIC11171	Q72T50
267671.LIC13205	Q72MI2
267671.LIC10461	Q72V42
267671.LIC10200	Q72VU6
267671.LIC20162	Q75FM0
267671.LIC20046	Q75FY5
267671.LIC12407	Q72PR0
267671.LIC10489	Q72V14
267671.LIC13198	Q72MI9
267671.LIC12891	Q72NE3
267671.LIC12781	Q72NQ1
267671.LIC12661	Q72P15
267671.LIC12506	Q72PG5
267671.LIC12353	Q72PW4
267671.LIC12281	Q72Q33
267671.LIC12203	Q72QA9
267671.LIC12172	Q72QE0
267671.LIC11758	Q72RI7
267671.LIC11324	Q72SQ1
267671.LIC11260	Q72SW2
267671.LIC10998	Q72TL9
267671.LIC10956	Q72TR1
267671.LIC10881	Q72TY3
267671.LIC10878	Q72TY6
267671.LIC10706	Q72UF1
267671.LIC13292	Q72M96
267671.LIC12202	Q72QB0
267671.LIC20208	Q75FI1
267671.LIC13232	Q72MF5
267671.LIC10347	Q72VF0
267671.LIC20177	Q75FK5
267671.LIC20079	Q75FV2
267671.LIC10641	Q72UL6
267671.LIC12730	Q72NU9
267671.LIC12672	Q72P05
267671.LIC12498	Q72PH3
267671.LIC12460	Q72PL1
267671.LIC12258	Q72Q55
267671.LIC12006	Q72QV2
267671.LIC11589	Q72RZ9
267671.LIC10974	Q72TP3
267671.LIC10822	Q72U42
267671.LIC10760	Q72UA1
267671.LIC10678	Q72UH9
267671.LIC13329	Q72M62
267671.LIC12151	Q72QG2
267671.LIC12264	Q72Q49
267671.LIC10485	Q72V18
267671.LIC20187	Q75FJ5
267671.LIC13164	Q72MM9
267671.LIC13209	Q72MH8
267671.LIC10231	Q72VR5
267671.LIC20221	Q75FG8
267671.LIC11361	Q72SL8
267671.LIC12185	Q72QC7
267671.LIC13041	Q72MZ8
267671.LIC10323	Q72VH4
267671.LIC10321	Q72VH6
267671.LIC10072	Q72W65
267671.LIC11273	Q72SV0
267671.LIC10529	Q72UX8
267671.LIC13149	Q72MP4
267671.LIC12833	Q72NK1
267671.LIC12668	Q72P09
267671.LIC12316	Q72PZ9
267671.LIC12118	Q72QJ5
267671.LIC12008	Q72QV0
267671.LIC11886	Q72R62
267671.LIC11872	Q72R76
267671.LIC11775	Q72RH0
267671.LIC11742	Q72RK3
267671.LIC11624	Q72RW4
267671.LIC11487	Q72S97
267671.LIC11472	Q72SB2
267671.LIC11353	Q72SM6
267671.LIC11290	Q72ST4
267671.LIC11042	Q72TH9
267671.LIC10977	Q72TP0
267671.LIC10651	Q72UK6
267671.LIC10607	Q72UQ0
267671.LIC13284	Q72MA4
267671.LIC13201	Q72MI6
267671.LIC10595	Q72UR2
267671.LIC10270	Q72VM7
267671.LIC10228	Q72VR8
267671.LIC10214	Q72VT2
267671.LIC12836	Q72NJ8
267671.LIC12291	Q72Q23
267671.LIC11741	Q72RK4
267671.LIC10345	Q72VF2
267671.LIC10453	Q72V50
267671.LIC12782	Q72NQ0
267671.LIC13423	Q72LX0
267671.LIC13321	Q72M69
267671.LIC12791	Q72NP1
267671.LIC12243	Q72Q69
267671.LIC12213	Q72Q99
267671.LIC12208	Q72QA4
267671.LIC12095	Q72QL8
267671.LIC12024	Q72QT5
267671.LIC12020	Q72QT9
267671.LIC11895	Q72R53
267671.LIC11894	Q72R54
267671.LIC11765	Q72RI0
267671.LIC11307	Q72SR8
267671.LIC11086	Q72TD5
267671.LIC10985	Q72TN2
267671.LIC13264	Q72MC4
267671.LIC10223	Q72VS3
267671.LIC10218	Q72VS8
267671.LIC10139	Q72W02
267671.LIC10987	Q72TN0
267671.LIC13421	Q72LX2
267671.LIC12294	Q72Q20
267671.LIC11252	Q72SX0
267671.LIC11957	Q72QZ5
267671.LIC13348	Q72M43
267671.LIC20061	Q75FX0
267671.LIC12325	Q72PZ0
267671.LIC10181	Q72VW5
267671.LIC13385	Q72M08
267671.LIC13376	Q72M16
267671.LIC13368	Q72M23
267671.LIC13018	Q72N20
267671.LIC13001	Q72N37
267671.LIC12561	Q72PB1
267671.LIC12422	Q72PP6
267671.LIC12354	Q72PW3
267671.LIC12221	Q72Q91
267671.LIC11938	Q72R14
267671.LIC11586	Q72S01
267671.LIC11578	Q72S09
267671.LIC11378	Q72SK3
267671.LIC13294	Q72M94
267671.LIC10483	Q72V20
267671.LIC10124	Q72W17
267671.LIC10040	Q72W97
267671.LIC20224	Q75FG5
267671.LIC20034	Q75G31
267671.LIC12197	Q72QB5
267671.LIC11132	Q72T89
267671.LIC13200	Q72MI7
267671.LIC11320	Q72SQ5
267671.LIC10163	Q72VY2
267671.LIC10029	Q72WA8
267671.LIC13458	Q72LU1
267671.LIC12970	Q72N67
267671.LIC11809	Q72RD7
267671.LIC11703	Q72RP2
267671.LIC11594	Q72RZ4
267671.LIC11350	Q72SM9
267671.LIC10950	Q72TR7
267671.LIC10897	Q72TW7
267671.LIC20091	Q75FU0
267671.LIC13247	Q72ME1
267671.LIC10368	Q72VD2
267671.LIC20133	Q75FP9
267671.LIC13334	Q72M57
267671.LIC20166	Q75FL6
267671.LIC11743	Q72RK2
267671.LIC13169	Q72MM4
267671.LIC11351	Q72SM8
267671.LIC12696	Q72NY2
267671.LIC12158	Q72QF4
267671.LIC13461	Q72LT8
