353153.XP_810529.1	P18269
353153.XP_809476.1	Q4D522
353153.XP_810197.1	Q4D743
353153.XP_810457.1	Q4D7V1
353153.XP_811402.1	Q4DAJ2
353153.XP_811419.1	Q4DAL9
353153.XP_811430.1	Q4DAN1
353153.XP_811463.1	Q4DAR1
353153.XP_811464.1	Q4DAR2
353153.XP_811509.1	Q4DAW1
353153.XP_811620.1	Q4DB69
353153.XP_811698.1	Q4DBE2
353153.XP_811719.1	Q4DBG5
353153.XP_811728.1	Q4DBH3
353153.XP_811787.1	Q4DBN1
353153.XP_811785.1	Q4DBN3
353153.XP_811823.1	Q4DBR3
353153.XP_811960.1	Q4DC60
353153.XP_812042.1	Q4DCD9
353153.XP_812109.1	Q4DCK4
353153.XP_812149.1	Q4DCP4
353153.XP_812165.1	Q4DCR4
353153.XP_812274.1	Q4DD25
353153.XP_812414.1	Q4DDG1
353153.XP_812427.1	Q4DDH2
353153.XP_812467.1	Q4DDK8
353153.XP_812682.1	Q4DE73
353153.XP_812709.1	Q4DEB0
353153.XP_812811.1	Q4DEK8
353153.XP_812848.1	Q4DEN6
353153.XP_812846.1	Q4DEN8
353153.XP_812973.1	Q4DF22
353153.XP_813112.1	Q4DFG6
353153.XP_813555.1	Q4DGP5
353153.XP_813637.1	Q4DGX4
353153.XP_813636.1	Q4DGX5
353153.XP_813684.1	Q4DH33
353153.XP_813767.1	Q4DHB3
353153.XP_813884.1	Q4DHM3
353153.XP_813929.1	Q4DHR8
353153.XP_813925.1	Q4DHS2
353153.XP_813958.1	Q4DHU3
353153.XP_814000.1	Q4DI11
353153.XP_814019.1	Q4DI22
353153.XP_814030.1	Q4DI29
353153.XP_814072.1	Q4DI65
353153.XP_814066.1	Q4DI71
353153.XP_814095.1	Q4DI93
353153.XP_814119.1	Q4DIC1
353153.XP_814155.1	Q4DIE6
353153.XP_814208.1	Q4DIL1
353153.XP_814231.1	Q4DIM4
353153.XP_814366.1	Q4DJ09
353153.XP_814378.1	Q4DJ17
353153.XP_814394.1	Q4DJ33
353153.XP_814415.1	Q4DJ62
353153.XP_814455.1	Q4DJ91
353153.XP_814500.1	Q4DJF5
353153.XP_814597.1	Q4DJP2
353153.XP_814625.1	Q4DJR7
353153.XP_814670.1	Q4DJX5
353153.XP_814799.1	Q4DK95
353153.XP_814816.1	Q4DKB0
353153.XP_814828.1	Q4DKC3
353153.XP_814895.1	Q4DKI4
353153.XP_814940.1	Q4DKN6
353153.XP_814938.1	Q4DKN8
353153.XP_814950.1	Q4DKR3
353153.XP_814972.1	Q4DKR6
353153.XP_814988.1	Q4DKT3
353153.XP_815109.1	Q4DL54
353153.XP_815184.1	Q4DLD5
353153.XP_815342.1	Q4DLT4
353153.XP_816875.1	Q4DR65
353153.XP_817037.1	Q4DRN6
353153.XP_817351.1	Q4DSI3
353153.XP_817921.1	Q4DU90
353153.XP_818684.1	Q4DWD2
353153.XP_820983.1	Q4E2W8
353153.XP_804876.1	Q4CRX2
353153.XP_804913.1	Q4CS11
353153.XP_804948.1	Q4CS46
353153.XP_805131.1	Q4CSN0
353153.XP_805134.1	Q4CSN2
353153.XP_805185.1	Q4CST2
353153.XP_805210.1	Q4CSV9
353153.XP_805223.1	Q4CSX2
353153.XP_805246.1	Q4CSZ3
353153.XP_806341.1	Q4CW38
353153.XP_806476.1	Q4CWH4
353153.XP_806506.1	Q4CWK2
353153.XP_806602.1	Q4CWU9
353153.XP_807089.1	Q4CY84
353153.XP_807128.1	Q4CYC5
353153.XP_807242.1	Q4CYP0
353153.XP_807325.1	Q4CYX8
353153.XP_807342.1	Q4CYY9
353153.XP_807406.1	Q4CZ55
353153.XP_807495.1	Q4CZD8
353153.XP_807525.1	Q4CZH7
353153.XP_807546.1	Q4CZI8
353153.XP_807642.1	Q4CZT9
353153.XP_807673.1	Q4CZX1
353153.XP_807714.1	Q4D018
353153.XP_807779.1	Q4D076
353153.XP_807820.1	Q4D0B7
353153.XP_807905.1	Q4D0K6
353153.XP_808220.1	Q4D1H9
353153.XP_808254.1	Q4D1K0
353153.XP_808260.1	Q4D1K8
353153.XP_808377.1	Q4D1X1
353153.XP_808396.1	Q4D1Z3
353153.XP_808414.1	Q4D211
353153.XP_808426.1	Q4D216
353153.XP_808432.1	Q4D232
353153.XP_808472.1	Q4D268
353153.XP_808470.1	Q4D270
353153.XP_808492.1	Q4D289
353153.XP_808527.1	Q4D2C1
353153.XP_808533.1	Q4D2D5
353153.XP_808577.1	Q4D2H2
353153.XP_808593.1	Q4D2J0
353153.XP_808610.1	Q4D2L2
353153.XP_808654.1	Q4D2Q0
353153.XP_808726.1	Q4D2X7
353153.XP_808739.1	Q4D2Y9
353153.XP_808768.1	Q4D314
353153.XP_808908.1	Q4D3E9
353153.XP_809327.1	Q4D4M0
353153.XP_809351.1	Q4D4Q3
353153.XP_809363.1	Q4D4Q7
353153.XP_809362.1	Q4D4Q8
353153.XP_809385.1	Q4D4T0
353153.XP_809393.1	Q4D4U4
353153.XP_809424.1	Q4D4X1
353153.XP_809645.1	Q4D5J6
353153.XP_809697.1	Q4D5P1
353153.XP_809927.1	Q4D6C4
353153.XP_809940.1	Q4D6D6
353153.XP_810003.1	Q4D6J5
353153.XP_810028.1	Q4D6M3
353153.XP_810122.1	Q4D6X7
353153.XP_810266.1	Q4D7B6
353153.XP_810276.1	Q4D7D0
353153.XP_810520.1	Q4D814
353153.XP_810555.1	Q4D851
353153.XP_810616.1	Q4D8B1
353153.XP_810723.1	Q4D8M0
353153.XP_810758.1	Q4D8Q5
353153.XP_810815.1	Q4D8V7
353153.XP_810846.1	Q4D8Y9
353153.XP_810899.1	Q4D946
353153.XP_810923.1	Q4D971
353153.XP_810975.1	Q4D9C2
353153.XP_811002.1	Q4D9F4
353153.XP_811020.1	Q4D9H0
353153.XP_811809.1	Q4DBQ0
353153.XP_811925.1	Q4DC26
353153.XP_811922.1	Q4DC29
353153.XP_811940.1	Q4DC42
353153.XP_812085.1	Q4DCI9
353153.XP_812094.1	Q4DCJ0
353153.XP_812211.1	Q4DCV6
353153.XP_812330.1	Q4DD76
353153.XP_812499.1	Q4DDQ7
353153.XP_812772.1	Q4DEG6
353153.XP_812801.1	Q4DEK1
353153.XP_812910.1	Q4DEW4
353153.XP_812942.1	Q4DEX9
353153.XP_812941.1	Q4DEY0
353153.XP_812939.1	Q4DEY2
353153.XP_812951.1	Q4DEZ6
353153.XP_813044.1	Q4DF85
353153.XP_813071.1	Q4DFA3
353153.XP_813059.1	Q4DFB5
353153.XP_813082.1	Q4DFE3
353153.XP_802317.1	Q4CKR9
353153.XP_802908.1	Q4CKT0
353153.XP_802390.1	Q4CKZ2
353153.XP_802611.1	Q4CLL4
353153.XP_802613.1	Q4CLL5
353153.XP_802620.1	Q4CLM1
353153.XP_802635.1	Q4CLN6
353153.XP_802753.1	Q4CM05
353153.XP_802764.1	Q4CM16
353153.XP_802792.1	Q4CM45
353153.XP_802823.1	Q4CM75
353153.XP_802860.1	Q4CMB2
353153.XP_802921.1	Q4CMH4
353153.XP_802975.1	Q4CMM8
353153.XP_803147.1	Q4CN49
353153.XP_803159.1	Q4CN61
353153.XP_803232.1	Q4CND2
353153.XP_803326.1	Q4CNM8
353153.XP_803544.1	Q4CNX7
353153.XP_803701.1	Q4CNZ0
353153.XP_803843.1	Q4CP16
353153.XP_804034.1	Q4CPI1
353153.XP_804061.1	Q4CPK8
353153.XP_804062.1	Q4CPK9
353153.XP_804066.1	Q4CPL3
353153.XP_804144.1	Q4CPU1
353153.XP_804234.1	Q4CQ32
353153.XP_804246.1	Q4CQ43
353153.XP_804300.1	Q4CQ97
353153.XP_804426.1	Q4CQM7
353153.XP_804441.1	Q4CQP1
353153.XP_804452.1	Q4CQP9
353153.XP_804495.1	Q4CQU3
353153.XP_805285.1	Q4CT36
353153.XP_805299.1	Q4CT47
353153.XP_805346.1	Q4CT90
353153.XP_805347.1	Q4CT95
353153.XP_805387.1	Q4CTD5
353153.XP_805397.1	Q4CTE3
353153.XP_805445.1	Q4CTJ3
353153.XP_805467.1	Q4CTL3
353153.XP_805543.1	Q4CTU0
353153.XP_805710.1	Q4CUA7
353153.XP_805717.1	Q4CUB4
353153.XP_805718.1	Q4CUB5
353153.XP_805758.1	Q4CUF7
353153.XP_805803.1	Q4CUK3
353153.XP_805828.1	Q4CUM7
353153.XP_805882.1	Q4CUS8
353153.XP_805918.1	Q4CUV9
353153.XP_805062.1	Q4CUZ1
353153.XP_805954.1	Q4CV06
353153.XP_805960.1	Q4CV09
353153.XP_805998.1	Q4CV42
353153.XP_806042.1	Q4CV87
353153.XP_806048.1	Q4CV95
353153.XP_806152.1	Q4CVJ8
353153.XP_806169.1	Q4CVL3
353153.XP_806190.1	Q4CVP0
353153.XP_806380.1	Q4CW77
353153.XP_806397.1	Q4CW93
353153.XP_806399.1	Q4CW97
353153.XP_806428.1	Q4CWC4
353153.XP_806536.1	Q4CWN2
353153.XP_806562.1	Q4CWQ9
353153.XP_806657.1	Q4CWZ8
353153.XP_806713.1	Q4CX55
353153.XP_806723.1	Q4CX70
353153.XP_807468.1	Q4CZB6
353153.XP_807733.1	Q4D029
353153.XP_807876.1	Q4D0H4
353153.XP_807882.1	Q4D0H8
353153.XP_807893.1	Q4D0I4
353153.XP_808273.1	Q4D1M5
353153.XP_802623.1	Q4CLM6
353153.XP_802806.1	Q4CM59
353153.XP_802990.1	Q4CMP0
353153.XP_803259.1	Q4CNG0
353153.XP_803344.1	Q4CNP6
353153.XP_803366.1	Q4CNR8
353153.XP_804239.1	Q4CQ36
353153.XP_805199.1	Q4CSU6
353153.XP_805242.1	Q4CSY7
353153.XP_805383.1	Q4CTD0
353153.XP_805410.1	Q4CTF7
353153.XP_805682.1	Q4CU74
353153.XP_805931.1	Q4CUX7
353153.XP_806697.1	Q4CX44
353153.XP_807472.1	Q4CZC1
353153.XP_807611.1	Q4CZQ6
353153.XP_807949.1	Q4D0P9
353153.XP_808212.1	Q4D1F9
353153.XP_808417.1	Q4D208
353153.XP_808708.1	Q4D2W3
353153.XP_808909.1	Q4D3G2
353153.XP_808942.1	Q4D3I7
353153.XP_809410.1	Q4D4V5
353153.XP_809489.1	Q4D536
353153.XP_809754.1	Q4D5V8
353153.XP_809817.1	Q4D620
353153.XP_809926.1	Q4D6C1
353153.XP_810400.1	Q4D7P4
353153.XP_810398.1	Q4D7P6
353153.XP_810916.1	Q4D962
353153.XP_811036.1	Q4D9I7
353153.XP_811635.1	Q4DB74
353153.XP_811700.1	Q4DBE9
353153.XP_812261.1	Q4DD17
353153.XP_812544.1	Q4DDT7
353153.XP_812668.1	Q4DE66
353153.XP_812678.1	Q4DE77
353153.XP_812795.1	Q4DEJ2
353153.XP_812847.1	Q4DEN7
353153.XP_813003.1	Q4DF59
353153.XP_813127.1	Q4DFH2
353153.XP_813781.1	Q4DHD5
353153.XP_814071.1	Q4DI66
353153.XP_814241.1	Q4DIP1
353153.XP_814344.1	Q4DIX9
353153.XP_814438.1	Q4DJ74
353153.XP_814515.1	Q4DJH3
353153.XP_814585.1	Q4DJN2
353153.XP_802255.1	Q4CKK7
353153.XP_802358.1	Q4CKW0
353153.XP_803037.1	Q4CMT7
353153.XP_803103.1	Q4CN05
353153.XP_803123.1	Q4CN25
353153.XP_803255.1	Q4CNF5
353153.XP_804052.1	Q4CPJ9
353153.XP_804063.1	Q4CPL2
353153.XP_804075.1	Q4CPM3
353153.XP_804310.1	Q4CQA7
353153.XP_805497.1	Q4CTP6
353153.XP_805657.1	Q4CU54
353153.XP_805704.1	Q4CUA5
353153.XP_805908.1	Q4CUV2
353153.XP_806084.1	Q4CVC7
353153.XP_806290.1	Q4CVY9
353153.XP_807258.1	Q4CYQ6
353153.XP_807301.1	Q4CYV4
353153.XP_807344.1	Q4CYY7
353153.XP_807455.1	Q4CZA4
353153.XP_807530.1	Q4CZH0
353153.XP_807772.1	Q4D070
353153.XP_807987.1	Q4D0T5
353153.XP_808356.1	Q4D1V0
353153.XP_808913.1	Q4D3F8
353153.XP_810180.1	Q4D722
353153.XP_810440.1	Q4D7U0
353153.XP_810478.1	Q4D7X1
353153.XP_811603.1	Q4DB44
353153.XP_811682.1	Q4DBD1
353153.XP_811773.1	Q4DBM1
353153.XP_811947.1	Q4DC35
353153.XP_812006.1	Q4DCA1
353153.XP_812505.1	Q4DDQ1
353153.XP_812520.1	Q4DDR8
353153.XP_812980.1	Q4DF15
353153.XP_813170.1	Q4DFL1
353153.XP_813180.1	Q4DFN1
353153.XP_813549.1	Q4DGP7
353153.XP_813672.1	Q4DH20
353153.XP_813822.1	Q4DHH8
353153.XP_813910.1	Q4DHQ6
353153.XP_814280.1	Q4DIT1
353153.XP_814345.1	Q4DJ12
353153.XP_814431.1	Q4DJ81
353153.XP_814462.1	Q4DJB0
353153.XP_814498.1	Q4DJF7
353153.XP_814686.1	Q4DK03
353153.XP_814737.1	Q4DK46
353153.XP_814781.1	Q4DK74
353153.XP_814775.1	Q4DK82
353153.XP_815075.1	Q4DL23
353153.XP_817459.1	Q4DSV5
353153.XP_821373.1	Q4E3Z5
353153.XP_802441.1	Q4CL43
353153.XP_802813.1	Q4CM64
353153.XP_803131.1	Q4CN32
353153.XP_805052.1	Q4CSF2
353153.XP_805127.1	Q4CSM3
353153.XP_805192.1	Q4CST8
353153.XP_805987.1	Q4CV36
353153.XP_806386.1	Q4CW85
353153.XP_807208.1	Q4CYK0
353153.XP_807347.1	Q4CYZ8
353153.XP_807423.1	Q4CZ69
353153.XP_808402.1	Q4D1Z8
353153.XP_808578.1	Q4D2H8
353153.XP_808643.1	Q4D2N9
353153.XP_809790.1	Q4D5Z5
353153.XP_809832.1	Q4D632
353153.XP_809896.1	Q4D686
353153.XP_809984.1	Q4D6I3
353153.XP_810249.1	Q4D7A3
353153.XP_810666.1	Q4D8G4
353153.XP_811765.1	Q4DBK0
353153.XP_812316.1	Q4DD64
353153.XP_812486.1	Q4DDP2
353153.XP_812586.1	Q4DDY1
353153.XP_812702.1	Q4DE97
353153.XP_812836.1	Q4DEM7
353153.XP_813572.1	Q4DGS9
353153.XP_813713.1	Q4DH59
353153.XP_813730.1	Q4DH70
353153.XP_813759.1	Q4DHA6
353153.XP_813885.1	Q4DHM2
353153.XP_814043.1	Q4DI45
353153.XP_814164.1	Q4DIG1
353153.XP_814567.1	Q4DJK6
353153.XP_814642.1	Q4DJV9
353153.XP_815064.1	Q4DL00
353153.XP_807389.1	Q4CZ32
353153.XP_820166.1	Q4E0K5
353153.XP_820903.1	Q4E2S4
353153.XP_817412.1	Q4DSP5
353153.XP_808481.1	Q4D283
353153.XP_808506.1	Q4D2A7
353153.XP_809529.1	Q4D577
353153.XP_809580.1	Q4D5C6
353153.XP_809698.1	Q4D5P0
353153.XP_809850.1	Q4D645
353153.XP_809951.1	Q4D6E3
353153.XP_810013.1	Q4D6K4
353153.XP_810166.1	Q4D715
353153.XP_810377.1	Q4D7M3
353153.XP_810438.1	Q4D7U2
353153.XP_810653.1	Q4D8E8
353153.XP_810816.1	Q4D8W0
353153.XP_810874.1	Q4D913
353153.XP_811013.1	Q4D9F8
353153.XP_811515.1	Q4DAV3
353153.XP_811642.1	Q4DB95
353153.XP_811780.1	Q4DBN8
353153.XP_811854.1	Q4DBW0
353153.XP_811944.1	Q4DC38
353153.XP_812448.1	Q4DDK3
353153.XP_812802.1	Q4DEK0
353153.XP_812838.1	Q4DEN0
353153.XP_812895.1	Q4DEV3
353153.XP_813117.1	Q4DFG1
353153.XP_813697.1	Q4DH40
353153.XP_813901.1	Q4DHN4
353153.XP_814202.1	Q4DII8
353153.XP_814450.1	Q4DJ96
353153.XP_814514.1	Q4DJH4
353153.XP_814767.1	Q4DK58
353153.XP_814911.1	Q4DKK5
353153.XP_815062.1	Q4DL02
353153.XP_815336.1	Q4DLU0
353153.XP_802373.1	Q4CKX5
353153.XP_802574.1	Q4CLH6
353153.XP_802590.1	Q4CLJ2
353153.XP_802830.1	Q4CM82
353153.XP_803021.1	Q4CMS1
353153.XP_803046.1	Q4CMU8
353153.XP_803066.1	Q4CMW8
353153.XP_803146.1	Q4CN48
353153.XP_803265.1	Q4CNG7
353153.XP_803286.1	Q4CNI7
353153.XP_804117.1	Q4CPR4
353153.XP_804327.1	Q4CQC2
353153.XP_804401.1	Q4CQJ6
353153.XP_804540.1	Q4CQY5
353153.XP_804958.1	Q4CS55
353153.XP_804987.1	Q4CS84
353153.XP_805120.1	Q4CSM0
353153.XP_805253.1	Q4CT01
353153.XP_805428.1	Q4CTH4
353153.XP_805590.1	Q4CTY4
353153.XP_805703.1	Q4CU95
353153.XP_805746.1	Q4CUE1
353153.XP_806178.1	Q4CVM9
353153.XP_806384.1	Q4CW80
353153.XP_807983.1	Q4D0T0
353153.XP_808275.1	Q4D1M3
353153.XP_808336.1	Q4D1S7
353153.XP_808870.1	Q4D3C3
353153.XP_802309.1	Q4CKR1
353153.XP_802330.1	Q4CKT2
353153.XP_802445.1	Q4CL47
353153.XP_802831.1	Q4CM83
353153.XP_803114.1	Q4CN16
353153.XP_805098.1	Q4CSJ6
353153.XP_805775.1	Q4CUH4
353153.XP_805843.1	Q4CUN7
353153.XP_806053.1	Q4CVA3
353153.XP_806219.1	Q4CVS1
353153.XP_806308.1	Q4CW04
353153.XP_807313.1	Q4CYV6
353153.XP_807487.1	Q4CZD0
353153.XP_807763.1	Q4D056
353153.XP_808111.1	Q4D155
353153.XP_808445.1	Q4D241
353153.XP_809288.1	Q4D4I4
353153.XP_809480.1	Q4D524
353153.XP_809815.1	Q4D608
353153.XP_809884.1	Q4D676
353153.XP_810106.1	Q4D6V3
353153.XP_810144.1	Q4D6Z4
353153.XP_810159.1	Q4D703
353153.XP_810527.1	Q4D823
353153.XP_810718.1	Q4D8L8
353153.XP_811376.1	Q4DAI8
353153.XP_811408.1	Q4DAL2
353153.XP_811624.1	Q4DB65
353153.XP_811665.1	Q4DBB5
353153.XP_812121.1	Q4DCL1
353153.XP_812409.1	Q4DDG6
353153.XP_812855.1	Q4DER1
353153.XP_813026.1	Q4DF73
353153.XP_813656.1	Q4DGZ6
353153.XP_814053.1	Q4DI60
353153.XP_814549.1	Q4DJI8
353153.XP_814569.1	Q4DJK5
353153.XP_814619.1	Q4DJR1
353153.XP_814810.1	Q4DKA8
353153.XP_814833.1	Q4DKB8
353153.XP_814989.1	Q4DKS8
353153.XP_815010.1	Q4DKW8
353153.XP_815098.1	Q4DL32
353153.XP_815180.1	Q4DLC4
353153.XP_815326.1	Q4DLS2
353153.XP_802816.1	Q4CM67
353153.XP_803135.1	Q4CN37
353153.XP_803136.1	Q4CN38
353153.XP_803141.1	Q4CN45
353153.XP_804120.1	Q4CPR7
353153.XP_804200.1	Q4CPZ7
353153.XP_806654.1	Q4CX01
353153.XP_808728.1	Q4D2X3
353153.XP_808873.1	Q4D3B9
353153.XP_810192.1	Q4D736
353153.XP_810230.1	Q4D777
353153.XP_810837.1	Q4D8Y3
353153.XP_811651.1	Q4DB98
353153.XP_813569.1	Q4DGR5
353153.XP_814342.1	Q4DIY1
353153.XP_815145.1	Q4DL94
353153.XP_817578.1	Q4DT72
353153.XP_821537.1	Q4E4G8
353153.XP_821557.1	Q4E4P6
353153.XP_802502.1	Q4CLA6
353153.XP_807475.1	Q4CZC4
353153.XP_813651.1	Q4DH02
353153.XP_816570.1	Q4DQA9
353153.XP_818089.1	Q4DUN6
353153.XP_808523.1	Q4D2C6
353153.XP_813143.1	Q4DFJ4
353153.XP_818914.1	Q4DWZ5
353153.XP_819052.1	Q4DXE1
353153.XP_809995.1	Q4D6J2
353153.XP_802338.1	Q4CKU0
353153.XP_812630.1	Q4DE38
353153.XP_814909.1	Q4DKK7
353153.XP_806792.1	Q4CXD6
353153.XP_806937.1	Q4CXT5
353153.XP_809094.1	Q4D3Y9
353153.XP_811358.1	Q4DAF6
353153.XP_813409.1	Q4DGA6
353153.XP_813512.1	Q4DGK2
353153.XP_813540.1	Q4DGM7
353153.XP_815537.1	Q4DME4
353153.XP_816168.1	Q4DP65
353153.XP_816249.1	Q4DPD5
353153.XP_816374.1	Q4DPT0
353153.XP_816435.1	Q4DPY0
353153.XP_817197.1	Q4DS38
353153.XP_817712.1	Q4DTL1
353153.XP_817741.1	Q4DTM5
353153.XP_817896.1	Q4DU34
353153.XP_818041.1	Q4DUG5
353153.XP_818370.1	Q4DVF8
353153.XP_818421.1	Q4DVL8
353153.XP_820197.1	Q4E0Q6
353153.XP_820335.1	Q4E134
353153.XP_820326.1	Q4E143
353153.XP_820442.1	Q4E1E2
353153.XP_820487.1	Q4E1I1
353153.XP_812741.1	Q4DED9
353153.XP_808722.1	Q4D2X2
353153.XP_813463.1	Q4DGG2
353153.XP_816702.1	Q4DQR4
353153.XP_802156.1	Q4CKA8
353153.XP_804789.1	Q4CRN7
353153.XP_809029.1	Q4D3S9
353153.XP_809194.1	Q4D485
353153.XP_809190.1	Q4D489
353153.XP_811162.1	Q4D9V5
353153.XP_815486.1	Q4DM85
353153.XP_815739.1	Q4DMX4
353153.XP_815760.1	Q4DN09
353153.XP_816026.1	Q4DNQ2
353153.XP_816385.1	Q4DPR8
353153.XP_816729.1	Q4DQR8
353153.XP_817904.1	Q4DU46
353153.XP_817964.1	Q4DU97
353153.XP_818037.1	Q4DUI8
353153.XP_818124.1	Q4DUS2
353153.XP_818469.1	Q4DVR6
353153.XP_818499.1	Q4DVV3
353153.XP_819920.1	Q4DZW9
353153.XP_819941.1	Q4E003
353153.XP_822133.1	Q4E605
353153.XP_822079.1	Q4E659
353153.XP_812049.1	Q4DCE5
353153.XP_819694.1	Q4DZA6
353153.XP_802192.1	Q4CKE4
353153.XP_802263.1	Q4CKL5
353153.XP_817002.1	Q4DRK5
353153.XP_819639.1	Q4DZ23
353153.XP_819681.1	Q4DZ62
353153.XP_819812.1	Q4DZJ2
353153.XP_820857.1	Q4E2K4
353153.XP_821477.1	Q4E4D8
353153.XP_821816.1	Q4E5C8
353153.XP_821885.1	Q4E5H7
353153.XP_822033.1	Q4E5S9
353153.XP_816470.1	Q4DQ20
353153.XP_818668.1	Q4DWC7
353153.XP_818803.1	Q4DWQ2
353153.XP_818932.1	Q4DX29
353153.XP_819241.1	Q4DXX2
353153.XP_819449.1	Q4DYL3
353153.XP_808450.1	Q4D252
353153.XP_813397.1	Q4DGA2
353153.XP_802986.1	Q4CMN9
353153.XP_803888.1	Q4CP36
353153.XP_816498.1	Q4DQ34
353153.XP_815732.1	Q4DMY1
353153.XP_816398.1	Q4DPV3
353153.XP_805102.1	Q4CSJ9
353153.XP_805178.1	Q4CSS4
353153.XP_810557.1	Q4D848
353153.XP_813422.1	Q4DGC0
353153.XP_821455.1	Q4E499
353153.XP_811422.1	Q4DAL6
353153.XP_808579.1	Q4D2H7
353153.XP_817871.1	Q4DU01
353153.XP_802151.1	Q4CKA3
353153.XP_802700.1	Q4CLV2
353153.XP_804927.1	Q4CS24
353153.XP_805010.1	Q4CSA5
353153.XP_808530.1	Q4D2C2
353153.XP_808827.1	Q4D372
353153.XP_809535.1	Q4D591
353153.XP_809868.1	Q4D664
353153.XP_810814.1	Q4D8V8
353153.XP_811449.1	Q4DAP0
353153.XP_811623.1	Q4DB66
353153.XP_812077.1	Q4DCH2
353153.XP_812458.1	Q4DDK5
353153.XP_812605.1	Q4DE03
353153.XP_812642.1	Q4DE39
353153.XP_813817.1	Q4DHG3
353153.XP_814031.1	Q4DI26
353153.XP_814077.1	Q4DI73
353153.XP_814284.1	Q4DIS6
353153.XP_814922.1	Q4DKM0
353153.XP_814959.1	Q4DKQ4
353153.XP_815213.1	Q4DLF7
353153.XP_815428.1	Q4DM24
353153.XP_802550.1	Q4CLF2
353153.XP_802669.1	Q4CLS1
353153.XP_802745.1	Q4CLZ7
353153.XP_802951.1	Q4CMK4
353153.XP_802988.1	Q4CMP1
353153.XP_803239.1	Q4CNE0
353153.XP_803249.1	Q4CNF4
353153.XP_803328.1	Q4CNN0
353153.XP_804334.1	Q4CQD0
353153.XP_804468.1	Q4CQR7
353153.XP_804487.1	Q4CQT4
353153.XP_804490.1	Q4CQT7
353153.XP_804908.1	Q4CS05
353153.XP_805281.1	Q4CT30
353153.XP_805316.1	Q4CT64
353153.XP_806163.1	Q4CVK8
353153.XP_806359.1	Q4CW52
353153.XP_806408.1	Q4CWA6
353153.XP_806614.1	Q4CWW2
353153.XP_807305.1	Q4CYV0
353153.XP_807890.1	Q4D0I7
353153.XP_808225.1	Q4D1H0
353153.XP_808407.1	Q4D202
353153.XP_808916.1	Q4D3G3
353153.XP_809837.1	Q4D627
353153.XP_810049.1	Q4D6N8
353153.XP_810085.1	Q4D6T7
353153.XP_810234.1	Q4D784
353153.XP_810875.1	Q4D912
353153.XP_811842.1	Q4DBT9
353153.XP_812166.1	Q4DCR3
353153.XP_812534.1	Q4DDT2
353153.XP_812796.1	Q4DEK6
353153.XP_814785.1	Q4DK70
353153.XP_815031.1	Q4DKX8
353153.XP_807816.1	Q4D0B6
353153.XP_810590.1	Q4D886
353153.XP_813125.1	Q4DFG9
353153.XP_807970.1	Q4D0R4
353153.XP_820248.1	Q4E0S7
353153.XP_806854.1	Q4CXK4
353153.XP_807668.1	Q4CZW0
353153.XP_814034.1	Q4DI28
353153.XP_811131.1	Q4D9S9
353153.XP_813363.1	Q4DG70
353153.XP_813530.1	Q4DGN7
353153.XP_816381.1	Q4DPS2
353153.XP_816578.1	Q4DQD9
353153.XP_816655.1	Q4DQL5
353153.XP_818958.1	Q4DX30
353153.XP_819965.1	Q4E027
353153.XP_820120.1	Q4E0F9
353153.XP_820203.1	Q4E0Q0
353153.XP_804820.1	Q4CRR7
353153.XP_806780.1	Q4CXC7
353153.XP_806833.1	Q4CXH7
353153.XP_809152.1	Q4D457
353153.XP_811156.1	Q4D9U8
353153.XP_811343.1	Q4DAF1
353153.XP_815680.1	Q4DMR3
353153.XP_815752.1	Q4DMZ5
353153.XP_815800.1	Q4DN37
353153.XP_816278.1	Q4DPG9
353153.XP_816648.1	Q4DQJ4
353153.XP_816819.1	Q4DR20
353153.XP_818061.1	Q4DUK7
353153.XP_818283.1	Q4DV82
353153.XP_818532.1	Q4DVW8
353153.XP_819992.1	Q4E045
353153.XP_820028.1	Q4E0A0
353153.XP_820069.1	Q4E0D3
353153.XP_820102.1	Q4E0D6
353153.XP_820569.1	Q4E1T5
353153.XP_820645.1	Q4E1Y5
353153.XP_809749.1	Q4D5U3
353153.XP_814653.1	Q4DJU8
353153.XP_817289.1	Q4DSF3
353153.XP_818858.1	Q4DWV5
353153.XP_819538.1	Q4DYS6
353153.XP_822102.1	Q4E5Y6
353153.XP_802191.1	Q4CKE3
353153.XP_802235.1	Q4CKI7
353153.XP_816610.1	Q4DQE7
353153.XP_816617.1	Q4DQI7
353153.XP_816754.1	Q4DQV1
353153.XP_816859.1	Q4DR57
353153.XP_817109.1	Q4DRV9
353153.XP_817397.1	Q4DSR1
353153.XP_819006.1	Q4DXA4
353153.XP_819155.1	Q4DXS2
353153.XP_819269.1	Q4DY17
353153.XP_819385.1	Q4DYF7
353153.XP_819710.1	Q4DZ88
353153.XP_820438.1	Q4E1B8
353153.XP_821182.1	Q4E3K8
353153.XP_804866.1	Q4CRW4
353153.XP_807647.1	Q4CZU0
353153.XP_818949.1	Q4DX41
353153.XP_806329.1	Q4CW29
353153.XP_809909.1	Q4D6A7
353153.XP_813618.1	Q4DGW2
353153.XP_819131.1	Q4DXN1
353153.XP_808747.1	Q4D2Z3
353153.XP_820847.1	Q4E2K1
353153.XP_803235.1	Q4CND7
353153.XP_812417.1	Q4DDF8
353153.XP_815398.1	Q4DLZ7
353153.XP_819798.1	Q4DZK7
353153.XP_820644.1	Q4E1Y6
353153.XP_813786.1	Q4DHD0
