158878.SAV2344	P65414
158878.SAV2002	A0A0D1JX76
158878.SAV1416	A0A0D1JPI8
158878.SAV1220	A0A0D1F0F7
158878.SAV1968	A0A0D1I971
158878.SAV0883	A0A0D1HHB3
158878.SAV2404	A0A0D1JAK1
158878.SAV1666	A0A0D1IB35
158878.SAV1980	A0A0D1H217
158878.SAV1923	A0A0D1J9X3
158878.SAV2608	A0A0D1I620
158878.SAV0361	A0A0D1GYG1
158878.SAV1785	A0A0D1IPS7
158878.SAV1951	A0A0D1GSG5
158878.SAV1947	A0A0D1KAT9
158878.SAV1996	A0A0D1IXL9
158878.SAV1944	A0A0D1J9A1
158878.SAV0024	A0A0D1FEE0
158878.SAV0436	A0A0D1GXF6
158878.SAV0073	M1X937
158878.SAV1656	M1XIU5
158878.SAV0129	A0A0D1INF8
158878.SAV1985	A0A0D1H8N3
158878.SAV1945	A0A0D1HW52
158878.SAV0715	A0A0D1I8T6
158878.SAV2153	A0A0D1H0X6
158878.SAV2549	A0A0D1GJ00
158878.SAV2198	A0A0D1HMW7
158878.SAV1814	A0A0D1H1X3
158878.SAV1154	A0A0D1IS48
158878.SAV0172	A0A0D1GGM3
158878.SAV0024	M1XHC9
158878.SAV0716	A0A0D1JQV6
158878.SAV0900	A0A0D1J6K3
158878.SAV1947	A0A0D1JM67
158878.SAV2476	A0A0D1I6E2
158878.SAV1959	A0A0D1HGV3
158878.SAV0361	A0A0D1GTV1
158878.SAV2263	A0A0D1GLC1
158878.SAV2001	A0A0D1GAY9
158878.SAV1993	A0A0D1HE93
158878.SAV1010	A0A0D1IDC5
158878.SAV1998	A0A0D1H587
158878.SAV1963	A0A0D1KAV7
158878.SAV0076	M1XHC7
158878.SAV2515	A0A0D1GUB1
158878.SAV1975	A0A0D1IK55
158878.SAV0820	A0A0D1GUR3
158878.SAV2484	A0A0D1GJ53
158878.SAV0425	A0A0D1HKN7
158878.SAV0375	A0A0D1HVA9
158878.SAV1967	A0A0D1HUQ8
158878.SAV1010	A0A0D1IIU2
158878.SAV1195	A0A0D1GLG2
158878.SAV1944	A0A0D1I257
158878.SAV1707	A0A0D1H2N4
158878.SAV0298	A0A0D1GYV6
158878.SAV2577	A0A0D1HV75
158878.SAV0715	A0A0D1IT67
158878.SAV0801	A0A0D1HQ67
158878.SAV0882	A0A0D1GN84
158878.SAV1950	A0A0D1IDY2
158878.SAV0938	A0A0D1HT39
158878.SAV2398	A0A0D1ITM4
158878.SAV1590	A0A0D1I1Z5
158878.SAV1940	A0A0D1FNJ0
158878.SAV1984	A0A0D1HFQ8
158878.SAV0335	A0A0D1GKN8
158878.SAV1785	A0A0D1K3F7
158878.SAV1782	A0A0D1FY55
158878.SAV0427	A0A0D1HJA1
158878.SAV1974	A0A0D1HPE1
158878.SAV2147	A0A0D1IFQ9
158878.SAV1154	A0A0D1JPW9
158878.SAV1995	A0A0D1J512
158878.SAV1965	A0A0D1GB27
158878.SAV0129	A0A0D1I507
158878.SAV2503	A0A0D1I0G3
158878.SAV0425	A0A0D1HBL8
158878.SAV2703	A0A0D1IU84
158878.SAV0857	A0A0D1FCV0
158878.SAV1999	A0A0D1H8L6
158878.SAV0787	A0A0D1ICH4
158878.SAV1979	A0A0D1HGX1
158878.SAV0602	A0A0D1JR84
158878.SAV0700	A0A0D1I8V6
158878.SAV1942	A0A0D1JSJ0
158878.SAV2515	A0A0D1JDV4
158878.SAV0173	A0A0D1J910
158878.SAV1323	A0A0D1FEU1
158878.SAV0700	A0A0D1I7N1
158878.SAV1971	A0A0D1FT74
158878.SAV0848	A0A0D1IV39
158878.SAV2669	A0A0D1FAH8
158878.SAV2263	A0A0D1J5C3
158878.SAV0893	A0A0D1J1L3
158878.SAV1962	A0A0D1FT66
158878.SAV0173	A0A0D1EYN3
158878.SAV2006	A0A0D1KCP5
158878.SAV0064	M1XHC0
158878.SAV0714	A0A0D1IP63
158878.SAV0194	A0A0D1FGU0
158878.SAV0602	A0A0D1GX63
158878.SAV1195	A0A0D1HV95
158878.SAV2263	A0A0D1HFI5
158878.SAV1951	A0A0D1HWZ0
158878.SAV1826	A0A0D1IHR1
158878.SAV1954	A0A0D1FNK3
158878.SAV0173	A0A0D1I1P4
158878.SAV0058	M1X9Z5
158878.SAV2006	A0A0D1G6V5
158878.SAV1540	A0A0D1GCF3
158878.SAV0714	A0A0D1I7P6
158878.SAV2493	A0A0D1ITB9
158878.SAV0060	M1XJT1
158878.SAV1993	A0A0D1J935
158878.SAV1666	A0A0D1GCS7
158878.SAV2020	A0A0D1G120
158878.SAV2006	A0A0D1GWQ1
158878.SAV1944	A0A0D1IAH7
158878.SAV0048	M1XGF1
158878.SAV0787	A0A0D1HLA3
158878.SAV1994	A0A0D1GAY7
158878.SAV1416	A0A0D1HVQ9
158878.SAV0194	A0A0D1I6S1
158878.SAV1824	A0A0D1ILS1
158878.SAV0070	M1XJS3
158878.SAV0059	M1XJX5
158878.SAV1172	A0A0D1HHE2
158878.SAV0065	M1XHP6
158878.SAV1997	A0A0D1HFQ0
158878.SAV0024	A0A0D1J9E3
158878.SAV1981	A0A0D1FRX0
158878.SAV0173	A0A0D1IMJ4
158878.SAV1782	A0A0D1J101
158878.SAV0062	M1XJK8
158878.SAV1970	A0A0D1J0M2
158878.SAV1956	A0A0D1IF99
158878.SAV2441	A0A0D1GGU7
158878.SAV1991	A0A0D1J507
158878.SAV1942	A0A0D1HE34
158878.SAV1961	A0A0D1H6Q1
158878.SAV0428	A0A0D1IXN0
158878.SAV2002	A0A0D1IF39
158878.SAV1983	A0A0D1J947
158878.SAV0335	A0A0D1HBH8
158878.SAV1424	A0A0D1IEM6
158878.SAV0899	A0A0D1JE56
158878.SAV1958	A0A0D1IKD7
158878.SAV1952	A0A0D1H8T1
158878.SAV0915	A0A0D1HQB4
158878.SAV0024	M1XGP8
158878.SAV1419	A0A0D1H3M2
158878.SAV1465	A0A0D1JDY5
158878.SAV0867	A0A0D1JE74
158878.SAV1510	A0A0D1GIA2
158878.SAV2013	A0A0D1G117
158878.SAV0849	A0A0D1INC6
158878.SAV0068	M1XA00
158878.SAV0202	A0A0D1GYW3
158878.SAV2656	A0A0D1IFG9
158878.SAV2389	A0A0D1FXC1
158878.SAV1220	H6UVX9
158878.SAV1481	A0A0D1I9N2
158878.SAV2263	A0A0D1FLV8
158878.SAV1966	A0A0D1H6R0
158878.SAV1666	A0A0D1IKF3
158878.SAV1986	A0A0D1JEW5
158878.SAV1782	A0A0D1HND0
158878.SAV0078	M1X980
158878.SAV2494	A0A0D1HHN4
158878.SAV0379	A0A0D1IAL4
158878.SAV1981	A0A0D1JX62
158878.SAV0194	A0A0D1HYS9
158878.SAV0525	A0A0D1FA95
158878.SAV1785	A0A0D1I7R3
158878.SAV1423	A0A0D1IGR8
158878.SAV2020	A0A0D1GTU1
158878.SAV0172	A0A0D1ICX5
158878.SAV2002	A0A0D1H581
158878.SAV1601	A0A0D1I809
158878.SAV0820	A0A0D1HN67
158878.SAV0080	M1XJM0
158878.SAV0822	A0A0D1IPZ3
158878.SAV2008	A0A0D1FR33
158878.SAV1319	A0A0D1GEJ8
158878.SAV0169	A0A0D1JVH5
158878.SAV1785	A0A0D1HVW4
158878.SAV1991	A0A0D1H224
158878.SAV0558	A0A0D1F8U4
158878.SAV0031	M1XID5
158878.SAV2549	A0A0D1GXG8
158878.SAV0172	A0A0D1K5Q2
158878.SAV1946	A0A0D1H6N8
158878.SAV1423	A0A0D1FH40
158878.SAV1957	A0A0D1I955
158878.SAV1960	A0A0D1HCJ2
158878.SAV1424	A0A0D1IZ51
158878.SAV1601	A0A0D1J229
158878.SAV2389	A0A0D1HI20
158878.SAV1984	A0A0D1HWU3
158878.SAV1155	A0A0D1JWN8
158878.SAV2608	A0A0D1HG87
158878.SAV2703	A0A0D1JMY4
158878.SAV1825	A0A0D1GDE5
158878.SAV0599	A0A0D1I3R1
158878.SAV2515	A0A0D1FWY4
158878.SAV0859	A0A0D1HCA8
158878.SAV1172	A0A0D1IDH1
158878.SAV1970	A0A0D1GB22
158878.SAV1828	A0A0D1IP81
158878.SAV0558	A0A0D1IEY4
158878.SAV2147	A0A0D1HWK0
158878.SAV1979	A0A0D1IAC2
158878.SAV1419	A0A0D1IXF6
158878.SAV1802	A0A0D1FB88
158878.SAV1969	A0A0D1H210
158878.SAV0147	A0A0D1IV27
158878.SAV1948	A0A0D1IKC1
158878.SAV1992	A0A0D1IXL5
158878.SAV1651	A0A0D1HTR5
158878.SAV2608	A0A0D1FZA2
158878.SAV1657	A0A0D1J0I9
158878.SAV0700	A0A0D1J6C0
158878.SAV1658	M1XAB7
158878.SAV0029	M1XJY8
158878.SAV0063	M1XIR4
158878.SAV0063	M1XJW7
158878.SAV0044	M1XIC5
158878.SAV0062	M1XIE7
158878.SAV0081	M1XIE6
158878.SAV0074	M1XIH3
158878.SAV0046	M1XJR9
158878.SAV0061	M1X9M8
158878.SAV0079	M1XAC9
158878.SAV1653	M1XA90
158878.SAV0035	M1XI19
158878.SAV0071	M1XHR3
158878.SAV0067	M1XHB5
158878.SAV0075	M1XJW9
158878.SAV0048	M1XIU3
158878.SAV0063	M1XJN0
158878.SAV0066	M1X9W9
158878.SAV1655	M1XAJ0
158878.SAV0043	M1XI22
158878.SAV0062	M1XHP8
158878.SAV0049	M1XHT9
158878.SAV0071	M1XHV4
158878.SAV0058	M1XJN4
158878.SAV1659	M1XHL0
158878.SAV0059	M1XH88
158878.SAV0034	M1XJR7
158878.SAV0047	M1XAI7
158878.SAV0062	M1XJU1
158878.SAV0063	M1XIW1
158878.SAV0049	M1XHU2
158878.SAV0387	A0A077UEX7
158878.SAV2330	A0A077UGL3
158878.SAV0558	A0A077UU92
158878.SAV0558	A0A077VNN7
158878.SAV0558	A0A077U640
158878.SAV1971	A0A068E144
158878.SAV2130	A0A077UE38
158878.SAV2669	A0A077VE32
158878.SAV1880	A0A077VIQ8
158878.SAVP031	Q59802
158878.SAV1220	A0A077VGF9
158878.SAV2496	A0A077UPZ9
158878.SAV0589	A0A077U237
158878.SAV0589	A0A077VAR5
158878.SAV2584	A0A077UMC7
158878.SAVP031	D2J775
158878.SAV0938	A0A077U445
158878.SAV0449	A0A077U164
158878.SAV0064	Q1HAL2
158878.SAV1419	A0A077V4K3
158878.SAV0258	A0A077TVX4
158878.SAV0938	A0A077U4I5
158878.SAV0485	A0A077V2N1
158878.SAV0556	A0A077W250
158878.SAV0204	A0A077U342
158878.SAV0035	Q7DJ50
158878.SAV1010	A0A077UMS3
158878.SAV2616	A0A077UUU9
158878.SAV0252	A0A077TXQ2
158878.SAV0668	A0A077U4W4
158878.SAV1572	A0A077VX43
158878.SAV1423	A0A077U1D6
158878.SAV0985	A0A077V0U4
158878.SAV1971	A0A077VM02
158878.SAV0525	A0A077W1N6
158878.SAV1519	A0A077UZX6
158878.SAV1220	A0A077VR30
158878.SAV2708	A0A077W0J1
158878.SAV0525	A0A077TZD0
158878.SAV0802	K7ZN34
158878.SAV0847	A0A077VPH4
158878.SAV0779	A0A077VWG9
158878.SAV0485	A0A077U9Y3
158878.SAV1564	A0A077U456
158878.SAV0387	A0A077U4S1
158878.SAV0839	A0A077ULV7
158878.SAV1422	A0A077TXS5
158878.SAV2455	A0A077V1D0
158878.SAV0859	A0A077UJZ4
158878.SAV2521	A0A077UU04
158878.SAV1787	A0A077VIN2
158878.SAV0173	A0A077UEP3
158878.SAV1419	A0A077V2V7
158878.SAV2395	A0A077VD80
158878.SAV2616	A0A077TVL3
158878.SAV0427	A0A077VML6
158878.SAV1952	A0A077VW96
158878.SAV1828	A0A077V2L1
158878.SAV1712	A0A077URQ5
158878.SAV0602	A0A077V7H3
158878.SAV2596	A0A077U5K2
158878.SAV0445	A0A077UL49
158878.SAV0202	A0A077W1Y1
158878.SAV1486	A0A077UFU0
158878.SAV0387	A0A077VJI0
158878.SAV0065	Q1HAL3
158878.SAV0449	A0A077V6E5
158878.SAV0172	A0A077UXD2
158878.SAV1277	A0A077TYE4
158878.SAV2188	A0A077UQK4
158878.SAV0700	A0A077V063
158878.SAV0558	A0A077W3S0
158878.SAV1848	A0A077UAM6
158878.SAV0599	A0A077VNU8
158878.SAV1220	A0A077UI90
158878.SAV1747	A0A077US04
158878.SAV1984	A0A080VCT6
158878.SAV1823	A0A090LXQ9
158878.SAV1981	A0A068A9E4
158878.SAV0872	A0A0B6XNZ6
158878.SAV1995	W8TUW5
158878.SAV1942	A0A068A489
158878.SAV0715	I2FK96
158878.SAV0024	Q6I7F2
158878.SAV2330	A0A077VSZ0
158878.SAVP026	Q0P7F0
158878.SAV2689	A0A077UV23
158878.SAV1951	A0A0C5I9D8
158878.SAV2342	A0A0B6XSJ4
158878.SAV0801	I7H3R7
158878.SAV1424	X5DZP8
158878.SAV1963	A0A068A8K3
158878.SAV1540	X5E258
158878.SAV0558	W8TRT2
158878.SAV1010	W8TQN9
158878.SAV2503	A0A0B6XRS2
158878.SAV1993	A0A077UJN0
158878.SAV2669	A0A077UJ88
158878.SAV1951	A0A077VPL5
158878.SAV1010	A0A077TVA3
158878.SAV1976	A0A077UJP9
158878.SAV2494	A0A077VND8
158878.SAV0965	A0A077U4S9
158878.SAV0348	A0A077TVC6
158878.SAV0725	A0A077V7T7
158878.SAV0657	A0A077W199
158878.SAV0953	A0A077TVN0
158878.SAV1964	A0A077V184
158878.SAV0953	A0A077VW26
158878.SAV0147	A0A077VTU4
158878.SAV0298	A0A077UT50
158878.SAV2490	A0A077UZA1
158878.SAV1764	A0A077VSH2
158878.SAV2698	A0A077UW85
158878.SAV1323	A0A077TY42
158878.SAV0708	A0A077UJ12
158878.SAV2703	A0A077VHF5
158878.SAV2700	A0A077VMK2
158878.SAV0200	A0A077VZE6
158878.SAV2634	A0A077TXD9
158878.SAV1996	W8TRZ0
158878.SAV0194	A0A080V558
158878.SAV0035	Q7BU13
158878.SAV0048	Q9XB86
158878.SAV0062	Q53IL8
158878.SAV0851	A0A068A8V7
158878.SAV2365	A0A077U214
158878.SAV0786	I7HD06
158878.SAV0602	X5DTL3
158878.SAV2549	X5DWZ3
158878.SAV0061	Q84BN7
158878.SAV0062	Q84BN8
158878.SAV1172	W8TU86
158878.SAV2002	A0A080VAN2
158878.SAV0692	W8TNK8
158878.SAV1971	W8U9D4
158878.SAV1419	W8U5Z5
158878.SAV1423	A0A077V3B0
158878.SAVP027	D2J631
158878.SAV1423	X5EIR3
158878.SAV1950	A0A068DZD7
158878.SAV0146	A0A0C5HS71
158878.SAV1195	A0A0C5I164
158878.SAV0035	D2JA66
158878.SAV2011	Q8RSX9
158878.SAV1657	Q7DIY4
158878.SAV1991	W8TRZ4
158878.SAV0820	W8U5H2
158878.SAV1782	X5DY45
158878.SAV0034	B2Y849
158878.SAV1787	A0A0B6XMW8
158878.SAV1655	Q7DIC2
158878.SAV1656	Q7DIC3
158878.SAV0938	W8TN11
158878.SAV0348	A0A0B6XML0
158878.SAV1953	A0A0C5HVK6
158878.SAV1424	A0A077VRM9
158878.SAV1828	A0A0B6XRB2
158878.SAV1970	A0A0C5I9I5
158878.SAV1940	A0A068E1D7
158878.SAV1957	A0A0B6XRP4
158878.SAV1115	A0A077VDV6
158878.SAV1968	A0A068A8K4
158878.SAV1983	A0A077UBG9
158878.SAV0700	A0A0B6XNF5
158878.SAV0044	Q93IC6
158878.SAV1952	A0A077UB27
158878.SAV1965	A0A0C5HRX9
158878.SAV2703	A0A0C5HYY3
158878.SAV2036	G9IE42
158878.SAV1975	A0A068A6T0
158878.SAV0425	A0A0C5HNH1
158878.SAVP024	Q53696
158878.SAV1969	A0A068A4A4
158878.SAV2494	A0A0B6XSW5
158878.SAV1658	Q7DIY3
158878.SAVP015	Q7WU24
158878.SAV2472	A0A0B6XRD5
158878.SAV1996	A0A0C5HZ85
158878.SAV0209	A0A0B6XKT7
158878.SAV1826	A0A0B6XRR3
158878.SAV1830	W8UWR9
158878.SAV1968	A0A062W272
158878.SAV0714	A0A0C5HF90
158878.SAV1942	W8TV06
158878.SAV2549	A0A098H5I0
158878.SAV1802	A0A0B6XRN3
158878.SAV0793	G8I0X7
158878.SAV2009	Q53X04
158878.SAV0793	X5IY61
158878.SAV0783	X5IHC7
158878.SAV0854	A0A0C2H910
158878.SAV1970	A0A0B6XNY7
158878.SAV2669	A0A0B6XTE3
158878.SAV0786	I2FJE5
158878.SAV1155	A0A0B6XMZ7
158878.SAV2460	A0A0C5HS11
158878.SAV1423	W8TTH3
158878.SAV1787	A0A0B6XPX5
158878.SAV1959	A0A0B6XQJ9
158878.SAV1822	A0A0C5I0S3
158878.SAV2037	O33586
158878.SAV0046	Q84F59
158878.SAV2006	A0A0B6XRT3
158878.SAV1938	A0A0C5HIM8
158878.SAV1801	A0A0C5HP20
158878.SAV1601	A0A098H5S2
158878.SAV0716	A0A0A8DKM9
158878.SAV0714	A0A0B6XLW0
158878.SAV1964	A0A0C5HR60
158878.SAV2153	A0A0C5I0R5
158878.SAV1657	D2J6R9
158878.SAV0597	A0A0B6XLJ8
158878.SAV1826	A0FKY7
158878.SAV0045	Q4JF94
158878.SAV2001	A0A068DZJ6
158878.SAV1954	A0A062W3E0
158878.SAV0265	A0A0B6XM55
158878.SAV2703	A0A0B6XSB5
158878.SAV1653	Q7DIC1
158878.SAV1954	A0A077VBP1
158878.SAV0147	A0A0C5HDT6
158878.SAV0172	A0A0C5HS97
158878.SAV1825	W8UWT4
158878.SAV0057	Q93SA9
158878.SAV0899	W8TN46
158878.SAV1957	A0A0C5HVM0
158878.SAV2493	A0A0C5I2E5
158878.SAV2596	A0A0C5ICQ6
158878.SAVP017	O87357
158878.SAV1787	A0A0B6XRL4
158878.SAV1828	A0A090LRJ8
158878.SAV0602	W8U638
158878.SAV1666	A0A0C5HI06
158878.SAV0852	A0A068A5Q8
158878.SAV0900	W8U0H5
158878.SAV1787	A0A0B6XRK3
158878.SAV1115	A0A077VJ92
158878.SAV1824	Q9ZNF2
158878.SAV1707	A0A077VD36
158878.SAV1785	X5E1J9
158878.SAV1960	A0A062VRB4
158878.SAV2147	A0A0C5HJ37
158878.SAV2279	A0A0B6XSS6
158878.SAVP027	Q7WU33
158878.SAV2703	A0A0C5HVP5
158878.SAVP025	Q7DHL0
158878.SAV1959	A0A0C5HZU1
158878.SAV1993	A0A068E1L1
158878.SAV1963	A0A0B6XQ09
158878.SAV1707	W8UA39
158878.SAV1323	W8UB19
158878.SAV2515	W8U807
158878.SAV1970	A0A068A6I6
158878.SAV1977	A0A0B6XQR0
158878.SAV2608	A0A0B6XS80
158878.SAV2263	A0A0B6XR44
158878.SAV0700	A0A068A2L4
158878.SAV0049	Q9XB87
158878.SAV0063	B6VQT7
158878.SAV1115	A0A077VVL1
158878.SAV1220	A0A068A8I1
158878.SAV2669	A0A098H7A3
158878.SAV1829	A0A0C5IAJ2
158878.SAV0335	A0A0B6XKW0
158878.SAV1416	A0A0B6XQG2
158878.SAV2336	A0A077UAR1
158878.SAV1240	A0A077URF4
158878.SAV1947	W8TS34
158878.SAV1824	Q7X0E5
158878.SAV2153	A0A0B6XR08
158878.SAV1785	A0A0C5I1N2
158878.SAV1488	A0A0C5I1U5
158878.SAV1010	A0A0B6XMK6
158878.SAV0342	A0A0B6XL57
158878.SAV0998	A0A077VDJ5
158878.SAV0867	A0A0B4NC83
158878.SAVP019	O87355
158878.SAV1992	W8U4G3
158878.SAV2669	W8UUG5
158878.SAV1970	A0A077U7G8
158878.SAV0428	A0A0C5HWB8
158878.SAV2300	A0A0C5I116
158878.SAV0822	W8USE1
158878.SAV1804	A0A0B6XQ48
158878.SAV2147	A0A0B6XS56
158878.SAVP028	D2J630
158878.SAV1817	A0A0C5IAH9
158878.SAV0361	A0A098H3K7
158878.SAV2038	A0A0C5IB13
158878.SAV1445	X5E314
158878.SAV2404	A0A0C5I1A5
158878.SAV1945	W8UWC6
158878.SAV2006	A0A0C5I192
158878.SAV1964	A0A062W3F0
158878.SAV2553	A0A0B6XRK8
158878.SAV0980	A0A0B6XM31
158878.SAV0873	A0A0B6XNL3
158878.SAV0172	A0A0B6XKU8
158878.SAV1220	A0A0C5I8L0
158878.SAV1666	A0A0A8DFA5
158878.SAV1785	A0A0B6XRL3
158878.SAV0814	A0A0C5HPE4
158878.SAV0692	A0A0C5I7F9
158878.SAV0814	A0A0B6XM39
158878.SAV1986	A0A0B6XQ23
158878.SAV1958	A0A062W265
158878.SAV1978	A0A0C5HS01
158878.SAV0173	A0A0B6XKS1
158878.SAV1465	A0A0C5HMR1
158878.SAV2656	A0A0C5HV12
158878.SAV1944	Q9LC46
158878.SAVP018	C1KUR7
158878.SAV2002	A0A0B6XQ36
158878.SAV0525	A0A0C5HX76
158878.SAV1978	A0A0C6EXE5
158878.SAV2371	A0A0B6XRP2
158878.SAV1220	A0A0B6XPQ1
158878.SAV0023	A0A0B6XKN3
158878.SAV1947	A0A0C5HVK1
158878.SAV0379	A0A0B6XMN8
158878.SAV0599	A0A0B6XMX6
158878.SAV1964	A0A0C5HDX0
158878.SAV1965	A0A062VRB9
158878.SAVP022	O87354
158878.SAV1803	A0A0B6XR88
158878.SAV0785	I2FJE4
158878.SAVP027	O87371
158878.SAV2595	A0A0B6XS19
158878.SAV0058	A0A0C5HUU9
158878.SAV1969	A0A068DU76
158878.SAV1982	A0A0B6XQL9
158878.SAV0822	A0A0C5HFH8
158878.SAV1966	A0A068A6S2
158878.SAV1659	Q7DIY2
158878.SAV1981	A0A068DZH4
158878.SAV1658	Q93ID6
158878.SAV0874	A0A077U8G6
158878.SAV1787	A0A0C5HZQ2
158878.SAV0047	Q9XB85
158878.SAV0525	W8U1E4
158878.SAV1825	A0A0B6XPY7
158878.SAV2389	A0A0C5I189
158878.SAV1818	A0A0C5HQE6
158878.SAVP026	D3X7Z4
158878.SAV1785	D2J6R6
158878.SAV0031	Q7DJ52
158878.SAV0335	A0A0C5HNT1
158878.SAV1967	A0A062VZG0
158878.SAV1957	A0A077U877
158878.SAV0787	I2FJE6
158878.SAV2596	A0A0B6XTR1
158878.SAV1984	A0A0C6ELD2
158878.SAV1657	Q93ID5
158878.SAV1651	W8U5C9
158878.SAV1829	A0A0B6XPR3
158878.SAV2657	A0A0B6XS82
158878.SAV0897	A0A098H1P9
158878.SAV0361	A0A0C5KVI6
158878.SAV1970	A0A077V8A2
158878.SAV1419	A0A0B6XNU6
158878.SAV0596	A0A0B6XLP5
158878.SAV2608	A0A0C5I1X4
158878.SAV1946	W8TV02
158878.SAV1997	A0A0B6XQS9
158878.SAV0437	A0A0C5HNI1
158878.SAV0427	A0A0C5HEE7
158878.SAV1987	A0A068A8K9
158878.SAV1956	A0A068E1F7
158878.SAV0043	D3JN98
158878.SAVP016	O87358
158878.SAV0715	A0A0B6XNG9
158878.SAV1961	A0A062VX64
158878.SAV1985	A0A068A6T7
158878.SAV1948	A5A2I3
158878.SAV1962	A0A077UBA6
158878.SAV1172	A0A0B6XP89
158878.SAV1944	Q9AM04
158878.SAV2002	A0A062VZ95
158878.SAV1984	A0A077UCA1
158878.SAV1782	A0A090LZ64
158878.SAV2036	Q2VFZ9
158878.SAV0398	B5TGI4
158878.SAV0062	A5YT64
158878.SAV1658	D3X7U6
158878.SAV2008	X5IAB6
158878.SAV0061	Q9XB94
158878.SAV0057	Q93I92
158878.SAV0111	A8JKM6
158878.SAV0058	B0I343
158878.SAV2009	Q54A76
158878.SAV2630	A1KD82
158878.SAVP017	D2JA79
158878.SAVP023	Q3T2N2
158878.SAV2503	G4XGY4
158878.SAVP032	Q53607
158878.SAV2009	Q6ST49
158878.SAV0061	Q2KK67
158878.SAV2708	A0A090LVM5
158878.SAV0061	Q8VUV3
158878.SAV0811	Q2UXF5
158878.SAV0061	Q2KK52
158878.SAV2630	A1KD91
158878.SAV0111	D9IX49
158878.SAVP032	Q56G46
158878.SAV2503	Q2UWY2
158878.SAV0562	Q2UWE7
158878.SAV0063	Q3YK47
158878.SAV2010	O54461
158878.SAV0024	Q6WVG5
158878.SAV2008	Q9F0L7
158878.SAV1655	Q93I94
158878.SAV2503	E9MXW8
158878.SAV1653	Q9KX74
158878.SAV0068	A1IHL7
158878.SAVP026	Q6J3T4
158878.SAV0695	Q03325
158878.SAV2503	G4XH11
158878.SAV0561	L7Q191
158878.SAV1655	Q8RJ36
158878.SAV0062	Q2KK85
158878.SAV1948	A5X5R1
158878.SAV2038	Q2VFZ7
158878.SAV0059	D3JD10
158878.SAV1948	A5X5R4
158878.SAVP032	D2JBU4
158878.SAV0066	D2Y8Y8
158878.SAV0057	D3X800
158878.SAV0058	E9KNQ6
158878.SAV2503	G4XGX8
158878.SAVP025	I2FKA0
158878.SAV0061	Q83ZD2
158878.SAV2038	Q706X3
158878.SAV0061	E5KXI3
158878.SAV2503	Q2UWZ9
158878.SAV0811	Q2UXE5
158878.SAV2669	Q9K380
158878.SAV2502	E9MY16
158878.SAV0048	Q93ID0
158878.SAV0035	Q6DUY0
158878.SAV1654	Q4JFA1
158878.SAV0058	Q4JFA8
158878.SAV0061	Q4JFB1
158878.SAVP033	Q7WS83
158878.SAVP033	O85230
158878.SAV0398	B5TGI6
158878.SAV0562	Q2UWE5
158878.SAVP033	D2JF80
158878.SAV2503	Q2UWY9
158878.SAV0062	Q6X4Z2
158878.SAV0029	Q9KJC7
158878.SAV2503	Q2UWY7
158878.SAV0062	Q6X4Z7
158878.SAV2036	Q706X8
158878.SAV0058	A9UFT1
158878.SAV0230	Q9K2Q5
158878.SAV2630	D5G1U4
158878.SAV0230	C4B814
158878.SAV1657	D3X7U5
158878.SAV0062	Q6X4Y9
158878.SAV0024	Q3L269
158878.SAV2503	E9MXV7
158878.SAV1481	Q2UX16
158878.SAV2020	K7ZQ57
158878.SAV0045	Q93IC7
158878.SAV2025	A0FIL7
158878.SAV2503	G4XGZ1
158878.SAV0024	Q3L270
158878.SAV2027	A0FIL5
158878.SAV0066	Q0GQB4
158878.SAV0044	Q53708
158878.SAV2019	A0A098H261
158878.SAV0062	Q3YK46
158878.SAV1653	Q93I96
158878.SAV2026	A0FIL6
158878.SAV1947	A0A023W4K7
158878.SAV1825	A5JJ08
158878.SAV0024	Q1HAJ7
158878.SAV0061	Q2KK62
158878.SAV0059	A9UFT2
158878.SAV1825	Q6YCN3
158878.SAV2630	A1KDB0
158878.SAVP025	V5YRW0
158878.SAV2503	Q2UWZ7
158878.SAV0789	K7ZK06
158878.SAVP032	H6BF56
158878.SAV0063	Q19RW7
158878.SAV0043	Q799K4
158878.SAV1785	A0A098H3L4
158878.SAV1806	D2JDS0
158878.SAV2020	Q9F0K6
158878.SAV0062	B4F4B7
158878.SAV0059	B9V2B2
158878.SAV2502	Q2UWU6
158878.SAV1656	Q93I93
158878.SAV0061	Q6X4Y5
158878.SAV2009	A7E1C4
158878.SAV0561	Q2UWK0
158878.SAV0024	Q53IK8
158878.SAV1828	Q7X0E8
158878.SAV0060	Q9KX77
158878.SAV0057	B4F4C2
158878.SAV0062	Q2KKA6
158878.SAVP018	Q7WU29
158878.SAV0062	Q4JFB2
158878.SAV0398	B5TGJ5
158878.SAV0068	B0I333
158878.SAV0044	Q4JF93
158878.SAV0061	Q6X4Y0
158878.SAV0061	Q19RY5
158878.SAV0062	G5EL93
158878.SAV2555	A0A068E1I6
158878.SAV1481	Q2UX51
158878.SAV1758	Q7WRR9
158878.SAV2011	O54462
158878.SAV0058	Q9KX75
158878.SAV1824	Q7X0E4
158878.SAV0034	D2JB25
158878.SAV0398	B5TGJ0
158878.SAV0061	Q5I381
158878.SAV1974	A0A098H1R7
158878.SAV1804	Q84BP6
158878.SAV1824	Q5D1K4
158878.SAVP031	D2JE73
158878.SAV0065	Q84BP1
158878.SAVP032	Q1XG09
158878.SAV0064	Q84BP0
