8364.ENSXETP00000049381	Q5XGC8
8364.ENSXETP00000013131	F7DJR1
8364.ENSXETP00000018976	Q68EQ0
8364.ENSXETP00000059127	Q28C28
8364.ENSXETP00000058901	B1WB73
8364.ENSXETP00000042275	F7CBQ2
8364.ENSXETP00000034519	F6UFM4
8364.ENSXETP00000000214	F6XDG6
8364.ENSXETP00000061262	F6ZW79
8364.ENSXETP00000001205	F7CGW6
8364.ENSXETP00000004531	F6QTD2
8364.ENSXETP00000031475	F6SRD5
8364.ENSXETP00000026249	F6UV40
8364.ENSXETP00000039846	F7A6C4
8364.ENSXETP00000031501	F7AQY4
8364.ENSXETP00000045177	A4QN29
8364.ENSXETP00000058548	A8WGE1
8364.ENSXETP00000006391	A9JTN3
8364.ENSXETP00000007506	A9JTT7
8364.ENSXETP00000052961	A4II80
8364.ENSXETP00000031778	Q7T108
8364.ENSXETP00000055440	F6SQI0
8364.ENSXETP00000023716	F6QH53
8364.ENSXETP00000051604	B1H2S3
8364.ENSXETP00000002823	F6RNZ3
8364.ENSXETP00000032443	Q28DJ8
8364.ENSXETP00000059331	B8QB44
8364.ENSXETP00000036927	Q28FK0
8364.ENSXETP00000017752	F6ZE02
8364.ENSXETP00000052801	A8WH11
8364.ENSXETP00000004583	F6QNV6
8364.ENSXETP00000054111	F6Z7M8
8364.ENSXETP00000019280	F6ZXX5
8364.ENSXETP00000049715	F7DX36
8364.ENSXETP00000035008	L7N3J6
8364.ENSXETP00000008820	F6UAX2
8364.ENSXETP00000027888	F7A5W1
8364.ENSXETP00000039848	L7N3N0
8364.ENSXETP00000048726	F6U6H8
8364.ENSXETP00000046470	F6YCM9
8364.ENSXETP00000021584	F6ZYD6
8364.ENSXETP00000060296	F7B1F6
8364.ENSXETP00000062642	F7BEQ9
8364.ENSXETP00000036136	F7BFK9
8364.ENSXETP00000027259	F7BLN1
8364.ENSXETP00000059804	F7CKF8
8364.ENSXETP00000008684	F6SUD5
8364.ENSXETP00000022445	F7AAE2
8364.ENSXETP00000025919	F7AD86
8364.ENSXETP00000059081	F6SE86
8364.ENSXETP00000059838	F6VBC0
8364.ENSXETP00000046677	F6XIJ0
8364.ENSXETP00000062969	F6Y3L5
8364.ENSXETP00000013424	F7CMN6
8364.ENSXETP00000018103	F7E8I6
8364.ENSXETP00000050543	F6VU85
8364.ENSXETP00000015194	F6W3G7
8364.ENSXETP00000063914	F7CL77
8364.ENSXETP00000023473	F6UKB7
8364.ENSXETP00000003988	F6WMV5
8364.ENSXETP00000061156	F7BSD4
8364.ENSXETP00000001462	F7CMD4
8364.ENSXETP00000006200	F7DD19
8364.ENSXETP00000063518	F7EH19
8364.ENSXETP00000009984	F7D0U8
8364.ENSXETP00000013094	F7EDI8
8364.ENSXETP00000048537	K9J896
8364.ENSXETP00000035701	Q9DDA1
8364.ENSXETP00000042283	Q28EJ9
8364.ENSXETP00000027482	B1H0X4
8364.ENSXETP00000034748	F6SWL7
8364.ENSXETP00000038487	F6X4K5
8364.ENSXETP00000045274	F6ZZ96
8364.ENSXETP00000013732	F7E2E2
8364.ENSXETP00000019828	F6VID5
8364.ENSXETP00000062768	F6WKC3
8364.ENSXETP00000049914	F6Z409
8364.ENSXETP00000033285	F6ZZL4
8364.ENSXETP00000052982	A9ULR6
8364.ENSXETP00000060685	F6RDU1
8364.ENSXETP00000025674	B4F6K4
8364.ENSXETP00000004332	F6QY29
8364.ENSXETP00000060954	F6XJ43
8364.ENSXETP00000026823	F7CCV9
8364.ENSXETP00000003126	F6XMH8
8364.ENSXETP00000029039	F6YUM1
8364.ENSXETP00000032182	F7ETR8
8364.ENSXETP00000026439	F6YMU6
8364.ENSXETP00000049652	B1WAZ5
8364.ENSXETP00000059694	F6QS06
8364.ENSXETP00000046435	B1H126
8364.ENSXETP00000054562	F6S7J9
8364.ENSXETP00000041004	F6TUI6
8364.ENSXETP00000022441	F7AAF8
8364.ENSXETP00000000138	F7C1K7
8364.ENSXETP00000025157	F7DEK3
8364.ENSXETP00000034775	F6SV29
8364.ENSXETP00000033309	F6X6B9
8364.ENSXETP00000033034	F6WFU1
8364.ENSXETP00000003722	F6WPZ0
8364.ENSXETP00000000138	F7C1J8
8364.ENSXETP00000049697	F7EQI6
8364.ENSXETP00000032171	F7EU65
8364.ENSXETP00000056185	L7N427
8364.ENSXETP00000022495	B1H2L3
8364.ENSXETP00000017330	Q6DES9
8364.ENSXETP00000026889	Q28IH2
8364.ENSXETP00000059072	Q6DEX1
8364.ENSXETP00000029677	G1K3G0
8364.ENSXETP00000018083	Q5BKN7
8364.ENSXETP00000050384	Q28DA1
8364.ENSXETP00000040418	L7N495
8364.ENSXETP00000047112	B2GU35
8364.ENSXETP00000020223	Q5EGD6
8364.ENSXETP00000030916	F6Q0S3
8364.ENSXETP00000061876	F6Q694
8364.ENSXETP00000059512	F6QF94
8364.ENSXETP00000061952	F6PHX1
8364.ENSXETP00000047546	F6QDA1
8364.ENSXETP00000013871	F6SBM9
8364.ENSXETP00000045792	A2VCZ2
8364.ENSXETP00000062711	F6Y4C8
8364.ENSXETP00000011357	F7B387
8364.ENSXETP00000037891	F6RH54
8364.ENSXETP00000055889	F6TVD4
8364.ENSXETP00000014225	F6VMR1
8364.ENSXETP00000002219	F6VNN6
8364.ENSXETP00000030143	F6Z887
8364.ENSXETP00000044445	F7DZG2
8364.ENSXETP00000056110	F7EUI6
8364.ENSXETP00000027402	F7BKQ7
8364.ENSXETP00000058089	Q6GL51
8364.ENSXETP00000011702	B0BM83
8364.ENSXETP00000011633	F6PSH0
8364.ENSXETP00000007461	F6RQS9
8364.ENSXETP00000007841	F6VJ21
8364.ENSXETP00000062500	F6VVE0
8364.ENSXETP00000060354	F6W5K6
8364.ENSXETP00000022082	F6XNC2
8364.ENSXETP00000020864	F7EFB4
8364.ENSXETP00000016749	F7EIS3
8364.ENSXETP00000019657	Q0IIT6
8364.ENSXETP00000054957	F6PTF5
8364.ENSXETP00000011622	F6PTW5
8364.ENSXETP00000054608	F6QQU7
8364.ENSXETP00000011187	F7BRX6
8364.ENSXETP00000022515	F6UGD9
8364.ENSXETP00000012077	F6UPF4
8364.ENSXETP00000004055	F6XT62
8364.ENSXETP00000062236	F6YWG6
8364.ENSXETP00000022885	F6YXD3
8364.ENSXETP00000035541	Q6GL80
8364.ENSXETP00000062356	F6SS24
8364.ENSXETP00000022721	F6TNM7
8364.ENSXETP00000024437	A0JM37
8364.ENSXETP00000021670	B2GUH9
8364.ENSXETP00000048663	F6YS33
8364.ENSXETP00000024141	F7BG51
8364.ENSXETP00000006391	F7EBZ7
8364.ENSXETP00000059804	F6WKM6
8364.ENSXETP00000001979	F7AD33
8364.ENSXETP00000019750	F7AHY7
8364.ENSXETP00000010415	F7AYE0
8364.ENSXETP00000032652	F7EBX9
8364.ENSXETP00000035580	F6QCF2
8364.ENSXETP00000060685	Q6P306
8364.ENSXETP00000021670	A4IIK8
8364.ENSXETP00000062679	F7ARM7
8364.ENSXETP00000006500	F7CER9
8364.ENSXETP00000019445	F6RQE5
8364.ENSXETP00000004271	F6WY00
8364.ENSXETP00000040494	F6XZD9
8364.ENSXETP00000025633	F7A940
8364.ENSXETP00000051931	F7CLJ0
8364.ENSXETP00000020793	F7DBT3
8364.ENSXETP00000036801	L7N3L5
8364.ENSXETP00000033309	Q5XGE6
8364.ENSXETP00000039412	Q28HQ4
8364.ENSXETP00000030393	A4IIS2
8364.ENSXETP00000027259	G8HAA7
8364.ENSXETP00000034720	Q66KM6
8364.ENSXETP00000023728	Q28HA1
8364.ENSXETP00000046506	F6TQ94
8364.ENSXETP00000035577	F6QD10
8364.ENSXETP00000060842	F6S6F9
8364.ENSXETP00000034763	F6SVP2
8364.ENSXETP00000050911	Q28G18
8364.ENSXETP00000023728	B0JYU1
8364.ENSXETP00000001335	B1H1C9
8364.ENSXETP00000042580	F6W5Y2
8364.ENSXETP00000063934	F7CKH9
8364.ENSXETP00000041233	F6VD05
8364.ENSXETP00000036395	F7BE94
8364.ENSXETP00000028917	F7EU72
8364.ENSXETP00000061130	F6TZU6
8364.ENSXETP00000050938	F6ZFC8
8364.ENSXETP00000038689	F6ZX71
8364.ENSXETP00000040001	F6RVM6
8364.ENSXETP00000058835	F6XH10
8364.ENSXETP00000042101	F6Z8L5
8364.ENSXETP00000045089	F6UW89
8364.ENSXETP00000007859	F6VHX0
8364.ENSXETP00000002708	F6X2I7
8364.ENSXETP00000034877	F6Y9H5
8364.ENSXETP00000002312	F6RSL5
8364.ENSXETP00000045177	F6R0I4
8364.ENSXETP00000050375	F6SSD5
8364.ENSXETP00000014516	F6UTB7
8364.ENSXETP00000060562	F6YED6
8364.ENSXETP00000019954	F7AFY3
8364.ENSXETP00000040927	F7B7E6
8364.ENSXETP00000041713	F7BK11
8364.ENSXETP00000045794	F7BUJ8
8364.ENSXETP00000007854	F6VI31
8364.ENSXETP00000026285	B5DFP5
8364.ENSXETP00000034321	F6UHP0
8364.ENSXETP00000057398	F6VML5
8364.ENSXETP00000026454	F6XY38
8364.ENSXETP00000024039	L7N3E7
8364.ENSXETP00000063458	F7D0J1
8364.ENSXETP00000063616	F7DIZ7
8364.ENSXETP00000006289	A4IH58
8364.ENSXETP00000003646	A4IGR5
8364.ENSXETP00000010828	K9J7S2
8364.ENSXETP00000062714	A4IHF7
8364.ENSXETP00000013904	A4II00
8364.ENSXETP00000050124	B3DLY6
8364.ENSXETP00000032652	B4F6P9
8364.ENSXETP00000050384	F6SRV9
8364.ENSXETP00000038123	F6YPL2
8364.ENSXETP00000008596	F6YXM9
8364.ENSXETP00000061221	F7AII5
8364.ENSXETP00000029321	F6VSL4
8364.ENSXETP00000040394	F7B9G1
8364.ENSXETP00000058963	F7C324
8364.ENSXETP00000007586	Q5I008
8364.ENSXETP00000060528	F6Q8Z2
8364.ENSXETP00000017453	Q28GI4
8364.ENSXETP00000012371	F6R5N0
8364.ENSXETP00000033002	F6TV70
8364.ENSXETP00000003311	F6XL31
8364.ENSXETP00000057427	F7CSL7
8364.ENSXETP00000020223	F7DVL1
8364.ENSXETP00000011068	F6X0G5
8364.ENSXETP00000049285	F7E8U2
8364.ENSXETP00000061910	Q640T5
8364.ENSXETP00000060528	A8WGZ6
8364.ENSXETP00000043944	F6SMM9
8364.ENSXETP00000016383	F6QQE2
8364.ENSXETP00000034088	F6WVN9
8364.ENSXETP00000048928	F6X7L2
8364.ENSXETP00000043811	F6X978
8364.ENSXETP00000023390	F6ZST8
8364.ENSXETP00000015829	F7BHE2
8364.ENSXETP00000001095	F7EE52
8364.ENSXETP00000005980	F6RTJ3
8364.ENSXETP00000005052	F6YVR8
8364.ENSXETP00000059893	F7DV50
8364.ENSXETP00000061667	F6YI05
8364.ENSXETP00000059331	F6Z552
8364.ENSXETP00000004305	F6PJL9
8364.ENSXETP00000031934	F6TED3
8364.ENSXETP00000059557	F6Q8H3
8364.ENSXETP00000046551	F6S6L9
8364.ENSXETP00000029623	F6TE91
8364.ENSXETP00000032657	G1K3H0
8364.ENSXETP00000059895	Q28CN7
8364.ENSXETP00000060326	Q6DJ23
8364.ENSXETP00000043434	F6SRQ2
8364.ENSXETP00000003155	L7N2I5
8364.ENSXETP00000028300	Q28GD8
8364.ENSXETP00000010691	F6ZLM7
8364.ENSXETP00000004290	W8Q0J2
8364.ENSXETP00000054294	B1H201
8364.ENSXETP00000013455	F7CM32
8364.ENSXETP00000020290	F7DQE9
8364.ENSXETP00000034011	F6YG26
8364.ENSXETP00000001094	F7EE60
8364.ENSXETP00000058762	F6RBE3
8364.ENSXETP00000058901	F6X4U3
8364.ENSXETP00000028527	F6QP01
8364.ENSXETP00000043986	F6RVU2
8364.ENSXETP00000057925	F6SGF6
8364.ENSXETP00000055383	F6XCW2
8364.ENSXETP00000053486	F6VBU1
8364.ENSXETP00000033165	F6SK42
8364.ENSXETP00000012962	F6Y171
8364.ENSXETP00000056890	F7E2N1
8364.ENSXETP00000048152	F7A555
8364.ENSXETP00000044578	F7CT64
8364.ENSXETP00000049389	F7D781
8364.ENSXETP00000013387	F7DNU2
8364.ENSXETP00000024445	B0BMH2
8364.ENSXETP00000056852	A4IHH7
8364.ENSXETP00000059722	F6Q823
8364.ENSXETP00000054098	B1H2E8
8364.ENSXETP00000043811	Q6DEU4
8364.ENSXETP00000019657	F6TYT7
8364.ENSXETP00000015139	F6WUU1
8364.ENSXETP00000060573	F6XMV9
8364.ENSXETP00000062714	F6Y499
8364.ENSXETP00000042462	F7BR23
8364.ENSXETP00000051952	F7CKQ4
8364.ENSXETP00000044321	F7CN31
8364.ENSXETP00000032560	F7CTX3
8364.ENSXETP00000054995	F7D9Z6
8364.ENSXETP00000063170	F7DWS5
8364.ENSXETP00000056188	F7EIA4
8364.ENSXETP00000049914	A4QNF9
8364.ENSXETP00000032353	Q5BJ76
8364.ENSXETP00000036136	A4QNK9
8364.ENSXETP00000016595	B4F704
8364.ENSXETP00000047473	F6PJH8
8364.ENSXETP00000026667	B1H311
8364.ENSXETP00000058944	F6R8G8
8364.ENSXETP00000059587	F6Q2L1
8364.ENSXETP00000017664	F6SND7
8364.ENSXETP00000026596	F6T8M4
8364.ENSXETP00000035379	F6ZS80
8364.ENSXETP00000044254	F7DQ42
8364.ENSXETP00000061822	F7DYC6
8364.ENSXETP00000020114	F7CPY8
8364.ENSXETP00000041707	L7N3P5
8364.ENSXETP00000002025	F6QZN2
8364.ENSXETP00000061282	F6RF78
8364.ENSXETP00000059293	F6RK53
8364.ENSXETP00000029750	F6ZDL3
8364.ENSXETP00000010828	F7AVP1
8364.ENSXETP00000062646	F7BEL3
8364.ENSXETP00000061876	A1L1E1
8364.ENSXETP00000027482	G1K3F5
8364.ENSXETP00000014343	Q28I34
8364.ENSXETP00000019981	Q28I89
8364.ENSXETP00000060928	Q0V9S4
8364.ENSXETP00000048888	F7A0X6
8364.ENSXETP00000062823	F7CZT1
8364.ENSXETP00000025875	F6RIJ3
8364.ENSXETP00000022578	F6TP77
8364.ENSXETP00000045089	F6UWF3
8364.ENSXETP00000021670	F6WCT5
8364.ENSXETP00000059397	F6XQ07
8364.ENSXETP00000007517	A4IGX6
8364.ENSXETP00000013871	B3DM24
8364.ENSXETP00000059127	B2GU51
8364.ENSXETP00000010240	B3DLX7
8364.ENSXETP00000057153	F6R078
8364.ENSXETP00000053486	B5DE07
8364.ENSXETP00000042946	F6PWL6
8364.ENSXETP00000055440	Q5BKK3
8364.ENSXETP00000010415	B3DL85
8364.ENSXETP00000047748	F6QA77
8364.ENSXETP00000023755	F6QEC2
8364.ENSXETP00000026808	F6RMR0
8364.ENSXETP00000046752	A2RUV1
8364.ENSXETP00000021188	B0JYS0
8364.ENSXETP00000019123	Q5BKF0
8364.ENSXETP00000042208	F6RM96
8364.ENSXETP00000030403	F6RKK4
8364.ENSXETP00000059072	F6SER1
8364.ENSXETP00000044982	F6TUQ9
8364.ENSXETP00000063468	F7D029
8364.ENSXETP00000034169	F6T055
8364.ENSXETP00000035276	F6UM83
8364.ENSXETP00000008768	F6YWN4
8364.ENSXETP00000064074	F7ANG9
8364.ENSXETP00000044534	F7CYU6
8364.ENSXETP00000028380	F6QN03
8364.ENSXETP00000017554	F6X990
8364.ENSXETP00000061697	F6XQV9
8364.ENSXETP00000043995	F6RVG6
8364.ENSXETP00000059090	F6SDW8
8364.ENSXETP00000058089	F6VDD4
8364.ENSXETP00000031872	F6WIA3
8364.ENSXETP00000007318	F6X475
8364.ENSXETP00000028187	F7BQZ5
8364.ENSXETP00000015647	F7C4D9
8364.ENSXETP00000061020	F6X1I0
8364.ENSXETP00000040199	F6X7Z2
8364.ENSXETP00000020879	F7EBK6
8364.ENSXETP00000031713	F6Q401
8364.ENSXETP00000027569	F6V862
8364.ENSXETP00000055889	F6VQY4
8364.ENSXETP00000033970	F6TZ44
8364.ENSXETP00000033296	F6ZZG5
8364.ENSXETP00000003264	F7C697
8364.ENSXETP00000061622	B0JZ98
8364.ENSXETP00000034763	A9JRM1
8364.ENSXETP00000017664	Q28CM4
8364.ENSXETP00000031236	B2GTZ1
8364.ENSXETP00000033970	F6SGJ0
8364.ENSXETP00000028416	F6Q136
8364.ENSXETP00000054700	F6PYC2
8364.ENSXETP00000057058	F6UWL8
8364.ENSXETP00000017342	F6VSZ7
8364.ENSXETP00000032652	F7E8A8
8364.ENSXETP00000039820	F7A774
8364.ENSXETP00000007241	F7AKQ1
8364.ENSXETP00000005498	F7BDJ9
8364.ENSXETP00000060899	F7C581
8364.ENSXETP00000059587	F7E0Q1
8364.ENSXETP00000010363	F6UI82
8364.ENSXETP00000023728	Q66KA1
8364.ENSXETP00000060928	B3DL64
8364.ENSXETP00000034345	F6TRP1
8364.ENSXETP00000026956	Q6P4Y2
8364.ENSXETP00000028616	F6Q0F8
8364.ENSXETP00000053730	Q6DJ12
8364.ENSXETP00000059804	Q28E67
8364.ENSXETP00000027946	F6VX25
8364.ENSXETP00000028616	A8WGD7
8364.ENSXETP00000021491	F6SJ67
8364.ENSXETP00000012753	F6UZ89
8364.ENSXETP00000054225	F6Z2X8
8364.ENSXETP00000061659	F7BCR0
8364.ENSXETP00000013042	F7EHY9
8364.ENSXETP00000061896	F6Q4P6
8364.ENSXETP00000039215	F7BM43
8364.ENSXETP00000059847	F7EUU7
8364.ENSXETP00000041022	F6TTY7
8364.ENSXETP00000000786	F6UZ15
8364.ENSXETP00000005081	F6YUV3
8364.ENSXETP00000052961	F6ZXH1
8364.ENSXETP00000018146	K9J7Y2
8364.ENSXETP00000061822	Q4FZ80
8364.ENSXETP00000042241	F6RL63
8364.ENSXETP00000011114	Q5EB21
8364.ENSXETP00000026576	F6T9I3
8364.ENSXETP00000027163	F6W3N3
8364.ENSXETP00000024815	F6R1N8
8364.ENSXETP00000042545	F6W763
8364.ENSXETP00000009696	F7E1R2
8364.ENSXETP00000035211	Q0P4K3
8364.ENSXETP00000062759	B1H2Q1
8364.ENSXETP00000003615	F6S3M8
8364.ENSXETP00000024424	Q28FD0
8364.ENSXETP00000055497	Q28IM3
8364.ENSXETP00000059804	B5DEC3
8364.ENSXETP00000040051	F6R1B6
8364.ENSXETP00000058339	B1WAT6
8364.ENSXETP00000049914	B2GU46
8364.ENSXETP00000016328	F6QV30
8364.ENSXETP00000013278	B1WBK5
8364.ENSXETP00000004578	Q5FW23
8364.ENSXETP00000054608	Q6DJ65
8364.ENSXETP00000060444	A7MC67
8364.ENSXETP00000058486	B1H3L0
8364.ENSXETP00000060580	F6XMB9
8364.ENSXETP00000004578	F6QPA9
8364.ENSXETP00000052208	F6U3X1
8364.ENSXETP00000048915	F6X7U1
8364.ENSXETP00000042317	F6XSA6
8364.ENSXETP00000048663	F6Z0W7
8364.ENSXETP00000027823	F7A229
8364.ENSXETP00000013325	F7DU42
8364.ENSXETP00000056852	F7E6V3
8364.ENSXETP00000063992	F7EQ54
8364.ENSXETP00000002455	F6YNL0
8364.ENSXETP00000014945	F6Z775
8364.ENSXETP00000020270	F7DUZ9
8364.ENSXETP00000024445	Q6P8D2
8364.ENSXETP00000005303	F6XAL4
8364.ENSXETP00000005064	F6YVE5
8364.ENSXETP00000063640	F7DDL5
8364.ENSXETP00000061709	F6UKA5
8364.ENSXETP00000021661	F6WD56
8364.ENSXETP00000012885	F7BBY2
8364.ENSXETP00000063556	F7ECL8
8364.ENSXETP00000058882	F6WP50
8364.ENSXETP00000049359	F7DDN0
8364.ENSXETP00000048663	F7DY02
8364.ENSXETP00000034209	Q5XGC4
8364.ENSXETP00000039820	Q6NZH3
8364.ENSXETP00000029152	Q0P4N5
8364.ENSXETP00000003575	Q0IIX1
8364.ENSXETP00000033970	B1H145
8364.ENSXETP00000021188	F6SKK2
8364.ENSXETP00000062759	F6XAM5
8364.ENSXETP00000060597	F6XLH0
8364.ENSXETP00000043252	F6R6H2
8364.ENSXETP00000016217	F6XQY0
8364.ENSXETP00000039458	F7AWP8
8364.ENSXETP00000023330	F7B346
8364.ENSXETP00000042441	F7C9U2
8364.ENSXETP00000021909	L7N364
8364.ENSXETP00000036877	A0JPC7
8364.ENSXETP00000003799	F6V6W3
8364.ENSXETP00000059136	F6ZUK8
8364.ENSXETP00000009981	F7D0W9
8364.ENSXETP00000009960	F7D7T1
8364.ENSXETP00000013734	F7E2D6
8364.ENSXETP00000049031	F7E9B0
8364.ENSXETP00000037288	B3DM31
8364.ENSXETP00000019466	F6RPI0
8364.ENSXETP00000008073	Q0V9M6
8364.ENSXETP00000053425	A4QNF5
8364.ENSXETP00000057058	A8E5S2
8364.ENSXETP00000061795	F6QXQ0
8364.ENSXETP00000005961	F6RUM3
8364.ENSXETP00000053730	F7AWV1
8364.ENSXETP00000063203	F7D1U7
8364.ENSXETP00000058373	Q6P4X4
8364.ENSXETP00000019011	F6X6N4
8364.ENSXETP00000026889	F7BSU9
8364.ENSXETP00000003822	F7C313
8364.ENSXETP00000019458	A4II49
8364.ENSXETP00000058373	F6RDJ2
8364.ENSXETP00000061211	F7B5E5
8364.ENSXETP00000048628	F6ZF99
8364.ENSXETP00000030143	F6UQN0
8364.ENSXETP00000028295	F6W656
8364.ENSXETP00000006802	F6YG86
8364.ENSXETP00000003039	F7C7K9
8364.ENSXETP00000046486	Q6DJ46
8364.ENSXETP00000018976	Q6P7K9
8364.ENSXETP00000034070	B1WB11
8364.ENSXETP00000023372	L7N380
8364.ENSXETP00000015445	F7BKC7
8364.ENSXETP00000027000	F7BNQ6
8364.ENSXETP00000025255	F7ELR3
8364.ENSXETP00000030689	F6QN70
8364.ENSXETP00000046752	F6S4Z9
8364.ENSXETP00000004517	F6QWD3
8364.ENSXETP00000058320	F6SZ39
8364.ENSXETP00000004504	F6PHG3
8364.ENSXETP00000016493	F6PXC5
8364.ENSXETP00000059725	F6Q7Z6
8364.ENSXETP00000054771	F6PU47
8364.ENSXETP00000002819	F6RP51
8364.ENSXETP00000060812	F6TNY0
8364.ENSXETP00000016217	B1H1Z1
8364.ENSXETP00000016175	F7CA14
8364.ENSXETP00000063127	F6QP14
8364.ENSXETP00000040204	F6U435
8364.ENSXETP00000028951	F7EN95
8364.ENSXETP00000015203	F6RDY9
8364.ENSXETP00000001671	F7CY63
8364.ENSXETP00000061050	F6YLE7
8364.ENSXETP00000040357	F7BAB0
8364.ENSXETP00000029612	F6TEM0
8364.ENSXETP00000040582	F6U2C6
8364.ENSXETP00000005799	F6ZDT2
8364.ENSXETP00000034607	F6ZMH9
8364.ENSXETP00000047839	F7CK04
8364.ENSXETP00000018170	F7DZT5
8364.ENSXETP00000016072	F6WZT5
8364.ENSXETP00000047112	F7BRM5
8364.ENSXETP00000061822	F7EE38
8364.ENSXETP00000002241	F6VMZ3
8364.ENSXETP00000019819	F6W9B5
8364.ENSXETP00000022495	F6Z0R6
8364.ENSXETP00000032353	F7CN16
8364.ENSXETP00000000780	F6UZ63
8364.ENSXETP00000011468	F6VEB4
8364.ENSXETP00000058486	F6WT07
8364.ENSXETP00000036829	F7BXH6
8364.ENSXETP00000049657	F7CFD9
8364.ENSXETP00000009941	F7DE03
8364.ENSXETP00000027355	F6W0X3
8364.ENSXETP00000028881	F6ZFN5
8364.ENSXETP00000009046	F7B370
8364.ENSXETP00000053644	F6VA51
8364.ENSXETP00000017082	F6Y6L7
8364.ENSXETP00000058486	F7BXE7
8364.ENSXETP00000018055	K9J7Y0
8364.ENSXETP00000008008	Q0D2B8
8364.ENSXETP00000027984	A4IIL5
8364.ENSXETP00000047018	B3DLJ4
8364.ENSXETP00000046845	B3DLS9
8364.ENSXETP00000046845	B3DM10
8364.ENSXETP00000060006	B3DM68
8364.ENSXETP00000036876	Q28H55
8364.ENSXETP00000007602	A1A5F7
8364.ENSXETP00000012852	G1K3C1
8364.ENSXETP00000051856	Q5BKL4
8364.ENSXETP00000001186	G1K3A1
8364.ENSXETP00000040971	Q569E1
8364.ENSXETP00000017361	Z4YP89
8364.ENSXETP00000026526	B3DM08
8364.ENSXETP00000030479	G1K3G4
8364.ENSXETP00000052598	G1K3L4
8364.ENSXETP00000053056	G1K3L5
8364.ENSXETP00000057558	G1K3M8
8364.ENSXETP00000061804	Q28G10
8364.ENSXETP00000018400	Q561K1
8364.ENSXETP00000002719	G1K3A5
8364.ENSXETP00000058025	G1K3N1
8364.ENSXETP00000020621	Q28GA5
8364.ENSXETP00000008525	Q28J98
8364.ENSXETP00000061610	Q499C5
8364.ENSXETP00000017945	G1K3D2
8364.ENSXETP00000035835	G1K3H9
8364.ENSXETP00000042121	G1K3J2
8364.ENSXETP00000020020	Q28C02
8364.ENSXETP00000046167	Q28CW1
8364.ENSXETP00000014535	B3DM21
8364.ENSXETP00000054060	Q28GH1
8364.ENSXETP00000063598	Q28IV9
8364.ENSXETP00000047386	B3DM11
8364.ENSXETP00000045043	G8JLU2
8364.ENSXETP00000062222	Q6DIT1
8364.ENSXETP00000058728	F6S516
8364.ENSXETP00000062868	F6R3U7
8364.ENSXETP00000027951	Q68EQ4
8364.ENSXETP00000057159	B3DLX6
8364.ENSXETP00000034467	B3DLI9
8364.ENSXETP00000026953	G1K3F3
8364.ENSXETP00000049772	Q599K3
8364.ENSXETP00000039226	Q5BKF6
8364.ENSXETP00000015653	G1K3C6
8364.ENSXETP00000061801	Q28HB8
8364.ENSXETP00000009705	B3DLF2
8364.ENSXETP00000046653	B3DLI0
8364.ENSXETP00000036645	B3DLY7
8364.ENSXETP00000005307	G1K3A6
8364.ENSXETP00000022754	G1K3E4
8364.ENSXETP00000026816	G1K3F1
8364.ENSXETP00000049381	G8JLU3
8364.ENSXETP00000050005	G8JLU4
8364.ENSXETP00000032271	Q28DA9
8364.ENSXETP00000056046	Q28HB5
8364.ENSXETP00000061230	B3DLV1
8364.ENSXETP00000061582	B3DLZ8
8364.ENSXETP00000054646	G1K3M0
8364.ENSXETP00000048638	Q28I18
8364.ENSXETP00000029505	Q66KK1
8364.ENSXETP00000056615	Q5FVW5
8364.ENSXETP00000063858	Q66JG6
8364.ENSXETP00000060491	Q5M8U7
8364.ENSXETP00000018988	Q68EQ6
8364.ENSXETP00000044704	F8V2T4
8364.ENSXETP00000059411	F6PPP6
8364.ENSXETP00000009055	Q66IJ6
8364.ENSXETP00000030055	Q66JC2
8364.ENSXETP00000036826	Q66JL5
8364.ENSXETP00000030111	Q66KB3
8364.ENSXETP00000028615	F6Q0G8
8364.ENSXETP00000059709	F6QB21
8364.ENSXETP00000008283	K0PUS8
8364.ENSXETP00000016336	B5DEC0
8364.ENSXETP00000007443	L7N490
8364.ENSXETP00000035520	Q28BY7
8364.ENSXETP00000003499	Q28CB9
8364.ENSXETP00000029303	Q28CT6
8364.ENSXETP00000015723	B1WB19
8364.ENSXETP00000019016	B1WB69
8364.ENSXETP00000010204	B2GUM2
8364.ENSXETP00000003519	B3DL46
8364.ENSXETP00000035212	Q28BP7
8364.ENSXETP00000031419	B2GU64
8364.ENSXETP00000061582	B2GUL1
8364.ENSXETP00000058806	B5DE72
8364.ENSXETP00000047830	B5DET6
8364.ENSXETP00000030706	F6Q2D8
8364.ENSXETP00000019707	Q28DY4
8364.ENSXETP00000004125	B1WBK6
8364.ENSXETP00000032834	B3DL94
8364.ENSXETP00000005778	B5DE52
8364.ENSXETP00000015856	B2RYX7
8364.ENSXETP00000062965	B3DL79
8364.ENSXETP00000020655	B5DDX9
8364.ENSXETP00000050611	F6R5I8
8364.ENSXETP00000026300	Q28CL6
8364.ENSXETP00000021637	Q28FT9
8364.ENSXETP00000042099	Q28FV3
8364.ENSXETP00000009395	B2GUF4
8364.ENSXETP00000034218	B5DDY2
8364.ENSXETP00000061638	Q28F17
8364.ENSXETP00000046167	Q28IM9
8364.ENSXETP00000014399	Q4KKX3
8364.ENSXETP00000045940	B1WAX2
8364.ENSXETP00000035598	B1WBK4
