64091.VNG0309C	Q9HSB8
64091.VNG2224G	Q9HN71
64091.VNG2174H	Q9HNB1
64091.VNG2314H	Q9HMZ7
64091.VNG2170H	Q9HNB4
64091.VNG2558G	Q9HMG1
64091.VNG2372G	Q9HMV3
64091.VNG2674H	Q9HM73
64091.VNG1973H	Q9HNS1
64091.VNG2197H	Q9HN92
64091.VNG1951G	Q9HNT7
64091.VNG1357C	Q9HQ28
64091.VNG2264C	Q9HN39
64091.VNG1801G	Q9HP50
64091.VNG1168C	Q9HQH0
64091.VNG1175G	Q9HQG5
64091.VNG0346H	Q9HS92
64091.VNG0576C	Q9HRR7
64091.VNG0919G	Q9HR08
64091.VNG0716G	Q9HRG1
64091.VNG0867G	Q9HR47
64091.VNG0566C	Q9HRS5
64091.VNG0966G	Q9HQX0
64091.VNG0212H	Q9HSI6
64091.VNG0025H	Q9HSY5
64091.VNG0724H	Q9HRF5
64091.VNG2606G	Q9HMC6
64091.VNG2544H	Q9HMH1
64091.VNG2539H	Q9HMH4
64091.VNG1869C	Q9HP00
64091.VNG1864G	Q9HP05
64091.VNG0670H	Q9HRJ4
64091.VNG0700G	Q9HRH2
64091.VNG2172C	Q9HNB3
64091.VNG1374G	Q9HQ16
64091.VNG0520H	Q9HRW0
64091.VNG0947G	Q9HQY4
64091.VNG0633G	Q9HRM2
64091.VNG0430H	Q9HS30
64091.VNG1235C	Q9HQB8
64091.VNG2393G	Q9HMT7
64091.VNG1948H	Q9HNT9
64091.VNG1067G	Q9HQP3
64091.VNG0557H	Q9HRT2
64091.VNG0168H	Q9HSL9
64091.VNG2117C	Q9HNG3
64091.VNG0990H	Q9HQV4
64091.VNG2167G	Q9HNB7
64091.VNG0913H	Q9HR13
64091.VNG0220H	Q9HSH9
64091.VNG1086C	Q9HQM9
64091.VNG0609C	Q9HRP1
64091.VNG0360C	Q9HS83
64091.VNG0017H	Q9HSZ2
64091.VNG1094H	Q9HQM2
64091.VNG1024C	Q9HQS7
64091.VNG0682C	Q9HRI3
64091.VNG0154G	Q9HSN0
64091.VNG0511H	Q9HRW5
64091.VNG0810H	Q9HR90
64091.VNG1540G	Q9HPP2
64091.VNG1917H	Q9HNW4
64091.VNG1617H	Q9HPI7
64091.VNG0854C	Q9HR56
64091.VNG0748G	Q9HRD5
64091.VNG2036G	Q9HNM3
64091.VNG1884G	Q9HNY9
64091.VNG0853C	Q9HR57
64091.VNG0896G	Q9HR24
64091.VNG1974H	Q9HNS0
64091.VNG2379H	Q9HMU7
64091.VNG2650G	Q9HM88
64091.VNG2347G	Q9HMX0
64091.VNG1220H	Q9HQC8
64091.VNG0924G	Q9HR04
64091.VNG0892H	Q9HR26
64091.VNG0020H	Q9HSY9
64091.VNG2525H	Q9HMI5
64091.VNG0065G	Q9HSU9
64091.VNG0306C	Q9HSC2
64091.VNG2566H	Q9HMF6
64091.VNG2645H	Q9HM92
64091.VNG2521H	Q9HMI9
64091.VNG2387H	Q9HMU0
64091.VNG0837H	Q9HR67
64091.VNG0410G	Q9HS45
64091.VNG0727C	Q9HRF2
64091.VNG0533H	Q9HRV1
64091.VNG2474C	Q9HMM3
64091.VNG1672H	Q9HPE7
64091.VNG1748C	Q9HP93
64091.VNG0585H	Q9HRR0
64091.VNG1090H	Q9HQM5
64091.VNG0573C	Q9HRS0
64091.VNG2499G	Q9HMK7
64091.VNG2340H	Q9HMX6
64091.VNG2231C	Q9HN67
64091.VNG0035H	Q9HSX5
64091.VNG0002G	Q9HT03
64091.VNG0501G	Q9HRX5
64091.VNG1285G	Q9HQ80
64091.VNG0993H	Q9HQV1
64091.VNG1664H	Q9HPF3
64091.VNG0725H	Q9HRF4
64091.VNG1239H	Q9HQB5
64091.VNG0930G	Q9HQZ9
64091.VNG1533H	Q9HPP7
64091.VNG1202C	Q9HQE2
64091.VNG0227H	Q9HSH5
64091.VNG0069H	Q9HSU5
64091.VNG1041H	Q9HQR3
64091.VNG0823G	Q9HR79
64091.VNG0005H	Q9HT01
64091.VNG1246H	Q9HQA9
64091.VNG2160C	Q9HNC3
64091.VNG0647G	Q9HRL2
64091.VNG1551G	Q9HPN3
64091.VNG1624G	Q9HPI2
64091.VNG0261H	Q9HSF2
64091.VNG0692C	Q9HRH6
64091.VNG2537G	Q9HMH5
64091.VNG1946G	Q9HNU0
64091.VNG1337C	Q9HQ44
64091.VNG2477H	Q9HMM0
64091.VNG2585H	Q9HME2
64091.VNG1276C	Q9HQ87
64091.VNG1428G	Q9HPX5
64091.VNG2218G	Q9HN76
64091.VNG1851G	Q9HP13
64091.VNG0662G	Q9HRK1
64091.VNG2484G	Q9HML6
64091.VNG2001G	Q9HNP8
64091.VNG1920H	Q9HNW0
64091.VNG0824G	Q9HR78
64091.VNG2384G	Q9HMU3
64091.VNG2455C	Q9HMN8
64091.VNG2343G	Q9HMX3
64091.VNG2222G	Q9HN73
64091.VNG2109H	Q9HNG9
64091.VNG1782C	Q9HP66
64091.VNG1530H	Q9HPP9
64091.VNG1513H	Q9HPR1
64091.VNG1488G	Q9HPS7
64091.VNG2534C	Q9HMH7
64091.VNG2581H	Q9HME5
64091.VNG2262H	Q9HN41
64091.VNG0492H	Q9HRY1
64091.VNG0935G	Q9HQZ4
64091.VNG0659H	Q9HRK3
64091.VNG0067H	Q9HSU7
64091.VNG0421C	Q9HS38
64091.VNG1720H	Q9HPB0
64091.VNG1862G	Q9HP06
64091.VNG2440H	Q9HMQ0
64091.VNG2097C	Q9HNH9
64091.VNG1977H	Q9HNR8
64091.VNG2168C	Q9HNB6
64091.VNG2526G	Q9HMI4
64091.VNG2313H	Q9HMZ8
64091.VNG1644G	Q9HPG8
64091.VNG1532G	Q9HPP8
64091.VNG1362H	Q9HQ25
64091.VNG0216H	Q9HSI3
64091.VNG0537C	Q9HRU7
64091.VNG2488C	Q9HML4
64091.VNG1156G	Q9HQH9
64091.VNG0298H	Q9HSC6
64091.VNG0108G	Q9HSR7
64091.VNG1582G	Q9HPL0
64091.VNG1268H	Q9HQ93
64091.VNG2536C	Q9HMH8
64091.VNG2619H	Q9HMB5
64091.VNG2041H	Q9HNM0
64091.VNG1568G	Q9HPM0
64091.VNG0891G	Q9HR27
64091.VNG1498G	Q9HPS1
64091.VNG2233C	Q9HN65
64091.VNG1174G	Q9HQG4
64091.VNG0316C	Q9HSB2
64091.VNG2186G	Q9HNA0
64091.VNG2454C	Q9HMN9
64091.VNG0097G	Q9HSS6
64091.VNG0893G	Q9HR25
64091.VNG0455G	Q9HS11
64091.VNG2551G	Q9HMG7
64091.VNG2290G	Q9HN18
64091.VNG2211H	Q9HN81
64091.VNG2028H	Q9HNM9
64091.VNG0564H	Q9HRS6
64091.VNG0141H	Q9HSP2
64091.VNG0906H	Q9HR18
64091.VNG1036H	Q9HQR7
64091.VNG0487H	Q9HRY5
64091.VNG1837G	Q9HP25
64091.VNG0335G	Q9HS98
64091.VNG2219G	Q9HN75
64091.VNG0876G	Q9HR39
64091.VNG2486G	Q9HML5
64091.VNG1926G	Q9HNV6
64091.VNG1456H	Q9HPV5
64091.VNG0813G	Q9HR87
64091.VNG2431C	Q9HMQ6
64091.VNG0849C	Q9HR60
64091.VNG2080C	Q9HNJ2
64091.VNG1978H	Q9HNR7
64091.VNG1473H	Q9HPU0
64091.VNG2611G	Q9HMC2
64091.VNG0816G	Q9HR84
64091.VNG2580C	Q9HME6
64091.VNG1752C	Q9HP90
64091.VNG0587H	Q9HRQ8
64091.VNG0399H	Q9HS55
64091.VNG0723G	Q9HRF6
64091.VNG0060G	Q9HSV4
64091.VNG1023C	Q9HQS8
64091.VNG1261H	Q9HQ98
64091.VNG0600C	Q9HRP8
64091.VNG0437C	Q9HS25
64091.VNG1592G	Q9HPK3
64091.VNG0003C	Q9HT02
64091.VNG2171G	Q9HNB5
64091.VNG1754G	Q9HP89
64091.VNG0676C	Q9HRI9
64091.VNG0643G	Q9HRL4
64091.VNG0887G	Q9HR30
64091.VNG0926H	Q9HR02
64091.VNG1927H	Q9HNV5
64091.VNG1749G	Q9HP92
64091.VNG1969G	Q9HNS4
64091.VNG1790H	Q9HP59
64091.VNG1589C	Q9HPK6
64091.VNG2154C	Q9HNC9
64091.VNG1623G	Q9HPI3
64091.VNG0950Gm	Q9HQY2
64091.VNG0364G	Q9HS80
64091.VNG0368C	Q9HS77
64091.VNG0034H	Q9HSX6
64091.VNG0291H	Q9HSD1
64091.VNG2441G	Q9HMP9
64091.VNG2084G	Q9HNI9
64091.VNG0615C	Q9HRN5
64091.VNG0981C	Q9HQW2
64091.VNG0596H	Q9HRQ1
64091.VNG2475C	Q9HMM2
64091.VNG1555G	Q9HPN0
64091.VNG1564H	Q9HPM4
64091.VNG2104G	Q9HNH3
64091.VNG0632G	Q9HRM3
64091.VNG0098G	Q9HSS5
64091.VNG2567C	Q9HMF5
64091.VNG2063G	Q9HNK4
64091.VNG2191H	Q9HN96
64091.VNG0532H	Q9HRV2
64091.VNG0076H	Q9HSU0
64091.VNG0801C	Q9HR94
64091.VNG0457G	Q9HS10
64091.VNG0187H	Q9HSK4
64091.VNG2302G	Q9HN07
64091.VNG2640G	Q9HM98
64091.VNG2316C	Q9HMZ5
64091.VNG1438H	Q9HPW8
64091.VNG1302H	Q9HQ69
64091.VNG0250C	Q9HSG0
64091.VNG0049H	Q9HSW3
64091.VNG0639G	Q9HRL8
64091.VNG2553G	Q9HMG5
64091.VNG2129H	Q9HNF2
64091.VNG2128C	Q9HNF3
64091.VNG0152G	Q9HSN2
64091.VNG1427H	Q9HPX6
64091.VNG0022H	Q9HSY8
64091.VNG0688H	Q9HRH9
64091.VNG2349G	Q9HMW9
64091.VNG0665G	Q9HRJ9
64091.VNG1182H	Q9HQF8
64091.VNG2402H	Q9HMS8
64091.VNG2152C	Q9HND1
64091.VNG1607G	Q9HPJ6
64091.VNG1832H	Q9HP30
64091.VNG0955G	Q9HQX9
64091.VNG0040C	Q9HSX1
64091.VNG0750C	Q9HRD3
64091.VNG0401G	Q9HS54
64091.VNG0011C	Q9HSZ7
64091.VNG2322G	Q9HMZ1
64091.VNG1398C	Q9HPZ8
64091.VNG1453H	Q9HPV8
64091.VNG1313G	Q9HQ61
64091.VNG1341G	Q9HQ41
64091.VNG0233H	Q9HSH1
64091.VNG1976H	Q9HNR9
64091.VNG0677H	Q9HRI7
64091.VNG0106G	Q9HSR9
64091.VNG0478C	Q9HRZ3
64091.VNG0901G	Q9HR21
64091.VNG1960H	Q9HNT0
64091.VNG1518H	Q9HPQ8
64091.VNG0988H	Q9HQV6
64091.VNG0985H	Q9HQV9
64091.VNG1461H	Q9HPV1
64091.VNG1215G	Q9HQD2
64091.VNG2176H	Q9HNB0
64091.VNG2143G	Q9HND9
64091.VNG1085H	Q9HQN0
64091.VNG0845C	Q9HR63
64091.VNG1100C	Q9HQL7
64091.VNG0991H	Q9HQV3
64091.VNG0582C	Q9HRR3
64091.VNG0157G	Q9HSM8
64091.VNG2636G	Q9HMA2
64091.VNG0199H	Q9HSJ4
64091.VNG1327G	Q9HQ50
64091.VNG0636G	Q9HRM0
64091.VNG0352H	Q9HS88
64091.VNG0120H	Q9HSQ9
64091.VNG1351G	Q9HQ33
64091.VNG1068G	Q9HQP2
64091.VNG2577C	Q9HME8
64091.VNG2351C	Q9HMW8
64091.VNG1868G	Q9HP01
64091.VNG1459H	Q9HPV2
64091.VNG0861H	Q9HR51
64091.VNG1154H	Q9HQI0
64091.VNG1002H	Q9HQU3
64091.VNG1893G	Q9HNY3
64091.VNG2449G	Q9HMP2
64091.VNG1956H	Q9HNT3
64091.VNG1455H	Q9HPV6
64091.VNG2493C	Q9HML2
64091.VNG0329G	Q9HSA2
64091.VNG1402H	Q9HPZ7
64091.VNG0673G	Q9HRJ2
64091.VNG0398G	Q9HS56
64091.VNG0969H	Q9HQW8
64091.VNG0923G	Q9HR05
64091.VNG0804C	Q9HR93
64091.VNG0472H	Q9HRZ7
64091.VNG0008G	Q9HSZ9
64091.VNG1910H	Q9HNW9
64091.VNG1657H	Q9HPF9
64091.VNG1012H	Q9HQT6
64091.VNG1163G	Q9HQH3
64091.VNG0800H	Q9HR95
64091.VNG0451G	Q9HS14
64091.VNG2535H	Q9HMH6
64091.VNG2034H	Q9HNM5
64091.VNG2081H	Q9HNJ1
64091.VNG0043H	Q9HSW8
64091.VNG1838H	Q9HP23
64091.VNG1795C	Q9HP54
64091.VNG1526G	Q9HPQ2
64091.VNG1238C	Q9HQB4
64091.VNG0176H	Q9HSL3
64091.VNG1857C	Q9HP09
64091.VNG1497C	Q9HPS0
64091.VNG1942H	Q9HNU4
64091.VNG1877C	Q9HNZ4
64091.VNG1034H	Q9HQR9
64091.VNG2527G	Q9HMI3
64091.VNG0998G	Q9HQU7
64091.VNG0598C	Q9HRP9
64091.VNG0453G	Q9HS12
64091.VNG1291H	Q9HQ77
64091.VNG1319H	Q9HQ56
64091.VNG2020C	Q9HNN5
64091.VNG1543G	Q9HPN9
64091.VNG1816G	Q9HP41
64091.VNG0612H	Q9HRN8
64091.VNG2458C	Q9HMN6
64091.VNG2244H	Q9HN55
64091.VNG1059C	Q9HQQ0
64091.VNG0565C	Q9HRS7
64091.VNG0914H	Q9HR12
64091.VNG0650C	Q9HRL0
64091.VNG1493G	Q9HPS4
64091.VNG0758C	Q9HRC6
64091.VNG0204H	Q9HSJ2
64091.VNG1281H	Q9HQ84
64091.VNG1119H	Q9HQK4
64091.VNG0741H	Q9HRE0
64091.VNG0222C	Q9HSH8
64091.VNG0146H	Q9HSN8
64091.VNG1256G	Q9HQA1
64091.VNG0883H	Q9HR33
64091.VNG0652H	Q9HRK8
64091.VNG0542C	Q9HRU3
64091.VNG0954C	Q9HQY0
64091.VNG2419C	Q9HMR5
64091.VNG0852C	Q9HR58
64091.VNG1294G	F2Z6G9
64091.VNG0925C	Q9HR03
64091.VNG1890H	Q9HNY5
64091.VNG2396G	Q9HMT4
64091.VNG2268H	Q9HN38
64091.VNG2115H	Q9HNG5
64091.VNG1872C	Q9HNZ8
64091.VNG1490H	Q9HPS6
64091.VNG1891H	Q9HNY4
64091.VNG1099C	Q9HQL8
64091.VNG2502C	Q9HMK5
64091.VNG1676G	Q9HPE4
64091.VNG0903C	Q9HR20
64091.VNG2189H	Q9HN98
64091.VNG2113C	Q9HNG6
64091.VNG1943H	Q9HNU3
64091.VNG1462G	Q9HPV0
64091.VNG1213C	Q9HQD4
64091.VNG1344G	Q9HQ38
64091.VNG0339H	Q9HS97
64091.VNG0541G	Q9HRU4
64091.VNG1807H	Q9HP46
64091.VNG1806H	Q9HP47
64091.VNG1244C	Q9HQB1
64091.VNG1581C	Q9HPL1
64091.VNG1559H	Q9HPM7
64091.VNG0651G	Q9HRK9
64091.VNG1247G	Q9HQA8
64091.VNG0042G	Q9HSW9
64091.VNG2642H	Q9HM96
64091.VNG1867G	Q9HP02
64091.VNG0139H	Q9HSP4
64091.VNG1252G	Q9HQA4
64091.VNG1284G	Q9HQ81
64091.VNG1131G	Q9HQJ7
64091.VNG0606G	Q9HRP3
64091.VNG0160G	Q9HSM5
64091.VNG0138H	Q9HSP5
64091.VNG0915G	Q9HR11
64091.VNG0764C	Q9HRC1
64091.VNG0668C	Q9HRJ6
64091.VNG2523H	Q9HMI7
64091.VNG1965H	Q9HNS6
64091.VNG1733G	Q9HPA2
64091.VNG2110C	Q9HNG8
64091.VNG1746C	Q9HP94
64091.VNG1183H	Q9HQF6
64091.VNG1128G	Q9HQJ9
64091.VNG0486G	Q9HRY6
64091.VNG1253C	Q9HQA3
64091.VNG1200H	Q9HQE4
64091.VNG0916G	Q9HR10
64091.VNG0786G	Q9HRA6
64091.VNG0293H	Q9HSD0
64091.VNG0286C	Q9HSD4
64091.VNG0107G	Q9HSR8
64091.VNG0047Gm	Q9HSW4
64091.VNG0019H	Q9HSZ0
64091.VNG0890G	Q9HR28
64091.VNG0274C	Q9HSE2
64091.VNG0462C	Q9HS06
64091.VNG0207H	Q9HSI9
64091.VNG0484G	Q9HRY8
64091.VNG0482H	Q9HRZ0
64091.VNG0882Gm	Q9HR34
64091.VNG0435H	Q9HS27
64091.VNG0077H	Q9HST9
64091.VNG0051G	Q9HSW1
64091.VNG0247C	Q9HSG2
64091.VNG0024H	Q9HSY6
64091.VNG0143H	Q9HSP0
64091.VNG0459G	Q9HS08
64091.VNG0037H	Q9HSX4
64091.VNG0027H	Q9HSY3
64091.VNG1240G	Q9HQB3
64091.VNG0297H	Q9HSC7
64091.VNG0170Cm	Q9HSL8
64091.VNG0014C	Q9HSZ5
64091.VNG1226H	Q9HQC5
64091.VNG0769H	Q9HRB6
64091.VNG0578H	Q9HRR6
64091.VNG0196H	Q9HSJ7
64091.VNG1083G	Q9HQN2
64091.VNG2205H	Q9HN86
64091.VNG0056H	Q9HSV7
64091.VNG1389C	Q9HQ03
64091.VNG2416G	Q9HMR8
64091.VNG0349Gm	Q9HS90
64091.VNG0110C	Q9HSR6
64091.VNG2108G	Q9HNH0
64091.VNG1861C	Q9HP07
64091.VNG1487H	Q9HPS8
64091.VNG0767H	Q9HRB8
64091.VNG0320H	Q9HSA9
64091.VNG2165H	Q9HNB9
64091.VNG2091H	Q9HNI3
64091.VNG0735G	Q9HRE5
64091.VNG0540G	Q9HRU5
64091.VNG1472G	Q9HPU1
64091.VNG0481G	Q9HRZ1
64091.VNG0121H	Q9HSQ8
64091.VNG2049C	Q9HNL3
64091.VNG2177H	Q9HNA9
64091.VNG0383H	Q9HS67
64091.VNG0230C	Q9HSH3
64091.VNG0660H	Q9HRK2
64091.VNG1413H	Q9HPY6
64091.VNG0702H	Q9HRH1
64091.VNG2498H	Q9HMK8
64091.VNG2082G	Q9HNJ0
64091.VNG1786H	Q9HP62
64091.VNG2062G	Q9HNK6
64091.VNG0485H	Q9HRY7
64091.VNG1989H	Q9HNQ8
64091.VNG2678H	Q9HM70
64091.VNG1894C	Q9HNY2
64091.VNG1375C	Q9HQ15
64091.VNG2400H	Q9HMT0
64091.VNG0318G	Q9HSB1
64091.VNG2392H	Q9HMT8
64091.VNG1871G	Q9HNZ9
64091.VNG0296H	Q9HSC8
64091.VNG2470C	Q9HMM7
64091.VNG0945H	Q9HQY6
64091.VNG2634H	Q9HMA3
64091.VNG2516C	Q9HMJ3
64091.VNG2429G	Q9HMQ8
64091.VNG2329C	Q9HMY6
64091.VNG2207H	Q9HN84
64091.VNG1486H	Q9HPS9
64091.VNG1452G	Q9HPV9
64091.VNG1561Cm	Q9HPM6
64091.VNG0563G	Q9HRS8
64091.VNG2204H	Q9HN87
64091.VNG2079G	Q9HNJ4
64091.VNG1993H	Q9HNQ5
64091.VNG1347C	Q9HQ36
64091.VNG2501C	Q9HMK6
64091.VNG2398G	Q9HMT2
64091.VNG2369C	Q9HMV5
64091.VNG1324C	Q9HQ53
64091.VNG2628H	Q9HMA8
64091.VNG1991H	Q9HNQ7
64091.VNG1656H	Q9HPF8
64091.VNG1475C	Q9HPT8
64091.VNG2445C	Q9HMP5
64091.VNG2365G	Q9HMW0
64091.VNG2260H	Q9HN42
64091.VNG2159Gm	Q9HNC4
64091.VNG1934H	Q9HNV1
64091.VNG1353C	Q9HQ31
64091.VNG1066C	Q9HQP4
64091.VNG0249G	P82857
64091.VNG2562H	Q9HMF9
64091.VNG1144H	Q9HQI7
64091.VNG2462G	Q9HMN3
64091.VNG2447G	Q9HMP3
64091.VNG1260C	Q9HQ99
64091.VNG2653C	Q9HM86
64091.VNG2439H	Q9HMQ1
64091.VNG1849H	Q9HP15
64091.VNG2132Gm	Q9HNE9
64091.VNG0499G	Q9HRX7
64091.VNG1865H	Q9HP04
64091.VNG1295H	Q9HQ75
64091.VNG1679H	Q9HPE2
64091.VNG2206G	Q9HN85
64091.VNG0601H	Q9HRP6
64091.VNG2647G	Q9HM91
64091.VNG1326H	Q9HQ51
64091.VNG0018H	Q9HSZ1
64091.VNG1918C	Q9HNW3
64091.VNG1916H	Q9HNW5
64091.VNG0987H	Q9HQV7
64091.VNG0516H	Q9HRW2
64091.VNG0463C	Q9HS05
64091.VNG2059H	Q9HNK8
64091.VNG1501G	Q9HPR8
64091.VNG1463G	Q9HPU9
64091.VNG2380H	Q9HMU6
64091.VNG0667G	Q9HRJ7
64091.VNG0726C	Q9HRF3
64091.VNG2044H	Q9HNL7
64091.VNG0506H	Q9HRX0
64091.VNG1030G	Q9HQS2
64091.VNG2612G	Q9HMC1
64091.VNG2246H	Q9HN54
64091.VNG2065G	Q9HNK3
64091.VNG0205H	Q9HSJ0
64091.VNG0029H	Q9HSY1
64091.VNG2519H	Q9HMJ1
64091.VNG2410G	Q9HMS4
64091.VNG1836G	Q9HP26
64091.VNG1263C	Q9HQ96
64091.VNG0965C	Q9HQX1
64091.VNG0720G	Q9HRF7
64091.VNG0878Gm	Q9HR38
64091.VNG0967Gm	Q9HQW9
64091.VNG1847G	Q9HP16
64091.VNG1827H	Q9HP34
64091.VNG2546G	Q9HMH0
64091.VNG0971G	Q9HQW7
64091.VNG1064H	Q9HHL2
64091.VNG2201G	Q9HN90
64091.VNG2120G	Q9HNG0
64091.VNG1343C	Q9HQ39
64091.VNG1776G	Q9HP70
64091.VNG0838G	Q9HR66
64091.VNG2554H	Q9HMG4
64091.VNG2656H	Q9HM84
64091.VNG2632G	Q9HMA5
64091.VNG2579G	Q9HME7
64091.VNG2100G	Q9HNH6
64091.VNG2646C	Q9HM93
64091.VNG2490H	Q9HML3
64091.VNG1794C	Q9HP56
64091.VNG1234C	Q9HQB9
64091.VNG1189H	Q9HQF2
64091.VNG0347H	Q9HS91
64091.VNG0208H	Q9HSI8
64091.VNG2270G	Q9HN35
64091.VNG0091C	Q9HST0
64091.VNG0765H	Q9HRC0
64091.VNG0312H	Q9HSB5
64091.VNG0174G	Q9HSL5
64091.VNG1479H	Q9HPT5
64091.VNG1125G	F2Z6I7
64091.VNG0793G	Q9HRA1
64091.VNG0502G	Q9HRX4
64091.VNG0737H	Q9HRE2
64091.VNG2187H	Q9HN99
64091.VNG1998H	Q9HNQ1
64091.VNG1737H	Q9HP99
64091.VNG2524H	Q9HMI6
64091.VNG1762G	Q9HP83
64091.VNG0736G	Q9HRE4
64091.VNG1820H	Q9HP39
64091.VNG0931G	Q9HQZ8
64091.VNG0958G	Q9HQX8
64091.VNG0766G	Q9HRB9
64091.VNG0394C	Q9HS58
64091.VNG0209H	Q9HSI7
64091.VNG0679G	Q9HRI6
64091.VNG1355H	Q9HQ30
64091.VNG2180C	Q9HNA6
64091.VNG2163H	Q9HNC1
64091.VNG1423H	Q9HPX9
64091.VNG0745G	Q9HRD7
64091.VNG1554G	Q9HPN1
64091.VNG1096H	Q9HQM0
64091.VNG2332G	Q9HMY3
64091.VNG0836H	Q9HR68
64091.VNG2147G	Q9HND6
64091.VNG1987G	Q9HNR0
64091.VNG0751C	Q9HRD2
64091.VNG0742H	Q9HRD9
64091.VNG0407H	Q9HS48
64091.VNG1150G	Q9HQI3
64091.VNG1130H	Q9HQJ8
64091.VNG1655H	Q9HPG0
64091.VNG0343H	Q9HS94
64091.VNG0096C	Q9HSS8
64091.VNG2281C	Q9HN26
64091.VNG1197G	Q9HQE6
64091.VNG1198C	Q9HQE5
64091.VNG1214H	Q9HQD3
64091.VNG0743H	Q9HRD8
64091.VNG0711C	Q9HRG4
64091.VNG0671H	Q9HRJ3
64091.VNG1514H	Q9HPR0
64091.VNG1073G	Q9HQN8
64091.VNG2023G	Q9HNN3
64091.VNG1342Gm	Q9HQ40
64091.VNG0779C	Q9HRB0
64091.VNG2227C	Q9HN69
64091.VNG0188H	Q9HSK3
64091.VNG0508H	Q9HRW8
64091.VNG0272H	Q9HSE3
64091.VNG0509H	Q9HRW7
64091.VNG2051G	Q9HNL2
64091.VNG1609C	Q9HPJ4
64091.VNG0104G	Q9HSS1
64091.VNG0940Gm	Q9HQZ0
64091.VNG0546C	Q9HRU0
64091.VNG2298H	Q9HN10
64091.VNG2002H	Q9HNP7
64091.VNG2039H	Q9HNM1
64091.VNG0505C	Q9HRX1
64091.VNG1035C	Q9HQR8
64091.VNG1982C	Q9HNR4
64091.VNG2035H	Q9HNM4
64091.VNG0898G	Q9HR22
64091.VNG0593G	Q9HRQ4
64091.VNG0439C	Q9HS24
64091.VNG0419C	Q9HS40
64091.VNG0149G	Q9HSN5
64091.VNG2310H	Q9HN01
64091.VNG1873G	Q9HNZ7
64091.VNG0471C	Q9HRZ8
64091.VNG2549C	Q9HMG8
64091.VNG2311H	Q9HN00
64091.VNG0354C	Q9HS87
64091.VNG0642C	Q9HRL5
64091.VNG1802H	Q9HP49
64091.VNG0226G	Q9HSH6
64091.VNG1218C	Q9HQD0
64091.VNG1952H	Q9HNT6
64091.VNG0324G	Q9HSA5
64091.VNG2593H	Q9HMD7
64091.VNG2476C	Q9HMM1
64091.VNG2157C	Q9HNC6
64091.VNG1529G	Q9HPQ0
64091.VNG0814C	Q9HR86
64091.VNG1123Gm	Q9HQK1
64091.VNG2496G	Q9HML0
64091.VNG1874C	Q9HNZ6
64091.VNG1308G	Q9HQ65
64091.VNG1056C	Q9HQQ3
64091.VNG0641C	Q9HRL6
64091.VNG0001H	Q9HT04
64091.VNG0584H	Q9HRR1
64091.VNG0468C	Q9HS01
64091.VNG0248C	Q9HSG1
64091.VNG0063G	Q9HSV1
64091.VNG1534H	Q9HPP6
64091.VNG0996G	Q9HQU9
64091.VNG0555C	Q9HRT4
64091.VNG2099C	Q9HNH7
64091.VNG0782H	Q9HRA8
64091.VNG2508C	Q9HMK1
64091.VNG0055H	Q9HSV8
64091.VNG1077G	Q9HQN5
64091.VNG1442G	Q9HPW6
64091.VNG2422G	Q9HMR2
64091.VNG1548C	Q9HPN5
64091.VNG1315H	Q9HQ59
64091.VNG2624G	Q9HMB2
64091.VNG0133G	Q9HSP9
64091.VNG2495H	Q9HML1
64091.VNG2308G	Q9HN02
64091.VNG2032Gm	Q9HNM6
64091.VNG1922G	Q9HNV9
64091.VNG2182H	Q9HNA4
64091.VNG0130H	Q9HSQ1
64091.VNG2397G	Q9HMT3
64091.VNG2124C	Q9HNF6
64091.VNG1743C	Q9HP96
64091.VNG1184Gm	Q9HQF7
64091.VNG1422H	Q9HPY0
64091.VNG1364G	Q9HQ24
64091.VNG0624H	Q9HRN0
64091.VNG0405C	Q9HS50
64091.VNG0156C	Q9HSM9
64091.VNG0158G	Q9HSM7
64091.VNG1964H	Q9HNS7
64091.VNG1546H	Q9HPN6
64091.VNG0284C	Q9HSD6
64091.VNG1390H	Q9HQ02
64091.VNG2339C	Q9HMX7
64091.VNG1912G	Q9HNW7
64091.VNG1476C	Q9HPT7
64091.VNG1112H	Q9HQK9
64091.VNG0251C	Q9HSF9
64091.VNG0073C	Q9HSU2
64091.VNG0190C	Q9HSK1
64091.VNG2320G	Q9HMZ3
64091.VNG1842H	Q9HP22
64091.VNG0749G	Q9HRD4
64091.VNG0840H	Q9HR65
64091.VNG2257G	Q9HN44
64091.VNG2148H	Q9HND5
64091.VNG2133H	Q9HNE8
64091.VNG1237C	Q9HQB6
64091.VNG1845C	Q9HP19
64091.VNG1057C	Q9HQQ2
64091.VNG0539C	Q9HRU6
64091.VNG2677H	Q9HM71
64091.VNG1591H	Q9HPK4
64091.VNG1562H	Q9HPM5
64091.VNG2573G	Q9HMF2
64091.VNG1654G	Q9HPG1
64091.VNG2569H	Q9HMF4
64091.VNG2394G	Q9HMT6
64091.VNG2158G	Q9HNC5
64091.VNG2037C	Q9HNM2
64091.VNG2156C	Q9HNC7
64091.VNG2480Hm	Q9HML9
64091.VNG1063H	Q9HQP7
64091.VNG0425G	Q9HS35
64091.VNG0323H	Q9HSA6
64091.VNG0094C	Q9HSS9
64091.VNG0365G	Q9HS79
64091.VNG0579H	Q9HRR5
