7460.GB18323-PA	P15450
7460.GB10403-PA	A0A088AG24
7460.GB20063-PA	A0A088AHH7
7460.GB19432-PA	A0A088AHZ3
7460.GB15508-PA	A0A088AQQ0
7460.GB13161-PA	A0A088ASQ1
7460.GB11367-PA	A0A088AT80
7460.GB13441-PA	A0A088AU58
7460.GB14830-PA	A0A088AUF6
7460.GB17300-PA	A0A088AV21
7460.GB10028-PA	A0A088AVT4
7460.GB14970-PA	A0A087ZMR5
7460.GB11056-PA	A0A087ZNJ8
7460.GB10805-PA	A0A087ZS99
7460.GB16361-PA	A0A087ZTB5
7460.GB19607-PA	A0A087ZTQ8
7460.GB14254-PA	A0A087ZXK2
7460.GB14496-PA	A0A088A1D0
7460.GB17613-PA	A0A088A1T2
7460.GB13027-PA	A0A088A4C3
7460.GB11013-PB	A0A088A8B5
7460.GB17525-PA	A0A088AQP9
7460.GB12584-PA	A0A088ASP3
7460.GB14077-PA	A0A088ASU6
7460.GB11765-PA	A0A088AW44
7460.GB16089-PA	A0A088AW73
7460.GB13545-PA	A0A087ZT06
7460.GB10441-PA	A0A087ZUB3
7460.GB13482-PA	A0A087ZUI0
7460.GB15664-PA	A0A087ZZA9
7460.GB18713-PA	A0A088A036
7460.GB19901-PA	A0A088A0B1
7460.GB16858-PA	A0A088A3G4
7460.GB15902-PA	A0A088A425
7460.GB10745-PA	A0A088A590
7460.GB19152-PA	A0A088A772
7460.GB10827-PA	A0A088A7G3
7460.GB30232-PA	A0A088A997
7460.GB11487-PA	A0A088AAC4
7460.GB13805-PA	A0A088AAK4
7460.GB16791-PA	A0A088AAQ4
7460.GB13799-PA	A0A088AC00
7460.GB18603-PA	A0A088AD31
7460.GB14032-PA	A0A088AE72
7460.GB15751-PA	A0A088AEC1
7460.GB11555-PA	A0A088AF80
7460.GB14282-PA	A0A088AF92
7460.GB18539-PA	A0A088AFP7
7460.GB13081-PA	A0A088AGY2
7460.GB19998-PA	A0A088AHC1
7460.GB19837-PA	A0A088AHK4
7460.GB17886-PA	A0A088AI05
7460.GB15436-PA	A0A088AKA6
7460.GB17485-PA	A0A088AKL7
7460.GB30139-PA	A0A088AKM2
7460.GB15462-PA	A0A088AMK5
7460.GB18397-PA	A0A088ANH3
7460.GB14290-PA	A0A088ANX2
7460.GB10588-PA	A0A088AQ46
7460.GB17553-PA	A0A088AR65
7460.GB10293-PA	A0A088ARC0
7460.GB19382-PA	A0A087ZQK6
7460.GB19177-PA	A0A087ZQC3
7460.GB11968-PA	A0A087ZRR6
7460.GB16742-PA	A0A087ZRS3
7460.GB10412-PA	A0A088ASN2
7460.GB19763-PA	A0A088ASY9
7460.GB17913-PA	A0A088AT64
7460.GB14533-PA	A0A088ATK4
7460.GB13334-PA	A0A088ATP1
7460.GB17938-PA	A0A088ATV4
7460.GB13441-PA	A0A088AU55
7460.GB12566-PA	A0A088AUJ2
7460.GB13167-PA	A0A088AUR1
7460.GB19137-PA	A0A088AV19
7460.GB10578-PA	A0A088AV72
7460.GB17118-PA	A0A088AV81
7460.GB19228-PA	A0A088AV94
7460.GB16865-PA	A0A088AVJ2
7460.GB17457-PA	A0A087ZMZ1
7460.GB14400-PA	A0A087ZP54
7460.GB14783-PA	A0A087ZP93
7460.GB19796-PA	A0A087ZPL2
7460.GB15654-PA	A0A087ZPX2
7460.GB13512-PA	A0A087ZPX9
7460.GB11129-PA	A0A087ZQF7
7460.GB17873-PA	A0A087ZQJ5
7460.GB11519-PA	A0A087ZQS2
7460.GB16696-PA	A0A087ZQY5
7460.GB14872-PA	A0A087ZRD3
7460.GB12802-PA	A0A087ZRG0
7460.GB30572-PA	A0A087ZRX5
7460.GB12147-PA	A0A087ZSA7
7460.GB16162-PA	A0A087ZSM9
7460.GB11545-PA	A0A087ZSN4
7460.GB19346-PA	A0A087ZSQ7
7460.GB13240-PA	A0A087ZST6
7460.GB16660-PA	A0A087ZSW1
7460.GB14467-PA	A0A087ZSW9
7460.GB16481-PA	A0A087ZTF3
7460.GB18999-PA	A0A087ZTR2
7460.GB19667-PA	A0A087ZTZ2
7460.GB15287-PA	A0A087ZUA5
7460.GB19106-PA	A0A087ZUE4
7460.GB14388-PA	A0A087ZV51
7460.GB10312-PA	A0A087ZVG0
7460.GB11554-PA	A0A087ZVG4
7460.GB15041-PA	A0A087ZWL4
7460.GB13199-PA	A0A087ZWP0
7460.GB16656-PA	A0A087ZXJ1
7460.GB20046-PA	A0A087ZY10
7460.GB19025-PA	A0A087ZY18
7460.GB12222-PA	A0A087ZZE2
7460.GB15735-PA	A0A087ZZR0
7460.GB13721-PA	A0A087ZZS1
7460.GB18535-PA	A0A088A006
7460.GB17258-PA	A0A088A1D8
7460.GB19206-PA	A0A088A1I5
7460.GB14316-PA	A0A088A1J2
7460.GB13225-PA	A0A088A4D3
7460.GB30012-PA	A0A088A4I9
7460.GB30494-PA	A0A088A4L4
7460.GB16810-PA	A0A088A6G8
7460.GB13732-PA	A0A088A816
7460.GB11362-PA	A0A088A8C1
7460.GB12710-PA	A0A088A9Y0
7460.GB10599-PA	A0A088AA09
7460.GB11990-PA	A0A088AA12
7460.GB15102-PA	A0A088AVR3
7460.GB19217-PA	A0A088AVV9
7460.GB15311-PA	A0A087ZT53
7460.GB13249-PA	A0A087ZUJ1
7460.GB14528-PA	A0A087ZUM9
7460.GB19513-PA	A0A087ZUN3
7460.GB18908-PA	A0A087ZVJ5
7460.GB14905-PA	A0A087ZVM2
7460.GB18904-PA	A0A087ZWR3
7460.GB18260-PA	A0A087ZY75
7460.GB18150-PA	A0A087ZY97
7460.GB11854-PA	A0A087ZYE1
7460.GB15140-PA	A0A087ZYE8
7460.GB12650-PA	A0A087ZYF6
7460.GB11488-PA	A0A087ZYI2
7460.GB17463-PA	A0A087ZYL1
7460.GB12297-PA	A0A087ZYR1
7460.GB17166-PA	A0A087ZYW0
7460.GB10982-PA	A0A087ZYX7
7460.GB17995-PA	A0A088A0F3
7460.GB12533-PA	A0A088A236
7460.GB19185-PA	A0A088A275
7460.GB13346-PA	A0A088A2B8
7460.GB11887-PA	A0A088A2G9
7460.GB13266-PA	A0A088A2H9
7460.GB14494-PA	A0A088A2L4
7460.GB18594-PA	A0A088A4Q3
7460.GB11925-PA	A0A088A4U4
7460.GB14657-PA	A0A088A502
7460.GB13338-PA	A0A088A559
7460.GB18374-PA	A0A088A580
7460.GB12330-PA	A0A088A595
7460.GB10569-PA	A0A088A6K1
7460.GB16280-PA	A0A088A6L7
7460.GB16863-PA	A0A088A6S9
7460.GB15847-PA	A0A088A6T2
7460.GB16028-PA	A0A088A6Y8
7460.GB13187-PA	A0A088A773
7460.GB10809-PA	A0A088A8H1
7460.GB13604-PA	A0A088A8R7
7460.GB13747-PA	A0A088A8Y3
7460.GB19000-PA	A0A088AAB9
7460.GB16819-PA	A0A088AAS0
7460.GB13156-PA	A0A088ADX2
7460.GB12909-PA	A0A088AEE1
7460.GB13551-PA	A0A088AHX4
7460.GB16912-PA	A0A088AJE6
7460.GB19651-PA	A0A088AJL1
7460.GB11074-PA	A0A088ALN4
7460.GB15625-PA	A0A088ALU9
7460.GB30323-PA	A0A088ALV5
7460.GB18208-PA	A0A088ANG7
7460.GB10474-PA	H9JZY2
7460.GB12078-PA	A0A088A2R0
7460.GB10417-PA	A0A088A2V1
7460.GB30070-RA_2	A0A088A2Y4
7460.GB19533-PA	A0A088A325
7460.GB30292-PA	A0A088A3V3
7460.GB16598-PA	A0A088A3Z8
7460.GB10596-PA	A0A088A437
7460.GB18257-PA	A0A088A441
7460.GB13677-PA	A0A088A5X3
7460.GB17807-PA	A0A088A5Z2
7460.GB12944-PA	A0A088A7E1
7460.GB10934-PA	A0A088A7F5
7460.GB12492-PA	A0A088A7I1
7460.GB15010-PA	A0A088A7M6
7460.GB19120-PA	A0A088A7R1
7460.GB10152-PA	A0A088A7Z1
7460.GB10242-PA	A0A088A800
7460.GB12781-PA	A0A088A9B9
7460.GB11122-PA	A0A088A9K8
7460.GB14046-PA	A0A088A9R0
7460.GB19919-PA	A0A088A9U9
7460.GB11015-PA	A0A088AB97
7460.GB15486-PA	A0A088ABK0
7460.GB11550-PA	A0A088ABR1
7460.GB18455-PA	A0A088ACI8
7460.GB18054-PA	A0A088ACT1
7460.GB19577-PA	A0A088ACX8
7460.GB12631-PA	A0A088AD21
7460.GB13448-PA	A0A088AD39
7460.GB13036-PA	A0A088AD62
7460.GB15565-PA	A0A088AET4
7460.GB16039-PA	A0A088AGJ4
7460.GB15417-PA	A0A088AGW7
7460.GB15496-PA	A0A088AIA6
7460.GB30330-PA	A0A088AK70
7460.GB16770-PA	A0A088AK96
7460.GB11622-PA	A0A088AKF6
7460.GB18613-PA	A0A088AM09
7460.GB17326-PA	A0A088AM12
7460.GB19018-PA	A0A088AM24
7460.GB17985-PA	A0A088AM25
7460.GB18450-PA	A0A088AM90
7460.GB17182-PA	A0A088ANS4
7460.GB11546-PA	A0A088ANZ4
7460.GB13825-PA	A0A088AP02
7460.GB19326-PA	A0A088AQV6
7460.GB10935-PA	A0A088AR66
7460.GB10193-PA	A0A088ARC1
7460.GB13403-PA	A0A088ADD0
7460.GB14090-PA	A0A088ADH3
7460.GB16678-PA	A0A088AF62
7460.GB16196-PA	A0A088AIZ2
7460.GB19877-PA	A0A088AJ19
7460.GB17320-PA	A0A088AKI8
7460.GB15164-PA	A0A088AL89
7460.GB18131-PA	A0A088AMJ9
7460.GB15762-PA	A0A088AN42
7460.GB11688-PA	A0A088APJ1
7460.GB14384-PA	A0A088ARV1
7460.GB18479-PA	A0A088ASH7
7460.GB18587-PA	A0A087ZNK5
7460.GB12175-PA	A0A087ZTK6
7460.GB19807-PA	A0A087ZSH5
7460.GB17907-PA	A0A087ZW28
7460.GB19371-PA	A0A087ZW44
7460.GB18214-PA	A0A087ZXL9
7460.GB15489-PA	A0A087ZZL6
7460.GB10085-PA	A0A088A184
7460.GB14784-PA	A0A088AQG6
7460.GB17245-PA	A0A088AQM7
7460.GB12141-PA	A0A088ASQ0
7460.GB16545-PA	A0A088AT08
7460.GB16505-PA	A0A088AU45
7460.GB15289-PA	A0A088AUQ7
7460.GB11954-PA	A0A088AV64
7460.GB16009-PA	A0A088AV97
7460.GB15437-PA	A0A088AVA2
7460.GB12408-PA	A0A088AVA8
7460.GB14244-PA	A0A087ZPP1
7460.GB12707-PA	A0A087ZSW6
7460.GB12788-PA	A0A087ZT69
7460.GB16862-PA	A0A087ZT72
7460.GB17073-PA	A0A087ZTQ1
7460.GB18681-PA	A0A087ZU12
7460.GB13009-PA	A0A087ZU54
7460.GB15022-PA	A0A087ZYK9
7460.GB14424-PA	A0A087ZZ55
7460.GB11141-PA	A0A088A0W5
7460.GB12420-PA	A0A088A202
7460.GB14019-PA	A0A088A3U3
7460.GB15099-PA	A0A088A3V2
7460.GB17215-PA	A0A088A468
7460.GB12568-PA	A0A088A6Y1
7460.GB16132-PA	A0A088A7F1
7460.GB19743-PA	A0A088A7X1
7460.GB14497-PA	A0A088AA79
7460.GB14497-PA	A0A088AA81
7460.GB15273-PA	A0A088ABB9
7460.GB11680-PA	A0A088ABN5
7460.GB18073-PA	A0A088ABQ5
7460.GB19379-PA	A0A088ACK1
7460.GB12587-PA	A0A088AD47
7460.GB16654-PA	A0A088AE02
7460.GB15748-PA	A0A088AE66
7460.GB14442-PA	A0A088AE96
7460.GB18149-PA	A0A088AFW2
7460.GB19552-PA	A0A088ALT4
7460.GB11260-PA	A0A088AM61
7460.GB12897-PA	A0A088AML9
7460.GB18823-PA	A0A088ANR7
7460.GB19764-PA	A0A088AQ27
7460.GB17500-PA	A0A088AQ33
7460.GB15098-PA	A0A088ADL5
7460.GB11240-PA	A0A088AF61
7460.GB17579-PA	A0A088AF74
7460.GB15908-PA	A0A088AGS8
7460.GB15965-PA	A0A088AH05
7460.GB13906-PA	A0A088AH47
7460.GB10945-PA	A0A088AHC4
7460.GB12837-PA	A0A088AIM2
7460.GB14600-PA	A0A088AIU3
7460.GB12227-PA	A0A088AKJ2
7460.GB16031-PA	A0A088AKT5
7460.GB11375-PA	A0A088AKV1
7460.GB16815-PA	A0A088AKX5
7460.GB18364-PA	A0A088AMX7
7460.GB13565-PA	A0A088AP87
7460.GB14065-PA	A0A088APM0
7460.GB14267-PA	A0A088APW9
7460.GB19628-PA	A0A088APX7
7460.GB16578-PA	A0A088ARI9
7460.GB11086-PA	A0A088ARK1
7460.GB30088-PA	A0A088ARM3
7460.GB13155-PA	A0A088ARM5
7460.GB19741-PA	A0A088ARZ0
7460.GB18919-PA	A0A088AS09
7460.GB17583-PA	A0A087ZYP7
7460.GB17911-PA	A0A088A0J6
7460.GB11409-PA	A0A088A0P5
7460.GB10080-PA	A0A088A2I8
7460.GB11895-PA	A0A088A2Z9
7460.GB17996-PA	A0A088A6J3
7460.GB14202-PA	A0A088A6U6
7460.GB12142-PA	A0A088A7U1
7460.GB14592-PA	A0A088A9C1
7460.GB13631-PA	A0A088AAI2
7460.GB15964-PA	A0A088AAT4
7460.GB18843-PA	A0A088ABS5
7460.GB13978-PA	A0A088ACT4
7460.GB11400-PA	A0A088AD59
7460.GB12081-PA	A0A088AEB5
7460.GB10078-PA	A0A088AFJ5
7460.GB19772-PA	A0A088AFL6
7460.GB19359-PA	A0A088AFV6
7460.GB16524-PA	A0A088AGG5
7460.GB19173-PA	A0A088AJ30
7460.GB16740-PA	A0A088AJY1
7460.GB19573-PA	A0A088AK61
7460.GB16469-PA	A0A088AKW7
7460.GB18024-PA	A0A088ALL3
7460.GB19003-PA	A0A088AMG0
7460.GB18059-PA	A0A088ARH4
7460.GB19705-PA	A0A088ASD0
7460.GB18972-PA	A0A087ZRF2
7460.GB12854-PA	A0A087ZSE6
7460.GB15123-PA	A0A087ZSW3
7460.GB15788-PA	A0A087ZTI1
7460.GB30361-PA	A0A087ZTX4
7460.GB17407-PA	A0A087ZWC6
7460.GB16667-PA	A0A087ZWD0
7460.GB14166-PA	A0A088AC50
7460.GB17835-PA	A0A088AQM6
7460.GB13019-PA	A0A088ASV8
7460.GB13582-PA	A0A088AT31
7460.GB18990-PA	A0A088AUE1
7460.GB11949-PA	A0A088AUN0
7460.GB12556-PA	A0A088AUS1
7460.GB17575-PA	A0A088AV68
7460.GB11683-PA	A0A088AVC5
7460.GB20155-PA	A0A088AVQ3
7460.GB17132-PA	A0A088AW61
7460.GB10653-PA	A0A087ZVM9
7460.GB12653-PA	A0A087ZX19
7460.GB14990-PA	A0A087ZY93
7460.GB10102-PA	A0A087ZZ46
7460.GB16088-PA	A0A087ZZ56
7460.GB11936-PA	A0A088A5G5
7460.GB16897-PA	A0A088A8I8
7460.GB18117-PA	A0A088A991
7460.GB12583-PA	A0A088ACA6
7460.GB15977-PA	A0A088ACE9
7460.GB17684-PA	A0A088AD14
7460.GB20035-PA	A0A088AE94
7460.GB17454-PA	A0A088AFI0
7460.GB12067-PA	A0A088AGJ6
7460.GB18708-PA	A0A088AGM1
7460.GB15774-PA	A0A088AHI8
7460.GB11705-PA	A0A088AMU6
7460.GB13114-PA	A0A088ANP7
7460.GB14749-PA	A0A088ANW3
7460.GB10055-PA	A0A088AP77
7460.GB12528-PA	A0A088ARL0
7460.GB16537-PB	A0A088AS59
7460.GB15515-PA	A0A088ASB7
7460.GB16984-PA	A0EIZ7
7460.GB14758-PA	C1JYH6
7460.GB16921-PA	A0A087ZPR4
7460.GB14252-PA	A0A087ZRQ1
7460.GB13989-PA	A0A087ZSL9
7460.GB13214-PA	A0A087ZV41
7460.GB13654-PA	A0A087ZXM0
7460.GB14717-PA	A0A087ZZS3
7460.GB17838-PA	A0A088A033
7460.GB17571-PA	A0A088A089
7460.GB16405-PA	A0A088A173
7460.GB12565-PA	A0A088A1V7
7460.GB13830-PA	A0A088A7S3
7460.GB30070-PA	A0A088A8B8
7460.GB10995-PA	A0A088A9A7
7460.GB15795-PA	A0A088A9B3
7460.GB13882-PA	A0A088A9S3
7460.GB15783-PA	A0A088AAR6
7460.GB11706-PA	A0A088AAU9
7460.GB12554-PA	A0A088AC19
7460.GB11367-PA	A0A088ACV1
7460.GB13294-PA	A0A088ADH6
7460.GB12589-PA	A0A088ADS2
7460.GB12518-PA	A0A088AEM3
7460.GB19409-PA	A0A088AEP4
7460.GB14988-PA	A0A088AGR7
7460.GB17620-PA	A0A088AHE5
7460.GB13853-PA	A0A088AJ46
7460.GB14170-PA	A0A088AJQ2
7460.GB17376-PA	A0A088AL59
7460.GB16997-PA	A0A088ANG6
7460.GB12765-PA	A0A088APN5
7460.GB30300-PA	A0A088AQQ7
7460.GB30104-PB	A0A088AR02
7460.GB17608-PA	A0A088AUD3
7460.GB12179-PA	A0A088AVQ7
7460.GB30369-PA	A0A087ZNF9
7460.GB12885-PA	A0A087ZNI1
7460.GB14028-PA	A0A087ZP83
7460.GB13920-PA	A0A087ZQ97
7460.GB30216-PA	A0A087ZRA7
7460.GB30543-PA	A0A087ZS78
7460.GB19334-PA	A0A087ZSP9
7460.GB12757-PA	A0A087ZSY2
7460.GB11915-PA	A0A087ZVC1
7460.GB16543-PA	A0A087ZVC9
7460.GB14905-PA	A0A087ZVM3
7460.GB18788-PA	A0A087ZWH6
7460.GB15397-PA	A0A087ZX40
7460.GB11327-PA	A0A087ZX57
7460.GB30327-PA	A0A087ZXL1
7460.GB30335-PA	A0A087ZXQ3
7460.GB13775-PA	A0A087ZYJ9
7460.GB10107-PA	A0A088A0G9
7460.GB11570-PA	A0A088A1H6
7460.GB16244-PA	A0A088A2P4
7460.GB16891-PA	A0A088A3P0
7460.GB11216-PA	A0A088A4S1
7460.GB12517-PA	A0A088A862
7460.GB10155-PA	A0A088AA85
7460.GB10756-PA	A0A088ABU7
7460.GB10387-PA	A0A088AE09
7460.GB17287-PA	A0A088AFV2
7460.GB17083-PA	A0A088AI06
7460.GB13480-PA	A0A088ALW4
7460.GB30321-PA	A0A088AQE2
7460.GB18087-PA	A0A088AUC4
7460.GB10375-PA	A0A088AVV7
7460.GB18164-PA	A0A087ZZ86
7460.GB13737-PA	A0A088A128
7460.GB18361-PA	A0A088A2S5
7460.GB11594-PA	A0A088A2W4
7460.GB13575-PA	A0A088A5F9
7460.GB10905-PA	A0A088A7F3
7460.GB11500-PA	A0A088AB82
7460.GB10215-PA	A0A088ABS0
7460.GB14208-PA	A0A088ACX0
7460.GB17281-PA	A0A088AER7
7460.GB11590-PA	A0A088AFH2
7460.GB15845-PA	A0A088AGF2
7460.GB17442-PA	A0A088AGW3
7460.GB14524-PA	A0A088AJT9
7460.GB16942-PA	A0A088AKU9
7460.GB17536-PA	A0A088AKZ9
7460.GB14041-PA	A0A088ALY9
7460.GB11861-PA	A0A088ANL9
7460.GB16386-PA	A0A088AR78
7460.GB13265-PA	A0A088AS01
7460.GB11333-PA	A0A087ZNN6
7460.GB11068-PA	A0A087ZNW4
7460.GB19143-PA	A0A087ZPM9
7460.GB16080-PA	A0A087ZPU4
7460.GB12093-PA	A0A087ZQ84
7460.GB17456-PA	A0A087ZQZ6
7460.GB18341-PA	A0A087ZRL1
7460.GB16380-PA	A0A087ZT52
7460.GB12269-PA	A0A087ZVH2
7460.GB16263-PA	A0A087ZWN6
7460.GB13616-PA	A0A087ZX35
7460.GB14239-PA	A0A087ZYX2
7460.GB13343-PA	A0A087ZZ33
7460.GB17335-PA	A0A087ZZW6
7460.GB11690-PA	A0A088A050
7460.GB19553-PA	A0A088A1E9
7460.GB13099-PA	A0A088A1L8
7460.GB18356-PA	A0A088A281
7460.GB16741-PA	A0A088A3F3
7460.GB30069-PA	A0A088A3Y6
7460.GB18899-PA	A0A088A501
7460.GB30557-PA	A0A088A5E0
7460.GB19350-PA	A0A088A6M5
7460.GB12467-PA	A0A088A770
7460.GB18396-PA	A0A088A8Q6
7460.GB19259-PA	A0A088A9L8
7460.GB17142-PA	A0A088AA86
7460.GB14540-PA	A0A088AD06
7460.GB17992-PA	A0A088AD83
7460.GB19466-PA	A0A088ADW8
7460.GB19102-PA	A0A088AFX7
7460.GB11330-PA	A0A088AGC6
7460.GB11762-PA	A0A088AGI7
7460.GB12220-PA	A0A088AGL7
7460.GB18402-PA	A0A088AH65
7460.GB19101-PA	A0A088AIJ1
7460.GB18730-PA	A0A088AK19
7460.GB18104-PA	A0A088AK32
7460.GB12969-PA	A0A088AMF6
7460.GB14054-PA	A0A088AP32
7460.GB17332-PA	A0A088AS71
7460.GB10380-PA	A0A088AS86
7460.GB17752-PA	A0A088ASY5
7460.GB14182-PA	A0A088ATS2
7460.GB12749-PA	A0A088AU41
7460.GB12292-PA	A0A088AUQ0
7460.GB18302-PA	A0A088AVM3
7460.GB19961-PA	R4TR76
7460.GB12344-PA	R4U5P5
7460.GB11167-PA	U5XK94
7460.GB19961-PA	R4TR61
7460.GB11167-PA	U5XHX6
7460.GB17067-PA	I2CKL7
7460.GB17067-PA	I2CKQ4
7460.GB17972-PA	Q9U5H6
7460.GB13884-PA	I2CL39
7460.GB11515-PA	I2CLK1
7460.GB13998-PA	Q306I2
7460.GB10866-PA	W0U9Q1
7460.GB19961-PA	R4TTJ6
7460.GB13789-PA	Q6W3E3
7460.GB15371-PA	R4TU95
7460.GB13884-PA	I2CL41
7460.GB12259-PA	B5APR7
7460.GB10846-PA	A0A087ZV81
7460.GB13056-PA	A0A088A0M3
7460.GB17315-PA	A0A088A0U7
7460.GB12001-PA	A0A088AI49
7460.GB18222-PA	A0A088AR43
7460.GB30523-PA	A0A088ADE4
7460.GB11171-PA	A0A088ARJ7
7460.GB19354-PA	A0A088ASX9
7460.GB17471-PA	A0A088ATH4
7460.GB13999-PA	G5D2X6
7460.GB13999-PA	G5D3B3
7460.GB11515-PA	G5D4T4
7460.GB17142-PA	S6A1M5
7460.GB11107-PA	A0A087ZQR0
7460.GB10175-PA	A0A087ZT43
7460.GB13306-PA	A0A087ZYQ2
7460.GB12234-PA	A0A087ZZ89
7460.GB12575-PA	A0A087ZZY3
7460.GB20156-PA	A0A088A277
7460.GB30366-PA	A0A088A4L0
7460.GB19645-PA	A0A088ADF4
7460.GB14841-PA	A0A088ASV6
7460.GB18298-PA	A0A087ZNF3
7460.GB18475-PA	A0A087ZNV7
7460.GB12434-PA	A0A087ZPB2
7460.GB10841-PA	A0A087ZQW3
7460.GB12272-PA	A0A087ZQY2
7460.GB16778-PA	A0A087ZTV0
7460.GB11981-PA	A0A087ZU15
7460.GB15941-PA	A0A087ZU38
7460.GB11830-PA	A0A087ZV93
7460.GB20046-PA	A0A087ZY11
7460.GB11739-PA	A0A088A1U9
7460.GB15578-PA	A0A088A376
7460.GB12123-PA	A0A088A891
7460.GB12814-PA	A0A088ASL8
7460.GB11847-PA	A0A088ATQ2
7460.GB12884-PA	A0A088AUL5
7460.GB15841-PA	A0A087ZSX5
7460.GB17220-PA	A0A087ZXA5
7460.GB11689-PA	A0A088A2I3
7460.GB16161-PA	A0A088A4W9
7460.GB17544-PA	A0A088A588
7460.GB18721-PA	A0A088A5V7
7460.GB12264-PA	A0A088A6Q2
7460.GB11019-PA	A0A088A9P2
7460.GB10072-PA	A0A088AAL4
7460.GB18671-PA	A0A088AB87
7460.GB17111-PA	A0A088AHU4
7460.GB14672-PA	A0A088AL54
7460.GB14687-PA	A0A088AR41
7460.GB17099-PA	A0A088ART8
7460.GB12200-PA	Q6DN36
7460.GB11243-PA	A0A087ZQ91
7460.GB19016-PA	A0A087ZPX7
7460.GB15669-PA	A0A088AL06
7460.GB14085-PA	A0A088A8B2
7460.GB18863-PA	A0A088AGF1
7460.GB19196-PA	A0A088AKE7
7460.GB10257-PA	A0A088ANF8
7460.GB14557-PA	A0A088AQX3
7460.GB17594-PA	Q1L728
7460.GB11167-PA	W0B482
7460.GB13613-PA	A5YV87
7460.GB11515-PA	I2CLL7
7460.GB11515-PA	I2CLL8
7460.GB11515-PA	I2CLN7
7460.GB10219-PA	A0A088ASW6
7460.GB11435-PA	A0A088AT13
7460.GB16194-PA	A0A088AUG5
7460.GB11078-PA	A0A088AVM9
7460.GB11167-PA	W0B3Y3
7460.GB11167-PA	W0B3R3
7460.GB11453-PA	A0A087ZMZ5
7460.GB19712-PA	A0A087ZNZ6
7460.GB19736-PA	A0A087ZP29
7460.GB10446-PA	A0A087ZP49
7460.GB11894-PA	A0A087ZQ95
7460.GB11250-PA	A0A087ZRI2
7460.GB19342-PA	A0A087ZSU1
7460.GB11163-PA	A0A087ZTM4
7460.GB15621-PA	A0A087ZTS6
7460.GB10067-PA	A0A087ZUP7
7460.GB18182-PA	A0A087ZVM1
7460.GB14326-PA	A0A087ZVR3
7460.GB14834-PA	A0A087ZW86
7460.GB13276-PA	A0A087ZWG3
7460.GB14003-PA	A0A087ZY87
7460.GB16018-PA	A0A087ZYD0
7460.GB12717-PA	A0A087ZZK1
7460.GB17843-PA	A0A087ZZQ0
7460.GB18571-PA	A0A088A0T7
7460.GB12588-PA	A0A088A0V5
7460.GB10350-PA	A0A088A153
7460.GB16662-PA	A0A088A5C8
7460.GB20031-PA	A0A088A748
7460.GB19904-PA	A0A088A8E7
7460.GB15923-PA	A0A088ABB3
7460.GB19681-PA	A0A088ACD2
7460.GB11987-PA	A0A088ADC7
7460.GB30460-PA	A0A088AEA6
7460.GB30017-PA	A0A088AEU1
7460.GB17902-PA	A0A088AEX4
7460.GB19141-PA	A0A088AGF3
7460.GB20131-PA	A0A088AGQ8
7460.GB19386-PA	A0A088AH08
7460.GB17682-PA	A0A088AHK6
7460.GB13876-PA	A0A088AKH5
7460.GB30444-PA	A0A088ALC9
7460.GB12736-PA	A0A088ALH1
7460.GB18770-PA	A0A088ALS2
7460.GB10309-PA	A0A088AMF7
7460.GB12185-PA	A0A088AN82
7460.GB16577-PA	A0A088AND8
7460.GB16408-PA	A0A088ANW7
7460.GB14342-PA	A0A088AQD9
7460.GB13995-PA	A0A088AR75
7460.GB19588-PA	A0A088ART9
7460.GB12188-PA	A0A088ATW5
7460.GB10512-PA	A0A088AV16
7460.GB14983-PA	A0A088AVG3
7460.GB30506-PA	H9KUJ6
7460.GB19657-PA	Q66U60
7460.GB11167-PA	B1NW44
7460.GB18475-PA	Q5W1Q9
7460.GB19497-PA	I4EC01
7460.GB18065-PA	A0A087ZWU1
7460.GB19603-PA	A0A088A394
7460.GB18839-PA	A0A088A8S3
7460.GB18970-PA	A0A088AJD0
7460.GB19922-PA	A0A087ZTX1
7460.GB18012-PA	A0A087ZW82
7460.GB18987-PA	A0A088A196
7460.GB14701-PA	A0A088A8H7
7460.GB14456-PA	A0A088ADQ1
7460.GB17848-PA	A0A088AEX8
7460.GB19956-PA	A0A087ZQS3
7460.GB16579-PA	A0A087ZTI9
7460.GB14808-PA	A0A087ZTL1
7460.GB13428-PA	A0A088AD34
7460.GB16655-PA	A0A088AJB0
7460.GB12897-PA	A0A088AMM0
7460.GB11431-PA	A0A088ANF2
7460.GB10005-PA	A0A088ARG0
7460.GB15538-PA	A0A088ATR2
7460.GB19476-PA	A0A088AUY7
7460.GB16929-PA	A0A088AV50
7460.GB15430-PA	A0A087ZPP0
7460.GB17574-PA	A0A087ZT91
7460.GB19641-PA	A0A087ZU33
7460.GB19613-PA	A0A087ZVW7
7460.GB13862-PA	A0A087ZWB4
7460.GB16436-PA	A0A087ZY98
7460.GB10829-PA	A0A087ZYM5
7460.GB17085-PA	A0A087ZZQ4
7460.GB15334-PA	A0A087ZZZ0
7460.GB15639-PA	A0A088A014
7460.GB10852-PA	A0A088A0Q4
7460.GB16779-PA	A0A088A415
7460.GB14772-PA	A0A088A505
7460.GB15750-PA	A0A088A565
7460.GB13686-PA	A0A088AD63
7460.GB17817-PA	A0A088ADK9
7460.GB19653-PA	A0A088AEI2
7460.GB18763-PA	A0A088AF31
7460.GB15399-PA	A0A088AGW5
