169963.lmo0928	P58621
169963.lmo1884	L8DUQ2
169963.lmo2665	Q79NK4
169963.lmo1378	Q9RPY9
169963.lmo0700	A0A0B8R8V3
169963.lmo1194	A0A0B8QX91
169963.lmo0222	A0A0B8QZZ5
169963.lmo2546	A0A0B8R0T2
169963.lmo0667	A0A0B8R2H6
169963.lmo0387	A0A0B8R3C3
169963.lmo1619	A0A0B8R8Q7
169963.lmo0693	A0A0B8RG27
169963.lmo1003	L8DU41
169963.lmo2790	A0A0B8QR14
169963.lmo1451	A0A0B8QY06
169963.lmo1065	A0A0B8R2W7
169963.lmo1954	A0A0B8R843
169963.lmo0727	A0A0B8RA51
169963.lmo1048	A0A0B8RCD2
169963.lmo2649	S5LYZ4
169963.lmo1193	A0A0B8R1Y9
169963.lmo0583	A0A0B8R2L2
169963.lmo2473	A0A0B8R7F8
169963.lmo2020	A0A0B8R8V4
169963.lmo1612	L8DU16
169963.lmo1313	A0A0B8RD41
169963.lmo2682	A0A0B8REV9
169963.lmo0707	A0A0B8QTJ9
169963.lmo0231	A0A0B8QZ58
169963.lmo1483	A0A0B8QZR4
169963.lmo0507	A0A0B8R0L0
169963.lmo0527	A0A0B8R4D4
169963.lmo1440	A0A0B8RC41
169963.lmo0508	A0A0B8RHN6
169963.lmo0889	Q8GD19
169963.lmo2830	A0A0B8QVR2
169963.lmo2824	A0A0B8QWE2
169963.lmo0976	A0A0B8RF56
169963.lmo0635	A0A0B8R2H0
169963.lmo1285	A0A0B8R726
169963.lmo1012	A0A0B8R759
169963.lmo1475	A0A0B8RC13
169963.lmo0237	A0A0B8QQQ7
169963.lmo1506	A0A0B8QTP4
169963.lmo1652	A0A0B8QZJ5
169963.lmo1138	A0A0B8R8I5
169963.lmo2526	A0A0B8RHR6
169963.lmo2430	S5KV40
169963.lmo0204	Q6EA26
169963.lmo2733	A0A0B8QWL1
169963.lmo0913	A0A0B8R6J9
169963.lmo1767	C6ZXK1
169963.lmo2209	A0A0B8R0E6
169963.lmo2601	A0A0B8R410
169963.lmo2441	A0A0B8RFC9
169963.lmo0249	A0A0B8QUP9
169963.lmo2445	A0A0B8R7D8
169963.lmo1920	A0A0B8RGE2
169963.lmo1367	L8DT45
169963.lmo2086	X2FQ05
169963.lmo1501	A0A0B8QXU2
169963.lmo0484	A0A0B8R0M8
169963.lmo1424	A0A0B8R142
169963.lmo1316	A0A0B8R1R7
169963.lmo1840	A0A0B8R975
169963.lmo0910	A0A0B8QX80
169963.lmo2541	A0A0B8R4I1
169963.lmo0203	A0A0B8RBE8
169963.lmo2461	S5L2V5
169963.lmo1907	A0A0B8RGD6
169963.lmo2428	A0A0B8R062
169963.lmo1228	A0A0B8RD91
169963.lmo0433	D8V6C1
169963.lmo0944	A0A0B8R193
169963.lmo1374	A0A0B8QUS9
169963.lmo1278	A0A0B8R1K1
169963.lmo2537	B0FPW5
169963.lmo0203	Q6EA57
169963.lmo0201	Q6E9Q9
169963.lmo0204	Q6EAA4
169963.lmo0201	Q6EA59
169963.lmo1201	A0A0B8RDB8
169963.lmo0688	A0A0B8RG31
169963.lmo2458	A0A0B8RIF7
169963.lmo2475	Q6J182
169963.lmo1786	A0A0B5CVF4
169963.lmo2003	A0A0B8QYY4
169963.lmo1511	A0A0B8RBW1
169963.lmo2483	A0A0B8R7G6
169963.lmo1875	A0A0B8R9A3
169963.lmo2389	A0A0B8QVJ7
169963.lmo0662	A0A0B8R7Q2
169963.lmo1999	A0A0B8R883
169963.lmo0113	A0A0B8R539
169963.lmo0273	A0A0B8R8C0
169963.lmo0918	A0A0B8RCP4
169963.lmo2592	A0A0B8RIJ8
169963.lmo0826	A0A0B8QTV9
169963.lmo0692	A0A0B8RBS0
169963.lmo2038	A0A0B8RCC8
169963.lmo1226	A0A0B8QYY6
169963.lmo0300	A0A0B8QZ16
169963.lmo1772	A0A0B8RA52
169963.lmo2096	S5L878
169963.lmo1641	A0A0B8QXI7
169963.lmo1415	A0A0B8R518
169963.lmo1561	A0A0B8RCX7
169963.lmo0038	A7XMJ2
169963.lmo1820	A0A0B8R036
169963.lmo0084	A0A0B8R0C2
169963.lmo2210	L8DXY2
169963.lmo0522	S5KT61
169963.lmo0784	A0A0B8R598
169963.lmo0433	A4GWJ8
169963.lmo1923	C6ZS64
169963.lmo0723	A0A0B8QXN8
169963.lmo1786	P71451
169963.lmo1305	A0A0B8RAX3
169963.lmo1001	A0A0B8RCG2
169963.lmo2849	A0A0B8R0I3
169963.lmo1071	A0A0B8R2V9
169963.lmo2111	A0A0B8R4U4
169963.lmo1962	A0A0B8RGI9
169963.lmo0455	A0A0B8QV08
169963.lmo0680	A0A0B8RBT0
169963.lmo1186	L8DTC0
169963.lmo2495	L8DXT1
169963.lmo2597	L8DZ20
169963.lmo0132	A0A0B8R092
169963.lmo2457	A0A0B8R1W7
169963.lmo2091	A0A0B8R4T7
169963.lmo0733	A0A0B8RGH2
169963.lmo2257	A0A0B8R9W6
169963.lmo0693	B0FPM4
169963.lmo0116	O05549
169963.lmo0205	Q6E9T5
169963.lmo0202	Q6EA28
169963.lmo0201	Q6EA29
169963.lmo2643	A0A0B8R156
169963.lmo0663	A0A0B8R2E9
169963.lmo0637	A0A0B8R7N6
169963.lmo0158	A0A0B8R7X0
169963.lmo1987	A0A0B8R876
169963.lmo1190	A0A0B8RBA3
169963.lmo0503	A0A0B8RFP5
169963.lmo2622	L8DWW0
169963.lmo1871	A0A0B8QRA6
169963.lmo2817	A0A0B8R5P9
169963.lmo2676	A0A0B8R7K1
169963.lmo2815	A0A0B8QR25
169963.lmo2386	A0A0B8QZN1
169963.lmo1052	A0A0B8RF05
169963.lmo1442	A0A0B8RHZ4
169963.lmo0203	Q6E9P5
169963.lmo1222	A0A0B8QYZ1
169963.lmo1532	A0A0B8R2N1
169963.lmo1713	A0A0B8R8X6
169963.lmo1767	C6ZXM2
169963.lmo0203	Q6EAC2
169963.lmo0205	Q6EAG1
169963.lmo1989	A0A0B8QZN8
169963.lmo0202	Q6EAH6
169963.lmo2587	A0A0B8RH01
169963.lmo1647	A0A0B8QTD9
169963.lmo1006	A0A0B8QY33
169963.lmo1264	A0A0B8R7V7
169963.lmo0774	A0A0B8RA31
169963.lmo1839	A0A0B8RF81
169963.lmo1656	A0A0B8RH43
169963.lmo0433	A4GWL9
169963.lmo0515	A0A0B8R9Q8
169963.lmo2270	L7QGW5
169963.lmo1365	A0A0B8R1P8
169963.lmo0243	A0A0B8QZ51
169963.lmo1889	A0A0B8R037
169963.lmo0729	A0A0B8RIA8
169963.lmo2667	A0A0B8R625
169963.lmo0643	A0A0B8RB15
169963.lmo0228	A0A0B8RH33
169963.lmo1872	A0A0B8RHC5
169963.lmo1377	A0A0B5CNK6
169963.lmo2750	A0A0B8QZU1
169963.lmo0923	A0A0B8R4C8
169963.lmo0219	A0A0B8R7R5
169963.lmo1331	A0A0B8RD33
169963.lmo0211	A1E155
169963.lmo2010	A0A0B8R324
169963.lmo1930	A0A0B8R819
169963.lmo0288	A0A0B8RGR8
169963.lmo0433	A4GWN1
169963.lmo0433	A4GWL7
169963.lmo0433	A1Y769
169963.lmo0202	A3QZV5
169963.lmo0433	A6P4V7
169963.lmo0433	C6ZUM9
169963.lmo0582	Q57308
169963.lmo0204	D0VBD6
169963.lmo0202	Q83T93
169963.lmo0202	Q83TI9
169963.lmo1052	A1Y7Y8
169963.lmo0582	A3KEY5
169963.lmo0433	Q2HPT6
169963.lmo0203	Q330S8
169963.lmo0200	Q6E956
169963.lmo1767	B6RZK3
169963.lmo0298	C6ZVD2
169963.lmo0202	C7A1T5
169963.lmo0433	Q45L04
169963.lmo0434	Q9R3W4
169963.lmo0300	B8X2L8
169963.lmo0895	C0LWC6
169963.lmo0262	Q2PTC9
169963.lmo0202	Q330Z5
169963.lmo1814	Q694P3
169963.lmo0202	Q83U48
169963.lmo2752	B5B906
169963.lmo0298	A1Y456
169963.lmo0298	A1Y465
169963.lmo0204	B6RV51
169963.lmo1329	C0LWZ9
169963.lmo0434	Q3ZUI5
169963.lmo0594	Q694S4
169963.lmo0582	A3KEY1
169963.lmo0202	Q6EAE6
169963.lmo0029	B4XQJ8
169963.lmo0894	C6ZYL3
169963.lmo0433	B0ZZ97
169963.lmo1573	C6ZT74
169963.lmo0434	C6ZUN6
169963.lmo0262	Q2PTB9
169963.lmo1508	Q83UJ3
169963.lmo0582	A9ZSB7
169963.lmo1574	C6ZTR7
169963.lmo0200	Q6E980
169963.lmo2752	Q83TC7
169963.lmo1520	A1Y3B9
169963.lmo0204	B5TZC8
169963.lmo0300	B8X2N9
169963.lmo0300	C6ZVE3
169963.lmo0300	C6ZVF2
169963.lmo0433	D8V641
169963.lmo0200	G3FFJ2
169963.lmo0434	Q3ZUI0
169963.lmo0895	A1YUU7
169963.lmo0433	B0ZZ92
169963.lmo2785	Q83TD4
169963.lmo0298	A1Y7F4
169963.lmo0433	B8X2A4
169963.lmo0300	B8X2N6
169963.lmo1329	Q2L8K2
169963.lmo1786	Q6Q605
169963.lmo1785	B4XQL6
169963.lmo0434	Q83TK9
169963.lmo1574	A1Y6C3
169963.lmo2459	B6RWU1
169963.lmo0262	Q2PTC4
169963.lmo0202	Q83U20
169963.lmo1871	Q83UW1
169963.lmo0433	B5B8W3
169963.lmo2558	E0ACK6
169963.lmo0202	Q6E9G2
169963.lmo1054	A1Y826
169963.lmo2092	A1YUQ5
169963.lmo0434	A9LY45
169963.lmo0434	C6ZUN2
169963.lmo0567	Q6QMP2
169963.lmo0202	B3VTW2
169963.lmo0300	C6ZVG7
169963.lmo0886	M1IQ07
169963.lmo0204	B0ZRZ4
169963.lmo0433	B6RXA3
169963.lmo0434	Q9R2N5
169963.lmo0202	A0A060EUH6
169963.lmo0433	B8X2C6
169963.lmo1054	A1Y550
169963.lmo0300	A1Y7N9
169963.lmo0433	A4GWL8
169963.lmo0409	Q2PTE0
169963.lmo0201	Q331J7
169963.lmo0433	A7DZE3
169963.lmo0203	Q330U5
169963.lmo0433	D8V6G9
169963.lmo1054	A1Y7Z0
169963.lmo0210	B5B9H8
169963.lmo2459	B6RWQ4
169963.lmo0202	B3VU15
169963.lmo0202	B9UY44
169963.lmo0886	Q83UQ1
169963.lmo0433	A7DZK9
169963.lmo0433	B6RXB3
169963.lmo2459	C0LWG6
169963.lmo1573	C6ZTA6
169963.lmo0203	C7A1H2
169963.lmo0434	A1Y728
169963.lmo0433	B6RXA8
169963.lmo0300	A1Y4J0
169963.lmo0433	C9E2A5
169963.lmo1786	Q6Q600
169963.lmo2465	A0A0B8RGN0
169963.lmo0433	D8V6A5
169963.lmo1054	A1Y544
169963.lmo0204	B6RUQ9
169963.lmo0433	B6RXA9
169963.lmo0955	A0A0B8RCL1
169963.lmo1767	B6RZK5
169963.lmo0582	B6ZLB3
169963.lmo0264	Q2PTH2
169963.lmo1398	Q83U77
169963.lmo0438	W5U0E4
169963.lmo1240	B2BXH6
169963.lmo1871	Q83U25
169963.lmo0704	A0A0B8R2C0
169963.lmo1871	A1XZQ9
169963.lmo0202	B8X260
169963.lmo0433	Q8KI88
169963.lmo0434	B1NPP4
169963.lmo0300	C6ZW42
169963.lmo0433	Q45KZ7
169963.lmo1767	B6RZL7
169963.lmo0432	Q330S1
169963.lmo1767	C0LWU2
169963.lmo0062	A0A0B8QVH0
169963.lmo1767	C0LWV9
169963.lmo0177	Q6QML9
169963.lmo0603	A0A0B8R7R6
169963.lmo0433	A7DZL1
169963.lmo0895	A9YDI7
169963.lmo0300	A1Y4G6
169963.lmo0297	Q1EQX8
169963.lmo1767	B6RZB5
169963.lmo0932	A0A0B8QX60
169963.lmo2332	F5CRT1
169963.lmo0297	Q1EQZ0
169963.lmo0202	A0A060BA66
169963.lmo0434	Q1KT70
169963.lmo1767	B6RZK2
169963.lmo1767	B6RZQ4
169963.lmo1767	Q2L8L1
169963.lmo0202	B8X258
169963.lmo0433	Q45L22
169963.lmo0433	A4ZNV5
169963.lmo2067	A9LY34
169963.lmo1521	C6ZTX6
169963.lmo1767	B6RZS4
169963.lmo1767	B6RZK7
169963.lmo0434	A1Y770
169963.lmo0202	A0A060BIW2
169963.lmo0202	B3VU16
169963.lmo1767	B6RZD0
169963.lmo0434	H9N8X7
169963.lmo1514	E2E908
169963.lmo0433	A1Y3T3
169963.lmo0203	B9UXU0
169963.lmo2653	C0LXA9
169963.lmo0433	C6ZUQ1
169963.lmo0300	C6ZVD4
169963.lmo0300	C6ZVE6
169963.lmo0433	H2DKA9
169963.lmo0201	Q6EA53
169963.lmo0006	A1XZB5
169963.lmo1520	A1Y6P7
169963.lmo0433	B6RX91
169963.lmo0200	E0ACZ4
169963.lmo1573	C6ZTR4
169963.lmo0201	Q6E8P9
169963.lmo0201	B9UXS4
169963.lmo2092	Q83TB2
169963.lmo1398	Q83U33
169963.lmo0434	A1Y726
169963.lmo0265	C0LX56
169963.lmo0201	E0ACW6
169963.lmo0434	C6ZUM8
169963.lmo1123	A0A0B8RFY0
169963.lmo0434	B8X1S6
169963.lmo1871	Q83U17
169963.lmo0687	A0A0B8RBS4
169963.lmo2092	Q83TV0
169963.lmo0433	B5B8W5
169963.lmo0202	B6ZGZ2
169963.lmo0737	E5KVE8
169963.lmo2092	Q83TK3
169963.lmo1786	R4V3Y4
169963.lmo1619	A1YUS6
169963.lmo1398	Q83U69
169963.lmo1398	Q83TN8
169963.lmo0202	Q83TR0
169963.lmo0433	A4GWN2
169963.lmo1619	B5B985
169963.lmo1398	Q83TX9
169963.lmo1398	Q83TD8
169963.lmo0203	B9UY66
169963.lmo2092	Q83TE5
169963.lmo1892	E2E8P0
169963.lmo1786	M9Z883
169963.lmo2501	B0FQ07
169963.lmo0300	C6ZVH9
169963.lmo0433	D1FMP2
169963.lmo0263	Q2PTZ9
169963.lmo0434	H9N8V8
169963.lmo0203	Q6E977
169963.lmo0202	Q83U47
169963.lmo0434	A1Y748
169963.lmo0202	Q83TN7
169963.lmo0204	Q83UI4
169963.lmo0433	C6ZUN5
169963.lmo0201	Q6E9P7
169963.lmo0300	A1Y7W7
169963.lmo0203	B0G037
169963.lmo0202	B6ZGZ6
169963.lmo1398	Q83TB7
169963.lmo1398	Q83TQ9
169963.lmo0204	Q7WRT1
169963.lmo2092	Q83UY5
169963.lmo0205	H6UX53
169963.lmo0204	D1FMJ1
169963.lmo1508	B5B9A2
169963.lmo1508	B5B9A6
169963.lmo0582	B6ZLA0
169963.lmo0204	D1FMG3
169963.lmo0433	Q3ZUI6
169963.lmo0896	A1Y4L7
169963.lmo0582	A3KEY0
169963.lmo2092	Q83TR1
169963.lmo1574	A1Y2Z7
169963.lmo0201	Q6E931
169963.lmo1521	C6ZU00
169963.lmo0204	A0FEY3
169963.lmo1787	B4XQL7
169963.lmo0433	C6ZUT7
169963.lmo0202	Q83U15
169963.lmo2468	B8X1M8
169963.lmo0433	B8X2E8
169963.lmo1328	C7A193
169963.lmo0434	E0ACU0
169963.lmo0433	H2DKA2
169963.lmo1054	A1Y541
169963.lmo0263	Q2PTQ9
169963.lmo0886	A0SYI2
169963.lmo1573	A1Y6C4
169963.lmo0433	B3VU38
169963.lmo0433	B3VU40
169963.lmo0204	D1FMH4
169963.lmo0201	Q6EAD5
169963.lmo1786	Q83Z11
169963.lmo1574	A1Y2Z5
169963.lmo1767	B6RZS0
169963.lmo1398	Q83TJ5
169963.lmo0434	B0ZZF5
169963.lmo1619	B5B984
169963.lmo1768	C6ZY56
169963.lmo0006	Q83TA4
169963.lmo0433	R4PTR9
169963.lmo1574	C6ZT73
169963.lmo1573	C6ZT78
169963.lmo0210	B5B9I4
169963.lmo0433	B6RXC4
169963.lmo0434	C6ZUP4
169963.lmo1786	M9V9N9
169963.lmo0434	Q2PTX1
169963.lmo0204	H9N8R5
169963.lmo0205	Q6E9U1
169963.lmo1398	Q83TG8
169963.lmo0300	B8X2L5
169963.lmo0886	H9N8V3
169963.lmo0263	Q2PTP4
169963.lmo0434	Q83TH9
169963.lmo1521	A1Y3C0
169963.lmo0204	B6RUU6
169963.lmo0200	K0ISR9
169963.lmo0433	Q2L8H3
169963.lmo0433	Q3ZUF8
169963.lmo0433	A0FF12
169963.lmo1786	A0SYD4
169963.lmo0434	A1Y3V5
169963.lmo0204	B0ZS14
169963.lmo1508	E0ACV6
169963.lmo0319	Q83UE8
169963.lmo0265	B5B955
169963.lmo0202	Q83UQ7
169963.lmo0409	Q2PTD9
169963.lmo1786	Q79JJ3
169963.lmo0202	Q83U16
169963.lmo0265	Q83UJ0
169963.lmo0434	B0ZZE9
169963.lmo2785	Q6QMM4
169963.lmo2752	E0ACK0
169963.lmo0434	A1Y3X3
169963.lmo0433	B5B8W1
169963.lmo0265	C0LX62
169963.lmo1768	C6ZXI7
169963.lmo0202	Q83UQ2
169963.lmo1377	B8X1V8
169963.lmo0204	D1FMI4
169963.lmo0582	Q83UY3
169963.lmo0204	A1YI34
169963.lmo2785	B5B934
169963.lmo2785	B5B940
169963.lmo0433	B6RX96
169963.lmo0433	B8X2D4
169963.lmo0567	Q6QMN8
169963.lmo0886	Q83UG4
169963.lmo0264	B0ZZQ7
169963.lmo0931	B3VUA6
169963.lmo1573	C6ZT84
169963.lmo0201	Q6E9P1
169963.lmo0895	A1YUU9
169963.lmo1619	B5B978
169963.lmo0201	B0G0B3
169963.lmo0201	Q6EAE7
169963.lmo0200	Q83UQ5
169963.lmo0931	A9LY51
169963.lmo0319	B5B9C8
169963.lmo0265	C0LX61
169963.lmo0434	Q2PTY2
169963.lmo0203	Q6E941
169963.lmo0006	Q83TX5
169963.lmo0433	B5B8V5
169963.lmo0265	E0ACP0
169963.lmo0434	Q83UT0
169963.lmo0582	Q8KI41
169963.lmo0415	A9LY57
169963.lmo1329	B6RXS0
169963.lmo0433	C6ZUN7
169963.lmo0582	E0ACR6
169963.lmo0203	Q6E8R5
169963.lmo0886	M9VDC6
169963.lmo1871	B8X292
169963.lmo1786	Q2PTV5
169963.lmo0434	Q83UD2
169963.lmo0434	A1Y7E0
169963.lmo1398	B8X1X8
169963.lmo0205	E0ACX6
169963.lmo1398	Q83UJ1
169963.lmo2068	Q8KP52
169963.lmo0328	A0A0B8R335
169963.lmo0202	Q83U39
169963.lmo2092	Q83UV3
169963.lmo0202	Q83TY9
169963.lmo2092	Q83UX9
169963.lmo0202	A1XZT1
169963.lmo2752	B5B913
169963.lmo0210	E2E827
169963.lmo0739	G9G5K7
169963.lmo1786	Q2PTS2
169963.lmo0200	Q83UQ6
169963.lmo0582	Q8KIA6
169963.lmo0204	A0FEY9
169963.lmo0204	A1XZ46
169963.lmo0386	A7VKF9
169963.lmo0433	B6RXF5
169963.lmo1052	A1Y542
169963.lmo1573	C6ZT82
169963.lmo0434	C6ZUN4
169963.lmo0205	E0ACY0
169963.lmo0204	Q6E9X8
169963.lmo0204	Q83TS0
169963.lmo0886	A0SYH6
169963.lmo0300	B8X2K3
169963.lmo0265	C0LX60
169963.lmo1398	Q83UL0
169963.lmo0264	B0ZZR2
169963.lmo2752	B5B8Z7
169963.lmo0433	C9E295
169963.lmo0202	Q83TM6
169963.lmo1398	Q83TQ2
169963.lmo1521	C6ZTX8
169963.lmo0582	A9ZSB0
169963.lmo0204	H9N8R2
169963.lmo0409	Q2PTE2
169963.lmo0895	B6RYI4
169963.lmo0200	Q6E9Q4
169963.lmo0199	A0MZF6
169963.lmo1786	B0ZZK0
169963.lmo0931	B3VUB2
169963.lmo0434	H9N8X4
169963.lmo0205	Q83TL2
169963.lmo1871	Q83TY2
169963.lmo1521	A1Y3I0
169963.lmo0895	A9YDG9
169963.lmo1329	B6RXV0
169963.lmo1871	Q83TN6
169963.lmo1619	Q83TV2
169963.lmo0205	Q6E8Z1
169963.lmo0300	A1Y7I5
169963.lmo2785	B5B916
169963.lmo1508	B5B998
169963.lmo0433	C6ZV51
169963.lmo0204	Q6E8W8
169963.lmo2092	Q83UI6
169963.lmo0692	B0FPK7
169963.lmo0433	B3VU57
169963.lmo0203	Q6E8Z3
169963.lmo1786	Q83UI9
169963.lmo0929	A9LY61
169963.lmo1786	B8X1T8
169963.lmo0896	C6ZYL5
169963.lmo0434	M1IPU1
169963.lmo0434	Q2PTX7
169963.lmo1786	Q2PTU0
169963.lmo0210	B5B9H6
169963.lmo0433	B6RX95
169963.lmo0202	E9NS48
169963.lmo1398	A1XZF7
169963.lmo0433	A1Y723
169963.lmo0433	B6RXA2
169963.lmo2785	B5B939
169963.lmo1767	B6RZT1
169963.lmo1054	C6ZWN4
169963.lmo2332	F5CRS0
169963.lmo0202	Q83TI8
169963.lmo0433	A1Y3V0
169963.lmo0433	C9E292
169963.lmo1786	Q2L8F9
169963.lmo0210	B5B9F1
169963.lmo1871	Q83TN4
169963.lmo0202	A3QZW4
169963.lmo2752	B5B8Z3
169963.lmo0199	Q2L8M7
169963.lmo2752	Q6QMQ8
169963.lmo1871	A1XZL9
169963.lmo0200	B9UY42
169963.lmo1398	Q83T99
169963.lmo1329	C0LX07
169963.lmo0433	A1Y747
169963.lmo0210	B5B9G2
169963.lmo0895	B6SEC4
169963.lmo0434	A1Y3W1
169963.lmo0886	B8X1P9
169963.lmo0434	B3VU71
169963.lmo0433	Q2HPT4
169963.lmo0433	B6RX98
169963.lmo1767	B6RZM4
169963.lmo1520	C6ZTY1
169963.lmo0433	Q3ZUF0
169963.lmo0433	B6RX90
169963.lmo1439	Q6QMK0
169963.lmo0210	B5B9D3
169963.lmo0300	B8X2K9
169963.lmo2092	Q83UC7
169963.lmo0895	A9YDG6
169963.lmo2501	B0FQ17
169963.lmo1786	Q2PTU6
169963.lmo1398	A1YUN4
169963.lmo0433	B0ZZE4
169963.lmo2752	B5B907
169963.lmo0006	A1XZ95
169963.lmo0202	B5AFH7
169963.lmo0434	C6ZUR0
169963.lmo1052	C6ZWF7
169963.lmo1619	E0ACP6
169963.lmo0434	Q2PTX9
169963.lmo1287	S5DSG1
169963.lmo0202	F8SUP1
169963.lmo2367	Q6QMK9
169963.lmo2752	Q83UU8
169963.lmo1412	B0FPS6
169963.lmo0434	Q2PTW2
169963.lmo0415	A9LY55
169963.lmo0433	A6P512
169963.lmo0202	Q83U95
169963.lmo0202	A0A088FHQ0
169963.lmo0929	A9LY59
169963.lmo2332	F5CRS8
169963.lmo0210	B5B9E2
169963.lmo0210	B5B9G1
169963.lmo0202	Q6LB22
169963.lmo1871	Q83UR8
169963.lmo0434	A0MZK1
169963.lmo0210	B5B9F9
169963.lmo0300	B8X2R0
169963.lmo0582	E0ACS0
169963.lmo1721	Q1KT50
169963.lmo0202	A0A088FGK5
169963.lmo0203	B9UXP1
169963.lmo0434	C6ZUP0
169963.lmo0433	C9E2A3
169963.lmo0434	Q2PTY8
169963.lmo2092	A1XYX1
169963.lmo0428	A7VKG2
169963.lmo0205	B9UY68
169963.lmo0570	C0LWQ6
169963.lmo0582	A9ZSA4
169963.lmo0210	B5B9G3
169963.lmo0201	I1YNY9
169963.lmo0409	Q2PTF1
169963.lmo0433	C6ZUP1
169963.lmo0490	E2E894
169963.lmo0204	Q6E8T8
169963.lmo0204	A0FEZ2
169963.lmo1871	A1XZN2
169963.lmo0692	B0FPI5
169963.lmo0319	B5B9B7
169963.lmo0206	B5DCL0
169963.lmo0203	Q330T8
169963.lmo1574	A1Y6G3
169963.lmo0839	A6YSL2
169963.lmo0433	B8X2B2
169963.lmo0433	Q8KHN1
169963.lmo0433	A1Y743
169963.lmo0204	B0ZS13
169963.lmo0433	D8V6S6
169963.lmo0264	Q2PTG3
169963.lmo1786	Q2PTU2
169963.lmo0433	A4GWK4
169963.lmo0204	B0ZRY1
169963.lmo0433	C6ZUM7
169963.lmo0737	T2C700
169963.lmo0434	A9LY44
169963.lmo0433	C6ZUX1
169963.lmo0262	Q2PTD2
169963.lmo0434	A1Y3V9
169963.lmo0201	Q331D2
169963.lmo2092	A1YUQ7
169963.lmo0264	Q2PTI3
169963.lmo1398	Q83UE3
169963.lmo1054	C6ZWG5
169963.lmo0210	E0ACU6
169963.lmo1786	Q83TQ4
169963.lmo2092	Q83US1
169963.lmo0199	S5DSC6
169963.lmo0433	A0FF02
169963.lmo1573	A1Y2Z6
169963.lmo0433	H2DK90
169963.lmo2092	Q83U64
169963.lmo0582	Q8KHK4
169963.lmo0204	B0ZS17
169963.lmo2092	B8X218
169963.lmo1983	Q6QMN6
169963.lmo0204	Q6T548
169963.lmo0202	Q83U94
169963.lmo0265	C0LX54
169963.lmo0202	A0A060BIW6
169963.lmo1767	Q2L8K6
169963.lmo0200	S5DS96
169963.lmo0202	A0A060BDH9
169963.lmo1398	Q83TB5
169963.lmo1767	Q2L8K9
169963.lmo0433	R4V400
169963.lmo0657	A0A0B8RDR6
169963.lmo1786	R4UQK5
169963.lmo0115	A0A0B8QYU2
169963.lmo0202	A0A060BJG5
169963.lmo0433	R4UMW0
169963.lmo0434	B0ZZG1
169963.lmo0433	B8X2C8
169963.lmo0647	A0A0B8RG70
169963.lmo0201	B6ZH32
169963.lmo1514	E2E922
169963.lmo1786	Q83UC6
169963.lmo0433	R4PJC0
169963.lmo0433	R4PL39
169963.lmo0006	Q83TU4
169963.lmo2785	B5B917
169963.lmo0297	Q1EQY8
169963.lmo1398	Q83UM9
169963.lmo0433	R4PUT8
169963.lmo2537	B0FPX9
169963.lmo0006	Q83UX6
169963.lmo0433	B5B8S0
169963.lmo2785	B5B918
169963.lmo0433	E5KEB6
169963.lmo2785	E0ACM6
169963.lmo0177	Q6QML3
169963.lmo0434	A0SY79
169963.lmo2785	E0ACN0
169963.lmo0200	Q6E8T0
169963.lmo2468	Q83UC0
169963.lmo2468	Q83UC1
169963.lmo0200	B8X1K8
169963.lmo0202	Q83TY8
169963.lmo0202	Q6E9Q2
169963.lmo2092	C0LXG5
169963.lmo0006	Q83TX0
169963.lmo0201	B6ZH40
169963.lmo0201	B6ZH42
169963.lmo0433	D8V620
169963.lmo0974	W6JGV1
169963.lmo1871	Q83TY7
169963.lmo0006	Q83UK4
169963.lmo0006	Q83UW9
169963.lmo0433	V9XXI6
169963.lmo0433	A4GWJ9
169963.lmo0433	A4GWM7
169963.lmo0006	Q83TV1
169963.lmo0006	Q83TW6
169963.lmo0006	Q83U79
169963.lmo1871	Q83TV7
169963.lmo0433	R4PJE0
169963.lmo0210	B5B9H9
169963.lmo1329	B6RXR3
169963.lmo0264	Q2PTI5
169963.lmo0433	Q3ZUH7
169963.lmo0433	A1Y779
169963.lmo1054	C6ZWI0
169963.lmo1054	C6ZXB8
169963.lmo1329	D2E3R8
169963.lmo0297	Q1EQY7
169963.lmo0433	A1Y781
169963.lmo2459	Q2L8N9
169963.lmo0265	B5B957
169963.lmo0210	B5B9E3
169963.lmo0434	B8X1R8
169963.lmo0300	A1Y422
169963.lmo0200	Q6EAK8
169963.lmo0202	Q83TS2
169963.lmo0006	Q83UG7
169963.lmo2092	Q83TI5
169963.lmo0434	H9N8Y2
169963.lmo0582	Q83TM3
169963.lmo0433	B6RXD1
169963.lmo1574	C6ZT75
169963.lmo0200	H9N8Z8
169963.lmo0582	Q83TB3
169963.lmo0433	A1Y3U2
169963.lmo0582	A9ZSD0
169963.lmo0205	B0G057
169963.lmo2118	Q83TM0
169963.lmo0298	A1Y417
169963.lmo0434	D0VLN4
169963.lmo0204	Q2PPV2
169963.lmo1786	Q2PTT8
169963.lmo0434	Q3ZUJ6
169963.lmo0582	Q83TM7
169963.lmo0582	Q8KI18
169963.lmo0298	A1Y7X2
169963.lmo0265	B5B950
169963.lmo0210	B5B9F8
169963.lmo2752	Q694V3
169963.lmo0434	B8X1R9
169963.lmo0433	L7X3G0
169963.lmo0433	A1Y3P6
169963.lmo0895	A9YDH8
169963.lmo0433	E9NS40
169963.lmo1786	Q6Q612
169963.lmo0895	A9YDE4
