243159.AFE_1462	B7JA39
243159.AFE_1076	B7J824
243159.AFE_2778	B7J8K4
243159.AFE_1436	B7J9N3
243159.AFE_1491	B7JA68
243159.AFE_3166	B7JAS0
243159.AFE_1612	B7JAV2
243159.AFE_1669	B7JB08
243159.AFE_3296	B7JBH4
243159.AFE_1847	B7JBU9
243159.AFE_0255	B7J3Z9
243159.AFE_1139	B7J888
243159.AFE_0125	B7J3M2
243159.AFE_0787	B7J6K3
243159.AFE_1267	B7J8U9
243159.AFE_1268	B7J8V1
243159.AFE_3309	B7JBI7
243159.AFE_1757	B7JBL4
243159.AFE_2076	B7J4T6
243159.AFE_2091	B7J4V1
243159.AFE_0516	B7J536
243159.AFE_0525	B7J544
243159.AFE_2153	B7J5E1
243159.AFE_2268	B7J5Q5
243159.AFE_0630	B7J5S7
243159.AFE_0790	B7J6K6
243159.AFE_0822	B7J6N9
243159.AFE_1038	B7J7L3
243159.AFE_1048	B7J7Z6
243159.AFE_1813	B7JBR9
243159.AFE_2036	B7J4P7
243159.AFE_1818	B7JBS4
243159.AFE_0055	B7J3F6
243159.AFE_0527	B7J546
243159.AFE_0876	B7J6T7
243159.AFE_2477	B7J714
243159.AFE_1143	B7J891
243159.AFE_1306	B7J8Y9
243159.AFE_3253	B7JBD1
243159.AFE_1961	B7JC56
243159.AFE_0016	B7J3B7
243159.AFE_0439	B7J4I2
243159.AFE_2025	B7J4N6
243159.AFE_2136	B7J4Z3
243159.AFE_0579	B7J597
243159.AFE_0722	B7J618
243159.AFE_2361	B7J6C6
243159.AFE_2408	B7J6G9
243159.AFE_0807	B7J6M3
243159.AFE_2460	B7J6Z6
243159.AFE_2540	B7J774
243159.AFE_2548	B7J7L5
243159.AFE_2580	B7J7P7
243159.AFE_2638	B7J7V2
243159.AFE_2671	B7J7Y6
243159.AFE_2676	B7J8A8
243159.AFE_2772	B7J8J8
243159.AFE_2836	B7J929
243159.AFE_1440	B7J9N7
243159.AFE_3024	B7J9Z7
243159.AFE_3170	B7JAS3
243159.AFE_1711	B7JB48
243159.AFE_1724	B7JB61
243159.AFE_2658	B7J7X2
243159.AFE_0171	B7J3R7
243159.AFE_0403	B7J4E6
243159.AFE_0928	B7J7A5
243159.AFE_2729	B7J8G0
243159.AFE_2910	B7J9A0
243159.AFE_1422	B7J9L9
243159.AFE_2009	B7J491
243159.AFE_2111	B7J4W9
243159.AFE_2119	B7J4X7
243159.AFE_2206	B7J5J4
243159.AFE_0646	B7J5U4
243159.AFE_0665	B7J5W1
243159.AFE_1827	B7JBT3
243159.AFE_0707	B7J603
243159.AFE_1064	B7J812
243159.AFE_0582	B7J5A0
243159.AFE_2162	B7J5F0
243159.AFE_2324	B7J693
243159.AFE_1577	B7JAF3
243159.AFE_1638	B7JAX7
243159.AFE_0200	B7J3U6
243159.AFE_0261	B7J405
243159.AFE_0348	B7J488
243159.AFE_0416	B7J4F9
243159.AFE_0473	B7J4L6
243159.AFE_2142	B7J4Z8
243159.AFE_0672	B7J5W8
243159.AFE_2396	B7J6F8
243159.AFE_0893	B7J6U9
243159.AFE_2433	B7J6X3
243159.AFE_2517	B7J751
243159.AFE_2551	B7J7L8
243159.AFE_1137	B7J885
243159.AFE_1314	B7J9C0
243159.AFE_1395	B7J9J6
243159.AFE_1931	B7JC28
243159.AFE_1939	B7JC36
243159.AFE_1949	B7JC45
243159.AFE_1953	B7JC49
243159.AFE_0099	B7J3J7
243159.AFE_0347	B7J487
243159.AFE_0366	B7J4B6
243159.AFE_2251	B7J5N8
243159.AFE_1068	B7J816
243159.AFE_2681	B7J8B4
243159.AFE_3106	B7JAL0
243159.AFE_1755	B7JBL2
243159.AFE_1814	B7JBS0
243159.AFE_2634	B7J7U8
243159.AFE_2649	B7J7W3
243159.AFE_1152	B7J8A0
243159.AFE_2834	B7J927
243159.AFE_0402	B7J4E5
243159.AFE_2087	B7J4U7
243159.AFE_2197	B7J5I6
243159.AFE_2199	B7J5I7
243159.AFE_2203	B7J5J0
243159.AFE_0748	B7J644
243159.AFE_2333	B7J6A0
243159.AFE_2491	B7J726
243159.AFE_2546	B7J780
243159.AFE_3176	B7JAS8
243159.AFE_1591	B7JAT5
243159.AFE_1651	B7JAZ0
243159.AFE_2209	B7J5J6
243159.AFE_1118	B7J866
243159.AFE_1893	B7JBZ4
243159.AFE_0177	B7J3S3
243159.AFE_2048	B7J4Q8
243159.AFE_2147	B7J503
243159.AFE_2150	B7J506
243159.AFE_0518	B7J537
243159.AFE_0799	B7J6L5
243159.AFE_0806	B7J6M2
243159.AFE_0816	B7J6N3
243159.AFE_0903	B7J783
243159.AFE_0968	B7J7E4
243159.AFE_0999	B7J7H4
243159.AFE_2667	B7J7Y1
243159.AFE_2727	B7J8F8
243159.AFE_1449	B7J9P6
243159.AFE_1569	B7JAE5
243159.AFE_3099	B7JAK3
243159.AFE_3162	B7JAR6
243159.AFE_1613	B7JAV3
243159.AFE_1649	B7JAY9
243159.AFE_2004	B7JC97
243159.AFE_2493	B7J728
243159.AFE_2049	B7J4R0
243159.AFE_0688	B7J5Y4
243159.AFE_3044	B7JA17
243159.AFE_2093	B7J4V3
243159.AFE_2180	B7J5G9
243159.AFE_1641	B7JAY0
243159.AFE_0222	B7J3W6
243159.AFE_1960	B7JC55
243159.AFE_0377	B7J4C6
243159.AFE_2037	B7J4P8
243159.AFE_2043	B7J4Q4
243159.AFE_2103	B7J4W2
243159.AFE_2148	B7J504
243159.AFE_0694	B7J5Z1
243159.AFE_0773	B7J6I9
243159.AFE_2565	B7J7N2
243159.AFE_2711	B7J8E3
243159.AFE_2789	B7J8L4
243159.AFE_1195	B7J8M8
243159.AFE_1448	B7J9P5
243159.AFE_1600	B7JAU2
243159.AFE_1665	B7JB04
243159.AFE_3266	B7JBE4
243159.AFE_0031	B7J3D2
243159.AFE_0101	B7J3J9
243159.AFE_0138	B7J3N5
243159.AFE_0156	B7J3Q2
243159.AFE_0474	B7J4L7
243159.AFE_0661	B7J5V7
243159.AFE_2334	B7J6A2
243159.AFE_0802	B7J6L8
243159.AFE_2596	B7J7R3
243159.AFE_2644	B7J7V8
243159.AFE_2726	B7J8F7
243159.AFE_1336	B7J9E1
243159.AFE_1417	B7J9L5
243159.AFE_3213	B7JB94
243159.AFE_3282	B7JBG0
243159.AFE_1820	B7JBS6
243159.AFE_1955	B7JC50
243159.AFE_1974	B7JC69
243159.AFE_1978	B7JC73
243159.AFE_1084	B7J831
243159.AFE_1312	B7J9B7
243159.AFE_1347	B7J9F2
243159.AFE_1924	B7JC21
243159.AFE_0023	B7J3C4
243159.AFE_0066	B7J3G7
243159.AFE_0534	B7J553
243159.AFE_2219	B7J5K6
243159.AFE_0728	B7J624
243159.AFE_0732	B7J628
243159.AFE_0921	B7J798
243159.AFE_0987	B7J7G3
243159.AFE_2556	B7J7M3
243159.AFE_2943	B7J9R6
243159.AFE_1532	B7JAA9
243159.AFE_1566	B7JAE2
243159.AFE_1619	B7JAV9
243159.AFE_1682	B7JB21
243159.AFE_1684	B7JB23
243159.AFE_1874	B7JBX6
243159.AFE_1938	B7JC35
243159.AFE_1943	B7JC40
243159.AFE_0526	B7J545
243159.AFE_0699	B7J5Z5
243159.AFE_2052	B7J4R3
243159.AFE_0535	B7J554
243159.AFE_2168	B7J5F7
243159.AFE_1090	B7J838
243159.AFE_2809	B7J902
243159.AFE_2846	B7J940
243159.AFE_2850	B7J943
243159.AFE_1405	B7J9K6
243159.AFE_1431	B7J9M8
243159.AFE_2980	B7J9V3
243159.AFE_3036	B7JA09
243159.AFE_1549	B7JAC6
243159.AFE_1560	B7JAD6
243159.AFE_3175	B7JAS7
243159.AFE_1713	B7JB50
243159.AFE_1810	B7JBR6
243159.AFE_0619	B7J5D5
243159.AFE_1263	B7J8U5
243159.AFE_2065	B7J4S5
243159.AFE_0721	B7J617
243159.AFE_2316	B7J685
243159.AFE_1261	B7J8U3
243159.AFE_3140	B7JAP4
243159.AFE_0438	B7J4I1
243159.AFE_2101	B7J4W1
243159.AFE_0767	B7J6I3
243159.AFE_0989	B7J7G5
243159.AFE_2688	B7J8C0
243159.AFE_2908	B7J999
243159.AFE_3056	B7JA29
243159.AFE_3087	B7JAJ1
243159.AFE_1708	B7JB45
243159.AFE_2305	B7J676
243159.AFE_1372	B7J9H6
243159.AFE_0179	B7J3S5
243159.AFE_1227	B7J8Q9
243159.AFE_1253	B7J8T4
243159.AFE_3262	B7JBE0
243159.AFE_0810	B7J6M6
243159.AFE_0113	B7J3L0
243159.AFE_2571	B7J7N8
243159.AFE_1382	B7J9I4
243159.AFE_1476	B7JA53
243159.AFE_1529	B7JAA6
243159.AFE_0588	B7J5A4
243159.AFE_2207	B7J5J5
243159.AFE_2381	B7J6E5
243159.AFE_0842	B7J6Q8
243159.AFE_1023	B7J7J8
243159.AFE_1027	B7J7K2
243159.AFE_3006	B7J9X9
243159.AFE_1503	B7JA80
243159.AFE_3058	B7JAG7
243159.AFE_3070	B7JAH9
243159.AFE_3139	B7JAP3
243159.AFE_1804	B7JBR0
243159.AFE_1873	B7JBX5
243159.AFE_0437	B7J4I0
243159.AFE_2026	B7J4N7
243159.AFE_3283	B7JBG1
243159.AFE_0249	B7J3Z3
243159.AFE_0422	B7J4G5
243159.AFE_0537	B7J556
243159.AFE_2475	B7J712
243159.AFE_0906	B7J786
243159.AFE_2690	B7J8C2
243159.AFE_2717	B7J8E9
243159.AFE_2768	B7J8J5
243159.AFE_2885	B7J977
243159.AFE_1748	B7JBK6
243159.AFE_1793	B7JBP9
243159.AFE_1799	B7JBQ5
243159.AFE_2002	B7JC96
243159.AFE_1607	B7JAU8
243159.AFE_1275	B7J8V7
243159.AFE_1366	B7J9H0
243159.AFE_0071	B7J3H2
243159.AFE_0254	B7J3Z8
243159.AFE_0454	B7J4J7
243159.AFE_0612	B7J5C8
243159.AFE_2348	B7J6B5
243159.AFE_0780	B7J6J6
243159.AFE_2449	B7J6Y7
243159.AFE_0951	B7J7C7
243159.AFE_1102	B7J850
243159.AFE_2915	B7J9A6
243159.AFE_3131	B7JAN5
243159.AFE_1767	B7JBM3
243159.AFE_0272	B7J416
243159.AFE_2015	B7J497
243159.AFE_2021	B7J4N2
243159.AFE_2140	B7J4Z7
243159.AFE_0645	B7J5U2
243159.AFE_0896	B7J6V2
243159.AFE_2473	B7J710
243159.AFE_2704	B7J8D6
243159.AFE_1213	B7J8P6
243159.AFE_2875	B7J968
243159.AFE_2925	B7J9B6
243159.AFE_1363	B7J9G7
243159.AFE_1379	B7J9I1
243159.AFE_1515	B7JA92
243159.AFE_1768	B7JBM5
243159.AFE_0458	B7J4K1
243159.AFE_2327	B7J695
243159.AFE_1614	B7JAV4
243159.AFE_1839	B7JBU3
243159.AFE_0068	B7J3G9
243159.AFE_0396	B7J4D9
243159.AFE_1348	B7J9F3
243159.AFE_1597	B7JAT9
243159.AFE_2018	B7J4M9
243159.AFE_2056	B7J4R6
243159.AFE_0558	B7J577
243159.AFE_0725	B7J621
243159.AFE_0899	B7J6V5
243159.AFE_1123	B7J871
243159.AFE_2791	B7J8L6
243159.AFE_1199	B7J8N2
243159.AFE_1201	B7J8N4
243159.AFE_1206	B7J8N9
243159.AFE_2880	B7J973
243159.AFE_3050	B7JA23
243159.AFE_3232	B7JBB1
243159.AFE_3252	B7JBD0
243159.AFE_2722	B7J8F4
243159.AFE_1986	B7JC81
243159.AFE_2307	B7J678
243159.AFE_0148	B7J3P5
243159.AFE_0219	B7J3W2
243159.AFE_0837	B7J6Q3
243159.AFE_1054	B7J802
243159.AFE_2769	B7J8J6
243159.AFE_1176	B7J8M6
243159.AFE_1223	B7J8Q6
243159.AFE_1230	B7J8R2
243159.AFE_1271	B7J8V3
243159.AFE_1416	B7J9L4
243159.AFE_2988	B7J9W1
243159.AFE_1519	B7JA96
243159.AFE_1601	B7JAU3
243159.AFE_1831	B7JBT6
243159.AFE_1992	B7JC87
243159.AFE_2033	B7J4P4
243159.AFE_0554	B7J573
243159.AFE_0739	B7J635
243159.AFE_3220	B7JBA1
243159.AFE_3256	B7JBD4
243159.AFE_3272	B7JBF0
243159.AFE_2811	B7J904
243159.AFE_2862	B7J955
243159.AFE_2155	B7J5E3
243159.AFE_0931	B7J7A8
243159.AFE_1053	B7J801
243159.AFE_1828	B7JBT4
243159.AFE_1884	B7JBY6
243159.AFE_0007	B7J3A9
243159.AFE_2750	B7J8H9
243159.AFE_0143	B7J3P0
243159.AFE_2165	B7J5F3
243159.AFE_2292	B7J664
243159.AFE_2338	B7J6A5
243159.AFE_2542	B7J776
243159.AFE_1003	B7J7H8
243159.AFE_1015	B7J7J0
243159.AFE_2663	B7J7X7
243159.AFE_1112	B7J860
243159.AFE_1225	B7J8Q7
243159.AFE_2947	B7J9S0
243159.AFE_1460	B7JA37
243159.AFE_1541	B7JAB8
243159.AFE_3079	B7JAI8
243159.AFE_1853	B7JBV6
243159.AFE_3212	B7JB93
243159.AFE_0503	B7J524
243159.AFE_0718	B7J614
243159.AFE_0814	B7J6N0
243159.AFE_2759	B7J8I8
243159.AFE_1387	B7J9I8
243159.AFE_1527	B7JAA3
243159.AFE_1540	B7JAB7
243159.AFE_1499	B7JA76
243159.AFE_2430	B7J6X0
243159.AFE_0649	B7J5U7
243159.AFE_2298	B7J669
243159.AFE_0764	B7J6I0
243159.AFE_2687	B7J8B9
243159.AFE_2819	B7J912
243159.AFE_1679	B7JB18
243159.AFE_1821	B7JBS7
243159.AFE_0010	B7J3B1
243159.AFE_0134	B7J3N1
243159.AFE_0657	B7J5V3
243159.AFE_2472	B7J709
243159.AFE_0904	B7J784
243159.AFE_2616	B7J7T1
243159.AFE_1098	B7J846
243159.AFE_2674	B7J8A6
243159.AFE_2763	B7J8J2
243159.AFE_1325	B7J9D0
243159.AFE_1334	B7J9D9
243159.AFE_1530	B7JAA7
243159.AFE_1565	B7JAE1
243159.AFE_3101	B7JAK5
243159.AFE_3107	B7JAL1
243159.AFE_1635	B7JAX4
243159.AFE_1797	B7JBQ3
243159.AFE_1959	B7JC54
243159.AFE_2983	B7J9V6
243159.AFE_0169	B7J3R4
243159.AFE_0359	B7J4A9
243159.AFE_0597	B7J5B3
243159.AFE_0601	B7J5B6
243159.AFE_2170	B7J5F8
243159.AFE_2244	B7J5N1
243159.AFE_2352	B7J6B9
243159.AFE_2632	B7J7U6
243159.AFE_1418	B7J9L6
243159.AFE_3041	B7JA14
243159.AFE_1801	B7JBQ7
243159.AFE_0036	B7J3D7
243159.AFE_0462	B7J4K5
243159.AFE_2272	B7J5Q9
243159.AFE_0730	B7J626
243159.AFE_2378	B7J6E2
243159.AFE_2506	B7J741
243159.AFE_0970	B7J7E6
243159.AFE_2586	B7J7Q3
243159.AFE_1131	B7J879
243159.AFE_1154	B7J8A2
243159.AFE_1305	B7J8Y7
243159.AFE_3028	B7JA01
243159.AFE_1585	B7JAG1
243159.AFE_1674	B7JB13
243159.AFE_1832	B7JBT7
243159.AFE_2000	B7JC94
243159.AFE_2322	B7J691
243159.AFE_0500	B7J521
243159.AFE_0100	B7J3J8
243159.AFE_0164	B7J3R0
243159.AFE_0236	B7J3Y0
243159.AFE_0363	B7J4B3
243159.AFE_2375	B7J6E0
243159.AFE_2584	B7J7Q0
243159.AFE_2622	B7J7T7
243159.AFE_2636	B7J7V0
243159.AFE_2669	B7J7Y3
243159.AFE_1220	B7J8Q2
243159.AFE_1375	B7J9H8
243159.AFE_1386	B7J9I7
243159.AFE_3015	B7J9Y9
243159.AFE_3025	B7J9Z8
243159.AFE_1497	B7JA74
243159.AFE_1609	B7JAU9
243159.AFE_1923	B7JC20
243159.AFE_0393	B7J4D6
243159.AFE_0861	B7J6S4
243159.AFE_3100	B7JAK4
243159.AFE_3113	B7JAL7
243159.AFE_1952	B7JC48
243159.AFE_1969	B7JC64
243159.AFE_1471	B7JA47
243159.AFE_0453	B7J4J6
243159.AFE_2555	B7J7M2
243159.AFE_1594	B7JAT6
243159.AFE_0021	B7J3C2
243159.AFE_0132	B7J3N0
243159.AFE_0221	B7J3W5
243159.AFE_2058	B7J4R8
243159.AFE_2255	B7J5P2
243159.AFE_2303	B7J674
243159.AFE_0819	B7J6N5
243159.AFE_1298	B7J8Y0
243159.AFE_1328	B7J9D3
243159.AFE_3038	B7JA11
243159.AFE_1596	B7JAT8
243159.AFE_1632	B7JAX2
243159.AFE_1672	B7JB11
243159.AFE_1765	B7JBM2
243159.AFE_1858	B7JBW1
243159.AFE_1951	B7JC47
243159.AFE_1983	B7JC78
243159.AFE_1988	B7JC83
243159.AFE_0690	B7J5Y6
243159.AFE_0133	B7J3M9
243159.AFE_0154	B7J3Q0
243159.AFE_2045	B7J4Q6
243159.AFE_0576	B7J595
243159.AFE_2379	B7J6E3
243159.AFE_2420	B7J6W0
243159.AFE_2500	B7J735
243159.AFE_2524	B7J758
243159.AFE_0912	B7J792
243159.AFE_1026	B7J7K1
243159.AFE_2795	B7J8M0
243159.AFE_2844	B7J937
243159.AFE_1392	B7J9J4
243159.AFE_2990	B7J9W3
243159.AFE_1456	B7JA33
243159.AFE_3163	B7JAR7
243159.AFE_0279	B7J424
243159.AFE_2039	B7J4Q0
243159.AFE_2122	B7J4Y0
243159.AFE_2240	B7J5M7
243159.AFE_2283	B7J5S0
243159.AFE_0674	B7J5X0
243159.AFE_2291	B7J663
243159.AFE_2314	B7J684
243159.AFE_2332	B7J6A1
243159.AFE_0924	B7J7A1
243159.AFE_2572	B7J7N9
243159.AFE_1081	B7J829
243159.AFE_2800	B7J8M5
243159.AFE_1216	B7J8P9
243159.AFE_1264	B7J8U6
243159.AFE_1322	B7J9C7
243159.AFE_1362	B7J9G6
243159.AFE_1454	B7JA31
243159.AFE_3061	B7JAH0
243159.AFE_1707	B7JB43
243159.AFE_3248	B7JBC6
243159.AFE_2227	B7J5L4
243159.AFE_2585	B7J7Q2
243159.AFE_2796	B7J8M1
243159.AFE_1571	B7JAE7
243159.AFE_1644	B7JAY3
243159.AFE_0141	B7J3N8
243159.AFE_0245	B7J3Y9
243159.AFE_2010	B7J492
243159.AFE_2204	B7J5J2
243159.AFE_0636	B7J5T4
243159.AFE_2605	B7J7S2
243159.AFE_2673	B7J7Y7
243159.AFE_2764	B7J8J3
243159.AFE_2766	B7J8J4
243159.AFE_2919	B7J9B0
243159.AFE_2954	B7J9S7
243159.AFE_3012	B7J9Y5
243159.AFE_1554	B7JAD1
243159.AFE_1559	B7JAD5
243159.AFE_3210	B7JB91
243159.AFE_1963	B7JC58
243159.AFE_0625	B7J5S2
243159.AFE_1859	B7JBW2
243159.AFE_0711	B7J607
243159.AFE_0715	B7J611
243159.AFE_2351	B7J6B8
243159.AFE_2682	B7J8B3
243159.AFE_2999	B7J9X2
243159.AFE_1676	B7JB15
243159.AFE_0026	B7J3C7
243159.AFE_0081	B7J3I2
243159.AFE_0128	B7J3M5
243159.AFE_2487	B7J722
243159.AFE_2743	B7J8H2
243159.AFE_2779	B7J8K5
243159.AFE_1309	B7J8Z1
243159.AFE_2845	B7J938
243159.AFE_2985	B7J9V8
243159.AFE_1513	B7JA90
243159.AFE_1973	B7JC68
243159.AFE_2861	B7J954
243159.AFE_0357	B7J4A7
243159.AFE_1752	B7JBK9
243159.AFE_0208	B7J3V4
243159.AFE_0266	B7J410
243159.AFE_0428	B7J4H1
243159.AFE_0628	B7J5S5
243159.AFE_2346	B7J6B3
243159.AFE_1463	B7JA41
243159.AFE_1621	B7JAW1
243159.AFE_0025	B7J3C6
243159.AFE_0045	B7J3E6
243159.AFE_0063	B7J3G4
243159.AFE_0297	B7J441
243159.AFE_0436	B7J4H9
243159.AFE_2152	B7J508
243159.AFE_2178	B7J5G6
243159.AFE_2342	B7J6A8
243159.AFE_0892	B7J6U8
243159.AFE_0898	B7J6V4
243159.AFE_2463	B7J700
243159.AFE_2707	B7J8D9
243159.AFE_2723	B7J8F5
243159.AFE_1234	B7J8R6
243159.AFE_2807	B7J900
243159.AFE_1355	B7J9G0
243159.AFE_2993	B7J9W6
243159.AFE_2677	B7J8A9
243159.AFE_3002	B7J9X5
243159.AFE_0012	B7J3B3
243159.AFE_0069	B7J3H0
243159.AFE_0197	B7J3U3
243159.AFE_0227	B7J3X1
243159.AFE_0556	B7J575
243159.AFE_0571	B7J590
243159.AFE_0608	B7J5C4
243159.AFE_2231	B7J5L8
243159.AFE_0650	B7J5U6
243159.AFE_0758	B7J654
243159.AFE_0922	B7J799
243159.AFE_1124	B7J872
243159.AFE_1269	B7J8V0
243159.AFE_1283	B7J8W5
243159.AFE_2813	B7J906
243159.AFE_1339	B7J9E4
243159.AFE_1368	B7J9H2
243159.AFE_1399	B7J9K0
243159.AFE_1455	B7JA32
243159.AFE_3293	B7JBH1
243159.AFE_1815	B7JBS1
243159.AFE_0651	B7J5U8
243159.AFE_2624	B7J7T9
243159.AFE_1140	B7J887
243159.AFE_0085	B7J3I4
243159.AFE_0184	B7J3T0
243159.AFE_2249	B7J5N6
243159.AFE_2349	B7J6B6
243159.AFE_2385	B7J6E9
243159.AFE_1004	B7J7H9
243159.AFE_1078	B7J826
243159.AFE_1086	B7J834
243159.AFE_1109	B7J857
243159.AFE_2699	B7J8D1
243159.AFE_1313	B7J9B8
243159.AFE_2998	B7J9X1
243159.AFE_1579	B7JAF5
243159.AFE_3068	B7JAH7
243159.AFE_3103	B7JAK7
243159.AFE_1989	B7JC84
243159.AFE_0785	B7J6K1
243159.AFE_1391	B7J9J2
243159.AFE_0054	B7J3F5
243159.AFE_2175	B7J5G3
243159.AFE_2698	B7J8D0
243159.AFE_2867	B7J960
243159.AFE_2115	B7J4X3
243159.AFE_2228	B7J5L5
243159.AFE_2250	B7J5N7
243159.AFE_2321	B7J690
243159.AFE_2428	B7J6W8
243159.AFE_0937	B7J7B4
243159.AFE_0995	B7J7H0
243159.AFE_1089	B7J837
243159.AFE_2788	B7J8L3
243159.AFE_1276	B7J8V8
243159.AFE_2913	B7J9A4
243159.AFE_1459	B7JA36
243159.AFE_1550	B7JAC7
243159.AFE_3124	B7JAM8
243159.AFE_3164	B7JAR8
243159.AFE_3286	B7JBG4
243159.AFE_0043	B7J3E4
243159.AFE_0120	B7J3L7
243159.AFE_0365	B7J4B5
243159.AFE_0469	B7J4L2
243159.AFE_2174	B7J5G2
243159.AFE_2482	B7J718
243159.AFE_2655	B7J7W9
243159.AFE_1044	B7J7Z2
243159.AFE_1101	B7J849
243159.AFE_0978	B7J7F4
243159.AFE_0984	B7J7G0
243159.AFE_2694	B7J8C6
243159.AFE_2762	B7J8J1
243159.AFE_3027	B7JA00
243159.AFE_1465	B7JA42
243159.AFE_3298	B7JBH6
243159.AFE_1883	B7JBY5
243159.AFE_0267	B7J411
243159.AFE_2138	B7J4Z5
243159.AFE_0538	B7J557
243159.AFE_0673	B7J5W9
243159.AFE_2360	B7J6C5
243159.AFE_2436	B7J6X6
243159.AFE_2504	B7J739
243159.AFE_0943	B7J7C0
243159.AFE_1005	B7J7I0
243159.AFE_1012	B7J7I7
243159.AFE_1299	B7J8Y1
243159.AFE_2965	B7J9T8
243159.AFE_2995	B7J9W8
243159.AFE_1511	B7JA88
243159.AFE_2296	B7J667
243159.AFE_0817	B7J6N2
243159.AFE_2656	B7J7X0
243159.AFE_2812	B7J905
243159.AFE_1696	B7JB35
243159.AFE_1722	B7JB59
243159.AFE_0015	B7J3B6
243159.AFE_0163	B7J3Q9
243159.AFE_0268	B7J412
243159.AFE_2024	B7J4N5
243159.AFE_2179	B7J5G7
243159.AFE_0873	B7J6T5
243159.AFE_2419	B7J6V9
243159.AFE_2448	B7J6Y6
243159.AFE_0907	B7J787
243159.AFE_0983	B7J7F9
243159.AFE_2591	B7J7Q8
243159.AFE_1062	B7J809
243159.AFE_1266	B7J8U8
243159.AFE_1300	B7J8Y2
243159.AFE_1359	B7J9G3
243159.AFE_3018	B7J9Z1
243159.AFE_1458	B7JA35
243159.AFE_1542	B7JAB9
243159.AFE_3179	B7JAT1
243159.AFE_1611	B7JAV1
243159.AFE_0530	B7J549
243159.AFE_1141	B7J889
243159.AFE_1178	B7J8M7
243159.AFE_1246	B7J8S8
243159.AFE_0131	B7J3M8
243159.AFE_2229	B7J5L6
243159.AFE_0786	B7J6K2
243159.AFE_0867	B7J6T0
243159.AFE_0955	B7J7D1
243159.AFE_0982	B7J7F8
243159.AFE_2560	B7J7M7
243159.AFE_2621	B7J7T6
243159.AFE_1115	B7J863
243159.AFE_1251	B7J8T3
243159.AFE_2808	B7J901
243159.AFE_2823	B7J916
243159.AFE_1343	B7J9E8
243159.AFE_1736	B7JBJ4
243159.AFE_1769	B7JBM6
243159.AFE_1870	B7JBX2
243159.AFE_0934	B7J7B1
243159.AFE_3092	B7JAJ6
243159.AFE_0671	B7J5W7
243159.AFE_0593	B7J5A9
243159.AFE_3110	B7JAL4
243159.AFE_3254	B7JBD2
243159.AFE_0080	B7J3I1
243159.AFE_0419	B7J4G2
243159.AFE_0475	B7J4L8
243159.AFE_2166	B7J5F4
243159.AFE_0762	B7J657
243159.AFE_2451	B7J6Z0
243159.AFE_0958	B7J7D5
243159.AFE_0975	B7J7F1
243159.AFE_2577	B7J7P4
243159.AFE_2920	B7J9B2
243159.AFE_2930	B7J9Q4
243159.AFE_2970	B7J9U3
243159.AFE_1484	B7JA61
243159.AFE_0191	B7J3T8
243159.AFE_2873	B7J966
243159.AFE_1470	B7JA48
243159.AFE_1790	B7JBP6
243159.AFE_1307	B7J8Y8
243159.AFE_1636	B7JAX5
243159.AFE_0881	B7J6U0
243159.AFE_2566	B7J7N3
243159.AFE_2923	B7J9B4
243159.AFE_3125	B7JAM9
243159.AFE_3240	B7JBB8
243159.AFE_0251	B7J3Z5
243159.AFE_0644	B7J5U1
243159.AFE_0740	B7J636
243159.AFE_1210	B7J8P3
243159.AFE_3160	B7JAR3
243159.AFE_1652	B7JAZ1
243159.AFE_3265	B7JBE3
243159.AFE_0041	B7J3E2
243159.AFE_2515	B7J749
243159.AFE_0953	B7J7C9
243159.AFE_1092	B7J841
243159.AFE_1441	B7J9N8
243159.AFE_1783	B7JBN9
243159.AFE_2839	B7J932
243159.AFE_3215	B7JB96
243159.AFE_0104	B7J3K2
243159.AFE_0161	B7J3Q7
243159.AFE_0407	B7J4F0
243159.AFE_2097	B7J4V7
243159.AFE_0501	B7J522
243159.AFE_2313	B7J683
243159.AFE_2532	B7J766
243159.AFE_2840	B7J933
243159.AFE_1396	B7J9J7
243159.AFE_3005	B7J9X8
243159.AFE_1490	B7JA67
243159.AFE_1625	B7JAW5
243159.AFE_1642	B7JAY1
243159.AFE_1663	B7JB02
243159.AFE_1809	B7JBR5
243159.AFE_1907	B7JC08
243159.AFE_1942	B7JC39
243159.AFE_1947	B7JC43
243159.AFE_0448	B7J4J1
243159.AFE_2662	B7J7X6
243159.AFE_1520	B7JA97
243159.AFE_0487	B7J510
243159.AFE_0603	B7J5B9
243159.AFE_0604	B7J5C0
243159.AFE_2169	B7J5F6
243159.AFE_0681	B7J5X7
243159.AFE_2377	B7J6E1
243159.AFE_0979	B7J7F5
243159.AFE_1260	B7J8U2
243159.AFE_2803	B7J8Z6
243159.AFE_2860	B7J953
243159.AFE_2951	B7J9S4
243159.AFE_2997	B7J9X0
243159.AFE_1567	B7JAE3
243159.AFE_3157	B7JAR1
243159.AFE_1658	B7JAZ7
243159.AFE_3238	B7JBB6
243159.AFE_1906	B7JC07
243159.AFE_0621	B7J5D6
243159.AFE_1280	B7J8W2
243159.AFE_2870	B7J963
243159.AFE_1616	B7JAV6
243159.AFE_0207	B7J3V3
243159.AFE_0273	B7J417
243159.AFE_0280	B7J423
243159.AFE_2013	B7J495
243159.AFE_0349	B7J499
243159.AFE_2100	B7J4W0
243159.AFE_0678	B7J5X4
