,EC_number,RID,Organism,Turnover_Number
1707,1.2.99.5,R03015,Methanosarcina barkeri,10.7
1708,1.2.99.5,R08060,Methanosarcina barkeri,10.7
1709,1.2.99.6,R00326,Thermococcus sp.,172.3
1710,1.20.1.1,R05746,Cupriavidus metallidurans,6.83
1711,1.20.1.1,R05746,Methylobacterium extorquens,5.1
1712,1.20.1.1,R05746,Nostoc punctiforme,3.36
1713,1.20.1.1,R05746,Pseudomonas stutzeri,3.55
1714,1.21.3.1,R04872,Aspergillus nidulans,4.1
1715,1.21.3.3,R03831,Eschscholzia californica,8.0
1716,1.3.1.1,R00977,Escherichia coli,0.645
1717,1.3.1.1,R01414,Escherichia coli,0.335
1718,1.3.1.10,R01404,Staphylococcus aureus,130.2
1719,1.3.1.10,R04430,Staphylococcus aureus,130.2
1720,1.3.1.10,R04725,Staphylococcus aureus,130.2
1721,1.3.1.10,R04956,Staphylococcus aureus,130.2
1722,1.3.1.10,R04959,Staphylococcus aureus,130.2
1723,1.3.1.10,R04962,Staphylococcus aureus,130.2
1724,1.3.1.10,R04967,Staphylococcus aureus,130.2
1725,1.3.1.10,R04970,Staphylococcus aureus,130.2
1726,1.3.1.12,R01728,Aquifex aeolicus,9.15
1727,1.3.1.12,R01728,Escherichia coli,0.45
1728,1.3.1.12,R01728,Mycobacterium tuberculosis,263.25
1729,1.3.1.12,R01728,Soil bacterium,10.08
1730,1.3.1.12,R01728,Streptococcus mutans,8.95
1731,1.3.1.14,R01869,Clostridium oroticum,22.0
1732,1.3.1.14,R01869,Lactococcus lactis,25.7
1733,1.3.1.15,R01866,Bacteria,8.33
1734,1.3.1.2,R00978,Bos taurus,1.0
1735,1.3.1.2,R00978,Sus scrofa,0.242
1736,1.3.1.20,R00814,Bos taurus,0.583
1737,1.3.1.20,R00814,Homo sapiens,0.0325
1738,1.3.1.20,R00814,Macaca fascicularis,24.6
1739,1.3.1.20,R00814,Macaca fuscata,14.0
1740,1.3.1.20,R00814,Macaca fuscata fuscata,90.0
1741,1.3.1.24,R02391,Bos taurus,3.65
1742,1.3.1.3,R01835,Homo sapiens,0.0565
1743,1.3.1.3,R01835,Rattus norvegicus,0.0337
1744,1.3.1.3,R02219,Arabidopsis thaliana,0.17
1745,1.3.1.3,R02219,Digitalis lanata,0.019
1746,1.3.1.3,R02219,Rattus norvegicus,0.9151
1747,1.3.1.3,R02498,Homo sapiens,0.12
1748,1.3.1.3,R02498,Rattus norvegicus,0.6604
1749,1.3.1.3,R02609,Homo sapiens,0.01
1750,1.3.1.3,R02841,Homo sapiens,0.045
1751,1.3.1.3,R02841,Rattus norvegicus,0.00817
1752,1.3.1.3,R02893,Homo sapiens,0.17
1753,1.3.1.3,R02893,Rattus norvegicus,0.0375
1754,1.3.1.3,R03713,Homo sapiens,0.15
1755,1.3.1.3,R03850,Homo sapiens,0.032
1756,1.3.1.3,R04817,Rattus norvegicus,0.01
1757,1.3.1.3,R04823,Rattus norvegicus,0.0128
1758,1.3.1.31,R01689,Achromobacter sp.,38.6
1759,1.3.1.31,R01689,Lactobacillus casei,3200.0
1760,1.3.1.31,R02252,Achromobacter sp.,38.6
1761,1.3.1.31,R02252,Lactobacillus casei,3200.0
1762,1.3.1.32,R02988,Pimelobacter simplex,114.0
1763,1.3.1.32,R02988,Pseudomonas sp.,13.9
1764,1.3.1.32,R02988,Sphingobium chlorophenolicum,1.2
1765,1.3.1.32,R02989,Pimelobacter simplex,114.0
1766,1.3.1.32,R02989,Pseudomonas sp.,13.9
1767,1.3.1.32,R02989,Sphingobium chlorophenolicum,1.2
1768,1.3.1.32,R05355,Pimelobacter simplex,114.0
1769,1.3.1.32,R05355,Pseudomonas sp.,13.9
1770,1.3.1.32,R05355,Sphingobium chlorophenolicum,1.2
1771,1.3.1.32,R07781,Pimelobacter simplex,114.0
1772,1.3.1.32,R07781,Pseudomonas sp.,13.9
1773,1.3.1.32,R07781,Sphingobium chlorophenolicum,1.2
1774,1.3.1.33,R03845,Thermosynechococcus elongatus,0.165
1775,1.3.1.33,R06286,Thermosynechococcus elongatus,0.165
1776,1.3.1.34,R04319,Escherichia coli,9.5
1777,1.3.1.44,R00384,Clostridium acetobutylicum,28.2
1778,1.3.1.44,R00384,Treponema denticola,385.9
1779,1.3.1.44,R01171,Clostridium acetobutylicum,28.2
1780,1.3.1.44,R01171,Treponema denticola,238.45
1781,1.3.1.45,R06562,Medicago sativa,0.215
1782,1.3.1.48,R04557,Mus musculus,0.16
1783,1.3.1.56,R05239,Comamonas testosteroni,0.38
1784,1.3.1.6,R00402,Shewanella frigidimarina,370.0
1785,1.3.1.74,R07349,Arabidopsis thaliana,23.0
1786,1.3.1.74,R07349,Cucumis sativus,75.0
1787,1.3.1.74,R07350,Arabidopsis thaliana,23.0
1788,1.3.1.74,R07350,Cucumis sativus,75.0
1789,1.3.1.77,R06542,Arabidopsis thaliana,1.045
1790,1.3.1.77,R06542,Camellia sinensis,0.002
1791,1.3.1.77,R06542,Medicago truncatula,0.18
1792,1.3.1.77,R06543,Arabidopsis thaliana,0.058
1793,1.3.1.77,R06543,Camellia sinensis,0.0019
1794,1.3.1.77,R06543,Medicago truncatula,1.34
1795,1.3.1.78,R00733,Arabidopsis thaliana,60.75
1796,1.3.1.81,R06419,Mentha x piperita,1.8
1797,1.3.1.81,R06420,Mentha x piperita,1.8
1798,1.3.1.82,R06417,Mentha x piperita,1.3
1799,1.3.1.84,R00919,Sulfolobus tokodaii,13.0
1800,1.3.2.3,R00640,Arabidopsis thaliana,134.0
1801,1.3.3.12,R00643,Trypanosoma cruzi,0.161
1802,1.3.3.3,R03220,Escherichia coli,0.003
1803,1.3.3.3,R03220,Homo sapiens,0.05
1804,1.3.3.4,R03222,Bacillus subtilis,0.0034
1805,1.3.3.4,R03222,Desulfovibrio gigas,0.295
1806,1.3.3.4,R03222,Homo sapiens,0.175
1807,1.3.3.4,R03222,Mus musculus,0.124
1808,1.3.3.4,R03222,Myxococcus xanthus,0.0867
1809,1.3.3.4,R03222,Nicotiana tabacum,6.0
1810,1.3.3.5,R02394,Aspergillus oryzae,3.93
1811,1.3.3.5,R02394,Bacillus pumilus,68.5
1812,1.3.3.5,R02394,Magnaporthe oryzae,29.0
1813,1.3.3.5,R02394,Myrothecium verrucaria,116.0
1814,1.3.3.6,R01175,Arthrobacter nicotianae,0.225
1815,1.3.3.6,R03777,Arthrobacter nicotianae,0.07
1816,1.3.3.6,R03777,Rattus norvegicus,3.47
1817,1.3.3.6,R04751,Arthrobacter nicotianae,0.203
1818,1.3.3.6,R04751,Rattus norvegicus,0.089
1819,1.3.3.6,R04751,Yarrowia lipolytica,8.59
1820,1.3.3.6,R04754,Yarrowia lipolytica,1.53
1821,1.3.5.1,R02164,Bos taurus,83.3
1822,1.3.5.1,R02164,Escherichia coli,85.0
1823,1.3.5.1,R02164,Mammalia,167.0
1824,1.3.5.1,R02164,Paracoccus denitrificans,260.0
1825,1.3.5.1,R02164,Rhodospirillum rubrum,66.7
1826,1.3.5.1,R02164,Rhodothermus marinus,79.6
1827,1.3.5.2,R01868,Drosophila melanogaster,7.5
1828,1.3.5.2,R01868,Escherichia coli,19.7
1829,1.3.5.2,R01868,Homo sapiens,75.0
1830,1.3.5.2,R01868,Mus musculus,71.0
1831,1.3.5.2,R01868,Plasmodium falciparum,2.0
1832,1.3.5.2,R01868,Rattus norvegicus,95.0
1833,1.3.5.2,R01868,Toxoplasma gondii,84.0
1834,1.3.5.3,R09489,Escherichia coli,0.292
1835,1.3.5.4,R09490,Escherichia coli,103.5
1836,1.3.5.4,R09490,Rhodothermus marinus,80.0
1837,1.3.5.4,R09490,Wolinella succinogenes,20.0
1838,1.3.8.1,R01171,Bos taurus,17.9
1839,1.3.8.1,R01171,Homo sapiens,15.2
1840,1.3.8.1,R01171,Megasphaera elsdenii,5.0
1841,1.3.8.1,R01171,Peptoclostridium difficile,2.5
1842,1.3.8.1,R01171,Pseudomonas putida,0.72835
1843,1.3.8.1,R01171,Sus scrofa,6.835
1844,1.3.8.1,R01175,Bos taurus,17.9
1845,1.3.8.1,R01175,Homo sapiens,15.2
1846,1.3.8.1,R01175,Megasphaera elsdenii,5.0
1847,1.3.8.1,R01175,Peptoclostridium difficile,2.0
1848,1.3.8.1,R01175,Pseudomonas putida,0.72835
1849,1.3.8.1,R01175,Sus scrofa,6.835
1850,1.3.8.1,R01178,Bos taurus,17.9
1851,1.3.8.1,R01178,Homo sapiens,15.2
1852,1.3.8.1,R01178,Megasphaera elsdenii,5.0
1853,1.3.8.1,R01178,Peptoclostridium difficile,2.0
1854,1.3.8.1,R01178,Pseudomonas putida,0.72835
1855,1.3.8.1,R01178,Sus scrofa,6.835
1856,1.3.8.1,R04751,Bos taurus,1.35
1857,1.3.8.1,R04751,Homo sapiens,13.25
1858,1.3.8.1,R04751,Pseudomonas putida,0.2992
1859,1.3.98.1,R01867,Crithidia fasciculata,117.5
1860,1.3.98.1,R01867,Lactobacillus delbrueckii subsp. bulgaricus,2.7
1861,1.3.98.1,R01867,Plasmodium falciparum,7.8
1862,1.3.98.1,R01867,Saccharomyces cerevisiae,23.0
1863,1.3.98.1,R01867,Trypanosoma brucei,8.5
1864,1.3.99.12,R02661,Homo sapiens,2900.0
1865,1.3.99.12,R02661,Rattus norvegicus,8500.0
1866,1.3.99.12,R03173,Solanum tuberosum,1.77
1867,1.3.99.17,R05152,Pseudomonas putida,85.4
1868,1.3.99.22,R06895,Bacillus circulans,0.021
1869,1.3.99.24,R09559,Streptomyces globisporus,17.0
1870,1.4.1.1,R00145,Archaeoglobus fulgidus,118.0
1871,1.4.1.1,R00145,Phormidium lapideum,95.5
1872,1.4.1.1,R00145,Shewanella sp.,209.0
1873,1.4.1.1,R00146,Archaeoglobus fulgidus,118.0
1874,1.4.1.1,R00146,Shewanella sp.,1366.0
1875,1.4.1.1,R00365,Archaeoglobus fulgidus,118.0
1876,1.4.1.1,R00365,Phormidium lapideum,95.5
1877,1.4.1.1,R00365,Shewanella sp.,209.0
1878,1.4.1.1,R00396,Archaeoglobus fulgidus,118.0
1879,1.4.1.1,R00396,Mycobacterium tuberculosis,694.0
1880,1.4.1.1,R00396,Phormidium lapideum,95.5
1881,1.4.1.1,R00396,Shewanella sp.,888.0
1882,1.4.1.12,R00145,Clostridium sticklandii,34.0
1883,1.4.1.12,R00146,Clostridium sticklandii,5.0
1884,1.4.1.12,R04200,Clostridium sticklandii,34.0
1885,1.4.1.12,R04201,Clostridium sticklandii,5.0
1886,1.4.1.12,R04687,Clostridium sticklandii,34.0
1887,1.4.1.12,R04688,Clostridium sticklandii,5.0
1888,1.4.1.13,R00114,Azospirillum brasilense,24.55
1889,1.4.1.13,R00114,Pyrococcus horikoshii,11.36
1890,1.4.1.14,R00093,Lupinus angustifolius,70.0
1891,1.4.1.2,R00145,Clostridium symbiosum,130.2
1892,1.4.1.2,R00145,Halobacterium salinarum,43.0
1893,1.4.1.2,R00145,Peptoniphilus asaccharolyticus,25.85
1894,1.4.1.2,R00145,Pyrobaculum calidifontis,58.0
1895,1.4.1.2,R00146,Halobacterium salinarum,84.5
1896,1.4.1.2,R00146,Peptoniphilus asaccharolyticus,11.0
1897,1.4.1.2,R00146,Pyrobaculum calidifontis,58.0
1898,1.4.1.2,R00243,Bacillus subtilis,342.0
1899,1.4.1.2,R00243,Clostridium symbiosum,130.2
1900,1.4.1.2,R00243,Halobacterium salinarum,42.5
1901,1.4.1.2,R00243,Peptoniphilus asaccharolyticus,20.35
1902,1.4.1.2,R00243,Pyrobaculum calidifontis,58.0
1903,1.4.1.20,R00688,Lysinibacillus sphaericus,113.0
1904,1.4.1.20,R00688,Thermoactinomyces intermedius,91.0
1905,1.4.1.21,R07164,Bradyrhizobium japonicum,24.7
1906,1.4.1.21,R07164,Pseudomonas aeruginosa,65.65
1907,1.4.1.21,R07164,Rhodopseudomonas palustris,5.2
1908,1.4.1.21,R07164,Thermotoga maritima,3.05
1909,1.4.1.21,R07165,Bradyrhizobium japonicum,24.7
1910,1.4.1.21,R07165,Pseudomonas aeruginosa,65.2
1911,1.4.1.21,R07165,Rhodopseudomonas palustris,10.3
1912,1.4.1.21,R07165,Thermotoga maritima,4.9
1913,1.4.1.21,R07407,Bradyrhizobium japonicum,7.3
1914,1.4.1.21,R07407,Pseudomonas aeruginosa,52.9
1915,1.4.1.21,R07407,Rhodopseudomonas palustris,2.86
1916,1.4.1.21,R07407,Thermotoga maritima,4.9
1917,1.4.1.21,R07410,Bradyrhizobium japonicum,7.3
1918,1.4.1.21,R07410,Pseudomonas aeruginosa,61.3
1919,1.4.1.21,R07410,Rhodopseudomonas palustris,2.86
1920,1.4.1.21,R07410,Thermotoga maritima,3.05
1921,1.4.1.3,R00145,Homo sapiens,104.0
1922,1.4.1.3,R00145,Pyrococcus,90.0
1923,1.4.1.3,R00145,Pyrococcus horikoshii,209.15
1924,1.4.1.3,R00146,Azospirillum brasilense,200.0
1925,1.4.1.3,R00146,Pyrococcus,107.0
1926,1.4.1.3,R00146,Pyrococcus horikoshii,387.5
1927,1.4.1.3,R00243,Azospirillum brasilense,61.0
1928,1.4.1.3,R00243,Bos taurus,27.415
1929,1.4.1.3,R00243,Homo sapiens,104.0
1930,1.4.1.3,R00243,Pyrococcus,126.0
1931,1.4.1.3,R00243,Pyrococcus horikoshii,143.25
1932,1.4.1.3,R00243,Tenebrio molitor,714.0
1933,1.4.1.3,R00243,Thunnus thynnus,267.5
1934,1.4.1.3,R00248,Azospirillum brasilense,122.0
1935,1.4.1.3,R00248,Bos taurus,27.415
1936,1.4.1.3,R00248,Homo sapiens,104.0
1937,1.4.1.3,R00248,Pyrococcus,112.0
1938,1.4.1.3,R00248,Pyrococcus horikoshii,165.3
1939,1.4.1.3,R00248,Tenebrio molitor,714.0
1940,1.4.1.3,R00248,Thunnus thynnus,267.5
1941,1.4.1.4,R00145,Pyrobaculum calidifontis,100.0
1942,1.4.1.4,R00145,Symbiobacterium toebii,3072.75
1943,1.4.1.4,R00145,Thermococcus waiotapuensis,163.0
1944,1.4.1.4,R00146,Escherichia coli,37.3
1945,1.4.1.4,R00146,Pyrobaculum calidifontis,92.0
1946,1.4.1.4,R00146,Sphaerostilbe repens,1100.0
1947,1.4.1.4,R00146,Symbiobacterium toebii,15393.0
1948,1.4.1.4,R00146,Thermococcus waiotapuensis,1209.0
1949,1.4.1.4,R00248,Escherichia coli,37.3
1950,1.4.1.4,R00248,Plasmodium falciparum,39.165
1951,1.4.1.4,R00248,Pyrobaculum calidifontis,92.0
1952,1.4.1.4,R00248,Sphaerostilbe repens,1100.0
1953,1.4.1.4,R00248,Symbiobacterium toebii,15393.0
1954,1.4.1.4,R00248,Thermococcus waiotapuensis,1209.0
1955,1.4.1.7,R00145,Pseudomonas aeruginosa,1.6
1956,1.4.1.7,R00581,Pseudomonas aeruginosa,1.6
1957,1.4.1.8,R01212,Streptomyces albus,315.0
1958,1.4.1.8,R01212,Streptomyces cinnamonensis,226.0
1959,1.4.1.9,R00145,Thermoactinomyces intermedius,90.0
1960,1.4.1.9,R01088,Geobacillus stearothermophilus,280.0
1961,1.4.1.9,R01088,Lysinibacillus sphaericus,99.38
1962,1.4.1.9,R01088,Thermoactinomyces intermedius,90.0
1963,1.4.1.9,R01434,Thermoactinomyces intermedius,90.0
1964,1.4.1.9,R02196,Thermoactinomyces intermedius,90.0
1965,1.4.1.9,R03960,Thermoactinomyces intermedius,90.0
1966,1.4.3.1,R00359,Asterotremella humicola,74.5
1967,1.4.3.1,R00359,Bos taurus,0.183
1968,1.4.3.1,R00359,Caenorhabditis elegans,3.13
1969,1.4.3.10,R01151,Arthrobacter aurescens,31.8
1970,1.4.3.10,R01151,Rhodococcus erythropolis,20.7
1971,1.4.3.11,R00250,Streptomyces sp.,69.5
1972,1.4.3.11,R00250,Streptomyces sp. X-119-6,41.0
1973,1.4.3.12,R02233,Microbacterium oxydans,11.48
1974,1.4.3.15,R00279,Aspergillus ustus,0.0833
1975,1.4.3.16,R00357,Bacillus subtilis,0.18
1976,1.4.3.16,R00357,Escherichia coli,1.4335
1977,1.4.3.16,R00357,Pseudomonas putida,10.6
1978,1.4.3.16,R00357,Sulfolobus tokodaii,1.05
1979,1.4.3.16,R00481,Bacillus subtilis,0.18
1980,1.4.3.16,R00481,Escherichia coli,1.4335
1981,1.4.3.16,R00481,Pseudomonas putida,10.6
1982,1.4.3.16,R00481,Sulfolobus tokodaii,1.05
1983,1.4.3.2,R00357,Bungarus fasciatus,47.49
1984,1.4.3.21,R02382,Arthrobacter aurescens,2.775
1985,1.4.3.21,R02382,Arthrobacter globiformis,35.0
1986,1.4.3.21,R02382,Lens culinaris,12.8
1987,1.4.3.21,R02382,Rhodococcus opacus,16.1
1988,1.4.3.21,R02529,Homo sapiens,1.46
1989,1.4.3.21,R02613,Arthrobacter aurescens,3.42
1990,1.4.3.21,R02613,Arthrobacter globiformis,22.755
1991,1.4.3.21,R02613,Escherichia coli,13.5
1992,1.4.3.21,R02613,Homo sapiens,1.12
1993,1.4.3.21,R02613,Rhodococcus opacus,20.9
1994,1.4.3.21,R04300,Homo sapiens,0.54
1995,1.4.3.21,R04300,Rhodococcus opacus,1.9
1996,1.4.3.21,R06154,Homo sapiens,5.6
1997,1.4.3.21,R06154,Ogataea angusta,2.15
1998,1.4.3.21,R06154,Rhodococcus opacus,0.4
1999,1.4.3.21,R06740,Arthrobacter aurescens,0.0619
2000,1.4.3.21,R06740,Huperzia serrata,1.0
2001,1.4.3.22,R01151,Euphorbia characias,13.3
2002,1.4.3.22,R01151,Glycine max,163.0
2003,1.4.3.22,R01151,Homo sapiens,14253.95
2004,1.4.3.22,R01151,Lathyrus cicera,262.0
2005,1.4.3.22,R01151,Lens culinaris,155.0
2006,1.4.3.22,R01151,Pisum sativum,115.75
2007,1.4.3.22,R02150,Aspergillus niger,95.0
2008,1.4.3.22,R02150,Homo sapiens,8340.0
2009,1.4.3.22,R02150,Lathyrus cicera,6.615
2010,1.4.3.22,R02173,Aspergillus niger,100.0
2011,1.4.3.22,R03139,Bos taurus,0.3
2012,1.4.3.22,R03139,Homo sapiens,29220.0
2013,1.4.3.3,R02923,Caenorhabditis elegans,2.83
2014,1.4.3.3,R02923,Rhodosporidium toruloides,20.0
2015,1.4.3.3,R02923,Sus scrofa,3.5
2016,1.4.3.3,R07400,Rhodosporidium toruloides,72.0
2017,1.4.3.3,R07400,Sus scrofa,39.0
2018,1.4.3.3,R07400,Trigonopsis variabilis,55.0
2019,1.4.3.4,R02173,Rattus norvegicus,3.5
2020,1.4.3.4,R02382,Danio rerio,7.78
2021,1.4.3.4,R02382,Homo sapiens,5.3
2022,1.4.3.4,R02382,Rattus norvegicus,6.83
2023,1.4.3.4,R02613,Bos taurus,19.5
2024,1.4.3.4,R02613,Danio rerio,3.4
2025,1.4.3.4,R02613,Homo sapiens,1.481
2026,1.4.3.4,R02613,Rattus norvegicus,1.42
2027,1.4.3.4,R02908,Danio rerio,3.12
2028,1.4.3.4,R02908,Homo sapiens,6.0
2029,1.4.3.4,R02908,Rattus norvegicus,2.9
2030,1.4.3.4,R04300,Danio rerio,4.03
2031,1.4.3.4,R04300,Homo sapiens,0.249
2032,1.4.3.5,R00277,Escherichia coli,28.0
2033,1.4.3.5,R00277,Homo sapiens,0.2
2034,1.4.3.5,R00277,Oryctolagus cuniculus,0.103
2035,1.4.3.5,R00277,Saccharomyces cerevisiae,0.103
2036,1.4.3.5,R00277,Sus scrofa,0.009
2037,1.4.3.5,R00278,Escherichia coli,0.25
2038,1.4.3.5,R00278,Homo sapiens,0.19
2039,1.4.3.5,R00278,Mycobacterium tuberculosis,0.01
2040,1.4.3.5,R00278,Oryctolagus cuniculus,0.7
2041,1.4.3.5,R00278,Saccharomyces cerevisiae,0.7
2042,1.4.3.5,R00278,Sus scrofa,0.09
2043,1.4.7.1,R00021,Synechocystis sp.,3.67
2044,1.5.1.11,R00562,Pecten maximus,652.0
2045,1.5.1.15,R01218,Acetobacterium woodii,1.58
2046,1.5.1.2,R01248,Mycobacterium tuberculosis,2240.1
2047,1.5.1.2,R01248,Streptococcus pyogenes,620.0
2048,1.5.1.2,R01251,Homo sapiens,55.0
2049,1.5.1.2,R01251,Mycobacterium tuberculosis,321.6
2050,1.5.1.2,R01251,Streptococcus pyogenes,340.0
2051,1.5.1.2,R03291,Mycobacterium tuberculosis,2240.1
2052,1.5.1.2,R03291,Streptococcus pyogenes,620.0
2053,1.5.1.2,R03293,Homo sapiens,55.0
2054,1.5.1.2,R03293,Mycobacterium tuberculosis,321.6
2055,1.5.1.2,R03293,Streptococcus pyogenes,340.0
2056,1.5.1.20,R01224,Leishmania major,107.0
2057,1.5.1.20,R01224,Sus scrofa,93.35
2058,1.5.1.20,R07168,Escherichia coli,23.5
2059,1.5.1.20,R07168,Leishmania major,69.5
2060,1.5.1.20,R07168,Sus scrofa,160.0
2061,1.5.1.22,R00368,Marphysa sanguinea,43.58
2062,1.5.1.3,R00936,Bacillus anthracis,9.3
2063,1.5.1.3,R00936,Cricetulus griseus,0.65
2064,1.5.1.3,R00936,Enterococcus faecium,116.5
2065,1.5.1.3,R00936,Escherichia coli,15.1
2066,1.5.1.3,R00936,Gallus gallus,5.0
2067,1.5.1.3,R00936,Glycine max,0.95
2068,1.5.1.3,R00936,Haloferax volcanii,3.14
2069,1.5.1.3,R00936,Homo sapiens,10.0
2070,1.5.1.3,R00936,Human herpesvirus 8,7.0
2071,1.5.1.3,R00936,Lactobacillus casei,3.5
2072,1.5.1.3,R00936,Leishmania major,29.0
2073,1.5.1.3,R00936,Moritella japonica,144.0
2074,1.5.1.3,R00936,Moritella profunda,18.7
2075,1.5.1.3,R00936,Moritella yayanosii,83.8
2076,1.5.1.3,R00936,Mus musculus,2.4565
2077,1.5.1.3,R00936,Mycobacterium avium,20.5
2078,1.5.1.3,R00936,Mycobacterium tuberculosis,1.95
2079,1.5.1.3,R00936,Photobacterium profundum,156.0
2080,1.5.1.3,R00936,Plasmodium falciparum,44.62
2081,1.5.1.3,R00936,Pneumocystis carinii,196.0
2082,1.5.1.3,R00936,Pneumocystis jirovecii,53.0
2083,1.5.1.3,R00936,Saccharomyces cerevisiae,11.5
2084,1.5.1.3,R00936,Shewanella violacea,90.0
2085,1.5.1.3,R00936,Stenotrophomonas maltophilia,123.0
2086,1.5.1.3,R00936,Streptococcus pneumoniae,31.5
2087,1.5.1.3,R00936,Sus scrofa,13.5
2088,1.5.1.3,R00936,Trypanosoma brucei,4.055
2089,1.5.1.3,R00937,Homo sapiens,1.08
2090,1.5.1.3,R00937,Lactobacillus casei,0.02
2091,1.5.1.3,R00939,Bacillus anthracis,9.3
2092,1.5.1.3,R00939,Bos taurus,5.1
2093,1.5.1.3,R00939,Cricetulus griseus,0.65
2094,1.5.1.3,R00939,Enterococcus faecium,116.5
2095,1.5.1.3,R00939,Escherichia coli,13.7
2096,1.5.1.3,R00939,Gallus gallus,5.0
2097,1.5.1.3,R00939,Geobacillus stearothermophilus,218.0
2098,1.5.1.3,R00939,Glycine max,0.95
2099,1.5.1.3,R00939,Haloferax volcanii,3.14
2100,1.5.1.3,R00939,Homo sapiens,10.0
2101,1.5.1.3,R00939,Human herpesvirus 8,7.0
2102,1.5.1.3,R00939,Lactobacillus casei,3.67
2103,1.5.1.3,R00939,Leishmania major,29.0
2104,1.5.1.3,R00939,Moritella japonica,126.5
2105,1.5.1.3,R00939,Moritella profunda,18.7
2106,1.5.1.3,R00939,Moritella yayanosii,82.05
2107,1.5.1.3,R00939,Mus musculus,2.4565
2108,1.5.1.3,R00939,Mycobacterium avium,23.65
2109,1.5.1.3,R00939,Mycobacterium tuberculosis,1.95
2110,1.5.1.3,R00939,Photobacterium profundum,153.25
2111,1.5.1.3,R00939,Plasmodium falciparum,60.9
2112,1.5.1.3,R00939,Pneumocystis carinii,196.0
2113,1.5.1.3,R00939,Pneumocystis jirovecii,53.0
2114,1.5.1.3,R00939,Saccharomyces cerevisiae,11.5
2115,1.5.1.3,R00939,Shewanella violacea,88.4
2116,1.5.1.3,R00939,Stenotrophomonas maltophilia,123.0
2117,1.5.1.3,R00939,Streptococcus pneumoniae,31.5
2118,1.5.1.3,R00939,Sus scrofa,13.5
2119,1.5.1.3,R00939,Trypanosoma brucei,4.055
2120,1.5.1.3,R00940,Bos taurus,5.1
2121,1.5.1.3,R00940,Escherichia coli,11.0
2122,1.5.1.3,R00940,Geobacillus stearothermophilus,218.0
2123,1.5.1.3,R00940,Homo sapiens,26.04
2124,1.5.1.3,R00940,Lactobacillus casei,1.845
2125,1.5.1.3,R00940,Moritella japonica,109.0
2126,1.5.1.3,R00940,Moritella yayanosii,80.3
2127,1.5.1.3,R00940,Mycobacterium avium,26.8
2128,1.5.1.3,R00940,Photobacterium profundum,150.5
2129,1.5.1.3,R00940,Plasmodium falciparum,60.9
2130,1.5.1.3,R00940,Shewanella violacea,86.8
2131,1.5.1.3,R02235,Bacillus anthracis,9.3
2132,1.5.1.3,R02235,Cricetulus griseus,0.65
2133,1.5.1.3,R02235,Enterococcus faecium,116.5
2134,1.5.1.3,R02235,Escherichia coli,15.1
2135,1.5.1.3,R02235,Gallus gallus,5.0
2136,1.5.1.3,R02235,Glycine max,0.95
2137,1.5.1.3,R02235,Haloferax volcanii,3.14
2138,1.5.1.3,R02235,Homo sapiens,10.0
2139,1.5.1.3,R02235,Human herpesvirus 8,7.0
2140,1.5.1.3,R02235,Lactobacillus casei,3.0
2141,1.5.1.3,R02235,Leishmania major,29.0
2142,1.5.1.3,R02235,Moritella japonica,144.0
2143,1.5.1.3,R02235,Moritella profunda,18.7
2144,1.5.1.3,R02235,Moritella yayanosii,83.8
2145,1.5.1.3,R02235,Mus musculus,2.4565
2146,1.5.1.3,R02235,Mycobacterium avium,20.5
2147,1.5.1.3,R02235,Mycobacterium tuberculosis,1.95
2148,1.5.1.3,R02235,Photobacterium profundum,156.0
2149,1.5.1.3,R02235,Plasmodium falciparum,44.62
2150,1.5.1.3,R02235,Pneumocystis carinii,196.0
2151,1.5.1.3,R02235,Pneumocystis jirovecii,53.0
2152,1.5.1.3,R02235,Saccharomyces cerevisiae,11.5
2153,1.5.1.3,R02235,Shewanella violacea,90.0
2154,1.5.1.3,R02235,Stenotrophomonas maltophilia,123.0
2155,1.5.1.3,R02235,Streptococcus pneumoniae,31.5
2156,1.5.1.3,R02235,Sus scrofa,13.5
2157,1.5.1.3,R02235,Trypanosoma brucei,4.055
2158,1.5.1.3,R02236,Bacillus anthracis,9.3
2159,1.5.1.3,R02236,Bos taurus,5.1
2160,1.5.1.3,R02236,Cricetulus griseus,0.65
2161,1.5.1.3,R02236,Enterococcus faecium,116.5
2162,1.5.1.3,R02236,Escherichia coli,13.7
2163,1.5.1.3,R02236,Gallus gallus,5.0
2164,1.5.1.3,R02236,Geobacillus stearothermophilus,218.0
2165,1.5.1.3,R02236,Glycine max,0.95
2166,1.5.1.3,R02236,Haloferax volcanii,3.14
2167,1.5.1.3,R02236,Homo sapiens,10.0
2168,1.5.1.3,R02236,Human herpesvirus 8,7.0
2169,1.5.1.3,R02236,Lactobacillus casei,3.335
2170,1.5.1.3,R02236,Leishmania major,29.0
2171,1.5.1.3,R02236,Moritella japonica,126.5
2172,1.5.1.3,R02236,Moritella profunda,18.7
2173,1.5.1.3,R02236,Moritella yayanosii,82.05
2174,1.5.1.3,R02236,Mus musculus,2.4565
2175,1.5.1.3,R02236,Mycobacterium avium,23.65
2176,1.5.1.3,R02236,Mycobacterium tuberculosis,1.95
2177,1.5.1.3,R02236,Photobacterium profundum,153.25
2178,1.5.1.3,R02236,Plasmodium falciparum,60.9
2179,1.5.1.3,R02236,Pneumocystis carinii,196.0
